ID,Short,Source,Progress,Provenance,Editor,OCR,Etymology_Provenance
Devanesan-Tam,D1955,"G\. Devanesan\.
*A Critical Survey of the Madras University Tamil Lexicon*\.
Salem Co\-operative Printing Works, Salem, 1955\.
Abbreviation: Devanesan\.",Yes,data/dedr/dedr_new.csv,Aryaman Arora,No,
PPTI-Tam,S1966a,"N\. Subrahmanian\.
*Pre\-Pallavan Tamil Index*\.
University of Madras, Madras, 1966\.
Abbreviation: PPTI\.
URL: [https://www\.tamildigitallibrary\.in/marc\\\_view?id=jZY9lup2kZl6TuXGlZQdjZt9kZt6](https://www.tamildigitallibrary.in/marc\_view?id=jZY9lup2kZl6TuXGlZQdjZt9kZt6)\.",Yes,data/dedr/dedr_new.csv,Aryaman Arora,No,
PN-Tam,S1962,"V\. I\. Subramoniam\.
*Index of Puṟanaanuuṟu*\.
University of Kerala, Trivandrum, 1962\.
Abbreviation: PN\.
URL: [https://archive\.org/details/dli\.jZY9lup2kZl6TuXGlZQdjZI3lJQy](https://archive.org/details/dli.jZY9lup2kZl6TuXGlZQdjZI3lJQy)\.",Yes,data/dedr/dedr_new.csv,Aryaman Arora,No,
Ag-Tam,A1967a,"S\. Agesthialingom\.
*A Generative Grammar of Tamil*\.
Annamalai University, Annamalai, 1967\.
Nanjilnad Vellala dialect \(p\. x\)\. Abbreviation: Ag\.",Yes,data/dedr/dedr_new.csv,Aryaman Arora,No,
Andronov-Tam,A1969,"M\. Andronov\.
*A Standard Grammar of Modern and Classical Tamil*\.
New Century Book House \(Pvt\.\) Ltd\., Madras, 1969\.
Abbreviation: Andronov\.
URL: [https://archive\.org/details/agrammarofmodernclassicaltamilandronovm\.s\.\\\_927\\\_h](https://archive.org/details/agrammarofmodernclassicaltamilandronovm.s.\_927\_h)\.",Yes,data/dedr/dedr_new.csv,Aryaman Arora,No,
Annamalai-Tam,A1969a,"E\. Annamalai\.
Review of deds\.
*Journal of Asian Studies*, 28\(4\):875–876, 1969\.
Includes also some items from the Ramnad dialect of Tamil\. Abbreviation: Annamalai\.",Yes,data/dedr/dedr_new.csv,Aryaman Arora,No,
Asher-Radhakrishnan-Tam,A1971b,"R\. E\. Asher and R\. Radhakrishnan\.
*A Tamil Prose Reader*\.
Cambridge University Press, 1971\.
Abbreviation: Asher\-Radhakrishnan\.",Yes,data/dedr/dedr_new.csv,Aryaman Arora,No,
Kauṭ-Mal,?,"K\. N\. Ezhuttachan, editor\.
*Bhāṣā Kauṭalīyam, Adhikaraṇas 4\-7*\.
Number 15 in Madras University Malayalam Series\.
Madras University, Madras, 1960\.
Word List in Appendix C, separately paginated, 20 pp\. Abbreviation: Kauṭ\.",Yes,data/dedr/dedr_new.csv,Aryaman Arora,No,
Menon-Mal,M1965,"K\. M\. Narayana Menon\.
*Historical Grammar of Early Old Malayalam*\.
PhD thesis, Deccan College, Poona, 1965\.
Thesis\.",Yes,data/dedr/dedr_new.csv,Aryaman Arora,No,
Z-Irula,Z1973,"Kamil V\. Zvelebil\.
*The Iruḷa Language*\.
Harrassowitz, Wiesbaden, 1973\.
Abbreviation: Z\.",Yes,data/dedr/dedr_new.csv,Aryaman Arora,No,
Z2-Irula,Z1979,"Kamil V\. Zvelebil\.
*The Irula \(Ëṟla\) Language, part II*\.
Harrassowitz, Wiesbaden, 1979\.
The vocabularies of these two form a combined whole\. Abbreviation: Z\.",Yes,data/dedr/dedr_new.csv,Aryaman Arora,No,
Zvelebil1980-Irula,Z1980,"Kamil V\. Zvelebil\.
A plea for nilgiri areal studies\.
*IJDL*, 9\(1\):1–22, 1980\.
Abbreviation: Zvelebil 1980\.",Yes,data/dedr/dedr_new.csv,Aryaman Arora,No,
LSB-BettaKurumba,U1968a,"U\. P\. Upadhyaya\.
The kuruba language\.
*LSB*, 1:7–12, 1968\.",Yes,data/dedr/dedr_new.csv,Aryaman Arora,No,
Sak-Toda,S1976,"S\. Sakthivel\.
*Phonology of Toda with Vocabulary*\.
Number 41 in Annamalai University Department of Linguistics Publication\.
Annamalai University, Annamalainagar, 1976\.
Abbreviation: Sak\.",Yes,data/dedr/dedr_new.csv,Aryaman Arora,No,
bhaskararao-toda2025,B2025,"Peri Bhaskararao\.
*Toda Dictionary*\.
Number 68 in Asian and African Lexicon\.
Research Institute for Languages and Cultures of Asia and Africa, Tokyo University of Foreign Studies, Tokyo, 2025\.
ISBN 978\-4\-86337\-600\-7\.
URL: [https://doi\.org/10\.15026/0002001277](https://doi.org/10.15026/0002001277), [doi:10\.15026/0002001277](https://doi.org/10.15026/0002001277)\.",Yes,data/other/forms/20260813-bhaskararao-toda.csv,OpenAI Codex,No,
hockings-pilotraichoor1992,H1992a,"Paul Hockings and Christiane Pilot\-Raichoor\.
*A Badaga\-English Dictionary*\.
Number 8 in Trends in Linguistics\. Documentation\.
Mouton de Gruyter, Berlin and New York, 1992\.
ISBN 978\-3\-11\-012677\-8\.
All rights reserved; Jambu distributes extracted lexical facts, not the source PDF\. The scan has a lossy hidden OCR layer, so the Badaga\-English section was re\-OCRed from page images\.
URL: [https://doi\.org/10\.1515/9783110846058](https://doi.org/10.1515/9783110846058), [doi:10\.1515/9783110846058](https://doi.org/10.1515/9783110846058)\.","Badaga-English dictionary and incorporated gazetteer, printed pages 1--621; front matter, blank leaves, the English-Badaga reverse glossary, appendices, references, and publisher advertisement excluded",data/other/forms/20260818-hockings-badaga.csv; data/other/forms/raw_data/20260818-hockings-badaga-audit.csv,OpenAI Codex,Yes,
emeneau-toda1984,E1984,"Murray B\. Emeneau\.
*Toda Grammar and Texts*\.
American Philosophical Society, Philadelphia, 1984\.
Abbreviated as TGT in Bhaskararao and Kobayashi's Toda Dictionary\.",Partial,data/other/forms/20260813-bhaskararao-toda.csv,OpenAI Codex,No,
bhaskararao-toda-notes,B2025a,"Peri Bhaskararao\.
Toda notes and toda ritual notes\.
2025\.
Unpublished field notes, abbreviated as PB in Bhaskararao and Kobayashi's Toda Dictionary\.
URL: [https://bkm\.aa\-ken\.jp/](https://bkm.aa-ken.jp/)\.",Partial,data/other/forms/20260813-bhaskararao-toda.csv,OpenAI Codex,No,
Inscr2-Telugu,R1971,"Budaraju Radha Krishna\.
*Early Telugu Inscriptions \(up to 1100 A\.D\.\)*\.
Andhra Pradesh Sahitya Akademi, Hyderabad, 1971\.
With texts, glossary and brief linguistic history\. Abbreviation: Inscr\.2\.",Yes,data/dedr/dedr_new.csv,Aryaman Arora,No,
Buddruss-Wot,B1960,"Georg Buddruss\.
Die sprache von woṭapur und kaṭārqalā: linguistische studien im afghanischen hindukusch \(bonner orientalistische studien\)\.
1960\.",Partial,Legacy bibliography record; no installed Jambu form currently cites this key directly,Aryaman Arora,No,
chattisgarhi,B2002,"Kelly Kilgo Boehm\.
*A Preliminary Sociolinguistic Survey of the Chhattisgarhi\-Speaking Peoples of India*\.
SIL International, Dallas, Texas, 2002\.
URL: [https://www\.sil\.org/resources/archives/93126](https://www.sil.org/resources/archives/93126)\.",Yes,data/other/forms/20230517-chattisgarhi.csv,Aryaman Arora,No,jambu
gill,G1973,"Harjeet Singh Gill\.
*Linguistic atlas of the Punjab*\.
Munshiram Manoharlal Publishers, Delhi, 1973\.",Partial,data/other/forms/20230519-punjabi.csv,Aryaman Arora,No,jambu
mewari,A2012,"Binny Abraham, Binoy Koshy, and Vimal Raj R\.
Sociolinguistic survey of selected rajasthani speech varieties of rajasthan, india, volume 2: mewari\.
*Journal of Language Survey Reports*, 2012\.
URL: [https://www\.sil\.org/resources/archives/50807](https://www.sil.org/resources/archives/50807)\.",Yes,data/other/forms/20230521-rajasthani.csv,Aryaman Arora,No,jambu
hadothi,K2012,"Binoy Koshy\.
Sociolinguistic survey of selected rajasthani speech varieties of rajasthan, india, volume 3: hadothi\.
*Journal of Language Survey Reports*, 2012\.
URL: [https://www\.sil\.org/resources/archives/50808](https://www.sil.org/resources/archives/50808)\.",Yes,data/other/forms/20230521-rajasthani.csv,Aryaman Arora,No,jambu
dhundari,B2012,"Theodor Gipson Benjamin and Liahey Ngwazah\.
Sociolinguistic survey of selected rajasthani speech varieties of rajasthan, india, volume 5: dhundari and shekhawati\.
*Journal of Language Survey Reports*, 2012\.
URL: [https://www\.sil\.org/resources/archives/50814](https://www.sil.org/resources/archives/50814)\.",Yes,data/other/forms/20230521-rajasthani.csv,Aryaman Arora,No,jambu
marwari,C2012,"Sajayan Chacko and Liahey Ngwazah\.
Sociolinguistic survey of selected rajasthani speech varieties of rajasthan, india, volume 6: marwari, merwari, and godwari\.
*Journal of Language Survey Reports*, 2012\.
URL: [https://www\.sil\.org/resources/archives/50815](https://www.sil.org/resources/archives/50815)\.",Yes,data/other/forms/20230521-rajasthani.csv,Aryaman Arora,No,jambu
mewati,M2012,"Eldose K\. Mathai\.
Sociolinguistic survey of selected rajasthani speech varieties of rajasthan, india, volume 4: mewati\.
*Journal of Language Survey Reports*, 2012\.
URL: [https://www\.sil\.org/resources/archives/50813](https://www.sil.org/resources/archives/50813)\.",Yes,data/other/forms/20230521-rajasthani.csv,Aryaman Arora,No,jambu
bagri,M2011,"Eldose K\. Mathai\.
Bagri of rajasthan, punjab, and haryana: a sociolinguistic survey\.
*Journal of Language Survey Reports*, 2011\.
URL: [https://www\.sil\.org/resources/archives/43105](https://www.sil.org/resources/archives/43105)\.",Yes,data/other/forms/20230521-rajasthani.csv,Aryaman Arora,No,jambu
shackle,S1995,"Christopher Shackle\.
*A Guru Nanak Glossary*\.
Routledge, 1995\.",Partial,data/other/forms/20230521-old_punjabi.csv,Aryaman Arora,No,source
shackle-auto,S1995a,"Christopher Shackle\.
*A Guru Nanak Glossary \(automated extraction\)*\.
Routledge, 1995\.",Partial,data/other/forms/20260724-old-punjabi-shackle-auto.csv,OpenAI Codex,Yes,source
schmidt,S2008,"Ruth Laila Schmidt and Vijay Kumar Kaul\.
A comparative analysis of shina and kashmiri vocabularies\.
*Acta Orientalia*, 69:231–302, 2008\.",Partial,data/other/forms/20230621-shina.csv; data/other/forms/20260725-schmidt-kashmiri.csv,Aryaman Arora; OpenAI Codex,No,source
bundeli,B2017,"Ed Boehm\.
*A Sociolinguistic Profile of Bundeli*\.
Journal of Language Survey Reports\.
SIL International, Dallas, Texas, 2017\.
URL: [https://www\.sil\.org/resources/archives/69271](https://www.sil.org/resources/archives/69271)\.",Yes,data/other/forms/20230522-bundeli.csv,Aryaman Arora,No,jambu
mcgregor,M1993,"R\. S\. McGregor\.
*The Oxford Hindi\-English Dictionary*\.
Oxford University Press, Oxford, England; New York, 1993\.
URL: [https://dsal\.uchicago\.edu/dictionaries/mcgregor/](https://dsal.uchicago.edu/dictionaries/mcgregor/)\.",No,data/other/forms/20230403-arora.csv,Aryaman Arora,No,
singh,S1895,"Maya Singh\.
*The Panjabi Dictionary*\.
Munshi Gulab Singh \\\\&amp; Sons, Lahore, 1895\.
URL: [https://dsal\.uchicago\.edu/dictionaries/singh/](https://dsal.uchicago.edu/dictionaries/singh/)\.",No,data/other/forms/20230403-arora.csv,Aryaman Arora,No,
boehm,B1998b,"Edward Daniel Boehm\.
A phonological reconstruction of proto\-tharu\.
Master's thesis, The University of Texas at Arlington, 1998\.",Yes,data/other/forms/20230524-tharu.csv,Aryaman Arora,No,jambu
watters2013northerndhule,W2013,"Stephen Watters\.
A sociolinguistic profile of the bhils of northern dhule district\.
SIL Electronic Survey Report 2013\-004, SIL International, Dallas, Texas, 2013\.
The source's numeric lexical\-similarity labels are retained only in the audit and do not assert historical cognacy\. The later ESR 2015\-012 and ESR 2018\-011 republications were reconciled only after the 2013 manual package was frozen; differing publication transcriptions remain distinct evidence rather than overwriting the primary reading\. The report provides list labels and localities but no point coordinates, so new language and dialect rows intentionally leave latitude and longitude blank\.
URL: [https://www\.sil\.org/resources/archives/52641](https://www.sil.org/resources/archives/52641)\.","Appendix C, printed pages 83--125: 2,497 manually verified lexical attestations from twelve target lists. Excludes the Toranmal Nahali comparison-control list (210 conceptual cells), twenty-one target cells printed blank, two ambiguous target cells, and all non-lexical report sections","Official SIL PDF acquired from the publisher archive; the PDF is not redistributed. Canonical 133-page PDF SHA-256 edeeeda98cb76624df1a0d70c765cc816ea463d75bc79ec20883c62e6fc1c482. Every one of the 2,730 Appendix C cells was transcribed or dispositioned manually from rendered page images; frozen manual chunks, the exhaustive staged audit, unresolved ledger, render manifest, profile inventory and post-freeze Noira/Bareli reconciliation are under data/other/forms/raw_data/sil_northern_dhule_bhils_2013; installed target rows are in data/other/forms/20260829-sil-northern-dhule-bhils.csv",Aryaman Arora and OpenAI Codex,No,none
abraham-sako2021,A2021b,"Binny Abraham and Kara Sako\.
Tagin and puroik tribes of arunachal pradesh: a sociolinguistic survey\.
*Journal of Language Survey Reports*, pages 1–83, 2021\.
URL: [https://www\.sil\.org/system/files/reapdata/32/86/21/32862163327139405050656221738030995011/JLSR2021\\\_063\.pdf](https://www.sil.org/system/files/reapdata/32/86/21/32862163327139405050656221738030995011/JLSR2021\_063.pdf)\.",Yes,data/other/forms/20260813-tagin-puroik.csv,OpenAI Codex,No,
kondakov2013rabha,K2013,"Alexander Kondakov\.
A sociolinguistic survey of the rabha dialects of meghalaya and assam\.
*SIL Electronic Survey Reports*, 2013\.
URL: [https://www\.sil\.org/system/files/reapdata/60/15/05/60150532552704819364367866518979515262/silesr2013\\\_016\.pdf](https://www.sil.org/system/files/reapdata/60/15/05/60150532552704819364367866518979515262/silesr2013\_016.pdf)\.",Yes,data/other/forms/20260813-rabha.csv,OpenAI Codex,No,
hilty-mitchell2014,H2014,"Holly J\. Hilty and Jessica R\. Mitchell\.
Yamphu: a sociolinguistic survey\.
*SIL Electronic Survey Reports*, 2014\.
URL: [https://www\.sil\.org/system/files/reapdata/39/87/23/39872354340493988124485710717937538249/silesr2014\\\_007\.pdf](https://www.sil.org/system/files/reapdata/39/87/23/39872354340493988124485710717937538249/silesr2014\_007.pdf)\.",Yes,data/other/forms/20260813-yamphu.csv,OpenAI Codex,No,
hilty2013eastern-magar,H2013,"Holly J\. Hilty\.
Sociolinguistic survey of eastern magar in nepal\.
Technical Report, SIL International and Linguistic Survey of Nepal, Kathmandu, 2013\.
URL: [https://nepal\.sil\.org/resources/archives/53996](https://nepal.sil.org/resources/archives/53996)\.",Yes,data/other/forms/20260813-eastern-magar.csv,OpenAI Codex,No,
maimani,A2022,"Said Humaid Al Jahdhami\.
Maimani language and lawati language: two sides of the same coin?
*Journal of Modern Languages*, 32\(1\):37–57, 2022\.",Partial,data/other/forms/20230524-sindhic.csv,Aryaman Arora,No,jambu
kannauji,J2021,"Mathews John and Bezily P\. Varghese\.
*The Kannauji\-speaking People of Uttar Pradesh: A Sociolinguistic Profile*\.
Journal of Language Survey Reports\.
SIL International, Dallas, Texas, 2021\.
URL: [https://www\.sil\.org/resources/archives/88544](https://www.sil.org/resources/archives/88544)\.",Yes,data/other/forms/20230526-kannauji.csv,OpenAI Codex,No,jambu
southworth2006proto,S2006,"Franklin C Southworth\.
Proto\-dravidian agriculture\.
In *Proceedings of the Pre\-symposium of Rihn and 7th ESCA Harvard\-Kyoto Roundtable\. Research Institute for Humanity and Nature, Kyoto*, 121–150\. 2006\.",Yes,data/dedr/pdr.csv,Aryaman Arora,No,source
pfeiffer2018,P2018,"Martin Pfeiffer\.
*Kurux Historical Phonology Reconsidered: With a Reconstruction of Pre\-Kurux\-Malto Phonology*\.
PubliQation, 2018\.
ISBN 9783745869866\.",Yes,data/dedr/pdr.csv,Aryaman Arora,No,source
southworth2005m,S2005,"Franklin C\. Southworth\.
Prehistoric implications of the dravidian element in the nia lexicon with special reference to marathi\.
*International journal of Dravidian linguistics*, 34\(1\):17–28, 2005\.
URL: [https://ccat\.sas\.upenn\.edu/~fsouth/DravidianElement\.pdf](https://ccat.sas.upenn.edu/~fsouth/DravidianElement.pdf)\.","Partial: author-hosted preprint pp. 9--10, Tables 1--2",data/other/forms/20260818-southworth-marathi.csv; data/other/entry_texts/20260818-southworth2005m.csv; data/other/forms/raw_data/20260818-southworth2005m-audit.csv; data/cross-family-comparisons.csv; data/cross-family-comparisons-audit.csv,OpenAI Codex,Yes,source
webster,W2017,"Jeffrey D\. Webster\.
A sociolinguistic profile of the tharu dialects of the western indo\-nepal tarai\.
Technical Report 2017\-013, SIL International, Dallas, Texas, 2017\.
URL: [https://www\.sil\.org/resources/archives/70672](https://www.sil.org/resources/archives/70672) \(visited on 2026\-08\-29\)\.","Partial: Appendix B, physical pp. 30--68, response tables physical pp. 31--68 / printed pp. 26--63; all 15 Western Tharu lists; Standard Hindi comparison retained audit-only",data/other/forms/20230530-tharu2.csv; data/other/forms/raw_data/sil_western_tharu_2017/manual_chunks; data/other/forms/raw_data/sil_western_tharu_2017/staged_audit.tsv; data/other/forms/raw_data/sil_western_tharu_2017/unresolved_readings.tsv,OpenAI Codex,No,jambu
RSED,R1938,"G\. V\. Ramamurti\.
*Sora\-English Dictionary*\.
Superintendent, Government Press, Madras, 1938\.
Source siglum RSED in Rau 2019\.
URL: [http://sealang\.net/munda/database/](http://sealang.net/munda/database/)\.",Partial: the Sora reflexes cited by Rau 2019,data/munda/rau_2019.csv; data/munda/forms.csv; bibliographic identity checked against the SEAlang Munda source catalog and Glottolog,Aryaman Arora and OpenAI Codex,No,source
BDBH,B1968a,"Sudhibhushan Bhattacharya\.
*A Bonda Dictionary*\.
Number 18 in Building Centenary and Silver Jubilee Series\.
Deccan College Postgraduate and Research Institute, Poona, 1968\.
Source siglum BDBH in Rau 2019\.
URL: [http://sealang\.net/munda/database/](http://sealang.net/munda/database/)\.",Partial: the Remo reflexes cited by Rau 2019,data/munda/rau_2019.csv; data/munda/forms.csv; bibliographic identity checked against the SEAlang Munda source catalog and Glottolog,Aryaman Arora and OpenAI Codex,No,source
ZG63,Z1963,"Norman H\. Zide, Bimal Prasad Das, and R\. DeArmond\.
Gutob\-english wordlist and english\-gutob wordlist\.
Unpublished mimeograph, University of Chicago Munda Languages Project, 1963\.
Variant source siglum ZG63 in Rau 2019\.
URL: [http://sealang\.net/munda/database/](http://sealang.net/munda/database/)\.",Partial: the Gutob reflex cited by Rau 2019,data/munda/rau_2019.csv; data/munda/forms.csv; bibliographic identity checked against the SEAlang Munda source catalog,Aryaman Arora and OpenAI Codex,No,source
PKED,P2009,"John Peterson\.
A kharia\-english lexicon\.
*Himalayan Linguistics Archive*, 5:i–xv, 1–212, 2009\.
Source siglum PKED in Rau 2019\.
URL: [https://repositories\.cdlib\.org/uc/item/4566c4bw](https://repositories.cdlib.org/uc/item/4566c4bw), [doi:10\.5070/H90023672](https://doi.org/10.5070/H90023672)\.",Partial: the Kharia reflexes cited by Rau 2019,data/munda/rau_2019.csv; data/munda/forms.csv; source expansion follows the published lexicon record,Aryaman Arora and OpenAI Codex,No,source
PJDW,P1960a,"Heinz\-Jürgen Pinnow\.
Beiträge zur kenntnis der juang\-sprache\.
Unpublished manuscript, Berlin, 1960\.
Source siglum PJDW in Rau 2019; keyed by David Stampe; structured SEAlang Munda Dictionary snapshot captured 2026\-08\-28; HTML SHA\-256 6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596; the result page states no separate reuse licence\.
URL: [http://sealang\.net/munda/dictionary/search\.pl?caller=database\\&amp;include=pinnow1960beitraege](http://sealang.net/munda/dictionary/search.pl?caller=database\&include=pinnow1960beitraege)\.","All 1,658 indexed Juang records; 1,818 installed rows after alternant expansion; six exact repeated alternants are audit-only; 66 source records replace securely reconciled Rau excerpts and seven unresolved legacy Rau citations remain separate",data/other/forms/20260828-pinnow-juang.csv; data/other/forms/raw_data/20260828-pinnow-juang-audit.csv; data/other/forms/raw_data/20260828-pinnow-juang-manifest.json; data/other/forms/raw_data/20260828-pinnow-juang-sample.csv; data/munda/rau_2019.csv; data/munda/forms.csv; bibliographic identity checked against the SEAlang Munda source catalog and the Kiel South Asia bibliography,OpenAI Codex,No,mixed
PGEG,R2019a,"Felix Rau\.
Gta' lexical source pgeg\.
Source siglum in the deposited Proto\-Munda cognate dataset, 2019\.
The deposit does not expand PGEG; retained as an unresolved upstream source identity\.
URL: [https://zenodo\.org/records/3380874](https://zenodo.org/records/3380874)\.",Partial: the Gta' reflexes cited under PGEG by Rau 2019,"data/munda/rau_2019.csv; data/munda/forms.csv; the published Zenodo deposit and SEAlang catalog were checked, but do not provide a defensible expansion of this siglum",Aryaman Arora and OpenAI Codex,No,source
CDES,C1899,"Andrew Campbell\.
*A Santali\-English Dictionary*\.
Santal Mission Press, Pokhuria, Manbhum, 1899\.
Source siglum CDES in Rau 2019\.",Partial: the Santali reflexes cited by Rau 2019,data/munda/rau_2019.csv; data/munda/forms.csv; bibliographic identity checked against Glottolog and the Munda bibliography,Aryaman Arora and OpenAI Codex,No,source
BMED,B1931,"Manindra Bhusan Bhaduri\.
*A Mundari\-English Dictionary*\.
Calcutta University Press, Calcutta, 1931\.
Source siglum BMED in Rau 2019\.",Partial: the Mundari reflexes cited by Rau 2019,data/munda/rau_2019.csv; data/munda/forms.csv; bibliographic identity checked against the Munda bibliography,Aryaman Arora and OpenAI Codex,No,source
DHED,D1978,"John J\. Deeney\.
*Ho\-English Dictionary*\.
Xavier Ho Publications, Chaibasa, 1978\.
Source siglum DHED in Rau 2019\.",Partial: the Ho reflexes cited by Rau 2019,data/munda/rau_2019.csv; data/munda/forms.csv; bibliographic identity checked against library catalogs and the Munda bibliography,Aryaman Arora and OpenAI Codex,No,source
BAHL,B1962a,"Kali Charan Bahl\.
Korwa vocabulary\.
Unpublished mimeograph, 1962\.
Source siglum BAHL in Rau 2019; keyed by David Stampe; structured SEAlang Munda Dictionary snapshot captured 2026\-08\-28; HTML SHA\-256 8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5; the result page states no separate reuse licence\.
URL: [http://sealang\.net/munda/dictionary/search\.pl?caller=database\\&amp;include=bahl1962korwa](http://sealang.net/munda/dictionary/search.pl?caller=database\&include=bahl1962korwa)\.","All 1,791 nonempty indexed Korwa records; 1,830 form rows after alternant expansion; one empty source record is audit-only; 57 source records replace securely reconciled Rau excerpts and 10 unresolved legacy Rau citations remain separate",data/other/forms/20260828-bahl-korwa.csv; data/other/forms/raw_data/20260828-bahl-korwa-audit.csv; data/other/forms/raw_data/20260828-bahl-korwa-manifest.json; data/other/forms/raw_data/20260828-bahl-korwa-sample.csv; data/munda/rau_2019.csv; data/munda/forms.csv; bibliographic identity checked against the SEAlang Munda source catalog,OpenAI Codex,No,mixed
NKEV,N1999,"K\. S\. Nagaraja\.
*Korku Language: Grammar, Texts and Vocabulary*\.
Institute for the Study of Languages and Cultures of Asia and Africa, Tokyo University of Foreign Studies, Tokyo, 1999\.
Source siglum NKEV in Rau 2019\.
URL: [http://sealang\.net/munda/database/](http://sealang.net/munda/database/)\.",Partial: the Korku reflexes cited by Rau 2019,data/munda/rau_2019.csv; data/munda/forms.csv; bibliographic identity checked against the SEAlang Munda source catalog and Glottolog,Aryaman Arora and OpenAI Codex,No,source
HOGV,D1975,"John J\. Deeney\.
*Ho Grammar and Vocabulary*\.
Xavier Ho Publications, St\. Xavier's High School, Chaibasa, Singhbhum, Bihar, 1975\.
Source siglum HOGV in Rau 2019\.",Partial: the Ho reflexes cited by Rau 2019,data/munda/rau_2019.csv; data/munda/forms.csv; bibliographic identity checked against Glottolog,Aryaman Arora and OpenAI Codex,No,source
AG08,G2008,"Arlo Griffiths\.
Gutob\.
In Gregory D\. S\. Anderson, editor, *The Munda Languages*, pages 633–681\.
Routledge, London and New York, 2008\.",Partial: the Gutob reflexes cited by Rau 2019,data/munda/rau_2019.csv; data/munda/forms.csv; source expansion follows the published volume,Aryaman Arora and OpenAI Codex,No,source
JV,Z1963a,"Norman H\. Zide and Bimal Prasad Das\.
Gutob verb lexicon\.
Unpublished manuscript, University of Chicago Munda Languages Project, 1963\.
Source siglum JV in Rau 2019\.",Partial: the Gutob verb reflexes cited by Rau 2019,data/munda/rau_2019.csv; data/munda/forms.csv; identity follows published catalogs of the University of Chicago Munda materials,Aryaman Arora and OpenAI Codex,No,source
BSD1,B1929,"Paul Olaf Bodding\.
*A Santali Dictionary: Santali\-English, Volume 1*\.
Det Norske Videnskaps\-Akademi, Oslo, 1929\.
Source siglum BSD1 in Rau 2019\.",Partial: the cited Santali reflex,data/munda/rau_2019.csv; data/munda/forms.csv,Aryaman Arora and OpenAI Codex,No,source
GZ65,Z1965,"Norman H\. Zide\.
Gutob verb lexicon\.
Unpublished manuscript, University of Chicago Munda Languages Project, 1965\.
Source siglum GZ65 in Rau 2019\.",Partial: the cited Gutob reflexes,data/munda/rau_2019.csv; data/munda/forms.csv; identity follows catalogs of the Chicago Munda materials,Aryaman Arora and OpenAI Codex,No,source
CDSE,C1899a,"Andrew Campbell\.
*A Santali\-English Dictionary*\.
Santal Mission Press, Pokhuria, Manbhum, 1899\.
Variant source siglum CDSE in Rau 2019\.",Partial: the cited Santali reflexes,data/munda/rau_2019.csv; data/munda/forms.csv,Aryaman Arora and OpenAI Codex,No,source
GZ63,Z1963b,"Norman H\. Zide, Bimal Prasad Das, and R\. DeArmond\.
Gutob\-english wordlist and english\-gutob wordlist\.
Unpublished mimeograph, University of Chicago Munda Languages Project, 1963\.
Source siglum GZ63 in Rau 2019\.
URL: [http://sealang\.net/munda/database/](http://sealang.net/munda/database/)\.",Partial: the cited Gutob reflexes,data/munda/rau_2019.csv; data/munda/forms.csv; bibliographic identity checked against the SEAlang Munda source catalog,Aryaman Arora and OpenAI Codex,No,source
ZKPM,Z2019,"Norman H\. Zide\.
Korku lexical source zkpm\.
Source siglum in Rau's deposited Proto\-Munda cognate dataset, 2019\.
The deposit does not expand ZKPM; retained as an unresolved upstream source identity\.
URL: [https://zenodo\.org/records/3380874](https://zenodo.org/records/3380874)\.",Partial: the cited Korku reflex,data/munda/rau_2019.csv; data/munda/forms.csv; the Zenodo deposit and Munda catalogs were checked without finding a defensible expansion,Aryaman Arora and OpenAI Codex,No,source
HLKS,P1959a,"Heinz\-Jürgen Pinnow\.
*Versuch einer historischen Lautlehre der Kharia\-Sprache*\.
Otto Harrassowitz, Wiesbaden, 1959\.
Source siglum HLKS in Rau 2019\.",Partial: the cited comparative Munda reflexes,data/munda/rau_2019.csv; data/munda/forms.csv; bibliographic identity checked against the Munda Lexical Archive catalog,Aryaman Arora and OpenAI Codex,No,source
EMV5,H1930—1950,"Johann Hoffmann and Arthur Van Emelen\.
*Encyclopaedia Mundarica, Volume 5*\.
Superintendent, Government Printing, Bihar and Orissa, Patna, 1930–1950\.
Source siglum EMV5 in Rau 2019\.",Partial: the cited Mundari reflexes,data/munda/rau_2019.csv; data/munda/forms.csv,Aryaman Arora and OpenAI Codex,No,source
DSGU,D2004,"Patricia J\. Donegan and David Stampe\.
Munda lexical archive: gutob lexical file \(source siglum dsgu\)\.
Electronic lexical archive, 2004\.
Archive\-internal record identifiers preserved by Rau 2019\.
URL: [http://sealang\.net/munda/main\.htm](http://sealang.net/munda/main.htm)\.",Partial: the cited Gutob archive records,data/munda/rau_2019.csv; data/munda/forms.csv; source identity checked against the Munda Lexical Archive and SEAlang catalog,Aryaman Arora and OpenAI Codex,No,source
soratxt,D2004a,"Patricia J\. Donegan and David Stampe\.
Munda lexical archive: sora text file\.
Electronic lexical archive, 2004\.
Source label sora\.txt in Rau 2019\.
URL: [http://sealang\.net/munda/main\.htm](http://sealang.net/munda/main.htm)\.",Partial: the cited Sora text record,data/munda/rau_2019.csv; data/munda/forms.csv,Aryaman Arora and OpenAI Codex,No,source
