Parameter_ID,Headword,Strategy,Source_Form_ID,Source_Language_ID,Source,Tags,Note
d1356,*kaẓi (-nt-),krishnamurti-pfeiffer,,PDr,krishnamurti,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1357,*kap-Vḷ,krishnamurti-pfeiffer,,PDr,krishnamurti,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1358,kaṛ̆i,dedr-reflex,f_jarxm34vkegdc,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1359,kaṛ̆i,dedr-reflex,f_pdcgqbypug6fs,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1360,kaṛītānā,dedr-reflex,f_mpdfrv3quc2re,Gondi,dedr;Tr-Gondi;W-Gondi;Ph-Gondi,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1361,kaṛ̆u,dedr-reflex,f_bl6eydpy3mvy6,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1362,*kaẓ-V-ku,krishnamurti-pfeiffer,,PDr,krishnamurti,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1363,*kaẓu,merriam-pdr,f_mcd6c4rnmyir6,PDr,"merriam2026dravidiandb[record 1467, DEDR 1363]",,First source-ordered Merriam database reconstruction classified as PDr.
d1364,*kaẓ-ut-ay,krishnamurti-pfeiffer,,PDr,krishnamurti,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1365,kaṛ̆utai-muḷḷi,dedr-reflex,f_uzwl37hgvwbsg,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1366,*kaẓ-u-tt-,krishnamurti-pfeiffer,,PDr,"merriam2026dravidiandb[record 6124, DEDR 1366];krishnamurti",,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1367,kaṛ̆untu,dedr-reflex,f_gwirirtkomtxa,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1368,kaṛ̆umu,dedr-reflex,f_owbxfa6j6jjzk,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1369,**kaẓVcV-,krishnamurti-pfeiffer,,,,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1370,kaṛ̆ai,dedr-reflex,f_ubn3xw3mw2yya,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1371,kaṛde ( -r),dedr-reflex,f_pcnkx7ph3twpo,Pengo,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1372,*kaḷ-,krishnamurti-pfeiffer,,,,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1373,*kaḷ-,krishnamurti-pfeiffer,,,,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1374,*kaḷ,krishnamurti-pfeiffer,,PDr,krishnamurti,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1375,kaḷañciyam,dedr-reflex,f_5ht2463nelxno,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1376,*kaḷ-am,krishnamurti-pfeiffer,,PDr,krishnamurti,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1377,kaḷā,dedr-reflex,f_5fmdgwtc5f2qa,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1378,kaḷi,dedr-reflex,f_lh7ltrvwkki2g,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1379,kaṛ̆i,dedr-reflex,f_a44y74lnfevku,Kannada,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1380,kaḷiy-aṭaykka,dedr-reflex,f_yl3lrdcf5ha2a,Malayalam,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1381,kaḷi,dedr-reflex,f_mbciil776f6bk,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1382,kaḷḷam,dedr-reflex,f_pobtnq6knmc7k,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1383,kaḷḷi,dedr-reflex,f_tvybwuz66bbha,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1384,kaḷḷa,dedr-reflex,f_lt5kv5su2gd4a,Kannada,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1385,kaṟa,dedr-reflex,f_dcqc7gvgcda3e,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1386,kaṟakaṟa,dedr-reflex,f_yigzdm75ub2xu,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1387,kaṟaŋku,dedr-reflex,f_xk35ijjgxdodq,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1388,kaṟaŋgu,dedr-reflex,f_eorquufteewbi,Kannada,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1389,*kar_-,merriam-pdr,f_jj7wuwqckpsfy,PDr,"merriam2026dravidiandb[record 1494, DEDR 1389];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d1390,**kaṯV-,krishnamurti-pfeiffer,,,,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1391,kaṟi,dedr-reflex,f_a7a4vqcfrjle6,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1392,kayr- (karc-),dedr-reflex,f_dbag6t7hseuey,Kota,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1393,kaṟy- (kaṟc-),dedr-reflex,f_qapjxcolucihi,Toda,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1394,*gar_-,merriam-pdr,f_e4q5rtauwyurs,PDr,"merriam2026dravidiandb[record 1499, DEDR 1394];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d1395,*kar_- (*-d_-),merriam-pdr,f_d4cqowzl7z3xk,PDr,"merriam2026dravidiandb[record 1500, DEDR 1395];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d1396,*kar_-,merriam-pdr,f_2jmawou5dggo4,PDr,"merriam2026dravidiandb[record 1501, DEDR 1396];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d1397,kaṟuka,dedr-reflex,f_2qunvcluyomb4,Malayalam,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1398,kaṟna,dedr-reflex,f_aezmqzm47dsky,Konda,dedr;BB-Konda,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1399,karv- (kard-),dedr-reflex,f_nhyjfpofscc5e,Kota,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1400,kaṟṟai,dedr-reflex,f_ztlpsggd36w2k,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1401,gaṟṟa,dedr-reflex,f_iltdkyyusgukc,Kannada,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1402,kaṉ,dedr-reflex,f_pvydhvipqe7us,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1403,kanban,dedr-reflex,f_gns3i7zbvwobq,Kui,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1404,kaṉa,dedr-reflex,f_77sl4pqbuzeae,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1405,kanekka,dedr-reflex,f_hsntyrjqdw5ke,Malayalam,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1406,kaṉal,dedr-reflex,f_z3we6jio3sz3i,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1407,*kan-acV,krishnamurti-pfeiffer,,PDr,krishnamurti,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1408,kaṉi,dedr-reflex,f_l7okwt2ns3l4e,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1409,kaṉai,dedr-reflex,f_akpwvp3ytbsuo,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1410,kaṉṟu,dedr-reflex,f_b7uyadcyu6vlw,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1411,**kaṯVtV,krishnamurti-pfeiffer,,PDr,pfeiffer2018,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1412,kaṉṉam,dedr-reflex,f_dqmorfyrtsiso,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1413,kaṉṉam,dedr-reflex,f_2vwsewhap6vb6,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1414,kaṉṉal,dedr-reflex,f_uv2t3mkwbu43g,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1415,kaṉṉal,dedr-reflex,f_w3zimg5avk7h6,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1416,*kā(-tt-),krishnamurti-pfeiffer,,PDr,krishnamurti,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1417,*kā-vaṭi,krishnamurti-pfeiffer,,PDr,krishnamurti,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1418,*kā(-n),krishnamurti-pfeiffer,,PDr,krishnamurti,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1419,kānā (past keras,dedr-reflex,f_7upg5qpwyf45m,Kurux,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1420,ke,dedr-reflex,f_rk5rc4zwetpgk,Konda,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1421,kāk- (-t-),dedr-reflex,f_ca675j2zp23pu,Konda,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1422,kākanḍi ( kākacil),dedr-reflex,f_iofa2rfhfo6sk,Parji,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1423,*kak-,merriam-pdr,f_bmuxqvlg7q4ym,PDr,"merriam2026dravidiandb[record 1528, DEDR 1423];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d1424,*kāk-,merriam-pdr,f_7j2myklhhcrl4,PDr,"merriam2026dravidiandb[record 1529, DEDR 1424];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d1425,*kā-kk-ay,krishnamurti-pfeiffer,,PDr,krishnamurti,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1426,*kāk-,merriam-pdr,f_f3cdxruzg4wda,PDr,"merriam2026dravidiandb[record 1531, DEDR 1426]",,First source-ordered Merriam database reconstruction classified as PDr.
d1427,kā̃kara,dedr-reflex,f_ygzb55dsawhk4,Telugu,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1428,kāŋku-ppuṭavai,dedr-reflex,f_2pmrgqtoih3wk,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1429,kāsarike,dedr-reflex,f_ygwzwzzkid4ic,Kannada,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1430,kāci,dedr-reflex,f_xlwdye3ukj7na,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1431,kācu,dedr-reflex,f_mx23z5loajg42,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1432,kācu,dedr-reflex,f_dy7w7mcjsulv6,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1433,kāñci,dedr-reflex,f_6smphxyljmcd6,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1434,kāñcirai,dedr-reflex,f_a5trbbh6gytk4,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1435,kāñcoṟi,dedr-reflex,f_im2pccrpcthas,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1436,kāṭi,dedr-reflex,f_nuas2pqvksl4q,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1437,kāḍige,dedr-reflex,f_gdj5t5md3ffvq,Kannada,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1438,*kā-ṭu,krishnamurti-pfeiffer,,PDr,krishnamurti,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1439,*kāj-u,merriam-pdr,f_65itvbbjeoqek,PDr,"merriam2026dravidiandb[record 1545, DEDR 1439]",,First source-ordered Merriam database reconstruction classified as PDr.
d1440,kāḍu,dedr-reflex,f_busvhzsmjtbd4,Kannada,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1441,kāṭai,dedr-reflex,f_np35bl6cdk3ee,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1442,gāṭamu,dedr-reflex,f_gdelmnpvmnooq,Telugu,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1443,*kaHṇ-,krishnamurti-pfeiffer,,,,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1444,kāṇam,dedr-reflex,f_ohnynnctzor32,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1445,kātal,dedr-reflex,f_immihx3tbo32q,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1446,kāti,dedr-reflex,f_7nplxnlualo2u,Kannada,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1447,kātu,dedr-reflex,f_5jf34obkqe7e2,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1448,kātu,dedr-reflex,f_hqtbf2iuypsjo,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1449,kātī,dedr-reflex,f_yo2swpfp3lzuu,Gondi,dedr;Tr-Gondi,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1450,gātu,dedr-reflex,f_uvpbehof66pta,Konda,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1451,kāntaḷ,dedr-reflex,f_5iuz6lu3oyyky,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1452,*kāp,merriam-pdr,f_hgyqid5acy3a6,PDr,"merriam2026dravidiandb[record 1558, DEDR 1452]",,First source-ordered Merriam database reconstruction classified as PDr.
d1453,gāpa (gāt-),dedr-reflex,f_f5lb6nst467ea,Kui,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1454,*kāmb-,merriam-pdr,f_4mdzimfv5elfa,PDr,"merriam2026dravidiandb[record 1560, DEDR 1454];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d1455,kāmpu,dedr-reflex,f_exyk2b7mvq6zi,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1456,gāmpa,dedr-reflex,f_ub7d544y447fa,Kannada,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1457,gāmba (gāmbi-),dedr-reflex,f_ildw3l2sarj42,Kui,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1458,*kāy,krishnamurti-pfeiffer,,PDr,krishnamurti,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1459,*kāy,krishnamurti-pfeiffer,,PDr,krishnamurti,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1460,kāy,dedr-reflex,f_2qitzbd2xy3j6,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1461,kāy,dedr-reflex,f_a5og2oplza6kg,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1462,kāyam,dedr-reflex,f_3ihppbuwxdtng,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1463,kāyal,dedr-reflex,f_3yb3zvnfwbf5u,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1464,kāyā,dedr-reflex,f_7zzrejwqomhom,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1465,kāyppu,dedr-reflex,f_bsjzil463iud6,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1466,*kā̆r-[ɣ-],merriam-pdr,f_wiez2ihkcmlby,PDr,"merriam2026dravidiandb[record 1575, DEDR 1466];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d1467,kār,dedr-reflex,f_yapapnuolhym2,Gondi,dedr;M-Gondi,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1468,gārā,dedr-reflex,f_ph6pjt4dia7oo,Gondi,dedr;Ph-Gondi;SR-Gondi;M-Gondi,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1469,kāra,dedr-reflex,f_2oxg5hqo2ysv6,Malayalam,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1470,kārakka,dedr-reflex,f_wmlzzvsxeqlcg,Malayalam,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1471,kāri,dedr-reflex,f_xddu47wyqnit6,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1472,kārikkaṉ,dedr-reflex,f_d5jf4x6adtalq,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1473,kāru,dedr-reflex,f_eklrr3plkxkoi,Kannada,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1474,**kār-,krishnamurti-pfeiffer,,,,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1475,kārai,dedr-reflex,f_cduulme57o67g,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1476,kārai,dedr-reflex,f_ojq7yeyrl3lno,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1477,kāl,dedr-reflex,f_iis4unn7rmf5s,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1478,*kāl_-,merriam-pdr,f_kpnmptyrhrlg6,PDr,"merriam2026dravidiandb[record 1587, DEDR 1478];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d1479,*kāl,krishnamurti-pfeiffer,,PDr,krishnamurti,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1480,*kāl,krishnamurti-pfeiffer,,PDr,krishnamurti,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1481,kāl,dedr-reflex,f_bm7jr3cfvrqvk,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1482,kāl,dedr-reflex,f_7ffsyqhufsmxs,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1483,kāl,dedr-reflex,f_wcn7c4pm266g2,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1484,ka·l,dedr-reflex,f_maym45ackjblu,Kota,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1485,kāvaṭṭai,dedr-reflex,f_76dsfkkgnsexu,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1486,kāvaṇam,dedr-reflex,f_bvgtnn6wg33u6,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1487,kāvalam,dedr-reflex,f_crpdtr4a7fl6e,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1488,kāvali,dedr-reflex,f_xmteqncufx766,Kannada,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1489,kāvaḷa,dedr-reflex,f_xz76lnpysfrkg,Kannada,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1490,kāvi,dedr-reflex,f_xvjl4vs4f33x4,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1491,kāṛ̆,dedr-reflex,f_jzlqpq2wrweao,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1492,*gāṭ-,merriam-pdr,f_5hcrdftmjxom2,PDr,"merriam2026dravidiandb[record 1605, DEDR 1492]",,First source-ordered Merriam database reconstruction classified as PDr.
d1493,*kāẓ,merriam-pdr,f_2rlkifz2ivck6,PDr,"merriam2026dravidiandb[record 1606, DEDR 1493]",,First source-ordered Merriam database reconstruction classified as PDr.
d1494,*kāẓ-,krishnamurti-pfeiffer,,,,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1495,*kāl,krishnamurti-pfeiffer,,,,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1496,gāḷaka,dedr-reflex,f_2gohmxicfsvne,Kannada,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1497,kāḷaṉ,dedr-reflex,f_dped7aznshxvg,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1498,kāḷāñci,dedr-reflex,f_xtat6j3pjgxxq,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1499,*gāḷ-,merriam-pdr,f_msqokurnfm67g,PDr,"merriam2026dravidiandb[record 1612, DEDR 1499];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d1500,*kā-ḷ-,krishnamurti-pfeiffer,,,,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1501,kāḷai,dedr-reflex,f_mdj6yejrthg6u,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1502,kāḷai,dedr-reflex,f_3nj7qf2gavcwm,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1503,**kaṯV-,krishnamurti-pfeiffer,,,,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1504,kāṟu,dedr-reflex,f_arejz6wpnnn6g,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1505,*kāṯ-,krishnamurti-pfeiffer,,PDr,"merriam2026dravidiandb[record 6131, DEDR 1505];krishnamurti",,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1506,*kār_-ai,merriam-pdr,f_uwxdmxaqiswos,PDr,"merriam2026dravidiandb[record 1619, DEDR 1506]",,First source-ordered Merriam database reconstruction classified as PDr.
d1507,*kar-Vnk,krishnamurti-pfeiffer,,PDr,krishnamurti,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1508,kāṉal,dedr-reflex,f_ktiikrfk5lpps,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1509,kikkaṟisu,dedr-reflex,f_xryk3mm74c43m,Kannada,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1510,kicv- (kict-),dedr-reflex,f_ibpodgwgfmp2i,Kota,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1511,*kickic-,merriam-pdr,f_iod2m3bs2sf4i,PDr,"merriam2026dravidiandb[record 1624, DEDR 1511]",,First source-ordered Merriam database reconstruction classified as PDr.
d1512,kiccili,dedr-reflex,f_wwbmyjaoczzui,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1513,**kiccV-,krishnamurti-pfeiffer,,,,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1514,**ciccV,krishnamurti-pfeiffer,,PDr,pfeiffer2018,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1515,*kic-Vkic-V,krishnamurti-pfeiffer,,PDr,krishnamurti,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d1516,kiccukkiccu mūṭṭu,dedr-reflex,f_mbtprd2qc4o5c,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1517,kiss,dedr-reflex,f_jmixdaiggofpa,Kurux,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d1518,*kiǯov-i,merriam-pdr,f_o3r76nnhyyegs,PDr,"merriam2026dravidiandb[record 1633, DEDR 1518]",,First source-ordered Merriam database reconstruction classified as PDr.
