Cognateset_ID,Language_ID,Form,Description,Source
1946,Indo-Aryan,udgama,"<html><body><number>1946</number> <b>udgama</b> m. 'rising, origin' R. [√<smallcaps>gam</smallcaps>]",cdial
1947,Indo-Aryan,*udgamati,"<html><body><number>1947</number> <b>*udgamati</b> 'comes forth, rises'. [Orig. subj. of aor. in <i>udáganma</i> 1st pl. RV.: √<smallcaps>gam</smallcaps>]",cdial
1948,Indo-Aryan,udgamana,"<html><body><number>1948</number> <b>udgamana</b> n. 'coming forth' R., 'rising (of a star)' Pāṇ [√<smallcaps>gam</smallcaps>]",cdial
1949,Indo-Aryan,*udgamyatē,<html><body><number>1949</number> <b>*udgamyatē</b> 'is raised'. [Pass. of <i>udgamayati</i> 'causes to rise' Pat.: √<smallcaps>gam</smallcaps>],cdial
1950,Indo-Aryan,*udgaraṇa,<html><body><number>1950</number> <b>*udgaraṇa</b> 'spitting out'. [Cf. <i>udgiraṇa</i>- n. Suśr.: √<smallcaps>gr̥̄</smallcaps>²],cdial
1951,Indo-Aryan,*udgarta,<html><body><number>1951</number> <b>*udgarta</b> 'raised support (?)'. [<smallcaps>gárta</smallcaps>-²],cdial
1952,Indo-Aryan,*udgala,<html><body><number>1952</number> <b>*udgala</b> 'spitting out'. [√<smallcaps>gr̥̄</smallcaps>²],cdial
1953,Indo-Aryan,udgalati,"<html><body><number>1953</number> <b>udgalati</b>¹ 'trickles out, oozes out, drips' BhP. 2. <b>*udgālayati</b>¹ 'causes to ooze out'. [~ *<smallcaps>udgarati¹:√gal¹, √*gr̥̄</smallcaps>¹]",cdial
1954,Indo-Aryan,*udgāti,"<html><body><number>1954</number> <b>*udgāti</b> 'rises, comes forth'. [Orig. subj. of aor. <i>údagāt</i> RV. 'has risen (of sun)': √<smallcaps>gā</smallcaps>]",cdial
1955,Indo-Aryan,udgātʰā,"<html><body><number>1955</number> <b>udgāthā</b> f. 'a variety of Āryā metre' Colebrooke. [Cf. <i>udgīthá</i>- m. AV.: <smallcaps>gā́thā-, √gai</smallcaps>]",cdial
1956,Indo-Aryan,*udgāmayati,"<html><body><number>1956</number> <b>*udgāmayati</b> 'causes to rise or issue'. [Cf. <i>udgamayati</i> 'causes to issue' Pat., Pk. <i>uggamiya</i>- 'produced': √<smallcaps>gam</smallcaps>]",cdial
1957,Indo-Aryan,udgāra,"<html><body><number>1957</number> <b>udgāra</b> m. 'spitting out' R., 'spittle' MBh. 2. <b>*udgāla-</b>². [√<smallcaps>gr̥̄</smallcaps>²]",cdial
1958,Indo-Aryan,*udgārayati,<html><body><number>1958</number> <b>*udgārayati</b>¹ 'causes to be raised'. [√<smallcaps>gur</smallcaps>¹],cdial
1959,Indo-Aryan,*udgāla,<html><body><number>1959</number> <b>*udgāla</b>¹ 'oozing'. [√<smallcaps>gal</smallcaps>¹],cdial
1960,Indo-Aryan,udgirati,"<html><body><number>1960</number> <b>udgirati</b>² 'spits out, ejects, discharges' MBh. 2. <b>*udgilati.</b> 3. <b>*udgarati</b>². 4. <b>*udgalati</b>². 5. <b>*udgārayati</b>². 6. <b>*udgālayati</b>². [√<smallcaps>gr̥̄</smallcaps>²]",cdial
1961,Indo-Aryan,údguratē,"<html><body><number>1961</number> <b>údguratē</b> 'lifts up, raises a weapon, raises the voice threateningly' VS. 2. <b>*udgirati</b>¹. 3. <b>*udgurita-</b> (replacing <i>udgūrṇa</i>- n. 'threatening' Yājñ.) [See *<smallcaps>udgārayati¹, *udgr̥ta-: √gur</smallcaps>¹]",cdial
1961a,Indo-Aryan,*udgūra,<html><body><number>1961a</number> †<b>*udgūra-</b> 'threatening'. [Cf. <smallcaps>udguratē</smallcaps> VS. with <i>ū</i> from <i>udgūrṇa</i>- n. 'threatening' Yājñ.: √<smallcaps>gur</smallcaps>¹],cdial
1962,Indo-Aryan,*udguru,<html><body><number>1962</number> <b>*udguru</b> 'very heavy'. [<smallcaps>gurú</smallcaps>-],cdial
1963,Indo-Aryan,*udgr̩ta,<html><body><number>1963</number> <b>*udgr̥ta</b> 'lifted up'. [Cf. <i>udgūrṇa</i>- n. 'act of raising' Yājñ. :√<smallcaps>gur</smallcaps>¹],cdial
1964,Indo-Aryan,údgr̩hṇāti,<html><body><number>1964</number> <b>údgr̥hṇāti</b> 'lifts up' TS. [√<smallcaps>grah</smallcaps>],cdial
1965,Indo-Aryan,udgráhaṇa,"<html><body><number>1965</number> <b>udgráhaṇa</b> n. 'act of taking out' ŚBr., <i>udgrabhaṇa</i>- n. 'act of raising' KātyŚr. [√<smallcaps>grah</smallcaps>]",cdial
1966,Indo-Aryan,*udgrāhaka,"<html><body><number>1966</number> <b>*udgrāhaka</b> 'collector'. [<i>udgrābhá</i>- m. 'taking up' TS., <i>°āha</i>- Pāṇ.: √<smallcaps>grah</smallcaps>]",cdial
1967,Indo-Aryan,udgrāhayati,"<html><body><number>1967</number> <b>udgrāhayati</b> 'causes to take up, causes to pay' Yājñ. 2. Pp. <b>udgrāhita-.</b> [√<smallcaps>grah</smallcaps>]",cdial
1968,Indo-Aryan,*udgʰaṭati,"<html><body><number>1968</number> <b>*udghaṭati</b> 'is open', <i>udghaṭita</i>- 'unfastened' Kālid. 2. <b>udghāṭayati</b> 'opens' MBh. [√<smallcaps>ghaṭ</smallcaps>]",cdial
1969,Indo-Aryan,*udgʰata,"<html><body><number>1969</number> <b>*udghata</b> 'raised, opened'. [&lt; IE *-<i>gʷhn̊to</i>- ? Replaced anal. by <smallcaps>uddhata</smallcaps>-, after <i>úddhanti</i> &lt; *-<i>gʷhen</i>-:√<smallcaps>han</smallcaps>¹]",cdial
1970,Indo-Aryan,*udgʰarati,<html><body><number>1970</number> <b>*udgharati</b>¹ 'trickles out'. 2. <b>*udghalyati</b> 'pours out' intr. 3. <b>*udghālayati</b> 'pours out' tr. [√<smallcaps>ghr̥</smallcaps>¹],cdial
1971,Indo-Aryan,*udgʰarati,<html><body><number>1971</number> <b>*udgharati</b>² 'lifts up'. 2. Caus. <b>*udghārayati.</b> 3. Pp. <b>*udghr̥ta-.</b> [Hardly conn. with <i>hárati</i> which isIE. <i>*ĝher</i>-],cdial
1972,Indo-Aryan,udgʰāṭa,"<html><body><number>1972</number> <b>udghāṭa</b> m. 'act of opening' Subh. 2. <b>*udghāṭaka-</b>¹ 'open'. 3. <b>*udghāṭikā-</b> 'open platform for watchingfrom', <i>udghāṭa</i>- m. 'watchhouse' lex. [√<smallcaps>ghaṭ</smallcaps>]",cdial
1973,Indo-Aryan,udgʰāṭaka,<html><body><number>1973</number> <b>udghāṭaka</b>² n. 'leather bucket for drawing water' lex. [Poss. conn. with <i>udghāṭaka</i>- m. 'key' Mr̥cch. and<smallcaps>udghāṭa-: √ghaṭ</smallcaps>],cdial
1974,Indo-Aryan,udgʰāta,<html><body><number>1974</number> <b>udghāta</b> 'raising' R. [√<smallcaps>han</smallcaps>¹],cdial
1975,Indo-Aryan,udgʰātana,<html><body><number>1975</number> <b>udghātana</b> n. 'bucket for raising water' lex. (cf. <smallcaps>udghāṭaka-²). [√han</smallcaps>¹],cdial
1976,Indo-Aryan,*udgʰātayati,"<html><body><number>1976</number> <b>*udghātayati</b> 'raises'. [<i>úddhanti</i> 'lifts' RV., 'throws open' TS. :√<smallcaps>han</smallcaps>¹]",cdial
1977,Indo-Aryan,*udgʰāra,<html><body><number>1977</number> <b>*udghāra</b> 'pouring out'. 2. <b>*udghāla-.</b> [√<smallcaps>ghr̥</smallcaps>¹],cdial
1978,Indo-Aryan,*udgʰāsa,<html><body><number>1978</number> <b>*udghāsa</b> 'fodder' or 'remnants of fodder'. [Cf. <i>udghasa</i>- m. 'flesh' lex.; — <smallcaps>ghāsá-: √ghas</smallcaps>],cdial
1979,Indo-Aryan,*udgʰr̩pta,<html><body><number>1979</number> <b>*udghr̥pta</b> 'lifted up'. [√<smallcaps>grah</smallcaps>],cdial
1980,Indo-Aryan,*udgʰr̩ṣati,"<html><body><number>1980</number> <b>*udghr̥ṣati</b> 'rubs'. 2. <b>udghr̥ṣṭa-</b> Kālid. [Cf. <i>udgharṣ- ati</i> 'rubs together' Kālid., Pa. <i>ugghaṁsēti</i>: √<smallcaps>ghr̥ṣ</smallcaps>]",cdial
1981,Indo-Aryan,uddaṁśa,"<html><body><number>1981</number> <b>uddaṁśa</b> m. 'bug, mosquito' lex. [√<smallcaps>daṁś</smallcaps>]",cdial
1982,Indo-Aryan,*uddanta,"<html><body><number>1982</number> <b>*uddanta</b> 'without teeth'. [Replaces <i>adantáka</i>- TS., <i>adánt°</i> ŚBr. (~ <i>uddantura</i>- 'formidable' lex., Pk.<i>uddaṁtura</i>- 'with projecting teeth'). — <smallcaps>dánta</smallcaps>-]",cdial
1983,Indo-Aryan,*uddarati,<html><body><number>1983</number> <b>*uddarati</b> 'tears up'. 2. <b>*uddīryatē</b> 'is split'. 3. <b>*uddr̥ta-</b>. 4. <b>*uddārayati</b> ~ <smallcaps>uddālayati</smallcaps>.[<i>uddīrṇa</i>- Daś. √<smallcaps>dr̥̄</smallcaps>],cdial
1984,Indo-Aryan,*uddaśati,<html><body><number>1984</number> <b>*uddaśati</b> 'bites'. [√<smallcaps>daṁś</smallcaps>],cdial
1985,Indo-Aryan,*uddahati,<html><body><number>1985</number> <b>*uddahati</b> 'burns up'. 2. <b>*uddāhayati</b>. [√<smallcaps>dah</smallcaps>],cdial
1986,Indo-Aryan,*uddāta,"<html><body><number>1986</number> <b>*uddāta</b> 'cleansed, bright, clear'. [Cf. <i>avadāta</i>- 'cleansed, pure, dazzling white' MBh., Pa. <i>ōdāta</i>-, Pk.<i>avadāya</i>-: √<smallcaps>dai</smallcaps>]",cdial
1987,Indo-Aryan,uddāna,<html><body><number>1987</number> <b>uddāna</b>¹ n. 'act of binding or fastening together' MBh. [√<smallcaps>dā</smallcaps>²],cdial
1988,Indo-Aryan,uddāma,"<html><body><number>1988</number> <b>uddāma</b> 'unbound, self-willed, large' MBh. [<smallcaps>dā́- man</smallcaps>-¹]",cdial
1988a,Indo-Aryan,*uddāra,"<html><body><number>1988a</number> †<b>*uddāra-</b> 'cave' [Cf. <smallcaps>dāra-¹, uddārita-. — √dr̥̄</smallcaps>]",cdial
1989,Indo-Aryan,*uddārita,<html><body><number>1989</number> <b>*uddārita</b> 'broken'. [√<smallcaps>dr̥̄</smallcaps>],cdial
1990,Indo-Aryan,uddāla,"<html><body><number>1990</number> <b>uddāla</b>¹ m. 'the tree Cordia myxa or latifolia', <i>°aka</i>- m. Suśr. [Poss. conn. with <smallcaps>kuddāla</smallcaps>-²: note esp. H.<i>uṛāl</i> and Or. <i>kudāḷa</i> 'Bauhinea variegata']",cdial
1991,Indo-Aryan,*uddāla,<html><body><number>1991</number> <b>*uddāla</b>² 'bursting'. [√<smallcaps>dal</smallcaps>¹],cdial
1992,Indo-Aryan,uddālayati,"<html><body><number>1992</number> <b>uddālayati</b> 'bursts, tears up' MBh. ~ *<smallcaps>uddārayati: √dal</smallcaps>¹]",cdial
1993,Indo-Aryan,*uddāvayati,"<html><body><number>1993</number> <b>*uddāvayati</b> 'pains'. [Cf. <i>dunṓti</i> 'torments' AV., caus. <i>dāvayati</i>: √<smallcaps>du</smallcaps>¹]",cdial
1994,Indo-Aryan,úddīpyatē,"<html><body><number>1994</number> <b>úddīpyatē</b> 'blazes up' ŚBr. [Cf. <i>úddīpayati</i> 'inflames' AV., Pa. <i>uddīpanā</i>- f. 'explanation', Pk. <i>uddīvia</i>- 'kindled'; <i>uddīpta</i>- 'flaming' lex., Pk. <i>udditta</i>-: √<smallcaps>dīp</smallcaps>]",cdial
1995,Indo-Aryan,*uddīyati,<html><body><number>1995</number> <b>*uddīyati</b> 'flies up'. [√<smallcaps>dī</smallcaps>¹],cdial
1996,Indo-Aryan,*uddūyatē,<html><body><number>1996</number> <b>*uddūyatē</b> 'is hurt'. [√<smallcaps>du</smallcaps>¹],cdial
1997,Indo-Aryan,*uddēkṣati,"<html><body><number>1997</number> <b>*uddēkṣati</b> 'looks for, expects'. 2. <b>*uddēkṣā-.</b> [Formed from *<smallcaps>dēkṣati</smallcaps> after <i>údīkṣatē</i> ŚBr.: √<smallcaps>īkṣ</smallcaps> and√<smallcaps>dr̥ś</smallcaps>]",cdial
1998,Indo-Aryan,uddēśa,"<html><body><number>1998</number> <b>uddēśa</b> m. 'pointing out, explaining' MBh. [√<smallcaps>diś</smallcaps>]",cdial
1999,Indo-Aryan,*uddēśayati,<html><body><number>1999</number> <b>*uddēśayati</b> 'points out'. [<i>uddiśati</i> 'directs towards' TBr.: √<smallcaps>diś</smallcaps>],cdial
2000,Indo-Aryan,uddyōta,"<html><body><number>2000</number> <b>uddyōta</b> 'flashing' R., m. 'light' MBh. [Cf. <i>úddyōtatē</i> 'shines forth' RV.: √<smallcaps>dyut</smallcaps>]",cdial
2001,Indo-Aryan,*uddrāti,"<html><body><number>2001</number> <b>*uddrāti</b> 'flees, flies'. [Cf. <i>uddrāvá</i>- 'running away' VS., m. 'going upwards' Pāṇ.: √<smallcaps>drā</smallcaps>]",cdial
2002,Indo-Aryan,uddrāvá,"<html><body><number>2002</number> <b>uddrāvá</b> 'running away' VS., m. 'flight, retreat' Pāṇ. [√<smallcaps>dru</smallcaps>¹]",cdial
2003,Indo-Aryan,*uddrāvayati,"<html><body><number>2003</number> <b>*uddrāvayati</b> 'puts to flight'. [Cf. <i>úddruta</i>- 'running away' VS., <i>drāváyati</i> MBh.: √<smallcaps>dru</smallcaps>¹]",cdial
2004,Indo-Aryan,*uddvāla,<html><body><number>2004</number> <b>*uddvāla</b> 'burning'. [√*<smallcaps>dval</smallcaps>],cdial
2005,Indo-Aryan,*uddʰaḍ,<html><body><number>2005</number> <b>*uddhaḍ</b> 'throb'. [*<smallcaps>dhaḍ</smallcaps>-],cdial
2006,Indo-Aryan,uddʰata,"<html><body><number>2006</number> <b>uddhata</b> 'raised, high' ŚBr., 'haughty, excited' R. [See *<smallcaps>udghata-: √han</smallcaps>¹]",cdial
2007,Indo-Aryan,úddʰanti,"<html><body><number>2007</number> <b>úddhanti</b> 'lifts up' RV., 'turns up the earth' TS. [√<smallcaps>han</smallcaps>¹]",cdial
2008,Indo-Aryan,uddʰama,"<html><body><number>2008</number> <b>uddhama</b> m. 'panting' Vop. 2. <b>*uddhāma-.</b> [Cf. <i>uddhamati</i> 'blows out' TĀr., Pk. <i>uddhamaï</i> 'blows':√<smallcaps>dham</smallcaps>]",cdial
2009,Indo-Aryan,úddʰarati,"<html><body><number>2009</number> <b>úddharati</b> 'takes out' RV., 'rescues, ladles up' AV., 'raises' TS. 2. <b>úddhr̥ta-</b> 'drawn up or out' AV. 3.<b>uddhārayati</b> 'raises'. 4. <b>*ūḍhārayati</b> &lt; <i>*udᶻdh</i>- (= Av. <i>uz-d-</i>)? [<i>ud-hr̥</i>- and <i>ud-dhr̥</i> collide, but Pa.absol. <i>ūhacca</i> is &lt; <i>*uhhr̥tya</i> &lt; <i>ud-hr̥tya</i> with assimilationof unexploded -<i>d</i> to <i>h</i>-: √<smallcaps>hr̥</smallcaps> or √<smallcaps>dhr̥</smallcaps>]",cdial
2010,Indo-Aryan,*uddʰarā,<html><body><number>2010</number> <b>*uddharā</b> 'water-channel'. [√<smallcaps>dhr̥</smallcaps> or √<smallcaps>hr̥</smallcaps>],cdial
2011,Indo-Aryan,uddʰarṣa,<html><body><number>2011</number> <b>uddharṣa</b> m. 'flaring upwards (of flame)' Sāy. [√<smallcaps>hr̥ṣ</smallcaps>],cdial
2012,Indo-Aryan,uddʰava,"<html><body><number>2012</number> <b>uddhava</b>¹ m. 'sacrificial fire, festival' lex. [√<smallcaps>hu</smallcaps>]",cdial
2013,Indo-Aryan,uddʰava,<html><body><number>2013</number> <b>uddhava</b>² m. 'name of a friend of Kr̥ṣṇa' MBh. [The ill-success of his mission to Rādhā made him asymbol of simplicity: ODBL 507],cdial
2014,Indo-Aryan,uddʰāna,"<html><body><number>2014</number> <b>uddhāna</b>¹ '*stand, rest' (cf. <smallcaps>uddhí</smallcaps>-), n. 'fire-place' lex. (for <smallcaps>uddhmāna- ?). [√dhā</smallcaps>]",cdial
2015,Indo-Aryan,uddʰāna,"<html><body><number>2015</number> <b>uddhāna</b>² '*rising up', n. 'act of ejecting' lex. [Cf. <i>újjihītē</i> 'rises up' RV.: √<smallcaps>hā</smallcaps>²]",cdial
2016,Indo-Aryan,*uddʰānayati,"<html><body><number>2016</number> <b>*uddhānayati</b> 'lifts up'. [Cf. <i>úddhanti</i> 'lifts up, throws away' RV.: √<smallcaps>han</smallcaps>¹]",cdial
2017,Indo-Aryan,*uddʰāpayati,"<html><body><number>2017</number> <b>*uddhāpayati</b> 'sets up'. [<i>úddadhāti</i> 'erects (penis)' RV., 'sets up' AV.: √<smallcaps>dhā</smallcaps>]",cdial
2018,Indo-Aryan,uddʰārá,"<html><body><number>2018</number> <b>uddhārá</b> m. 'act of raising' Gaut., 'deliverance' MBh., 'loan (esp. without interest)'. [√<smallcaps>dhr̥</smallcaps>]",cdial
2019,Indo-Aryan,*uddʰāva,<html><body><number>2019</number> <b>*uddhāva</b> 'running away'. [√<smallcaps>dhāv</smallcaps>¹],cdial
2020,Indo-Aryan,*uddʰāvati,<html><body><number>2020</number> <b>*uddhāvati</b> 'runs away'. 2. <b>*uddhāvayati.</b> [√<smallcaps>dhāv</smallcaps>¹],cdial
2021,Indo-Aryan,uddʰí,"<html><body><number>2021</number> <b>uddhí</b> m. 'seat of a carriage' AV., 'earthen stand on which the <i>ukhā</i> rests' ŚBr. [√<smallcaps>dhā</smallcaps>]",cdial
2022,Indo-Aryan,*uddʰīyatē,<html><body><number>2022</number> <b>*uddhīyatē</b> 'is raised'. [<i>úddadhāti</i> 'raises' RV.: √<smallcaps>dhā</smallcaps>],cdial
2023,Indo-Aryan,*uddʰuppā,<html><body><number>2023</number> <b>*uddhuppā</b> 'great heat'. [*<smallcaps>dhuppā</smallcaps>-],cdial
2024,Indo-Aryan,*uddʰuvati,"<html><body><number>2024</number> <b>*uddhuvati</b>, or <i>*uddhavati</i> 'shakes up'. [Cf. <i>dhuváti</i> AV., <i>dhaváti</i> Dhātup., <i>úddhunōti</i> 'shakes up' RV., Pk.<i>uddhuṇiya</i>-, <i>°ūṇiya</i>- 'blown by the wind, scattered':√<smallcaps>dhū</smallcaps>]",cdial
2025,Indo-Aryan,*uddʰūḍi,<html><body><number>2025</number> <b>*uddhūḍi</b> 'excessive dust'. [*<smallcaps>dhūḍi</smallcaps>-],cdial
2026,Indo-Aryan,uddʰūta,"<html><body><number>2026</number> <b>uddhūta</b>, <i>°dhuta</i>- 'shaken, shaken off, thrown up' MBh. [Cf. <i>úddhū˘nōti</i> RV.: √<smallcaps>dhū</smallcaps>]",cdial
2027,Indo-Aryan,uddʰūlayati,<html><body><number>2027</number> <b>uddhūlayati</b> 'sprinkles with powder' Kathās. 2. <b>uddhūlana-</b> n. 'act of so doing' Bālar. [*<smallcaps>dhūḍi</smallcaps>-],cdial
2028,Indo-Aryan,uddʰmāna,<html><body><number>2028</number> <b>uddhmāna</b> n. 'fire-place' lex. [Perh. re-sanskritization of <smallcaps>uddhāna</smallcaps>-¹; but semant. cf. <smallcaps>udvāna</smallcaps>-³ withwhich it would collide in Paš. and Si.: √<smallcaps>dham</smallcaps>],cdial
2029,Indo-Aryan,*uddʰmāyatē,<html><body><number>2029</number> <b>*uddhmāyatē</b> 'is inflated'. [<i>uddhamati</i> 'inflates' TĀr.: √<smallcaps>dham</smallcaps>],cdial
2030,Indo-Aryan,*uddʰrasā,"<html><body><number>2030</number> <b>*uddhrasā</b> 'coughing up'. [<i>dhrasnāti</i> 'casts up', <i>udhrasnāti</i> 'throws up, gleans', perf. <i>udhrasāṁ babhūva</i>,<i>udhrāsayati</i> Dhātup. for <i>uddhr°</i> E. H. Johnston JRAS1931, 571: √<smallcaps>dhras</smallcaps>]",cdial
2031,Indo-Aryan,uddʰvaṁsatē,"<html><body><number>2031</number> <b>uddhvaṁsatē</b> 'is affected by disease' Car. [<i>uddhvaṁsa</i>- m. 'affection of the throat, hoarseness' Suśr.,<i>uddhvaṁsayati</i> 'attacks, affects' MBh., Pa. <i>uddhaṁsati</i>,Pk. <i>uddhaṁsaï</i>: √<smallcaps>dhvaṁs</smallcaps>]",cdial
2032,Indo-Aryan,*uddʰvalati,"<html><body><number>2032</number> <b>*uddhvalati</b> 'goes astray'. 2. <b>*uddhvālayati</b> 'leads astray'. 3. <b>*uddhvāla-.</b> [Prob. cmpd. of <i>hválati</i> 'goesastray' ŚBr. = <i>hváratē</i> RV., <i>hvālayati</i> 'shakes' Bhaṭṭ.;but poss., in view of forms with <i>ūḍh</i>- (if &lt; <i>*udᶻdh</i>-),cmpd. of <i>*dhvalati</i> = <i>dhvárati</i> 'bends, makes fall'Dhātup., 3 pl. aor. mid. <i>ádhūrṣata</i> RV.: √<smallcaps>hval (√hvr̥)</smallcaps>or √<smallcaps>dhvr̥</smallcaps>]",cdial
2033,Indo-Aryan,údbudʰyatē,<html><body><number>2033</number> <b>údbudhyatē</b> 'is awake' RV. [√<smallcaps>budh</smallcaps>],cdial
2034,Indo-Aryan,*udbūra,"<html><body><number>2034</number> <b>*udbūra</b> 'sprinkling, powder'. [*<smallcaps>būra</smallcaps>-]",cdial
2035,Indo-Aryan,*udbʰakti,<html><body><number>2035</number> <b>*udbhakti</b> 'out of line'. [<smallcaps>bhaktí</smallcaps>-],cdial
2036,Indo-Aryan,*udbʰajyatē,"<html><body><number>2036</number> <b>*udbhajyatē</b> 'is broken'. 2. <b>udbhagna-</b> 'burst, torn' Suśr. [√<smallcaps>bhañj</smallcaps>]",cdial
2037,Indo-Aryan,*udbʰara,<html><body><number>2037</number> <b>*udbhara</b> 'rising'. [See <smallcaps>údbharati: √bhr̥</smallcaps>],cdial
2038,Indo-Aryan,údbʰarati,"<html><body><number>2038</number> <b>údbharati</b> 'raises' RV. 2. <b>*udbhārayati</b> 'causes to be raised'. 3. <b>*udbhr̥ta-</b>, <i>udbhaṭa</i>- 'eminent' Bhar.[Cf. *<smallcaps>ubbal-: √bhr̥</smallcaps>]",cdial
2039,Indo-Aryan,udbʰava,"<html><body><number>2039</number> <b>udbhava</b> m. 'origin, birth' Yājñ. [√<smallcaps>bhū</smallcaps>]",cdial
2040,Indo-Aryan,*udbʰāyayati,"<html><body><number>2040</number> <b>*udbhāyayati</b> 'frightens'. [<i>bhāyayati</i>, <i>bhāpayati</i> Pāṇ.: √<smallcaps>bhī</smallcaps>]",cdial
2041,Indo-Aryan,*udbʰāra,<html><body><number>2041</number> <b>*udbhāra</b> 'rising'. [√<smallcaps>bhr̥</smallcaps>],cdial
2041a,Indo-Aryan,udbʰāva,"<html><body><number>2041a</number> †<b>udbhāva-</b> m. 'production' MBh., <i>udbhāvana</i>- n. 'neglect, disregard' MBh. [√<smallcaps>bhū</smallcaps>]",cdial
2042,Indo-Aryan,udbʰāsayati,<html><body><number>2042</number> <b>udbhāsayati</b> 'illuminates' Hariv. [<i>udbhāsati</i> 'shines out' MBh.: √<smallcaps>bhās</smallcaps>],cdial
2043,Indo-Aryan,*udbʰiṭ,<html><body><number>2043</number> <b>*udbhiṭ</b> 'just meet'. [√*<smallcaps>bhiṭ</smallcaps>],cdial
2044,Indo-Aryan,udbʰidyatē,"<html><body><number>2044</number> <b>udbhidyatē</b> 'springs open, bursts forth' MBh. [<i>údbhinatti</i> RV.: √<smallcaps>bhid</smallcaps>]",cdial
2045,Indo-Aryan,*udbʰujati,<html><body><number>2045</number> <b>*udbhujati</b> 'bends up'. 2. <b>*udbhukta-.</b> [<i>bhujáti</i> 'bends' Dhātup.: √<smallcaps>bhuj</smallcaps>¹],cdial
2046,Indo-Aryan,udbʰūta,"<html><body><number>2046</number> <b>udbhūta</b> 'come forth' MaitrUp., 'elevated' R. [√<smallcaps>bhū</smallcaps>]",cdial
2047,Indo-Aryan,*udbʰr̩jjati,<html><body><number>2047</number> <b>*udbhr̥jjati</b> 'fries'. [√<smallcaps>bhrajj</smallcaps>],cdial
2048,Indo-Aryan,udyama,"<html><body><number>2048</number> <b>udyama</b> m. 'act of raising' Yājñ., 'undertaking, striving after, zeal' R. [√<smallcaps>yam</smallcaps>]",cdial
2049,Indo-Aryan,*udyamati,"<html><body><number>2049</number> <b>*udyamati,</b> <i>údyacchati</i> 'raises' RV., 'undertakes, is diligent' MBh. 2. <b>udyamana-</b> n. 'raising' Pāṇ.,'exertion' Daś. [√<smallcaps>yam</smallcaps>]",cdial
2050,Indo-Aryan,*udyasati,"<html><body><number>2050</number> <b>*udyasati</b> 'is eager for' [Cf. <i>udyāsá</i>- m. 'exertion, effort' VS., <i>yásyati</i> 'froths up' RV., 'heats or exertsoneself' Car., <i>yasati</i> Pāṇ.: √<smallcaps>yas</smallcaps>]",cdial
2051,Indo-Aryan,údyāti,"<html><body><number>2051</number> <b>údyāti</b> 'rises' RV., 'goes out' ŚBr., 'originates from' Rājat. [√<smallcaps>yā</smallcaps>]",cdial
2052,Indo-Aryan,udyā́na,"<html><body><number>2052</number> <b>udyā́na</b> n. 'going out' AV. 2. 'park, garden' Yājñ., <i>°aka</i>- n. R. [√<smallcaps>yā</smallcaps>]",cdial
2053,Indo-Aryan,*udyāpayati,"<html><body><number>2053</number> <b>*udyāpayati</b> 'finishes'. 2. <b>udyāpana-</b> n. 'conclusion' MW. [<i>udyāpita</i>- 'finished' MW., <i>vratōdyāpana</i>- ZDMGvi 92: √<smallcaps>yā</smallcaps>]",cdial
2054,Indo-Aryan,*udyāmayati,<html><body><number>2054</number> <b>*udyāmayati</b> 'raises'. [<i>údyata</i>- 'raised (of weapons)' RV.: √<smallcaps>yam</smallcaps>],cdial
2055,Indo-Aryan,udyōga,"<html><body><number>2055</number> <b>udyōga</b> m. 'active preparation, exertion'. [√<smallcaps>yuj</smallcaps>]",cdial
2056,Indo-Aryan,udrá,<html><body><number>2056</number> <b>udrá</b>¹ m. 'an aquatic animal' VS. [√<smallcaps>ud</smallcaps>²],cdial
2057,Indo-Aryan,udra,"<html><body><number>2057</number> <b>udra</b>² 'water' in <i>anudrá</i>- 'waterless', <i>udrín</i>- 'abounding in water' RV. 2. <b>ulla-</b>² 'wet' BHSk. [<smallcaps>udán-: ud</smallcaps>²]",cdial
2058,Indo-Aryan,*udraṁhati,"<html><body><number>2058</number> <b>*udraṁhati</b> 'jumps up'. 2. Caus. <b>*udraṁhayati.</b> [<i>ráṁhati</i> 'hastens' RV., <i>raṅghatē</i> Bhaṭṭ., <smallcaps>láṅghati</smallcaps>'jumps' Dhātup., all &lt; IE. <i>*legʷh</i>- IEW 660: √<smallcaps>raṁh</smallcaps>]",cdial
2059,Indo-Aryan,*udrasa,<html><body><number>2059</number> <b>*udrasa</b> 'sapless'. [<smallcaps>rása</smallcaps>-],cdial
2060,Indo-Aryan,*udrikʰati,"<html><body><number>2060</number> <b>*udrikhati</b>, <i>úllikhati</i> 'makes an incision or furrow' ŚBr., 'scratches' AśvGr̥. [√<smallcaps>rikh</smallcaps>¹]",cdial
2061,Indo-Aryan,údricyatē,"<html><body><number>2061</number> <b>údricyatē</b> 'is prominent' RV. 2. <b>*udriñcati</b> 'empties'. 3. <b>údrikta-</b> 'superfluous' TS. 4. <b>*udrēcati</b> 'leaves'.5. <b>udrēcayati</b> 'causes to increase' Rājat. 6. <b>*udrēcyatē</b> 'is poured out'. [All later forms have basicmeaning of uncompounded <i>ric</i>- 'leave, empty, pour'cf. Pa. <i>uddēkanika</i>- 'spouting' ZDMG 114, 445 &lt;<i>udrēka</i>-: √<smallcaps>ric</smallcaps>]",cdial
