Item	PDF_Page	Printed_Page	Row	OCR_Gloss_Scaffold	Manual_Gloss	Review_Status	Confidence	Notes
266	227	222	16	millet	millet	complete	high	visually read from physical p.249 / printed p.244; OCR ignored
267	227	222	17	bread	bread	complete	high	visually read from physical p.249 / printed p.244; OCR ignored
268	227	222	18	pepper	pepper	complete	high	visually read from physical p.249 / printed p.244; OCR ignored
269	227	222	19	honey	honey	complete	high	visually read from physical p.249 / printed p.244; OCR ignored
270	227	222	20	20 sugar	sugar	complete	high	visually read from physical p.249 / printed p.244; OCR ignored
271	227	222	21		oil	complete	high	visually read from physical p.249 / printed p.244; OCR ignored
272	227	222	22		flour	complete	high	visually read from physical p.249 / printed p.244; OCR ignored
273	227	222	23	03	curry	complete	high	visually read from physical p.249 / printed p.244; OCR ignored
274	227	222	24	24 Gurry	cradle	complete	high	visually read from physical p.249 / printed p.244; OCR ignored
275	227	222	25	5grave Cradle	grave	complete	high	visually read from physical p.249 / printed p.244; OCR ignored
276	228	223	1	gravefield	gravefield	complete	high	visually read from physical p.250 / printed p.245; OCR ignored
277	228	223	2	217 hole	hole	complete	high	visually read from physical p.250 / printed p.245; OCR ignored
278	228	223	3	218 fish poison	fish poison	complete	high	visually read from physical p.250 / printed p.245; OCR ignored
279	228	223	4	birdgun	birdgun	complete	high	visually read from physical p.250 / printed p.245; OCR ignored
280	228	223	5	sickle	sickle	complete	high	visually read from physical p.250 / printed p.245; OCR ignored
281	228	223	6	digging stick	digging stick	complete	high	visually read from physical p.250 / printed p.245; OCR ignored
282	228	223	7	pestle	pestle	complete	high	visually read from physical p.250 / printed p.245; OCR ignored
283	228	223	8	mortar	mortar	complete	high	visually read from physical p.250 / printed p.245; OCR ignored
284	228	223	9	grindstone	grindstone	complete	high	visually read from physical p.250 / printed p.245; OCR ignored
285	228	223	10	205 oilpress	oilpress	complete	high	visually read from physical p.250 / printed p.245; OCR ignored
286	228	223	11	pounder	pounder	complete	high	visually read from physical p.250 / printed p.245; OCR ignored
287	228	223	12	storehouse	storehouse	complete	high	visually read from physical p.250 / printed p.245; OCR ignored
288	228	223	13	post	post	complete	high	visually read from physical p.250 / printed p.245; OCR ignored
289	228	223	14	hat	hat	complete	high	visually read from physical p.250 / printed p.245; OCR ignored
290	228	223	15	turban	turban	complete	high	visually read from physical p.250 / printed p.245; OCR ignored
291	228	223	16	skirt	skirt	complete	high	visually read from physical p.250 / printed p.245; OCR ignored
292	228	223	17	blouse	blouse	complete	high	visually read from physical p.250 / printed p.245; OCR ignored
293	228	223	18	93 earrings	earrings	complete	high	visually read from physical p.250 / printed p.245; OCR ignored
294	228	223	19	bangles	bangles	complete	high	visually read from physical p.250 / printed p.245; OCR ignored
295	228	223	20	cyubals	cymbals	complete	high	visually read from physical p.250 / printed p.245; OCR ignored
296	228	223	21	Cne (person)	one (person)	complete	high	visually read from physical p.250 / printed p.245; OCR ignored
297	228	223	22	ane (stone)	one (stone)	complete	high	visually read from physical p.250 / printed p.245; OCR ignored
298	228	223	23	9 two	two (persons)	complete	high	visually read from physical p.250 / printed p.245; OCR ignored
299	228	223	24	9 two (persons) (stones)	two (stones)	complete	high	visually read from physical p.250 / printed p.245; OCR ignored
300	228	223	25	00 three	three	complete	high	visually read from physical p.250 / printed p.245; OCR ignored
301	229	224	1	four	four	complete	high	visually read from physical p.251 / printed p.246; OCR ignored
302	229	224	2	five	five	complete	high	visually read from physical p.251 / printed p.246; OCR ignored
303	229	224	3	six	six	complete	high	visually read from physical p.251 / printed p.246; OCR ignored
304	229	224	4	seven	seven	complete	high	visually read from physical p.251 / printed p.246; OCR ignored
305	229	224	5	elght	eight	complete	high	visually read from physical p.251 / printed p.246; OCR ignored
306	229	224	6	nine	nine	complete	high	visually read from physical p.251 / printed p.246; OCR ignored
307	229	224	7	ten	ten	complete	high	visually read from physical p.251 / printed p.246; OCR ignored
308	229	224	8	eleven	eleven	complete	high	visually read from physical p.251 / printed p.246; OCR ignored
309	229	224	9	twelve	twelve	complete	high	visually read from physical p.251 / printed p.246; OCR ignored
310	229	224	10	twenty	twenty	complete	high	visually read from physical p.251 / printed p.246; OCR ignored
311	229	224	11	one hundred	one hundred	complete	high	visually read from physical p.251 / printed p.246; OCR ignored
312	229	224	12	day(tire)	day(time)	complete	high	visually read from physical p.251 / printed p.246; source lacks a space before parenthesis
313	229	224	13	31% night	night	complete	high	visually read from physical p.251 / printed p.246; OCR ignored
314	229	224	14	today	today	complete	high	visually read from physical p.251 / printed p.246; OCR ignored
315	229	224	15	tomorrow	tomorrow	complete	high	visually read from physical p.251 / printed p.246; OCR ignored
316	229	224	16	31 yesterday	yesterday	complete	high	visually read from physical p.251 / printed p.246; OCR ignored
317	229	224	17	this year	this year	complete	high	visually read from physical p.251 / printed p.246; OCR ignored
318	229	224	18	last year	last year	complete	high	visually read from physical p.251 / printed p.246; OCR ignored
319	229	224	19	next year	next year	complete	high	visually read from physical p.251 / printed p.246; OCR ignored
320	229	224	20		now	complete	high	visually read from physical p.251 / printed p.246; OCR ignored
321	229	224	21	21 betore	before	complete	high	visually read from physical p.251 / printed p.246; OCR ignored
322	229	224	22	22 later	later	complete	high	visually read from physical p.251 / printed p.246; OCR ignored
323	229	224	23	4tather	father	complete	high	visually read from physical p.251 / printed p.246; OCR ignored
324	229	224	24	mother	mother	complete	high	visually read from physical p.251 / printed p.246; OCR ignored
325	229	224	25	chlld (cf. 59)	child (cf. 59)	complete	high	visually read from physical p.251 / printed p.246; printed cross-reference retained
326	230	225	1	126 baby	baby	complete	high	visually read from physical p.252 / printed p.247; OCR ignored
327	230	225	2	san	son	complete	high	visually read from physical p.252 / printed p.247; OCR ignored
328	230	225	3	daugthter	daughter	complete	high	visually read from physical p.252 / printed p.247; OCR ignored
329	230	225	4	129 brother, older	brother, older	complete	high	visually read from physical p.252 / printed p.247; OCR ignored
330	230	225	5	130 brother, younger	brother, younger	complete	high	visually read from physical p.252 / printed p.247; OCR ignored
331	230	225	6	31 sister, older	sister, older	complete	high	visually read from physical p.252 / printed p.247; OCR ignored
332	230	225	7	sister, younger	sister, younger	complete	high	visually read from physical p.252 / printed p.247; OCR ignored
333	230	225	8	33 grandfather	grandfather	complete	high	visually read from physical p.252 / printed p.247; OCR ignored
334	230	225	9	34 grandnother	grandmother	complete	high	visually read from physical p.252 / printed p.247; OCR ignored
335	230	225	10	grandson	grandson	complete	high	visually read from physical p.252 / printed p.247; OCR ignored
336	230	225	11	3% granddaughter	granddaughter	complete	high	visually read from physical p.252 / printed p.247; OCR ignored
337	230	225	12	father-in-law	father-in-law	complete	high	visually read from physical p.252 / printed p.247; OCR ignored
338	230	225	13	nother-in-lawW	mother-in-law	complete	high	visually read from physical p.252 / printed p.247; OCR ignored
339	230	225	14	39 son-in-law	son-in-law	complete	high	visually read from physical p.252 / printed p.247; OCR ignored
340	230	225	15	daughter-in-law	daughter-in-law	complete	high	visually read from physical p.252 / printed p.247; OCR ignored
341	230	225	16	3A1 ane half	one half	complete	high	visually read from physical p.252 / printed p.247; OCR ignored
342	230	225	17	dann	dawn	complete	high	visually read from physical p.252 / printed p.247; OCR ignored
343	230	225	18	3morming	morning	complete	high	visually read from physical p.252 / printed p.247; OCR ignored
344	230	225	19	4evening	evening	complete	high	visually read from physical p.252 / printed p.247; OCR ignored
345	230	225	20	nOon	noon	complete	high	visually read from physical p.252 / printed p.247; OCR ignored
346	230	225	21	% to daysago	two days ago	complete	high	visually read from physical p.252 / printed p.247; OCR ignored
347	230	225	22	1 threedays	three days ago	complete	high	visually read from physical p.252 / printed p.247; OCR ignored
348	230	225	23	ago	two days hence	complete	high	visually read from physical p.252 / printed p.247; OCR ignored
349	230	225	24	two days hence	three days hence	complete	high	visually read from physical p.252 / printed p.247; OCR ignored
350	230	225	25	three days hence	brother-in-law	complete	high	visually read from physical p.252 / printed p.247; OCR ignored
351	231	226	1		sister-in-law	complete	high	visually read from physical p.253 / printed p.248 response page; OCR ignored
352	231	226	2	361 sisiter-ín-lasw	father's brother	complete	high	visually read from physical p.253 / printed p.248 response page; OCR ignored
353	231	226	3	352 fathers brother	father's sister	complete	high	visually read from physical p.253 / printed p.248 response page; OCR ignored
354	231	226	4	"353 father""s sister"	mother's brother	complete	high	visually read from physical p.253 / printed p.248 response page; OCR ignored
355	231	226	5	354 mother!'s brother	mother's sister	complete	high	visually read from physical p.253 / printed p.248 response page; OCR ignored
356	231	226	6	355 nothers sister	cousin	complete	high	visually read from physical p.253 / printed p.248 response page; OCR ignored
357	231	226	7	356 cousin	husband	complete	high	visually read from physical p.253 / printed p.248 response page; OCR ignored
358	231	226	8	357 husband	wife	complete	high	visually read from physical p.253 / printed p.248 response page; OCR ignored
359	231	226	9	wife bride	bride	complete	high	visually read from physical p.253 / printed p.248 response page; OCR ignored
360	231	226	10	bridegroom	bridegroom	complete	high	visually read from physical p.253 / printed p.248 response page; OCR ignored
361	231	226	11	niece	niece	complete	high	visually read from physical p.253 / printed p.248 response page; OCR ignored
362	231	226	12	nephew	nephew	complete	high	visually read from physical p.253 / printed p.248 response page; OCR ignored
363	231	226	13	stepnother	stepmother	complete	high	visually read from physical p.253 / printed p.248 response page; OCR ignored
364	231	226	14	ancestor	ancestor	complete	high	visually read from physical p.253 / printed p.248 response page; OCR ignored
365	231	226	15	descendant	descendant	complete	high	visually read from physical p.253 / printed p.248 response page; OCR ignored
366	231	226	16	bondfriend	bondfriend	complete	high	visually read from physical p.253 / printed p.248 response page; OCR ignored
367	231	226	17	1	I	complete	high	visually read from physical p.253 / printed p.248 response page; OCR ignored
368	231	226	18	thou	thou	complete	high	visually read from physical p.253 / printed p.248 response page; OCR ignored
369	231	226	19	we (inclusive)	we (inclusive)	complete	high	visually read from physical p.253 / printed p.248 response page; OCR ignored
370	231	226	20	we (exclusive)	we (exclusive)	complete	high	visually read from physical p.253 / printed p.248 response page; OCR ignored
371	231	226	21	you two	you two	complete	high	visually read from physical p.253 / printed p.248 response page; OCR ignored
372	231	226	22	you	you	complete	high	visually read from physical p.253 / printed p.248 response page; OCR ignored
373	231	226	23	he	he	complete	high	visually read from physical p.253 / printed p.248 response page; OCR ignored
374	231	226	24	they	they	complete	high	visually read from physical p.253 / printed p.248 response page; OCR ignored
375	231	226	25	they two	they two	complete	high	visually read from physical p.253 / printed p.248 response page; OCR ignored
376	232	227	1	s76 we two (exclusive)	we two (exclusive)	complete	high	visually read from physical p.254 / printed p.249 response page; OCR ignored
377	232	227	2	we two (inclusive)	we two (inclusive)	complete	high	visually read from physical p.254 / printed p.249 response page; OCR ignored
378	232	227	3	this	this	complete	high	visually read from physical p.254 / printed p.249 response page; OCR ignored
379	232	227	4	that	that	complete	high	visually read from physical p.254 / printed p.249 response page; OCR ignored
380	232	227	5	who	who	complete	high	visually read from physical p.254 / printed p.249 response page; OCR ignored
381	232	227	6	what	what	complete	high	visually read from physical p.254 / printed p.249 response page; OCR ignored
382	232	227	7	where	where	complete	high	visually read from physical p.254 / printed p.249 response page; OCR ignored
383	232	227	8	al]	all	complete	high	visually read from physical p.254 / printed p.249 response page; OCR ignored
384	232	227	9	many	many	complete	high	visually read from physical p.254 / printed p.249 response page; OCR ignored
385	232	227	10	red	red	complete	high	visually read from physical p.254 / printed p.249 response page; OCR ignored
386	232	227	11	yellow	yellow	complete	high	visually read from physical p.254 / printed p.249 response page; OCR ignored
387	232	227	12	green	green	complete	high	visually read from physical p.254 / printed p.249 response page; OCR ignored
388	232	227	13	blue	blue	complete	high	visually read from physical p.254 / printed p.249 response page; OCR ignored
389	232	227	14	black	black	complete	high	visually read from physical p.254 / printed p.249 response page; OCR ignored
390	232	227	15	white	white	complete	high	visually read from physical p.254 / printed p.249 response page; OCR ignored
391	232	227	16	big	big	complete	high	visually read from physical p.254 / printed p.249 response page; OCR ignored
392	232	227	17	sall	small	complete	high	visually read from physical p.254 / printed p.249 response page; OCR ignored
393	232	227	18	good	good	complete	high	visually read from physical p.254 / printed p.249 response page; OCR ignored
394	232	227	19	bad	bad	complete	high	visually read from physical p.254 / printed p.249 response page; OCR ignored
395	232	227	20	old	old	complete	high	visually read from physical p.254 / printed p.249 response page; OCR ignored
396	232	227	21	new	new	complete	high	visually read from physical p.254 / printed p.249 response page; OCR ignored
397	232	227	22	heavy	heavy	complete	high	visually read from physical p.254 / printed p.249 response page; OCR ignored
398	232	227	23	11ghnt	light	complete	high	visually read from physical p.254 / printed p.249 response page; OCR ignored
399	232	227	24	tall	tall	complete	high	visually read from physical p.254 / printed p.249 response page; OCR ignored
400	232	227	25	long	long	complete	high	visually read from physical p.254 / printed p.249 response page; OCR ignored
401	233	228	1	short	short	complete	high	visually read from physical p.255 / printed p.250 response page; OCR ignored
402	233	228	2	102 far	far	complete	high	visually read from physical p.255 / printed p.250 response page; OCR ignored
403	233	228	3	near	near	complete	high	visually read from physical p.255 / printed p.250 response page; OCR ignored
404	233	228	4	hot	hot	complete	high	visually read from physical p.255 / printed p.250 response page; OCR ignored
405	233	228	5	cold	cold	complete	high	visually read from physical p.255 / printed p.250 response page; OCR ignored
406	233	228	6	dark	dark	complete	high	visually read from physical p.255 / printed p.250 response page; OCR ignored
407	233	228	7	light	light	complete	high	visually read from physical p.255 / printed p.250 response page; OCR ignored
408	233	228	8	deep	deep	complete	high	visually read from physical p.255 / printed p.250 response page; OCR ignored
409	233	228	9	that (far)	that (far)	complete	high	visually read from physical p.255 / printed p.250 response page; OCR ignored
410	233	228	10	here	here	complete	high	visually read from physical p.255 / printed p.250 response page; OCR ignored
411	233	228	11	there	there	complete	high	visually read from physical p.255 / printed p.250 response page; OCR ignored
412	233	228	12	which	which	complete	high	visually read from physical p.255 / printed p.250 response page; OCR ignored
413	233	228	13	why	why	complete	high	visually read from physical p.255 / printed p.250 response page; OCR ignored
414	233	228	14	when	when	complete	high	visually read from physical p.255 / printed p.250 response page; OCR ignored
415	233	228	15	how	how	complete	high	visually read from physical p.255 / printed p.250 response page; OCR ignored
416	233	228	16	in front	in front	complete	high	visually read from physical p.255 / printed p.250 response page; OCR ignored
417	233	228	17	behind	behind	complete	high	visually read from physical p.255 / printed p.250 response page; OCR ignored
418	233	228	18	above	above	complete	high	visually read from physical p.255 / printed p.250 response page; OCR ignored
419	233	228	19	below	below	complete	high	visually read from physical p.255 / printed p.250 response page; OCR ignored
420	233	228	20	120 under	under	complete	high	visually read from physical p.255 / printed p.250 response page; OCR ignored
421	233	228	21	dark color	dark color	complete	high	visually read from physical p.255 / printed p.250 response page; OCR ignored
422	233	228	22	22 wide	wide	complete	high	visually read from physical p.255 / printed p.250 response page; OCR ignored
423	233	228	23	narrow	narrow	complete	high	visually read from physical p.255 / printed p.250 response page; OCR ignored
424	233	228	24	24 sloH	slow	complete	high	visually read from physical p.255 / printed p.250 response page; OCR ignored
425	233	228	25	25 bent	bent	complete	high	visually read from physical p.255 / printed p.250 response page; OCR ignored
426	234	229	1	126 colled	coiled	complete	high	visually read from physical p.256 / printed p.251 response page; OCR ignored
427	234	229	2	27 straight	straight	complete	high	visually read from physical p.256 / printed p.251 response page; OCR ignored
428	234	229	3	thíck (sheet)	thick (sheet)	complete	high	visually read from physical p.256 / printed p.251 response page; OCR ignored
429	234	229	4	129 thin (sheet)	thin (sheet)	complete	high	visually read from physical p.256 / printed p.251 response page; OCR ignored
430	234	229	5	thíck (rope)	thick (rope)	complete	high	visually read from physical p.256 / printed p.251 response page; OCR ignored
431	234	229	6	131 thin (rope)	thin (rope)	complete	high	visually read from physical p.256 / printed p.251 response page; OCR ignored
432	234	229	7	Seet	sweet	complete	high	visually read from physical p.256 / printed p.251 response page; OCR ignored
433	234	229	8	Sour	sour	complete	high	visually read from physical p.256 / printed p.251 response page; OCR ignored
434	234	229	9	bitter	bitter	complete	high	visually read from physical p.256 / printed p.251 response page; OCR ignored
435	234	229	10	ripe	ripe	complete	high	visually read from physical p.256 / printed p.251 response page; OCR ignored
436	234	229	11	cooked	cooked	complete	high	visually read from physical p.256 / printed p.251 response page; OCR ignored
437	234	229	12	unripe	unripe	complete	high	visually read from physical p.256 / printed p.251 response page; OCR ignored
438	234	229	13	hard	hard	complete	high	visually read from physical p.256 / printed p.251 response page; OCR ignored
439	234	229	14	soft	soft	complete	high	visually read from physical p.256 / printed p.251 response page; OCR ignored
440	234	229	15	wet	wet	complete	high	visually read from physical p.256 / printed p.251 response page; OCR ignored
441	234	229	16	dry	dry	complete	high	visually read from physical p.256 / printed p.251 response page; OCR ignored
442	234	229	17	full	full	complete	high	visually read from physical p.256 / printed p.251 response page; OCR ignored
443	234	229	18	43 round	round	complete	high	visually read from physical p.256 / printed p.251 response page; OCR ignored
444	234	229	19	sharp	sharp	complete	high	visually read from physical p.256 / printed p.251 response page; OCR ignored
445	234	229	20	tast	fast	complete	high	visually read from physical p.256 / printed p.251 response page; OCR ignored
446	234	229	21	6broken	broken	complete	high	visually read from physical p.256 / printed p.251 response page; OCR ignored
447	234	229	22	not broken	not broken	complete	high	visually read from physical p.256 / printed p.251 response page; OCR ignored
448	234	229	23	48 Gry	cry	complete	high	visually read from physical p.256 / printed p.251 response page; OCR ignored
449	234	229	24	A49 de	die	complete	high	visually read from physical p.256 / printed p.251 response page; OCR ignored
450	234	229	25	A50 laugh	laugh	complete	high	visually read from physical p.256 / printed p.251 response page; OCR ignored
451	235	230	1	sleep	sleep	complete	high	visually read from physical p.257 / printed p.252 response page; OCR ignored
452	235	230	2		come	complete	high	visually read from physical p.257 / printed p.252 response page; OCR ignored
453	235	230	3	(63	go	complete	high	visually read from physical p.257 / printed p.252 response page; OCR ignored
454	235	230	4	IS4 move (walk)	move (walk)	complete	high	visually read from physical p.257 / printed p.252 response page; OCR ignored
455	235	230	5	155 fly	fly	complete	high	visually read from physical p.257 / printed p.252 response page; OCR ignored
456	235	230	6	156 sit	sit	complete	high	visually read from physical p.257 / printed p.252 response page; OCR ignored
457	235	230	7	15 stand	stand	complete	high	visually read from physical p.257 / printed p.252 response page; OCR ignored
458	235	230	8	45 stay	stay	complete	high	visually read from physical p.257 / printed p.252 response page; OCR ignored
459	235	230	9	fall	fall	complete	high	visually read from physical p.257 / printed p.252 response page; OCR ignored
460	235	230	10	descend	descend	complete	high	visually read from physical p.257 / printed p.252 response page; OCR ignored
461	235	230	11	ascend	ascend	complete	high	visually read from physical p.257 / printed p.252 response page; OCR ignored
462	235	230	12	flee	flee	complete	high	visually read from physical p.257 / printed p.252 response page; OCR ignored
463	235	230	13	63 swin	swim	complete	high	visually read from physical p.257 / printed p.252 response page; OCR ignored
464	235	230	14	1ie down	lie down	complete	high	visually read from physical p.257 / printed p.252 response page; OCR ignored
465	235	230	15	65 eat	eat	complete	high	visually read from physical p.257 / printed p.252 response page; OCR ignored
466	235	230	16	drink	drink	complete	high	visually read from physical p.257 / printed p.252 response page; OCR ignored
467	235	230	17	bite	bite	complete	high	visually read from physical p.257 / printed p.252 response page; OCR ignored
468	235	230	18	bite, snake	bite, snake	complete	high	visually read from physical p.257 / printed p.252 response page; OCR ignored
469	235	230	19	6 hit	hit	complete	high	visually read from physical p.257 / printed p.252 response page; OCR ignored
470	235	230	20	kill	kill	complete	high	visually read from physical p.257 / printed p.252 response page; OCR ignored
471	235	230	21	7 Cut	cut	complete	high	visually read from physical p.257 / printed p.252 response page; OCR ignored
472	235	230	22	bake	make	complete	high	visually read from physical p.257 / printed p.252 response page; OCR ignored
473	235	230	23		do	complete	high	visually read from physical p.257 / printed p.252 response page; OCR ignored
474	235	230	24	4 tast	tasty	complete	high	visually read from physical p.257 / printed p.252 response page; OCR ignored
475	235	230	25	S astrirgent	astringent	complete	high	visually read from physical p.257 / printed p.252 response page; OCR ignored
476	236	231	1	(76 hot (spicy)	hot (spicy)	complete	high	visually read from physical p.258 / printed p.253 response page; OCR ignored
477	236	231	2	7 sticky	sticky	complete	high	visually read from physical p.258 / printed p.253 response page; OCR ignored
478	236	231	3	78 tlat	flat	complete	high	visually read from physical p.258 / printed p.253 response page; OCR ignored
479	236	231	4	(79 rougth	rough	complete	high	visually read from physical p.258 / printed p.253 response page; OCR ignored
480	236	231	5	80 smooth	smooth	complete	high	visually read from physical p.258 / printed p.253 response page; OCR ignored
481	236	231	6	slippery	slippery	complete	high	visually read from physical p.258 / printed p.253 response page; OCR ignored
482	236	231	7	slow	slow	complete	high	visually read from physical p.258 / printed p.253 response page; OCR ignored
483	236	231	8	fast	fast	complete	high	visually read from physical p.258 / printed p.253 response page; OCR ignored
484	236	231	9	blunt	blunt	complete	high	visually read from physical p.258 / printed p.253 response page; OCR ignored
485	236	231	10	pointed	pointed	complete	high	visually read from physical p.258 / printed p.253 response page; OCR ignored
486	236	231	11	rise (sun)	rise (sun)	complete	high	visually read from physical p.258 / printed p.253 response page; OCR ignored
487	236	231	12	set (sun)	set (sun)	complete	high	visually read from physical p.258 / printed p.253 response page; OCR ignored
488	236	231	13	hunger	hunger	complete	high	visually read from physical p.258 / printed p.253 response page; OCR ignored
489	236	231	14	thirst	thirst	complete	high	visually read from physical p.258 / printed p.253 response page; OCR ignored
490	236	231	15	be i1l	be ill	complete	high	visually read from physical p.258 / printed p.253 response page; OCR ignored
491	236	231	16	vamit	vomit	complete	high	visually read from physical p.258 / printed p.253 response page; OCR ignored
492	236	231	17	cough	cough	complete	high	visually read from physical p.258 / printed p.253 response page; OCR ignored
493	236	231	18	spit	spit	complete	high	visually read from physical p.258 / printed p.253 response page; OCR ignored
494	236	231	19	defecate	defecate	complete	high	visually read from physical p.258 / printed p.253 response page; OCR ignored
495	236	231	20	urinate	urinate	complete	high	visually read from physical p.258 / printed p.253 response page; OCR ignored
496	236	231	21	% yan	yawn	complete	high	visually read from physical p.258 / printed p.253 response page; OCR ignored
497	236	231	22	sing	sing	complete	high	visually read from physical p.258 / printed p.253 response page; OCR ignored
498	236	231	23	darce	dance	complete	high	visually read from physical p.258 / printed p.253 response page; OCR ignored
499	236	231	24	1ive	live	complete	high	visually read from physical p.258 / printed p.253 response page; OCR ignored
500	236	231	25	S00 enter	enter	complete	high	visually read from physical p.258 / printed p.253 response page; OCR ignored
501	237	232	1	go out	go out	complete	high	visually read from physical p.259 / printed p.254 response page; OCR ignored
502	237	232	2	depart	depart	complete	high	visually read from physical p.259 / printed p.254 response page; OCR ignored
503	237	232	3	retum	return	complete	high	visually read from physical p.259 / printed p.254 response page; OCR ignored
504	237	232	4	S04 arrive hame	arrive home	complete	high	visually read from physical p.259 / printed p.254 response page; OCR ignored
505	237	232	5	hander	wander	complete	high	visually read from physical p.259 / printed p.254 response page; OCR ignored
506	237	232	6	go back	go back	complete	high	visually read from physical p.259 / printed p.254 response page; OCR ignored
507	237	232	7	S07 turm around	turn around	complete	high	visually read from physical p.259 / printed p.254 response page; OCR ignored
508	237	232	8	S08 upturn	upturn	complete	high	visually read from physical p.259 / printed p.254 response page; OCR ignored
509	237	232	9	rn	run	complete	high	visually read from physical p.259 / printed p.254 response page; OCR ignored
510	237	232	10	SI0 fall off	fall off	complete	high	visually read from physical p.259 / printed p.254 response page; OCR ignored
511	237	232	11	SI1 get up	get up	complete	high	visually read from physical p.259 / printed p.254 response page; OCR ignored
512	237	232	12	S12 wear	wear	complete	high	visually read from physical p.259 / printed p.254 response page; OCR ignored
513	237	232	13	S13 beat	beat	complete	high	visually read from physical p.259 / printed p.254 response page; OCR ignored
514	237	232	14	chop	chop	complete	high	visually read from physical p.259 / printed p.254 response page; OCR ignored
515	237	232	15	tie up	tie up	complete	high	visually read from physical p.259 / printed p.254 response page; OCR ignored
516	237	232	16	S16 dig	dig	complete	high	visually read from physical p.259 / printed p.254 response page; OCR ignored
517	237	232	17	S17 cook.	cook	complete	high	visually read from physical p.259 / printed p.254 response page; OCR ignored
518	237	232	18	S18 taste	taste	complete	high	visually read from physical p.259 / printed p.254 response page; OCR ignored
519	237	232	19	S19 burn	burn	complete	high	visually read from physical p.259 / printed p.254 response page; OCR ignored
520	237	232	20	S20 burn food	burn food	complete	high	visually read from physical p.259 / printed p.254 response page; OCR ignored
521	237	232	21	52 steal	steal	complete	high	visually read from physical p.259 / printed p.254 response page; OCR ignored
522	237	232	22	527 bring	bring	complete	high	visually read from physical p.259 / printed p.254 response page; OCR ignored
523	237	232	23	S23 carry	carry	complete	high	visually read from physical p.259 / printed p.254 response page; OCR ignored
524	237	232	24	S24 send	send	complete	high	visually read from physical p.259 / printed p.254 response page; OCR ignored
525	237	232	25	S5take ay	take away	complete	high	visually read from physical p.259 / printed p.254 response page; OCR ignored
526	238	233	1	S26 give	give	complete	high	visually read from physical p.260 / printed p.255 response page; OCR ignored
527	238	233	2	see	see	complete	high	visually read from physical p.260 / printed p.255 response page; OCR ignored
528	238	233	3	S28 hear	hear	complete	high	visually read from physical p.260 / printed p.255 response page; OCR ignored
529	238	233	4	say	say	complete	high	visually read from physical p.260 / printed p.255 response page; OCR ignored
530	238	233	5	tell	tell	complete	high	visually read from physical p.260 / printed p.255 response page; OCR ignored
531	238	233	6	think	think	complete	high	visually read from physical p.260 / printed p.255 response page; OCR ignored
532	238	233	7	know	know	complete	high	visually read from physical p.260 / printed p.255 response page; OCR ignored
533	238	233	8	forget	forget	complete	high	visually read from physical p.260 / printed p.255 response page; OCR ignored
534	238	233	9	1ike	like	complete	high	visually read from physical p.260 / printed p.255 response page; OCR ignored
535	238	233	10	happy	happy	complete	high	visually read from physical p.260 / printed p.255 response page; OCR ignored
536	238	233	11	sad	sad	complete	high	visually read from physical p.260 / printed p.255 response page; OCR ignored
537	238	233	12	S37 fear	fear	complete	high	visually read from physical p.260 / printed p.255 response page; OCR ignored
538	238	233	13	S38 ash self	wash self	complete	high	visually read from physical p.260 / printed p.255 response page; OCR ignored
539	238	233	14	S39 wash things	wash things	complete	high	visually read from physical p.260 / printed p.255 response page; OCR ignored
540	238	233	15	S40 meet	meet	complete	high	visually read from physical p.260 / printed p.255 response page; OCR ignored
541	238	233	16	S41 sniff at	sniff at	complete	high	visually read from physical p.260 / printed p.255 response page; OCR ignored
542	238	233	17	SA2 grasp	grasp	complete	high	visually read from physical p.260 / printed p.255 response page; OCR ignored
543	238	233	18	S43 seize	seize	complete	high	visually read from physical p.260 / printed p.255 response page; OCR ignored
544	238	233	19	S44 shoot	shoot	complete	high	visually read from physical p.260 / printed p.255 response page; OCR ignored
545	238	233	20	SAS thrơW	throw	complete	high	visually read from physical p.260 / printed p.255 response page; OCR ignored
546	238	233	21	5A6 crouch	crouch	complete	high	visually read from physical p.260 / printed p.255 response page; OCR ignored
547	238	233	22	S47 shoW	show	complete	high	visually read from physical p.260 / printed p.255 response page; OCR ignored
548	238	233	23	S48 hide	hide	complete	high	visually read from physical p.260 / printed p.255 response page; OCR ignored
549	238	233	24	S49 seek	seek	complete	high	visually read from physical p.260 / printed p.255 response page; OCR ignored
550	238	233	25		sow	complete	high	visually read from physical p.260 / printed p.255 response page; OCR ignored
