@@ pdf30-p25-c1
Appendix B: Irula wordlis
l. body
BAD 4 jenna’
ALU 4 jenna’
BET    missing data
JEN    missing data
73. salt

KUN 1 uppi
KOL 1 uppu
CHE 1 uppé
KIL 1 uppé
MET 1 uppu
CHO 1 upp:
MAV 1 uppu
ANA 1 uppi
BOO 1 upp
THA 1 upp:
NEL 1 upp:
CBT 1 uppé
MAD 1 wuppu
KAN 1 wuppu
BAD 1 wuppu
ALU 1 uppu
BET 1 wuppu
JEN 1 wuppu
74. meat (raw)
KUN 1 kari
KOL 1 Kari
CHE 1 kari
KIL 1 kari
MET 1 kari
CHO 1 Kari
MAV 1 kari
ANA 1 Kari
BOO 2 badé
THA 1 kari
NEL 1 kari
CBT 1 kari

@@ pdf39-p34-c2
MAD 3 mamisam

KAN 4 mamsa

BAD 2 badu

ALU 2 badu

BET 5 arust

JEN 2 badu

75. fish

KUN 1 mins

KOL 1 minu

CHE 1 mini

KIL 1 min

MET 1 mini

CHO 1 mins

MAV 1 mini

ANA 1 mini

BOO 1 mini

THA 1 min

NEL 1 minu

CBT 1 mini

MAD 1 min

KAN 1 minu

BAD 1 minu

ALU 1 minu

BET 1 minu

JEN 1 minu

76. chicken

KUN 1 koji

KOL 1 koji

CHE 1 koji

KIL 1 koji

MET 1 koji

CHO 1 koji

MAV 1 koji

ANA 1 koji

BOO 1 koji

THA 2 ko!

NEL 1 koji

CBT 1 koli

MAD    missing data
KAN    missing data
BAD    missing data
ALU    missing data
BET    missing data
JEN    missing data
77. ege

KUN 1 mutta

KOL 1 mutte

CHE 1 mutta

KIL 1 mutte

MET 1 mutta

@@ pdf39-p34-c3
oT
CHO 1 mutta
MAV 1 mutta
ANA 1,2 mutte
BOO 1 motta
THA 1 mutte
NEL 1 mutta
CBT 1 mutta’
MAD 1 mutta’
KAN 2 motte
BAD 1,2 motte
ALU 1 mutta
BET 3 muriggt
JEN 1,2 motte
78. cow
KUN 1 madi
KOL 1 madi
CHE 1 madi
KIL 1 madi
MET 1 madi
CHO 1 madi
MAV 1 madu
ANA 1 madi
BOO 2 asu
THA 1 madi
NEL 1 madi
CBT 2 pasé
MAD 2 pasu
KAN 2 hasu
BAD 3 dana
ALU 2 pasu
BET    missing data
JEN    missing data
79. milk
KUN 1,2 palé
KOL 1,2 pals
CHE 1,2 palé
KIL 1,2 pala
MET 1,2 palé
CHO 1,2 pali
MAV 1,2 palu
ANA 1,2 pali
BOO 1 alu
THA 1,2 pala
NEL 1,2 palé
CBT 1,2 pali
MAD 2 pal
KAN 1 halu
BAD 1 halu
ALU 1 alu
BET 1,2 palu
JEN 1 alu

@@ pdf40-p35-c1
80. horns

KUN 1 kombé4
KOL 1 kombu
CHE 1 kombii
KIL 1 kombu
MET 1 kombu
CHO 1 kombi
MAV 1 kombu
ANA 1 kombé
BOO 1 kombé4
THA 1 kombu
NEL 1 kombu
CBT 1 kombu
MAD 1 kombu
KAN 1 kombu
BAD 1 kombu
ALU 1 kombu
BET 1 kombu
JEN 1 kombu
81. tail

KUN 1,2 val4
KOL 1,2 valé
CHE 1,2 vali
KIL 1 va@la
MET 1,2 valé
CHO 1,2 valé
MAV 1,2 valé
ANA 1,2 vali
BOO 2 bala
THA 1,2 val
NEL 1,2 vali
CBT 1,2 valé
MAD 1,2 val
KAN 2 bala
BAD 2 balu
ALU 2 balu
BET 2 balu
JEN 2 bala
82. goat

KUN 1 ada
KOL 1 adi
CHE 1 adi
KIL 1 ad
MET 1 adé
CHO 1 adi
MAV 1 adqu
ANA 1 adi
BOO 1 adé
THA 1 adi
NEL 1 adé
CBT 1 adi
MAD 1 aqu

@@ pdf40-p35-c2
KAN 1 a:qu
BAD 1 adu
ALU 1 adqu
BET    missing data
JEN    missing data
83. dog
KUN 1 na‘
KOL 1 na‘
CHE 1 na‘
KIL 1 nat
MET 1 na’
CHO 1 nai
MAV 1 na
ANA 1 na’
BOO 1 na‘
THA 1 na’
NEL 1 na‘
CBT 4 naji
MAD 1 na'
KAN 4 naji
BAD 5 ne
ALU 1 na‘
BET 4 najeé
JEN 4 naji
84. snake
KUN 1 pamb:
KOL 1 pambu
CHE 1 pambi
KIL 1 pambu
MET 1 pambé
CHO 1 pambs
MAV 1 pambé
ANA 1 pambs
BOO 2 avu
THA 1 pambu
NEL 1 pambi
CBT 1 pambi
MAD 1 pambu
KAN 2 havu
BAD 2 havu
ALU 2 avu
BET 1 pambs
JEN 2 avu
85. monkey
KUN 1 koda
KOL 1 koda
CHE 1 koda
KIL 1 kode
MET 1 koda
CHO 1 koda
2 korangé

@@ pdf40-p35-c3
pore]
MAV 2 korangu
ANA 1 koda
BOO 3 keppi
THA 2 korang
NEL 2 korangé
CBT 2 kurangi
MAD 2 kurangu
KAN 4 koti
BAD 1 koda
ALU 1 koda
BET 5 mutsunu
JEN 5 mutsane
86. mosquito
KUN 1 muta
KOL 2 kusune
CHE 2 kusuna
KIL 2 kusune
MET 2 kutsune
CHO 2 kusuna
MAV 2 kusune
ANA 2 kusune
BOO 3 gungiri
THA 2 kusune
NEL 2 kusune
CBT 4 kosé
MAD 4 kosu
KAN 5 solle
BAD 4 kosu
ALU 5 salle
BET 5 solle
JEN 5 solle
87. ant
KUN 1 urumbu
KOL 1 trumbu
CHE 1 rrumbi
KIL 1 urumbu
MET 1 urumbu
CHO 1 trumbu
MAV 1 urumbu
ANA 1 rrumbé
BOO §8 eru
THA 1 erumbu
NEL 1 urumbu
CBT 1 erumb:
MAD 1 jerumbu
KAN 4 jiruve
BAD 4 jrrupu
ALU 5 wuruppu
BET 1,5 wurumbu
JEN 7 4ru

@@ pdf41-p36-c1
88. spider

KUN 1 tJsolandi
KOL 1 tJsolandi
CHE 1 tJsolandi
KIL 1 solandi
MET 1 tsolandi
CHO 2 gorikka
MAV 2 gorika
ANA 2 gorika
BOO 2 gorka
THA 4 pakkidd
NEL 4 pakk4idé
CBT 1 srlandi
MAD 1 silandi
KAN 5 dzedarahula
BAD 1 selundi
ALU 1 solandi
BET    missing data
JEN    missing data
89. name

KUN 1 peré

KOL 1 pera

CHE 1 peri

KIL 1 per:

MET 1 peréd

CHO 1 per:

MAV 1 peru
ANA 1 pert

BOO 2 esuré
THA 1 peréd

NEL 1 pera

CBT 1 peri

MAD 3 pejar
KAN 2 hesaru
BAD 2 hesaru
ALU 5 jedzaru
BET 1 pera

JEN 4 jesru
90. man

KUN 1 gandisu
KOL 1 gandisu
CHE 1 gandutsi
KIL 1 gandusu
MET 1 ganditysi
CHO 1 gandisé
MAV 1 gandisi
ANA 1 kandisé
BOO 1 gandusu
THA 3 amblLar
NEL 3 ambala
CBT 3 ambrla

@@ pdf41-p36-c2
MAD 4 manidan
KAN 5 manusa
BAD 5 manusa
ALU 5 manusa
BET 5 manusan
JEN 5 manusa
91. woman

KUN 1 pend:
KOL 1 pendru
CHE 1 pendr#é
KIL 1 pond:
MET 1 pendri
CHO 1 penn:
MAV 3 pendati
ANA 3 pendati
BOO 4 engusu
THA 1 pendr
NEL 5 pombalLa
CBT 5 pombala
MAD 6 manusi
KAN 4 hengasu
BAD 9 jemmatti
ALU 7 ennuga
BET 10 panakka
JEN 8 ennu
92. child

KUN 2 prlla
KOL 1 prile
CHE 3 tSsiruva
KIL 1 pulle
MET 1 pulle
CHO 2 prlla
MAV 1 prille
ANA 2 prlla
BOO 4 kusu
THA 1 prlle
NEL 1 pulla
CBT 6 kulanda'
MAD 5 kukanda’'
KAN 7 magu
BAD 4 ku:su
ALU 8 kunnennu
BET 7 mage
JEN 4 ku:su:   ;
93. father

KUN 1 amme
KOL 1 amma
CHE 1 amme
KIL 1 amme
MET 1 amme

@@ pdf41-p36-c3
90
CHO 2 appa
MAV 2 appa
ANA 2 appa
BOO 2 appa
THA 1 amma
NEL 1 amma
CBT 2 appa
MAD 2 appa
KAN 3 tande
BAD 2 appa
ALU 2 appa
BET 1 amman
JEN 2 appa
94. mother
KUN 1 agve
KOL 1 agve
CHE 1 agve
KIL 1 agve
MET 1 agve
CHO 1 a“ve
MAV 1 ave
ANA 1 a“ve
BOO 1 ava
THA 2 agga
NEL 2 agga
CBT 3 amma
MAD 3 amma
KAN 4 taji
BAD 5 avve
ALU 5 avve
BET 5 abbe
JEN 5 avve
95. older brother
KUN 1 anne
KOL 1 anna
CHE 1 anne
KIL 1 anne
MET 1 anne
CHO 1 anna
MAV 1 anna
ANA 1 anna
BOO 1 anna
THA 2 a'ja
NEL 1 anna
CBT 1 anna
MAD 3 annan
KAN 1 anna
BAD 1 anna
ALU 1 anna
BET 4 an
JEN 1 anna

@@ pdf42-p37-c1
96. younger brother
KUN 1 tambi
KOL 1 tambi
CHE 1 tambi
KIL 1 tambi
MET 1 tambi
CHO 1 tambi
MAV 1 tambi
ANA 1 tambi
BOO 1 tamma
THA 1 tambi
NEL 1 tambi
CBT 1 tambi
MAD 1 tambi
KAN 1 tamma
BAD 1 tamma
ALU 1 tamma
BET 2 karen
JEN 1 tamma
97. older sister
KUN 1 akke

KOL 1 akka

CHE 1 akka

KIL 1 akke

MET 2 akketSi
CHO 1 akka
MAV 1 akka
ANA 1 akka
BOO 1 akka

THA 1 akka
NEL 1 akka

CBT 1 akka
MAD 1 akka

KAN 1 akka
BAD 1 akka
ALU 1 akka

BET 1 akkan
JEN 1 akka

98. younger sister
KUN 1 tange
KOL 2 tangatSsi
CHE 1 tange
KIL 1 tange
MET 2 tangetsi
CHO 1 tange
MAV 1 tange
ANA 1 tanga
BOO 1 tonga
THA 2 tangatsi
NEL 2 tangatsi
CBT 2 tangatSsi

@@ pdf42-p37-c2
MAD 1 tanga‘
KAN 1 tangi
BAD 3 amme
ALU 1 tange
BET 4 kKaralu
JEN 1 tange
99. son

KUN 2,3 maga
KOL 2,3 maga
CHE 1,2 mahe
KIL 2,3 mage
MET 2,3 maga
CHO 5 manga
MAV 5 manga
ANA 5 manga
BOO 5 manga
THA 1,2 maha
NEL 7 pa‘ jan
CBT 1,4 mahan
MAD 3,4 magan
KAN 2,3 maga
BAD 8 matti
ALU 5 manga
BET 6 mannanu
JEN 5 manna
100. daughter
KUN 2,3 maga
KOL 2,3 maga
CHE 4 pode
KIL 2,3 maga
MET 2,3 maga
CHO 2,3 maga
MAV 2,3 maga
ANA 2,3 maga
BOO 2,3 maga
THA 3 maha
NEL 3 maha
CBT 1 mahal
MAD 1,2 magal
KAN 1 magalu
BAD 5 jennu
ALU 2,3 maga
BET 1 magale
JEN 2,3 maga
101. husband
KUN 1 ala
KOL 1 ala
CHE 2 bave
KIL 1 ale
MET 1 ala

@@ pdf42-p37-c3
os
CHO 1 ala
MAV 1 ala
ANA 1 ala
BOO 3 ganda
THA 1 ala
NEL 4 pusuSa
CBT 6 purézsan
MAD 5 kanavan
KAN 3 ganda
BAD 3 ganda
ALU 3 ganda
BET    missing data
JEN    missing data
102. wife
KUN 1 pend
KOL 1 pends
CHE 1 pends
KIL 1 pondé
MET 1 pend
CHO 1 pend:
MAV 1 pendu
ANA 1 pendé
BOO 4 equtti
THA 1 pend:
NEL 2 pondati
CBT 6 Samsaram
MAD 3 mana' vi
KAN 4 hendatti
BAD 5 jenru
ALU 5 jinru
BET    missing data
JEN    missing data
103. boy
KUN 1 pa'é
KOL 3,4 maga
CHE 5 pilla
KIL 6 orme
MET 1 pa‘ ja
CHO 3 mugaA
MAV 4 manga
ANA 4 manga
BOO 7 gandé
THA 8 anima
NEL 1 pa‘ jan
CBT 1 pa‘ jan
MAD 1 pa‘ jan
KAN 9 hudquga
BAD 7 gandu
ALU 10 ku:su
BET 11 ganamage
JEN 7 gendu

@@ pdf43-p38-c1
104. girl
KUN 1 prila
KOL 3 maga
CHE 4 pode
KIL 3 maga
MET 1 prlle
CHO 3 muga
MAV 4 pude
ANA 1 prlla
BOO 5 enni
THA 2 pettaprlla
NEL 1 pulla
CBT 1 pulla
MAD 6 pen
KAN 7 hudugi
BAD 5 hennu
ALU 5 ennu
BET 8 panakkanmage
JEN 5 ennu
105. day
KUN 1 pakal
KOL 1 pagal
CHE 1,4 pahalé
KIL 1,4 pagal:
MET 1,4 pagali
CHO 1 pahal
MAV 1 pagal
ANA 3 ora
BOO 2 ottara
THA 1 pakal
NEL 1,4 pahalé
CBT 1 pahal
MAD 1 pagal
KAN 4 hagalu
BAD 4 agalu
ALU 4 agalu
BET 1,4 pagala
JEN 4 agalu
106. night
KUN 1 rcapodé
KOL 1 rapodé
CHE 1 rapod4
KIL 2 jama
MET 1 rcapodi
CHO 3 ravi
MAV Ll rapodgu

3 rave
ANA 3 ravé
BOO 4 sandanattu
THA 5 cutté
NEL 6 ratri
CBT 6 ratri

@@ pdf43-p38-c2
MAD 7 jirava

KAN 6 ratri

BAD 8 jiru

ALU 8 jiru

BET 10 trdluna

JEN 9 jrruttu

107. morning

KUN 1 cave

KOL 1 rave

CHE 1 rave

KIL 1 rave

MET 2 rcavepod:

CHO 3 oramé

MAV 3 orame

ANA 5 endalike

BOO 4 ottunanda
THA 6 kalame

NEL 6 Kalame

CBT 7 kala‘

MAD 7 kala'

KAN    missing data
BAD 8 worukkudu
ALU 8 worakksdu
BET    missing data
JEN    missing data
108. noon

KUN 1 maddina

KOL 1 maddina

CHE 1 maddina

KIL 1 maddina

MET 1 madina

CHO 1 maddina

MAV 1 madena

ANA 1,2 madjana
BOO 4 annadiganta
THA 1 maddina

NEL 1 madina

CBT 2 madjanan

MAD 3 magijam

KAN    missing data
BAD    missing data
ALU 1,2 madjana
BET    missing data
JEN    missing data
109.
evening/afternoon
KUN 1 jama

KOL 2 aluganera
CHE 3 algapodé

KIL 2,3 alugapodé
MET 3 algapod4

@@ pdf43-p38-c3
pete)
CHO 4 sande
MAV 6 sangala
ANA 6 Sankala
BOO 5 sandanattu
THA 7 Sajangal
NEL 8 poduvontu
CBT 10 sa'ndram
MAD 9 mala'
KAN 7 Sajankala
BAD 4 santu
ALU 5 sandottu
BET    missing data
JEN    missing data
110. yesterday
KUN 1 narré
KOL 1 narré
CHE 1 narré
KIL 1 nerré
MET 1 nercé
CHO 2 na‘ tt
MAV 2 na‘ ttu
ANA 2 na'tt#
BOO 3 nenna
THA 4 nagat
NEL 4 nagattu
CBT 2 nett4
MAD    missing data
KAN    missing data
BAD    missing data
ALU    missing data
BET    missing data
JEN    missing data
111. today
KUN 1 tnré
KOL 1 inré
CHE 1 incé
KIL 1 inré
MET 2 innike
CHO 1 indé
MAV 1 Indu
ANA 1 india
BOO 3 rvatté
THA 1 indé
NEL 1 tndu
CBT 2 inna' kki
MAD 4 jinru
KAN 5 jidina
BAD 4 jindu
ALU 4 jindu
BET 4 jinda
JEN 4 jindu

@@ pdf44-p39-c1
112. tomorrow

KUN 1 orange

KOL 1 orange

CHE 1 orange

KIL 1 orange

MET 1 orakange
CHO 2 nalakka

MAV 2 nalaka

ANA 3 nala

BOO 3 nala

THA 3 nala'

NEL 3 nala

CBT 2 nala' ki

MAD 3 nala'

KAN 3 nala'

BAD 5 na'‘ka

ALU 4 nagu

BET 7 kekna

JEN 6 naleka

113. week

KUN 1,2 vera

KOL 1 bera

CHE 1 bera

KIL 1 bera

MET 1 bera

CHO 1,2 vara

MAV 1,2 vara

ANA 1,2 vara

BOO 1,2 vara

THA 1,2 vara

NEL 1,2 vara

CBT 2 varam

MAD    missing data
KAN    missing data
BAD    missing data
ALU    missing data
BET    missing data
JEN    missing data
114. month

KUN 1 mesa

KOL 3 t1nga

CHE 3 tinga

KIL 1,2 masa

MET 2 matSfa

CHO 3 tinga

MAV 3 t1ngala

ANA 3 tingala

BOO 3 tinga

THA 1,2 masA

NEL 1,2 masa

CBT 1 masam

@@ pdf44-p39-c2
MAD    missing data
KAN    missing data
BAD    missing data
ALU    missing data
BET    missing data
JEN    missing data
115. year

KUN 1 varata

KOL 1 varisa

CHE 1 varuSsa

KIL 1 varSa

MET 1 varusa

CHO 1 varsa

MAV 1 varusa

ANA 1 varsa

BOO 1 varusa

THA 1 varasaA

NEL 1 varfa

CBT 1 varusam

MAD 3 jindavarudam
KAN 4 jivarusa

BAD 4 jivarusa

ALU 4 jibarusa

BET 5 jierdszr

JEN 4 jivarusa
116. old (object)
KUN 1 pajadé

KOL 2 paja

CHE 2 paja

KIL 1 pajadu

MET 1 pajadé

CHO 2 paja

MAV 1 pajadu

ANA 4 palasé

BOO 3 alajadé

THA 1,3 palijadé
NEL 4 palasé

CBT 4 palasé

MAD 6 pakaja

KAN 7 halejadu

BAD 8 ajidu

ALU 8 ajiadu

BET 5 palamun

JEN 9 ala

117. new (object)
KUN 1,7 pudusu

KOL 2,7 pudija

CHE 1 puusu

KIL 1,7 pudusu

MET 1 pudusi

@@ pdf44-p39-c3
v7
CHO 2 pudija
MAV 2 pudijadu
ANA 1,7 pudis4
BOO 3 vastu
THA 1,7 pudésu
NEL 1,7 pudusu
CBT 1,7 pudisé
MAD 2 pudija
KAN 5 hasadu
BAD 3,4 wostu
ALU    missing data
BET 6 paj* mun
JEN 4 wosa
118. good
KUN 1 nalladi
KOL 2 nalla
CHE 1 nallad4
KIL 1 nalladu
MET 1 nalladé
CHO 4 arumanda
MAV 4 arumanda
ANA 2 nalla
BOO 5 olli
THA 1 nalladé
NEL 2 nalla
CBT 1 nallagé
MAD 2 nalla
KAN 7 wolledu
BAD 7 wollidu
ALU 7 wolitu
BET 1 naldu
JEN 7 wollidu
119. bad
KUN 1 kedi
KOL 1 ketta
CHE 3 kettadi
KIL 1 keds
MET 3 kattadé
CHO 1 ketta
MAV 3 kettadu
ANA 1 ketta
BOO 1 ketta
THA 3 kettadié
NEL 1 ketti
CBT 3 ketads
MAD 2 getta
KAN 3 kettadu
BAD 3 kettadu
ALU 3 ksattodda
BET 6 strila
JEN 5 kettajittu

@@ pdf45-p40-c1
120. wet

KUN 1 ira

KOL 1 ira

CHE 3 odde

KIL 3 odde

MET 1 ira

CHO 1 ira

MAV 4 tema

ANA 5 Sita

BOO 5 Sita

THA 3 odde

NEL 1,2 ircam
CBT 1,2 ircam
MAD 2 jiram
KAN 3 wodde

BAD 7 nrradadu
ALU 6 nanedodda
BET 4 teva

JEN 8 niragiwottu
121. dry

KUN 1 kanga
KOL 2,4 varal
CHE 5 podimme
KIL 2 vara

MET 6 nandé

CHO 7 arurrcukki
MAV 6 nandgu
ANA 4 taral
BOO 8 vonangal:
THA 2 varali
NEL 1 kanzé

CBT 14 varattsi
MAD 9 wularnda
KAN 10,11 wonegiddu
BAD 10 wonigidu
ALU 11 wonagijadda
BET 13 aznni
JEN 12 wonagi
122. long (object)
KUN 1 udda

KOL 1 udda

CHE 1 udda

KIL 1 udda

MET 1 udgda

CHO 1 udda

MAV 2 udgama
ANA 1 udda

BOO 3 udduva
THA 3 uddad4
NEL 4 ojarcama
CBT 7 nilam
MAD 7 nilam

@@ pdf45-p40-c2
KAN 1 wudda
BAD 5 nitta
ALU    missing data
BET 6 néttumbu
JEN 5 nitta
123. short (object)
KUN 1 kula
KOL 2 mondi
CHE 3 mottu
KIL. 1 kule
MET 2 mondi
CHO 4 konne
MAV 5 tundu
ANA 5 tundé
BOO 5 tunda
THA 6 Katta
NEL 7 tJsinnadga
CBT 6 kutta
MAD 6 kutta’'
KAN 8 gidda
BAD 9 kKunnadqu
ALU 9 kunnadu
BET 11 tundudea
JEN 10 srkkugu
124. hot (water)
KUN 1 kajanisé

1 kanzanisé
KOL 1 katsSaniré
CHE 1 katJSaniré
KIL 1 kasaniré
MET 1 katJsaniré
CHO 2 memmaniré
MAV 3 suduniru
ANA 2 memmaniré
BOO 3 brsuniré
THA 4 sudutanni
NEL 4 suqutanni
CBT 4 sudétanni
MAD 5 su:du
KAN 6 bisi
BAD 5 su:du
ALU 7 bedzattu
BET    missing data
JEN 5 su:qu
125. cold (water)
KUN 1 patsaniré
KOL 2 kilimaniré
CHE 1 patsaniré
KIL 2 kelimaniréa
MET 1 patsSaniré
CHO 4 tanniré

@@ pdf45-p40-c3
TU
MAV 4 tanniru
ANA 4 tannic:
BOO 4 tannir4
THA 6 patSatanni
NEL 4 tanni
CBT 6 patsSatanni
MAD 7 kilirnda
KAN 5 tannage
BAD 9 kujila
ALU 8 arijodda
BET 10 sitta
JEN 8 ariotta
126. right
KUN 1 valakka‘
KOL 2 valangade
CHE 1,5 valapakka
KIL 2 velangade
MET 2 valangade
CHO 4 valarari
MAV 4 valarari
ANA 1,5 valapakka
BOO 4 balrari
THA 5 valadétpakkam
NEL 5 valadupakk5
CBT 5 valadépakkam
MAD    missing data
KAN    missing data
BAD    missing data
ALU    missing data
BET    missing data
JEN    missing data
127. left
KUN 1 qakka'
KOL 2 dangade
CHE 3 qapakka
KIL 2 dangade
MET 2 qangaAde
CHO 4 qatfari
MAV 4 datsari
ANA 3 qapakka
BOO 5 edsari
THA 6 adadéipakkam
NEL 6 edqadupakkd5
CBT 6 1tqadgapakkam
MAD    missing data
KAN    missing data
BAD    missing data
ALU    missing data
BET    missing data
JEN    missing data

@@ pdf46-p41-c1
128. near

KUN 1 pakkam
KOL 1,2 pakka
CHE 1,2 pakka
KIL 1,2 pakka
MET 1,2 pakka
CHO 3 danda
MAV 3 dande
ANA 3 danda
BOO 3 dandali
THA 1,2 pakka
NEL 1 pakk5
CBT 1 pakkam
MAD    missing data
KAN 5 nattica
BAD 1,2 pakka
ALU 2 pakkaru
BET 7? tobbea
JEN 6 tittu
129. far

KUN 1 gura
KOL 1 dura
CHE 1 dura

KIL 1 dura
MET 1 dura
CHO 1 dura
MAV 1 dura
ANA 1 dura
BOO 1 dura
THA 1 tura
NEL 1 gurs

CBT 1 duram
MAD    missing data
KAN 1 dgu:ra
BAD 1 gu:ra
ALU 1 dura

BET 2 baldiri
JEN 1 gu:ra
130. big

KUN 1 brlijadé
KOL 1 brlijadu
CHE 1 brlijadu
KIL 1 bilijadu
MET 1 brlijad:
CHO 1 bilijadi
MAV 1 bilijadu
ANA 1 brlijad4
BOO 2 dappa
THA 3 bellad:
NEL 4 perusu
CBT 4 peréré

@@ pdf46-p41-c2
MAD 5 perija
KAN 6 dodda

BAD 7 daddudu
ALU 6 dodda

BET 8 dappudu
JEN 6 dodda

131. small

KUN 1,2 trinnadé
KOL 1,2 t/sinnadu
CHE 1,2 tfinnadu
KIL 1,2 tsfinnadu
MET 1,2 tSinnadi
CHO 1,2 tsfinnadé
MAV 1,2 tfinnadu
ANA 1 sinnadi
BOO 2 tsirkkudé
THA 1 stnnadé
NEL 1,2 tfinadu
CBT 1,2 tfinnads
MAD 3 SrIrija

KAN 2 tJsikkadu
BAD 4 kunnadu
ALU 4 kunnadu
BET 5 kirrdu

JEN 2 tstkkadu
132. heavy

KUN 1 bera

KOL 1 bera

CHE 1 bera

KIL 1 bera

MET 1 bera

CHO 1 bera

MAV 1 bara

ANA 3 tukka

BOO 2 tLukkuvagadga
THA 1 bera

NEL 4 ganama

CBT 4 ganam

MAD 4 ganamana
KAN 6 bara

BAD 7 gettidu
ALU 6 bara

BET 8 beltu:kke
JEN 3 tu:kka
133. light

KUN 1 berakammi
KOL 2 pollana
CHE 1 berakammi
KIL 1 berakammi
MET 1 berakammi

@@ pdf46-p41-c3
TL
CHO 2,3 bollana
MAV 4 osi
ANA 2,3 bollana
BOO 3 bollagada
THA 6 soloti
NEL 7? kammra
CBT 5 les
MAD 8 lesana
KAN 9 hagura
BAD 5 lesu
ALU 10 barajilla
BET 11 tekkele
JEN 2,3 bollaga
134. above
KUN 1 udda
KOL 2,3 mele
CHE 1 udda
KIL 4 uddali
MET 2,3 mele
CHO 2,3 mela
MAV 2,3 mela
ANA 2,3 mele
BOO 3 mega
THA 2 mel
NEL 2,3 mela
CBT 2 mela
MAD 2,3 mele
KAN 2,3 mele
BAD 2,3 mele
ALU 5 wadangu
BET    missing data
JEN    missing data
135. below
KUN 1 adija
KOL 2 kuve
CHE 3 rakka
KIL 4 uddali
MET 2 kuve
CHO 5 palli
MAV 2 kuve
ANA 2 kuve
BOO 6 kelaga
THA 7 adi
NEL 8 kila
CBT 8 kila
MAD 9 kikw
KAN 6 kelage
BAD 8 kija
ALU 7 aqi
BET    missing data
JEN    missing data

@@ pdf47-p42-c1
136. white
KUN 1,2,3 vella’'
KOL 1,2,3 velle
CHE 1,2,3 vella
KIL 2 volle
MET 1,2,3 velle
CHO 3,4 bella
MAV 5,6 beladu
ANA 5,8 belija
BOO 6 belagada
THA 1,2,3 vella'
NEL 1,2,3 vella
CBT 1,2,3 vella
MAD 1 vella'
KAN 4 bili
BAD 3,4 belle
ALU 3,4 belle
BET 7 bulladu
JEN 4,8 beli
137. black
KUN 1,2 kKaripu
KOL 1 karups
CHE 1 karuppé
KIL 4 kenra
MET 1 karuppé
CHO 3 kala
MAV 5 karadu

5 kargada
ANA 3 kala
BOO    missing datz
THA 1,2 karuppu
NEL 1,2 karépu
CBT 1 karapé4
MAD 1,2 karuppu
KAN 2 kappu
BAD 2 kappu
ALU 6 karavadu
BET 1 kareattu
JEN 3 kari
138. red
KUN 1 kanappa
KOL 1 kKanapa
CHE 1 kanappe
KIL 1 kanappa
MET 1 kanappa
CHO 2,3 kempi
MAV 2,3 kempi
ANA 3 kempina
BOO 2 kempga
THA 4 SIvAppu
NEL 5 soppu
CBT 4 Segapp:
MAD 4 stVappu

@@ pdf47-p42-c2
KAN 2 kempu
BAD 2 keppu
ALU 6 netaru
BET 2 kempu
JEN 2 kempu
139. one
KUN 1 onré
KOL 1 onré
CHE 1 onri
KIL 1 onnu
MET 1 onré
CHO 1 onni
MAV 1 onnu
ANA 1 onra
BOO 1,2 ond:
THA 1,2 ondé
NEL 1 onnu
CBT 1 onni
MAD 4 woru
KAN 2 wondu
5 wobba
BAD 2 wondu
5 wobba
ALU 2 wondu
5 wobba
BET 2 wondu
3 won
JEN 2 wondu
140. two
KUN 1 rend
KOL 1 rend
CHE 1 rendé
KIL 1 rendé
MET 1 rend
CHO 1 rendé
MAV 1 rcendi
ANA 1 rend
BOO 1 radi
THA 1 rendé
NEL 1 rendé
CBT 1 cend:
MAD 3 jirandu
KAN 2 jitBBaruUu
3 jeradu
BAD 3 jerudu
ALU 1 radu
BET 4 éddu
JEN 3 jeradu
3 jeradu
141. three
KUN 2 munré4
KOL 2 munré

@@ pdf47-p42-c3
TS
CHE 1,2 munpré
KIL 1,2 munru
MET 2 munré
CHO 1,2 mundi
MAV 1,2 munru
ANA 1 mu' ndé
BOO 3 muru
THA 3 munu
NEL 3 muni
CBT 3 muné
MAD 2 munru
KAN 3 mu:ru
BAD 3 mu:ru
ALU 3 mu:ru
BET 3 mu:ru
JEN 3 mu:tru
142. four
KUN 1 nalu
KOL 1 nalé
CHE 1 nalé
KIL 1 nalu
MET 1 nali
CHO 1 nalé
MAV 1 nalé
ANA 1 nali
BOO 2,4 nakku
THA 1 nalu
NEL 1 naléa
CBT 1 nal
MAD 2 nangu
KAN 4 nalakku
BAD 2,4 naku
ALU 2,4 naku
BET 2,4 naku
JEN 2,4 naku
143. five
KUN 1,2 anzu
KOL 2 anjé
CHE 2 anjé
KIL 2 anju
MET 2 ani
CHO 2 anjé
MAV 2 anju
ANA 2 anji
BOO 4 a‘ di
THA 2 anjé
NEL 2 anj4
CBT 1 andzi
MAD 4 a'ndu
KAN 4 a' du
BAD 4 a' du
ALU 4 a‘du
