Proto_Nuristani_ID,Proto_Nuristani_Form,Indo_Aryan_ID,Indo_Aryan_Form,Indo_Aryan_Gloss,Target_Language,Target_Form,Target_Gloss,Form_Similarity,Gloss_Overlap,Score,Runner_Up_Score,Structural_ID
n693,mârâ˜,9869,maraṇa,dying,OIA,mar-a-ṇa-,dying,1.000,dying,1.250,1.000,
n696,mâra,10063,māra,"death; killing; killing, pestilence; plague; striking, blow",PAr,mâra-,death,1.000,death,1.200,1.200,
n697,mrâra,10063,māra,"death; killing; killing, pestilence; plague; striking, blow",PAr,mâra-,death,1.000,death,1.200,1.200,
n700,mâč,9888,mártya,"a mortal, man",PAr,m′art-ya-,mortal; man,1.000,man;mortal,1.250,1.109,
n705,maṣa,9896,marśa,*rubbing,OIA,marṣ-a-,non-endurance; impatience; anger,1.000,,1.000,0.927,
n708,miš-,10298,mŕ̩ṣā,in vain; falsely; false appearance,PAr,mr̥š-y′a-,in vain; falsely,0.889,falsely;in;vain,1.089,0.889,
n715,branź,9886,*marja,meadow; border region,PAr,marǰa-,meadow,1.000,meadow,1.200,1.000,
n716,mranź,9886,*marja,meadow; border region,PAr,marǰa-,meadow,1.000,meadow,1.200,1.000,
n720,mač,9804,mádʰya,"middle; the middle; waist; among; between; from; in, among",PAr,m′adʱ-ya-,middle,1.000,middle,1.200,1.083,
n725,mâǰamâ,9810,madʰyamá,middlemost,PAr,madʱ-ya-m′a-,middlemost,1.000,middlemost,1.250,0.857,
n726,mâǰamâ-,9810,madʰyamá,middlemost,PAr,madʱ-ya-m′a-,middlemost,1.000,middlemost,1.250,0.857,
n730,mora,9793,madʰurá,sweet,PAr,madʱu-r′a-,sweet,1.000,sweet,1.250,1.033,
n744,mal,9899,mála,dirt; excretion,PAr,m′ala-,dirt,1.000,dirt,1.200,1.000,
n749,mund,10247,mūrdʰán,"cranium, head, top, chief, beginning",OIA,mu:rdʱ′an-,cranium; head,1.000,cranium;head,1.200,0.969,
n750,mund-,10247,mūrdʰán,"cranium, head, top, chief, beginning",OIA,mu:rdʱ′an-,cranium; head,1.000,cranium;head,1.200,0.969,
n754,ma˜tra-,9837,mantráyatē,speaks; consults with; advises,PAr,mantr-′aya-te,speaks; consults with,1.000,consults;speaks,1.200,0.824,
n755,maṇḍe-,9837,mantráyatē,speaks; consults with; advises,PAr,mantr-′aya-te,speaks; consults with,1.000,consults;speaks,1.200,0.824,
n771,mat,9841,mántʰā-,churning-stick; mixed beverage; stirring spoon; stirring; instrument for kindling fire by friction,OIA,manth-′a-,churning,0.909,churning,1.109,1.050,
n787,mâs,10104,mā́sa,"moon, month",PAr,m′âsa-,moon; month,1.000,month;moon,1.250,1.089,
n788,mâs-,10104,mā́sa,"moon, month",PAr,m′âsa-,moon; month,1.000,month;moon,1.250,1.089,
n792,mas,9982,māṁsá,flesh,PAr,mâ˜s′a-,flesh,0.889,flesh,1.139,1.000,
n793,mu,10148,mukuṣṭʰa,a kind of bean; Phaseolus aconitifolius,OIA,mukuṭa-,tiara; crest,0.923,,0.923,0.909,10144
n795,muk,10174,múkʰya,pertaining to face or mouth; chief,OIA,m′ukh-ya-,of the face or mouth,0.909,face;mouth,1.109,1.000,10174
n796,muṭa,10187,*muṭṭa,defective,OIA,*muṭṭa-,defective; blunt,1.000,defective,1.200,1.200,10187.1
n797,muṭana,10187,*muṭṭa,defective,OIA,*muṭṭa-,defective; blunt,1.000,defective,1.200,1.200,10187.1
n798,"muṭana-
vând",10187,*muṭṭa,defective,OIA,*muṭṭa-,defective; blunt,1.000,defective,1.200,1.200,10187.1
n800,must,10221,muṣṭí,"clenched hand, fist; handful",PAr,must′i-,fist,1.000,fist,1.200,1.000,10221
n807,musa,10258-2,mū́ṣika,"rat, mouse",PAr,mu:s-a-ka-,mouse; rat,0.833,mouse;rat,1.083,1.050,
n809,muṣa,10258,mūṣa,"rat, mouse",OIA,mu:ṣ-a-,mouse; rat,1.000,mouse;rat,1.250,1.050,
n813,mul-,10250,mū́la,root; arising from; radish; root used in magic,PAr,m′u:la-,root; arising from,1.000,arising;from;root,1.200,1.000,
n814,muṭa,10245,mū́rti,"any solid body; figure; image, idol",OIA,m′u:rti-,any solid body; image; idol,1.000,any;body;idol;image;solid,1.200,1.033,10245
n815,muli,10257,mūlya,"original value, price; capital",OIA,*mu:l-iya-,original value; price,0.909,original;price;value,1.109,1.033,10257.2
n816,muṛi,10257,mūlya,"original value, price; capital",OIA,*mu:l-iya-,original value; price,0.909,original;price;value,1.109,1.033,10257.2
n821,maṣa-,10334,mēṣá,ram; ewe,OIA,meṣ′a-,ram,1.000,ram,1.200,0.950,
n828,maǰ,9712,majján,"marrow, pith",PAr,maǰǰ′an-,marrow,1.000,marrow,1.200,0.833,
n831,masta,9926,masta,"head; head, skull",PAr,masta-,head; brain,1.000,head,1.200,1.000,
n834,mrasta,9926,masta,"head; head, skull",PAr,mastra-,head; brain,0.909,head,1.109,1.000,
n839,mâranik,9732,maṇi,"hump of camel; glans penis; clitoris; fleshy excrescence on a goat's neck; lex., <i>maṇika</i>- m.; s shoulder; TS. [Semantic development is prob.",PAr,maṇi-,hump; Adam's apple,1.000,hump;s,1.200,1.000,
n846,-vaṇi,11479,vāñcʰā,wish,PAr,vanč-a-,roof beam,1.000,,1.000,0.889,
n850,vi-,11981,*viṣu,"variously, apart",PAr,v′i,"apart, asunder; away",0.667,apart,0.867,0.667,
n854,vići,11711,*viñcati,separates; blow through,PAr,vinčat′i-,twenty,1.000,,1.000,0.923,
n856,viši,11616,viṁśatí,20,OIA,vi˜šat′i-,twenty,0.923,,0.923,0.923,
n860,e˜ši,2411,ūnaviṁśati,19,OIA,u:na-vi˜šati-,nineteen,0.947,,0.947,0.889,
n864,bera,11840,*vira,man,PAr,vi:r-′a-,man; male animal,1.000,man,1.200,1.200,
n869,vem,12113,vḗman,loom,OIA,v′e-man-,loom,1.000,loom,1.250,0.867,
n873,via˜š,12099,vētasá,"ratan, reed",OIA,vet-aš-a-,rattan; reed,1.000,reed,1.200,1.000,
n878,veši,12127,vēśíya,inhabitant,OIA,veš-′iya-,inhabitant,1.000,inhabitant,1.250,1.000,
n882,viš,11968,viṣá,poison,PAr,viš′a-,poison,1.000,poison,1.250,1.000,
n887,vaša-,11431,*vaśati,"wishes, wills",OIA,vaš-a-ti,wishes; wills,1.000,wills;wishes,1.250,1.000,
n893,vâm,11366,vártman,"track of a wheel, path",PAr,v′art-man-,track of a wheel; path,1.000,path;track;wheel,1.250,0.923,
n897,vâr,11348,*varta,round stone,OIA,vart-a-,stone whorl at the bottom of a spindle,1.000,stone,1.200,1.033,
n898,vâṛ,11348,*varta,round stone,OIA,vart-a-,stone whorl at the bottom of a spindle,1.000,stone,1.200,1.033,
n899,vâṭ,11348,*varta,round stone,OIA,vart-a-,stone whorl at the bottom of a spindle,1.000,stone,1.200,1.033,
n903,vâṭ,11348,*varta,round stone,OIA,vart-a-,round stone,1.000,round;stone,1.250,1.200,
n906,vâṭuṇi,11349,vartaka,"*something round; pill, bolus; walnut",PAr,vart-a-ka-,"kind of walnut tree (small, hard nuts)",1.000,walnut,1.200,1.123,
n909,vâṭuṇi,11349,vartaka,"*something round; pill, bolus; walnut",PAr,vart-a-ka-,"kind of walnut tree (small, hard nuts)",1.000,walnut,1.200,1.123,
n912,uṛa,11361,vártikā,quail,PAr,vart-a-ka-:-,quail,0.857,quail,1.107,1.000,
n923,vr̥ṭ,12071,*vr̩tʰa,covering,PAr,vr̥-tha-,covering,0.889,covering,1.139,0.800,
n928,vâtr,11565,*vārtra,pertaining to a fence,PAr,vârt-ra-,pertaining to a fence,1.000,fence;pertaining,1.250,1.000,
n932,vari,11327,*vari,speech,PAr,var-i-,speech,1.000,speech,1.250,1.000,
n937,vr̥c̣a-,12080,vr̩ścáti,cuts down or off or asunder,OIA,vr̥šč-′a-ti,cuts down or off,1.000,cuts;down;off,1.200,0.933,
n943,ura,12073,vr̩ddʰá,"grown, large; grown-up, old",PAr,vr̥ddʱ′a-,grown; grown-up,1.000,grown;up,1.200,1.033,
n947,purda,8807,právr̩ddʰa,"grown up, great; strong, old",OIA,pr′a-vr̥ddʱa-,grown up; old,1.000,grown;old;up,1.200,1.000,
n956,vâć′ař,11243,vatsarūpa,young calf,OIA,vatsa-kuḍa-,calf,0.778,calf,0.978,0.950,
n958,vaćala,11244,vatsalá,affectionate towards its young; *calf,PAr,vatsa-l′a-,calf,1.000,calf,1.200,1.033,
n962,vau,11250,vadʰū́,"bride, young wife; son's wife",PAr,vadʱ′u:-,bride; son's wife,1.000,bride;s;son;wife,1.200,1.000,
n966,vâs,11591,vāsá,abode; staying; sleeping quarters,PAr,vâs-′a-,abode; staying,1.000,abode;staying,1.200,1.000,
n970,vâsa-,11591,vāsá,abode; staying; sleeping quarters,OIA,vâs-′a-,abode; staying,1.000,abode;staying,1.200,1.000,
n974,vasa,11446,vásu,good; wealth,PAr,v′as-u,good; wealth,1.000,good;wealth,1.250,0.889,
n978,vâsa˜ta,11439,vasantá,spring season,PAr,vas-ant′a-,spring season,1.000,season;spring,1.250,1.028,
n982,vârak,11547,vāra,"appointed time, one's turn; one's appointed place; day of the week",PAr,v′âra-,sheep's wool,1.000,s,1.200,1.000,
n986,vâr,11547,vāra,"appointed time, one's turn; one's appointed place; day of the week",PAr,vâra-,appointed time; turn,1.000,appointed;time;turn,1.200,1.000,
n993,vašpi,11451,*vaspi,wasp,PAr,vaspi-,wasp,1.000,wasp,1.250,0.889,
n996,â-vźeṇa,2309,upāyana,approach; present,PAr,uǰ-aya-na-,last night,0.857,,0.857,0.800,
n1008,ča,1634,ucca,"tall, lofty; above; turned upwards,  upper",OIA,ud-ča,tall; lofty,0.750,lofty;tall,0.950,0.867,
n1012,ukram,1739,utkrāma,going out or up; id.,OIA,ud-krâma-,going out or up,0.857,going;out;up,1.057,0.950,1739
n1018,raveki,11140-2,*rōpākya,,OIA,rop-a:-kya-,jackal; fox,1.000,,1.000,0.833,
n1022,livaša,11141,lōpāśá,"fox, jackal",OIA,lop-a:-š′a-,fox; jackal,1.000,fox;jackal,1.250,1.033,
n1025,vaćâ,2167,upaccʰada,cover; covered,PAr,upa-sčad-a-,cover,0.875,cover,1.075,0.950,2167
n1026,vaćada,2167,upaccʰada,cover; covered,PAr,upa-sčad-a-,cover,0.875,cover,1.075,0.950,2167
n1037,o,2136,úpa,"up to, upon, above, near",PAr,′upa,upon; above,1.000,above;upon,1.200,0.950,
n1045,′indra,1572,índra,the god Indra,PAr,′indra-,Indra,1.000,indra,1.200,1.033,
n1051,vame,895,*avimaya,consisting of sheep; consisting of cattle,OIA,avi-maya-,consisting of sheep,1.000,consisting;sheep,1.200,0.914,
n1057,′asta,941,aṣṭā́,eight,PAr,ašt′â,eight,1.000,eight,1.250,1.000,
n1058,asṭ,941,aṣṭā́,eight,PAr,ašt′â,eight,1.000,eight,1.250,1.000,
n1061,astadić,946,aṣṭā́daśa,eighteen,PAr,ašt′â-dača,eighteen,0.875,eighteen,1.125,0.875,
n1062,âsṭić,946,aṣṭā́daśa,eighteen,PAr,ašt′â-dača,eighteen,0.875,eighteen,1.125,0.875,
n1067,ače˜,23,akṣa,eye,PAr,′ak-ši-na-,eye,0.800,eye,1.050,1.050,
n1069,ac̣i˜,23,akṣa,eye,OIA,′akṣi-ṇa-,eye,0.800,eye,1.050,1.050,
n1070,oṣa,2562,ṓṣadʰi,"herb, medicinal herb",OIA,′oṣadʱi-,medicinal herb,1.000,herb;medicinal,1.250,0.800,2562
n1074,-as,14259,así,,PAr,-as,,0.800,,0.850,0.850,
n1077,-še,1533,āsyà,mouth; face,PAr,-asya,,1.000,,1.000,0.939,
n1082,aṭi,955,aṣṭi,kernel of fruit; kernel; round pebble; kernel of fruit,OIA,aṣṭhi-,bone; kernel,0.889,kernel,1.089,1.089,
n1086,nâuče˜,6920,nakʰará,shaped like a claw; claw; nail-scratch,PAr,nakh′a-,nail; claw,0.727,claw;nail,0.927,0.889,
n1090,âŋâ,125,áŋgāra,glowing charcoal,PAr,′angâra-,glowing coal,0.909,glowing,1.109,0.909,
n1091,âŋâ-,125,áŋgāra,glowing charcoal,PAr,′angâra-,glowing coal,0.909,glowing,1.109,0.909,
n1094,âŋâ-,131,aŋgāryā́,heap of embers; fit for making charcoal; portable fireplace,PAr,angâr-y′a-:-,heap of embers,0.923,embers;heap,1.123,0.914,
n1102,amâr,1275,āmrātaka,Spondias mangifera or hogplum,OIA,âmrâ-ta-ka,hogplum,1.000,hogplum,1.200,0.800,
n1104,amâr,1275,āmrātaka,Spondias mangifera or hogplum,OIA,âmrâ-ta-ka-,hogplum,1.000,hogplum,1.200,0.800,
n1108,-â,1,a,,PAr,â,,1.000,,1.050,0.717,
n1115,âš,1533,āsyà,mouth; face,PAr,âs′iya-,mouth,0.889,mouth,1.089,1.000,
n1116,âši,1533,āsyà,mouth; face,PAr,âs′iya-,mouth,0.889,mouth,1.089,1.000,
n1120,usṭ,2563,ṓṣṭʰa,lip,OIA,′oṣṭha-,lip,0.889,lip,1.139,0.667,
n1132,ta,5612,tá,,PAr,t′a-,,1.000,,1.050,0.850,
n1133,ta-vara,5612,tá,,PAr,t′a-,,1.000,,1.050,0.850,
n1136,-i,5420-2,*ṭikk,,PAr,-t-i,,0.667,,0.717,0.717,
n1139,-i-,1560,itá,gone,PAr,-i-t′a-,,1.000,,1.000,0.857,
n1144,tu,14573,tuvám,,PAr,tuv-′am,,1.000,,1.050,1.000,
n1148,to,5766,tā́nva,,PAr,t′ava,,0.889,,0.939,0.889,
n1158,takara,5617,takrá,buttermilk with a third part of water; *bitter; bitter; bitter,OIA,takr′a-,bitter,1.000,bitter,1.200,0.889,5617.2
n1159,traka,5617,takrá,buttermilk with a third part of water; *bitter; bitter; bitter,OIA,takr′a-,bitter,1.000,bitter,1.200,0.889,5617.2
n1161,tarâli,5706,taravāri,one-edged sword,OIA,taravâri-,one-edged sword,1.000,edged;sword,1.250,0.778,5706
n1162,trevâč,5706,taravāri,one-edged sword,OIA,taravâri-,one-edged sword,1.000,edged;sword,1.250,0.778,5706
n1167,tât,14561,tātá,,PAr,tât′a-,father; dad,1.000,,1.000,1.000,
n1168,te,5647,tatʰāpi,"even so, nevertheless",OIA,ta-thâ-pi,even so; nevertheless,0.923,even;nevertheless;so,1.173,0.969,5647
n1169,ti,5647,tatʰāpi,"even so, nevertheless",OIA,ta-thâ-pi,even so; nevertheless,0.923,even;nevertheless;so,1.173,0.969,5647
n1189,tinn,5839,tīkṣṇá,"sharp; hot, pungent",PAr,tik-š-n′a-,sharp; hot; pungent,1.000,hot;pungent;sharp,1.250,1.123,
n1193,taća-,5618,takṣa,cutting; carpenter; tree-feller,PAr,tačš-a-,forms by cutting; chisels,0.800,cutting,1.000,0.917,
n1199,tar,5695,tára,"crossing, passage; road",PAr,t′ar-a-,crossing,1.000,crossing,1.200,1.000,
n1208,tula-,5884,tulayati,lifts; weighs,PAr,tul-aya-ti,lifts; weighs,1.000,lifts;weighs,1.250,1.075,
n1212,tâli-,5803,tā́lu,palate; two veins in the palate; crown of head; top of head ~ palate,PAr,tâlu-,palate; top of head,1.000,head;palate;top,1.200,1.000,
n1216,tuṇuka,5654,tanú,"thin, delicate",PAr,tan′u-,thin,1.000,thin,1.200,1.000,
n1220,tapa-,5684,tápyati,is hot,PAr,t′ap-ya-ti,is hot,1.000,hot;is,1.250,1.123,
n1224,tâp,5767,tāpá,"heat, glow; pain",OIA,tâp-ya-,heat,0.889,heat,1.089,1.083,
n1228,betât,14328,*upōttapti,exertion; haste; effort,OIA,upot-tap-ti-,exertion,1.000,exertion,1.200,1.200,
n1232,tramaša,5692,támisrā,dark night; darkness,PAr,t′amis-ra-:-,dark night,1.000,dark;night,1.200,1.033,
n1233,truv-,5930,*tr̩pu,sour; sour; sour,OIA,*tr̥pu-,sour,1.000,sour,1.250,1.000,5930
n1234,truvi,5930,*tr̩pu,sour; sour; sour,OIA,*tr̥pu-,sour,1.000,sour,1.250,1.000,5930
n1238,tus,5892,túṣa,chaff of grain,PAr,t′usa-,chaff,1.000,chaff,1.200,1.000,5892
n1243,trupala,6028,*trip,be wet,OIA,*trip-,be wet,1.000,wet,1.250,0.750,6028
n1247,tre,5994,tráyaḣ,three,PAr,tr′ay-as,three,0.833,three,1.083,0.969,
n1250,trić,6001,tráyōdaśa,thirteen,PAr,tr′ay-as-dača,thirteen,0.737,thirteen,0.987,0.737,
n1252,trauš,6001,tráyōdaśa,thirteen,OIA,tr′ay-o-daša,thirteen,1.000,thirteen,1.250,1.000,
n1255,tre-kâra,6019,triká,"triple; loins, hips, part between the shoulders",PAr,tri-kka-*,triple,0.909,triple,1.109,1.000,
n1256,trikaṭi,6019,triká,"triple; loins, hips, part between the shoulders",PAr,tri-kka-*,triple,0.909,triple,1.109,1.000,
n1259,triutse,6047,trivatsá,three years old,PAr,tri-vats′a-,three years old,1.000,old;three;years,1.250,1.133,
n1262,triaṇa,6047,trivatsá,three years old,PAr,tri-an-a-,young bull (3-4 years),0.714,years,0.914,0.914,
n1265,travai,6033,tripādaka,three-footed; tripod,PAr,tri-pâda-ka-,three-footed,1.000,footed;three,1.200,1.089,
n1269,tras,6005,trasa,*trembling,PAr,trasa-,trembling,1.000,trembling,1.250,1.109,
n1272,ḍunda,6128,daṇḍá,"stick, club; handle; control; punishment; stalk, stem; staff of banner; row, line; stick",OIA,danḍ′a-,stick,1.000,stick,1.200,1.033,6128
n1273,ḍunḍa,6128,daṇḍá,"stick, club; handle; control; punishment; stalk, stem; staff of banner; row, line; stick",OIA,danḍ′a-,stick,1.000,stick,1.200,1.033,6128
n1276,dâi,6138,dáṇḍika,carrying a stick; id.; rower,OIA,dâḍʱ-i-ka-:-,beard,0.923,,0.923,0.833,6250
n1277,dâṛi,6138,dáṇḍika,carrying a stick; id.; rower,OIA,dâḍʱ-i-ka-:-,beard,0.923,,0.923,0.833,6250
n1278,dâṛi âṭi,6138,dáṇḍika,carrying a stick; id.; rower,OIA,dâḍʱ-i-ka-:-,beard,0.923,,0.923,0.833,6250
n1279,-dâra,6294,dāraka,"boy, son, child; girl",OIA,dâra-ka-,boy,1.000,boy,1.200,1.000,6294
n1280,-dâri,6293-2,dārikā,girl; harlot; house; having his home in a village,OIA,dâr-i-ka-:-,girl; wife,1.000,girl,1.200,1.033,6293.2
n1284,dama-,6179,damáyati,subdues,OIA,dâm-ay-a-ti,,1.000,,1.000,1.000,6284
n1285,dâm,6283,dā́man,rope,OIA,d′âman-,rope,1.000,rope,1.250,1.109,6283
n1291,da˜,6265,dā́na,"giving, gift",PAr,d′a:-na-,giving; gift,1.000,gift;giving,1.250,1.000,
n1292,dâ˜,6265,dā́na,"giving, gift",PAr,d′a:-na-,giving; gift,1.000,gift;giving,1.250,1.000,
n1305,koidum,6493,*dūman,distress,OIA,du:-man-,distress,1.000,distress,1.250,1.000,n1304
n1318,u-ǰu-ma,6606,dyuti,brightness,PAr,dyut-i-,brightness,1.000,brightness,1.250,0.800,
n1322,dos,14596,daśā,,PAr,daus′a-,night,0.889,,0.889,0.889,
n1326,pa-dur-i,6495,dūrá,distant; distance; far away,PAr,du:r′a-,distant,1.000,distant,1.200,1.000,
n1328,su-dur,13469,sudūra,very far,OIA,su-du:r′a-,very far,1.000,far;very,1.250,0.914,
n1329,su-dur-i,13469,sudūra,very far,OIA,su-du:r′a-,very far,1.000,far;very,1.250,0.914,
n1336,dać,6227,dáśa,ten,PAr,d′ača,ten,0.750,ten,1.000,0.800,
n1338,daš,6227,dáśa,ten,OIA,d′aša,ten,1.000,ten,1.250,1.000,
n1343,drišt,6343-2,*driṣṭi,,PAr,drišti-,span,1.000,,1.000,0.909,
n1345,driṣṭ,6343-2,*driṣṭi,,OIA,driṣṭi-,span,1.000,,1.000,0.909,
n1352,drama-,6621,drámati,runs,PAr,dr′am-a-ti,runs,1.000,runs,1.250,1.107,
n1362,dar,6206,dárvi,ladle,PAr,daru-i-,ladle,0.800,ladle,1.050,0.889,
n1365,dâv,6305,dārva,wooden,PAr,dârv-a-,wooden,1.000,wooden,1.250,1.000,
n1367,dâv,6305,dārva,wooden,OIA,dâv-′a-,wooden,0.889,wooden,1.139,1.000,
n1371,dro˜,6636,druṇa,bow,OIA,dro-ṇa-,bow,0.800,bow,1.050,1.000,
n1375,dâla-,5581,*ḍʰalati,"bends over, falls",PAr,d′al-a-ti,split,1.000,,1.000,1.000,
n1381,driga-la,6368,dīrgʰá,"long, tall, deep",PAr,dr̥:gʱa-,long; tall; deep,0.889,deep;long;tall,1.139,1.089,
n1382,driga-na,6368,dīrgʰá,"long, tall, deep",PAr,dr̥:gʱa-,long; tall; deep,0.889,deep;long;tall,1.139,1.089,
n1383,"driga-ṛa-
la",6368,dīrgʰá,"long, tall, deep",PAr,dr̥:gʱa-,long; tall; deep,0.889,deep;long;tall,1.139,1.089,
n1387,daćaṇi,6112,daṁśana,biting,PAr,da˜č-an-a-,biting,0.769,biting,1.019,0.833,
n1390,sânduć,13117,sádana,"coming to rest, seat",PAr,sa˜-danč-′a-,tongs; pincers,0.923,,0.923,0.923,
n1397,du,6648,dva,two,PAr,duv′â,two,0.857,two,1.107,1.000,
n1398,du-du,6648,dva,two,PAr,duv′â,two,0.857,two,1.107,1.000,
n1400,di-og,6648,dva,two,PAr,duv′â-,two,0.857,two,1.107,1.000,
n1403,duić,6658,dvā́daśa,twelve,PAr,duv′â-dača,twelve,0.800,twelve,1.050,0.875,
n1406,bâš,6658,dvā́daśa,twelve,OIA,dv′â-daša,twelve,1.000,twelve,1.250,1.000,
n1407,bâš-pâ,6658,dvā́daśa,twelve,OIA,dv′â-daša,twelve,1.000,twelve,1.250,1.000,
n1411,duvaši,6685,*dvivatsikā,two years old,OIA,dvi-vats-i-ka-:-,two years old,1.000,old;two;years,1.250,1.200,
n1416,doṣ,6587,dōṣa,fault,OIA,doṣ-a-,fault,1.000,fault,1.250,1.000,
n1420,dabala,6438,durbala,"weak, impotent; slender; emaciated",OIA,dur-bala-,boy,1.000,,1.000,0.875,
n1421,dabal-i,6438,durbala,"weak, impotent; slender; emaciated",OIA,dur-bala-,boy,1.000,,1.000,0.875,
n1425,duk,6375,duḣkʰá,"difficulty, pain",OIA,duḥ-kh′a-,difficulty; pain,0.909,difficulty;pain,1.159,0.867,
n1431,duma,6419,*dumbʰa,tail,OIA,dumbʱa-,tail,1.000,tail,1.250,1.033,
n1432,dumaṛi,6419,*dumbʰa,tail,OIA,dumbʱa-,tail,1.000,tail,1.250,1.033,
n1451,dro,6623,dravá,"running; flowing; quick motion; fluidity, juice, stream",OIA,drav-′a-,flowing,1.000,flowing,1.200,1.000,6623
n1452,droi,6623,dravá,"running; flowing; quick motion; fluidity, juice, stream",OIA,drav-′a-,flowing,1.000,flowing,1.200,1.000,6623
n1467,indro˜,1577,indradʰanúṣ,rainbow,OIA,indra-dʱan′uṣ-,rainbow,1.000,rainbow,1.250,1.000,
n1468,dama,6733,dʰamáni,"vein, nerve; throat, neck",OIA,dʱam-′ani-,vein; nerve; throat,1.000,nerve;throat;vein,1.200,1.033,6733
n1470,disani,14649,dʰiṣáṇā,,OIA,dʱiṣ′aṇa-:-,,1.000,,1.050,1.000,6813
n1474,diźa-,6905,*dʰvāniya,to be hummed; makes to sound,PAr,daiǰʱ-a-,makes; builds,0.667,makes,0.867,0.800,
n1478,dum,6849,dʰūmá,"smoke, vapour, mist",PAr,dʱu:m′a-,smoke,1.000,smoke,1.200,1.089,
n1480,drum,6861,dʰūmrá,"smoke-coloured, grey, purple",PAr,dʱu:m-r′a-,smoke-colored; grey,1.000,grey;smoke,1.200,1.089,
n1481,drumaṇa,6861,dʰūmrá,"smoke-coloured, grey, purple",PAr,dʱu:m-r′a-,smoke-colored; grey,1.000,grey;smoke,1.200,1.089,
n1486,dove-,6592-2,dōháyati,causes to be milked or to give milk,OIA,doɦ-′aya-ti,causes to be milked,0.933,causes;milked,1.133,1.075,
n1495,dâ,6793,dʰā́rā,"sharp edge, rim, blade; edge of mountain",PAr,dʱ′âra-:-,edge; mountain edge,1.000,edge;mountain,1.200,1.089,
n1498,dâ-,6747,dʰárati,"holds, keeps",PAr,dʱ′ar-a-ti,holds; keeps,1.000,holds;keeps,1.250,1.057,
n1503,dâr,6740,dʰara,"holding, supporting",PAr,dʱâr-a-,holding; prop,1.000,holding,1.200,1.200,
n1504,dâri,6740,dʰara,"holding, supporting",PAr,dʱâr-a-,holding; prop,1.000,holding,1.200,1.200,
n1508,drâs,6628,drā́kṣā,"vine, grape",PAr,dr′âč-ša-:-,vine; grape,0.833,grape;vine,1.083,0.833,
n1514,dama,6728,dʰánvan,bow,OIA,dʱ′anv-an-,dry land; desert,1.000,,1.000,0.857,
n1519,dam-âv-,5581-2,*ḍʰālayati,"bends, causes to fall",OIA,dʱam-′aya-ti,causes to blow,0.875,causes,1.075,1.075,
n1522,dama,6732,dʰamana,blowing with bellows,PAr,dʱam-ana-,blowing with bellows,1.000,bellows;blowing,1.250,1.033,
n1523,dama-tâ˜,6732,dʰamana,blowing with bellows,PAr,dʱam-ana-,blowing with bellows,1.000,bellows;blowing,1.250,1.033,
n1529,pre-,8656,pradadʰāti,places before,OIA,pra-da-dʱa:-ti,places before,1.000,before;places,1.250,1.000,
n1531,sanda-,12898,sáṁdadʰāti,"places on, combines; union; mixture of a beverage",OIA,s′a˜-da-dʱa:-ti,combines,0.941,combines,1.141,0.906,
n1534,sam-dâv-,6783,dʰāpayati,causes to be placed,PAr,dʱa:-p-aya-ti,causes to be placed,1.000,causes;placed,1.250,1.200,
n1541,se,13310,sahita,accompanying; accompanied by; together with,OIA,sa-ɦi-ta-,accompanying,0.909,accompanying,1.109,0.909,
n1546,daṇi,6877,dʰēnú,milch; milch-cow; milk drink; milch-cow,OIA,dʱe-n′u-,milch,1.000,milch,1.200,0.750,
n1547,dâṛ,6873a-2,*dʰr̩ta,satisfied,OIA,*dʱr̥-ta-,satisfied,1.000,satisfied,1.250,1.000,6873.2
n1551,dor,6459,*duvāra,door,PAr,duvâra-,door,1.000,door,1.250,1.159,
n1552,duvâk,6459,*duvāra,door,PAr,duvâra-,door,1.000,door,1.250,1.159,
n1557,duǰit,6481,duhitŕ̩,daughter,PAr,duǰʱit′r̥-,daughter,0.833,daughter,1.083,0.914,
n1558,duǰu,6481,duhitŕ̩,daughter,PAr,duǰʱit′r̥-,daughter,0.833,daughter,1.083,0.914,
n1562,drüć,14634,druṇa,,PAr,druǰʱ-a-,injury; treachery,0.800,,0.800,0.800,
n1566,sa,12816,sa,,PAr,s′a-,,1.000,,1.050,1.000,
n1567,saka,12816,sa,,PAr,s′a-,,1.000,,1.050,1.000,
n1568,sa-vara,12816,sa,,PAr,s′a-,,1.000,,1.050,1.000,
n1571,-š,14824,śrī́,,PAr,-s-i,,0.800,,0.850,0.800,
n1572,-ši,14824,śrī́,,PAr,-s-i,,0.800,,0.850,0.800,
n1585,sta,13127,santaka,belonging to; *property,PAr,s-ant-a-ka-,,1.000,,1.000,0.907,
n1595,niṣâ,7430,niśādā,pestle; brick; cuts down,OIA,ni-ṣâd-a-,cultivated area,1.000,,1.000,0.857,
n1598,niše-,7467-2,*nisīdati,,PAr,n′i-ši-šd-a-,,0.800,,0.850,0.800,
n1600,-šid-,13397,*siḍʰa,sail; sail,PAr,si-šd-a-,,0.889,,0.889,0.889,
n1601,ṣâṣ,13321,sākṣin,witness; unattested; manifestly; visible,OIA,sa-akṣin-,witness,0.923,witness,1.123,0.833,13321
n1602,sâṭ,13364,sā́rtʰa,"caravan, troop, company",OIA,sa-artha-,caravan; troop; company,0.833,caravan;company;troop,1.083,0.950,13364.1
