Proto_Nuristani_ID,Indo_Aryan_ID,Evidence
n10,7699,Strand places PNur beneath OIA; numeric IA ancestor
n2836,12547,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n2841,12575,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n2856,1858,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n2867,12689,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n2916,5200,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n2917,5200,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n2952,13992,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n2953,13990,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n2977,3415-2,Strand places PNur beneath OIA; numeric IA ancestor
n2981,2589,Strand places PNur beneath OIA; numeric IA ancestor
n2982,2589,Strand places PNur beneath OIA; numeric IA ancestor
n2983,2589,Strand places PNur beneath OIA; numeric IA ancestor
n2991,2587,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n2997,2830,Strand places PNur beneath OIA; numeric IA ancestor
n2999,2837,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n3005,2972,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n3006,2972,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n3007,2972,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n3011,2970,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n3014,2922,Strand places PNur beneath OIA; numeric IA ancestor
n3016,2598,Strand places PNur beneath OIA; numeric IA ancestor
n3017,2680,Strand places PNur beneath OIA; numeric IA ancestor
n3018,2682,Strand places PNur beneath OIA; numeric IA ancestor
n3019,2720,Strand places PNur beneath OIA; numeric IA ancestor
n3025,2747,Strand places PNur beneath OIA; numeric IA ancestor
n3026,2747,Strand places PNur beneath OIA; numeric IA ancestor
n3028,2747,Strand places PNur beneath OIA; numeric IA ancestor
n3030,2747,Strand places PNur beneath OIA; numeric IA ancestor
n3038,4810,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n3045,4803,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n3046,4803,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n3047,4803,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n3048,3008,Strand places PNur beneath OIA; numeric IA ancestor
n3057,3019,Strand places PNur beneath OIA; numeric IA ancestor
n3061,3084,Strand places PNur beneath OIA; numeric IA ancestor
n3066,3001,Strand places PNur beneath OIA; numeric IA ancestor
n3067,3001,Strand places PNur beneath OIA; numeric IA ancestor
n3068,3023,Strand places PNur beneath OIA; numeric IA ancestor
n3069,3030,Strand places PNur beneath OIA; numeric IA ancestor
n3071,3107,Strand places PNur beneath OIA; numeric IA ancestor
n3078,3157,Strand places PNur beneath OIA; numeric IA ancestor
n3080,3181,Strand places PNur beneath OIA; numeric IA ancestor
n3081,3202,Strand places PNur beneath OIA; numeric IA ancestor
n3095,3546,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n3103,n3102,Strand places PNur beneath OIA; parsed Strand OIA ancestor
n3108,11970,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n3133,4562,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n3148,4701,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n3149,4701,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n3165,3727,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n3180,4939,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n3181,3441,Strand places PNur beneath OIA; numeric IA ancestor
n3182,3440,Strand places PNur beneath OIA; numeric IA ancestor
n3183,3440,Strand places PNur beneath OIA; numeric IA ancestor
n3185,3365,Strand places PNur beneath OIA; numeric IA ancestor
n3190,3245,Strand places PNur beneath OIA; numeric IA ancestor
n3193,3255,Strand places PNur beneath OIA; numeric IA ancestor
n3194,3255,Strand places PNur beneath OIA; numeric IA ancestor
n3196,3273,Strand places PNur beneath OIA; numeric IA ancestor
n3199,3264,Strand places PNur beneath OIA; numeric IA ancestor
n3204,3500,Strand places PNur beneath OIA; numeric IA ancestor
n3212,3579,Strand places PNur beneath OIA; numeric IA ancestor
n3213,3580,Strand places PNur beneath OIA; numeric IA ancestor
n3221,n3220,Strand places PNur beneath OIA; parsed Strand OIA ancestor
n3224,3687,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n3245,3832,Strand places PNur beneath OIA; numeric IA ancestor
n3247,3792,Strand places PNur beneath OIA; numeric IA ancestor
n3248,3815,Strand places PNur beneath OIA; numeric IA ancestor
n3249,3915,Strand places PNur beneath OIA; numeric IA ancestor
n3250,3890,Strand places PNur beneath OIA; numeric IA ancestor
n3251,3364,Strand places PNur beneath OIA; numeric IA ancestor
n3252,3892,Strand places PNur beneath OIA; numeric IA ancestor
n3253,3941-4,Strand places PNur beneath OIA; numeric IA ancestor
n3254,3941-4,Strand places PNur beneath OIA; numeric IA ancestor
n3255,3906,Strand places PNur beneath OIA; numeric IA ancestor
n3256,3906,Strand places PNur beneath OIA; numeric IA ancestor
n3257,3929-3,Strand places PNur beneath OIA; numeric IA ancestor
n3258,3942,Strand places PNur beneath OIA; numeric IA ancestor
n3259,3942,Strand places PNur beneath OIA; numeric IA ancestor
n3260,4345,Strand places PNur beneath OIA; numeric IA ancestor
n3261,4345,Strand places PNur beneath OIA; numeric IA ancestor
n3262,4070-2,Strand places PNur beneath OIA; numeric IA ancestor
n3264,4054,Strand places PNur beneath OIA; numeric IA ancestor
n3265,3988,Strand places PNur beneath OIA; numeric IA ancestor
n3266,3993,Strand places PNur beneath OIA; numeric IA ancestor
n3269,3998,Strand places PNur beneath OIA; numeric IA ancestor
n3271,4104,Strand places PNur beneath OIA; numeric IA ancestor
n3272,4104,Strand places PNur beneath OIA; numeric IA ancestor
n3287,4177,Strand places PNur beneath OIA; numeric IA ancestor
n3292,4269,Strand places PNur beneath OIA; numeric IA ancestor
n3293,4275,Strand places PNur beneath OIA; numeric IA ancestor
n3294,4287,Strand places PNur beneath OIA; numeric IA ancestor
n3299,4368,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n3302,4399,Strand places PNur beneath OIA; numeric IA ancestor
n3305,4453,Strand places PNur beneath OIA; numeric IA ancestor
n3310,4444,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n3315,4448,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n3316,4479-3,Strand places PNur beneath OIA; numeric IA ancestor
n3325,4516,Strand places PNur beneath OIA; numeric IA ancestor
n3326,4516,Strand places PNur beneath OIA; numeric IA ancestor
n3366,4102,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n3389,2015,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n3393,1926,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n3394,1926,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n3401,11392,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n3402,11392,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n3411,11,Strand places PNur beneath OIA; numeric IA ancestor
n3422,185,Strand places PNur beneath OIA; numeric IA ancestor
n3434,989,Strand places PNur beneath OIA; numeric IA ancestor
n3444,711,Strand places PNur beneath OIA; numeric IA ancestor
n3445,722,Strand places PNur beneath OIA; numeric IA ancestor
n3463,135,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n3487,481,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n3491,1200,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n3495,8943,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n3496,491,Strand places PNur beneath OIA; numeric IA ancestor
n3507,540,Strand places PNur beneath OIA; numeric IA ancestor
n3508,560,Strand places PNur beneath OIA; numeric IA ancestor
n3531,1330,Strand places PNur beneath OIA; numeric IA ancestor
n3532,1351,Strand places PNur beneath OIA; numeric IA ancestor
n3538,1130,Strand places PNur beneath OIA; numeric IA ancestor
n3545,1503,Strand places PNur beneath OIA; numeric IA ancestor
n3555,1111,Strand places PNur beneath OIA; numeric IA ancestor
n3562,6693,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n3572,1238,Strand places PNur beneath OIA; numeric IA ancestor
n3573,1260,Strand places PNur beneath OIA; numeric IA ancestor
n3610,2814,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n3635,4755,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n3639,2905,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n3642,2908,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n3645,2908,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n3648,3448,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n3652,2908,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n3655,2909,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n3661,13895,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n3670,3167,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n3681,2967,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n3689,3116,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n3693,11629,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n3717,5286,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n3718,5286,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n3754,4124,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n3766,4225,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
