Proto_Nuristani_ID,Proto_Nuristani_Form,Proto_Nuristani_Gloss,Strand_Ancestor,Best_IA_ID,Best_IA_Form,Reason
n3274,gâga,kind of cookie fried in ghee,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3289,gulaṛ,fleshy excrescence on the side of a goat's neck,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3290,gunda,cover,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3291,gütüṛ,anus,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3295,gol,weather,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3300,grâmi,townsman,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3301,grâm-saṇâ,Gřâmsaňâ,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3304,přa˜-gs-,,gʱas eat,4471,gʰāsá,manual review found no sufficiently clear CDIAL match
n3320,ge-,,gʱa-i- such,3975,gaḍi,manual review found no sufficiently clear CDIAL match
n3321,ge-sta,,gʱa-i- such,3975,gaḍi,manual review found no sufficiently clear CDIAL match
n3360,-a,,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3361,aiâ,cumin,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3409,âvâl-,,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3410,vâv,,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3425,arus,good taste,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3448,-âṇu,,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3449,p-âṇu,,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3450,v-âṇu,,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3512,avi-du,,abʱi- both,1230,*ābʰiṭ,manual review found no sufficiently clear CDIAL match
n3513,âvi-du,,abʱi- both,1230,*ābʰiṭ,manual review found no sufficiently clear CDIAL match
n3516,avi-dva,,abʱi- both,1230,*ābʰiṭ,manual review found no sufficiently clear CDIAL match
n3517,â,,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3519,-â-,,-â-,1,a,manual review found no sufficiently clear CDIAL match
n3520,âi,kernel,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3521,â-i,,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3522,âio,starter for milk fermentation,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3523,-â-u,,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3524,âŋâ-tâṇ,fireplace,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3525,âča˜,woolen yarn,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3526,âša-,pour down,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3528,âṭama-,"pool, form a puddle; gather together in a group",,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3529,âṣkuṇu,Âṣkuňu,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3530,âraṛ,nest,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3535,âṛa,"knot (in wood); segment (of reed, etc.); husk on walnut",,603,aratní,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3536,âṛ-kali,jaw,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3537,âṛćuv,pus,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3539,âdar-,box,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3544,âsa-ṭâr,ashes boiled in water,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3546,âsc̣ev,woolen calf-length trousers,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3554,â-nav,ghee,,1100,ā́ñjana,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3556,ândar-kil,"long, thin wedge used to fasten together broken boards",,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3557,ând-iaṣ,meat-hook,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3567,â-patâr,unrelaxed,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3568,âpâ-,open,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3570,âv-piše˜,water-mill,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3665,kâm,,kâm- uvula,3042,kā́ma,manual review found no sufficiently clear CDIAL match
n3741,preć,,pra-ti-ga˜-sča- go forth,8470,*pragāra,manual review found no sufficiently clear CDIAL match
n3818,-â,,-a:,1,a,manual review found no sufficiently clear CDIAL match
