CDIAL_ID,Headword,Status,DEDR_IDs,Confidence,Relation,Direction,Rationale,Evidence
3493,kōṭa,existing-match,d1655,,,,Already represented by a structured comparison.,"3493 kōṭa³ m. 'hut, shed' lex. [← Drav. T. Burrow TPS 1945, 95: cf. kuṭī-]"
3496,kōṭará,existing-match,d1660,,,,Already represented by a structured comparison.,"3496 kōṭará n. 'hollow of a tree' MBh., 'cave, cavity' BhP. [← Drav. T. Burrow BSOAS xii 376: supported by variety of initial (k-, kh-) and medial consonants (-ṭ-, -ṭṭ-, -l-) in NIA.]"
3502,*kōḍamba,installed-proposal,d1651,,,,Already represented by a structured comparison.,3502 *kōḍamba 'pot'. [← Drav. see kuṭa-¹]
3503,*kōḍi,no-defensible-target,,,,,CDIAL derives the word from Austroasiatic and says it was then borrowed into Dravidian; no suitable retained Dravidian loan entry exists in DEDR.,"3503 *kōḍi 'a score, twenty'. [J. Przyluski RoczOrj iv 231 ← Austro-as. (Mahle kuri, Birhar kuṛi, Kharia kori, Juang koḍi: prob. same as word for 'man', i.e. '20 fingers') whence → Drav. (Kurukh kūrī, Malto koṛi, Kui kōḍe)]"
3504,kōṇa,existing-match,d2209,,,,Already represented by a structured comparison.,"3504 kōṇa m. 'corner, angle' MBh. [Cf. kuṇi-, *khuṇṭa-²: ← Drav. T. Burrow BSOAS xi 341]"
3527,kōraka,existing-match,d2149,,,,Already represented by a structured comparison.,"3527 kōraka m.n. 'bud' R. [← Drav. (Tam. kuṟai 'sprout', Kui kōṛu 'bud') EWA i 272]"
3769,khaṭa,existing-match,d1158,,,,Already represented by a structured comparison.,"3769 khaṭa m., khaḍa- m.n. 'thatching grass' lex. [Cf. kaṭa-², khēṭa- ⁴ n. 'grass' lex.: ← Drav. T. Burrow BSOAS xii 368]"
3801,*khaṇḍu,existing-match,d1180 d95,,,,Already represented by a structured comparison.,"3801 *khaṇḍu² 'cloth'. 2. *khaṇḍī-. [Cf. *khadda-, *khāru-: ← Drav. cf. Tel. kaṇḍuvā 'upper garment'; Kol. khanḍva 'cloth', Nk. khanḍa, Prj. ganḍa: see DED 85]"
3827,kharju,existing-match,d1104,,,,Already represented by a structured comparison.,"3827 kharju¹, °jū- f. 'itching, scratching, scab' lex. [S. P. point to *khārj-: ← Drav. see kacchū́-]"
3854,khasa,existing-match,d1104,,,,Already represented by a structured comparison.,"3854 khasa¹ m. 'itch, scab'. [Prob. with kacchū́- &c. ← Drav.; EWA i 307 connects with kaṣati also ← Drav.]"
3906,khura,existing-match,d1770,,,,Already represented by a structured comparison.,"3906 khura m. 'hoof' KātyŚr̥. 2. *khuḍa-¹ (khuḍaka-, khula° 'ankle-bone' Suśr.). [← Drav. T. Burrow BSOAS xii 376: it belongs to the word-group 'heel-ankle-knee-wrist', see *kuṭṭha-]"
3938,*khōppa,existing-match,d1732,,,,Already represented by a structured comparison.,3938 *khōppa³ 'hut'. 2. *khōmpa-. [Prob. ← Drav. DED no. 1441]
3939,*khōppa,existing-match,d2110,,,,Already represented by a structured comparison.,3939 *khōppa⁴ 'bunch of hair'. [← Drav. DED no. 1755]
3954,*gacca,installed-proposal,d1519 d1520,,,,Already represented by a structured comparison.,"3954 *gacca 'mud'. [Perh. onom., cf. Drav. words s.v. *gicc- and Pahlavi gač, Pers. geč 'mud'.]"
3977,gaḍu,installed-proposal,d1148,,,,Already represented by a structured comparison.,"3977 gaḍu¹ m. 'excrescence on neck, goitre, hump on back' Pāṇ. Vārtt. 2. *giḍa-. [Prob. ← Drav., cf. gaṇḍá-¹]"
3997,gaṇḍá,installed-proposal,d1148,,,,Already represented by a structured comparison.,"3997 gaṇḍá¹ m. 'goitre' AitBr., 'boil' Suśr., °ḍi- m. W. 2. *gaḍḍa-³. [Prob. ← Drav. EWA i 317 with lit., but cf. Psht. γuṇḍ 'round', Pers. gunda 'ball of leaven', gund 'testicle' < *gr̥nda- NTS xii 263. — See also gaḍu-¹, gaṇḍu-, *giḍa-, *gilla-, kanda-]"
3998,gaṇḍa,existing-match,d1946,,,,Already represented by a structured comparison.,"3998 gaṇḍa² m. 'joint of plant' lex., gaṇḍi- m. 'trunk of tree from root to branches' lex. 2. *gēṇḍa-. 3. *gēḍḍa-². 4. *gēḍa-¹. [Cf. kā́ṇḍa-: prob. ← Drav. DED 1619]"
3999,gaṇḍa,installed-proposal,d1337,,,,Already represented by a structured comparison.,3999 gaṇḍa³ m. 'cheek' VarBr̥S. [Cf. galla-: ← Drav. EWA i 317]
4053,*garda,no-defensible-target,,,,,The cited Ka. garduge/gaddige 'throne' and Te. gadde 'seat' are absent from DEDR; DEDR 1355 gadde 'field' is a different sense.,"4053 *garda² 'seat'. [Cf. gárta-² m. 'high seat, chariot seat' RV., 'chariot' Gaut. EWA i 327 of IE. origin, but prob. with T. Burrow BSOAS xii 377 ← Drav.: Kan. garduge, gaddigĕ 'throne, seat', Tel. gadde. — Poss. same as *gāḍḍa-]"
4089,galla,installed-proposal,d1337,,,,Already represented by a structured comparison.,4089 galla m. 'cheek' SkandaP. [Cf. gaṇḍa-³: ← Drav. EWA i 317]
4153,*gicc,existing-match,d1519 d1520,,,,Already represented by a structured comparison.,"4153 *gicc 'press, crowd'. 2. *gacc-. 3. *gijj-. 4. *ghicc-. 5. *ghacc-. 6. *ghijj-. [← Drav., J. Bloch BEFEO xliv 49: Kurukh ginjnā 'to beat into pulp'. — Cf. Muṇḍārī geje̯ geje̯ 'to reduce to a pulp', Sant. ge̱je̱ ge̱je̱; 'crammed', gijgij 'close']."
4172,guccha,existing-match,d1639,,,,Already represented by a structured comparison.,"4172 guccha m. 'bunch of flowers' Mn., °aka-, gutsa-, guluccha-, guluñc{h}a- m. lex. [Cf. guñja-². — Variety of forms and variation of u and o support EWA i 337 in grouping it with kūrcá- as lw. fr. Drav. rather than with Wackernagel AiGr i 158 < *gr̥psa- beside grapsa- m. 'bunch' PārGr̥., glapsa- m. ĀśvGr̥. — Conn. with gōcchā- ?]"
4176,guñjā,existing-match,d1865,,,,Already represented by a structured comparison.,"4176 guñjā f. 'Abrus precatorius (of which the berry was used as a weight)' Suśr., °jikā- f. 'the berry' lex. 2. *kuñca-², kuñcikā-² f. 'A. precatorius' lex. [See guṇḍa-, gundra-: ← Drav. T. Burrow BSOAS xii 373]"
4216,gulphá,existing-match,d1829,,,,Already represented by a structured comparison.,"4216 gulphá m. 'ankle' AV., kulphá- RV. [k- ~ g- and u ~ o support T. Burrow TPS 1946, 17 as ← Drav., cf. Tam. kuḷampu 'hoof']"
4248,"gēnduka-,",installed-proposal,d2766,,,,Already represented by a structured comparison.,"4248 gēnduka-, °dū°, gin° m. 'ball for play' lex. 2. gēṇḍu-, °uka- m. lex. 3. *gēḍḍa-¹. 4. *ganduka-, cf. gaṇḍu- m. 'pillow' Pañcat. 5. X kṣvḗlati. [With kandúka- ← Drav. T. Burrow BSOAS xii 369, Mayrhofer EWA i 152]"
4271,*gōṭṭa,existing-match,d2069,,,,Already represented by a structured comparison.,"4271 *gōṭṭa 'something round'. [Cf. guḍá-¹. — In sense 'fruit, kernel' cert. ← Drav., cf. Tam. koṭṭai 'nut, kernel', Kan. goṟaṭe &c. listed DED 1722]"
4275,gōṇī́,existing-match,da33,,,,Already represented by a structured comparison.,"4275 gōṇī́ f. 'sack' Pāṇ., gōṇikā- f. 'blanket' BHS ii 215. [← Drav. EWA i 345 with lit.]"
4286,gōdhā́,existing-match,d592,,,,Already represented by a structured comparison.,"4286 gōdhā́ f. 'a big kind of lizard' f. VS. 2. gōdhikā- f. 'a kind of lizard or alligator' Kād. 3. gaudhēra- m. 'iguana' lex., °aka- m. 'small venomous animal' Suśr., gaudhāra- m. 'iguana' lex. [Prob. ← Drav. changed by pop. etym. to 'cow-sucker' see gōlaka-: for IE. origin EWA i 347]"
4324,gōlaka,existing-match,d1338,,,,Already represented by a structured comparison.,"4324 gōlaka 'lizard' in gr̥hagōlaka- m. 'house lizard' MārkP., °ikā- f. lex., gōlikā- v.l. for gōdhikā- Kād., gaulī- f. Pañcat. [← Drav. DED 1125 fr. which poss. gōdhā́- by pop. etym. Cf. further kōka- m. 'noxious parasitical animal' AV., 'house lizard' lex., kōkila- m. 'a kind of mouse' Suśr., 'frog' lex. prob. in Pk. gihakōilā-, gharak°, gharōilā- f. 'house lizard']"
4414,ghaṭṭa,existing-match,d1147 d1449,,,,Already represented by a structured comparison.,"4414 ghaṭṭa¹ m. 'landing place, quay, ferry', °ṭī- f. 'small do.' lex. [Basic meaning 'passage (through mountains or over river)' and variation in vowel quantity in S. P. support Drav. origin (T. Burrow BSOAS xii 368), but poss. conn. w. group of ghāṭā-¹]"
4474,*ghir,installed-proposal,d1595,,,,Already represented by a structured comparison.,"4474 *ghir 'go round'. 2. *ghēr- tr. 'make go round, surround'. [← Drav. J. Bloch BSOS v 742: cf. *ghūr-]"
4479,ghuṭa,installed-proposal,d1946,,,,Already represented by a structured comparison.,"4479 ghuṭa m., °ṭī- f. 'ankle' lex. 2. ghuṇṭa-¹ m., °ṭī-, °ṭikā- f. lex. 3. *ghuṭṭa-. 4. *ghōṭṭa-. [← Drav. T. Burrow BSOAS xii 377: belongs to the word-group 'heel-ankle-knee-wrist' s.v. *kuṭṭha-]"
4494,ghūka,existing-match,d1871,,,,Already represented by a structured comparison.,4494 ghūka m. 'owl' Subh. [← Drav. Tam. kūkai T. Burrow BSOS ix 721]
4497,ghū́rṇati,installed-proposal,d1907,,,,Already represented by a structured comparison.,"4497 ghū́rṇati 'moves to and fro, rolls about, is agitated' MBh., ghūrṇa- 'moving to and fro'. [Cf. ghuṇáti, ghṓṇatē 'moves about' Dhātup. and ghōlayati, *ghurati²: prob. ← Drav. T. Burrow BSOAS xii 378: *ghūr-]"
4516,ghōṭa,existing-match,d1711,,,,Already represented by a structured comparison.,"4516 ghōṭa m. 'horse' ĀpŚr., °ṭī- f. Aśvad., °ṭaka- m. Pañ- cat., °ṭikā- f. lex. [Non-Aryan, prob. Drav., origin EWA i 361 with lit.]"
4525,*ghōla,existing-match,d1883,,,,Already represented by a structured comparison.,"4525 *ghōla² 'nest'. [Like kulā́ya- 'nest' ← Drav.: Tam. kūṭu, Kan. Tel. Tu. gūḍu DED 1563; cf. kuṇḍá-¹]"
4546,cakramarda,existing-match,d3003,,,,Already represented by a structured comparison.,"4546 cakramarda m. 'Cassia tora' Suśr., °aka- m. lex. [Like cakragaja-, cakrapadmāṭa- 'id.' ← Drav. EWA i 366. By pop. etym. 'destroying the circle i.e. ringworm'. — cakrá-, marda-]"
4569,cañcu,installed-proposal,d2664,,,,Already represented by a structured comparison.,4569 cañcu f. 'beak' Pañcat. 2. *cuñca-². 3. *cōñca-. 4. *cucca-². [← Drav. EWA i 368 with lit.: see *cōṇṭa-]
4571,caṭaka,existing-match,d2763,,,,Already represented by a structured comparison.,"4571 caṭaka m. 'sparrow' MBh., °kā- f. Pañcat., °ṭikā- f. lex. 2. *ciṭaka-. [Onom. cf. *caṭa- and similar words in Drav. and Mu. EWA i 368]"
4673,capēṭa,existing-match,d2335,,,,Already represented by a structured comparison.,"4673 capēṭa m. 'slap with open hand' Kathās., °ṭā-, °ṭī- f. Pāṇ. 2. capaṭa- lex. 3. *cappēṭa-. 4. *cappēṭṭa-. [← Drav. T. Burrow BSOAS xii 137: cf. carpaṭa-, cipiṭá-, *capp-]"
4736,*cāṭī,existing-match,d2306,,,,Already represented by a structured comparison.,"4736 *cāṭī 'pot'. [← Drav., cf. Tam. cāṭi 'jar', Mal. cāḍi, Tel. Kan. Tu. jāḍi. Cf. *cāṭṭa-, *cāḍḍa-]"
4738,*cāṭṭa,existing-match,d2306,,,,Already represented by a structured comparison.,"4738 *cāṭṭa 'pot'. [← Drav., Tam. caṭṭi DED 1901: see *cāṭī-, *cāḍḍa-]"
4780,cikka,existing-match,d2488,,,,Already represented by a structured comparison.,"4780 cikka² 'gummy matter in eyes, bird-lime' BHS ii 229. [Cf. cikkáṇa-, cikhalla- (and further forms there shown), *kicca-: ← Drav. (DED 2053), ← Mu. (Kuiper) EWA i 385, 386.]"
4781,*cikka,existing-match,d2495,,,,Already represented by a structured comparison.,"4781 *cikka³ 'small'. [Cf. cikva- m. 'young elephant', cikkagaja- m.; cikṣa- 'young', *ciṅga-: perh. same as cikká-⁴, cikiná- 'flat-nosed' Pāṇ., cikina- 'flattened, stumpy' Harṣac. — ← Drav. (cf. Kan. cikka 'small') LM 330, T. Burrow BSOAS 12, 379]"
4792,ciñcā,existing-match,d2529,,,,Already represented by a structured comparison.,"4792 ciñcā f. 'the tree Tamarindus indica', °cikā- f. Bhpr. 2. ciñciṇī- f. ŚārṅgP. 3. cintiḍī- f. lex. [Cf. caṇḍa-² 'tamarind', cuñcurī-, °ulī- f. 'game played with tamarind seeds' lex., *tintiṇī- and other forms s.v. tintiḍī-: ← Mu. PMWS 135 with some forms through Drav. T. Burrow BSOAS xii 379]"
4843,cī́ra,existing-match,d2491,,,,Already represented by a structured comparison.,"4843 cī́ra n. 'strip (of bark or cloth)' TĀr., °aka- n., °ikā- f. 'announcement in a strip of paper' Kathās. [→ Orm. čīr 'torn' IIFL i 392. — With cīvara- and cēla- ← Drav. EWA I 392 with lit. — Cf. also the rhyming *līra- one of a group of 'defective' words]"
4860,"*cutta-,",existing-match,d2724,,,,Already represented by a structured comparison.,"4860 *cutta-, *cūtta- 'anus, vulva'. 2. *cuḍḍa-. 3. *cuḍa-. 4. *cukka- (cf. *cikk-). [cū̆ta- m., °ti- f. 'anus', cyuti- f. 'vulva' lex. Cf. Pers. cul 'penis' (if ← EIr., may be < *cuta-), but more prob. with EWA i 395 ← Drav. cf. Tam. cūttu, cūṟu 'anus' DED 2249]"
4879,cullī,existing-match,d2709,,,,Already represented by a structured comparison.,4879 cullī f. 'fireplace' Mn. [← Drav. EWA i 396 with lit.]
4883,cū́ḍa,existing-match,d2655 d2721,,,,Already represented by a structured comparison.,"4883 cū́ḍa¹ m. 'protuberance on brick' ŚBr., cōḍa-³ m. TS., cūḍā- f. 'topknot on head' Kālid., cūlikā- f. 'cockscomb'. 2. *cōṇḍa- 3. *cōṭṭa-¹. 4. *cunda-². [← Drav. EWA i 396 with lit. -cūlā- f. 'ceremony of tonsure' (which leaves the topknot, cf. the full name cūḍākaraṇa- n.) is the same word: derivation from kṣurita- (Tedesco JAOS 74, 133, EWA i 397) is phonet. impossible. — But it may belong eventually to the group of words for 'hair' (PMWS 63 ← Mu.), including jūṭa- and listed under jáṭā-]"
4911,*cēlla,no-defensible-target,,,,,CDIAL asserts Dravidian origin but supplies no Dravidian form; its cross-referenced cēṭa/cēṭṭa group is instead treated as Munda.,4911 *cēlla 'boy'. [LM 331 ← Drav. and separate from cēṭa-: nevertheless ultimately conn. with this and *cēṭṭa-. — Cf. cēluka- m. 'Buddhist novice' lex.]
4922,*cōṭṭa,no-defensible-target,,,,,"The cited Ta. coṭṭu/cuṟṟu 'steal' forms are absent from DEDR; DEDR 2715 cuṟṟu means 'go around', a different homonym.","4922 *cōṭṭa² 'thief'. [PMWS 135 with cōrá-¹ ← Drav. Tam. coṭṭu-, cuṟṟu- 'to steal']"
5033,chikkāra,no-defensible-target,,,,,No Dravidian antelope name resembling chikkāra was found; concept-only deer entries are insufficient.,5033 chikkāra m. 'a kind of antelope' Dhanv. [Cf. chikkara-: ← Drav. Burrow BSOAS xii 379]
5053,chucchundari,existing-match,d2661,,,,Already represented by a structured comparison.,"5053 chucchundari m. 'musk-rat' Yājñ., chucchū̆ndara- m. Suśr. [cucundarī- f., cuñcu- m., śuṇḍi-mūṣikā- f., gandha-śuṇḍinī- f. lex.; chucchu- m. 'a kind of animal' VarBr̥S. Variant forms of Sk. and NIA. support Drav. origin DED 2190]"
5073,*chōll,existing-match,d2856,,,,Already represented by a structured comparison.,"5073 *chōll 'to peel, skin'. [← Drav. T. Burrow BSOAS xii 141, but cf. also challi- and *chilla-²]"
5086,jáṭā,existing-match,da35,,,,Already represented by a structured comparison.,"5086 jáṭā f. 'hair twisted together' PārGr̥., 'fibrous root, root' Bhpr. 2. *jaṭṭa-¹. 3. *jāṭā-. [Cf. śaṭā- f. 'ascetic's matted hair' W., saṭā- f. 'braid of hair, lion's mane' MBh. — DED 1897 and EWA i 413 ← Drav., but eventually with PMWS 63 ← Mu. with *jatta- (*jatra-, *jacca-), *jakka- (*jagga-), jūṭa- (*juṇṭa-), *jhaṇṭa- (*jhāṭṭha-, *jhiṇṭa-), *jhuṇṭa- (*jhōṇṭa-, *jhuṭṭa-, *jhūṭa-, *jhōṭṭa-), *jhūśa-, *jhallā-, cū́ḍa-¹ (cōḍa-³, *cōṇḍa-, *cōṭṭa-, *cunda-²)]"
5091,*jaḍati,installed-proposal,d2313,,,,Already represented by a structured comparison.,"5091 *jaḍati 'joins, sets'. 2. *jāḍa- 'joining, pair'. [← Drav. LM 333]"
5254,*juṅgha,installed-proposal,d2648,,,,Already represented by a structured comparison.,"5254 *juṅgha 'beard, moustache'. 2. *cuṅgha-. [Cf. *phuṅgha-. — ← Drav. cf. Kan. juṅgu 'pubic hair'?]"
5329,*jhaḍī,no-defensible-target,,,,,CDIAL's Ka. jaḍi/jiḍi 'fine continuous rain' forms are absent from the current DEDR.,"5329 *jhaḍī 'rainstorm'. [LM 337 ← Drav. (Kan. jaḍi, jiḍi 'fine continuous rain': note also meaning 'rainstorm' under *jhaṭṭ-, *jhakk-¹, *jhapp-¹]"
5527,*ḍaṇṭha,existing-match,d3056,,,,Already represented by a structured comparison.,"5527 *ḍaṇṭha 'stem'. 2. *ḍaṇṭa-. 3. *ḍāṇṭa-. 4. *ḍaṭṭha-. 5. *ḍāṭṭha-. 6. *ḍiṇṭa-. 7. *ṭāṇṭa-. 8. *ṭāṇṭha-. 9. *taṇṭa-. 10. *daṇṭha-. [Cf. taṇḍaka- n. 'treetrunk' lex. — This group, if it includes daṇḍá- (EWA ii 11) and δένδρ(ε)ον (H. W. Bailey TPS 1952, 60), is prob. like āṇḍá- and índra-, non-IE. in origin (despite Bailey loc. cit. fn. 3) and the IA. forms have been infl. by Drav. and Mu. words (lit. EWA loc. cit.) and speechhabits (J.C.W.)]"
5528,*ḍabba,no-defensible-target,,,,,CDIAL cites no Dravidian form for *ḍabba 'box'; DEDR box entries such as peṭṭi are conceptually but not formally comparable.,"5528 *ḍabba¹ 'box'. 2. *ḍibba-¹. 3. *ḍēbba-. 4. *ḍāva-¹. 5. *dabba-. 6. *dibba-. [Not conn. with darvi-, but of non-Aryan origin (A. Master BSOAS xii 348 ← Drav.)]"
5539,*ḍavva,existing-match,d449,,,,Already represented by a structured comparison.,"5539 *ḍavva 'lefthand, crosswise'. 2. *ḍāva-². 3. *ḍābba-. 4. *ḍivva-. 5. *ḍēvva-. 6. ḍhēvva-. 7. *dēva-². 8. *dēvva-. [Non-Aryan: A. Master BSOAS xii 348 ← Drav.]"
5637,taṇḍulá,no-defensible-target,,,,,CDIAL supplies no Dravidian form for taṇḍula; native husked-rice entries are concept matches only.,"5637 taṇḍulá m. 'grain, esp. rice, after threshing and winnowing' AV. [Perh. of similar non-Aryan (Drav. Bloch BSOS v 737 or, less probably, Austro-as. S.K. Chatterji ZII ix 32) as *cāmala- cf. esp. forms in K. B. Si.]"
5723,tardū́,existing-match,d3411,,,,Already represented by a structured comparison.,"5723 tardū́ f. 'wooden ladle' lex. [Prob. ← Drav. T. Burrow BSOAS xii 380, DED 2809]"
5747,tāṭaṅka,existing-match,d3121 d3175,,,,Already represented by a structured comparison.,"5747 tāṭaṅka n. m. 'ear-ornament (large ring ac. Apte)' Prasannar., tāḍaṅka- n. Rājat., tālaṅka- m. Apte. [Cf. tāḍīdala- n. 'ear-ornament' Kālid., tāḍapattra- (= tāḍaṅka-) lex., tālapattra- n. 'palm-leaf, ear-ornament' ('gold cylinder' ac. Apte) Kād.; tālāṅka- 'palm leaf' W.; tāḍī-, tālī- f. 'ornament' lex. (← Drav. Tam. tāli 'neck ornament', etc. DED 2594, EWA i 499), tālaka- n. 'ornament' (""shaped like palm leaf"") BHSk. Association with, rather than derivation from, *tāḍa-³]"
5827,tilá,installed-proposal,d854,,,,Already represented by a structured comparison.,"5827 tilá¹ (tíla- Gr.) m. 'Sesamum indicum' AV., 'small particle' MBh. 2. *tilaka-¹. 3. *tilla- (< tilyà- ?). [Prob. ← Mu. Kuiper Festschr. W. Kirfel 157; Drav. source (T. Burrow BSOAS xii 142, 380) less likely]"
5855,tutthá,existing-match,d3343,,,,Already represented by a structured comparison.,"5855 tutthá n. (m. lex.), tutthaka- n. 'blue vitriol (used as an eye ointment)' Suśr., tūtaka- lex. 2. *thōttha-⁴. 3. *tūtta-. 4. *tōtta-². [Prob. ← Drav. T. Burrow BSOAS xii 381; cf. dhūrta-² n. 'iron filings' lex.]"
5860,"tundi-,",existing-match,d624,,,,Already represented by a structured comparison.,"5860 tundi-, °dī-, °dikā- f., tunda-² m. 'navel, esp. prominent or swollen navel' lex., tuṇḍi- f. Suśr., °ikā- f. lex. [Poss. of same origin as tundá-¹ 'belly' (cf. esp. tundakūpikā- f. 'navel' lex: PMWS 155 ← Mu., Burrow BSOAS xii 142, 381 ← Drav.) and tuṇḍa- 'beak, snout' with which it shares several variant forms]"
5904,tū́la,existing-match,d3393,,,,Already represented by a structured comparison.,"5904 tū́la¹ n. 'tuft of grass or reeds, panicle of flower or plant' AV., 'cotton' MBh., 'pencil' Divyāv., m. 'cotton' lex., tūlaka- n. 'cotton', tūlā-, °lī- f. 'cotton, wick' lex., tū́li- f. 'painter's brush', °likā- f. 'panicle used as probing rod, wick' lex., tūda-¹ m. 'the cotton tree' lex. [Poss. ← Drav. Tam. tūral 'painter's brush, shoot' DED 2790. — Cf. turī-]"
5974,tṓya,existing-match,d3555,,,,Already represented by a structured comparison.,5974 tṓya n. 'water' Mn. [← Drav. DED 2933]
6173,*dabb,no-defensible-target,,,,,No Dravidian pressing verb resembling *dabb was found; superficially similar dapp- forms in DEDR have unrelated senses.,6173 *dabb 'press'. 2. *ḍabb-. 3. *dapph-. [A. Master BSOAS xii 348 ← Drav. — Cf. *drapp-]
6191,darád,no-defensible-target,,,,,The possible Dravidian attribution is attached to a broad mountain-name complex without a cited lexical form.,"6191 darád f. 'bank, precipice, mountain' lex. [√dr̥̄?] - But perh. of non-Aryan origin, cf. darád- 'a people adjoining Kashmir' Pat., darada- MBh., dara- 'name of a mountain' ViṣṇuP., and dardara- 'a mountain in the south' MBh., Pa. daddara- (poss. ← Drav. EWA ii 21)]"
6215,dala,no-defensible-target,,,,,"CDIAL cites no Dravidian form for dala 'party, band'; generic crowd/group entries do not establish a formal comparison.","6215 dala⁴ n. 'party, band'. [T. Burrow BSOAS xii 381 ← Drav., but perh. same as dala-² or dala-¹]"
6250,*dāṁṣṭra,no-defensible-target,,,,,CDIAL only allows unspecified Dravidian or Munda influence on an otherwise Indo-Aryan fang/tusk paradigm.,"6250 *dāṁṣṭra 'fang, tusk, beard'. [dáṁṣṭra- n. 'tusk, fang' RV., daṁṣṭrā- f. Pāṇ. MBh.; daṁṣṭrikā- f. 'tusk, beard' lex.; dāḍhā- f. 'tusk' lex., dāḍhikā- f. 'beard' Mn., dāḍaka- m. 'tooth' lex. Semant. development 'fang — tusk — beard' is possible (Rivet BSL 83, 143). But MIA. dāṭhā- < daṁṣṭrā- is phonet. difficult. On the other hand *dāṁṣṭra- (with vr̥ddhi-formation meaning 'pertaining to or collection of fangs' (cf. A. dār below) > 'fang', cf. Wackernagel AiGr ii 2, 130 and 132) would in MIA. become NWPk. *dāṭṭha- (in S. P. WPah. below), central daṁṭha-, daṭṭha-, amg. dāṭha-, dāḍha- (with simplification of consonant-group after orig. IA. long vowel), spread of which at the cost of daṭṭha- was favoured by clash of the latter with daṭṭha- < daṣṭa- and dr̥ṣṭá-. Possibility of further Drav. (J. Bloch BSOS v 741) or Mu. (PMWS 63) influence cannot be excluded. — √daṁś]"
6632,"*drāmiḍa-,",no-defensible-target,,,,,This merely glosses the ethnonym drāviḍa as 'Dravidian'; it is not a Dravidian-source comparison.,"6632 *drāmiḍa-, dramiḍa-, drāviḍa- MBh., draviḍa- m. Mn. 'name of a people, Dravidian'. [EWA ii 73]"
6707,*dhaṭa,existing-match,d3038,,,,Already represented by a structured comparison.,"6707 *dhaṭa², dhaṭī- f. 'old cloth, loincloth' lex. [Drav., Kan. daṭṭi 'waistband' etc., DED 2465]"
6933,náṭa,no-defensible-target,,,,,CDIAL explicitly separates naṭa 'actor' from the Dravidian-derived naṭati entry; no edge should be added.,"6933 náṭa m., naṭī- f. 'dancer, actor' MBh., °aka- m. lex. [Prob. MIA., cf. nr̥tú- 'dancing' RV., and to be separated from naṭati¹ (despite Kuiper IL 16, 105) which is ← Drav. — See √nr̥t]"
6934,*naṭati,installed-proposal,d3582,,,,Already represented by a structured comparison.,"6934 *naṭati 'trembles, totters'. 2. *nāṭayati. 3. *naṭyati. [~ *laṭati, *lāṭayati: cf. unnaṭati 'jumps up' Kāś. on Pāṇ. ~ *ullaṭati. Prob. ← Drav. Kuiper IL 16, 104. — √*naṭ]"
6936,naḍá,installed-proposal,d2909 d2931,,,,Already represented by a structured comparison.,"6936 naḍá, naḷá- m. 'a species of reed' RV., nalá- m. Pāṇ. MBh. 2. naḍaka- n. 'hollow of bone' KātyŚr., nalaka- n. 'any long bone' Suśr., nalikā- f. 'tubular organ' lex. [< nadá-² (which is Indo-ir. and IE. H. W. Bailey TPS 1952, 61) poss. through contact with Drav. (cf. Kan. naḷḷu 'reed, Tam. ñeḷ 'to be hollow' T. Burrow TPS 1946, 23) or Mu. PMWS 82]"
7038,nā́kra,existing-match,d3732,,,,Already represented by a structured comparison.,"7038 nā́kra m. 'a kind of aquatic animal' VS., nakra-¹ m. 'crocodile, alligator' Mn. [← Drav. and poss. conn. with makara- J. Bloch BSOS v 739]"
7075,nārikēla,installed-proposal,d3651,,,,Already represented by a structured comparison.,"7075 nārikēla m. 'coconut palm and fruit' MBh., nārikēra- m., nālikēla- n. Suśr., nāḍīkērī- f., nālīkēra- n. BHSk. [With J. Bloch BSOS v 74 ← Drav. cmpd. cf. Tam. nāri 'fibre', kēḷi 'coconut palm': EWA ii 155]"
7552,nīrá,existing-match,d3690,,,,Already represented by a structured comparison.,"7552 nīrá n. 'water' MBh., nīvara- n. 'water', m. 'marsh' lex. [← Drav. EWA ii 172 with lit., though H. W. Bailey IL xvi 117 believes it IE. and connects with words under √*nī²]"
7620,pakkaṇa,existing-match,d4047,,,,Already represented by a structured comparison.,"7620 pakkaṇa m.n. 'hut of a Caṇḍāla, village inhabited by barbarians' MBh. [← Drav. T. Burrow BSOAS xii 382]"
7647,paṅgú,existing-match,d1688,,,,Already represented by a structured comparison.,"7647 paṅgú 'lame, crippled in legs' AVPar., Yājñ. 2. *pēṅga-. 3. *phēṅgu-. [Variant forms suggest non-Aryan origin (PMWS 87 with further reference to vaṅkú- ← Mu., T. Burrow BSOAS xii 382 ← Drav.). Cf. phakka- m. 'cripple' lex., Pa. pakkha- 'crippled'. But this perh. belongs to a group of more generally 'defective' words, cf. *paggala-]"
7688,pañji,existing-match,d3836,,,,Already represented by a structured comparison.,"7688 pañji, °jī, °jikā- f. 'ball of cotton from which thread is spun' lex. [← Drav. T. Burrow BSOAS xii 382 and DED 3173. Cf. piñjā- and *pañja- (s.v. puñja-) with which it collides in NIA.]"
