Proto_Nuristani_ID,Proto_Nuristani_Form,Proto_Nuristani_Gloss,Indo_Aryan_ID,Indo_Aryan_Form,Indo_Aryan_Gloss,Evidence,Candidate_Count,Anchor
n1139,-i-,,,,,no structural IA candidate,0,
n1144,tu,,,,,no structural IA candidate,0,
n1148,to,,,,,no structural IA candidate,0,
n1158,takara,,5617.2,takr′a-,bitter,numeric IA ancestor,1,OIA takr′a- “bitter”
n1159,traka,,5617.2,takr′a-,bitter,numeric IA ancestor,1,OIA takr′a- “bitter”
n1160,tara˜t,near,,,,no structural IA candidate,0,
n1161,tarâli,,5706,taravâri-,one-edged sword,numeric IA ancestor,1,OIA taravâri- “one-edged sword”
n1162,trevâč,,5706,taravâri-,one-edged sword,numeric IA ancestor,1,OIA taravâri- “one-edged sword”
n1167,tât,,,,,no structural IA candidate,0,
n1168,te,,5647,ta-thâ-pi,even so; nevertheless,numeric IA ancestor,1,OIA ta-thâ-pi “even so; nevertheless”
n1169,ti,,5647,ta-thâ-pi,even so; nevertheless,numeric IA ancestor,1,OIA ta-thâ-pi “even so; nevertheless”
n1172,tavara,near,,,,no structural IA candidate,0,
n1177,tâǰi,sorghum,,,,no structural IA candidate,0,
n1178,târâźa,scales,,,,no structural IA candidate,0,
n1179,tât-brâ,agnate,,,,no structural IA candidate,0,
n1180,tâs,top of shoulder,,,,no structural IA candidate,0,
n1181,tânn,woolen cloth,,,,no structural IA candidate,0,
n1182,tâmu,markhor kid,,,,no structural IA candidate,0,
n1189,tinn,,,,,no structural IA candidate,0,
n1193,taća-,,,,,no structural IA candidate,0,
n1199,tar,,,,,no structural IA candidate,0,
n1208,tula-,,,,,no structural IA candidate,0,
n1212,tâli-,,,,,no structural IA candidate,0,
n1216,tuṇuka,,,,,no structural IA candidate,0,
n1220,tapa-,,,,,no structural IA candidate,0,
n1224,tâp,,,,,no structural IA candidate,0,
n1228,betât,,,,,no structural IA candidate,0,
n1232,tramaša,,,,,no structural IA candidate,0,
n1233,truv-,,5930,*tr̥pu-,sour,numeric IA ancestor,1,OIA *tr̥pu- “sour”
n1234,truvi,,5930,*tr̥pu-,sour,numeric IA ancestor,1,OIA *tr̥pu- “sour”
n1238,tus,,5892,t′usa-,chaff,numeric IA ancestor,1,PAr t′usa- “chaff”
n1239,tol-veša,field-neighbor,,,,no structural IA candidate,0,
n1242,trik-,crack,,,,no structural IA candidate,0,
n1243,trupala,,6028,*trip-,be wet,numeric IA ancestor,1,OIA *trip- “be wet”
n1247,tre,,,,,no structural IA candidate,0,
n1250,trić,,,,,no structural IA candidate,0,
n1252,trauš,,,,,no structural IA candidate,0,
n1255,tre-kâra,,,,,no structural IA candidate,0,
n1256,trikaṭi,,,,,no structural IA candidate,0,
n1259,triutse,,,,,no structural IA candidate,0,
n1262,triaṇa,,,,,no structural IA candidate,0,
n1265,travai,,,,,no structural IA candidate,0,
n1269,tras,,,,,no structural IA candidate,0,
n1270,dar-,wash,,,,no structural IA candidate,0,
n1272,ḍunda,,6128,danḍ′a-,stick,numeric IA ancestor,1,OIA danḍ′a- “stick”
n1273,ḍunḍa,,6128,danḍ′a-,stick,numeric IA ancestor,1,OIA danḍ′a- “stick”
n1275,damak-,teeter,,,,no structural IA candidate,0,
n1276,dâi,,6250,dâḍʱ-i-ka-:-,beard,numeric IA ancestor,1,OIA dâḍʱ-i-ka-:- “beard”
n1277,dâṛi,,6250,dâḍʱ-i-ka-:-,beard,numeric IA ancestor,1,OIA dâḍʱ-i-ka-:- “beard”
n1278,dâṛi âṭi,,6250,dâḍʱ-i-ka-:-,beard,numeric IA ancestor,1,OIA dâḍʱ-i-ka-:- “beard”
n1279,-dâra,,6294,dâra-ka-,boy,numeric IA ancestor,1,OIA dâra-ka- “boy”
n1280,-dâri,,6293.2,dâr-i-ka-:-,girl; wife,numeric IA ancestor,1,OIA dâr-i-ka-:- “girl; wife”
n1282,dâp,frame-drum,,,,no structural IA candidate,0,
n1283,dâvaźi,statue,,,,no structural IA candidate,0,
n1284,dama-,,6284,dâm-ay-a-ti,,numeric IA ancestor,1,OIA dâm-ay-a-ti “”
n1285,dâm,,6283,d′âman-,rope,numeric IA ancestor,1,OIA d′âman- “rope”
n1291,da˜,,,,,no structural IA candidate,0,
n1292,dâ˜,,,,,no structural IA candidate,0,
n1295,davero,,,,,no structural IA candidate,0,
n1305,koidum,,n1304,du:-man-,distress,parsed Strand OIA ancestor,1,OIA du:-man- “distress”
n1307,dis,'silo' storage bin,,,,no structural IA candidate,0,
n1318,u-ǰu-ma,,,,,no structural IA candidate,0,
n1322,dos,,,,,no structural IA candidate,0,
n1326,pa-dur-i,,,,,no structural IA candidate,0,
n1328,su-dur,,,,,no structural IA candidate,0,
n1329,su-dur-i,,,,,no structural IA candidate,0,
n1336,dać,,,,,no structural IA candidate,0,
n1338,daš,,,,,no structural IA candidate,0,
n1343,drišt,,,,,no structural IA candidate,0,
n1345,driṣṭ,,,,,no structural IA candidate,0,
n1352,drama-,,,,,no structural IA candidate,0,
n1362,dar,,,,,no structural IA candidate,0,
n1365,dâv,,,,,no structural IA candidate,0,
n1367,dâv,,,,,no structural IA candidate,0,
n1371,dro˜,,,,,no structural IA candidate,0,
n1375,dâla-,,,,,no structural IA candidate,0,
n1381,driga-la,,,,,no structural IA candidate,0,
n1382,driga-na,,,,,no structural IA candidate,0,
n1383,"driga-ṛa-
la",,,,,no structural IA candidate,0,
n1387,daćaṇi,,,,,no structural IA candidate,0,
n1390,sânduć,,,,,no structural IA candidate,0,
n1393,dâmâv-,,,,,no structural IA candidate,0,
n1397,du,,,,,no structural IA candidate,0,
n1398,du-du,,,,,no structural IA candidate,0,
n1400,di-og,,,,,no structural IA candidate,0,
n1403,duić,,,,,no structural IA candidate,0,
n1406,bâš,,,,,no structural IA candidate,0,
n1407,bâš-pâ,,,,,no structural IA candidate,0,
n1411,duvaši,,,,,no structural IA candidate,0,
n1416,doṣ,,,,,no structural IA candidate,0,
n1420,dabala,,,,,no structural IA candidate,0,
n1421,dabal-i,,,,,no structural IA candidate,0,
n1425,duk,,,,,no structural IA candidate,0,
n1431,duma,,,,,no structural IA candidate,0,
n1432,dumaṛi,,,,,no structural IA candidate,0,
n1434,dübaka,1/4 bushel,,,,no structural IA candidate,0,
n1439,âdasa-,,,,,no structural IA candidate,0,
n1450,draŋâ,knee,,,,no structural IA candidate,0,
n1451,dro,,6623,drav-′a-,flowing,numeric IA ancestor,1,OIA drav-′a- “flowing”
n1452,droi,,6623,drav-′a-,flowing,numeric IA ancestor,1,OIA drav-′a- “flowing”
n1453,drâl,spiderweb,,,,no structural IA candidate,0,
n1454,druš,crack in rock,,,,no structural IA candidate,0,
n1455,drušâ,bolt (of door or window),,,,no structural IA candidate,0,
n1467,indro˜,,,,,no structural IA candidate,0,
n1468,dama,,6733,dʱam-′ani-,vein; nerve; throat,numeric IA ancestor,1,OIA dʱam-′ani- “vein; nerve; throat”
n1470,disani,,6813,dʱiṣ′aṇa-:-,,numeric IA ancestor,1,OIA dʱiṣ′aṇa-:- “”
n1474,diźa-,,,,,no structural IA candidate,0,
n1478,dum,,,,,no structural IA candidate,0,
n1480,drum,,,,,no structural IA candidate,0,
n1481,drumaṇa,,,,,no structural IA candidate,0,
n1486,dove-,,,,,no structural IA candidate,0,
n1495,dâ,,,,,no structural IA candidate,0,
n1498,dâ-,,,,,no structural IA candidate,0,
n1503,dâr,,,,,no structural IA candidate,0,
n1504,dâri,,,,,no structural IA candidate,0,
n1508,drâs,,,,,no structural IA candidate,0,
n1514,dama,,,,,no structural IA candidate,0,
n1519,dam-âv-,,,,,no structural IA candidate,0,
n1522,dama,,,,,no structural IA candidate,0,
n1523,dama-tâ˜,,,,,no structural IA candidate,0,
n1529,pre-,,,,,no structural IA candidate,0,
n1531,sanda-,,,,,no structural IA candidate,0,
n1534,sam-dâv-,,,,,no structural IA candidate,0,
n1541,se,,,,,no structural IA candidate,0,
n1546,daṇi,,,,,no structural IA candidate,0,
n1547,dâṛ,,6873.2,*dʱr̥-ta-,satisfied,numeric IA ancestor,1,OIA *dʱr̥-ta- “satisfied”
n1551,dor,,,,,no structural IA candidate,0,
n1552,duvâk,,,,,no structural IA candidate,0,
n1557,duǰit,,,,,no structural IA candidate,0,
n1558,duǰu,,,,,no structural IA candidate,0,
n1562,drüć,,,,,no structural IA candidate,0,
n1566,sa,,,,,no structural IA candidate,0,
n1567,saka,,,,,no structural IA candidate,0,
n1568,sa-vara,,,,,no structural IA candidate,0,
n1571,-š,,,,,no structural IA candidate,0,
n1572,-ši,,,,,no structural IA candidate,0,
n1585,sta,,,,,no structural IA candidate,0,
n1595,niṣâ,,,,,no structural IA candidate,0,
n1598,niše-,,,,,no structural IA candidate,0,
n1600,-šid-,,,,,no structural IA candidate,0,
n1601,ṣâṣ,,13321,sa-akṣin-,witness,numeric IA ancestor,1,OIA sa-akṣin- “witness”
n1602,sâṭ,,13364.1,sa-artha-,caravan; troop; company,numeric IA ancestor,1,OIA sa-artha- “caravan; troop; company”
n1604,satik,small intestine,,,,no structural IA candidate,0,
n1607,sannâ,,12928,sa˜-nâɦ-a-,coat of mail,numeric IA ancestor,1,OIA sa˜-nâɦ-a- “coat of mail”
n1608,piča-,,12946,sa˜-pr̥nč-a-ti,is united,numeric IA ancestor,1,OIA sa˜-pr̥nč-a-ti “is united”
n1609,su-piča-,,12946,sa˜-pr̥nč-a-ti,is united,numeric IA ancestor,1,OIA sa˜-pr̥nč-a-ti “is united”
n1610,sankiâ,arsenic,,,,no structural IA candidate,0,
n1616,so,,,,,no structural IA candidate,0,
n1617,soi,,,,,no structural IA candidate,0,
n1618,sâ te-,keep,,,,no structural IA candidate,0,
n1619,sâr,,13355,s′âra-,hardness; firm; strong; best part,numeric IA ancestor,1,OIA s′âra- “hardness; firm; strong; best part”
n1621,saraŋi,,,,,no structural IA candidate,0,
n1622,sâtra,,13363,sârtra-,asylum; abode,numeric IA ancestor,1,OIA sârtra- “asylum; abode”
n1623,sâ˜ṭ-,bury,,,,no structural IA candidate,0,
n1624,sâ˜,,13340.1,s′ânu-,mountain top,numeric IA ancestor,1,OIA s′ânu- “mountain top”
n1625,sika,,13391,*sik-va-ka-,fat,numeric IA ancestor,1,OIA *sik-va-ka- “fat”
n1626,sikâ,,13391,*sik-va-ka-,fat,numeric IA ancestor,1,OIA *sik-va-ka- “fat”
n1627,sipia˜,quilt,,,,no structural IA candidate,0,
n1632,šiva-,,,,,no structural IA candidate,0,
n1633,šiva-la,,,,,no structural IA candidate,0,
n1644,sivâ,,13580,s′ek-a-,pouring out,numeric IA ancestor,1,OIA s′ek-a- “pouring out”
n1645,suvâ,,13580,s′ek-a-,pouring out,numeric IA ancestor,1,OIA s′ek-a- “pouring out”
n1650,-sača-,,,,,no structural IA candidate,0,
n1655,sača-,,,,,no structural IA candidate,0,
n1656,sac̣ia-,,,,,no structural IA candidate,0,
n1660,ṣača-,,,,,no structural IA candidate,0,
n1661,ser,flat ground,,,,no structural IA candidate,0,
n1665,sal-ik-a-,,,,,no structural IA candidate,0,
n1666,sir-ik-a-,,,,,no structural IA candidate,0,
n1674,sar,,,,,no structural IA candidate,0,
n1678,sat,,,,,no structural IA candidate,0,
n1681,satić,,,,,no structural IA candidate,0,
n1682,satlić,,,,,no structural IA candidate,0,
n1684,satâš,,,,,no structural IA candidate,0,
n1688,sam-,,,,,no structural IA candidate,0,
n1691,sama,,,,,no structural IA candidate,0,
n1696,sev,,,,,no structural IA candidate,0,
n1702,sudram,,,,,no structural IA candidate,0,
n1705,su-rup,,,,,no structural IA candidate,0,
n1707,sonn,,,,,no structural IA candidate,0,
n1708,sunn-vâni,,,,,no structural IA candidate,0,
n1710,su-vâr,,,,,no structural IA candidate,0,
n1719,ća-ćru,,,,,no structural IA candidate,0,
n1720,ća-ćur,,,,,no structural IA candidate,0,
n1722,išpa-šur,,,,,no structural IA candidate,0,
n1725,ća-ćr,,,,,no structural IA candidate,0,
n1727,išpa-š,,,,,no structural IA candidate,0,
n1732,ṣo,,,,,no structural IA candidate,0,
n1735,ṣo-dić,,,,,no structural IA candidate,0,
n1736,ṣo-ić,,,,,no structural IA candidate,0,
n1738,ṣo-iš,,,,,no structural IA candidate,0,
n1740,ṣo-ḍaš,,,,,no structural IA candidate,0,
n1744,sas,,,,,no structural IA candidate,0,
n1745,sivas,,,,,no structural IA candidate,0,
n1748,paṣi,,,,,no structural IA candidate,0,
n1749,ṣapaṣi,,,,,no structural IA candidate,0,
n1760,prost,,,,,no structural IA candidate,0,
n1770,ṣika,,,,,no structural IA candidate,0,
n1773,sušt′a,,,,,no structural IA candidate,0,
n1776,sup-,stuff,,,,no structural IA candidate,0,
n1785,sav,,,,,no structural IA candidate,0,
n1786,sav-,,,,,no structural IA candidate,0,
n1789,sav-stak,,,,,no structural IA candidate,0,
n1791,sobat,grazing fee,,,,no structural IA candidate,0,
n1793,kanda,,13627,skandʱ′a-,shoulder; upper back; tree,numeric IA ancestor,1,OIA skandʱ′a- “shoulder; upper back; tree”
n1800,vi-ćâ-,,,,,no structural IA candidate,0,
n1803,dvi-ć′i,,,,,no structural IA candidate,0,
n1806,sćo-p-,,,,,no structural IA candidate,0,
n1818,nića,,,,,no structural IA candidate,0,
n1820,ćâṇa,,4979,sčad-a-na-,cover; leaf,numeric IA ancestor,1,PAr sčad-a-na- “cover; leaf”
n1821,sia˜,,13871.2,syârâṇ-i-ka-:-,wife's younger sister,numeric IA ancestor,1,OIA syârâṇ-i-ka-:- “wife's younger sister”
n1831,te-,,n1830,stha:-p-′aya-ti,causes to stand,parsed Strand OIA ancestor,1,OIA stha:-p-′aya-ti “causes to stand”
n1837,utala,,,,,no structural IA candidate,0,
n1838,utala-,,,,,no structural IA candidate,0,
n1844,psṭi,,,,,no structural IA candidate,0,
n1847,tia-,,,,,no structural IA candidate,0,
n1853,tâ,,,,,no structural IA candidate,0,
n1856,štu,,,,,no structural IA candidate,0,
n1861,štana,,,,,no structural IA candidate,0,
n1866,saćiuŋ,,,,,no structural IA candidate,0,
n1867,ćiuŋ,,,,,no structural IA candidate,0,
n1876,štu,,,,,no structural IA candidate,0,
n1880,štara-,,,,,no structural IA candidate,0,
n1883,âštara-,,,,,no structural IA candidate,0,
n1886,ištâr,,,,,no structural IA candidate,0,
n1890,"âstra 
vâṇâ",,,,,no structural IA candidate,0,
n1893,štâr,,,,,no structural IA candidate,0,
n1900,vištaṛ,,,,,no structural IA candidate,0,
n1904,tal,,,,,no structural IA candidate,0,
n1907,tâl,,,,,no structural IA candidate,0,
n1913,štamb,,,,,no structural IA candidate,0,
n1920,štâ,,,,,no structural IA candidate,0,
n1924,târa,,,,,no structural IA candidate,0,
n1927,stri,,13734,str′i:-,woman; wife,numeric IA ancestor,1,OIA str′i:- “woman; wife”
n1932,pâl,,,,,no structural IA candidate,0,
n1942,peṇa,,,,,no structural IA candidate,0,
n1946,priź-,,,,,no structural IA candidate,0,
n1948,pra,,,,,no structural IA candidate,0,
n1950,priǰ-,,,,,no structural IA candidate,0,
n1952,spriźn-,,,,,no structural IA candidate,0,
n1967,-la-,,,,,no structural IA candidate,0,
n1969,laka,close kin,,,,no structural IA candidate,0,
n1985,la,,10928.1,lata-:-,creeper,numeric IA ancestor,1,OIA lata-:- “creeper”
n1986,â-laša,,10992.2,las-ya,stick,numeric IA ancestor,1,OIA las-ya “stick”
n1987,lalâv,foreshank,,,,no structural IA candidate,0,
n1988,lând,,10917.8,*lanḍa-,contemptable,numeric IA ancestor,1,OIA *lanḍa- “contemptable”
n1989,lâṇḍa,,10917.8,*lanḍa-,contemptable,numeric IA ancestor,1,OIA *lanḍa- “contemptable”
n1990,lâṇi,,10917.8,*lanḍa-,contemptable,numeric IA ancestor,1,OIA *lanḍa- “contemptable”
n1992,lapa-,,10939.1,*lappa-,sudden movement,numeric IA ancestor,1,OIA *lappa- “sudden movement”
n2001,lâd,,,,,no structural IA candidate,0,
n2004,latri,,,,,no structural IA candidate,0,
n2005,lavanḍa,,10984,lavanḍa-,servant,numeric IA ancestor,1,OIA lavanḍa- “servant”
n2006,lâvanḍa,,10984,lavanḍa-,servant,numeric IA ancestor,1,OIA lavanḍa- “servant”
n2007,lâunǰa,small lizard,,,,no structural IA candidate,0,
n2008,lâṭ,trap,,,,no structural IA candidate,0,
n2009,lâsa-,,11042,*lâs-ay-a-ti,makes slip,numeric IA ancestor,1,OIA *lâs-ay-a-ti “makes slip”
n2010,lir,,11027,lâlâ-,spittle; saliva,numeric IA ancestor,1,OIA lâlâ- “spittle; saliva”
n2011,lisṭ-,chase; attack,,,,no structural IA candidate,0,
n2012,lei,abundant; good,,,,no structural IA candidate,0,
n2017,â-riâu,,,,,no structural IA candidate,0,
n2020,riâu,,,,,no structural IA candidate,0,
n2024,vilia-,,,,,no structural IA candidate,0,
n2029,liźa-,,,,,no structural IA candidate,0,
n2033,lipa-,,,,,no structural IA candidate,0,
n2037,letra,,,,,no structural IA candidate,0,
n2044,roč-,,,,,no structural IA candidate,0,
n2049,ro,,,,,no structural IA candidate,0,
n2050,rovâ,,,,,no structural IA candidate,0,
n2055,lotra,,,,,no structural IA candidate,0,
n2073,ulama-,,,,,no structural IA candidate,0,
n2076,ulamâ-,,,,,no structural IA candidate,0,
n2085,lamaṇa,,,,,no structural IA candidate,0,
n2089,lui-kâṇḍ,blood-vessel,,,,no structural IA candidate,0,
n2091,luṭ,,11076.1,*luṭṭa-,defective,numeric IA ancestor,1,OIA *luṭṭa- “defective”
n2095,iuv,,,,,no structural IA candidate,0,
n2096,luṣa-,,11097.1,lu:ṣ-a-ti,burns,numeric IA ancestor,1,OIA lu:ṣ-a-ti “burns”
n2097,loṛ,loom,,,,no structural IA candidate,0,
n2103,na,,,,,no structural IA candidate,0,
n2108,nâi,,,,,no structural IA candidate,0,
n2111,-˜,,,,,no structural IA candidate,0,
n2116,-˜,,,,,no structural IA candidate,0,
n2117,-ṇ,,,,,no structural IA candidate,0,
n2118,-na-,,,,,no structural IA candidate,0,
n2123,-a˜,,,,,no structural IA candidate,0,
n2128,-n,,,,,no structural IA candidate,0,
n2131,-˜ta,,,,,no structural IA candidate,0,
n2132,-nda,,,,,no structural IA candidate,0,
n2134,-st,,,,,no structural IA candidate,0,
n2137,-na-,,,,,no structural IA candidate,0,
n2140,-nda,,,,,no structural IA candidate,0,
n2143,âtara-,,,,,no structural IA candidate,0,
n2147,adi,,,,,no structural IA candidate,0,
n2150,di-,,,,,no structural IA candidate,0,
n2154,di-,,,,,no structural IA candidate,0,
n2157,ni,,,,,no structural IA candidate,0,
n2158,nâṭu,,6935.1,*naṭṭa-,defective,numeric IA ancestor,1,OIA *naṭṭa- “defective”
n2163,nâs,,,,,no structural IA candidate,0,
n2174,nânn,,n2173,nânna-,term for older kinsman,parsed Strand OIA ancestor,1,OIA nânna- “term for older kinsman”
n2175,nânni,,n2173,nânna-,term for older kinsman,parsed Strand OIA ancestor,1,OIA nânna- “term for older kinsman”
n2178,naṇa,,,,,no structural IA candidate,0,
n2179,nav-,shin,,,,no structural IA candidate,0,
n2180,nuni,,7003,n′ava-ni:ta-,fresh butter,numeric IA ancestor,1,OIA n′ava-ni:ta- “fresh butter”
n2182,nâ las vâni,disadvantaged,,,,no structural IA candidate,0,
n2183,nâušik,winnowing tray,,,,no structural IA candidate,0,
n2184,nâṛ,,7047,nâḍ′i-:-,tubular stalk; tube,numeric IA ancestor,1,OIA nâḍ′i-:- “tubular stalk; tube”
n2185,nâṣ,beak,,,,no structural IA candidate,0,
n2186,nâr,lair,,,,no structural IA candidate,0,
n2187,nâskâr,face,,,,no structural IA candidate,0,
n2188,nâm-sâ˜ṭ,namesake,,,,no structural IA candidate,0,
n2192,no,,,,,no structural IA candidate,0,
n2194,ninga-,,7165,*ni-gâ-ti,learns,numeric IA ancestor,1,OIA *ni-gâ-ti “learns”
n2195,lusṭik,,7504,ni-ṣṭyu:-ta-,spittle,numeric IA ancestor,1,OIA ni-ṣṭyu:-ta- “spittle”
n2196,-nis-,come out; show up,,,,no structural IA candidate,0,
n2197,ningaṣ,enemy,,,,no structural IA candidate,0,
n2199,nila,,7552,ni:r′a-,water,numeric IA ancestor,1,OIA ni:r′a- “water”
n2200,niv,,7545,ni:-ta-,fresh butter,numeric IA ancestor,1,OIA ni:-ta- “fresh butter”
n2201,nivâ,,7545,ni:-ta-,fresh butter,numeric IA ancestor,1,OIA ni:-ta- “fresh butter”
n2202,nila,,7563.1,n′i:la-,dark blue or green; black,numeric IA ancestor,1,OIA n′i:la- “dark blue or green; black”
n2203,nila-i,,7563.1,n′i:la-,dark blue or green; black,numeric IA ancestor,1,OIA n′i:la- “dark blue or green; black”
n2204,ni-nila,,7563.1,n′i:la-,dark blue or green; black,numeric IA ancestor,1,OIA n′i:la- “dark blue or green; black”
n2208,niǰa-,,,,,no structural IA candidate,0,
n2212,nu·i˜,,,,,no structural IA candidate,0,
n2213,nu·inka,,,,,no structural IA candidate,0,
n2216,nušt,,,,,no structural IA candidate,0,
n2229,nasṭa,,,,,no structural IA candidate,0,
n2237,nâṭ,,,,,no structural IA candidate,0,
n2241,nandi,,,,,no structural IA candidate,0,
n2248,navâ,,,,,no structural IA candidate,0,
n2251,nat,,,,,no structural IA candidate,0,
n2255,nut-i-navâ,great-grandchildren,,,,no structural IA candidate,0,
n2259,nu-tri,,,,,no structural IA candidate,0,
n2264,c̣ala,abomasum,,,,no structural IA candidate,0,
n2266,ṭaka-,,5420.1,*ṭakk-,remain; stop,numeric IA ancestor,1,OIA *ṭakk- “remain; stop”
n2267,ṭâ-,place,,,,no structural IA candidate,0,
n2268,ṭimikü,kind of drum,,,,no structural IA candidate,0,
n2269,trik-,,5466,*ṭukk-,cut; break,numeric IA ancestor,1,OIA *ṭukk- “cut; break”
n2270,ṭum,pear,,,,no structural IA candidate,0,
n2271,ṭoka,,5477.1,*ṭokka-,basket,numeric IA ancestor,1,OIA *ṭokka- “basket”
n2272,ṭopi,,5481,*ṭoppa-,hat; covering,numeric IA ancestor,1,OIA *ṭoppa- “hat; covering”
n2273,ṭupa,,5481,*ṭoppa-,hat; covering,numeric IA ancestor,1,OIA *ṭoppa- “hat; covering”
n2274,ṭupai,,5481,*ṭoppa-,hat; covering,numeric IA ancestor,1,OIA *ṭoppa- “hat; covering”
n2275,ṭra,fart (audible),,,,no structural IA candidate,0,
n2276,ḍa-ḍak-,,5522.2,ḍak-,tremble,numeric IA ancestor,1,OIA ḍak- “tremble”
n2277,ḍaga,,5524.1,*ḍagga-,defective,numeric IA ancestor,1,OIA *ḍagga- “defective”
n2278,ḍagara,,5524.1,*ḍagga-,defective,numeric IA ancestor,1,OIA *ḍagga- “defective”
n2279,ḍa˜kiâr,wolf,,,,no structural IA candidate,0,
n2280,ḍan,fine,,,,no structural IA candidate,0,
n2281,ḍaŋgura,,5524.3,ḍanga-ra-,defective,numeric IA ancestor,1,OIA ḍanga-ra- “defective”
n2282,ḍavara,flat,,,,no structural IA candidate,0,
n2283,ḍâkni,,5542.1,ḍâk-′ini:-,Kâli:'s female attendant,numeric IA ancestor,1,OIA ḍâk-′ini:- “Kâli:'s female attendant”
n2284,ḍâḍu,jujube,,,,no structural IA candidate,0,
n2285,ḍiga-,reach to,,,,no structural IA candidate,0,
n2286,ḍillik,,5536.3,ḍilla-,lump,numeric IA ancestor,1,OIA ḍilla- “lump”
n2287,ḍola,stalk; tassle,,,,no structural IA candidate,0,
n2288,ḍâḍ,,5576,*ḍʱaḍḍʱa-,drum,numeric IA ancestor,1,OIA *ḍʱaḍḍʱa- “drum”
n2289,ḍuŋa,,5585.7,*ḍʱunga-,lump,numeric IA ancestor,1,OIA *ḍʱunga- “lump”
n2290,ṣačâm,snot,,,,no structural IA candidate,0,
n2293,ṣâ-koṭa-,skull,,,,no structural IA candidate,0,
n2294,ṣâṛa,head (of livestock),,,,no structural IA candidate,0,
n2296,ṣiâ˜,stomach; udder; groin,,,,no structural IA candidate,0,
n2297,ṣiŋ-niṣâ˜,horn-chair,,,,no structural IA candidate,0,
n2298,ṣut-vo,Ṣup'u,,,,no structural IA candidate,0,
n2299,ṣunḍ-,knead,,,,no structural IA candidate,0,
n2300,ṣpik,scabbard,,,,no structural IA candidate,0,
n2305,-ra,,,,,no structural IA candidate,0,
n2306,-ra-,,,,,no structural IA candidate,0,
n2312,â-ras′a-,,,,,no structural IA candidate,0,
n2314,ranč,,,,,no structural IA candidate,0,
n2315,ranźa-,,10566,ranǰ-a-,moves to and fro,numeric IA ancestor,1,PAr ranǰ-a- “moves to and fro”
n2318,rava-,,10645,rav-a-te,breaks,numeric IA ancestor,1,OIA rav-a-te “breaks”
n2319,râmâ,,10627.1,rama-ṇi-:-,kind of plant (willow),numeric IA ancestor,1,OIA rama-ṇi-:- “kind of plant (willow)”
n2321,râkust,musk deer,,,,no structural IA candidate,0,
n2322,ẓum,,10685,râǰa-mudga-,kind of bean,numeric IA ancestor,1,OIA râǰa-mudga- “kind of bean”
n2323,râź,raceme,,,,no structural IA candidate,0,
n2324,râtr,,10702,r′âtri:-,night,numeric IA ancestor,1,OIA r′âtri:- “night”
n2325,râtr-,,10702,r′âtri:-,night,numeric IA ancestor,1,OIA r′âtri:- “night”
n2326,râtvâr,,10703,*râtri:-vâra-,nighttime,numeric IA ancestor,1,OIA *râtri:-vâra- “nighttime”
n2327,râl,pubic hair,,,,no structural IA candidate,0,
n2329,â-râm,,,,,no structural IA candidate,0,
n2330,râmâ-gal,Řâmgal,,,,no structural IA candidate,0,
n2331,ria,black,,,,no structural IA candidate,0,
n2332,â-rika-,,10735.1,rinkh-a-ti,moves; crawls,numeric IA ancestor,1,OIA rinkh-a-ti “moves; crawls”
n2333,rika-,,10735.1,rinkh-a-ti,moves; crawls,numeric IA ancestor,1,OIA rinkh-a-ti “moves; crawls”
n2337,li + ?,,,,,no structural IA candidate,0,
n2341,ẓu,,,,,no structural IA candidate,0,
n2346,ro,,,,,no structural IA candidate,0,
n2353,l′aui,,,,,no structural IA candidate,0,
n2363,čaṇḍa-re˜,,10814,re-ṇ′u-,sand; dust; pollen,numeric IA ancestor,1,OIA re-ṇ′u- “sand; dust; pollen”
n2364,re˜,,10814,re-ṇ′u-,sand; dust; pollen,numeric IA ancestor,1,OIA re-ṇ′u- “sand; dust; pollen”
n2368,rok,,10761,ruč-a-ka-,pleasing; acid; natron,numeric IA ancestor,1,OIA ruč-a-ka- “pleasing; acid; natron”
n2369,ru,,10795,r′uɦ-,growth; sprouting,numeric IA ancestor,1,OIA r′uɦ- “growth; sprouting”
n2370,ẓu-vana,,10795,r′uɦ-,growth; sprouting,numeric IA ancestor,1,OIA r′uɦ- “growth; sprouting”
n2371,aru,,10805.2,*ru:p-iya-,beautiful; silver,numeric IA ancestor,1,OIA *ru:p-iya- “beautiful; silver”
n2372,aru-i,,10805.2,*ru:p-iya-,beautiful; silver,numeric IA ancestor,1,OIA *ru:p-iya- “beautiful; silver”
n2373,ro-,,10839,r′od-a-,weeping,numeric IA ancestor,1,OIA r′od-a- “weeping”
n2374,ro-i-,,10839,r′od-a-,weeping,numeric IA ancestor,1,OIA r′od-a- “weeping”
n2378,r̥ć,,,,,no structural IA candidate,0,
n2379,čača˜,edible pine,,,,no structural IA candidate,0,
n2381,čapa-,,4696.1,*čar-pa-,flat,numeric IA ancestor,1,OIA *čar-pa- “flat”
n2382,"čapa-
aṇḍa",,4696.1,*čar-pa-,flat,numeric IA ancestor,1,OIA *čar-pa- “flat”
n2383,čapa-la-,,4696.1,*čar-pa-,flat,numeric IA ancestor,1,OIA *čar-pa- “flat”
n2384,čapa-ra,,4696.1,*čar-pa-,flat,numeric IA ancestor,1,OIA *čar-pa- “flat”
