source_index,id,parent_index,parent_id,level,language_id,form,gloss,comment,page
1086,n846,1085,n845,1,PIE Form,uet-s-o-,,,u
1087,n847,1086,n846,2,PAr,vatsa-,year,,u
1088,n848,1085,n845,1,PIE Form,uet-s-o-,,,u
1089,n849,1088,n848,2,PAr,vatsa-,,,u
1090,n850,1089,n849,3,OIA,vatsa-kuḍa-,calf,,u
1091,n851,1090,n850,4,PNur,vâć′ař,,,u
1092,n852,1088,n848,2,PAr,vatsa-l′a-,calf,,u
1093,n853,1092,n852,3,PNur,vaćala,,,u
1094,n854,,,0,PIE Root,uedʱ,lead,"[Pok. 1115  *u̯edh-2  PIE formula: *u-t̬-
]",u
1095,n855,1094,n854,1,PIE Form,uedʱ-u-,,,u
1096,n856,1095,n855,2,PAr,vadʱ′u:-,bride; son's wife,,u
1097,n857,1096,n856,3,PNur,vau,,,u
1098,n858,,,0,PIE Root,ues,stay; live; spend the night,"[Pok. 1170  *u̯es-1  PIE formula: *u-s-
1]",u
1099,n859,1098,n858,1,PIE Form,ues-o-,,,u
1100,n860,1099,n859,2,PAr,vâs-′a-,abode; staying,,u
1101,n861,1100,n860,3,PNur,vâs,,,u
1102,n862,1098,n858,1,PIE Form,ues-e-,,,u
1103,n863,1102,n862,2,PAr,vâs-a-,,,u
1104,n864,1103,n863,3,OIA,vâs-′a-,abode; staying,,u
1105,n865,1104,n864,4,PNur,vâsa-,,,u
1106,n866,,,0,PIE Root,uesu,good,"[Pok. 1174  *u̯ē̆su-  PIE formula: *u-s-u-
]",u
1107,n867,1106,n866,1,PIE Form,ues-u-,,,u
1108,n868,1107,n867,2,PAr,v′as-u,good; wealth,,u
1109,n869,1108,n868,3,PNur,vasa,,,u
1110,n870,,,0,PIE Root,uesr,spring,"[Pok. 1174  *u̯es-r̥  PIE formula: *u-s-
r]",u
1111,n871,1110,n870,1,PIE Form,ues-en-t′o-,,,u
1112,n872,1111,n871,2,PAr,vas-ant′a-,spring season,,u
1113,n873,1112,n872,3,PNur,vâsa˜ta,,,u
1114,n874,,,0,PIE Root,uel,hair; wool; grass; forest,"[Pok. 1139  *u̯el-4  PIE formula: *u-l-
]",u
1115,n875,1114,n874,1,PIE Form,uēl-o-,,,u
1116,n876,1115,n875,2,PAr,v′âra-,sheep's wool,,u
1117,n877,1116,n876,3,PNur,vârak,,,u
1118,n878,,,0,PIE Root,uel,turn; wind; round; etc.,"[Pok. 1140  *u̯el-7  PIE formula: *u-l-
]",u
1119,n879,1118,n878,1,PIE Form,uēl-o-,,,u
1120,n880,1119,n879,2,PAr,vâra-,appointed time; turn,,u
1121,n881,1120,n880,3,PNur,vâr,,,u
1122,n882,,,0,PIE Root,-u-en-t-,having,,u
1123,n883,1122,n882,1,PIE Form,-u-en-t-,,,u
1124,n884,1123,n883,2,PNur,-ba,,,u
1125,n885,,,0,PIE Root,uobʱsaɦ,wasp,"[Pok. 1179  *u̯obh-sâ  PIE formula: *u-oᴘ̬-s-
ɦ]",u
1126,n886,1125,n885,1,PIE Form,uobʱ-s-i-,,,u
1127,n887,1126,n886,2,PAr,vaspi-,wasp,,u
1128,n888,1127,n887,3,PNur,vašpi,,,u
1129,n889,,,0,PNur,u-kâṭ-,tear down,,u
1130,n890,,,0,PAr,uǰ-aya-na-,last night,,u
1131,n891,1130,n890,1,PNur,â-vźeṇa,,,u
1132,n892,,,0,PNur,uša˜,spatula,,u
1133,n893,,,0,PNur,uṭ-,flay,,u
1134,n894,,,0,PNur,uṣol,waterfall,,u
1135,n895,,,0,Psht,ur′ân,"be ruined, destroyed",,u
1136,n896,,,0,PNur,utâ,excessive; great,,u
1137,n897,,,0,PIE Root,ud,upwards; away,"[Pok. 1103  *ū̆d-  PIE formula: *u-t̰-
]",u
1138,n898,1137,n897,1,PIE Form,ud-,,,u
1139,n899,1138,n898,2,PAr,ud,out; out of\; up,,u
1140,n900,1137,n897,1,PIE Form,ud-kʷe,,,u
1141,n901,1140,n900,2,PAr,ud-k̂a,,,u
1142,n902,1141,n901,3,OIA,ud-ča,tall; lofty,,u
1143,n903,1142,n902,4,PNur,ča,,,u
1144,n904,,,0,PIE Root,udero,belly,"[Pok. 1104  *udero-  PIE formula: *u-t̰-r-o-
]",u
1145,n905,1144,n904,1,PIE Form,ud-er-o-,,,u
1146,n906,1145,n905,2,PAr,ud′ara-,belly,,u
1147,1739,,,0,OIA,ud-krâma-,going out or up,[T. 1739],u
1148,1739,1147,1739,1,PNur,ukram,,,u
1149,1946,,,0,OIA,ud-gam-a-,rising; origin,[T. 1946],u
1150,1641,,,0,OIA,′ud-čar-a-ti,rises,[T. 1641],u
1151,1648,,,0,OIA,*ud-čukra-,very sour,[T. 1648],u
1152,1660,,,0,OIA,*ud-ǰangʱura-,above the shank,[following  T. 1660],u
1153,1845.1,,,0,OIA,*ud-šâr-ay-a-ti,breaks,[T. 1845.1],u
1154,1858.2,,,0,OIA,*ud-šra:-p-ay-a-ti,raises,[T. 1858.2],u
1155,1983,,,0,OIA,ud-di:r-ya-te,is split,[T. 1983],u
1156,2023,,,0,OIA,*ud-dʱuppa-:-,great heat,[T. 2023],u
1157,1814.2,,,0,OIA,ud-pan-na-,produced; born,[T. 1814.2],u
1158,1832,,,0,PAr,ud-prus-a-,bubbles up,[T. 1832],u
1159,2083,,,0,OIA,*ud-vâs-a-,smell,[T. 2083],u
1160,n907,,,0,PNur,usć-,startle,,u
1161,2387,,,0,PAr,′ustra-,buffalo; camel,[T. 2387],u
1162,n908,,,0,PIE Root,ul̥kʷ,wolf,"[Pok. 1178  *u̯l̥kʷ-  PIE formula: *u-l-k̊-
]",u
1163,n909,1162,n908,1,PIE Form,leup-aɦ-,,,u
1164,n910,1163,n909,2,PAr,laup-a:-kya-,,,u
1165,n911,1164,n910,3,OIA,rop-a:-kya-,jackal; fox,,u
1166,n912,1165,n911,4,PNur,raveki,,,u
1167,n913,1162,n908,1,PIE Form,leup-aɦ-k̂-o-,,,u
1168,n914,1167,n913,2,PAr,laup-a:-č′a-,,,u
1169,n915,1168,n914,3,OIA,lop-a:-š′a-,fox; jackal,,u
1170,n916,1169,n915,4,PNur,livaša,,,u
1171,n917,,,0,Psht,ulus,people; nation,,u
1172,n918,,,0,PNur,unnâu,meadow,,u
1173,2302,,,0,OIA,upa-an′ah-,shoe; sandal,[T. 2302],u
1174,2294,,,0,OIA,upa-angu:ḍi-,on the finger,[T. 2294],u
1175,2303,,,0,OIA,upa-ant′a-,border; edge,[T. 2303],u
1176,2167,,,0,PAr,upa-sčad-a-,cover,[T. 2167],u
1177,2167,1176,2167,1,PNur,vaćâ,,,u
1178,2167,1176,2167,1,PNur,vaćada,,,u
1179,n919,,,0,PIE Root,uper,over; above,"[Pok. 1105  *upér  PIE formula: *u-p-
r]",u
1180,n920,1179,n919,1,PIE Form,up-er,,,u
1181,n921,1180,n920,2,PAr,upar-a-,,,u
1182,n922,1181,n921,3,OIA,upa-ra-,*upper,,u
1183,n923,1179,n919,1,PIE Form,up-er-i,,,u
1184,n924,1183,n923,2,PAr,up′ar-i,,,u
1185,n925,1184,n924,3,OIA,up′a-ri,above,,u
1186,n926,,,0,PIE Root,upo,under; from under; etc.,"[Pok. 1106  *upo  PIE formula: *u-p-
o]",u
1187,n927,1186,n926,1,PIE Form,up-o,,,u
1188,n928,1187,n927,2,PAr,′upa,upon; above,,u
1189,n929,1188,n928,3,PNur,o,,,u
1190,2329,,,0,OIA,up-t′a-,scattered; sown,[T. 2329],u
1191,n930,,,0,PIE Root,uhdʱ,udder,"[Pok. 347  *ēudh-, ōudh, ūdh  PIE formula: *ɦ̊-u-h-t̬-
]",u
1192,n931,1191,n930,1,PIE Form,u-h-dʱ-es-,,,u
1193,n932,1192,n931,2,PAr,′u:dʱas-,udder,,u
1194,n933,,,0,PNur,o,around,,o
1195,n934,,,0,PIE Root,oid,swell; strong,"[Pok. 774  *oid-  PIE formula: *ɦ̊-oi-t̰-
]",o
1196,n935,1195,n934,1,PIE Form,ɦ̊i-n-d-ro-,,,o
1197,n936,1196,n935,2,PAr,′indra-,Indra,,o
1198,n937,1197,n936,3,PNur,′indra,,,o
1199,n938,1197,n936,3,OIA,indra-iṣṭi-,Indra-impulse,,o
1200,n939,,,0,PIE Root,oui,sheep,"[Pok. 784  *óu̯i-  PIE formula: *ɦ̊-u-i-
",o
1201,n940,1200,n939,1,PIE Form,ɦ̊ou-i-,,,o
1202,n941,1201,n940,2,PAr,avi-maya-,,,o
1203,n942,1202,n941,3,OIA,avi-maya-,consisting of sheep,,o
1204,n943,1203,n942,4,PNur,vame,,,o
1205,n944,1200,n939,1,PIE Form,ɦ̊ou-i-ko-,,,o
1206,n945,1205,n944,2,PAr,avi-k′a-,sheep,,o
1207,n946,,,0,PIE Root,ok̂toɦ̊,eight,"[Pok. 775  *ok̂tō(u)  PIE formula: *ɦ̊-ok̂-t-
ɦ̊]",o
1208,n947,1207,n946,1,PIE Form,ɦ̊ok̂t-oɦ̊,,,o
1209,n948,1208,n947,2,PAr,ašt′â,eight,,o
1210,n949,1209,n948,3,PNur,′asta,,,o
1211,n950,1209,n948,3,PNur,asṭ,,,o
1212,n951,1207,n946,1,PIE Form,ɦ̊ok̂t-oɦ̊-dek̂m,,,o
1213,n952,1212,n951,2,PAr,ašt′â-dača,eighteen,,o
1214,n953,1213,n952,3,PNur,astadić,,,o
1215,n954,1213,n952,3,PNur,âsṭić,,,o
1216,n955,1213,n952,3,OIA,aṣṭ′â-daša,eighteen,,o
1217,n956,,,0,PIE Root,okʷ,eye; see,"[Pok. 776  *okʷ-  PIE formula: *ɦ̊-ok̊-
]",o
1218,n957,1217,n956,1,PIE Form,ɦ̊okʷ-s-i-no-,,,o
1219,n958,1218,n957,2,PAr,′ak-ši-na-,eye,,o
1220,n959,1219,n958,3,PNur,ače˜,,,o
1221,n960,1219,n958,3,OIA,′akṣi-ṇa-,eye,,o
1222,n961,1221,n960,4,PNur,ac̣i˜,,,o
1223,2562,,,0,OIA,′oṣadʱi-,medicinal herb,[T. 2562],o
1224,2562,1223,2562,1,PNur,oṣa,,,o
1225,n962,,,0,PIE Root,-os,,,o
1226,n963,1225,n962,1,PIE Form,-os,,,o
1227,n964,1226,n963,2,PAr,-as,,,o
1228,n965,1227,n964,3,PNur,-as,,,o
1229,n966,1225,n962,1,PIE Form,-os-io,,,o
1230,n967,1229,n966,2,PAr,-asya,,,o
1231,n968,1230,n967,3,PNur,-še,,,o
1232,n969,,,0,PIE Root,osth,bone,"[Pok. 783  *ost(h)-  PIE formula: *ɦ̊-s-t-
]",o
1233,n970,1232,n969,1,PIE Form,ɦ̊os-t-h-i,,,o
1234,n971,1233,n970,2,PAr,asthi-,,,o
1235,n972,1234,n971,3,OIA,aṣṭhi-,bone; kernel,,o
1236,n973,1235,n972,4,PNur,aṭi,,,o
1237,n974,,,0,PIE Root,onogʱ,fingernail; claw,"[Pok. 780  *onogh-  PIE formula: *ɦ̊-on-ok̬-
]",o
1238,n975,1237,n974,1,PIE Form,ɦ̊n-ogʱ-o-,,,o
1239,n976,1238,n975,2,PAr,nakh′a-,nail; claw,,o
1240,n977,1239,n976,3,PNur,nâuče˜,,,o
1241,n978,,,0,PIE Root,ong,coal,"[Pok. 779  *ong-  PIE formula: *ɦ̊-on-k̰-
]",o
1242,n979,1241,n978,1,PIE Form,ɦ̊ong-o-lo-,,,o
1243,n980,1242,n979,2,PAr,′angâra-,glowing coal,,o
1244,n981,1243,n980,3,PNur,âŋâ,,,o
1245,n982,1243,n980,3,PNur,âŋâ-,,,o
1246,n983,1241,n978,1,PIE Form,ɦ̊ong-o-lo-i-aɦ-,,,o
1247,n984,1246,n983,2,PAr,angâr-y′a-:-,heap of embers,,o
1248,n985,1247,n984,3,PNur,âŋâ-,,,o
1249,n986,,,0,PIE Root,ongʷ,anoint; dark ointment,"[Pok. 779  *ongʷ-  PIE formula: *ɦ̊-on-k̰̊-
]",o
1250,n987,1249,n986,1,PIE Form,ɦ̊ongʷ-e-,,,o
1251,n988,1250,n987,2,PAr,anǰ′a-ti,anoints; smears,,o
1252,n989,,,0,PIE Root,om,raw; bitter; *sweet,"[Pok. 777  *om-  PIE formula: *ɦ̊-om-
]",o
1253,n990,1252,n989,1,PIE Form,ɦ̊om-l-,,,o
1254,n991,1253,n990,2,PAr,âmrâ-,,,o
1255,n992,1254,n991,3,OIA,âmrâ-ta-ka,hogplum,,o
1256,n993,1255,n992,4,PNur,amâr,,,o
1257,n994,1254,n991,3,OIA,âmrâ-ta-ka-,hogplum,,o
1258,n995,1257,n994,4,PNur,amâr,,,o
1259,n996,,,0,PIE Root,ō,,[Pok. 772  *ō2  PIE formula: *ɦ̊-oɦ̊],oTns
1260,n997,1259,n996,1,PIE Form,ɦ̊oɦ̊,,,oTns
1261,n998,1260,n997,2,PAr,â,,,oTns
1262,n999,1261,n998,3,PNur,-â,,,oTns
1263,n1000,,,0,PIE Root,ōus,ear,"[Pok. 785  *ōus2  PIE formula: *ɦ̊-ōu-s-
]",oTns
1264,n1001,1263,n1000,1,PIE Form,ɦ̊u-s-mo-,,,oTns
1265,n1002,1264,n1001,2,PAr,us-ma*,ear,,oTns
1266,n1003,,,0,PIE Root,ōs,mouth,"[Pok. 784  *ōus-1  PIE formula: *ɦ̊-ōu-s-
]",oTns
1267,n1004,1266,n1003,1,PIE Form,ɦ̊oɦ̊-s-i-,,,oTns
1268,n1005,1267,n1004,2,PAr,âs′iya-,mouth,,oTns
1269,n1006,1268,n1005,3,PNur,âš,,,oTns
1270,n1007,1268,n1005,3,PNur,âši,,,oTns
1271,n1008,1266,n1003,1,PIE Form,ɦ̊oɦ̊-s-t′o-,,,oTns
1272,n1009,1271,n1008,2,PAr,′aus-ta-,,,oTns
1273,n1010,1272,n1009,3,OIA,′oṣṭha-,lip,,oTns
1274,n1011,1273,n1010,4,PNur,usṭ,,,oTns
1275,n1012,,,0,PNur,ćare˜,apricot,,cDen
1276,n1013,,,0,PNur,ćanu,Sâňu,,cDen
1277,n1014,,,0,PNur,ćave,drill,,cDen
1278,n1015,,,0,PNur,ćam,Wâmâ,,cDen
1279,n1016,,,0,PNur,ćâćak-,sting,,cDen
1280,n1017,,,0,PNur,ćiprâ:˜,lamb,,cDen
1281,n1018,,,0,PNur,ćuki,,,cDen
1282,n1019,,,0,PNur,ćurća˜,,,cDen
1283,n1020,,,0,EurAs,t,,"[G. 4, 11, 43]",t
1284,n1021,1283,n1020,1,PIE Form,t-o-,,"[Pok. 1086  *to-1  PIE formula: *t-
1]",t
1285,n1022,1284,n1021,2,PAr,t′a-,,,t
1286,n1023,1285,n1022,3,PNur,ta,,,t
1287,n1024,1285,n1022,3,PNur,ta-vara,,,t
1288,n1025,1283,n1020,1,PIE Form,-t-i,,,t
1289,n1026,1288,n1025,2,PAr,-t-i,,,t
1290,n1027,1289,n1026,3,PNur,-i,,,t
1291,n1028,1283,n1020,1,PIE Form,-t′o-,,,t
1292,n1029,1291,n1028,2,PAr,-i-t′a-,,,t
1293,n1030,1292,n1029,3,PNur,-i-,,,t
1294,n1031,1291,n1028,2,PAr,-r̥-t′a-,,,t
1295,n1032,1291,n1028,2,PAr,-t′a-,,,t
1296,n1033,1283,n1020,1,PIE Form,t-u-om-,thou,[Pok. 1097  *tū̆  PIE formula: *t-u4],t
1297,n1034,1296,n1033,2,PAr,tuv-′am,,,t
1298,n1035,1297,n1034,3,PNur,tu,,,t
1299,n1036,1297,n1034,3,OIA,tuv-′am +,thou,,t
1300,n1037,1283,n1020,1,PIE Form,t-eu-o-,thy,[Pok. 1097  *tū̆  PIE formula: *t-u5],t
1301,n1038,1300,n1037,2,PAr,t′ava,,,t
1302,n1039,1301,n1038,3,PNur,to,,,t
1303,n1040,1283,n1020,1,PIE Form,-t-u-oi,thou,[Pok. 1097  *tū̆  PIE formula: *t-u6],t
1304,n1041,1303,n1040,2,PAr,-tai,,,t
1305,n1042,1304,n1041,3,OIA,-te,thou,,t
1306,n1043,1283,n1020,1,PIE Form,t-u-ōm-,thou,[Pok. 1097  *tū̆  PIE formula: *t-u7],t
1307,n1044,1306,n1043,2,PAr,tv-′âm,,,t
1308,n1045,1283,n1020,1,PIE Form,-tu-ii-,,,t
1309,n1046,1308,n1045,2,PAr,-tvi:,,,t
1310,n1047,1283,n1020,1,PIE Form,-t-,,,t
1311,n1048,1310,n1047,2,PAr,-t-,,,t
1312,5958,,,0,OIA,tail′a-,sesamum oil; oil,[T. 5958],t
1313,5617.2,,,0,OIA,takr′a-,bitter,[T. 5617.2],t
1314,5617.2,1313,5617.2,1,PNur,takara,,,t
1315,5617.2,1313,5617.2,1,PNur,traka,,,t
1316,5633.1,,,0,OIA,*taḍ-a-ti,stretches,[T. 5633.1],t
1317,n1049,,,0,PNur,tara˜t,near,,t
1318,5706,,,0,OIA,taravâri-,one-edged sword,[T. 5706],t
1319,5706,1318,5706,1,PNur,tarâli,,,t
1320,5706,1318,5706,1,PNur,trevâč,,,t
1321,n1050,,,0,Prs,tariâk,opium,,t
1322,5727,,,0,OIA,*tarp-a-ti,jumps,[T. 5727],t
1323,n1051,,,0,PIE Root,tata,Daddy,"[Pok. 1056  *tata-  PIE formula: *ta-ta-
]",t
1324,n1052,1323,n1051,1,PIE Form,ta-ta-,,,t
1325,n1053,1324,n1052,2,PAr,tât′a-,father; dad,,t
1326,n1054,1325,n1053,3,PNur,tât,,,t
1327,5647,,,0,OIA,ta-thâ-pi,even so; nevertheless,[T. 5647],t
1328,5647,1327,5647,1,PNur,te,,,t
1329,5647,1327,5647,1,PNur,ti,,,t
1330,5735,,,0,OIA,tal-a-ti,fixes; accomplishes,[T. 5735],t
1331,5651,,,0,OIA,t′an-aya-,offspring,[T. 5651],t
1332,n1055,,,0,Prs,tang,narrow; tight,,t
1333,5627,,,0,OIA,*tanga-,strong; well,[T. 5627],t
1334,5663,,,0,OIA,t′antra-,web; loom,[T. 5663],t
1335,n1056,,,0,Psht?,tapa,team,,t
1336,n1057,,,0,PNur,tavara,near,,t
1337,n1058,,,0,Prs,taviz,talisman,,t
1338,n1059,,,0,Prs,tambâku,tobacco,,t
1339,n1060,,,0,Arb,taḥvīl,delivery,,t
1340,n1061,,,0,PAr,tâka-,river,,t
1341,n1062,,,0,PNur,tâǰi,sorghum,,t
1342,5748,,,0,OIA,t′âḍ-a-,blow; clap; palm of hand,[T. 5748],t
1343,n1063,,,0,PNur,târâźa,scales,,t
1344,n1064,,,0,PNur,tât-brâ,agnate,,t
1345,n1065,,,0,PNur,tâs,top of shoulder,,t
1346,5766.2,,,0,OIA,*tânuva-,one's own,[T. 5766.2],t
1347,n1066,,,0,PNur,tânn,woolen cloth,,t
1348,n1067,,,0,PNur,tâmu,markhor kid,,t
1349,n1068,,,0,Eng,t′in,tin,,t
1350,n1069,,,0,PIE Root,teig,stick; sharp,"[Pok. 1016  *(s)teig-  PIE formula: *t-i-k̰-
]",t
1351,n1070,1350,n1069,1,PIE Form,tei-g-es-,,,t
1352,n1071,1351,n1070,2,PAr,t′eǰ-as-,sharpness; energy; glow,,t
1353,n1072,1350,n1069,1,PIE Form,tei-g-s-no-,,,t
1354,n1073,1353,n1072,2,PAr,tik-š-n′a-,sharp; hot; pungent,,t
1355,n1074,1354,n1073,3,PNur,tinn,,,t
1356,n1075,,,0,PIE Root,tek̂s,plait; woodwork; carpenter,"[Pok. 1058  *tek̂-s-  PIE formula: *t-k̂-s-
]",t
1357,n1076,1356,n1075,1,PIE Form,tek̂-s-e-,,,t
1358,n1077,1357,n1076,2,PAr,tačš-a-,forms by cutting; chisels,,t
1359,n1078,1358,n1077,3,PNur,taća-,,,t
1360,n1079,,,0,PIE Root,ter,cross; transgress; stay; etc.,"[Pok. 1074  *ter-4  PIE formula: *t-r-
]",t
1361,n1080,1360,n1079,1,PIE Form,ter-e-,,,t
1362,n1081,1361,n1080,2,PAr,t′ar-a-ti,crosses (over),,t
1363,n1082,1360,n1079,1,PIE Form,ter-o-,,,t
1364,n1083,1363,n1082,2,PAr,t′ar-a-,crossing,,t
1365,n1084,1364,n1083,3,PNur,tar,,,t
1366,n1085,,,0,PIE Root,ter,sharp stalk or thorn,"[Pok. 1031  *(s)ter-7  PIE formula: *t-r-
]",t
1367,n1086,1366,n1085,1,PIE Form,tr-no-,,,t
1368,n1087,1367,n1086,2,PAr,t′r̥ṇa-,blade of grass; straw,,t
1369,n1088,,,0,PIE Root,tel,transport; carry; bear; suffer,"[Pok. 1060  *tel-1  PIE formula: *t-l-
]",t
1370,n1089,1369,n1088,1,PIE Form,tl-aɦ-,,,t
1371,n1090,1370,n1089,2,PAr,tul-′a-:-,balance; weight,,t
1372,n1091,1369,n1088,1,PIE Form,tōl-eio-,,,t
1373,n1092,1372,n1091,2,PAr,tul-aya-ti,lifts; weighs,,t
1374,n1093,1373,n1092,3,PNur,tula-,,,t
1375,n1094,,,0,PIE Root,tel,flat; flat ground; board,"[Pok. 1061  *tel-2  PIE formula: *t-l-
]",t
1376,n1095,1375,n1094,1,PIE Form,tâl-u,,,t
1377,n1096,1376,n1095,2,PAr,tâlu-,palate; top of head,,t
1378,n1097,1377,n1096,3,PNur,tâli-,,,t
1379,n1098,,,0,PIE Root,tenu,thin,"[Pok. 1069  *tenu-1  PIE formula: *t-n-u-
]",t
1380,n1099,1379,n1098,1,PIE Form,ten-u-,,,t
1381,n1100,1380,n1099,2,PAr,tan′u-,thin,,t
1382,n1101,1381,n1100,3,PNur,tuṇuka,,,t
1383,n1102,,,0,PIE Root,tep,warm,"[Pok. 1069  *tep-  PIE formula: *t-p-
1]",t
1384,n1103,1383,n1102,1,PIE Form,tep-io-,,,t
1385,n1104,1384,n1103,2,PAr,t′ap-ya-ti,is hot,,t
1386,n1105,1385,n1104,3,PNur,tapa-,,,t
1387,n1106,1383,n1102,1,PIE Form,tep-io-,,,t
1388,n1107,1387,n1106,2,PAr,tâp-ya-,,,t
1389,n1108,1388,n1107,3,OIA,tâp-ya-,heat,,t
1390,n1109,1389,n1108,4,PNur,tâp,,,t
1391,n1110,1383,n1102,1,PIE Form,tep-ti-,,,t
1392,n1111,1391,n1110,2,PAr,tap-t-i,,,t
1393,n1112,1392,n1111,3,OIA,upot-tap-ti-,exertion,,t
1394,n1113,1393,n1112,4,PNur,betât,,,t
1395,n1114,,,0,PIE Root,temh,dark,"[Pok. 1063  *tem(ə)-  PIE formula: *t-m-h-
]",t
1396,n1115,1395,n1114,1,PIE Form,tem-h-s-r-aɦ-,,,t
1397,n1116,1396,n1115,2,PAr,t′amis-ra-:-,dark night,,t
1398,n1117,1397,n1116,3,PNur,tramaša,,,t
1399,5925,,,0,OIA,tr̥d-a-ti,splits open,[T. 5925],t
1400,5930,,,0,OIA,*tr̥pu-,sour,[T. 5930],t
1401,5930,1400,5930,1,PNur,truv-,,,t
1402,5930,1400,5930,1,PNur,truvi,,,t
1403,n1118,,,0,PIE Root,tuer,turn; whirl,"[Pok. 1100  *tu̯er-1  PIE formula: *t-u-r-
]",t
1404,n1119,1403,n1118,1,PIE Form,tu-r-′o-,,,t
1405,n1120,1404,n1119,2,PAr,tur-′a-,quick,,t
1406,5892,,,0,PAr,t′usa-,chaff,[T. 5892],t
1407,5892,1406,5892,1,PNur,tus,,,t
1408,5904,,,0,OIA,t′u:la-,tuft of grass; panicle (used as stick),[T. 5904],t
1409,n1121,,,0,PNur,tol-veša,field-neighbor,,t
1410,n1122,,,0,Turk,top,ball; cannon; gun,,t
1411,n1123,,,0,Prs,tombân,wide trousers,,t
1412,6011,,,0,OIA,trâ-ṇa-,protection,[T. 6011],t
1413,n1124,,,0,PNur,trik-,crack,,t
1414,6028,,,0,OIA,*trip-,be wet,[T. 6028],t
1415,6028,1414,6028,1,PNur,trupala,,,t
1416,n1125,,,0,PIE Root,trei,three,"[Pok. 1090  *t-r-′ei-  PIE formula: *t-r-i-
1]",t
1417,n1126,1416,n1125,1,PIE Form,t-r-ei-es-,,,t
1418,n1127,1417,n1126,2,PAr,tr′ay-as,three,,t
1419,n1128,1418,n1127,3,PNur,tre,,,t
1420,n1129,1416,n1125,1,PIE Form,t-r-ei-es dek̂m,,,t
1421,n1130,1420,n1129,2,PAr,tr′ay-as-dača,thirteen,,t
1422,n1131,1421,n1130,3,PNur,trić,,,t
1423,n1132,1421,n1130,3,OIA,tr′ay-o-daša,thirteen,,t
1424,n1133,1423,n1132,4,PNur,trauš,,,t
1425,n1134,1416,n1125,1,PIE Form,t-r-i-ko-,,,t
1426,n1135,1425,n1134,2,PAr,tri-kka-*,triple,,t
1427,n1136,1426,n1135,3,PNur,tre-kâra,,,t
1428,n1137,1426,n1135,3,PNur,trikaṭi,,,t
1429,n1138,1416,n1125,1,PIE Form,t-r-i-,,,t
1430,n1139,1429,n1138,2,PAr,tri-vats′a-,three years old,,t
1431,n1140,1430,n1139,3,PNur,triutse,,,t
1432,n1141,1416,n1125,1,PIE Form,t-r-i-,,,t
1433,n1142,1432,n1141,2,PAr,tri-an-a-,young bull (3-4 years),,t
1434,n1143,1433,n1142,3,PNur,triaṇa,,,t
1435,n1144,1416,n1125,1,PIE Form,t-r-i-,,,t
1436,n1145,1435,n1144,2,PAr,tri-pâda-ka-,three-footed,,t
1437,n1146,1436,n1145,3,PNur,travai,,,t
1438,n1147,,,0,PIE Root,tres,tremble,"[Pok. 1095  *tres-  PIE formula: *t-r-s-
]",t
1439,n1148,1438,n1147,1,PIE Form,tres-o-,,,t
1440,n1149,1439,n1148,2,PAr,trasa-,trembling,,t
1441,n1150,1440,n1149,3,PNur,tras,,,t
1442,6567,,,0,OIA,daipa-,belonging to a lamp,[T. 6567],d
1443,n1151,,,0,PNur,dar-,wash,,d
1444,n1152,,,0,Prs,darbâr,court,,d
1445,6212,,,0,OIA,*dal-,quiver,[T. 6212],d
1446,6128,,,0,OIA,danḍ′a-,stick,[T. 6128],d
1447,6128,1446,6128,1,PNur,ḍunda,,,d
1448,6128,1446,6128,1,PNur,ḍunḍa,,,d
1449,6173.3,,,0,OIA,*dapph-,press; crush,[T. 6173.3],d
1450,n1153,,,0,Psht,d′am kïlay,Dam Village,,d
1451,n1154,,,0,PNur,damak-,teeter,,d
1452,6250,,,0,OIA,dâḍʱ-i-ka-:-,beard,[T. 6250],d
1453,6250,1452,6250,1,PNur,dâi,,,d
1454,6250,1452,6250,1,PNur,dâṛi,,,d
1455,6250,1452,6250,1,PNur,dâṛi âṭi,,,d
1456,6294,,,0,OIA,dâra-ka-,boy,[T. 6294],d
1457,6294,1456,6294,1,PNur,-dâra,,,d
1458,6293.2,,,0,OIA,dâr-i-ka-:-,girl; wife,[T. 6293.2],d
1459,6293.2,1458,6293.2,1,PNur,-dâri,,,d
1460,n1155,,,0,Prs,dâru,gunpowder,,d
1461,n1156,,,0,PNur,dâp,frame-drum,,d
1462,n1157,,,0,PNur,dâvaźi,statue,,d
1463,6284,,,0,OIA,dâm-ay-a-ti,,[T. 6284],d
1464,6284,1463,6284,1,PNur,dama-,,,d
1465,6283,,,0,OIA,d′âman-,rope,[T. 6283],d
1466,6283,1465,6283,1,PNur,dâm,,,d
1467,n1158,,,0,PIE Root,dâ,share; divide,"[Pok. 175  *dâ  PIE formula: *t̰-ɦ-
]",d
1468,n1159,1467,n1158,1,PIE Form,daɦ-io-,,,d
1469,n1160,1468,n1159,2,PAr,da:ya-âd'a-,kinsman [“share-taking”],,d
1470,n1161,1467,n1158,1,PIE Form,daɦ-no-,,,d
1471,n1162,1470,n1161,2,PAr,d′a:-na-,giving; gift,,d
1472,n1163,1471,n1162,3,PNur,da˜,,,d
1473,n1164,1471,n1162,3,PNur,dâ˜,,,d
1474,n1165,,,0,PIE Root,dâiuēr,brother-in-law,"[Pok. 179  *dâiu̯ēr  PIE formula: *t̰-âi-u-
ēr]",d
