Ancestor_ID,Proto_Nuristani_ID,Indo_Aryan_ID,Evidence
pii-2574,n3673,2574,manually reviewed Strand ancestor and CDIAL head
pii-2574,n3674,2574,manually reviewed Strand ancestor and CDIAL head
pii-2574,n3675,2574,manually reviewed Strand ancestor and CDIAL head
pii-3114,n3685,3114,exact duplicated reflex + matching Strand ancestor
pii-5227,n3701,5227,manually reviewed Strand ancestor and CDIAL head
pii-5241,n3705,5241,manually reviewed Strand ancestor and CDIAL head
pii-5244,n3708,5244,exact duplicated reflex + matching Strand ancestor
pii-5244,n3709,5244,exact duplicated reflex + matching Strand ancestor
pii-4014,n3731,4014,exact Strand ancestor headword + matching gloss
pii-4055,n3735,4055,manually reviewed Strand ancestor and CDIAL head
pii-1044,n3739,1044,manually reviewed Strand ancestor and CDIAL head
pii-1045,n3744,1045,manually reviewed Strand ancestor and CDIAL head
pii-4008,n3746,4008,exact Strand ancestor headword + matching gloss
pii-4008,n3747,4008,exact duplicated reflex + matching Strand ancestor
pii-8469,n3750,8469,exact Strand ancestor headword + matching gloss
pii-4147,n3758,4147,exact duplicated reflex + matching Strand ancestor
pii-4147-2,n3761,4147-2,manually reviewed Strand ancestor and CDIAL head
pii-4440,n3770,4440,exact duplicated reflex + matching Strand ancestor
pii-4058,n3772,4058,manually reviewed Strand ancestor and CDIAL head
pii-13963,n3776,13963,exact duplicated reflex + matching Strand ancestor
pii-13969,n3779,13969,exact duplicated reflex + matching Strand ancestor
pii-13969,n3782,13969,exact duplicated reflex + matching Strand ancestor
