Item	Site	Site_Name	PDF_Page	Printed_Page	Column	Cell_Image	Raw_OCR	OCR_Alternates	Transcription	Review	Uncertainty	Blank	Notes
37	ANI	Ani	53	46	2	cells/i037-ANI-pdf053.png	hol			pending manual source-image review			
37	BAT	Bathad	51	44	3	cells/i037-BAT-pdf051.png	hol			pending manual source-image review			
37	BHU	Bhutti Village / Lag Valley	52	45	3	cells/i037-BHU-pdf052.png	ha:l			pending manual source-image review			
37	CHI	Chinninal Village	49	42	2	cells/i037-CHI-pdf049.png	ha:l?			pending manual source-image review			
37	CHU	Churla / Lag Valley	48	41	2	cells/i037-CHU-pdf048.png	bārhna			pending manual source-image review			
37	GAR	Garsah	52	45	1	cells/i037-GAR-pdf052.png	37. hal			pending manual source-image review			
37	JIB	Jibhi	51	44	2	cells/i037-JIB-pdf051.png	hạ:l			pending manual source-image review			
37	KUL	Kullu (District Headquarters)	52	45	2	cells/i037-KUL-pdf052.png	ha!			pending manual source-image review			
37	LOR	Loren / South Kullu Valley	48	41	3	cells/i037-LOR-pdf048.png	+]ar			pending manual source-image review			
37	MAN	Manali	50	43	1	cells/i037-MAN-pdf050.png	51. 'ho:			pending manual source-image review			
37	MAR	Maraur Village	50	43	3	cells/i037-MAR-pdf050.png	ha:l			pending manual source-image review			
37	MNK	Manikaran	53	46	1	cells/i037-MNK-pdf053.png	4			pending manual source-image review			
37	RAI	Raila Village	50	43	2	cells/i037-RAI-pdf050.png	hala			pending manual source-image review			
37	SHA	Shalwar Village	49	42	1	cells/i037-SHA-pdf049.png	ha:l			pending manual source-image review			
37	SHG	Shangarh	49	42	3	cells/i037-SHG-pdf049.png	hal?			pending manual source-image review			
37	SID	Sidua	51	44	1	cells/i037-SID-pdf051.png	IСИ			pending manual source-image review			
38	ANI	Ani	53	46	2	cells/i038-ANI-pdf053.png	beltso			pending manual source-image review			
38	BAT	Bathad	51	44	3	cells/i038-BAT-pdf051.png	beltja			pending manual source-image review			
38	BHU	Bhutti Village / Lag Valley	52	45	3	cells/i038-BHU-pdf052.png	beltfa			pending manual source-image review			
38	CHI	Chinninal Village	49	42	2	cells/i038-CHI-pdf049.png	be:lts.^			pending manual source-image review			
38	CHU	Churla / Lag Valley	48	41	2	cells/i038-CHU-pdf048.png	'beltf^			pending manual source-image review			
38	GAR	Garsah	52	45	1	cells/i038-GAR-pdf052.png	i 35. beltfn			pending manual source-image review			
38	JIB	Jibhi	51	44	2	cells/i038-JIB-pdf051.png	beltfn			pending manual source-image review			
38	KUL	Kullu (District Headquarters)	52	45	2	cells/i038-KUL-pdf052.png	he:ltshn			pending manual source-image review			
38	LOR	Loren / South Kullu Valley	48	41	3	cells/i038-LOR-pdf048.png	Eltsn			pending manual source-image review			
38	MAN	Manali	50	43	1	cells/i038-MAN-pdf050.png	38. 'bejutfa			pending manual source-image review			
38	MAR	Maraur Village	50	43	3	cells/i038-MAR-pdf050.png	bEltja			pending manual source-image review			
38	MNK	Manikaran	53	46	1	cells/i038-MNK-pdf053.png	bEltsa			pending manual source-image review			
38	RAI	Raila Village	50	43	2	cells/i038-RAI-pdf050.png	belts^			pending manual source-image review			
38	SHA	Shalwar Village	49	42	1	cells/i038-SHA-pdf049.png	beltfn			pending manual source-image review			
38	SHG	Shangarh	49	42	3	cells/i038-SHG-pdf049.png	beltfa			pending manual source-image review			
38	SID	Sidua	51	44	1	cells/i038-SID-pdf051.png	beltja			pending manual source-image review			
39	ANI	Ani	53	46	2	cells/i039-ANI-pdf053.png				pending manual source-image review			
39	BAT	Bathad	51	44	3	cells/i039-BAT-pdf051.png				pending manual source-image review			
39	BHU	Bhutti Village / Lag Valley	52	45	3	cells/i039-BHU-pdf052.png				pending manual source-image review			
39	CHI	Chinninal Village	49	42	2	cells/i039-CHI-pdf049.png				pending manual source-image review			
39	CHU	Churla / Lag Valley	48	41	2	cells/i039-CHU-pdf048.png				pending manual source-image review			
39	GAR	Garsah	52	45	1	cells/i039-GAR-pdf052.png	:39.			pending manual source-image review			
39	JIB	Jibhi	51	44	2	cells/i039-JIB-pdf051.png				pending manual source-image review			
39	KUL	Kullu (District Headquarters)	52	45	2	cells/i039-KUL-pdf052.png				pending manual source-image review			
39	LOR	Loren / South Kullu Valley	48	41	3	cells/i039-LOR-pdf048.png				pending manual source-image review			
39	MAN	Manali	50	43	1	cells/i039-MAN-pdf050.png	39.			pending manual source-image review			
39	MAR	Maraur Village	50	43	3	cells/i039-MAR-pdf050.png				pending manual source-image review			
39	MNK	Manikaran	53	46	1	cells/i039-MNK-pdf053.png				pending manual source-image review			
39	RAI	Raila Village	50	43	2	cells/i039-RAI-pdf050.png				pending manual source-image review			
39	SHA	Shalwar Village	49	42	1	cells/i039-SHA-pdf049.png	dhanu kubain			pending manual source-image review			
39	SHG	Shangarh	49	42	3	cells/i039-SHG-pdf049.png				pending manual source-image review			
39	SID	Sidua	51	44	1	cells/i039-SID-pdf051.png				pending manual source-image review			
40	ANI	Ani	53	46	2	cells/i040-ANI-pdf053.png				pending manual source-image review			
40	BAT	Bathad	51	44	3	cells/i040-BAT-pdf051.png				pending manual source-image review			
40	BHU	Bhutti Village / Lag Valley	52	45	3	cells/i040-BHU-pdf052.png				pending manual source-image review			
40	CHI	Chinninal Village	49	42	2	cells/i040-CHI-pdf049.png				pending manual source-image review			
40	CHU	Churla / Lag Valley	48	41	2	cells/i040-CHU-pdf048.png				pending manual source-image review			
40	GAR	Garsah	52	45	1	cells/i040-GAR-pdf052.png	40. -			pending manual source-image review			
40	JIB	Jibhi	51	44	2	cells/i040-JIB-pdf051.png				pending manual source-image review			
40	KUL	Kullu (District Headquarters)	52	45	2	cells/i040-KUL-pdf052.png				pending manual source-image review			
40	LOR	Loren / South Kullu Valley	48	41	3	cells/i040-LOR-pdf048.png				pending manual source-image review			
40	MAN	Manali	50	43	1	cells/i040-MAN-pdf050.png				pending manual source-image review			
40	MAR	Maraur Village	50	43	3	cells/i040-MAR-pdf050.png	-			pending manual source-image review			
40	MNK	Manikaran	53	46	1	cells/i040-MNK-pdf053.png				pending manual source-image review			
40	RAI	Raila Village	50	43	2	cells/i040-RAI-pdf050.png				pending manual source-image review			
40	SHA	Shalwar Village	49	42	1	cells/i040-SHA-pdf049.png	ti:			pending manual source-image review			
40	SHG	Shangarh	49	42	3	cells/i040-SHG-pdf049.png				pending manual source-image review			
40	SID	Sidua	51	44	1	cells/i040-SID-pdf051.png				pending manual source-image review			
41	ANI	Ani	53	46	2	cells/i041-ANI-pdf053.png	dahaslo			pending manual source-image review			
41	BAT	Bathad	51	44	3	cells/i041-BAT-pdf051.png	di(h)asda			pending manual source-image review			
41	BHU	Bhutti Village / Lag Valley	52	45	3	cells/i041-BHU-pdf052.png	dupha / scsdz:			pending manual source-image review			
41	CHI	Chinninal Village	49	42	2	cells/i041-CHI-pdf049.png	s0ckl)za			pending manual source-image review			
41	CHU	Churla / Lag Valley	48	41	2	cells/i041-CHU-pdf048.png	'dhiats			pending manual source-image review			
41	GAR	Garsah	52	45	1	cells/i041-GAR-pdf052.png	41c SOfZ			pending manual source-image review			
41	JIB	Jibhi	51	44	2	cells/i041-JIB-pdf051.png	diaro			pending manual source-image review			
41	KUL	Kullu (District Headquarters)	52	45	2	cells/i041-KUL-pdf052.png	sci câz			pending manual source-image review			
41	LOR	Loren / South Kullu Valley	48	41	3	cells/i041-LOR-pdf048.png	sacdz			pending manual source-image review			
41	MAN	Manali	50	43	1	cells/i041-MAN-pdf050.png	41. 'du:pa			pending manual source-image review			
41	MAR	Maraur Village	50	43	3	cells/i041-MAR-pdf050.png	sacaz			pending manual source-image review			
41	MNK	Manikaran	53	46	1	cells/i041-MNK-pdf053.png	SufLz			pending manual source-image review			
41	RAI	Raila Village	50	43	2	cells/i041-RAI-pdf050.png	Sufz			pending manual source-image review			
41	SHA	Shalwar Village	49	42	1	cells/i041-SHA-pdf049.png	asordz::			pending manual source-image review			
41	SHG	Shangarh	49	42	3	cells/i041-SHG-pdf049.png	sordz			pending manual source-image review			
41	SID	Sidua	51	44	1	cells/i041-SID-pdf051.png	diharda			pending manual source-image review			
42	ANI	Ani	53	46	2	cells/i042-ANI-pdf053.png	dzot			pending manual source-image review			
42	BAT	Bathad	51	44	3	cells/i042-BAT-pdf051.png	azoth...			pending manual source-image review			
42	BHU	Bhutti Village / Lag Valley	52	45	3	cells/i042-BHU-pdf052.png	dzuth			pending manual source-image review			
42	CHI	Chinninal Village	49	42	2	cells/i042-CHI-pdf049.png	zoth			pending manual source-image review			
42	CHU	Churla / Lag Valley	48	41	2	cells/i042-CHU-pdf048.png	-- ,7:0z			pending manual source-image review			
42	GAR	Garsah	52	45	1	cells/i042-GAR-pdf052.png	42 dzath			pending manual source-image review			
42	JIB	Jibhi	51	44	2	cells/i042-JIB-pdf051.png	z0:th			pending manual source-image review			
42	KUL	Kullu (District Headquarters)	52	45	2	cells/i042-KUL-pdf052.png	tsaind			pending manual source-image review			
42	LOR	Loren / South Kullu Valley	48	41	3	cells/i042-LOR-pdf048.png	zoț			pending manual source-image review			
42	MAN	Manali	50	43	1	cells/i042-MAN-pdf050.png	42. dzoth			pending manual source-image review			
42	MAR	Maraur Village	50	43	3	cells/i042-MAR-pdf050.png	a3otn			pending manual source-image review			
42	MNK	Manikaran	53	46	1	cells/i042-MNK-pdf053.png	zath			pending manual source-image review			
42	RAI	Raila Village	50	43	2	cells/i042-RAI-pdf050.png	(d) zoth			pending manual source-image review			
42	SHA	Shalwar Village	49	42	1	cells/i042-SHA-pdf049.png	dzwth			pending manual source-image review			
42	SHG	Shangarh	49	42	3	cells/i042-SHG-pdf049.png	dzath			pending manual source-image review			
42	SID	Sidua	51	44	1	cells/i042-SID-pdf051.png	dzoth			pending manual source-image review			
43	ANI	Ani	53	46	2	cells/i043-ANI-pdf053.png	besos			pending manual source-image review			
43	BAT	Bathad	51	44	3	cells/i043-BAT-pdf051.png	sarag			pending manual source-image review			
43	BHU	Bhutti Village / Lag Valley	52	45	3	cells/i043-BHU-pdf052.png	s1f°g			pending manual source-image review			
43	CHI	Chinninal Village	49	42	2	cells/i043-CHI-pdf049.png	ka:)/E			pending manual source-image review			
43	CHU	Churla / Lag Valley	48	41	2	cells/i043-CHU-pdf048.png	SAfg			pending manual source-image review			
43	GAR	Garsah	52	45	1	cells/i043-GAR-pdf052.png	43. $1fg			pending manual source-image review			
43	JIB	Jibhi	51	44	2	cells/i043-JIB-pdf051.png	3^I°g			pending manual source-image review			
43	KUL	Kullu (District Headquarters)	52	45	2	cells/i043-KUL-pdf052.png	thait sif'y.			pending manual source-image review			
43	LOR	Loren / South Kullu Valley	48	41	3	cells/i043-LOR-pdf048.png	s1fg°			pending manual source-image review			
43	MAN	Manali	50	43	1	cells/i043-MAN-pdf050.png	43. «brés			pending manual source-image review			
43	MAR	Maraur Village	50	43	3	cells/i043-MAR-pdf050.png	S^Ig			pending manual source-image review			
43	MNK	Manikaran	53	46	1	cells/i043-MNK-pdf053.png	"safag"""			pending manual source-image review			
43	RAI	Raila Village	50	43	2	cells/i043-RAI-pdf050.png	6Jvs			pending manual source-image review			
43	SHA	Shalwar Village	49	42	1	cells/i043-SHA-pdf049.png	S1fg			pending manual source-image review			
43	SHG	Shangarh	49	42	3	cells/i043-SHG-pdf049.png	Haith sarg			pending manual source-image review			
43	SID	Sidua	51	44	1	cells/i043-SID-pdf051.png	sarag			pending manual source-image review			
44	ANI	Ani	53	46	2	cells/i044-ANI-pdf053.png	*tseli			pending manual source-image review			
44	BAT	Bathad	51	44	3	cells/i044-BAT-pdf051.png	tsaith			pending manual source-image review			
44	BHU	Bhutti Village / Lag Valley	52	45	3	cells/i044-BHU-pdf052.png	tshaü			pending manual source-image review			
44	CHI	Chinninal Village	49	42	2	cells/i044-CHI-pdf049.png	ts^th			pending manual source-image review			
44	CHU	Churla / Lag Valley	48	41	2	cells/i044-CHU-pdf048.png	tshăü/tsh7]ã			pending manual source-image review			
44	GAR	Garsah	52	45	1	cells/i044-GAR-pdf052.png	44- tsaй			pending manual source-image review			
44	JIB	Jibhi	51	44	2	cells/i044-JIB-pdf051.png	tjar			pending manual source-image review			
44	KUL	Kullu (District Headquarters)	52	45	2	cells/i044-KUL-pdf052.png	ES, ha:й			pending manual source-image review			
44	LOR	Loren / South Kullu Valley	48	41	3	cells/i044-LOR-pdf048.png	tshãu			pending manual source-image review			
44	MAN	Manali	50	43	1	cells/i044-MAN-pdf050.png	44. Sili°			pending manual source-image review			
44	MAR	Maraur Village	50	43	3	cells/i044-MAR-pdf050.png				pending manual source-image review			
44	MNK	Manikaran	53	46	1	cells/i044-MNK-pdf053.png	sointh			pending manual source-image review			
44	RAI	Raila Village	50	43	2	cells/i044-RAI-pdf050.png	tfa'th			pending manual source-image review			
44	SHA	Shalwar Village	49	42	1	cells/i044-SHA-pdf049.png	tsrith			pending manual source-image review			
44	SHG	Shangarh	49	42	3	cells/i044-SHG-pdf049.png	pañi tfath			pending manual source-image review			
44	SID	Sidua	51	44	1	cells/i044-SID-pdf051.png	tjai			pending manual source-image review			
45	ANI	Ani	53	46	2	cells/i045-ANI-pdf053.png	pani			pending manual source-image review			
45	BAT	Bathad	51	44	3	cells/i045-BAT-pdf051.png	pan'			pending manual source-image review			
45	BHU	Bhutti Village / Lag Valley	52	45	3	cells/i045-BHU-pdf052.png	ga:)			pending manual source-image review			
45	CHI	Chinninal Village	49	42	2	cells/i045-CHI-pdf049.png				pending manual source-image review			
45	CHU	Churla / Lag Valley	48	41	2	cells/i045-CHU-pdf048.png	ga:)			pending manual source-image review			
45	GAR	Garsah	52	45	1	cells/i045-GAR-pdf052.png	45 ga:).			pending manual source-image review			
45	JIB	Jibhi	51	44	2	cells/i045-JIB-pdf051.png	pa:ni			pending manual source-image review			
45	KUL	Kullu (District Headquarters)	52	45	2	cells/i045-KUL-pdf052.png	ga:)			pending manual source-image review			
45	LOR	Loren / South Kullu Valley	48	41	3	cells/i045-LOR-pdf048.png	ga:S			pending manual source-image review			
45	MAN	Manali	50	43	1	cells/i045-MAN-pdf050.png	45. ghaf.			pending manual source-image review			
45	MAR	Maraur Village	50	43	3	cells/i045-MAR-pdf050.png	pan'			pending manual source-image review			
45	MNK	Manikaran	53	46	1	cells/i045-MNK-pdf053.png	gaf			pending manual source-image review			
45	RAI	Raila Village	50	43	2	cells/i045-RAI-pdf050.png	pa:ni/g^)			pending manual source-image review			
45	SHA	Shalwar Village	49	42	1	cells/i045-SHA-pdf049.png	paiňi aoun			pending manual source-image review			
45	SHG	Shangarh	49	42	3	cells/i045-SHG-pdf049.png	pañi			pending manual source-image review			
45	SID	Sidua	51	44	1	cells/i045-SID-pdf051.png	pani			pending manual source-image review			
46	ANI	Ani	53	46	2	cells/i046-ANI-pdf053.png	pani			pending manual source-image review			
46	BAT	Bathad	51	44	3	cells/i046-BAT-pdf051.png	pani			pending manual source-image review			
46	BHU	Bhutti Village / Lag Valley	52	45	3	cells/i046-BHU-pdf052.png	pani			pending manual source-image review			
46	CHI	Chinninal Village	49	42	2	cells/i046-CHI-pdf049.png	pa:ni			pending manual source-image review			
46	CHU	Churla / Lag Valley	48	41	2	cells/i046-CHU-pdf048.png	pañi			pending manual source-image review			
46	GAR	Garsah	52	45	1	cells/i046-GAR-pdf052.png	46. pani			pending manual source-image review			
46	JIB	Jibhi	51	44	2	cells/i046-JIB-pdf051.png	pa:ni			pending manual source-image review			
46	KUL	Kullu (District Headquarters)	52	45	2	cells/i046-KUL-pdf052.png	pa:n'			pending manual source-image review			
46	LOR	Loren / South Kullu Valley	48	41	3	cells/i046-LOR-pdf048.png	pa:ni			pending manual source-image review			
46	MAN	Manali	50	43	1	cells/i046-MAN-pdf050.png	46. 'pani			pending manual source-image review			
46	MAR	Maraur Village	50	43	3	cells/i046-MAR-pdf050.png	pan'			pending manual source-image review			
46	MNK	Manikaran	53	46	1	cells/i046-MNK-pdf053.png	pani			pending manual source-image review			
46	RAI	Raila Village	50	43	2	cells/i046-RAI-pdf050.png	pa:ni			pending manual source-image review			
46	SHA	Shalwar Village	49	42	1	cells/i046-SHA-pdf049.png	pa:ni			pending manual source-image review			
46	SHG	Shangarh	49	42	3	cells/i046-SHG-pdf049.png	pañi			pending manual source-image review			
46	SID	Sidua	51	44	1	cells/i046-SID-pdf051.png	pani			pending manual source-image review			
47	ANI	Ani	53	46	2	cells/i047-ANI-pdf053.png	оrеsеp			pending manual source-image review			
47	BAT	Bathad	51	44	3	cells/i047-BAT-pdf051.png	no'e.			pending manual source-image review			
47	BHU	Bhutti Village / Lag Valley	52	45	3	cells/i047-BHU-pdf052.png				pending manual source-image review			
47	CHI	Chinninal Village	49	42	2	cells/i047-CHI-pdf049.png	:au			pending manual source-image review			
47	CHU	Churla / Lag Valley	48	41	2	cells/i047-CHU-pdf048.png	no:i (~)			pending manual source-image review			
47	GAR	Garsah	52	45	1	cells/i047-GAR-pdf052.png	41 na:			pending manual source-image review			
47	JIB	Jibhi	51	44	2	cells/i047-JIB-pdf051.png	oga:d			pending manual source-image review			
47	KUL	Kullu (District Headquarters)	52	45	2	cells/i047-KUL-pdf052.png				pending manual source-image review			
47	LOR	Loren / South Kullu Valley	48	41	3	cells/i047-LOR-pdf048.png	nõi			pending manual source-image review			
47	MAN	Manali	50	43	1	cells/i047-MAN-pdf050.png	47. 'noh			pending manual source-image review			
47	MAR	Maraur Village	50	43	3	cells/i047-MAR-pdf050.png	1lt/1t			pending manual source-image review			
47	MNK	Manikaran	53	46	1	cells/i047-MNK-pdf053.png				pending manual source-image review			
47	RAI	Raila Village	50	43	2	cells/i047-RAI-pdf050.png	no			pending manual source-image review			
47	SHA	Shalwar Village	49	42	1	cells/i047-SHA-pdf049.png	nat			pending manual source-image review			
47	SHG	Shangarh	49	42	3	cells/i047-SHG-pdf049.png				pending manual source-image review			
47	SID	Sidua	51	44	1	cells/i047-SID-pdf051.png	no'e			pending manual source-image review			
48	ANI	Ani	53	46	2	cells/i048-ANI-pdf053.png	khet			pending manual source-image review			
48	BAT	Bathad	51	44	3	cells/i048-BAT-pdf051.png	ketj b. ropa ketj			pending manual source-image review			
48	BHU	Bhutti Village / Lag Valley	52	45	3	cells/i048-BHU-pdf052.png	473(7			pending manual source-image review			
48	CHI	Chinninal Village	49	42	2	cells/i048-CHI-pdf049.png	kheth			pending manual source-image review			
48	CHU	Churla / Lag Valley	48	41	2	cells/i048-CHU-pdf048.png	"tfhe: t"""			pending manual source-image review			
48	GAR	Garsah	52	45	1	cells/i048-GAR-pdf052.png	48. tjet /supa			pending manual source-image review			
48	JIB	Jibhi	51	44	2	cells/i048-JIB-pdf051.png	Kheits			pending manual source-image review			
48	KUL	Kullu (District Headquarters)	52	45	2	cells/i048-KUL-pdf052.png	tle th /cupa			pending manual source-image review			
48	LOR	Loren / South Kullu Valley	48	41	3	cells/i048-LOR-pdf048.png	3			pending manual source-image review			
48	MAN	Manali	50	43	1	cells/i048-MAN-pdf050.png	eth			pending manual source-image review			
48	MAR	Maraur Village	50	43	3	cells/i048-MAR-pdf050.png	khet/e			pending manual source-image review			
48	MNK	Manikaran	53	46	1	cells/i048-MNK-pdf053.png	tfe tha			pending manual source-image review			
48	RAI	Raila Village	50	43	2	cells/i048-RAI-pdf050.png	vet: eoSum/sopA tjE: t			pending manual source-image review			
48	SHA	Shalwar Village	49	42	1	cells/i048-SHA-pdf049.png	t)eth			pending manual source-image review			
48	SHG	Shangarh	49	42	3	cells/i048-SHG-pdf049.png	t)E:t / sup1			pending manual source-image review			
48	SID	Sidua	51	44	1	cells/i048-SID-pdf051.png	b. Jawra ketha mod			pending manual source-image review			
49	ANI	Ani	60	53	2	cells/i049-ANI-pdf060.png	bal			pending manual source-image review			
49	BAT	Bathad	58	51	3	cells/i049-BAT-pdf058.png	medon.			pending manual source-image review			
49	BHU	Bhutti Village / Lag Valley	59	52	3	cells/i049-BHU-pdf059.png	padsi dzrogs			pending manual source-image review			
49	CHI	Chinninal Village	56	49	2	cells/i049-CHI-pdf056.png	sõwa:			pending manual source-image review			
49	CHU	Churla / Lag Valley	55	48	2	cells/i049-CHU-pdf055.png	padridz'mi:n			pending manual source-image review			
49	GAR	Garsah	59	52	1	cells/i049-GAR-pdf059.png	pados			pending manual source-image review			
49	JIB	Jibhi	58	51	2	cells/i049-JIB-pdf058.png	ta: tf			pending manual source-image review			
49	KUL	Kullu (District Headquarters)	59	52	2	cells/i049-KUL-pdf059.png	71-02pela			pending manual source-image review			
49	LOR	Loren / South Kullu Valley	55	48	3	cells/i049-LOR-pdf055.png	podosn			pending manual source-image review			
49	MAN	Manali	57	50	1	cells/i049-MAN-pdf057.png	"49. ts(h)ab"""			pending manual source-image review			
49	MAR	Maraur Village	57	50	3	cells/i049-MAR-pdf057.png	saua			pending manual source-image review			
49	MNK	Manikaran	60	53	1	cells/i049-MNK-pdf060.png	paqara			pending manual source-image review			
49	RAI	Raila Village	57	50	2	cells/i049-RAI-pdf057.png	"sñ""ã/ madan"			pending manual source-image review			
49	SHA	Shalwar Village	56	49	1	cells/i049-SHA-pdf056.png	Vle7oyp/es			pending manual source-image review			
49	SHG	Shangarh	56	49	3	cells/i049-SHG-pdf056.png	élaiož/iés/			pending manual source-image review			
49	SID	Sidua	58	51	1	cells/i049-SID-pdf058.png	исрот			pending manual source-image review			
50	ANI	Ani	60	53	2	cells/i050-ANI-pdf060.png	dek			pending manual source-image review			
50	BAT	Bathad	58	51	3	cells/i050-BAT-pdf058.png	dzot :			pending manual source-image review			
50	BHU	Bhutti Village / Lag Valley	59	52	3	cells/i050-BHU-pdf059.png	dzo:th			pending manual source-image review			
50	CHI	Chinninal Village	56	49	2	cells/i050-CHI-pdf056.png	pha:l			pending manual source-image review			
50	CHU	Churla / Lag Valley	55	48	2	cells/i050-CHU-pdf055.png	баур			pending manual source-image review			
50	GAR	Garsah	59	52	1	cells/i050-GAR-pdf059.png	S0. dhaig			pending manual source-image review			
50	JIB	Jibhi	58	51	2	cells/i050-JIB-pdf058.png	47:cz			pending manual source-image review			
50	KUL	Kullu (District Headquarters)	59	52	2	cells/i050-KUL-pdf059.png	pa:cf			pending manual source-image review			
50	LOR	Loren / South Kullu Valley	55	48	3	cells/i050-LOR-pdf055.png	LDg			pending manual source-image review			
50	MAN	Manali	57	50	1	cells/i050-MAN-pdf057.png	So. dzoth			pending manual source-image review			
50	MAR	Maraur Village	57	50	3	cells/i050-MAR-pdf057.png	thang			pending manual source-image review			
50	MNK	Manikaran	60	53	1	cells/i050-MNK-pdf060.png	sbuefa			pending manual source-image review			
50	RAI	Raila Village	57	50	2	cells/i050-RAI-pdf057.png	zp:th			pending manual source-image review			
50	SHA	Shalwar Village	56	49	1	cells/i050-SHA-pdf056.png	20:th/zot°lu			pending manual source-image review			
50	SHG	Shangarh	56	49	3	cells/i050-SHG-pdf056.png	azoth			pending manual source-image review			
50	SID	Sidua	58	51	1	cells/i050-SID-pdf058.png	beyp			pending manual source-image review			
51	ANI	Ani	60	53	2	cells/i051-ANI-pdf060.png	7cy9			pending manual source-image review			
51	BAT	Bathad	58	51	3	cells/i051-BAT-pdf058.png	bath			pending manual source-image review			
51	BHU	Bhutti Village / Lag Valley	59	52	3	cells/i051-BHU-pdf059.png	уlоб			pending manual source-image review			
51	CHI	Chinninal Village	56	49	2	cells/i051-CHI-pdf056.png	sAsta/gosora			pending manual source-image review			
51	CHU	Churla / Lag Valley	55	48	2	cells/i051-CHU-pdf055.png	trngösnsts			pending manual source-image review			
51	GAR	Garsah	59	52	1	cells/i051-GAR-pdf059.png	57. ba: th			pending manual source-image review			
51	JIB	Jibhi	58	51	2	cells/i051-JIB-pdf058.png	bath			pending manual source-image review			
51	KUL	Kullu (District Headquarters)	59	52	2	cells/i051-KUL-pdf059.png	fastr/both			pending manual source-image review			
51	LOR	Loren / South Kullu Valley	55	48	3	cells/i051-LOR-pdf055.png	both/goro			pending manual source-image review			
51	MAN	Manali	57	50	1	cells/i051-MAN-pdf057.png	"51. ""botho"			pending manual source-image review			
51	MAR	Maraur Village	57	50	3	cells/i051-MAR-pdf057.png	ba:th			pending manual source-image review			
51	MNK	Manikaran	60	53	1	cells/i051-MNK-pdf060.png	bath			pending manual source-image review			
51	RAI	Raila Village	57	50	2	cells/i051-RAI-pdf057.png	ba:th			pending manual source-image review			
51	SHA	Shalwar Village	56	49	1	cells/i051-SHA-pdf056.png	hutsi ba:tn			pending manual source-image review			
51	SHG	Shangarh	56	49	3	cells/i051-SHG-pdf056.png	ba:th			pending manual source-image review			
51	SID	Sidua	58	51	1	cells/i051-SID-pdf058.png	bath			pending manual source-image review			
52	ANI	Ani	60	53	2	cells/i052-ANI-pdf060.png	bhaguse			pending manual source-image review			
52	BAT	Bathad	58	51	3	cells/i052-BAT-pdf058.png	bfagar			pending manual source-image review			
52	BHU	Bhutti Village / Lag Valley	59	52	3	cells/i052-BHU-pdf059.png	'Jebrqa			pending manual source-image review			
52	CHI	Chinninal Village	56	49	2	cells/i052-CHI-pdf056.png	bagal°			pending manual source-image review			
52	CHU	Churla / Lag Valley	55	48	2	cells/i052-CHU-pdf055.png	"'tE:z""brg°s()"			pending manual source-image review			
52	GAR	Garsah	59	52	1	cells/i052-GAR-pdf059.png	52. bag's			pending manual source-image review			
52	JIB	Jibhi	58	51	2	cells/i052-JIB-pdf058.png	bugas			pending manual source-image review			
52	KUL	Kullu (District Headquarters)	59	52	2	cells/i052-KUL-pdf059.png	bng'f			pending manual source-image review			
52	LOR	Loren / South Kullu Valley	55	48	3	cells/i052-LOR-pdf055.png	bng's°			pending manual source-image review			
52	MAN	Manali	57	50	1	cells/i052-MAN-pdf057.png	52. 'bagar			pending manual source-image review			
52	MAR	Maraur Village	57	50	3	cells/i052-MAR-pdf057.png	"bag""I"			pending manual source-image review			
52	MNK	Manikaran	60	53	1	cells/i052-MNK-pdf060.png	bhagar			pending manual source-image review			
52	RAI	Raila Village	57	50	2	cells/i052-RAI-pdf057.png	Je6va			pending manual source-image review			
52	SHA	Shalwar Village	56	49	1	cells/i052-SHA-pdf056.png	bagof			pending manual source-image review			
52	SHG	Shangarh	56	49	3	cells/i052-SHG-pdf056.png	bngaf			pending manual source-image review			
52	SID	Sidua	58	51	1	cells/i052-SID-pdf058.png	bhagen			pending manual source-image review			
53	ANI	Ani	60	53	2	cells/i053-ANI-pdf060.png	бс			pending manual source-image review			
53	BAT	Bathad	58	51	3	cells/i053-BAT-pdf058.png	agh			pending manual source-image review			
53	BHU	Bhutti Village / Lag Valley	59	52	3	cells/i053-BHU-pdf059.png	1g			pending manual source-image review			
53	CHI	Chinninal Village	56	49	2	cells/i053-CHI-pdf056.png				pending manual source-image review			
53	CHU	Churla / Lag Valley	55	48	2	cells/i053-CHU-pdf055.png	D 6			pending manual source-image review			
53	GAR	Garsah	59	52	1	cells/i053-GAR-pdf059.png				pending manual source-image review			
53	JIB	Jibhi	58	51	2	cells/i053-JIB-pdf058.png	ag			pending manual source-image review			
53	KUL	Kullu (District Headquarters)	59	52	2	cells/i053-KUL-pdf059.png	6.a Ба			pending manual source-image review			
53	LOR	Loren / South Kullu Valley	55	48	3	cells/i053-LOR-pdf055.png	ag			pending manual source-image review			
53	MAN	Manali	57	50	1	cells/i053-MAN-pdf057.png	53. • 6c			pending manual source-image review			
53	MAR	Maraur Village	57	50	3	cells/i053-MAR-pdf057.png	a: y			pending manual source-image review			
53	MNK	Manikaran	60	53	1	cells/i053-MNK-pdf060.png	st=snit e			pending manual source-image review			
53	RAI	Raila Village	57	50	2	cells/i053-RAI-pdf057.png	a: 9			pending manual source-image review			
53	SHA	Shalwar Village	56	49	1	cells/i053-SHA-pdf056.png	Gin			pending manual source-image review			
53	SHG	Shangarh	56	49	3	cells/i053-SHG-pdf056.png	6:0.			pending manual source-image review			
