Item	Gloss	Bhumij_Site_Code	Ho2024_Site_Code	Locality	Elicitation_Date	Durable_List_ID	Durable_Cell_ID	Bhumij_2015_Status	Bhumij_2015_Forms	Bhumij_2015_Cognate_Labels	Bhumij_2015_Citation	Ho_2024_Status	Ho_2024_Transcription	Ho_2024_Citation	Status_Parity	Representation_Comparison	Canonical_Publication	Disposition
68	banana	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i068	attested	kɑd̪ɑl	1	baileymaggard2015bhumij[Appendix B.3, printed p. 42, item 68, list CHA]	attested	kaɖal	varenkamp2024ho[Appendix D.3, printed p. 85, item 68, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
69	wheat	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i069	attested	gʌhʌm	1	baileymaggard2015bhumij[Appendix B.3, printed p. 42, item 69, list CHA]	attested	gʌhʌm	varenkamp2024ho[Appendix D.3, printed p. 85, item 69, list BGH]	yes	unicode-exact-after-label-removal	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
70	millet	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i070	attested	gʌŋgɑi	1	baileymaggard2015bhumij[Appendix B.3, printed p. 42, item 70, list CHA]	attested	gaŋgai	varenkamp2024ho[Appendix D.3, printed p. 86, item 70, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
71	rice	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i071	attested	tʃʌuli	1	baileymaggard2015bhumij[Appendix B.3, printed p. 42, item 71, list CHA]	attested	tʃauli	varenkamp2024ho[Appendix D.3, printed p. 86, item 71, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
72	potato	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i072	attested	ɑlu	1	baileymaggard2015bhumij[Appendix B.3, printed p. 43, item 72, list CHA]	attested	alu	varenkamp2024ho[Appendix D.3, printed p. 86, item 72, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
73	eggplant	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i073	attested	biŋgɑd	1	baileymaggard2015bhumij[Appendix B.3, printed p. 43, item 73, list CHA]	attested	biŋgaɖ	varenkamp2024ho[Appendix D.3, printed p. 87, item 73, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
74	groundnut	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i074	attested	bʌɖɑm	1	baileymaggard2015bhumij[Appendix B.3, printed p. 43, item 74, list CHA]	attested	bʌɖam	varenkamp2024ho[Appendix D.3, printed p. 87, item 74, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
75	chili	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i075	attested	muɾtʃi	1	baileymaggard2015bhumij[Appendix B.3, printed p. 43, item 75, list CHA]	attested	murtʃi	varenkamp2024ho[Appendix D.3, printed p. 87, item 75, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
76	turmeric	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i076	attested	sʌsɑŋ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 43, item 76, list CHA]	attested	sʌsaŋ	varenkamp2024ho[Appendix D.3, printed p. 88, item 76, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
77	garlic	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i077	attested	ɾɑsuɳi	1	baileymaggard2015bhumij[Appendix B.3, printed p. 44, item 77, list CHA]	attested	rasuŋi	varenkamp2024ho[Appendix D.3, printed p. 88, item 77, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
78	onion	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i078	attested	piɑdʒi	1	baileymaggard2015bhumij[Appendix B.3, printed p. 44, item 78, list CHA]	attested	piadʒi	varenkamp2024ho[Appendix D.3, printed p. 88, item 78, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
79	cauliflower	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i079	attested	bɑhɑ kobi	1	baileymaggard2015bhumij[Appendix B.3, printed p. 44, item 79, list CHA]	attested	baha kobi	varenkamp2024ho[Appendix D.3, printed p. 89, item 79, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
80	tomato	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i080	attested	bilɑʈi	1	baileymaggard2015bhumij[Appendix B.3, printed p. 44, item 80, list CHA]	attested	bilaṯi	varenkamp2024ho[Appendix D.3, printed p. 89, item 80, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
81	cabbage	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i081	attested	potʌm kopi	1	baileymaggard2015bhumij[Appendix B.3, printed p. 44, item 81, list CHA]	attested	potʌm kopi	varenkamp2024ho[Appendix D.3, printed p. 89, item 81, list BGH]	yes	unicode-exact-after-label-removal	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
82	oil	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i082	attested	sunum	1	baileymaggard2015bhumij[Appendix B.3, printed p. 45, item 82, list CHA]	attested	sunum	varenkamp2024ho[Appendix D.3, printed p. 90, item 82, list BGH]	yes	unicode-exact-after-label-removal	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
83	salt	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i083	attested	buluŋ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 45, item 83, list CHA]	attested	buluŋ	varenkamp2024ho[Appendix D.3, printed p. 90, item 83, list BGH]	yes	unicode-exact-after-label-removal	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
84	meat	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i084	attested	dʒilu	1	baileymaggard2015bhumij[Appendix B.3, printed p. 45, item 84, list CHA]	attested	dʒilu	varenkamp2024ho[Appendix D.3, printed p. 90, item 84, list BGH]	yes	unicode-exact-after-label-removal	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
85	fat	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i085	attested	iʈil	1	baileymaggard2015bhumij[Appendix B.3, printed p. 45, item 85, list CHA]	attested	iṯil	varenkamp2024ho[Appendix D.3, printed p. 91, item 85, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
86	fish	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i086	attested	hai	1	baileymaggard2015bhumij[Appendix B.3, printed p. 45, item 86, list CHA]	attested	hai	varenkamp2024ho[Appendix D.3, printed p. 91, item 86, list BGH]	yes	unicode-exact-after-label-removal	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
87	chicken	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i087	attested	sim	1	baileymaggard2015bhumij[Appendix B.3, printed p. 46, item 87, list CHA]	attested	sim	varenkamp2024ho[Appendix D.3, printed p. 91, item 87, list BGH]	yes	unicode-exact-after-label-removal	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
88	egg	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i088	attested	pedʌo	5	baileymaggard2015bhumij[Appendix B.3, printed p. 46, item 88, list CHA]	attested	peɖʌo	varenkamp2024ho[Appendix D.3, printed p. 92, item 88, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
89	cow	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i089	attested	gʌi	1	baileymaggard2015bhumij[Appendix B.3, printed p. 46, item 89, list CHA]	attested	gʌi	varenkamp2024ho[Appendix D.3, printed p. 92, item 89, list BGH]	yes	unicode-exact-after-label-removal	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
90	water buffalo	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i090	attested	kiɖɑ | mɔ̃s	1 | 2	baileymaggard2015bhumij[Appendix B.3, printed p. 46, item 90, list CHA]	attested	kiɖa, mõs	varenkamp2024ho[Appendix D.3, printed p. 92, item 90, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
91	milk	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i091	attested	ʈuwɑ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 46, item 91, list CHA]	attested	ṯuwa	varenkamp2024ho[Appendix D.3, printed p. 93, item 91, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
92	horns	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i092	attested	ɖiriŋ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 47, item 92, list CHA]	attested	ḏiriŋ	varenkamp2024ho[Appendix D.3, printed p. 93, item 92, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
93	tail	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i093	attested	tʃʌʔtlʌm	1	baileymaggard2015bhumij[Appendix B.3, printed p. 47, item 93, list CHA]	attested	tʃʌ?tlʌm	varenkamp2024ho[Appendix D.3, printed p. 93, item 93, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
94	goat	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i094	attested	meɾʌm	1	baileymaggard2015bhumij[Appendix B.3, printed p. 47, item 94, list CHA]	attested	merʌm	varenkamp2024ho[Appendix D.3, printed p. 94, item 94, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
95	dog	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i095	attested	seʈɑ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 47, item 95, list CHA]	attested	seṯa	varenkamp2024ho[Appendix D.3, printed p. 94, item 95, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
96	snake	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i096	attested	biŋ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 47, item 96, list CHA]	attested	biŋ	varenkamp2024ho[Appendix D.3, printed p. 94, item 96, list BGH]	yes	unicode-exact-after-label-removal	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
97	monkey	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i097	attested	gɑɖi	1	baileymaggard2015bhumij[Appendix B.3, printed p. 48, item 97, list CHA]	attested	gaɖi	varenkamp2024ho[Appendix D.3, printed p. 95, item 97, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
98	mosquito	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i098	attested	luʈi	2	baileymaggard2015bhumij[Appendix B.3, printed p. 48, item 98, list CHA]	attested	luti	varenkamp2024ho[Appendix D.3, printed p. 95, item 98, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
99	ant	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i099	attested	muːi	1	baileymaggard2015bhumij[Appendix B.3, printed p. 48, item 99, list CHA]	attested	mu·i	varenkamp2024ho[Appendix D.3, printed p. 95, item 99, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
100	spider	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i100	attested	ʈʌɳʈulɑ	2	baileymaggard2015bhumij[Appendix B.3, printed p. 48, item 100, list CHA]	attested	ṯʌnṯula	varenkamp2024ho[Appendix D.3, printed p. 96, item 100, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
101	name	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i101	attested	numu	2	baileymaggard2015bhumij[Appendix B.3, printed p. 48, item 101, list CHA]	attested	numu	varenkamp2024ho[Appendix D.3, printed p. 96, item 101, list BGH]	yes	unicode-exact-after-label-removal	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
102	man	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i102	attested	hoɖo	1	baileymaggard2015bhumij[Appendix B.3, printed p. 49, item 102, list CHA]	attested	hoɖo	varenkamp2024ho[Appendix D.3, printed p. 96, item 102, list BGH]	yes	unicode-exact-after-label-removal	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
103	woman	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i103	attested	iɾɑ	2	baileymaggard2015bhumij[Appendix B.3, printed p. 49, item 103, list CHA]	attested	ira	varenkamp2024ho[Appendix D.3, printed p. 97, item 103, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
104	child	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i104	attested	hone	1	baileymaggard2015bhumij[Appendix B.3, printed p. 49, item 104, list CHA]	attested	hone	varenkamp2024ho[Appendix D.3, printed p. 97, item 104, list BGH]	yes	unicode-exact-after-label-removal	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
105	father	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i105	attested	bɑbu	1	baileymaggard2015bhumij[Appendix B.3, printed p. 49, item 105, list CHA]	attested	babu	varenkamp2024ho[Appendix D.3, printed p. 97, item 105, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
106	mother	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i106	attested	mɑɳ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 49, item 106, list CHA]	attested	maŋ	varenkamp2024ho[Appendix D.3, printed p. 98, item 106, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
107	older brother	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i107	attested	ɖɑɖɑ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 50, item 107, list CHA]	attested	ɖaɖa	varenkamp2024ho[Appendix D.3, printed p. 98, item 107, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
108	younger brother	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i108	attested	hon hʌgɑ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 50, item 108, list CHA]	attested	hon haga	varenkamp2024ho[Appendix D.3, printed p. 98, item 108, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
109	older sister	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i109	attested	ɖiɖi	3	baileymaggard2015bhumij[Appendix B.3, printed p. 50, item 109, list CHA]	attested	ɖiɖi	varenkamp2024ho[Appendix D.3, printed p. 99, item 109, list BGH]	yes	unicode-exact-after-label-removal	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
110	younger sister	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i110	attested	hon misi	1	baileymaggard2015bhumij[Appendix B.3, printed p. 50, item 110, list CHA]	attested	hon misi	varenkamp2024ho[Appendix D.3, printed p. 99, item 110, list BGH]	yes	unicode-exact-after-label-removal	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
111	son	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i111	attested	hon heɾel	1	baileymaggard2015bhumij[Appendix B.3, printed p. 50, item 111, list CHA]	attested	hon herel	varenkamp2024ho[Appendix D.3, printed p. 99, item 111, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
112	daughter	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i112	attested	hon eɾɑ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 51, item 112, list CHA]	attested	hon era	varenkamp2024ho[Appendix D.3, printed p. 100, item 112, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
113	husband	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i113	attested	koɖɑ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 51, item 113, list CHA]	attested	koɖa	varenkamp2024ho[Appendix D.3, printed p. 100, item 113, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
114	wife	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i114	attested	iɾɑ	3	baileymaggard2015bhumij[Appendix B.3, printed p. 51, item 114, list CHA]	attested	ira	varenkamp2024ho[Appendix D.3, printed p. 100, item 114, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
115	boy	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i115	attested	koɖɑ hone	1	baileymaggard2015bhumij[Appendix B.3, printed p. 51, item 115, list CHA]	attested	koɖa hone	varenkamp2024ho[Appendix D.3, printed p. 101, item 115, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
116	girl	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i116	attested	kuɖi hone	1	baileymaggard2015bhumij[Appendix B.3, printed p. 51, item 116, list CHA]	attested	kuɖi hone	varenkamp2024ho[Appendix D.3, printed p. 101, item 116, list BGH]	yes	unicode-exact-after-label-removal	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
117	day	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i117	attested	siŋgi	1	baileymaggard2015bhumij[Appendix B.3, printed p. 52, item 117, list CHA]	attested	siŋgi	varenkamp2024ho[Appendix D.3, printed p. 101, item 117, list BGH]	yes	unicode-exact-after-label-removal	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
118	night	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i118	attested	niɖɑ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 52, item 118, list CHA]	attested	niɖa	varenkamp2024ho[Appendix D.3, printed p. 102, item 118, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
119	morning	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i119	attested	siʈɑʔ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 52, item 119, list CHA]	attested	siṯaʔ	varenkamp2024ho[Appendix D.3, printed p. 102, item 119, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
120	noon	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i120	attested	dɦupʌɾ	2	baileymaggard2015bhumij[Appendix B.3, printed p. 52, item 120, list CHA]	attested	dʰupar	varenkamp2024ho[Appendix D.3, printed p. 102, item 120, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
121	evening/afternoon	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i121	attested	siŋgʌd	3	baileymaggard2015bhumij[Appendix B.3, printed p. 52, item 121, list CHA]	attested	siŋad	varenkamp2024ho[Appendix D.3, printed p. 103, item 121, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
122	yesterday	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i122	attested	holɑ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 53, item 122, list CHA]	attested	hola	varenkamp2024ho[Appendix D.3, printed p. 103, item 122, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
123	today	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i123	attested	t̪isiŋ | t̪isiŋ	1 | 2	baileymaggard2015bhumij[Appendix B.3, printed p. 53, item 123, list CHA]	attested	ṯisiŋ	varenkamp2024ho[Appendix D.3, printed p. 103, item 123, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
124	tomorrow	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i124	attested	gʌpɑ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 53, item 124, list CHA]	attested	gʌpa	varenkamp2024ho[Appendix D.3, printed p. 104, item 124, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
125	week	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i125	attested	hʌpt̪ɑ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 53, item 125, list CHA]	attested	hapṯa	varenkamp2024ho[Appendix D.3, printed p. 104, item 125, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
126	month	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i126	attested	tʃʌndup	1	baileymaggard2015bhumij[Appendix B.3, printed p. 53, item 126, list CHA]	attested	tʃʌndup	varenkamp2024ho[Appendix D.3, printed p. 104, item 126, list BGH]	yes	unicode-exact-after-label-removal	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
127	year	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i127	attested	siɾmɑ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 54, item 127, list CHA]	attested	sirma	varenkamp2024ho[Appendix D.3, printed p. 105, item 127, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
128	old	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i128	attested	puɾnɑ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 54, item 128, list CHA]	attested	purna	varenkamp2024ho[Appendix D.3, printed p. 105, item 128, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
129	new	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i129	attested	nɑmɑ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 54, item 129, list CHA]	attested	nama	varenkamp2024ho[Appendix D.3, printed p. 105, item 129, list BGH]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
130	good	CHA	BGH	Champi, Ghatsila, Singhbhum	1989-04-17	bhumij1989-champi	bhumij1989-champi-i130	attested	bes	1	baileymaggard2015bhumij[Appendix B.3, printed p. 54, item 130, list CHA]	attested	bes	varenkamp2024ho[Appendix D.3, printed p. 106, item 130, list BGH]	yes	unicode-exact-after-label-removal	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
