Item	Gloss	Noira_Site	Dhule_Site	Noira_PDF_Page	Dhule_PDF_Page	Noira_Manual_Transcription	Dhule_Manual_Transcription	Comparison	Disposition
70	millet	NAS	AST	48	105	zuwar	1 dzuwar	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
70	millet	BMU	MUN	48	105	dʒuwar	1 dzuwar	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
70	millet	NTO	TOR	48	105	dzuwar	1 dzuwar	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
71	rice	NAS	AST	48	105	moria	2 moria	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
71	rice	BMU	MUN	48	105	moria	2 morio	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
71	rice	NTO	TOR	48	105	tʃokha	1 tʃoha	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
72	potato	NAS	AST	48	105	bʌʈʌʈo	1 bʌt̪at̪o	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
72	potato	BMU	MUN	48	105	bʌʈʌʈo	1 bʌt̪at̪o	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
72	potato	NTO	TOR	48	105	alu	2 alu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
73	eggplant	NAS	AST	48	105	riŋgaɳe | wenge	1 weŋge	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
73	eggplant	BMU	MUN	48	105	riŋʌɳo	2 riŋʌɳo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
73	eggplant	NTO	TOR	48	105	riŋgʌɳʌ	2 riŋgʌɳʌ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
74	groundnut	NAS	AST	48	105	mũge	2 mũge	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
74	groundnut	BMU	MUN	48	105	mũge	2 muŋe	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
74	groundnut	NTO	TOR	48	105	buimun-gjanɖana	4 hui-muŋgjan-(laŋa	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
75	chili	NAS	AST	49	106	miriçɔ | mirtse	1 mirtse	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
75	chili	BMU	MUN	49	106	mirʃu	1 mirʃu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
75	chili	NTO	TOR	49	106	mirtʃo	1 mirtʃõ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
76	turmeric	NAS	AST	49	106	elɖʌ | elɖʌ	1 elɖʌ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
76	turmeric	BMU	MUN	49	106	elɖo | elɖo	1 elɖo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
76	turmeric	NTO	TOR	49	106	eɭiɖ	2 eliɖ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
77	garlic	NAS	AST	49	106	nohoɳo	2 nohoɳo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
77	garlic	BMU	MUN	49	106	nohoɳɔ	2 lohoɳo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
77	garlic	NTO	TOR	49	106	ɭeheɳ	2 leheɳ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
78	onion	NAS	AST	49	106	kanɖu	1 kaɳɖo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
78	onion	BMU	MUN	49	106	kanɖu | kanɖa	1 kaɳɖu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
78	onion	NTO	TOR	49	106	kanɖa	1 kaɳɖa	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
79	cauliflower	NAS	AST	49	106	gobi	1 gobi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
79	cauliflower	BMU	MUN	49	106	gobi	1 gobi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
79	cauliflower	NTO	TOR	50	106	gobi	1 gobi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
80	tomato	NAS	AST	50	107	duʔune	2 duʔune	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
80	tomato	BMU	MUN	50	107	ʈʌmaʈʌr | duʔule	2 duʔule	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
80	tomato	NTO	TOR	50	107	irariŋʌɳo	3 ira-riŋʌɳo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
81	cabbage	NAS	AST	50	107	gobi	1 gobi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
81	cabbage	BMU	MUN	50	107	gobi | gʌɖakobi	1 gobi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
81	cabbage	NTO	TOR	50	107	paŋgobi	1 pʌʈ-gobi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
82	oil	NAS	AST	50	107	ʈen	1 t̪en	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
82	oil	BMU	MUN	50	107	ʈel	1 t̪el	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
82	oil	NTO	TOR	50	107	ʈeɭ	1 t̪el	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
83	salt	NAS	AST	50	107	kharo	1 kharo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
83	salt	BMU	MUN	50	107	kharo	1 kharo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
83	salt	NTO	TOR	50	107	miʈh	2 mith	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
84	meat	NAS	AST	50	107	maha	1 maha	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
84	meat	BMU	MUN	50	107	mãhã	1 mʌha	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
84	meat	NTO	TOR	51	107	mah	1 mah	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
85	fat	NAS	AST	51	108	doɖo	3 doɖo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
85	fat	BMU	MUN	51	108	doɖo | sʌrbi	3 doɖo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
85	fat	NTO	TOR	51	108	tʃerbi	1 tʃerbi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
86	fish	NAS	AST	51	108	masʊ	1 maʂu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
86	fish	BMU	MUN	51	108	masʊ	1 maʂu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
86	fish	NTO	TOR	51	108	maso	1 maʂo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
87	chicken	NAS	AST	51	108	kukʌɖi	1 kukʌɖi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
87	chicken	BMU	MUN	51	108	kukʌɖi	1 kukʌɖi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
87	chicken	NTO	TOR	51	108	kukʌɖo	1 kukʌɖo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
88	egg	NAS	AST	51	108	inɖu	2 iɳɖo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
88	egg	BMU	MUN	51	108	inɖo	2 iɳɖo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
88	egg	NTO	TOR	51	108	hakõ	1 hakõ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
89	cow	NAS	AST	51	108	vasʌɖi | gauɖi	1 gauɖi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
89	cow	BMU	MUN	51	108	vasɖi | gauɖi	1 gauɖi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
89	cow	NTO	TOR	52	108	gai	2 gai	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
90	buffalo	NAS	AST	52	109	paɖi	2 paɖi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
90	buffalo	BMU	MUN	52	109	paɖi	2 paɖi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
90	buffalo	NTO	TOR	52	109	ɖobo	3 ɖobo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
91	milk	NAS	AST	52	109	duɖ	1 duɖ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
91	milk	BMU	MUN	52	109	ɖuɖ	1 duɖ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
91	milk	NTO	TOR	52	109	ɖuɖ	1 ɖuɖ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
92	horns	NAS	AST	52	109	hiŋ	2 hiŋ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
92	horns	BMU	MUN	52	109	hiŋg | hiŋgʌɖo	2 hiŋg	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
92	horns	NTO	TOR	52	109	hiŋg	2 hiŋg	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
93	tail	NAS	AST	52	109	ʂepʈi | ʂepʈi	1 seŋti	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
93	tail	BMU	MUN	52	109	sepʈo | sepʈo	1 seŋto	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
93	tail	NTO	TOR	52	109	ʂemʈo	1 semto	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
94	goat	NAS	AST	53	109	bokʌɖi | bokʌɖi | bokʌɖi	1 bokʌɖi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
94	goat	BMU	MUN	53	109	bokʌɖi | bokʌɖi	1 bokʌɖi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
94	goat	NTO	TOR	53	109	bokʌɖi | bokʌɖi	1 bokʌɖ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
95	dog	NAS	AST	53	110	hũɳi | hũɳɔ	2 huɳi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
95	dog	BMU	MUN	53	110	hũɳi | hũɳɔ	2 huɳi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
95	dog	NTO	TOR	53	110	tʃiʈõ	3 tʃiʈõ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
96	snake	NAS	AST	53	110	ivɔ	4 hap	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
96	snake	BMU	MUN	53	110	hap	4 hap	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
96	snake	NTO	TOR	53	110	geɖe	3 geɖe	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
97	monkey	NAS	AST	53	110	makoɖ | bhodʒijo	2 makoɖ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
97	monkey	BMU	MUN	53	110	makoɖ	2 makoɖ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
97	monkey	NTO	TOR	53	110	makoɖ	2 makoɖ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
98	mosquito	NAS	AST	53	110	mogɦe | daɦẽ | hãɦẽ	1 moghe, 2 ɖahẽ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
98	mosquito	BMU	MUN	54	110	mɔgɦe | daɦẽ	1 moghe, 2 ɖahẽ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
98	mosquito	NTO	TOR	54	110	tʃatʃʌɖia	3 tʃatʃʌɖio	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
99	ant	NAS	AST	54	110	kiɖo	1 kiɖo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
99	ant	BMU	MUN	54	110	kiɖavo | kiɖawi | kiɖavo	1 kiɖawi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
99	ant	NTO	TOR	54	110	kiɖawõ | kiɖawõ	1 kiɖawõ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
100	spider	NAS	AST	54	111	huʈaɖo	2 botkil	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
100	spider	BMU	MUN	54	111	boʈkil	2 botkil	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
100	spider	NTO	TOR	54	111	huʈaɖo	1 huʈʌɖo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
101	name	NAS	AST	54	111	nau	1 nau	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
101	name	BMU	MUN	54	111	nau	1 nau	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
101	name	NTO	TOR	54	111	nau	1 nau	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
102	man	NAS	AST	54	111	maʈi	2 mati	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
102	man	BMU	MUN	54	111	maʈi	1 mahu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
102	man	NTO	TOR	54	111	eɖmi	3 ʌɖmi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
103	woman	NAS	AST	55	111	bojõ	2 bojõ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
103	woman	BMU	MUN	55	111	bojõ | buʔĩ	2 bojõ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
103	woman	NTO	TOR	55	111	baiku	4 baiku	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
104	child	NAS	AST	55	111	sɔʔɔ | pɔrijɔ | pori	1 pori	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
104	child	BMU	MUN	55	111	porijo | soʔu	1 porijo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
104	child	NTO	TOR	55	111	ʂero	2 ʂoro	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
105	father	NAS	AST	55	112	bahku	1 bahku	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
105	father	BMU	MUN	55	112	bahku | bʌɦʔʊ	1 bahku, 3 abu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
105	father	NTO	TOR	55	112	aboxkhʌ	5 aboxkhʌ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
106	mother	NAS	AST	55	112	jʌʔhi	3 jʌʔhi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
106	mother	BMU	MUN	55	112	aihi | jʌhʔi	2 aihi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
106	mother	NTO	TOR	55	112	ax	7 ax	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
107	older brother	NAS	AST	55	112	waɖu-pauhu | ɖʌju pahi | waɖupau-hu	1 woɖu-pauhu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
107	older brother	BMU	MUN	55	112	woɖu-pahi	1 woɖu-paihi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
107	older brother	NTO	TOR	56	112	ɖawalo baxkhʌ	5 ɖawalo-ɖaɖo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
108	younger brother	NAS	AST	56	112	hanu-pauhu	1 hanu-pauhu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
108	younger brother	BMU	MUN	56	112	hanupahi	1 hanu-paihi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
108	younger brother	NTO	TOR	56	112	aʈʌlio baxkhʌ	5 aʈʌlio-ɖaɖo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
109	older sister	NAS	AST	56	112	woɖiboʔhĩ	3 woɖi-boʔhɪ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
109	older sister	BMU	MUN	56	112	aoɖi boʔhĩ | ɖʌji boʔhĩ	3 woɖi-boʔhɪ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
109	older sister	NTO	TOR	56	112	ɖawali bai | ɖawali bai | ɖawali boɳli	5 ɖawali-bai	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
110	younger sister	NAS	AST	56	113	haɳiboʔhĩ | haɳiboʔhĩ	1 hani-boʔhɪ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
110	younger sister	BMU	MUN	56	113	haɳi boʔhĩ | haɳi boʔhĩ	1 hani-boʔhɪ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
110	younger sister	NTO	TOR	56	113	aʈʌlio bai | aʈʌlio boɳli	4 aʈʌli-bai	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
111	son	NAS	AST	57	113	sɔʔu | poriu	1 porlu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
111	son	BMU	MUN	57	113	soʔo | poiu	1 poriu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
111	son	NTO	TOR	57	113	ʂero	2 ʂoro	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
112	daughter	NAS	AST	57	113	sɔʔi | pori | pori	1, 2 pori	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
112	daughter	BMU	MUN	57	113	sɔʔi | pori | pori	1, 2 pori	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
112	daughter	NTO	TOR	57	113	ʂori | ʂori	2 ʂori	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
113	husband	NAS	AST	57	113	maʈi | ɖɔʔu	1 mati	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
113	husband	BMU	MUN	57	113	maʈi | ɖɔhu	1 mati	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
113	husband	NTO	TOR	57	113	eɖmi	2 ʂmi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
114	wife	NAS	AST	57	113	bojõ	2 bojõ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
114	wife	BMU	MUN	57	113	laɖi | bojõ	2 bojõ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
114	wife	NTO	TOR	57	113	baiko	4 baiko	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
115	boy	NAS	AST	58	114	poriu | sɔʔu	1 poriu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
115	boy	BMU	MUN	58	114	poriu	1 poriu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
115	boy	NTO	TOR	58	114	ʂoro	2 ʂoro	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
116	girl	NAS	AST	58	114	pori | sɔʔi	1, 2 pori	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
116	girl	BMU	MUN	58	114	pori	1, 2 pori	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
116	girl	NTO	TOR	58	114	ʂori	2 ʂori	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
117	day	NAS	AST	58	114	ɖihi	1 ɖihi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
117	day	BMU	MUN	58	114	ɖihi	1 ɖih	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
117	day	NTO	TOR	58	114	ɖih | ɖih	1 ɖih	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
118	night	NAS	AST	58	114	raʈ	1 raʈ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
118	night	BMU	MUN	58	114	raʈ	1 raʈ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
118	night	NTO	TOR	58	114	raʈ	1 raʈ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
119	morning	NAS	AST	58	114	wegi	2 wegi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
119	morning	BMU	MUN	58	114	vegi	2 wegidz	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
119	morning	NTO	TOR	58	114	uʈjain	5 uʈjain	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
120	noon	NAS	AST	59	115	ɖihɛ	3 ɖihe	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
120	noon	BMU	MUN	59	115	ɖihɛ | hirʌo | hirʌo	3 ɖihe	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
120	noon	NTO	TOR	59	115	boɽɖih	8 bor-ɖih	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
121	evening/afternoon	NAS	AST	59	115	hastiweɭe	3 hasti-wele	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
121	evening/afternoon	BMU	MUN	59	115	hʌsʈivell | hãndze_po	2 hãndze-po	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
121	evening/afternoon	NTO	TOR	59	115	weɭʈo | weɭwar	7 welʈo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
122	yesterday	NAS	AST	59	115	kal	1 kal	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
122	yesterday	BMU	MUN	59	115	kal	1 kal	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
122	yesterday	NTO	TOR	59	115	kal	1 kal	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
123	today	NAS	AST	59	115	adz	1 adz	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
123	today	BMU	MUN	59	115	adz	1 adz	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
123	today	NTO	TOR	59	115	aɖz	1 adz	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
124	tomorrow	NAS	AST	59	115	handa	2 handa	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
124	tomorrow	BMU	MUN	59	115	handa	2 handa	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
124	tomorrow	NTO	TOR	59	115	hekeɭe	4 hekaɭe	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
125	week	NAS	AST	60	116	aʈe | aʈo	1 atoɖʌ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
125	week	BMU	MUN	60	116	aʈ | hʌpʈo	2 aʈ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
125	week	NTO	TOR	60	116	apʈo	3 apʈo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
126	month	NAS	AST	60	116	moinu	1 moinu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
126	month	BMU	MUN	60	116	moinu	1 mojʌnu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
126	month	NTO	TOR	60	116	mʌinɔ	1 mʌiɳo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
127	year	NAS	AST	60	116	wʌrih	1 warih	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
127	year	BMU	MUN	60	116	worihi	1 wariho	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
127	year	NTO	TOR	60	116	worih	1 worih	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
128	old	NAS	AST	60	116	dzunʌ	1 dzunʌ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
128	old	BMU	MUN	60	116	dʒuna | dʒunu	1 dzunu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
128	old	NTO	TOR	60	116	ɖzunalo	1 dʒuɳalo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
129	new	NAS	AST	60	116	naowa | naowa	1 naowʌ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
129	new	BMU	MUN	60	116	nowu	1 nowu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
129	new	NTO	TOR	61	116	nʌwalo	1 ɳawalo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
130	good	NAS	AST	61	117	hadzo	2 hadzo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
130	good	BMU	MUN	61	117	hadzu	2 hadzu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
130	good	NTO	TOR	61	117	hadzo	2 hadzo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
131	bad	NAS	AST	61	117	kʌini hadʒo | nehadzu	2 ne-hadzu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
131	bad	BMU	MUN	61	117	kʌini hʌdʒo | ɳahadzu	2 na-hadzu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
131	bad	NTO	TOR	61	117	khʌrap	3 khʌrap	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
132	wet	NAS	AST	61	117	pignɔ	2 pigui	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
132	wet	BMU	MUN	61	117	pigli	2 pigli	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
132	wet	NTO	TOR	61	117	bidʒel	3 bidʒel	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
133	dry	NAS	AST	61	117	uganɔ	1 ugauu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
133	dry	BMU	MUN	61	117	ugalu	1 ugalu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
133	dry	NTO	TOR	61	117	hukel	1 hukeli	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
134	long	NAS	AST	62	117	nambɔ	1 nambi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
134	long	BMU	MUN	62	117	lambo | nambi	1 nambi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
134	long	NTO	TOR	62	117	lambo	1 lambo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
135	short	NAS	AST	62	118	ʈokɔ | hano | hano	1 toki	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
135	short	BMU	MUN	62	118	ʈoko	1 toki	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
135	short	NTO	TOR	62	118	ʈiljo	4 aʈioʂ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
136	hot	NAS	AST	62	118	uɳɔ	2 uɳʌ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
136	hot	BMU	MUN	62	118	uɳo	2 uɳo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
136	hot	NTO	TOR	62	118	t̪at̪alo	1 t̪aʈalo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
137	cold	NAS	AST	62	118	helo	1 helo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
137	cold	BMU	MUN	62	118	helo	1 helo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
137	cold	NTO	TOR	62	118	heɭo	1 helo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
138	right	NAS	AST	62	118	hoɖu	1 hoɖu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
138	right	BMU	MUN	62	118	huɖu | hadzʌlu	2 hadzʌlu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
