Record_Type,Item,Gloss,Site_Code,Site_Name,Role,Dialect_Group,PDF_Page,Printed_Page,Column,Manual_Transcription,Manual_Review,Uncertainty,OCR_Evidence,Alternate_Digital_Evidence,Status,Reason,Language_ID,Dialect_ID,Source,Entry_Keys
wordlist cell,34,knife,JAG,Jaganathapuram Koya,target,eastern Koya,83,78,1,kaseɾ,manual-source-image,,tesseract_raw.txt#pdf83,,installed,,Gondi,sil-koya-1985-jaganathapuram,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 34, Jaganathapuram Koya]",silkoya1985:jag:i034:v1
wordlist cell,34,knife,MAL,Malakanagiri Koya,target,eastern Koya,104,99,1,katʃeɾ,manual-source-image,,tesseract_raw.txt#pdf104,,installed,,Gondi,sil-koya-1985-malakanagiri,"devagnanavaram-et-al2021koya[Appendix E, printed p. 99, item 34, Malakanagiri Koya]",silkoya1985:mal:i034:v1
wordlist cell,34,knife,ORI,Oriya,comparison control,,114,109,2,qati,manual-source-image,,tesseract_raw.txt#pdf114,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 109, item 34, Oriya]",
wordlist cell,34,knife,POD,Podia Koya,target,eastern Koya,83,78,3,kasaɾi,manual-source-image,,tesseract_raw.txt#pdf83,,installed,,Gondi,sil-koya-1985-podia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 34, Podia Koya]",silkoya1985:pod:i034:v1
wordlist cell,34,knife,TEL,Telugu,comparison control,,114,109,1,katːi,manual-source-image,,tesseract_raw.txt#pdf114,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 109, item 34, Telugu]",
wordlist cell,34,knife,UTN,Utnoor Gondi,target,western Gondi,93,88,1,ɾuːs̪iʔ,manual-source-image,,tesseract_raw.txt#pdf93,ɾuːs̪iʔ,installed,,Gondi,sil-koya-1985-utnoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 88, item 34, Utnoor Gondi]",silkoya1985:utn:i034:v1
wordlist cell,35,axe,BHG,Bhamani Gondi,target,western Gondi,93,88,2,marsu,manual-source-image,,tesseract_raw.txt#pdf93,marsu,installed,,Gondi,sil-koya-1985-bhamani-gondi,"devagnanavaram-et-al2021koya[Appendix E, printed p. 88, item 35, Bhamani Gondi]",silkoya1985:bhg:i035:v1
wordlist cell,35,axe,BHM,Bhamani Madia,target,western Madia,93,88,3,maksu,manual-source-image,,tesseract_raw.txt#pdf93,maksu,installed,,Gondi,sil-koya-1985-bhamani-madia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 88, item 35, Bhamani Madia]",silkoya1985:bhm:i035:v1
wordlist cell,35,axe,CHI,Chintoor Koya,target,eastern Koya,83,78,2,gʰodel,manual-source-image,,tesseract_raw.txt#pdf83,,installed,,Gondi,sil-koya-1985-chintoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 35, Chintoor Koya]",silkoya1985:chi:i035:v1
wordlist cell,35,axe,JAG,Jaganathapuram Koya,target,eastern Koya,83,78,1,godeli,manual-source-image,,tesseract_raw.txt#pdf83,,installed,,Gondi,sil-koya-1985-jaganathapuram,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 35, Jaganathapuram Koya]",silkoya1985:jag:i035:v1
wordlist cell,35,axe,MAL,Malakanagiri Koya,target,eastern Koya,104,99,1,goːdal,manual-source-image,,tesseract_raw.txt#pdf104,,installed,,Gondi,sil-koya-1985-malakanagiri,"devagnanavaram-et-al2021koya[Appendix E, printed p. 99, item 35, Malakanagiri Koya]",silkoya1985:mal:i035:v1
wordlist cell,35,axe,ORI,Oriya,comparison control,,114,109,2,taŋgiːa,manual-source-image,,tesseract_raw.txt#pdf114,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 109, item 35, Oriya]",
wordlist cell,35,axe,POD,Podia Koya,target,eastern Koya,83,78,3,godel,manual-source-image,,tesseract_raw.txt#pdf83,,installed,,Gondi,sil-koya-1985-podia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 35, Podia Koya]",silkoya1985:pod:i035:v1
wordlist cell,35,axe,TEL,Telugu,comparison control,,114,109,1,godeli,manual-source-image,,tesseract_raw.txt#pdf114,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 109, item 35, Telugu]",
wordlist cell,35,axe,UTN,Utnoor Gondi,target,western Gondi,93,88,1,maɾs̪,manual-source-image,,tesseract_raw.txt#pdf93,maɾs̪,installed,,Gondi,sil-koya-1985-utnoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 88, item 35, Utnoor Gondi]",silkoya1985:utn:i035:v1
wordlist cell,36,rope,BHG,Bhamani Gondi,target,western Gondi,93,88,2,nonde,manual-source-image,,tesseract_raw.txt#pdf93,nonde,installed,,Gondi,sil-koya-1985-bhamani-gondi,"devagnanavaram-et-al2021koya[Appendix E, printed p. 88, item 36, Bhamani Gondi]",silkoya1985:bhg:i036:v1
wordlist cell,36,rope,BHM,Bhamani Madia,target,western Madia,93,88,3,nonde,manual-source-image,,tesseract_raw.txt#pdf93,nonde,installed,,Gondi,sil-koya-1985-bhamani-madia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 88, item 36, Bhamani Madia]",silkoya1985:bhm:i036:v1
wordlist cell,36,rope,CHI,Chintoor Koya,target,eastern Koya,83,78,2,tadu,manual-source-image,,tesseract_raw.txt#pdf83,,installed,,Gondi,sil-koya-1985-chintoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 36, Chintoor Koya]",silkoya1985:chi:i036:v1
wordlist cell,36,rope,JAG,Jaganathapuram Koya,target,eastern Koya,83,78,1,tadu,manual-source-image,,tesseract_raw.txt#pdf83,,installed,,Gondi,sil-koya-1985-jaganathapuram,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 36, Jaganathapuram Koya]",silkoya1985:jag:i036:v1
wordlist cell,36,rope,MAL,Malakanagiri Koya,target,eastern Koya,104,99,1,noːda,manual-source-image,,tesseract_raw.txt#pdf104,,installed,,Gondi,sil-koya-1985-malakanagiri,"devagnanavaram-et-al2021koya[Appendix E, printed p. 99, item 36, Malakanagiri Koya]",silkoya1985:mal:i036:v1
wordlist cell,36,rope,ORI,Oriya,comparison control,,114,109,2,dowudi,manual-source-image,,tesseract_raw.txt#pdf114,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 109, item 36, Oriya]",
wordlist cell,36,rope,POD,Podia Koya,target,eastern Koya,83,78,3,moɾsum,manual-source-image,,tesseract_raw.txt#pdf83,,installed,,Gondi,sil-koya-1985-podia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 36, Podia Koya]",silkoya1985:pod:i036:v1
wordlist cell,36,rope,TEL,Telugu,comparison control,,114,109,1,taːdu,manual-source-image,,tesseract_raw.txt#pdf114,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 109, item 36, Telugu]",
wordlist cell,36,rope,UTN,Utnoor Gondi,target,western Gondi,93,88,1,nɔːɖɛ,manual-source-image,,tesseract_raw.txt#pdf93,nɔːɖɛ,installed,,Gondi,sil-koya-1985-utnoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 88, item 36, Utnoor Gondi]",silkoya1985:utn:i036:v1
wordlist cell,37,thread,BHG,Bhamani Gondi,target,western Gondi,93,88,2,d̪aɾam,manual-source-image,,tesseract_raw.txt#pdf93,d̪aɾam,installed,,Gondi,sil-koya-1985-bhamani-gondi,"devagnanavaram-et-al2021koya[Appendix E, printed p. 88, item 37, Bhamani Gondi]",silkoya1985:bhg:i037:v1
wordlist cell,37,thread,BHM,Bhamani Madia,target,western Madia,93,88,3,nulu,manual-source-image,,tesseract_raw.txt#pdf93,nulu,installed,,Gondi,sil-koya-1985-bhamani-madia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 88, item 37, Bhamani Madia]",silkoya1985:bhm:i037:v1
wordlist cell,37,thread,CHI,Chintoor Koya,target,eastern Koya,83,78,2,nulu,manual-source-image,,tesseract_raw.txt#pdf83,,installed,,Gondi,sil-koya-1985-chintoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 37, Chintoor Koya]",silkoya1985:chi:i037:v1
wordlist cell,37,thread,JAG,Jaganathapuram Koya,target,eastern Koya,83,78,1,daɾam/nol,manual-source-image,,tesseract_raw.txt#pdf83,,installed,,Gondi,sil-koya-1985-jaganathapuram,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 37, Jaganathapuram Koya]",silkoya1985:jag:i037:v1|silkoya1985:jag:i037:v2
wordlist cell,37,thread,MAL,Malakanagiri Koya,target,eastern Koya,104,99,1,nul,manual-source-image,,tesseract_raw.txt#pdf104,,installed,,Gondi,sil-koya-1985-malakanagiri,"devagnanavaram-et-al2021koya[Appendix E, printed p. 99, item 37, Malakanagiri Koya]",silkoya1985:mal:i037:v1
wordlist cell,37,thread,ORI,Oriya,comparison control,,114,109,2,suːtːa,manual-source-image,,tesseract_raw.txt#pdf114,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 109, item 37, Oriya]",
wordlist cell,37,thread,POD,Podia Koya,target,eastern Koya,83,78,3,nul,manual-source-image,,tesseract_raw.txt#pdf83,,installed,,Gondi,sil-koya-1985-podia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 37, Podia Koya]",silkoya1985:pod:i037:v1
wordlist cell,37,thread,TEL,Telugu,comparison control,,114,109,1,daɾam,manual-source-image,,tesseract_raw.txt#pdf114,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 109, item 37, Telugu]",
wordlist cell,37,thread,UTN,Utnoor Gondi,target,western Gondi,93,88,1,noːɭ,manual-source-image,,tesseract_raw.txt#pdf93,noːɭ,installed,,Gondi,sil-koya-1985-utnoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 88, item 37, Utnoor Gondi]",silkoya1985:utn:i037:v1
wordlist cell,38,needle,BHG,Bhamani Gondi,target,western Gondi,93,88,2,sud̪i,manual-source-image,,tesseract_raw.txt#pdf93,sud̪i,installed,,Gondi,sil-koya-1985-bhamani-gondi,"devagnanavaram-et-al2021koya[Appendix E, printed p. 88, item 38, Bhamani Gondi]",silkoya1985:bhg:i038:v1
wordlist cell,38,needle,BHM,Bhamani Madia,target,western Madia,93,88,3,sudi,manual-source-image,,tesseract_raw.txt#pdf93,sudi,installed,,Gondi,sil-koya-1985-bhamani-madia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 88, item 38, Bhamani Madia]",silkoya1985:bhm:i038:v1
wordlist cell,38,needle,CHI,Chintoor Koya,target,eastern Koya,83,78,2,sudi,manual-source-image,,tesseract_raw.txt#pdf83,,installed,,Gondi,sil-koya-1985-chintoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 38, Chintoor Koya]",silkoya1985:chi:i038:v1
wordlist cell,38,needle,JAG,Jaganathapuram Koya,target,eastern Koya,83,78,1,sudi,manual-source-image,,tesseract_raw.txt#pdf83,,installed,,Gondi,sil-koya-1985-jaganathapuram,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 38, Jaganathapuram Koya]",silkoya1985:jag:i038:v1
wordlist cell,38,needle,MAL,Malakanagiri Koya,target,eastern Koya,104,99,1,suːd,manual-source-image,,tesseract_raw.txt#pdf104,,installed,,Gondi,sil-koya-1985-malakanagiri,"devagnanavaram-et-al2021koya[Appendix E, printed p. 99, item 38, Malakanagiri Koya]",silkoya1985:mal:i038:v1
wordlist cell,38,needle,ORI,Oriya,comparison control,,114,109,2,sũntʃi,manual-source-image,,tesseract_raw.txt#pdf114,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 109, item 38, Oriya]",
wordlist cell,38,needle,POD,Podia Koya,target,eastern Koya,83,78,3,sudi,manual-source-image,,tesseract_raw.txt#pdf83,,installed,,Gondi,sil-koya-1985-podia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 38, Podia Koya]",silkoya1985:pod:i038:v1
wordlist cell,38,needle,TEL,Telugu,comparison control,,114,109,1,suːdi,manual-source-image,,tesseract_raw.txt#pdf114,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 109, item 38, Telugu]",
wordlist cell,38,needle,UTN,Utnoor Gondi,target,western Gondi,93,88,1,sou̯i,manual-source-image,,tesseract_raw.txt#pdf93,sou̯i,installed,,Gondi,sil-koya-1985-utnoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 88, item 38, Utnoor Gondi]",silkoya1985:utn:i038:v1
wordlist cell,39,cloth,BHG,Bhamani Gondi,target,western Gondi,93,88,2,kapˑidi,manual-source-image,,tesseract_raw.txt#pdf93,kapˑidi,installed,,Gondi,sil-koya-1985-bhamani-gondi,"devagnanavaram-et-al2021koya[Appendix E, printed p. 88, item 39, Bhamani Gondi]",silkoya1985:bhg:i039:v1
wordlist cell,39,cloth,BHM,Bhamani Madia,target,western Madia,93,88,3,bʰat̪a,manual-source-image,,tesseract_raw.txt#pdf93,bʰat̪a,installed,,Gondi,sil-koya-1985-bhamani-madia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 88, item 39, Bhamani Madia]",silkoya1985:bhm:i039:v1
wordlist cell,39,cloth,CHI,Chintoor Koya,target,eastern Koya,83,78,2,gʰuda,manual-source-image,,tesseract_raw.txt#pdf83,,installed,,Gondi,sil-koya-1985-chintoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 39, Chintoor Koya]",silkoya1985:chi:i039:v1
wordlist cell,39,cloth,JAG,Jaganathapuram Koya,target,eastern Koya,83,78,1,guda,manual-source-image,,tesseract_raw.txt#pdf83,,installed,,Gondi,sil-koya-1985-jaganathapuram,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 39, Jaganathapuram Koya]",silkoya1985:jag:i039:v1
wordlist cell,39,cloth,MAL,Malakanagiri Koya,target,eastern Koya,104,99,1,tʃile,manual-source-image,,tesseract_raw.txt#pdf104,,installed,,Gondi,sil-koya-1985-malakanagiri,"devagnanavaram-et-al2021koya[Appendix E, printed p. 99, item 39, Malakanagiri Koya]",silkoya1985:mal:i039:v1
wordlist cell,39,cloth,ORI,Oriya,comparison control,,114,109,2,luːga,manual-source-image,,tesseract_raw.txt#pdf114,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 109, item 39, Oriya]",
wordlist cell,39,cloth,POD,Podia Koya,target,eastern Koya,83,78,3,tʃile,manual-source-image,,tesseract_raw.txt#pdf83,,installed,,Gondi,sil-koya-1985-podia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 39, Podia Koya]",silkoya1985:pod:i039:v1
wordlist cell,39,cloth,TEL,Telugu,comparison control,,114,109,1,batːa/goda,manual-source-image,,tesseract_raw.txt#pdf114,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 109, item 39, Telugu]",
wordlist cell,39,cloth,UTN,Utnoor Gondi,target,western Gondi,93,88,1,kʌpɖi,manual-source-image,,tesseract_raw.txt#pdf93,kʌpɖi,installed,,Gondi,sil-koya-1985-utnoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 88, item 39, Utnoor Gondi]",silkoya1985:utn:i039:v1
wordlist cell,40,ring,BHG,Bhamani Gondi,target,western Gondi,93,88,2,uŋɡɾam,manual-source-image,,tesseract_raw.txt#pdf93,uŋɡɾam,installed,,Gondi,sil-koya-1985-bhamani-gondi,"devagnanavaram-et-al2021koya[Appendix E, printed p. 88, item 40, Bhamani Gondi]",silkoya1985:bhg:i040:v1
wordlist cell,40,ring,BHM,Bhamani Madia,target,western Madia,93,88,3,mud̪ʰaʔ,manual-source-image,,tesseract_raw.txt#pdf93,mud̪ʰaʔ,installed,,Gondi,sil-koya-1985-bhamani-madia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 88, item 40, Bhamani Madia]",silkoya1985:bhm:i040:v1
wordlist cell,40,ring,CHI,Chintoor Koya,target,eastern Koya,83,78,2,uŋgaɾam,manual-source-image,,tesseract_raw.txt#pdf83,,installed,,Gondi,sil-koya-1985-chintoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 40, Chintoor Koya]",silkoya1985:chi:i040:v1
wordlist cell,40,ring,JAG,Jaganathapuram Koya,target,eastern Koya,83,78,1,uŋgaɾam,manual-source-image,,tesseract_raw.txt#pdf83,,installed,,Gondi,sil-koya-1985-jaganathapuram,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 40, Jaganathapuram Koya]",silkoya1985:jag:i040:v1
wordlist cell,40,ring,MAL,Malakanagiri Koya,target,eastern Koya,104,99,1,mudːa,manual-source-image,,tesseract_raw.txt#pdf104,,installed,,Gondi,sil-koya-1985-malakanagiri,"devagnanavaram-et-al2021koya[Appendix E, printed p. 99, item 40, Malakanagiri Koya]",silkoya1985:mal:i040:v1
wordlist cell,40,ring,ORI,Oriya,comparison control,,114,109,2,mudi,manual-source-image,,tesseract_raw.txt#pdf114,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 109, item 40, Oriya]",
wordlist cell,40,ring,POD,Podia Koya,target,eastern Koya,83,78,3,mudːa,manual-source-image,,tesseract_raw.txt#pdf83,,installed,,Gondi,sil-koya-1985-podia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 40, Podia Koya]",silkoya1985:pod:i040:v1
wordlist cell,40,ring,TEL,Telugu,comparison control,,114,109,1,aŋgaɾamu,manual-source-image,,tesseract_raw.txt#pdf114,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 109, item 40, Telugu]",
wordlist cell,40,ring,UTN,Utnoor Gondi,target,western Gondi,93,88,1,mudːʌ,manual-source-image,,tesseract_raw.txt#pdf93,mudːʌ,installed,,Gondi,sil-koya-1985-utnoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 88, item 40, Utnoor Gondi]",silkoya1985:utn:i040:v1
wordlist cell,41,sun,BHG,Bhamani Gondi,target,western Gondi,94,89,2,podud̪u,manual-source-image,,tesseract_raw.txt#pdf94,podud̪u,installed,,Gondi,sil-koya-1985-bhamani-gondi,"devagnanavaram-et-al2021koya[Appendix E, printed p. 89, item 41, Bhamani Gondi]",silkoya1985:bhg:i041:v1
wordlist cell,41,sun,BHM,Bhamani Madia,target,western Madia,94,89,3,poɖud̪u,manual-source-image,,tesseract_raw.txt#pdf94,poɖud̪u,installed,,Gondi,sil-koya-1985-bhamani-madia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 89, item 41, Bhamani Madia]",silkoya1985:bhm:i041:v1
wordlist cell,41,sun,CHI,Chintoor Koya,target,eastern Koya,84,79,2,podudu,manual-source-image,,tesseract_raw.txt#pdf84,,installed,,Gondi,sil-koya-1985-chintoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 79, item 41, Chintoor Koya]",silkoya1985:chi:i041:v1
wordlist cell,41,sun,JAG,Jaganathapuram Koya,target,eastern Koya,84,79,1,podudu,manual-source-image,,tesseract_raw.txt#pdf84,,installed,,Gondi,sil-koya-1985-jaganathapuram,"devagnanavaram-et-al2021koya[Appendix E, printed p. 79, item 41, Jaganathapuram Koya]",silkoya1985:jag:i041:v1
wordlist cell,41,sun,MAL,Malakanagiri Koya,target,eastern Koya,105,100,1,podud,manual-source-image,,tesseract_raw.txt#pdf105,,installed,,Gondi,sil-koya-1985-malakanagiri,"devagnanavaram-et-al2021koya[Appendix E, printed p. 100, item 41, Malakanagiri Koya]",silkoya1985:mal:i041:v1
wordlist cell,41,sun,ORI,Oriya,comparison control,,115,110,2,sudʒo,manual-source-image,,tesseract_raw.txt#pdf115,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 110, item 41, Oriya]",
wordlist cell,41,sun,POD,Podia Koya,target,eastern Koya,84,79,3,podudu,manual-source-image,,tesseract_raw.txt#pdf84,,installed,,Gondi,sil-koya-1985-podia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 79, item 41, Podia Koya]",silkoya1985:pod:i041:v1
wordlist cell,41,sun,TEL,Telugu,comparison control,,115,110,1,suɾiudu,manual-source-image,,tesseract_raw.txt#pdf115,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 110, item 41, Telugu]",
wordlist cell,41,sun,UTN,Utnoor Gondi,target,western Gondi,94,89,1,suɾiə,manual-source-image,,tesseract_raw.txt#pdf94,suɾiə,installed,,Gondi,sil-koya-1985-utnoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 89, item 41, Utnoor Gondi]",silkoya1985:utn:i041:v1
wordlist cell,42,moon,BHG,Bhamani Gondi,target,western Gondi,94,89,2,u̯edisi,manual-source-image,,tesseract_raw.txt#pdf94,u̯edisi,installed,,Gondi,sil-koya-1985-bhamani-gondi,"devagnanavaram-et-al2021koya[Appendix E, printed p. 89, item 42, Bhamani Gondi]",silkoya1985:bhg:i042:v1
wordlist cell,42,moon,BHM,Bhamani Madia,target,western Madia,94,89,3,nelˑa,manual-source-image,,tesseract_raw.txt#pdf94,nelˑa,installed,,Gondi,sil-koya-1985-bhamani-madia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 89, item 42, Bhamani Madia]",silkoya1985:bhm:i042:v1
wordlist cell,42,moon,CHI,Chintoor Koya,target,eastern Koya,84,79,2,nelːe,manual-source-image,,tesseract_raw.txt#pdf84,,installed,,Gondi,sil-koya-1985-chintoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 79, item 42, Chintoor Koya]",silkoya1985:chi:i042:v1
wordlist cell,42,moon,JAG,Jaganathapuram Koya,target,eastern Koya,84,79,1,nile,manual-source-image,,tesseract_raw.txt#pdf84,,installed,,Gondi,sil-koya-1985-jaganathapuram,"devagnanavaram-et-al2021koya[Appendix E, printed p. 79, item 42, Jaganathapuram Koya]",silkoya1985:jag:i042:v1
wordlist cell,42,moon,MAL,Malakanagiri Koya,target,eastern Koya,105,100,1,nelːa,manual-source-image,,tesseract_raw.txt#pdf105,,installed,,Gondi,sil-koya-1985-malakanagiri,"devagnanavaram-et-al2021koya[Appendix E, printed p. 100, item 42, Malakanagiri Koya]",silkoya1985:mal:i042:v1
wordlist cell,42,moon,ORI,Oriya,comparison control,,115,110,2,dʒanha,manual-source-image,,tesseract_raw.txt#pdf115,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 110, item 42, Oriya]",
wordlist cell,42,moon,POD,Podia Koya,target,eastern Koya,84,79,3,leŋgu,manual-source-image,,tesseract_raw.txt#pdf84,,installed,,Gondi,sil-koya-1985-podia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 79, item 42, Podia Koya]",silkoya1985:pod:i042:v1
wordlist cell,42,moon,TEL,Telugu,comparison control,,115,110,1,tʃandɾudu,manual-source-image,,tesseract_raw.txt#pdf115,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 110, item 42, Telugu]",
wordlist cell,42,moon,UTN,Utnoor Gondi,target,western Gondi,94,89,1,tʃʌndɾʌ,manual-source-image,,tesseract_raw.txt#pdf94,tʃʌndɾʌ,installed,,Gondi,sil-koya-1985-utnoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 89, item 42, Utnoor Gondi]",silkoya1985:utn:i042:v1
wordlist cell,43,sky,BHG,Bhamani Gondi,target,western Gondi,94,89,2,mabʰˑu,manual-source-image,,tesseract_raw.txt#pdf94,mabʰˑu,installed,,Gondi,sil-koya-1985-bhamani-gondi,"devagnanavaram-et-al2021koya[Appendix E, printed p. 89, item 43, Bhamani Gondi]",silkoya1985:bhg:i043:v1
wordlist cell,43,sky,BHM,Bhamani Madia,target,western Madia,94,89,3,mabʰu,manual-source-image,,tesseract_raw.txt#pdf94,mabʰu,installed,,Gondi,sil-koya-1985-bhamani-madia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 89, item 43, Bhamani Madia]",silkoya1985:bhm:i043:v1
wordlist cell,43,sky,CHI,Chintoor Koya,target,eastern Koya,84,79,2,mabʰu,manual-source-image,,tesseract_raw.txt#pdf84,,installed,,Gondi,sil-koya-1985-chintoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 79, item 43, Chintoor Koya]",silkoya1985:chi:i043:v1
wordlist cell,43,sky,JAG,Jaganathapuram Koya,target,eastern Koya,84,79,1,mabʰu,manual-source-image,,tesseract_raw.txt#pdf84,,installed,,Gondi,sil-koya-1985-jaganathapuram,"devagnanavaram-et-al2021koya[Appendix E, printed p. 79, item 43, Jaganathapuram Koya]",silkoya1985:jag:i043:v1
wordlist cell,43,sky,MAL,Malakanagiri Koya,target,eastern Koya,105,100,1,bondaɾ,manual-source-image,,tesseract_raw.txt#pdf105,,installed,,Gondi,sil-koya-1985-malakanagiri,"devagnanavaram-et-al2021koya[Appendix E, printed p. 100, item 43, Malakanagiri Koya]",silkoya1985:mal:i043:v1
wordlist cell,43,sky,ORI,Oriya,comparison control,,115,110,2,akaʃau,manual-source-image,,tesseract_raw.txt#pdf115,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 110, item 43, Oriya]",
wordlist cell,43,sky,POD,Podia Koya,target,eastern Koya,84,79,3,mabʰu,manual-source-image,,tesseract_raw.txt#pdf84,,installed,,Gondi,sil-koya-1985-podia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 79, item 43, Podia Koya]",silkoya1985:pod:i043:v1
wordlist cell,43,sky,TEL,Telugu,comparison control,,115,110,1,aːkaʃamu,manual-source-image,,tesseract_raw.txt#pdf115,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 110, item 43, Telugu]",
wordlist cell,43,sky,UTN,Utnoor Gondi,target,western Gondi,94,89,1,aːbʌl,manual-source-image,,tesseract_raw.txt#pdf94,aːbʌl,installed,,Gondi,sil-koya-1985-utnoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 89, item 43, Utnoor Gondi]",silkoya1985:utn:i043:v1
wordlist cell,44,star,BHG,Bhamani Gondi,target,western Gondi,94,89,2,ukˑa,manual-source-image,,tesseract_raw.txt#pdf94,ukˑa,installed,,Gondi,sil-koya-1985-bhamani-gondi,"devagnanavaram-et-al2021koya[Appendix E, printed p. 89, item 44, Bhamani Gondi]",silkoya1985:bhg:i044:v1
wordlist cell,44,star,BHM,Bhamani Madia,target,western Madia,94,89,3,ukˑa,manual-source-image,,tesseract_raw.txt#pdf94,ukˑa,installed,,Gondi,sil-koya-1985-bhamani-madia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 89, item 44, Bhamani Madia]",silkoya1985:bhm:i044:v1
wordlist cell,44,star,CHI,Chintoor Koya,target,eastern Koya,84,79,2,ukːa,manual-source-image,,tesseract_raw.txt#pdf84,,installed,,Gondi,sil-koya-1985-chintoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 79, item 44, Chintoor Koya]",silkoya1985:chi:i044:v1
wordlist cell,44,star,JAG,Jaganathapuram Koya,target,eastern Koya,84,79,1,okːa,manual-source-image,,tesseract_raw.txt#pdf84,,installed,,Gondi,sil-koya-1985-jaganathapuram,"devagnanavaram-et-al2021koya[Appendix E, printed p. 79, item 44, Jaganathapuram Koya]",silkoya1985:jag:i044:v1
wordlist cell,44,star,MAL,Malakanagiri Koya,target,eastern Koya,105,100,1,uːkaːk,manual-source-image,,tesseract_raw.txt#pdf105,,installed,,Gondi,sil-koya-1985-malakanagiri,"devagnanavaram-et-al2021koya[Appendix E, printed p. 100, item 44, Malakanagiri Koya]",silkoya1985:mal:i044:v1
