Status,Reason,Entry_Key,PDF_Page,Printed_Page,Printed_Head,Form,Variants,Sense,Definition,Tags,References,DEDR_IDs,Unresolved_DEDR_IDs,Variant_Of_Key,Raw_Entry
ingested,,bhaskararao-toda2025:p29:e16,45,29,ïḍ- (ïṭ-),ïḍ-,ïṭ-,,"to put, place, give, bulge, throw, hit against, wear (jewelry any- whereexceptaroundneck), toputondress;(sun)shines,(wind)blows",verb tr intr,"emeneau-toda1984[p. 12, passim]|bhaskararao-toda-notes[p. 24]",442,,,"ïḍ- (ïṭ-) vt., vi. to put, place, give, bulge, throw, hit against, wear (jewelry any- whereexceptaroundneck), toputondress;(sun)shines,(wind)blows. RSLST 14, DEDR 442, TGT 12, passim, PB 24"
ingested,,bhaskararao-toda2025:p29:e17,45,29,ïḍc- (ïḍč-),ïḍc-,ïḍč-,,"to set fire to, to light a cigarette, to spread rumors (piːṇ ïḍč-)",verb tr,bhaskararao-toda-notes[p. 24],,,,"ïḍc- (ïḍč-) vt. to set fire to, to light a cigarette, to spread rumors (piːṇ ïḍč-). PB 24 2"
ingested,,bhaskararao-toda2025:p29:e18,45,29,ïḍč-,ïḍč-,,,S ofïḍc-,verb,,,,,ïḍč- v. S ofïḍc-
ingested,,bhaskararao-toda2025:p29:e19,45,29,ïḍoyfy poːty,ïḍoyfy poːty,,,name of a tree,noun,bhaskararao-toda-notes[p. 199],,,,ïḍoyfy poːty n. name of a tree. PB 199 2
ingested,,bhaskararao-toda2025:p29:e20,45,29,ïḍy-,ïḍy-,,,S ofïḍ- ‘to limp’,verb,,,,,ïḍy- v. S ofïḍ- ‘to limp’
ingested,,bhaskararao-toda2025:p29:e21,45,29,ïfaːɫ̣,ïfaːɫ̣,,,front courtyard of the house,noun,bhaskararao-toda-notes[p. 24],,,,ïfaːɫ̣ n. front courtyard of the house. PB 24
ingested,,bhaskararao-toda2025:p29:e22,45,29,ï fot wïḏ,ï fot wïḏ,,,twenty-one,num,emeneau-toda1984[p. 105],,,,ï fot wïḏ num. twenty-one. TGT 105
ingested,,bhaskararao-toda2025:p29:e23,45,29,ï foθ,ï foθ,,,twenty,num,emeneau-toda1984[p. 105]|bhaskararao-toda-notes[p. 24],474|3918,,,"ï foθ num. twenty. DEDR 474,3918, TGT 105, PB 24"
ingested,,bhaskararao-toda2025:p29:e24,45,29,ï(g) gïs,ï(g) gïs,,,"in this manner, doing in this way/like this",demonstrative adv,"emeneau-toda1984[p. 10, 101]|bhaskararao-toda-notes[p. 24]",410,,,"ï(g) gïs dem.adv. in this manner, doing in this way/like this. DEDR 410, TGT 10, 101, PB 24"
ingested,,bhaskararao-toda2025:p29:e25,45,29,ïï,ïï,,,excl. said by audience in response to a narrator saying ïni,interj,,643,,,ïï itj. excl. said by audience in response to a narrator saying ïni. DEDR 643
ingested,,bhaskararao-toda2025:p29:e26,45,29,-ïk,-ïk,,,like,suffix,emeneau-toda1984[p. 180],,,,-ïk suff. like. TGT 180
ingested,,bhaskararao-toda2025:p29:e27,45,29,ïkïl,ïkïl,,,"slippery, ïkïl oːɫaːṟ̣ ‘slippery path’",adj adv,bhaskararao-toda-notes[p. 28],,,,"ïkïl a., adv. slippery, ïkïl oːɫaːṟ̣ ‘slippery path’. PB 28"
ingested,,bhaskararao-toda2025:p30:e1,46,30,ïl,ïl,,,like this (also ïs̱),demonstrative adv,emeneau-toda1984[p. 10],,,,ïl dem.adv. like this (also ïs̱). TGT 10
ingested,,bhaskararao-toda2025:p30:e2,46,30,ïm,ïm,,,double,adj,,474,,,ïm a. double. DEDR 474
ingested,,bhaskararao-toda2025:p30:e3,46,30,ï maːṟ,ï maːṟ,,,two sides,noun,emeneau-toda1984[p. 40],,,,ï maːṟ n. two sides. TGT 40
ingested,,bhaskararao-toda2025:p30:e4,46,30,"ï maːṟm, ï maːṟkm, ï maːṟs̱m","ï maːṟm, ï maːṟkm, ï maːṟs̱m",,,on both sides,adv,emeneau-toda1984[p. 107],,,,"ï maːṟm, ï maːṟkm, ï maːṟs̱m adv. on both sides. TGT 107"
ingested,,bhaskararao-toda2025:p30:e5,46,30,ïmmuṛy-s̱ kas̱,ïmmuṛy-s̱ kas̱,,,the two beautiful stones at Teːfaːx village,noun,bhaskararao-toda-notes[p. 87],,,,ïmmuṛy-s̱ kas̱ n. the two beautiful stones at Teːfaːx village. PB 87
ingested,,bhaskararao-toda2025:p30:e6,46,30,ïmmuːn-m,ïmmuːn-m,,,bothsides(ï ‘2’),noun,bhaskararao-toda-notes[p. 24],,,,ïmmuːn-m n. bothsides(ï ‘2’). PB 24
ingested,,bhaskararao-toda2025:p30:e7,46,30,ïmu,ïmu,,,"twins (pl. ïmuaːm ‘twins on more than one occasion’), ïmu mox ‘twin boys’, ïmu xuːx ‘twin girls’",noun,"emeneau-toda1984[p. 25, 108]|bhaskararao-toda-notes[p. 24]",474,,,"ïmu n. twins (pl. ïmuaːm ‘twins on more than one occasion’), ïmu mox ‘twin boys’, ïmu xuːx ‘twin girls’. DEDR 474, TGT 25, 108, PB 24"
ingested,,bhaskararao-toda2025:p30:e8,46,30,ïn,ïn,,,"other, more,ïnfaːṇaːm‘otherfeasts’,ïnofoḏy ‘alltheothers’,ïnwïḏ ‘other one, another’",adj,"emeneau-toda1984[p. 50, 66]|bhaskararao-toda-notes[p. 25]",410,,,"ïn a. other, more,ïnfaːṇaːm‘otherfeasts’,ïnofoḏy ‘alltheothers’,ïnwïḏ ‘other one, another’. DEDR 410a, TGT 50, 66, PB 25"
ingested,,bhaskararao-toda2025:p30:e9,46,30,ïn,ïn,,,"hereafter, then",adv,,,,,"ïn adv. hereafter, then. Sak. 277"
ingested,,bhaskararao-toda2025:p30:e10,46,30,ïn- (ïḏ-),ïn-,ïḏ-,,"to say (so-and-so); as a light verb, e.g., tüf ïn- ‘to spit’, tic ïn- ‘to taste sweet’",verb tr,"emeneau-toda1984[p. 38, passim]",868,,,"ïn- (ïḏ-) vt. to say (so-and-so); as a light verb, e.g., tüf ïn- ‘to spit’, tic ïn- ‘to taste sweet’. RSLST 82, DEDR 868, TGT 38, passim"
ingested,,bhaskararao-toda2025:p30:e11,46,30,ïneṯs̱,ïneṯs̱,,,from yesterday,adv,bhaskararao-toda-notes[p. 24],,,,ïneṯs̱ adv. from yesterday. PB 24
ingested,,bhaskararao-toda2025:p30:e12,46,30,ïneːṟ,ïneːṟ,,,"yesterday (PBïneṟ), ïneːṟ ekaṛ ‘last evening’",adv,"emeneau-toda1984[p. 25, 89]|bhaskararao-toda-notes[p. 24]",3758,,,"ïneːṟ adv. yesterday (PBïneṟ), ïneːṟ ekaṛ ‘last evening’. DEDR 3758, TGT 25, 89, PB 24"
ingested,,bhaskararao-toda2025:p30:e13,46,30,ïn-g =ïšky,ïn-g =ïšky,,,for some reason,adv,bhaskararao-toda-notes[p. 14],,,,ïn-g =ïšky adv. for some reason. PB 14
ingested,,bhaskararao-toda2025:p30:e14,46,30,ïngoːw,ïngoːw,,,buffalo of Noːs̱ clan (kwas̱m),noun,,,,,ïngoːw n. buffalo of Noːs̱ clan (kwas̱m). Sak. 277
ingested,,bhaskararao-toda2025:p30:e15,46,30,ïni,ïni,,,yes! (also ǫːɦǫː),interj,emeneau-toda1984[p. 188],,,,ïni itj. yes! (also ǫːɦǫː) TGT 188
ingested,,bhaskararao-toda2025:p30:e16,46,30,ïni? ïni?,ïni? ïni?,,,excl. said by narrator at end of every sentence in telling a story,interj,,643,,,ïni? ïni? itj. excl. said by narrator at end of every sentence in telling a story. DEDR 643
ingested,,bhaskararao-toda2025:p30:e17,46,30,ïn-m,ïn-m,,,"still, more, yet; ïn-m peːk ïyi ‘(We) need more.’",adv,bhaskararao-toda-notes[p. 24],,,,"ïn-m adv. still, more, yet; ïn-m peːk ïyi ‘(We) need more.’ PB 24, Sak. 277"
ingested,,bhaskararao-toda2025:p30:e18,46,30,ïn-mil,ïn-mil,,,hereafter,conj,emeneau-toda1984[p. 86]|bhaskararao-toda-notes[p. 25],,,,"ïn-mil conj. hereafter. TGT 86, PB 25"
ingested,,bhaskararao-toda2025:p30:e19,46,30,ïn oːfïsnwïṛ,ïn oːfïsnwïṛ,,,or (lit. ‘if it is otherwise’),conj,"emeneau-toda1984[p. 65, 68]",,,,"ïn oːfïsnwïṛ conj. or (lit. ‘if it is otherwise’) TGT 65, 68"
ingested,,bhaskararao-toda2025:p30:e20,46,30,ïnoːṯfiːšty,ïnoːṯfiːšty,,,buffalo of Kaːs̱ clan (kwas̱m),noun,,,,,ïnoːṯfiːšty n. buffalo of Kaːs̱ clan (kwas̱m). Sak. 277
ingested,,bhaskararao-toda2025:p30:e21,46,30,ïn-u,ïn-u,,,what is it? (also ïnnuː),interr multiword-expression,"bhaskararao-toda-notes[p. 14, 25]",,,,"ïn-u int.phr. what is it? (also ïnnuː). PB 14, 25"
ingested,,bhaskararao-toda2025:p30:e22,46,30,ï nuːṟ,ï nuːṟ,,,200,num,emeneau-toda1984[p. 105],474,,,"ï nuːṟ num. 200. DEDR 474, TGT 105"
ingested,,bhaskararao-toda2025:p30:e23,46,30,ïn-wïḏ,ïn-wïḏ,,,"other one, another",noun adj,emeneau-toda1984[p. 66]|bhaskararao-toda-notes[p. 25],,,,"ïn-wïḏ n., a. other one, another. TGT 66; PB 25"
ingested,,bhaskararao-toda2025:p30:e24,46,30,ïn-wïn,ïn-wïn,,,"another, ïn-wïn noːɫ ‘anotheṛ day’",adj,bhaskararao-toda-notes[p. 25],,,,"ïn-wïn a. another, ïn-wïn noːɫ ‘anotheṛ day’. PB 25"
ingested,,bhaskararao-toda2025:p30:e25,46,30,ïn-wïːr oːṛ,ïn-wïːr oːṛ,,,one more year,noun,bhaskararao-toda-notes[p. 74],,,,ïn-wïːr oːṛ n. one more year. PB 74
ingested,,bhaskararao-toda2025:p30:e26,46,30,ïṇ,ïṇ,,,"the dead; ïṇoːṛ ‘the world of the dead’ (noːṛ ‘place’); ïṇ ṭöw, ïṇḍöw ‘the godofthedead’(=Öːn)",noun,emeneau-toda1984[p. 33],4157,,,"ïṇ n. the dead; ïṇoːṛ ‘the world of the dead’ (noːṛ ‘place’); ïṇ ṭöw, ïṇḍöw ‘the godofthedead’(=Öːn). RSLST 24, DEDR 4157, TGT 33"
ingested,,bhaskararao-toda2025:p30:e27,46,30,ïṇ ḍöw,ïṇ ḍöw,,,the god of the dead,noun,emeneau-toda1984[p. 11],,,,ïṇ ḍöw n. the god of the dead. TGT 11
ingested,,bhaskararao-toda2025:p30:e28,46,30,ïṇïr,ïṇïr,,,buffalo of Noːṣ clan,noun,,,,,ïṇïr n. buffalo of Noːṣ clan. Sak. 277
ingested,,bhaskararao-toda2025:p30:e29,46,30,ïṇkity,ïṇkity,,,name of a mund,proper-noun,,,,,ïṇkity prop. name of a mund. Sak. 277
ingested,,bhaskararao-toda2025:p30:e30,46,30,ïṇmoːs,ïṇmoːs,,,name of a buffalo,proper-noun,,,,,ïṇmoːs prop. name of a buffalo. Sak. 277
ingested,,bhaskararao-toda2025:p31:e1,47,31,ïr,ïr,,,female buffalo,noun,bhaskararao-toda-notes[p. 25],816,,,"ïr n. female buffalo. RSLST 11, DEDR 816, PB 25"
ingested,,bhaskararao-toda2025:p31:e2,47,31,-ïr- (-ïθ-),-ïr-,-ïθ-,,"of the perfective-continuative aspect (with a past non-finite verb, 2 i.e., S -s)",verb auxiliary,emeneau-toda1984[p. 173],480,,,"-ïr- (-ïθ-) aux. of the perfective-continuative aspect (with a past non-finite verb, 2 i.e., S -s). DEDR 0480, TGT 173"
ingested,,bhaskararao-toda2025:p31:e3,47,31,ïr- (ïθ-),ïr-,ïθ-,,"to sit, remain, live (as in wïɫt-oy-ïr ‘live happily’)",verb intr,"emeneau-toda1984[p. 40, passim]|bhaskararao-toda-notes[p. 25]",480,,,"ïr- (ïθ-) vi. to sit, remain, live (as in wïɫt-oy-ïr ‘live happily’). DEDR 480, TGT 40, passim, PB 25"
ingested,,bhaskararao-toda2025:p31:e4,47,31,ïr arkym pïṛ- (pïṭ-),ïr arkym pïṛ-,pïṭ-,,to carry the vow in the shape of buffalo,verb,bhaskararao-toda-notes[p. 117],,,,ïr arkym pïṛ- (pïṭ-) v. to carry the vow in the shape of buffalo. PB 117
ingested,,bhaskararao-toda2025:p31:e5,47,31,ïr aṛpïn kwïṛtt,ïr aṛpïn kwïṛtt,,,giving a buffalo as a gift,noun,bhaskararao-toda-notes[p. 27],,,,ïr aṛpïn kwïṛtt n. giving a buffalo as a gift. PB 27
ingested,,bhaskararao-toda2025:p31:e6,47,31,ïrb,ïrb,,,ant (cf. irp),noun,"bhaskararao-toda-notes[p. 1, 25]",864,,,"ïrb n. ant (cf. irp). DEDR 864, PB 1, 25"
ingested,,bhaskararao-toda2025:p31:e7,47,31,ïr faṯyt,ïr faṯyt,,,catching buffaloes during funeral (for sacrifice),noun,bhaskararao-toda-notes[p. 27],,,,ïr faṯyt n. catching buffaloes during funeral (for sacrifice). PB 27
ingested,,bhaskararao-toda2025:p31:e8,47,31,ïr-fïɫ maṟỵ,ïr-fïɫ maṟỵ,,,the bird that travels on the back of buffaloes,noun,bhaskararao-toda-notes[p. 26],,,,ïr-fïɫ maṟỵ n. the bird that travels on the back of buffaloes. PB 26
ingested,,bhaskararao-toda2025:p31:e9,47,31,ïr fïːt,ïr fïːt,,,taking buffalos from one ïtwïḍ moḏ to another ïtwïḍ moḏ along with the priests (poɫỵ xaṟθpoːɫ oṛwïs̱oːɫ oṛ both of them),noun,emeneau-toda1984[p. 94]|bhaskararao-toda-notes[p. 26],,,,ïr fïːt n. taking buffalos from one ïtwïḍ moḏ to another ïtwïḍ moḏ along with the priests (poɫỵ xaṟθpoːɫ oṛwïs̱oːɫ oṛ both of them). TGT 94; PB 26
ingested,,bhaskararao-toda2025:p31:e10,47,31,ïr foːl fïy- (fïs-),ïr foːl fïy-,fïs-,,the ceremony of giving a name to a buffalo when it has born its first calf (= koːy wïṛk- (wïṛky-); Rivers: îrpâlvusthi),noun,,,,,ïr foːl fïy- (fïs-) n. the ceremony of giving a name to a buffalo when it has born its first calf (= koːy wïṛk- (wïṛky-); Rivers: îrpâlvusthi). RSLST 15
ingested,,bhaskararao-toda2025:p31:e11,47,31,ïr-foːl kuṛyt,ïr-foːl kuṛyt,,,"a function: When many buffaloes die due to some disease or so, thenthehornsofallofthemarecollectedandputinacircle. TherealltheTodas pray for the welfare of all the buffaloes (dead and remaining)",noun,bhaskararao-toda-notes[p. 26],,,,"ïr-foːl kuṛyt n. a function: When many buffaloes die due to some disease or so, thenthehornsofallofthemarecollectedandputinacircle. TherealltheTodas pray for the welfare of all the buffaloes (dead and remaining). PB 26"
ingested,,bhaskararao-toda2025:p31:e12,47,31,ïr-foːl pïs-t,ïr-foːl pïs-t,,,"(poːl ‘tail’, pïy ‘tapping’) a ceremony same as ïr-mïs paṯyt, but conducted by people of Toṟoːṛ clan. Here poːl most probably refers to poːs̱m ‘tail’. In the ceremony of ïr-mïs paṯyt and in ïrpoːl pïs-t, the rear portion of the buffalo is tapped three times",noun,bhaskararao-toda-notes[p. 25],,,,"ïr-foːl pïs-t n. (poːl ‘tail’, pïy ‘tapping’) a ceremony same as ïr-mïs paṯyt, but conducted by people of Toṟoːṛ clan. Here poːl most probably refers to poːs̱m ‘tail’. In the ceremony of ïr-mïs paṯyt and in ïrpoːl pïs-t, the rear portion of the buffalo is tapped three times. PB 25"
ingested,,bhaskararao-toda2025:p31:e13,47,31,ïr foːṟ,ïr foːṟ,,,"small skin tags/warts [buffalo-arm?] that grows on the neck, hands etc. (the treatment for this is take apoːfeṭ koːy, put it in the wart and then put it on a swampplace—this has to be done by the močin of the affected)",noun,"bhaskararao-toda-notes[p. 8, 210]",,,,"ïr foːṟ n. small skin tags/warts [buffalo-arm?] that grows on the neck, hands etc. (the treatment for this is take apoːfeṭ koːy, put it in the wart and then put it on a swampplace—this has to be done by the močin of the affected). PB 8, 210"
ingested,,bhaskararao-toda2025:p31:e14,47,31,ïr-foːs̱ o ɫ ỵ t,ïr-foːs̱ o ɫ ỵ t,,,"aftermilkingthebuffaloesofthetemple, wïs-oː̱ɫtapṣ all the temple buffaloes 3 times. This is done on up-oɫyṭ day",noun,bhaskararao-toda-notes[p. 26],,,,"ïr-foːs̱ o ɫ ỵ t n. aftermilkingthebuffaloesofthetemple, wïs-oː̱ɫtapṣ all the temple buffaloes 3 times. This is done on up-oɫyṭ day. PB 26"
ingested,,bhaskararao-toda2025:p31:e15,47,31,ïr-föːr kirčt,ïr-föːr kirčt,,,calling the buffalo by its name,noun,bhaskararao-toda-notes[p. 26],,,,ïr-föːr kirčt n. calling the buffalo by its name. PB 26
ingested,,bhaskararao-toda2025:p31:e16,47,31,ïr-föːr xis̱-,ïr-föːr xis̱-,,,to call out buffalo names to amuse oneself,verb intr,,1574,,,ïr-föːr xis̱- vi. to call out buffalo names to amuse oneself. DEDR 1574
ingested,,bhaskararao-toda2025:p31:e17,47,31,ïr-fuːθ,ïr-fuːθ,,,place where buffaloes disappear (in going to the world of the dead),proper-noun,emeneau-toda1984[p. 194],,,,ïr-fuːθ prop. place where buffaloes disappear (in going to the world of the dead) TGT 194
ingested,,bhaskararao-toda2025:p31:e18,47,31,ïr iːpy,ïr iːpy,,,bee (?) or gadfly that infests buffaloes,noun,bhaskararao-toda-notes[p. 1],,,,ïr iːpy n. bee (?) or gadfly that infests buffaloes. PB 1
ingested,,bhaskararao-toda2025:p31:e19,47,31,ïr kub-k fiːy-t,ïr kub-k fiːy-t,,,taking buffaloes out in the morning for grazing,noun,bhaskararao-toda-notes[p. 26],,,,ïr kub-k fiːy-t n. taking buffaloes out in the morning for grazing. PB 26
ingested,,bhaskararao-toda2025:p31:e20,47,31,ïr-k up koːṭyt,ïr-k up koːṭyt,,,showing salt to a buffalo (as a petting since they like it),noun,bhaskararao-toda-notes[p. 27],,,,ïr-k up koːṭyt n. showing salt to a buffalo (as a petting since they like it). PB 27
ingested,,bhaskararao-toda2025:p31:e21,47,31,ïr kwaṛ eːtyt,ïr kwaṛ eːtyt,,,taking a buffalo as a penalty/fine from somebody after it is de- cided by noːym,noun,bhaskararao-toda-notes[p. 27],,,,ïr kwaṛ eːtyt n. taking a buffalo as a penalty/fine from somebody after it is de- cided by noːym. PB 27
ingested,,bhaskararao-toda2025:p31:e22,47,31,ïr kwaːy,ïr kwaːy,,,vessel used to pass butter and buttermilk from vessels of the inner room to vessels of the outer room (and so to avoid any possibility of the inner vessels being polluted by contacts with outside objects),noun,,,,,ïr kwaːy n. vessel used to pass butter and buttermilk from vessels of the inner room to vessels of the outer room (and so to avoid any possibility of the inner vessels being polluted by contacts with outside objects). RSLST 11
ingested,,bhaskararao-toda2025:p32:e1,48,32,ïr kwïːṭ-k peṇ udyt,ïr kwïːṭ-k peṇ udyt,,,(at the time of sacrifice) applying butter to the horns of the sacrificial buffalo,noun,bhaskararao-toda-notes[p. 28],,,,ïr kwïːṭ-k peṇ udyt n. (at the time of sacrifice) applying butter to the horns of the sacrificial buffalo. PB 28
ingested,,bhaskararao-toda2025:p32:e2,48,32,ïr meṛtt,ïr meṛtt,,,settling in another village along with buffaloes,noun,bhaskararao-toda-notes[p. 27],,,,ïr meṛtt n. settling in another village along with buffaloes. PB 27
ingested,,bhaskararao-toda2025:p32:e3,48,32,ïr mïs,ïr mïs,,,"teat/nipple of a buffalo; milch buffalo in the following contexts: ïr-mïs kwïṛ- ‘to give a milch buffalo’, ïr-mïs̱ pent- ‘to ask for milch buffalo’, ïr-mïs̱ eːf- ‘to take a milch buffalo’",noun,bhaskararao-toda-notes[p. 25],,,,"ïr mïs n. teat/nipple of a buffalo; milch buffalo in the following contexts: ïr-mïs kwïṛ- ‘to give a milch buffalo’, ïr-mïs̱ pent- ‘to ask for milch buffalo’, ïr-mïs̱ eːf- ‘to take a milch buffalo’. PB 25"
ingested,,bhaskararao-toda2025:p32:e4,48,32,ïr-mïspaṯyt,ïr-mïspaṯyt,,,ceremonyofthefirstmilkingandgivingnametoatemplebuffalo (postïr). cf. ïr-mïs̱ faṯyt ‘touching the teat of a buffalo’,noun,bhaskararao-toda-notes[p. 25],,,,ïr-mïspaṯyt n. ceremonyofthefirstmilkingandgivingnametoatemplebuffalo (postïr). cf. ïr-mïs̱ faṯyt ‘touching the teat of a buffalo’. PB 25
ingested,,bhaskararao-toda2025:p32:e5,48,32,ïr moṛst,ïr moṛst,,,buffalo catching foot and mouth disease,noun,bhaskararao-toda-notes[p. 27],,,,ïr moṛst n. buffalo catching foot and mouth disease. PB 27
ingested,,bhaskararao-toda2025:p32:e6,48,32,ïr moy-naṛ- (naṛθ-),ïr moy-naṛ-,naṛθ-,,take buffalo for the moy-naṛθ ceremony,verb tr,bhaskararao-toda-notes[p. 83],,,,ïr moy-naṛ- (naṛθ-) vt. take buffalo for the moy-naṛθ ceremony. PB 83
ingested,,bhaskararao-toda2025:p32:e7,48,32,ïr-mušk,ïr-mušk,,,"grasshopper(considereddangerouswheneatenbyacattlealongwith the grass), cf. Ta.veṭṭukiḷai",noun,bhaskararao-toda-notes[p. 1],,,,"ïr-mušk n. grasshopper(considereddangerouswheneatenbyacattlealongwith the grass), cf. Ta.veṭṭukiḷai. PB 1"
ingested,,bhaskararao-toda2025:p32:e8,48,32,ïr-muːn,ïr-muːn,,,"evening time when buffaloes return home (with their faces visible); People, especially pregnant womenmaygetshiveringfeveriftheygooutatthe time of ïr-muːn or when heːṭ ‘Venus’ is visible or when they go to the river for washing etc",noun,"bhaskararao-toda-notes[p. 22, 26]",,,,"ïr-muːn n. evening time when buffaloes return home (with their faces visible); People, especially pregnant womenmaygetshiveringfeveriftheygooutatthe time of ïr-muːn or when heːṭ ‘Venus’ is visible or when they go to the river for washing etc. PB 22, 26"
ingested,,bhaskararao-toda2025:p32:e9,48,32,ïr muː(n) naṛt- (naṛty-),ïr muː(n) naṛt-,naṛty-,,to put milk into buffalo’s mouth (muːn) while milking,verb,,,,,ïr muː(n) naṛt- (naṛty-) v. to put milk into buffalo’s mouth (muːn) while milking. RSLST 14
ingested,,bhaskararao-toda2025:p32:e10,48,32,ïr muːt faṯyt,ïr muːt faṯyt,,,buffalo sniffing the ground and air in search of its calf or other buffaloes,noun,bhaskararao-toda-notes[p. 27],,,,ïr muːt faṯyt n. buffalo sniffing the ground and air in search of its calf or other buffaloes. PB 27
ingested,,bhaskararao-toda2025:p32:e11,48,32,ïr naṛt- (naṛty-),ïr naṛt-,naṛty-,,"‘to take the buffaloes (ïr) on migration’ in: ïr naṛtyt noːɫ ‘̣the day (noːɫ)̣ of the migration’ (Rivers: îrnòḍrthnol), or ‘to pay a fine of a buffalo ritually’ (Rivers: îrnörtiti)",verb,,,,,"ïr naṛt- (naṛty-) v. ‘to take the buffaloes (ïr) on migration’ in: ïr naṛtyt noːɫ ‘̣the day (noːɫ)̣ of the migration’ (Rivers: îrnòḍrthnol), or ‘to pay a fine of a buffalo ritually’ (Rivers: îrnörtiti). RSLST 14"
ingested,,bhaskararao-toda2025:p32:e12,48,32,ïr naṛtyt,ïr naṛtyt,,,"offering a buffalo (or a heifer) to a temple (poɫyfoːs̱̣ or another kind of temple), etyky ïr naṛtyšpini ‘I offered a buffalo to Hette-amman temple.’",noun,bhaskararao-toda-notes[p. 26],,,,"ïr naṛtyt n. offering a buffalo (or a heifer) to a temple (poɫyfoːs̱̣ or another kind of temple), etyky ïr naṛtyšpini ‘I offered a buffalo to Hette-amman temple.’ PB 26"
ingested,,bhaskararao-toda2025:p32:e13,48,32,ïr-naṛtyt noːɫ̣,ïr-naṛtyt noːɫ̣,,,the day (noːɫ)̣ of the migration,noun,,,,,ïr-naṛtyt noːɫ̣ n. the day (noːɫ)̣ of the migration. RSLST 14
ingested,,bhaskararao-toda2025:p32:e14,48,32,ïr-naṛθp oːɫ̣,ïr-naṛθp oːɫ̣,,,person who drives calf,noun,,,,,ïr-naṛθp oːɫ̣ n. person who drives calf. Sak. 277
ingested,,bhaskararao-toda2025:p32:e15,48,32,ïr naṛθt,ïr naṛθt,,,"migration of buffaloes from one tiː temple to another tiː temple (e.g., majaːṛ tiː to öːnṯöː tiː temple) along with pol-oːɫ anḍ koːlt mox",noun,bhaskararao-toda-notes[p. 26],,,,"ïr naṛθt n. migration of buffaloes from one tiː temple to another tiː temple (e.g., majaːṛ tiː to öːnṯöː tiː temple) along with pol-oːɫ anḍ koːlt mox. PB 26"
ingested,,bhaskararao-toda2025:p32:e16,48,32,ïr nöṛt,ïr nöṛt,,,the offering of a buffalo calf to tiː,noun,,,,,ïr nöṛt n. the offering of a buffalo calf to tiː. Sak. 277
ingested,,bhaskararao-toda2025:p32:e17,48,32,ïr oṛy faṯyt,ïr oṛy faṯyt,,,a female buffalo sniffs the hoof prints of other buffaloes (in search of a mate; see oṛy-faṯ),verb,bhaskararao-toda-notes[p. 27],,,,ïr oṛy faṯyt v. a female buffalo sniffs the hoof prints of other buffaloes (in search of a mate; see oṛy-faṯ). PB 27
ingested,,bhaskararao-toda2025:p33:e1,49,33,ïr öštyt,ïr öštyt,,,telling the name of a buffalo by a dying person — the buffalo to be sacrificed for his/her funeral,noun,bhaskararao-toda-notes[p. 27],,,,ïr öštyt n. telling the name of a buffalo by a dying person — the buffalo to be sacrificed for his/her funeral. PB 27
ingested,,bhaskararao-toda2025:p33:e2,49,33,ïr paɫtt,ïr paɫtt,,,buying and bringing a buffalo,noun,bhaskararao-toda-notes[p. 27],,,,ïr paɫtt n. buying and bringing a buffalo. PB 27
ingested,,bhaskararao-toda2025:p33:e3,49,33,ïr peːn,ïr peːn,,,buffalo lice,noun,bhaskararao-toda-notes[p. 1],,,,ïr peːn n. buffalo lice. PB 1
ingested,,bhaskararao-toda2025:p33:e4,49,33,ïr pïlpoːɫ x̣ïs kwïṛtt,ïr pïlpoːɫ x̣ïs kwïṛtt,,,giving a buffalo as a pïlpoːɫ ḍuring pïs̱-ïḍt ceremony,noun,bhaskararao-toda-notes[p. 27],,,,ïr pïlpoːɫ x̣ïs kwïṛtt n. giving a buffalo as a pïlpoːɫ ḍuring pïs̱-ïḍt ceremony. PB 27
ingested,,bhaskararao-toda2025:p33:e5,49,33,ïr poṇm,ïr poṇm,,,"buffaloes and money, i.e. movable possessions",noun,emeneau-toda1984[p. 65],,,,"ïr poṇm n. buffaloes and money, i.e. movable possessions. TGT 65"
ingested,,bhaskararao-toda2025:p33:e6,49,33,ïr teṟ kwïṛtt,ïr teṟ kwïṛtt,,,giving a buffalo as teṟ,noun,bhaskararao-toda-notes[p. 27],,,,ïr teṟ kwïṛtt n. giving a buffalo as teṟ. PB 27
ingested,,bhaskararao-toda2025:p33:e7,49,33,ïr θoṇm,ïr θoṇm,,,"buffaloes and cows, i.e. cattle in general",noun,emeneau-toda1984[p. 65],,,,"ïr θoṇm n. buffaloes and cows, i.e. cattle in general. TGT 65"
ingested,,bhaskararao-toda2025:p33:e8,49,33,ïr θwïːk oːṣf- (oːṣt-),ïr θwïːk oːṣf-,oːṣt-,,"to put the buffaloes (ïr) in the pen (twïːk, dat. of twïː, DED 2905) (= ïr θwïːk ïḍ-)",verb,,,,,"ïr θwïːk oːṣf- (oːṣt-) v. to put the buffaloes (ïr) in the pen (twïːk, dat. of twïː, DED 2905) (= ïr θwïːk ïḍ-). RSLST 15"
ingested,,bhaskararao-toda2025:p33:e9,49,33,ïr unct,ïr unct,,,thinkingofabuffalo(aTodapersonisexpectedtoknowwhatabuffalo thinks — its psychology),noun,bhaskararao-toda-notes[p. 27],,,,ïr unct n. thinkingofabuffalo(aTodapersonisexpectedtoknowwhatabuffalo thinks — its psychology). PB 27
