Row,Language_ID,Form,Gloss,Phonemic,Parameter_ID,Distance,Evidence_Language_ID,Evidence_Form,Basis
2800,NazimabadUpperSust,hiṣ̌mɑˈhiiṣ̌,buffalo,hiʂmɑˈhiiʂ,10113,0.000,Domaaki,hiṣ̌mɑhíiṣ̌,shared lexical component
4193,Passu,sprɛɣɛn gubi,cauliflower,s̪pr̪ɛɣɛn̪+gubi,4270,0.636,Shimshal,gubi,shared lexical component
4195,Chapursan,spreɣ gobi,cauliflower,s̪pr̪eɣ+gobi,4270,0.556,Pashto,gobi,shared lexical component
4196,Yasin,sɪprɛɣɛn gobi,cauliflower,s̪ɪpr̪ɛɣɛn̪+gobi,4270,0.667,Pashto,gobi,shared lexical component
4197,Ishkoman,spreɣ gobi,cauliflower,s̪pr̪eɣ+gobi,4270,0.556,Pashto,gobi,shared lexical component
4203,Shimshal,bʌnd gobi,cabbage,bɜn̪d+gobi,4270,0.500,Hussainabad,gobi,shared lexical component
4204,Chapursan,bʌnd gobi,cabbage,bɜn̪d+gobi,4270,0.500,Hussainabad,gobi,shared lexical component
4205,Yasin,bʌnd gobi,cabbage,bɜn̪d+gobi,4270,0.500,Hussainabad,gobi,shared lexical component
4206,Ishkoman,bʌnd gobi,cabbage,bɜn̪d+gobi,4270,0.500,Hussainabad,gobi,shared lexical component
4485,Yasin,kɨṭʰ,short,kɨʈʰ,3895,0.250,Passu,kuṭʰ,unique close phonological match
4486,Ishkoman,kɨṭʰ,short,kɨʈʰ,3895,0.250,Passu,kuṭʰ,unique close phonological match
4926,Domaaki,bʌnd ˈgobi,cabbage,bɜn̪d+ˈgobi,4270,0.500,Hussainabad,gobi,shared lexical component
7197,Rondu,kiṇo bɑˈlugʊn,eggplant,kiɳo+bɑˈlugʊn̪,11503,0.500,Jalkot,ˈkiṇo ˈbɑtiŋɑṛʌ,shared lexical component
7198,Gahorabad,ˈkiṇo bɑˈlugʊn,eggplant,ˈkiɳo+bɑˈlugʊn̪,11503,0.500,Jalkot,ˈkiṇo ˈbɑtiŋɑṛʌ,shared lexical component
7203,ChilasKhinar,ˈkiṇo bɑluˈgʊn,eggplant,ˈkiɳo+bɑluˈgʊn̪,11503,0.500,Jalkot,ˈkiṇo ˈbɑtiŋɑṛʌ,shared lexical component
7204,ChilasJelil,ˈkiṇo bɑluˈgʊn,eggplant,ˈkiɳo+bɑluˈgʊn̪,11503,0.500,Jalkot,ˈkiṇo ˈbɑtiŋɑṛʌ,shared lexical component
7206,Tangir,ˈkiṇo bɑluˈgʊn,eggplant,ˈkiɳo+bɑluˈgʊn̪,11503,0.500,Jalkot,ˈkiṇo ˈbɑtiŋɑṛʌ,shared lexical component
7207,Sazin,ˈkiṇo bɑluˈgʊn,eggplant,ˈkiɳo+bɑluˈgʊn̪,11503,0.500,Jalkot,ˈkiṇo ˈbɑtiŋɑṛʌ,shared lexical component
7208,Harban,ˈkiṇo bɑluˈgʊn,eggplant,ˈkiɳo+bɑluˈgʊn̪,11503,0.500,Jalkot,ˈkiṇo ˈbɑtiŋɑṛʌ,shared lexical component
7351,Gupis,pʰʊl ˈgobi,cauliflower,pʰʊl+ˈgobi,4270,0.500,Pashto,gobi,shared lexical component
7352,Punial,pʰʊl ˈgobi,cauliflower,pʰʊl+ˈgobi,4270,0.500,Pashto,gobi,shared lexical component
7353,HunzaNasirabad,pʰul ˈgobi,cauliflower,pʰul+ˈgobi,4270,0.500,Pashto,gobi,shared lexical component
7355,NagarChalt,pʰul ˈgobi,cauliflower,pʰul+ˈgobi,4270,0.500,Pashto,gobi,shared lexical component
7356,Gilgit,pʰul ˈgobi,cauliflower,pʰul+ˈgobi,4270,0.500,Pashto,gobi,shared lexical component
7357,Haramosh,pʰul ˈgobi,cauliflower,pʰul+ˈgobi,4270,0.500,Pashto,gobi,shared lexical component
7358,Bagrot,pʰul ˈgobi,cauliflower,pʰul+ˈgobi,4270,0.500,Pashto,gobi,shared lexical component
7359,Bunji,ˈfʊl ˈgobi,cauliflower,ˈfʊl+ˈgobi,4270,0.429,Pashto,gobi,shared lexical component
7360,Rondu,pʰul gobi,cauliflower,pʰul+gobi,4270,0.500,Pashto,gobi,shared lexical component
7361,Gahorabad,pʰul gobi,cauliflower,pʰul+gobi,4270,0.500,Pashto,gobi,shared lexical component
7362,DashkinAstor,pʰul goˈbi,cauliflower,pʰul+goˈbi,4270,0.500,Pashto,gobi,shared lexical component
7363,Astor,pʰul goˈbi,cauliflower,pʰul+goˈbi,4270,0.500,Pashto,gobi,shared lexical component
7364,KachuraJel,pʰul gobi,cauliflower,pʰul+gobi,4270,0.500,Pashto,gobi,shared lexical component
7365,Satpara,pʰul gobi,cauliflower,pʰul+gobi,4270,0.500,Pashto,gobi,shared lexical component
7367,Gultari,pʰul goˈbi,cauliflower,pʰul+goˈbi,4270,0.500,Pashto,gobi,shared lexical component
7369,Dras,pʰul ˈgobi,cauliflower,pʰul+ˈgobi,4270,0.500,Pashto,gobi,shared lexical component
7370,ChilasKhinar,pʰul ˈgobi,cauliflower,pʰul+ˈgobi,4270,0.500,Pashto,gobi,shared lexical component
7371,ChilasJelil,pʰul ˈgobi,cauliflower,pʰul+ˈgobi,4270,0.500,Pashto,gobi,shared lexical component
7372,Darel,pʰul ˈgobi,cauliflower,pʰul+ˈgobi,4270,0.500,Pashto,gobi,shared lexical component
7376,Harban,pʰul gobi,cauliflower,pʰul+gobi,4270,0.500,Pashto,gobi,shared lexical component
7408,Punial,bʌnd ˈgobi,cabbage,bɜn̪d+ˈgobi,4270,0.500,Hussainabad,gobi,shared lexical component
7410,HunzaNasirabad,bʌnd ˈgobi,cabbage,bɜn̪d+ˈgobi,4270,0.500,Hussainabad,gobi,shared lexical component
7411,NagarThol,bʌnd goˈbi,cabbage,bɜn̪d+goˈbi,4270,0.500,Hussainabad,gobi,shared lexical component
7412,NagarChalt,bʌnd ˈgobi,cabbage,bɜn̪d+ˈgobi,4270,0.500,Hussainabad,gobi,shared lexical component
7413,Gilgit,bʌnd ˈgobi,cabbage,bɜn̪d+ˈgobi,4270,0.500,Hussainabad,gobi,shared lexical component
7415,Haramosh,bʌnd ˈgobi,cabbage,bɜn̪d+ˈgobi,4270,0.500,Hussainabad,gobi,shared lexical component
7416,Bagrot,bʌnd ˈgobi,cabbage,bɜn̪d+ˈgobi,4270,0.500,Hussainabad,gobi,shared lexical component
7417,Bunji,bʌnd ˈgobi,cabbage,bɜn̪d+ˈgobi,4270,0.500,Hussainabad,gobi,shared lexical component
7420,Gahorabad,bʌnd gobi,cabbage,bɜn̪d+gobi,4270,0.500,Hussainabad,gobi,shared lexical component
7421,DashkinAstor,bʌnd ˈgobi,cabbage,bɜn̪d+ˈgobi,4270,0.500,Hussainabad,gobi,shared lexical component
7422,Astor,bʌnd ˈgobi,cabbage,bɜn̪d+ˈgobi,4270,0.500,Hussainabad,gobi,shared lexical component
7423,KachuraJel,bʌnd gobi,cabbage,bɜn̪d+gobi,4270,0.500,Hussainabad,gobi,shared lexical component
7426,Gultari,bʌnd ˈgobi,cabbage,bɜn̪d+ˈgobi,4270,0.500,Hussainabad,gobi,shared lexical component
7427,Kharmang,bʌnd gobi,cabbage,bɜn̪d+gobi,4270,0.500,Hussainabad,gobi,shared lexical component
7428,Dras,bʌn ˈgobi,cabbage,bɜn̪+ˈgobi,4270,0.429,Hussainabad,gobi,shared lexical component
7429,ChilasKhinar,bʌnd ˈgobi,cabbage,bɜn̪d+ˈgobi,4270,0.500,Hussainabad,gobi,shared lexical component
7430,ChilasJelil,bʌnd ˈgobi,cabbage,bɜn̪d+ˈgobi,4270,0.500,Hussainabad,gobi,shared lexical component
7431,Darel,bʌnd ˈgobi,cabbage,bɜn̪d+ˈgobi,4270,0.500,Hussainabad,gobi,shared lexical component
7432,Tangir,bʌnd ˈgobi,cabbage,bɜn̪d+ˈgobi,4270,0.500,Hussainabad,gobi,shared lexical component
7433,Sazin,bʌnd ˈgobi,cabbage,bɜn̪d+ˈgobi,4270,0.500,Hussainabad,gobi,shared lexical component
7434,Harban,bʌnd gobi,cabbage,bɜn̪d+gobi,4270,0.500,Hussainabad,gobi,shared lexical component
7894,Punial,pʰɪˈč̣ũni,mosquito,pʰɪˈʈʂũn̪i,9085,0.250,NagarChalt,ˈpʰič̣u̱,unique close phonological match
7907,DashkinAstor,ˈpič̣ʰo̱,mosquito,ˈpiʈʂʰo̠,9085,0.143,Gilgit,ˈpʰič̣ʰo̱,unique close phonological match
7926,Jalkot,ˈpiič̣o̱,mosquito,ˈpiiʈʂo̠,9085,0.167,UyumNagar,ˈpʰič̣o,unique close phonological match
7927,Palas,ˈpiič̣o̱,mosquito,ˈpiiʈʂo̠,9085,0.167,UyumNagar,ˈpʰič̣o,unique close phonological match
7929,Kolai,ˈpʰɪṣ̌u̥,mosquito,ˈpʰɪʂu̥,9085,0.167,NagarChalt,ˈpʰič̣u̱,unique close phonological match
8081,HunzaNasirabad,čɑl bɑɑl,child,tɕɑl+bɑːl,9216,0.571,Gupis,bɑɑ́l,shared lexical component
8085,NagarChalt,čɑl bɑɑl,child,tɕɑl+bɑːl,9216,0.571,Gupis,bɑɑ́l,shared lexical component
8087,Haramosh,bɑɑl čɑl,child,bɑːl+tɕɑl,9216,0.571,Gupis,bɑɑ́l,shared lexical component
8092,Rondu,čuno bɑɑl,child,tɕun̪o+bɑːl,9216,0.625,Gupis,bɑɑ́l,shared lexical component
8094,Gahorabad,čuno bɑɑ́l,child,tɕun̪o+bɑːl,9216,0.625,Gupis,bɑɑ́l,shared lexical component
8098,KachuraJel,čuno bɑɑ́l,child,tɕun̪o+bɑːl,9216,0.625,Gupis,bɑɑ́l,shared lexical component
8100,Satpara,čuno bɑɑ́l,child,tɕun̪o+bɑːl,9216,0.625,Gupis,bɑɑ́l,shared lexical component
8615,Rondu,bʌzuˈkɑli,evening,bɜz̪uˈkɑli,11626,0.250,Haramosh,bʌzᶺˈkɑl,unique close phonological match
