Record_Type,Item,Gloss,Site_Code,Site_Name,Role,PDF_Page,Printed_Page,Column,Manual_Transcription,Manual_Review,Uncertainty,OCR_Evidence,Status,Reason,Language_ID,Dialect_ID,Source,Entry_Keys
wordlist cell,35,axe,CHI,Chikli Ruma,target,47,42,1,akʰe,manual-source-image,,tesseract_raw.txt#pdf47,installed,,ko,sil-korku-1985-chikli-ruma,"stahl2021korku[Appendix F, printed p. 42, item 35, Chikli Ruma]",silkorku1985:chi:i035:v1
wordlist cell,35,axe,KHA,Khanapur Ruma,target,47,42,2,akʰai,manual-source-image,,tesseract_raw.txt#pdf47,installed,,ko,sil-korku-1985-khanapur-ruma,"stahl2021korku[Appendix F, printed p. 42, item 35, Khanapur Ruma]",silkorku1985:kha:i035:v1
wordlist cell,35,axe,KHM,Khamalpur Bondoy,target,80,75,2,akʰe,manual-source-image,,tesseract_raw.txt#pdf80,installed,,ko,sil-korku-1985-khamalpur-bondoy,"stahl2021korku[Appendix F, printed p. 75, item 35, Khamalpur Bondoy]",silkorku1985:khm:i035:v1
wordlist cell,35,axe,LAH,Lahi Bouriya,target,69,64,2,akʰe,manual-source-image,,tesseract_raw.txt#pdf69,installed,,ko,sil-korku-1985-lahi-bouriya,"stahl2021korku[Appendix F, printed p. 64, item 35, Lahi Bouriya]",silkorku1985:lah:i035:v1
wordlist cell,35,axe,MOR,Moragao Bouriya,target,69,64,1,akʰe,manual-source-image,,tesseract_raw.txt#pdf69,installed,,ko,sil-korku-1985-moragao-bouriya,"stahl2021korku[Appendix F, printed p. 64, item 35, Moragao Bouriya]",silkorku1985:mor:i035:v1
wordlist cell,35,axe,NIH,Jammat Jalgaon Nihali,comparison control,91,86,1,tʃekto,manual-source-image,,tesseract_raw.txt#pdf91,excluded,excluded comparison control,Ni,,"stahl2021korku[Appendix F, printed p. 86, item 35, Jammat Jalgaon Nihali]",
wordlist cell,35,axe,WAR,Warsari Ruma,target,58,53,2,akʰe,manual-source-image,,tesseract_raw.txt#pdf58,installed,,ko,sil-korku-1985-warsari-ruma,"stahl2021korku[Appendix F, printed p. 53, item 35, Warsari Ruma]",silkorku1985:war:i035:v1
wordlist cell,36,rope,AMD,Amdhana Mawasi,target,80,75,1,raso,manual-source-image,,tesseract_raw.txt#pdf80,installed,,ko,sil-korku-1985-amdhana-mawasi,"stahl2021korku[Appendix F, printed p. 75, item 36, Amdhana Mawasi]",silkorku1985:amd:i036:v1
wordlist cell,36,rope,BAG,Bagdara Ruma,target,58,53,1,ɖora,manual-source-image,,tesseract_raw.txt#pdf58,installed,,ko,sil-korku-1985-bagdara-ruma,"stahl2021korku[Appendix F, printed p. 53, item 36, Bagdara Ruma]",silkorku1985:bag:i036:v1
wordlist cell,36,rope,CHI,Chikli Ruma,target,47,42,1,dora,manual-source-image,,tesseract_raw.txt#pdf47,installed,,ko,sil-korku-1985-chikli-ruma,"stahl2021korku[Appendix F, printed p. 42, item 36, Chikli Ruma]",silkorku1985:chi:i036:v1
wordlist cell,36,rope,KHA,Khanapur Ruma,target,47,42,2,dora,manual-source-image,,tesseract_raw.txt#pdf47,installed,,ko,sil-korku-1985-khanapur-ruma,"stahl2021korku[Appendix F, printed p. 42, item 36, Khanapur Ruma]",silkorku1985:kha:i036:v1
wordlist cell,36,rope,KHM,Khamalpur Bondoy,target,80,75,2,raso,manual-source-image,,tesseract_raw.txt#pdf80,installed,,ko,sil-korku-1985-khamalpur-bondoy,"stahl2021korku[Appendix F, printed p. 75, item 36, Khamalpur Bondoy]",silkorku1985:khm:i036:v1
wordlist cell,36,rope,LAH,Lahi Bouriya,target,69,64,2,raːso,manual-source-image,,tesseract_raw.txt#pdf69,installed,,ko,sil-korku-1985-lahi-bouriya,"stahl2021korku[Appendix F, printed p. 64, item 36, Lahi Bouriya]",silkorku1985:lah:i036:v1
wordlist cell,36,rope,MOR,Moragao Bouriya,target,69,64,1,kaʒora,manual-source-image,,tesseract_raw.txt#pdf69,installed,,ko,sil-korku-1985-moragao-bouriya,"stahl2021korku[Appendix F, printed p. 64, item 36, Moragao Bouriya]",silkorku1985:mor:i036:v1
wordlist cell,36,rope,NIH,Jammat Jalgaon Nihali,comparison control,91,86,1,dora,manual-source-image,,tesseract_raw.txt#pdf91,excluded,excluded comparison control,Ni,,"stahl2021korku[Appendix F, printed p. 86, item 36, Jammat Jalgaon Nihali]",
wordlist cell,36,rope,WAR,Warsari Ruma,target,58,53,2,dora,manual-source-image,,tesseract_raw.txt#pdf58,installed,,ko,sil-korku-1985-warsari-ruma,"stahl2021korku[Appendix F, printed p. 53, item 36, Warsari Ruma]",silkorku1985:war:i036:v1
wordlist cell,37,thread,AMD,Amdhana Mawasi,target,80,75,1,sutom,manual-source-image,,tesseract_raw.txt#pdf80,installed,,ko,sil-korku-1985-amdhana-mawasi,"stahl2021korku[Appendix F, printed p. 75, item 37, Amdhana Mawasi]",silkorku1985:amd:i037:v1
wordlist cell,37,thread,BAG,Bagdara Ruma,target,58,53,1,sitom,manual-source-image,,tesseract_raw.txt#pdf58,installed,,ko,sil-korku-1985-bagdara-ruma,"stahl2021korku[Appendix F, printed p. 53, item 37, Bagdara Ruma]",silkorku1985:bag:i037:v1
wordlist cell,37,thread,CHI,Chikli Ruma,target,47,42,1,sitom,manual-source-image,,tesseract_raw.txt#pdf47,installed,,ko,sil-korku-1985-chikli-ruma,"stahl2021korku[Appendix F, printed p. 42, item 37, Chikli Ruma]",silkorku1985:chi:i037:v1
wordlist cell,37,thread,KHA,Khanapur Ruma,target,47,42,2,sitom,manual-source-image,,tesseract_raw.txt#pdf47,installed,,ko,sil-korku-1985-khanapur-ruma,"stahl2021korku[Appendix F, printed p. 42, item 37, Khanapur Ruma]",silkorku1985:kha:i037:v1
wordlist cell,37,thread,KHM,Khamalpur Bondoy,target,80,75,2,sutom,manual-source-image,,tesseract_raw.txt#pdf80,installed,,ko,sil-korku-1985-khamalpur-bondoy,"stahl2021korku[Appendix F, printed p. 75, item 37, Khamalpur Bondoy]",silkorku1985:khm:i037:v1
wordlist cell,37,thread,LAH,Lahi Bouriya,target,69,64,2,sotom,manual-source-image,,tesseract_raw.txt#pdf69,installed,,ko,sil-korku-1985-lahi-bouriya,"stahl2021korku[Appendix F, printed p. 64, item 37, Lahi Bouriya]",silkorku1985:lah:i037:v1
wordlist cell,37,thread,MOR,Moragao Bouriya,target,69,64,1,sitom,manual-source-image,,tesseract_raw.txt#pdf69,installed,,ko,sil-korku-1985-moragao-bouriya,"stahl2021korku[Appendix F, printed p. 64, item 37, Moragao Bouriya]",silkorku1985:mor:i037:v1
wordlist cell,37,thread,NIH,Jammat Jalgaon Nihali,comparison control,91,86,1,sutu,manual-source-image,,tesseract_raw.txt#pdf91,excluded,excluded comparison control,Ni,,"stahl2021korku[Appendix F, printed p. 86, item 37, Jammat Jalgaon Nihali]",
wordlist cell,37,thread,WAR,Warsari Ruma,target,58,53,2,sitom,manual-source-image,,tesseract_raw.txt#pdf58,installed,,ko,sil-korku-1985-warsari-ruma,"stahl2021korku[Appendix F, printed p. 53, item 37, Warsari Ruma]",silkorku1985:war:i037:v1
wordlist cell,38,needle,AMD,Amdhana Mawasi,target,80,75,1,,manual-source-image,confirmed ruled blank,tesseract_raw.txt#pdf80,missing,source prints a ruled blank,ko,sil-korku-1985-amdhana-mawasi,"stahl2021korku[Appendix F, printed p. 75, item 38, Amdhana Mawasi]",
wordlist cell,38,needle,BAG,Bagdara Ruma,target,58,53,1,,manual-source-image,confirmed ruled blank,tesseract_raw.txt#pdf58,missing,source prints a ruled blank,ko,sil-korku-1985-bagdara-ruma,"stahl2021korku[Appendix F, printed p. 53, item 38, Bagdara Ruma]",
wordlist cell,38,needle,CHI,Chikli Ruma,target,47,42,1,,manual-source-image,confirmed ruled blank,tesseract_raw.txt#pdf47,missing,source prints a ruled blank,ko,sil-korku-1985-chikli-ruma,"stahl2021korku[Appendix F, printed p. 42, item 38, Chikli Ruma]",
wordlist cell,38,needle,KHA,Khanapur Ruma,target,47,42,2,suĩ,manual-source-image,,tesseract_raw.txt#pdf47,installed,,ko,sil-korku-1985-khanapur-ruma,"stahl2021korku[Appendix F, printed p. 42, item 38, Khanapur Ruma]",silkorku1985:kha:i038:v1
wordlist cell,38,needle,KHM,Khamalpur Bondoy,target,80,75,2,,manual-source-image,confirmed ruled blank,tesseract_raw.txt#pdf80,missing,source prints a ruled blank,ko,sil-korku-1985-khamalpur-bondoy,"stahl2021korku[Appendix F, printed p. 75, item 38, Khamalpur Bondoy]",
wordlist cell,38,needle,LAH,Lahi Bouriya,target,69,64,2,suɖʒi,manual-source-image,,tesseract_raw.txt#pdf69,installed,,ko,sil-korku-1985-lahi-bouriya,"stahl2021korku[Appendix F, printed p. 64, item 38, Lahi Bouriya]",silkorku1985:lah:i038:v1
wordlist cell,38,needle,MOR,Moragao Bouriya,target,69,64,1,sui,manual-source-image,,tesseract_raw.txt#pdf69,installed,,ko,sil-korku-1985-moragao-bouriya,"stahl2021korku[Appendix F, printed p. 64, item 38, Moragao Bouriya]",silkorku1985:mor:i038:v1
wordlist cell,38,needle,NIH,Jammat Jalgaon Nihali,comparison control,91,86,1,sui,manual-source-image,,tesseract_raw.txt#pdf91,excluded,excluded comparison control,Ni,,"stahl2021korku[Appendix F, printed p. 86, item 38, Jammat Jalgaon Nihali]",
wordlist cell,38,needle,WAR,Warsari Ruma,target,58,53,2,suika,manual-source-image,,tesseract_raw.txt#pdf58,installed,,ko,sil-korku-1985-warsari-ruma,"stahl2021korku[Appendix F, printed p. 53, item 38, Warsari Ruma]",silkorku1985:war:i038:v1
wordlist cell,39,cloth,AMD,Amdhana Mawasi,target,80,75,1,,manual-source-image,confirmed ruled blank,tesseract_raw.txt#pdf80,missing,source prints a ruled blank,ko,sil-korku-1985-amdhana-mawasi,"stahl2021korku[Appendix F, printed p. 75, item 39, Amdhana Mawasi]",
wordlist cell,39,cloth,BAG,Bagdara Ruma,target,58,53,1,,manual-source-image,confirmed ruled blank,tesseract_raw.txt#pdf58,missing,source prints a ruled blank,ko,sil-korku-1985-bagdara-ruma,"stahl2021korku[Appendix F, printed p. 53, item 39, Bagdara Ruma]",
wordlist cell,39,cloth,CHI,Chikli Ruma,target,47,42,1,,manual-source-image,confirmed ruled blank,tesseract_raw.txt#pdf47,missing,source prints a ruled blank,ko,sil-korku-1985-chikli-ruma,"stahl2021korku[Appendix F, printed p. 42, item 39, Chikli Ruma]",
wordlist cell,39,cloth,KHA,Khanapur Ruma,target,47,42,2,aŋgi,manual-source-image,,tesseract_raw.txt#pdf47,installed,,ko,sil-korku-1985-khanapur-ruma,"stahl2021korku[Appendix F, printed p. 42, item 39, Khanapur Ruma]",silkorku1985:kha:i039:v1
wordlist cell,39,cloth,KHM,Khamalpur Bondoy,target,80,75,2,,manual-source-image,confirmed ruled blank,tesseract_raw.txt#pdf80,missing,source prints a ruled blank,ko,sil-korku-1985-khamalpur-bondoy,"stahl2021korku[Appendix F, printed p. 75, item 39, Khamalpur Bondoy]",
wordlist cell,39,cloth,LAH,Lahi Bouriya,target,69,64,2,liʒa,manual-source-image,,tesseract_raw.txt#pdf69,installed,,ko,sil-korku-1985-lahi-bouriya,"stahl2021korku[Appendix F, printed p. 64, item 39, Lahi Bouriya]",silkorku1985:lah:i039:v1
wordlist cell,39,cloth,MOR,Moragao Bouriya,target,69,64,1,kapraʈa,manual-source-image,,tesseract_raw.txt#pdf69,installed,,ko,sil-korku-1985-moragao-bouriya,"stahl2021korku[Appendix F, printed p. 64, item 39, Moragao Bouriya]",silkorku1985:mor:i039:v1
wordlist cell,39,cloth,NIH,Jammat Jalgaon Nihali,comparison control,91,86,1,aŋger,manual-source-image,,tesseract_raw.txt#pdf91,excluded,excluded comparison control,Ni,,"stahl2021korku[Appendix F, printed p. 86, item 39, Jammat Jalgaon Nihali]",
wordlist cell,39,cloth,WAR,Warsari Ruma,target,58,53,2,kapera/liɖʒa,manual-source-image,,tesseract_raw.txt#pdf58,installed,,ko,sil-korku-1985-warsari-ruma,"stahl2021korku[Appendix F, printed p. 53, item 39, Warsari Ruma]",silkorku1985:war:i039:v1|silkorku1985:war:i039:v2
wordlist cell,40,ring,AMD,Amdhana Mawasi,target,80,75,1,tʃⁿpla,manual-source-image,superscript nasal marker over affricate is visually clear; vowel between affricate and pl is not visible,tesseract_raw.txt#pdf80,installed,,ko,sil-korku-1985-amdhana-mawasi,"stahl2021korku[Appendix F, printed p. 75, item 40, Amdhana Mawasi]",silkorku1985:amd:i040:v1
wordlist cell,40,ring,BAG,Bagdara Ruma,target,58,53,1,mundi,manual-source-image,,tesseract_raw.txt#pdf58,installed,,ko,sil-korku-1985-bagdara-ruma,"stahl2021korku[Appendix F, printed p. 53, item 40, Bagdara Ruma]",silkorku1985:bag:i040:v1
wordlist cell,40,ring,CHI,Chikli Ruma,target,47,42,1,dʒumka,manual-source-image,,tesseract_raw.txt#pdf47,installed,,ko,sil-korku-1985-chikli-ruma,"stahl2021korku[Appendix F, printed p. 42, item 40, Chikli Ruma]",silkorku1985:chi:i040:v1
wordlist cell,40,ring,KHA,Khanapur Ruma,target,47,42,2,mũndi,manual-source-image,,tesseract_raw.txt#pdf47,installed,,ko,sil-korku-1985-khanapur-ruma,"stahl2021korku[Appendix F, printed p. 42, item 40, Khanapur Ruma]",silkorku1985:kha:i040:v1
wordlist cell,40,ring,KHM,Khamalpur Bondoy,target,80,75,2,tʃaɖa,manual-source-image,,tesseract_raw.txt#pdf80,installed,,ko,sil-korku-1985-khamalpur-bondoy,"stahl2021korku[Appendix F, printed p. 75, item 40, Khamalpur Bondoy]",silkorku1985:khm:i040:v1
wordlist cell,40,ring,LAH,Lahi Bouriya,target,69,64,2,mundi,manual-source-image,,tesseract_raw.txt#pdf69,installed,,ko,sil-korku-1985-lahi-bouriya,"stahl2021korku[Appendix F, printed p. 64, item 40, Lahi Bouriya]",silkorku1985:lah:i040:v1
wordlist cell,40,ring,MOR,Moragao Bouriya,target,69,64,1,mundi,manual-source-image,,tesseract_raw.txt#pdf69,installed,,ko,sil-korku-1985-moragao-bouriya,"stahl2021korku[Appendix F, printed p. 64, item 40, Moragao Bouriya]",silkorku1985:mor:i040:v1
wordlist cell,40,ring,NIH,Jammat Jalgaon Nihali,comparison control,91,86,1,akʰend,manual-source-image,,tesseract_raw.txt#pdf91,excluded,excluded comparison control,Ni,,"stahl2021korku[Appendix F, printed p. 86, item 40, Jammat Jalgaon Nihali]",
wordlist cell,40,ring,WAR,Warsari Ruma,target,58,53,2,mundi,manual-source-image,,tesseract_raw.txt#pdf58,installed,,ko,sil-korku-1985-warsari-ruma,"stahl2021korku[Appendix F, printed p. 53, item 40, Warsari Ruma]",silkorku1985:war:i040:v1
wordlist cell,41,sun,AMD,Amdhana Mawasi,target,81,76,1,din,manual-source-image,,tesseract_raw.txt#pdf81,installed,,ko,sil-korku-1985-amdhana-mawasi,"stahl2021korku[Appendix F, printed p. 76, item 41, Amdhana Mawasi]",silkorku1985:amd:i041:v1
wordlist cell,41,sun,BAG,Bagdara Ruma,target,59,54,1,surɛɖʒ,manual-source-image,,tesseract_raw.txt#pdf59,installed,,ko,sil-korku-1985-bagdara-ruma,"stahl2021korku[Appendix F, printed p. 54, item 41, Bagdara Ruma]",silkorku1985:bag:i041:v1
wordlist cell,41,sun,CHI,Chikli Ruma,target,48,43,1,gomoɟ,manual-source-image,,tesseract_raw.txt#pdf48,installed,,ko,sil-korku-1985-chikli-ruma,"stahl2021korku[Appendix F, printed p. 43, item 41, Chikli Ruma]",silkorku1985:chi:i041:v1
wordlist cell,41,sun,KHA,Khanapur Ruma,target,48,43,2,gomoɟ,manual-source-image,,tesseract_raw.txt#pdf48,installed,,ko,sil-korku-1985-khanapur-ruma,"stahl2021korku[Appendix F, printed p. 43, item 41, Khanapur Ruma]",silkorku1985:kha:i041:v1
wordlist cell,41,sun,KHM,Khamalpur Bondoy,target,81,76,2,din,manual-source-image,,tesseract_raw.txt#pdf81,installed,,ko,sil-korku-1985-khamalpur-bondoy,"stahl2021korku[Appendix F, printed p. 76, item 41, Khamalpur Bondoy]",silkorku1985:khm:i041:v1
wordlist cell,41,sun,LAH,Lahi Bouriya,target,70,65,2,suraɖʒ,manual-source-image,,tesseract_raw.txt#pdf70,installed,,ko,sil-korku-1985-lahi-bouriya,"stahl2021korku[Appendix F, printed p. 65, item 41, Lahi Bouriya]",silkorku1985:lah:i041:v1
wordlist cell,41,sun,MOR,Moragao Bouriya,target,70,65,1,gometʃ,manual-source-image,,tesseract_raw.txt#pdf70,installed,,ko,sil-korku-1985-moragao-bouriya,"stahl2021korku[Appendix F, printed p. 65, item 41, Moragao Bouriya]",silkorku1985:mor:i041:v1
wordlist cell,41,sun,NIH,Jammat Jalgaon Nihali,comparison control,92,87,1,deota,manual-source-image,,tesseract_raw.txt#pdf92,excluded,excluded comparison control,Ni,,"stahl2021korku[Appendix F, printed p. 87, item 41, Jammat Jalgaon Nihali]",
wordlist cell,41,sun,WAR,Warsari Ruma,target,59,54,2,gomoɖʒ,manual-source-image,,tesseract_raw.txt#pdf59,installed,,ko,sil-korku-1985-warsari-ruma,"stahl2021korku[Appendix F, printed p. 54, item 41, Warsari Ruma]",silkorku1985:war:i041:v1
wordlist cell,42,moon,AMD,Amdhana Mawasi,target,81,76,1,tʃãd,manual-source-image,,tesseract_raw.txt#pdf81,installed,,ko,sil-korku-1985-amdhana-mawasi,"stahl2021korku[Appendix F, printed p. 76, item 42, Amdhana Mawasi]",silkorku1985:amd:i042:v1
wordlist cell,42,moon,BAG,Bagdara Ruma,target,59,54,1,tʃand,manual-source-image,,tesseract_raw.txt#pdf59,installed,,ko,sil-korku-1985-bagdara-ruma,"stahl2021korku[Appendix F, printed p. 54, item 42, Bagdara Ruma]",silkorku1985:bag:i042:v1
wordlist cell,42,moon,CHI,Chikli Ruma,target,48,43,1,gomoɟ,manual-source-image,,tesseract_raw.txt#pdf48,installed,,ko,sil-korku-1985-chikli-ruma,"stahl2021korku[Appendix F, printed p. 43, item 42, Chikli Ruma]",silkorku1985:chi:i042:v1
wordlist cell,42,moon,KHA,Khanapur Ruma,target,48,43,2,tʰendeɖʒ,manual-source-image,,tesseract_raw.txt#pdf48,installed,,ko,sil-korku-1985-khanapur-ruma,"stahl2021korku[Appendix F, printed p. 43, item 42, Khanapur Ruma]",silkorku1985:kha:i042:v1
wordlist cell,42,moon,KHM,Khamalpur Bondoy,target,81,76,2,tʃenda,manual-source-image,,tesseract_raw.txt#pdf81,installed,,ko,sil-korku-1985-khamalpur-bondoy,"stahl2021korku[Appendix F, printed p. 76, item 42, Khamalpur Bondoy]",silkorku1985:khm:i042:v1
wordlist cell,42,moon,LAH,Lahi Bouriya,target,70,65,2,tʃando,manual-source-image,,tesseract_raw.txt#pdf70,installed,,ko,sil-korku-1985-lahi-bouriya,"stahl2021korku[Appendix F, printed p. 65, item 42, Lahi Bouriya]",silkorku1985:lah:i042:v1
wordlist cell,42,moon,MOR,Moragao Bouriya,target,70,65,1,gometʃ,manual-source-image,,tesseract_raw.txt#pdf70,installed,,ko,sil-korku-1985-moragao-bouriya,"stahl2021korku[Appendix F, printed p. 65, item 42, Moragao Bouriya]",silkorku1985:mor:i042:v1
wordlist cell,42,moon,NIH,Jammat Jalgaon Nihali,comparison control,92,87,1,tʰendedʒ deota,manual-source-image,,tesseract_raw.txt#pdf92,excluded,excluded comparison control,Ni,,"stahl2021korku[Appendix F, printed p. 87, item 42, Jammat Jalgaon Nihali]",
wordlist cell,42,moon,WAR,Warsari Ruma,target,59,54,2,tʃandi,manual-source-image,,tesseract_raw.txt#pdf59,installed,,ko,sil-korku-1985-warsari-ruma,"stahl2021korku[Appendix F, printed p. 54, item 42, Warsari Ruma]",silkorku1985:war:i042:v1
wordlist cell,43,sky,AMD,Amdhana Mawasi,target,81,76,1,beɖera,manual-source-image,,tesseract_raw.txt#pdf81,installed,,ko,sil-korku-1985-amdhana-mawasi,"stahl2021korku[Appendix F, printed p. 76, item 43, Amdhana Mawasi]",silkorku1985:amd:i043:v1
wordlist cell,43,sky,BAG,Bagdara Ruma,target,59,54,1,baɖara,manual-source-image,,tesseract_raw.txt#pdf59,installed,,ko,sil-korku-1985-bagdara-ruma,"stahl2021korku[Appendix F, printed p. 54, item 43, Bagdara Ruma]",silkorku1985:bag:i043:v1
wordlist cell,43,sky,CHI,Chikli Ruma,target,48,43,1,akaʃ,manual-source-image,,tesseract_raw.txt#pdf48,installed,,ko,sil-korku-1985-chikli-ruma,"stahl2021korku[Appendix F, printed p. 43, item 43, Chikli Ruma]",silkorku1985:chi:i043:v1
wordlist cell,43,sky,KHA,Khanapur Ruma,target,48,43,2,asman,manual-source-image,,tesseract_raw.txt#pdf48,installed,,ko,sil-korku-1985-khanapur-ruma,"stahl2021korku[Appendix F, printed p. 43, item 43, Khanapur Ruma]",silkorku1985:kha:i043:v1
wordlist cell,43,sky,KHM,Khamalpur Bondoy,target,81,76,2,bedera,manual-source-image,,tesseract_raw.txt#pdf81,installed,,ko,sil-korku-1985-khamalpur-bondoy,"stahl2021korku[Appendix F, printed p. 76, item 43, Khamalpur Bondoy]",silkorku1985:khm:i043:v1
wordlist cell,43,sky,LAH,Lahi Bouriya,target,70,65,2,akaʃ,manual-source-image,,tesseract_raw.txt#pdf70,installed,,ko,sil-korku-1985-lahi-bouriya,"stahl2021korku[Appendix F, printed p. 65, item 43, Lahi Bouriya]",silkorku1985:lah:i043:v1
wordlist cell,43,sky,MOR,Moragao Bouriya,target,70,65,1,baɖura,manual-source-image,,tesseract_raw.txt#pdf70,installed,,ko,sil-korku-1985-moragao-bouriya,"stahl2021korku[Appendix F, printed p. 65, item 43, Moragao Bouriya]",silkorku1985:mor:i043:v1
wordlist cell,43,sky,NIH,Jammat Jalgaon Nihali,comparison control,92,87,1,bedera,manual-source-image,,tesseract_raw.txt#pdf92,excluded,excluded comparison control,Ni,,"stahl2021korku[Appendix F, printed p. 87, item 43, Jammat Jalgaon Nihali]",
wordlist cell,43,sky,WAR,Warsari Ruma,target,59,54,2,baɖera/akaso,manual-source-image,,tesseract_raw.txt#pdf59,installed,,ko,sil-korku-1985-warsari-ruma,"stahl2021korku[Appendix F, printed p. 54, item 43, Warsari Ruma]",silkorku1985:war:i043:v1|silkorku1985:war:i043:v2
wordlist cell,44,star,AMD,Amdhana Mawasi,target,81,76,1,tara,manual-source-image,,tesseract_raw.txt#pdf81,installed,,ko,sil-korku-1985-amdhana-mawasi,"stahl2021korku[Appendix F, printed p. 76, item 44, Amdhana Mawasi]",silkorku1985:amd:i044:v1
wordlist cell,44,star,BAG,Bagdara Ruma,target,59,54,1,ipʰilku,manual-source-image,,tesseract_raw.txt#pdf59,installed,,ko,sil-korku-1985-bagdara-ruma,"stahl2021korku[Appendix F, printed p. 54, item 44, Bagdara Ruma]",silkorku1985:bag:i044:v1
wordlist cell,44,star,CHI,Chikli Ruma,target,48,43,1,ipʰilku,manual-source-image,,tesseract_raw.txt#pdf48,installed,,ko,sil-korku-1985-chikli-ruma,"stahl2021korku[Appendix F, printed p. 43, item 44, Chikli Ruma]",silkorku1985:chi:i044:v1
wordlist cell,44,star,KHA,Khanapur Ruma,target,48,43,2,tʰil,manual-source-image,,tesseract_raw.txt#pdf48,installed,,ko,sil-korku-1985-khanapur-ruma,"stahl2021korku[Appendix F, printed p. 43, item 44, Khanapur Ruma]",silkorku1985:kha:i044:v1
wordlist cell,44,star,KHM,Khamalpur Bondoy,target,81,76,2,tara/ippʰil,manual-source-image,collector question mark follows first alternative,tesseract_raw.txt#pdf81,installed,,ko,sil-korku-1985-khamalpur-bondoy,"stahl2021korku[Appendix F, printed p. 76, item 44, Khamalpur Bondoy]",silkorku1985:khm:i044:v1|silkorku1985:khm:i044:v2
wordlist cell,44,star,LAH,Lahi Bouriya,target,70,65,2,tara,manual-source-image,,tesseract_raw.txt#pdf70,installed,,ko,sil-korku-1985-lahi-bouriya,"stahl2021korku[Appendix F, printed p. 65, item 44, Lahi Bouriya]",silkorku1985:lah:i044:v1
wordlist cell,44,star,MOR,Moragao Bouriya,target,70,65,1,ipʰul,manual-source-image,,tesseract_raw.txt#pdf70,installed,,ko,sil-korku-1985-moragao-bouriya,"stahl2021korku[Appendix F, printed p. 65, item 44, Moragao Bouriya]",silkorku1985:mor:i044:v1
wordlist cell,44,star,NIH,Jammat Jalgaon Nihali,comparison control,92,87,1,pʰipʰindʒor,manual-source-image,,tesseract_raw.txt#pdf92,excluded,excluded comparison control,Ni,,"stahl2021korku[Appendix F, printed p. 87, item 44, Jammat Jalgaon Nihali]",
wordlist cell,44,star,WAR,Warsari Ruma,target,59,54,2,taraj,manual-source-image,,tesseract_raw.txt#pdf59,installed,,ko,sil-korku-1985-warsari-ruma,"stahl2021korku[Appendix F, printed p. 54, item 44, Warsari Ruma]",silkorku1985:war:i044:v1
wordlist cell,45,rain,AMD,Amdhana Mawasi,target,81,76,1,bersat,manual-source-image,,tesseract_raw.txt#pdf81,installed,,ko,sil-korku-1985-amdhana-mawasi,"stahl2021korku[Appendix F, printed p. 76, item 45, Amdhana Mawasi]",silkorku1985:amd:i045:v1
wordlist cell,45,rain,BAG,Bagdara Ruma,target,59,54,1,bariso,manual-source-image,,tesseract_raw.txt#pdf59,installed,,ko,sil-korku-1985-bagdara-ruma,"stahl2021korku[Appendix F, printed p. 54, item 45, Bagdara Ruma]",silkorku1985:bag:i045:v1
wordlist cell,45,rain,CHI,Chikli Ruma,target,48,43,1,barsado,manual-source-image,,tesseract_raw.txt#pdf48,installed,,ko,sil-korku-1985-chikli-ruma,"stahl2021korku[Appendix F, printed p. 43, item 45, Chikli Ruma]",silkorku1985:chi:i045:v1
wordlist cell,45,rain,KHA,Khanapur Ruma,target,48,43,2,barʃeɖo,manual-source-image,,tesseract_raw.txt#pdf48,installed,,ko,sil-korku-1985-khanapur-ruma,"stahl2021korku[Appendix F, printed p. 43, item 45, Khanapur Ruma]",silkorku1985:kha:i045:v1
wordlist cell,45,rain,KHM,Khamalpur Bondoy,target,81,76,2,bersat/baris,manual-source-image,,tesseract_raw.txt#pdf81,installed,,ko,sil-korku-1985-khamalpur-bondoy,"stahl2021korku[Appendix F, printed p. 76, item 45, Khamalpur Bondoy]",silkorku1985:khm:i045:v1|silkorku1985:khm:i045:v2
wordlist cell,45,rain,LAH,Lahi Bouriya,target,70,65,2,barsado,manual-source-image,,tesseract_raw.txt#pdf70,installed,,ko,sil-korku-1985-lahi-bouriya,"stahl2021korku[Appendix F, printed p. 65, item 45, Lahi Bouriya]",silkorku1985:lah:i045:v1
wordlist cell,45,rain,MOR,Moragao Bouriya,target,70,65,1,barsado,manual-source-image,,tesseract_raw.txt#pdf70,installed,,ko,sil-korku-1985-moragao-bouriya,"stahl2021korku[Appendix F, printed p. 65, item 45, Moragao Bouriya]",silkorku1985:mor:i045:v1
wordlist cell,45,rain,NIH,Jammat Jalgaon Nihali,comparison control,92,87,1,dʒiri,manual-source-image,,tesseract_raw.txt#pdf92,excluded,excluded comparison control,Ni,,"stahl2021korku[Appendix F, printed p. 87, item 45, Jammat Jalgaon Nihali]",
wordlist cell,45,rain,WAR,Warsari Ruma,target,59,54,2,barsada,manual-source-image,,tesseract_raw.txt#pdf59,installed,,ko,sil-korku-1985-warsari-ruma,"stahl2021korku[Appendix F, printed p. 54, item 45, Warsari Ruma]",silkorku1985:war:i045:v1
wordlist cell,46,water,AMD,Amdhana Mawasi,target,81,76,1,da,manual-source-image,,tesseract_raw.txt#pdf81,installed,,ko,sil-korku-1985-amdhana-mawasi,"stahl2021korku[Appendix F, printed p. 76, item 46, Amdhana Mawasi]",silkorku1985:amd:i046:v1
