Status,Reason,Review_State,Review_Reason,Entry_Key,PDF_Page,Printed_Page,Column,Top,Raw_OCR,Raw_Head,Form,Variants,POS,Gloss,Tags,Reference,DEDR_IDs,Unresolved_DEDR_IDs,Etymology,OCR_Confidence
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p109:c1:y0073,129,109,1,73,"oḷage n. inside, inner part, adv.
within, in DEDR 698
‘<..olage no:dile po:fe' — ...if you look
inside, it’s empty (Prov. 945b)",oḷage,oḷage,,n.,"inside, inner part, within, in",noun adv uncertain,"hockings-pilotraichoor1992[p. 109, col. 1]",698,,Hockings and Pilot-Raichoor cite DEDR 698,77.24
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p109:c1:y0117,129,109,1,117,"oḷlittu/oḷḷittu adj. (that is) good,
well-behaved DEDR 1017
‘ella o]]itta:gali—Let everything be well!
(closing line of most blessings or prayers)",oḷlittu/oḷḷittu,oḷlittu,oḷḷittu,adj.,"(that is) good, well-behaved",adj uncertain alternate,"hockings-pilotraichoor1992[p. 109, col. 1]",1017,,Hockings and Pilot-Raichoor cite DEDR 1017,87.35
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p109:c1:y0162,129,109,1,162,"ole/hoḷe n. 1. river, stream; 2.
reservoir, swamp, marsh, marsh-
land, bog, wallow (archaic form
was 0]e/ hole; cf. uli, hoe)
DEDR 4318",ole/hoḷe,ole,hoḷe,n.,"1. river, stream; 2. reservoir, swamp, marsh, marshland, bog, wallow",noun archaic uncertain alternate,"hockings-pilotraichoor1992[p. 109, col. 1]",4318,,"(archaic form was 0]e/ hole; cf. uli, hoe); Hockings and Pilot-Raichoor cite DEDR 4318",91.38
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p109:c1:y0216,129,109,1,216,"ole bu:mi n. field with irrigation
facilities, damp soil, fertile soil (<
ole+bu:mi, ‘marsh+earth’) DEDR
4318",ole bu:mi,ole bu:mi,,n.,"field with irrigation facilities, damp soil, fertile soil",noun uncertain,"hockings-pilotraichoor1992[p. 109, col. 1]",4318,,"(< ole+bu:mi, ‘marsh+earth’); Hockings and Pilot-Raichoor cite DEDR 4318",89.51
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p109:c1:y0261,129,109,1,261,"oḷe ma:su/oḷḷiya ma:su/oḷḷeya
ma:su n. common pepper, aro-
matic pepper, black pepper, cauly-
mirch, miriyaul, pepper tree, pun-
gent pepper, round pepper, white
pepper, good spice (lit; Piper
nigrum; used in cooking and cer-
tain medicines; cf. perange ; Hoo-
ker 1872-97: V, 90-91; Macleane
1893: 676-77; Nairne 1894: 275-
76; Yule & Burnell 1903: 697-98;
Watt 1908: 896-901; Fyson 1915:
344-45; Lushington 1915: 595;
Krishnamurthi 1953: 173-74; Ma-
harashtra 1953: 169-70, Gamble &
Fischer 1956-57: 845; Cooke
1958: II, 19; Maharashtra 1961:
248; Matthew 1983:1352) DEDR
1017,4867",oḷe ma:su/oḷḷiya ma:su/oḷḷeya ma:su,oḷe ma:su,oḷḷiya ma:su|oḷḷeya ma:su,n.,"common pepper, aromatic pepper, black pepper, caulymirch, miriyaul, pepper tree, pungent pepper, round pepper, white pepper, good spice",noun uncertain alternate,"hockings-pilotraichoor1992[p. 109, col. 1]",1017|4867,,"(lit; Piper nigrum; used in cooking and certain medicines; cf. perange; Hooker 1872-97: V, 90-91; Macleane 1893: 676-77; Nairne 1894: 275- 76; Yule & Burnell 1903: 697-98; Watt 1908: 896-901; Fyson 1915: 344-45; Lushington 1915: 595; Krishnamurthi 1953: 173-74; Maharashtra 1953: 169-70, Gamble & Fischer 1956-57: 845; Cooke 1958: II, 19; Maharashtra 1961: 248; Matthew 1983:1352); Hockings and Pilot-Raichoor cite DEDR 1017, 4867",91.00
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p109:c1:y0466,129,109,1,466,"oḷe ma:su hudi n. powdered pep-
per (from Piper nigrum, used in
cooking and some medicines; cf.
ole ma:su/ oḷliya ma:su/olḷeya
ma:su;< ole ma:su+hudi, ‘pepper
+powder’) DEDR 1017, 4867, 4481",oḷe ma:su hudi,oḷe ma:su hudi,,n.,powdered pepper,noun uncertain,"hockings-pilotraichoor1992[p. 109, col. 1]",1017|4867|4481,,"(from Piper nigrum, used in cooking and some medicines; cf. ole ma:su/ oḷliya ma:su/olḷeya ma:su;< ole ma:su+hudi, ‘pepper +powder’); Hockings and Pilot-Raichoor cite DEDR 1017, 4867, 4481",79.43
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p109:c2:y0095,129,109,2,95,"Oḷdu:ṭi np. Old Ootacamund, Old
Ooty, name of a section of Ootaca-
mund 1 km. E of Charing Cross
(Burton 1851: 277; < Eng. old+Ta.
Utti) DEDR990c",Oḷdu:ṭi,Oḷdu:ṭi,,np.,"Old Ootacamund, Old Ooty, name of a section of Ootacamund 1 km. E of Charing Cross DEDR990c",noun proper-noun uncertain,"hockings-pilotraichoor1992[p. 109, col. 2]",,,(Burton 1851: 277; < Eng. old+Ta. Utti),86.99
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p109:c2:y0150,129,109,2,150,"oḷḷange adv. well, clearly DEDR
1017",oḷḷange,oḷḷange,,adv.,"well, clearly",adv uncertain,"hockings-pilotraichoor1992[p. 109, col. 2]",1017,,Hockings and Pilot-Raichoor cite DEDR 1017,92.78
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p109:c2:y0172,129,109,2,172,"oḷḷaya/olḷiya/o]ḷeya
adj. good,
beautiful DEDR 1017
‘kalliyu: oḷleya ku:du...'—Marry a beau-
tiful woman, even if a thief... (Prov. 897c)",oḷḷaya/olḷiya/o]ḷeya,oḷḷaya,olḷiya|o]ḷeya,adj.,"good, beautiful",adj uncertain alternate,"hockings-pilotraichoor1992[p. 109, col. 2]",1017,,Hockings and Pilot-Raichoor cite DEDR 1017,77.68
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p109:c2:y0217,129,109,2,217,"olḷḷittu/oḷittu cf. above, olittu/
ol litu",olḷḷittu/oḷittu,olḷḷittu,oḷittu,cf.,"above, olittu/ ol litu",uncertain alternate,"hockings-pilotraichoor1992[p. 109, col. 2]",,,,41.65
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p109:c2:y0238,129,109,2,238,"oḷḷlitolla n. news, life events, what
is good or bad (lit.; < oḷlitu +olla,
‘good+bad’) DEDR 1017, 1006",oḷḷlitolla,oḷḷlitolla,,n.,"news, life events, what is good or bad (lit.; < oḷlitu +olla",noun uncertain,"hockings-pilotraichoor1992[p. 109, col. 2]",1017|1006,,"Hockings and Pilot-Raichoor cite DEDR 1017, 1006",86.36
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p109:c2:y0270,129,109,2,270,"oḷliya/oḷḷaya/oḷḷeya cf. above,
ollaya/ olliya/ olleya",oḷliya/oḷḷaya/oḷḷeya,oḷliya,oḷḷaya|oḷḷeya,cf.,"above, ollaya/ olliya/ olleya",uncertain alternate,"hockings-pilotraichoor1992[p. 109, col. 2]",,,,55.42
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p109:c2:y0292,129,109,2,292,"oḷḷiyama:su/oḷema:su/oḷ leya
ma:su cf. above, ole ma:su/o0l-
liya ma:su/ olleya ma:su",oḷḷiyama:su/oḷema:su/oḷ leya ma:su,oḷḷiyama:su,oḷema:su|oḷ leya ma:su,cf.,"above, ole ma:su/o0lliya ma:su/ olleya ma:su",uncertain alternate,"hockings-pilotraichoor1992[p. 109, col. 2]",,,,72.00
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p109:c2:y0325,129,109,2,325,"oḷḷu n. pocket (as in the woman’s
upper cloth, tundu) DEDR 4562",oḷḷu,oḷḷu,,n.,"pocket (as in the woman’s upper cloth, tundu)",noun uncertain,"hockings-pilotraichoor1992[p. 109, col. 2]",4562,,Hockings and Pilot-Raichoor cite DEDR 4562,94.11
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p109:c2:y0347,129,109,2,347,"olle n. birth canal, vagina (cf.
tullu/tollu) DEDR 698 or 4562",olle,olle,,n.,"birth canal, vagina or 4562",noun uncertain,"hockings-pilotraichoor1992[p. 109, col. 2]",698,,(cf. tullu/tollu); Hockings and Pilot-Raichoor cite DEDR 698,86.04
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p109:c2:y0368,129,109,2,368,"olḷleya/oḷḷaya/oḷḷiya cf. above,
ollaya/ olliya/olleya",olḷleya/oḷḷaya/oḷḷiya,olḷleya,oḷḷaya|oḷḷiya,cf.,"above, ollaya/ olliya/olleya",uncertain alternate,"hockings-pilotraichoor1992[p. 109, col. 2]",,,,67.86
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p109:c2:y0391,129,109,2,391,"oḷḷeya prasa:da n. holy commu-
nion (Christian usage)",oḷḷeya prasa:da,oḷḷeya prasa:da,,n.,holy communion,noun uncertain,"hockings-pilotraichoor1992[p. 109, col. 2]",,,,92.12
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p109:c2:y0413,129,109,2,413,"oḷḷeyama n. good man, good hus-
band DEDR 1017
‘ganda olḷleyamanendu | unde dappa
ha:ka be:da° — Dont feed the husband
with bigger balls [of food], considering
him to be a better man (Prov. 988b)",oḷḷeyama,oḷḷeyama,,n.,"good man, good husband",noun uncertain,"hockings-pilotraichoor1992[p. 109, col. 2]",1017,,Hockings and Pilot-Raichoor cite DEDR 1017,89.83
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p109:c2:y0479,129,109,2,479,"oḷḷeya ma:su/oḷḷiya ma:su/oḷe
ma:su cf. above, oḷe ma:su/o0l-
liya ma:su/ oḷḷeya ma:su",oḷḷeya ma:su/oḷḷiya ma:su/oḷe ma:su,oḷḷeya ma:su,oḷḷiya ma:su|oḷe ma:su,cf.,"above, oḷe ma:su/o0lliya ma:su/ oḷḷeya ma:su",uncertain alternate,"hockings-pilotraichoor1992[p. 109, col. 2]",,,,81.75
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p110:c1:y0105,130,110,1,105,"o: excl. Oh! O! an exclamation
of lament or solicitation (e.g., ay-
yo:)
‘iva Hara: o: Basava pancangiri a:dipati
...-—=Śiva, Hara, O Basava, paramount
Lord of the five mountains... (from a pra-
yer)
-0; INTERR sfx, questioning or
doubting
‘affa udaka soppo: | keṭfa kicco:—Is the
curried side-dish hot, or has the fire died
down? (Prov. 527b)",o:,o:,,excl.,"Oh! O! an exclamation of lament or solicitation (e.g., ayyo:)",interj uncertain,"hockings-pilotraichoor1992[p. 110, col. 1]",,,,90.06
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p110:c1:y0235,130,110,1,235,"o:ga/o:gaṇe/o:ge n. the inside
(o:ganṇe is archaic) DEDR 698
<..0:gane kalḷana hidiyo:ga’-— ...you
can’t catch a secret thief (Prov. 790)",o:ga/o:gaṇe/o:ge,o:ga,o:gaṇe|o:ge,n.,the inside (o:ganṇe is archaic),noun archaic uncertain alternate,"hockings-pilotraichoor1992[p. 110, col. 1]",698,,Hockings and Pilot-Raichoor cite DEDR 698,81.87
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p110:c1:y0281,130,110,1,281,"o:gaṭtḷu n. part of the loft or attic
which covers all or a portion of the
o:ga mane (q.v., the plough used
to be stored here, hanging on pegs
stuck into the wall; cf. aṭta /atlu,
afta ko:du, e:ṇi mora, oratḷu/
horaṭtlu, < o:ga +atlu, ʻ“inner+
loft) DEDR 698,93",o:gaṭtḷu,o:gaṭtḷu,,n.,part of the loft or attic which covers all or a portion of the o:ga mane,noun uncertain,"hockings-pilotraichoor1992[p. 110, col. 1]",698|93,,"(q.v., the plough used to be stored here, hanging on pegs stuck into the wall; cf. aṭta /atlu, afta ko:du, e:ṇi mora, oratḷu/ horaṭtlu, < o:ga +atlu, ʻ“inner+ loft); Hockings and Pilot-Raichoor cite DEDR 698, 93",86.17
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p110:c1:y0368,130,110,1,368,"o:gaṇe/o:ga/o:ge cf. above, o:ga/
o:gaṇe/ o:ge",o:gaṇe/o:ga/o:ge,o:gaṇe,o:ga|o:ge,cf.,"above, o:ga/ o:gaṇe/ o:ge",uncertain alternate,"hockings-pilotraichoor1992[p. 110, col. 1]",,,,80.90
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p110:c1:y0389,130,110,1,389,"o:gana/o:ga:su/o:ge adv. inside,
within; adj. hidden, inner, inner-
most DEDR 698",o:gana/o:ga:su/o:ge,o:gana,o:ga:su|o:ge,adv.,"inside, within; hidden, inner, innermost",adv adj uncertain alternate,"hockings-pilotraichoor1992[p. 110, col. 1]",698,,Hockings and Pilot-Raichoor cite DEDR 698,93.72
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p110:c1:y0422,130,110,1,422,"o:ga mane n. back room, inner
room, sacred room of a Badaga
house (a combined kitchen, bed-
room and storage area; men do eat
here, but women, who prepare
food here, would pollute the room
were they to eat here too; cf. o:-
gatlu, sudda) DEDR 698, 4776
‘..0:ga mane muridale iro:ga'—...if the
inner room collapses you cannot exist
(Prov. 196)",o:ga mane,o:ga mane,,n.,"back room, inner room, sacred room of a Badaga house",noun uncertain,"hockings-pilotraichoor1992[p. 110, col. 1]",698|4776,,"(a combined kitchen, bedroom and storage area; men do eat here, but women, who prepare food here, would pollute the room were they to eat here too; cf. o:gatlu, sudda); Hockings and Pilot-Raichoor cite DEDR 698, 4776",85.20
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p110:c1:y0541,130,110,1,541,"o:ga:ti n. lump of sacred ash (vi-
bu:ti, q.v.) usually bought nowa-
days in Nanjurugudi
O:",o:ga:ti,o:ga:ti,,n.,lump of sacred ash usually bought nowadays in Nanjurugudi O,noun uncertain,"hockings-pilotraichoor1992[p. 110, col. 1]",,,"(vibu:ti, q.v.)",84.33
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p110:c2:y0105,130,110,2,105,"o:ga:su/o:su n. place inside (lit.),
milk closet inside the house (for
storage of milk, butter and clarified
butter; not many houses still have
this sacred place, though a doḍdda
mane does; Lingayats keep a
burning light there, and treat the
place as a shrine; in earlier centu-
ries no women were allowed near
it; cf. ha:go:tu) DEDR 698",o:ga:su/o:su,o:ga:su,o:su,n.,"place inside (lit.), milk closet inside the house",noun uncertain alternate,"hockings-pilotraichoor1992[p. 110, col. 2]",698,,"(for storage of milk, butter and clarified butter; not many houses still have this sacred place, though a doḍdda mane does; Lingayats keep a burning light there, and treat the place as a shrine; in earlier centuries no women were allowed near it; cf. ha:go:tu); Hockings and Pilot-Raichoor cite DEDR 698",93.71
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p110:c2:y0212,130,110,2,212,"o:ga:su/o:gana/o:ge cf. above,
o:gana/ o:ga:su/o:ge",o:ga:su/o:gana/o:ge,o:ga:su,o:gana|o:ge,cf.,"above, o:gana/ o:ga:su/o:ge",uncertain alternate,"hockings-pilotraichoor1992[p. 110, col. 2]",,,,80.17
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p110:c2:y0233,130,110,2,233,"o:gu/ho:gu vi. 1. to go,
walk, go away, proceed, precede,
go forward, pass, leave; 2. aux.
vyb. (used with PP of another vb.)
signifying that something has been
completed, or changed from one
state to another, or continuity of
action (ho:g-, ho:p-, ho:n-, ho:d-;
cf. po:gu, ho:ga) DEDR 4572
‘ni: amana ko:da of{fuga o:gu’—Go toge-
ther with him!",o:gu/ho:gu,o:gu,ho:gu,vi.,"1. to go, walk, go away, proceed, precede, go forward, pass, leave; 2. aux. vyb. (used with of another vb.) signifying that something has been completed, or changed from one state to another, or continuity of action",verb intr pp participle uncertain alternate,"hockings-pilotraichoor1992[p. 110, col. 2]",4572,,"(ho:g-, ho:p-, ho:n-, ho:d-; cf. po:gu, ho:ga); Hockings and Pilot-Raichoor cite DEDR 4572",91.59
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p110:c2:y0354,130,110,2,354,"o:ge/o:ga/o:gaṇe cf. above, o:ga/
o:gaṇe/ o:ge",o:ge/o:ga/o:gaṇe,o:ge,o:ga|o:gaṇe,cf.,"above, o:ga/ o:gaṇe/ o:ge",uncertain alternate,"hockings-pilotraichoor1992[p. 110, col. 2]",,,,76.45
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p110:c2:y0375,130,110,2,375,"o:ge/o:gana/o:ga:su
cf. above,
o:gana/ o:ga:su/o:ge",o:ge/o:gana/o:ga:su,o:ge,o:gana|o:ga:su,cf.,"above, o:gana/ o:ga:su/o:ge",uncertain alternate,"hockings-pilotraichoor1992[p. 110, col. 2]",,,,75.46
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p110:c2:y0396,130,110,2,396,"o:ge/-0:ge adv. at, in, inside,
when, on (a day), with, by, by
means of (-o:ge isa LOC sfx, ei-
ther spatial or temporal; Emeneau
1939: 46 recorded őḍge, ʻ“nside’;
now generally replacing the archa-
ic forms 0]/ul) DEDR 698
‘muccaṇngdeyo:ge ho:ra:fa | hiccaṇndeyo:ge
nalisa:fa'—{[If husband and wife are] not
on good terms during the evening, they
will be playful by midnight (Prov. 669)",o:ge/-0:ge,o:ge,-0:ge,adv.,"at, in, inside, when, on (a day), with, by, by means of",adv suffix archaic uncertain alternate,"hockings-pilotraichoor1992[p. 110, col. 2]",698,,"(-o:ge isa LOC sfx, either spatial or temporal; Emeneau 1939: 46 recorded őḍge, ʻ“nside’; now generally replacing the archaic forms 0]/ul); Hockings and Pilot-Raichoor cite DEDR 698",87.54
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p110:c2:y0517,130,110,2,517,-o:ge/o:ge idem.,-o:ge/o:ge,-o:ge,o:ge,idem.,same as the preceding dictionary entry,alternate uncertain,"hockings-pilotraichoor1992[p. 110, col. 2]",,,,54.84
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p110:c2:y0527,130,110,2,527,"o:godalu n. pocket-like flap in up-
per part of cloth across a woman’s
chest (considered a very safe place
for things-as opposed to hore vo-
dalu; Hockings 1979: 145; < o:ge
+odalu, ‘next+body’)
DEDR 698,
586
o:cu/o:ce/o:se n. heap, mass (ar-
chaic); excl. rhythmic noise made
while winnowing
o:ce/o:cu/o:se idem.
o:ce/o:se n. splendour (archaic;
cf. Skt. aujjvalya, ‘splendour, bril-
liance’)
o:ce ma:du/o:se ma:du idiom. to
brighten things up (¢ o:ce+ma:-
du, ‘splendour+rmake’) DEDR 4797
o:ce ma:du/o:se ma:du idiom.
to winnow, blow away the chaff (<
o:ce+ma:du, ‘heaptmake’) DEDR
4797
o:ji n. garden lizard, Indian garden
lizard, bloodsucker lizard (Calotes
mystaceus, C. nemoricola, C.
ophiomachus or C. versicolor;
cf. o:ṇa ; Macleane 1893: 98-99;
Francis 1908: 84; Hawkins 1986:
264-65) DEDR 1053",o:godalu,o:godalu,,n.,"pocket-like flap in upper part of cloth across a woman’s chest o:cu/o:ce/o:se heap, mass (archaic); rhythmic noise made while winnowing o:ce/o:cu/o:se o:ce/o:se splendour o:ce ma:du/o:se ma:du to brighten things up (¢ o:ce+ma:du, ‘splendour+rmake’) o:ce ma:du/o:se ma:du to winnow, blow away the chaff o:ji garden lizard, Indian garden lizard, bloodsucker lizard",noun interj multiword-expression archaic uncertain,"hockings-pilotraichoor1992[p. 110, col. 2]",698|586|4797|1053,,"(considered a very safe place for things-as opposed to hore vodalu; Hockings 1979: 145; < o:ge +odalu, ‘next+body’); (archaic; cf. Skt. aujjvalya, ‘splendour, brilliance’); (< o:ce+ma:du, ‘heaptmake’); (Calotes mystaceus, C. nemoricola, C. ophiomachus or C. versicolor; cf. o:ṇa; Macleane 1893: 98-99; Francis 1908: 84; Hawkins 1986: 264-65); Hockings and Pilot-Raichoor cite DEDR 698, 586, 4797, 1053",88.56
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p111:c1:y0324,131,111,1,324,"o:ji n. metalworker, woodworker
(cf. Ka. öōja, idem.)",o:ji,o:ji,,n.,"metalworker, woodworker",noun uncertain,"hockings-pilotraichoor1992[p. 111, col. 1]",,,"(cf. Ka. öōja, idem.)",75.35
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p111:c1:y0346,131,111,1,346,"o:ta ma:ṭa n. games, running, rac-
ing, field sport (cf. du:li) DEDR
1041",o:ta ma:ṭa,o:ta ma:ṭa,,n.,"games, running, racing, field sport",noun uncertain,"hockings-pilotraichoor1992[p. 111, col. 1]",1041,,(cf. du:li); Hockings and Pilot-Raichoor cite DEDR 1041,90.60
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p111:c1:y0379,131,111,1,379,"o:ṭalu n. hotel, restaurant, teashop,
cafe (< Eng. hotel)
o:da postposition. with, together
with, in union with DEDR 945
wr o:da | ukko:du’—To be keeping pace
with the village (Prov. 47)",o:ṭalu,o:ṭalu,,n.,"hotel, restaurant, teashop, cafe o:da postposition. with, together with, in union with",noun uncertain,"hockings-pilotraichoor1992[p. 111, col. 1]",945,,(< Eng. hotel); Hockings and Pilot-Raichoor cite DEDR 945,87.12
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p111:c1:y0444,131,111,1,444,"o:di n. running, racing, games
DEDR 1%41
. ella:ra:do:ne o:di a:d? — ...when
everyone is playing, play the game! (Prov.
766b)",o:di,o:di,,n.,"running, racing, games %41",noun uncertain,"hockings-pilotraichoor1992[p. 111, col. 1]",1,,Hockings and Pilot-Raichoor cite DEDR 1,89.25
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p111:c1:y0499,131,111,1,499,"o:dige n. difficulty, hardship DEDR
1041
‘satta uffa:le o:dige:k — Why [would
there be] hardships if we were dead?
(Prov. 237)",o:dige,o:dige,,n.,"difficulty, hardship",noun uncertain,"hockings-pilotraichoor1992[p. 111, col. 1]",1041,,Hockings and Pilot-Raichoor cite DEDR 1041,79.46
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p111:c1:y0556,131,111,1,556,"o:du vi. to run, keep pace, go,
run off, run over, run away, tread,
step, plough, strut, hurry, hurry for-
ward, hurry towards DEDR 1041
o:di kitta be:da | a:di tappa be:d —
Don't get found out when running away!
Don't break your word! (Prov. 1072a)",o:du,o:du,,vi.,"to run, keep pace, go, run off, run over, run away, tread, step, plough, strut, hurry, hurry forward, hurry towards",verb intr uncertain,"hockings-pilotraichoor1992[p. 111, col. 1]",1041,,Hockings and Pilot-Raichoor cite DEDR 1041,89.85
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p111:c2:y0127,131,111,2,127,"o:du n. 1. tile, bowl, potsherd,
broken pottery; 2. baking pot (a
large pot with a hole in one side ca
10 cm. across, used for popping
millet, baking peas, etc.; the hole
in the side is for stirring the con-
tents); 3. rind, outer cover, cara-
pace, shell DEDR 1042
‘..kitto:du tafṭile kai jo:ke? — When re-
moving tiles [from the roof] for dusting,
the hands become sticky (Prov. 571)",o:du,o:du,,n.,"1. tile, bowl, potsherd, broken pottery; 2. baking pot (a large pot with a hole in one side ca 10 cm. across, used for popping millet, baking peas, etc.; the hole in the side is for stirring the contents); 3. rind, outer cover, carapace, shell",noun uncertain,"hockings-pilotraichoor1992[p. 111, col. 2]",1042,,Hockings and Pilot-Raichoor cite DEDR 1042,93.43
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p111:c2:y0247,131,111,2,247,"o:ducu vt to lead, conduct, make
to run DEDR 1041",o:ducu,o:ducu,,vt.,"to lead, conduct, make to run",verb tr uncertain,"hockings-pilotraichoor1992[p. 111, col. 2]",1041,,Hockings and Pilot-Raichoor cite DEDR 1041,90.01
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p111:c2:y0269,131,111,2,269,"o:du muccu idiom. to tile a roof,
cover a roof with tiles (cf. odake/
hodake me:nu)} DEDR 1042, 4915",o:du muccu,o:du muccu,,idiom.,"to tile a roof, cover a roof with tiles }",multiword-expression uncertain,"hockings-pilotraichoor1992[p. 111, col. 2]",1042|4915,,"(cf. odake/ hodake me:nu); Hockings and Pilot-Raichoor cite DEDR 1042, 4915",89.90
