Record_Type,Report,PDF_Page,Printed_Page,Gloss_Number,Gloss,Site_Code,Site_Name,Source_Label,Comparison_Role,Response,Similarity_Group,Transcription,Review,Uncertainty,Status,Reason,Language_ID,Dialect_ID,Source,Entry_Key
wordlist response,john2008jaunsari,43,43,22,blood,G,Sirmauri,Sirmauri,comparison control,1,1,kun,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 43, item 22, Sirmauri]",
wordlist response,john2008jaunsari,43,43,25,village,K,Korwa,Jaunsari-Korwa,target,1,1,gav,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-korwa,"john2008jaunsari[Appendix A.2, printed p. 43, item 25, Korwa]",siljaunsari2008:g025:sil-jaunsari-2008-korwa:i1
wordlist response,john2008jaunsari,43,43,25,village,D,Khanaad,Jaunsari-Khanaad,target,1,1,gav,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-khanaad,"john2008jaunsari[Appendix A.2, printed p. 43, item 25, Khanaad]",siljaunsari2008:g025:sil-jaunsari-2008-khanaad:i1
wordlist response,john2008jaunsari,43,43,25,village,C,Chapnu,Jaunsari-Chapnu,target,1,1,gaw,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-chapnu,"john2008jaunsari[Appendix A.2, printed p. 43, item 25, Chapnu]",siljaunsari2008:g025:sil-jaunsari-2008-chapnu:i1
wordlist response,john2008jaunsari,43,43,25,village,B,Bhandroli,Jaunsari-Bhandroli,target,1,1,gav,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-bhandroli,"john2008jaunsari[Appendix A.2, printed p. 43, item 25, Bhandroli]",siljaunsari2008:g025:sil-jaunsari-2008-bhandroli:i1
wordlist response,john2008jaunsari,43,43,25,village,M,Maindrath,MixedJB-Maindrath,target,1,1,gaw,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-maindrath,"john2008jaunsari[Appendix A.2, printed p. 43, item 25, Maindrath]",siljaunsari2008:g025:sil-jaunsari-2008-maindrath:i1
wordlist response,john2008jaunsari,43,43,25,village,L,Lakhamandal,Jr-Glmix-Lakhamandal,target,1,1,gav,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-lakhamandal,"john2008jaunsari[Appendix A.2, printed p. 43, item 25, Lakhamandal]",siljaunsari2008:g025:sil-jaunsari-2008-lakhamandal:i1
wordlist response,john2008jaunsari,43,43,25,village,A,Chakrata,Jaunsari-Chakratha,target,1,1,gaũ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-chakrata,"john2008jaunsari[Appendix A.2, printed p. 43, item 25, Chakrata]",siljaunsari2008:g025:sil-jaunsari-2008-chakrata:i1
wordlist response,john2008jaunsari,43,43,25,village,h,Hindi,Hindi,comparison control,1,1,gaũ,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 43, item 25, Hindi]",
wordlist response,john2008jaunsari,43,43,25,village,S,Bangani,Bangani,comparison control,1,1,gaũ,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 43, item 25, Bangani]",
wordlist response,john2008jaunsari,43,43,25,village,J,Jaunpuri,Jaunpuri,comparison control,1,1,gɔ̃,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 43, item 25, Jaunpuri]",
wordlist response,john2008jaunsari,43,43,25,village,N,Nagpuriya,Nagpuriya,comparison control,1,1,gaũ,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 43, item 25, Nagpuriya]",
wordlist response,john2008jaunsari,43,43,25,village,G,Sirmauri,Sirmauri,comparison control,1,1,gaũ,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 43, item 25, Sirmauri]",
wordlist response,john2008jaunsari,44,44,26,house,K,Korwa,Jaunsari-Korwa,target,1,1,gɦɐɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-korwa,"john2008jaunsari[Appendix A.2, printed p. 44, item 26, Korwa]",siljaunsari2008:g026:sil-jaunsari-2008-korwa:i1
wordlist response,john2008jaunsari,44,44,26,house,D,Khanaad,Jaunsari-Khanaad,target,1,1,gɦɐɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-khanaad,"john2008jaunsari[Appendix A.2, printed p. 44, item 26, Khanaad]",siljaunsari2008:g026:sil-jaunsari-2008-khanaad:i1
wordlist response,john2008jaunsari,44,44,26,house,C,Chapnu,Jaunsari-Chapnu,target,1,1,gɦɐɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-chapnu,"john2008jaunsari[Appendix A.2, printed p. 44, item 26, Chapnu]",siljaunsari2008:g026:sil-jaunsari-2008-chapnu:i1
wordlist response,john2008jaunsari,44,44,26,house,B,Bhandroli,Jaunsari-Bhandroli,target,1,1,gɔɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-bhandroli,"john2008jaunsari[Appendix A.2, printed p. 44, item 26, Bhandroli]",siljaunsari2008:g026:sil-jaunsari-2008-bhandroli:i1
wordlist response,john2008jaunsari,44,44,26,house,M,Maindrath,MixedJB-Maindrath,target,1,1,gɦɐɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-maindrath,"john2008jaunsari[Appendix A.2, printed p. 44, item 26, Maindrath]",siljaunsari2008:g026:sil-jaunsari-2008-maindrath:i1
wordlist response,john2008jaunsari,44,44,26,house,L,Lakhamandal,Jr-Glmix-Lakhamandal,target,1,1,gɦɐɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-lakhamandal,"john2008jaunsari[Appendix A.2, printed p. 44, item 26, Lakhamandal]",siljaunsari2008:g026:sil-jaunsari-2008-lakhamandal:i1
wordlist response,john2008jaunsari,44,44,26,house,A,Chakrata,Jaunsari-Chakratha,target,1,1,gɦoɾə,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-chakrata,"john2008jaunsari[Appendix A.2, printed p. 44, item 26, Chakrata]",siljaunsari2008:g026:sil-jaunsari-2008-chakrata:i1
wordlist response,john2008jaunsari,44,44,26,house,h,Hindi,Hindi,comparison control,1,1,gɦəɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 44, item 26, Hindi]",
wordlist response,john2008jaunsari,44,44,26,house,S,Bangani,Bangani,comparison control,1,1,gɦəɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 44, item 26, Bangani]",
wordlist response,john2008jaunsari,44,44,26,house,J,Jaunpuri,Jaunpuri,comparison control,1,2,ɖeɾa,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 44, item 26, Jaunpuri]",
wordlist response,john2008jaunsari,44,44,26,house,N,Nagpuriya,Nagpuriya,comparison control,1,1,gɦoɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 44, item 26, Nagpuriya]",
wordlist response,john2008jaunsari,44,44,26,house,G,Sirmauri,Sirmauri,comparison control,1,1,gɦoɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 44, item 26, Sirmauri]",
wordlist response,john2008jaunsari,44,44,27,roof,K,Korwa,Jaunsari-Korwa,target,1,1,tshɐppɐɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-korwa,"john2008jaunsari[Appendix A.2, printed p. 44, item 27, Korwa]",siljaunsari2008:g027:sil-jaunsari-2008-korwa:i1
wordlist response,john2008jaunsari,44,44,27,roof,D,Khanaad,Jaunsari-Khanaad,target,1,1,tshɐppɐɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-khanaad,"john2008jaunsari[Appendix A.2, printed p. 44, item 27, Khanaad]",siljaunsari2008:g027:sil-jaunsari-2008-khanaad:i1
wordlist response,john2008jaunsari,44,44,27,roof,C,Chapnu,Jaunsari-Chapnu,target,1,1,tshɐppɐɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-chapnu,"john2008jaunsari[Appendix A.2, printed p. 44, item 27, Chapnu]",siljaunsari2008:g027:sil-jaunsari-2008-chapnu:i1
wordlist response,john2008jaunsari,44,44,27,roof,B,Bhandroli,Jaunsari-Bhandroli,target,1,1,tʃhapoɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-bhandroli,"john2008jaunsari[Appendix A.2, printed p. 44, item 27, Bhandroli]",siljaunsari2008:g027:sil-jaunsari-2008-bhandroli:i1
wordlist response,john2008jaunsari,44,44,27,roof,M,Maindrath,MixedJB-Maindrath,target,1,1,tshɐppɐɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-maindrath,"john2008jaunsari[Appendix A.2, printed p. 44, item 27, Maindrath]",siljaunsari2008:g027:sil-jaunsari-2008-maindrath:i1
wordlist response,john2008jaunsari,44,44,27,roof,L,Lakhamandal,Jr-Glmix-Lakhamandal,target,1,1,tshɐppɐɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-lakhamandal,"john2008jaunsari[Appendix A.2, printed p. 44, item 27, Lakhamandal]",siljaunsari2008:g027:sil-jaunsari-2008-lakhamandal:i1
wordlist response,john2008jaunsari,44,44,27,roof,L,Lakhamandal,Jr-Glmix-Lakhamandal,target,2,3,tʃheŋa,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-lakhamandal,"john2008jaunsari[Appendix A.2, printed p. 44, item 27, Lakhamandal]",siljaunsari2008:g027:sil-jaunsari-2008-lakhamandal:i2
wordlist response,john2008jaunsari,44,44,27,roof,A,Chakrata,Jaunsari-Chakratha,target,1,1,tʃhəpəɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-chakrata,"john2008jaunsari[Appendix A.2, printed p. 44, item 27, Chakrata]",siljaunsari2008:g027:sil-jaunsari-2008-chakrata:i1
wordlist response,john2008jaunsari,44,44,27,roof,h,Hindi,Hindi,comparison control,1,2,tʃhət,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 44, item 27, Hindi]",
wordlist response,john2008jaunsari,44,44,27,roof,S,Bangani,Bangani,comparison control,1,2,tʃhət̪,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 44, item 27, Bangani]",
wordlist response,john2008jaunsari,44,44,27,roof,J,Jaunpuri,Jaunpuri,comparison control,1,2,tʃhət̪,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 44, item 27, Jaunpuri]",
wordlist response,john2008jaunsari,44,44,27,roof,N,Nagpuriya,Nagpuriya,comparison control,1,2,tʃhət̪,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 44, item 27, Nagpuriya]",
wordlist response,john2008jaunsari,44,44,27,roof,G,Sirmauri,Sirmauri,comparison control,1,1,tʃhəpːər,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 44, item 27, Sirmauri]",
wordlist response,john2008jaunsari,44,44,28,door,K,Korwa,Jaunsari-Korwa,target,1,2,d̪aɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-korwa,"john2008jaunsari[Appendix A.2, printed p. 44, item 28, Korwa]",siljaunsari2008:g028:sil-jaunsari-2008-korwa:i1
wordlist response,john2008jaunsari,44,44,28,door,D,Khanaad,Jaunsari-Khanaad,target,1,2,d̪aɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-khanaad,"john2008jaunsari[Appendix A.2, printed p. 44, item 28, Khanaad]",siljaunsari2008:g028:sil-jaunsari-2008-khanaad:i1
wordlist response,john2008jaunsari,44,44,28,door,C,Chapnu,Jaunsari-Chapnu,target,1,2,d̪aɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-chapnu,"john2008jaunsari[Appendix A.2, printed p. 44, item 28, Chapnu]",siljaunsari2008:g028:sil-jaunsari-2008-chapnu:i1
wordlist response,john2008jaunsari,44,44,28,door,B,Bhandroli,Jaunsari-Bhandroli,target,1,2,d̪aɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-bhandroli,"john2008jaunsari[Appendix A.2, printed p. 44, item 28, Bhandroli]",siljaunsari2008:g028:sil-jaunsari-2008-bhandroli:i1
wordlist response,john2008jaunsari,44,44,28,door,M,Maindrath,MixedJB-Maindrath,target,1,2,d̪aɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-maindrath,"john2008jaunsari[Appendix A.2, printed p. 44, item 28, Maindrath]",siljaunsari2008:g028:sil-jaunsari-2008-maindrath:i1
wordlist response,john2008jaunsari,44,44,28,door,M,Maindrath,MixedJB-Maindrath,target,2,2,d̪ʊaɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-maindrath,"john2008jaunsari[Appendix A.2, printed p. 44, item 28, Maindrath]",siljaunsari2008:g028:sil-jaunsari-2008-maindrath:i2
wordlist response,john2008jaunsari,44,44,28,door,L,Lakhamandal,Jr-Glmix-Lakhamandal,target,1,2,d̪aɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-lakhamandal,"john2008jaunsari[Appendix A.2, printed p. 44, item 28, Lakhamandal]",siljaunsari2008:g028:sil-jaunsari-2008-lakhamandal:i1
wordlist response,john2008jaunsari,44,44,28,door,A,Chakrata,Jaunsari-Chakratha,target,1,2,d̪aɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-chakrata,"john2008jaunsari[Appendix A.2, printed p. 44, item 28, Chakrata]",siljaunsari2008:g028:sil-jaunsari-2008-chakrata:i1
wordlist response,john2008jaunsari,44,44,28,door,h,Hindi,Hindi,comparison control,1,1,d̪əɾʋɐzɐ,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 44, item 28, Hindi]",
wordlist response,john2008jaunsari,44,44,28,door,h,Hindi,Hindi,comparison control,2,2,d̪ʊaɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 44, item 28, Hindi]",
wordlist response,john2008jaunsari,44,44,28,door,S,Bangani,Bangani,comparison control,1,1,d̪əɾʋaza,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 44, item 28, Bangani]",
wordlist response,john2008jaunsari,44,44,28,door,J,Jaunpuri,Jaunpuri,comparison control,1,2,d̪ʋaɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 44, item 28, Jaunpuri]",
wordlist response,john2008jaunsari,44,44,28,door,N,Nagpuriya,Nagpuriya,comparison control,1,2,d̪ʋaɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 44, item 28, Nagpuriya]",
wordlist response,john2008jaunsari,44,44,28,door,G,Sirmauri,Sirmauri,comparison control,1,2,d̪ʋaɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 44, item 28, Sirmauri]",
wordlist response,john2008jaunsari,44,44,29,firewood,K,Korwa,Jaunsari-Korwa,target,1,1,lɐkədɐ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-korwa,"john2008jaunsari[Appendix A.2, printed p. 44, item 29, Korwa]",siljaunsari2008:g029:sil-jaunsari-2008-korwa:i1
wordlist response,john2008jaunsari,44,44,29,firewood,D,Khanaad,Jaunsari-Khanaad,target,1,1,lɐkəɖi,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-khanaad,"john2008jaunsari[Appendix A.2, printed p. 44, item 29, Khanaad]",siljaunsari2008:g029:sil-jaunsari-2008-khanaad:i1
wordlist response,john2008jaunsari,44,44,29,firewood,C,Chapnu,Jaunsari-Chapnu,target,1,1,lɐkəɖi,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-chapnu,"john2008jaunsari[Appendix A.2, printed p. 44, item 29, Chapnu]",siljaunsari2008:g029:sil-jaunsari-2008-chapnu:i1
wordlist response,john2008jaunsari,44,44,29,firewood,B,Bhandroli,Jaunsari-Bhandroli,target,1,1,lɐkəɖɛ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-bhandroli,"john2008jaunsari[Appendix A.2, printed p. 44, item 29, Bhandroli]",siljaunsari2008:g029:sil-jaunsari-2008-bhandroli:i1
wordlist response,john2008jaunsari,44,44,29,firewood,M,Maindrath,MixedJB-Maindrath,target,1,1,lɐkədɐ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-maindrath,"john2008jaunsari[Appendix A.2, printed p. 44, item 29, Maindrath]",siljaunsari2008:g029:sil-jaunsari-2008-maindrath:i1
wordlist response,john2008jaunsari,44,44,29,firewood,L,Lakhamandal,Jr-Glmix-Lakhamandal,target,1,1,lɐkəɖi,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-lakhamandal,"john2008jaunsari[Appendix A.2, printed p. 44, item 29, Lakhamandal]",siljaunsari2008:g029:sil-jaunsari-2008-lakhamandal:i1
wordlist response,john2008jaunsari,44,44,29,firewood,L,Lakhamandal,Jr-Glmix-Lakhamandal,target,2,1,lɐkɐɖə,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-lakhamandal,"john2008jaunsari[Appendix A.2, printed p. 44, item 29, Lakhamandal]",siljaunsari2008:g029:sil-jaunsari-2008-lakhamandal:i2
wordlist response,john2008jaunsari,44,44,29,firewood,A,Chakrata,Jaunsari-Chakratha,target,1,1,ləkɽe,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-chakrata,"john2008jaunsari[Appendix A.2, printed p. 44, item 29, Chakrata]",siljaunsari2008:g029:sil-jaunsari-2008-chakrata:i1
wordlist response,john2008jaunsari,44,44,29,firewood,h,Hindi,Hindi,comparison control,1,1,ləkəɖi,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 44, item 29, Hindi]",
wordlist response,john2008jaunsari,44,44,29,firewood,S,Bangani,Bangani,comparison control,1,1,ləkəɽi,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 44, item 29, Bangani]",
wordlist response,john2008jaunsari,44,44,29,firewood,J,Jaunpuri,Jaunpuri,comparison control,1,1,lakhəɽe,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 44, item 29, Jaunpuri]",
wordlist response,john2008jaunsari,44,44,29,firewood,N,Nagpuriya,Nagpuriya,comparison control,1,1,lakhɽa,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 44, item 29, Nagpuriya]",
wordlist response,john2008jaunsari,44,44,29,firewood,G,Sirmauri,Sirmauri,comparison control,1,1,lɛkɽe,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 44, item 29, Sirmauri]",
wordlist response,john2008jaunsari,44,44,30,broom,K,Korwa,Jaunsari-Korwa,target,1,3,çujəɳə,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-korwa,"john2008jaunsari[Appendix A.2, printed p. 44, item 30, Korwa]",siljaunsari2008:g030:sil-jaunsari-2008-korwa:i1
wordlist response,john2008jaunsari,44,44,30,broom,D,Khanaad,Jaunsari-Khanaad,target,1,3,sujəɳ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-khanaad,"john2008jaunsari[Appendix A.2, printed p. 44, item 30, Khanaad]",siljaunsari2008:g030:sil-jaunsari-2008-khanaad:i1
wordlist response,john2008jaunsari,44,44,30,broom,C,Chapnu,Jaunsari-Chapnu,target,1,3,çujəɳə,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-chapnu,"john2008jaunsari[Appendix A.2, printed p. 44, item 30, Chapnu]",siljaunsari2008:g030:sil-jaunsari-2008-chapnu:i1
wordlist response,john2008jaunsari,44,44,30,broom,B,Bhandroli,Jaunsari-Bhandroli,target,1,3,çujəɳə,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-bhandroli,"john2008jaunsari[Appendix A.2, printed p. 44, item 30, Bhandroli]",siljaunsari2008:g030:sil-jaunsari-2008-bhandroli:i1
wordlist response,john2008jaunsari,44,44,30,broom,M,Maindrath,MixedJB-Maindrath,target,1,5,sujʈɐ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-maindrath,"john2008jaunsari[Appendix A.2, printed p. 44, item 30, Maindrath]",siljaunsari2008:g030:sil-jaunsari-2008-maindrath:i1
wordlist response,john2008jaunsari,44,44,30,broom,L,Lakhamandal,Jr-Glmix-Lakhamandal,target,1,3,sujiɳ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-lakhamandal,"john2008jaunsari[Appendix A.2, printed p. 44, item 30, Lakhamandal]",siljaunsari2008:g030:sil-jaunsari-2008-lakhamandal:i1
wordlist response,john2008jaunsari,44,44,30,broom,A,Chakrata,Jaunsari-Chakratha,target,1,3,suiɳ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-chakrata,"john2008jaunsari[Appendix A.2, printed p. 44, item 30, Chakrata]",siljaunsari2008:g030:sil-jaunsari-2008-chakrata:i1
wordlist response,john2008jaunsari,44,44,30,broom,h,Hindi,Hindi,comparison control,1,1,dʒɦɐɖu,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 44, item 30, Hindi]",
wordlist response,john2008jaunsari,44,44,30,broom,S,Bangani,Bangani,comparison control,1,1,dʒɦɐɖu,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 44, item 30, Bangani]",
wordlist response,john2008jaunsari,44,44,30,broom,S,Bangani,Bangani,comparison control,2,3,ʃuiɳ,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 44, item 30, Bangani]",
wordlist response,john2008jaunsari,44,44,30,broom,J,Jaunpuri,Jaunpuri,comparison control,1,4,bʋanu,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 44, item 30, Jaunpuri]",
wordlist response,john2008jaunsari,44,44,30,broom,N,Nagpuriya,Nagpuriya,comparison control,1,4,bʋaɳɖu,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 44, item 30, Nagpuriya]",
wordlist response,john2008jaunsari,44,44,30,broom,G,Sirmauri,Sirmauri,comparison control,1,3,ʃʋina,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 44, item 30, Sirmauri]",
wordlist response,john2008jaunsari,44,44,31,mortar,K,Korwa,Jaunsari-Korwa,target,1,2,gut̪u,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-korwa,"john2008jaunsari[Appendix A.2, printed p. 44, item 31, Korwa]",siljaunsari2008:g031:sil-jaunsari-2008-korwa:i1
wordlist response,john2008jaunsari,44,44,31,mortar,D,Khanaad,Jaunsari-Khanaad,target,1,2,gut̪u,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-khanaad,"john2008jaunsari[Appendix A.2, printed p. 44, item 31, Khanaad]",siljaunsari2008:g031:sil-jaunsari-2008-khanaad:i1
wordlist response,john2008jaunsari,44,44,31,mortar,C,Chapnu,Jaunsari-Chapnu,target,1,2,gut̪u,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-chapnu,"john2008jaunsari[Appendix A.2, printed p. 44, item 31, Chapnu]",siljaunsari2008:g031:sil-jaunsari-2008-chapnu:i1
wordlist response,john2008jaunsari,44,44,31,mortar,B,Bhandroli,Jaunsari-Bhandroli,target,1,5,ukhjad,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-bhandroli,"john2008jaunsari[Appendix A.2, printed p. 44, item 31, Bhandroli]",siljaunsari2008:g031:sil-jaunsari-2008-bhandroli:i1
wordlist response,john2008jaunsari,44,44,31,mortar,M,Maindrath,MixedJB-Maindrath,target,1,3,okhɐlu,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-maindrath,"john2008jaunsari[Appendix A.2, printed p. 44, item 31, Maindrath]",siljaunsari2008:g031:sil-jaunsari-2008-maindrath:i1
