Key,English_Gloss,Headwords_Override,Labels_Override,Gloss_De_Override,Resolution
p280:e04,give to eat; feed to,,,,
p280:e05,cotton,,,,
p280:e06,grain with awns and straw (unthreshed),,,,
p280:e07,only in khéeli hagúi: little finger,,,,
p280:e08,time,,,,
p280:e09,well,khéer ge,adv.,gut,collocation headword with particle ge
p280:e10,,,,,
p280:e11,side; direction,,,,
p280:e12,below,,,,
p280:e13,under,,,,
p280:e14,located below,,,,
p280:e15,from below,,,,
p280:e16,downward,khírṭe,adv.,(ältere Form für khíṭṭe) nach unten,parenthetical identifies khírṭe as the older form of khíṭṭe
p280:e17,cap; Dardic cap,,,,
p280:e18,thin-bearded,,,,
p280:e19,pea(s),,,,
p280:e20,puppy; also as personal name,,,,
p280:e21,corner,,,,
p280:e22,murderer,,,,
p280:e23,heel,,,,
p280:e24,heir,,,,
p281:e01,lame,,,,
p281:e02,damp,,,,
p281:e03,short,,,,
p281:e04,shirt hem; skirt hem,,,,
p281:e05,"goat, billy goat (as designation of the species); herd (of goats)",,,,
p281:e06,goats and sheep with young,,,,
p281:e07,of goats,,,,
p281:e08,gait; way of walking,,,,
p281:e09,find; obtain,,,,
p281:e10,saliva,,,,
p281:e11,gem; ruby,,,,
p281:e12,catch; grab; hold fast,,,,
p281:e13,thick bushy tail,,,,
p281:e14,get over (an illness); climb over,,,,
p281:e15,move,,,,
p281:e16,be removed; be done away with,,,,
p281:e17,die,,,,
p281:e18,bite; mouthful,,,,
p281:e19,shame,,,,
p281:e20,lick,,,,
p281:e21,be smeared,,,,
p282:e01,heap up,,,,
p282:e02,be obtained,,,,
p282:e03,blood,,,,
p282:e04,visible; known,,,,
p282:e05,bastard; born out of wedlock,,,,
p282:e06,long twig broom,,,,
p282:e07,torch; torchwood,,,,
p282:e08,wretched; poor,,,,
p282:e09,fate,,,,
p282:e10,fate,,,,
p282:e11,violet,,,,
p282:e12,throw away,,,,
p282:e13,be thrown away,,,,
p282:e14,morning (dawn),,,,
p282:e15,foreign,,,,
p282:e16,fox,,,,
p282:e17,fast,,,,
p282:e18,buttocks; anus,,,,
p282:e19,red,,,,
p282:e20,a disease of grain,,,,
p282:e21,wish,,,,
p283:e01,kindle,,,,
p283:e02,I,,,,
p283:e03,mother,,,,
p283:e04,honey,,,,
p283:e05,horse stable,,,,
p283:e06,but,,,,
p283:e07,amidst; between; among,,,,
p283:e08,from the midst of,,,,
p283:e09,mosque,,,,
p283:e10,deceit; cunning,,,,
p283:e11,maize,,,,
p283:e12,elder; chief; leader,,,,
p283:e13,livestock,,,,
p283:e14,father,,,,
p283:e15,mother and father; parents,,,,
p283:e16,ominous; of bad omen,,,,
p283:e17,pearl,,,,
p283:e18,frog,,,,
p283:e19,modest; quiet,,,,
p283:e20,man; human being,,,,
p284:e01,wise old man,,,,
p284:e02,kill,,,,
p284:e03,turn; bend; turning away,,,,
p284:e04,assembly,,,,
p284:e05,death,,,,
p284:e06,illness,,,,
p284:e07,unpaid worker; slave,,,,
p284:e08,like a slave,,,,
p284:e09,turn toward,,,,
p284:e10,gold washing,,,,
p284:e11,gold washer,,,,
p284:e12,(ear)lobe; cartilage,,,,
p284:e13,voice,,,,
p284:e14,clay; loam,,,,
p284:e15,personal name,,,,
p284:e16,"wild animal: markhor, ibex",,,,
p284:e17,swim bladder,,,,
p284:e18,month,,,,
p284:e19,taste,,,,
p284:e20,pregnant,,,,
p284:e21,my,,,,
p284:e22,buttermilk,,,,
p284:e23,personal name,,,,
p284:e24,seedling,,,,
p285:e01,fruit,,,,
p285:e02,fruit-bearing,,,,
p285:e03,urine,,,,
p285:e04,,,,,
p285:e05,a plant (Costus arabicus?),,,,
p285:e06,beautiful; pretty,,,,
p285:e07,place name,,,,
p285:e08,die,,,,
p285:e09,epilepsy,,,,
p285:e10,die,,,,
p285:e11,feverish illness; pneumonia,,,,
p285:e12,mix,,,,
p285:e13,become mixed,,,,
p285:e14,good,,,,
p285:e15,bone marrow,,,,
p285:e16,sliding mountainside; eroding earth,,,,
p285:e17,save,,,,
p285:e18,uncle,,,,
p285:e19,business,,,,
p285:e20,jealousy,,,,
p285:e21,word; matter,,,,
p286:e01,meat,,,,
p286:e02,,,,,
p286:e03,be released; escape; cease; remain; survive,,,,
p286:e04,in front of,,,,
p286:e05,(to the) front,,,,
p286:e06,come forward; be begun,,,,
p286:e07,earlier; forward,,,,
p286:e08,billy goat,,,,
p286:e09,love,,,,
p286:e10,white gem,,,,
p286:e11,face,,,,
p286:e12,turn toward (someone),,,,
p286:e13,in front of,,,,
p286:e14,girl,,,,
p286:e15,root,,,,
p286:e16,tree stump,,,,
p286:e17,"upper, rear part of the room (not used in Gilgit, where pan is used)",,,,
p286:e18,lap,,,,
p286:e19,dead; dead person,,,,
p286:e20,wish; also as personal name,,,,
p286:e21,dead; dead person,,,,
p286:e22,feeble,,,,
p287:e01,man,,,,
p287:e02,other,,,,
p287:e03,fist,,,,
p287:e04,dead; dead person,,,,
p287:e05,pestle,,,,
p287:e06,mouse; rat,,,,
p287:e07,not (prohibitive),,,,
p287:e08,ignorant; stupid,,,,
p287:e09,soul; self,,,,
p287:e10,place name (Nager),,,,
p287:e11,yoke; pair,,,,
p287:e12,pair; partner (in a game); companion(s),,,,
p287:e13,wife's relatives,,,,
p287:e14,together,,,,
p287:e15,naked,,,,
p287:e16,honor,,,,
p287:e17,lead,,,,
p287:e18,unclean; dirty,,,,
p287:e19,pulse; sinew,,,,
p287:e20,downward; down,,,,
p287:e21,pus pimple,,,,
p287:e22,difficult; hard,,,,
p288:e01,name of a festival,,,,
p288:e02,perish; be ruined; get lost,,,,
p288:e03,dance,,,,
p288:e04,,,,,
p288:e05,make dance,,,,
p288:e06,"wrong time, inopportune time",,,,
p288:e07,new,,,,
p288:e08,evil eye,,,,
p288:e09,this (as opposed to re),,,,
p288:e10,"again, anew",,,,
p288:e11,not,,,,
p288:e12,"become eclipsed (of sun or moon), wane (of the moon)",,,,
p288:e13,"go out, come out; turn out to be",,,,
p288:e14,"bring out, take out, excrete",,,,
p288:e15,"cause to take out, drive out",,,,
p288:e16,be brought out,,,,
p288:e17,"worthless, tasteless, insipid",,,,
p288:e18,forehead,,,,
p289:e01,"come out, sprout",,,,
p289:e02,"blue, green",,,,
p289:e03,sleep,,,,
p289:e04,"hungry, hungry person",,,,
p289:e05,healthy,,,,
p289:e06,health,,,,
p289:e07,storax (as a medicine),,,,
p289:e08,extinguish (a light),,,,
p289:e09,"lance, spear",,,,
p289:e10,name,,,,
p289:e11,fingernail,,,,
p289:e12,"flat place, spot in a river carrying little water",,,,
p289:e13,"banknote, note",,,,
p289:e14,"dance, play",,,,
p289:e15,"damage, harm",,,,
p289:e16,is not (present),,,,
p289:e17,daughter-in-law,,,,
p289:e18,"he, this, that (aforementioned) one",,,,
p289:e19,"vomiting, nausea",,,,
p289:e20,dig (up),,,,
p290:e01,"burden, load",,,,
p290:e02,"grain of all kinds, food",,,,
p290:e03,smile,,,,
p290:e04,wind,,,,
p290:e05,guest,,,,
p290:e06,(lower) lip,,,,
p290:e07,lip,,,,
p290:e08,belly,,,,
p290:e09,"fall, settle down; turn out (= become)",,,,
p290:e10,foot,,,,
p290:e11,"ripen, become firm, become perfect",,,,
p290:e12,"fabric, cloth",,,,
p290:e13,piece (of iron),,,,
p290:e14,salt,,,,
p290:e15,"salty, salt-",,,,
p290:e16,"clean, pure",,,,
p290:e17,"ripe, perfect, strong; firm, hard",,,,
p290:e18,"rub in, smear",,,,
p290:e19,whetstone,,,,
p290:e20,"attach oneself, infest (of parasites, demons)",,,,
p291:e01,be smeared,,,,
p291:e02,"authority; hindmost place, seat of honor in the house",,,,
p291:e03,"""become the 15th"", be half over (of a month)",,,,
p291:e04,money,,,,
p291:e05,that (one),,,,
p291:e06,"drop, throw",,,,
p291:e07,veiling; private parts,,,,
p291:e08,in the year before last,,,,
p291:e09,"hear, understand",,,,
p291:e10,"teach, inform",,,,
p291:e11,"equal, same",,,,
p291:e12,"save, be thrifty",,,,
p291:e13,"save, be thrifty",,,,
p291:e14,"see, regard as",,,,
p291:e15,show,,,,
p291:e16,be seen,,,,
p291:e17,dung,,,,
p291:e18,woolen,,,,
p291:e19,desert,,,,
p291:e20,wooden bowl,,,,
p291:e21,leaf,,,,
p291:e22,herdsman,,,,
p292:e01,graft,,,,
p292:e02,shoe,,,,
p292:e03,drink,,,,
p292:e04,give to drink,,,,
p292:e05,ride,,,,
p292:e06,guardian spirit of the hearth fire,,,,
p292:e07,fart,,,,
p292:e08,farting,,,,
p292:e09,"regret, repent",,,,
p292:e10,back,,,,
p292:e11,"step, track",,,,
p292:e12,strap or lower edge (of trousers),,,,
p292:e13,granddaughter,,,,
p292:e14,grandson,,,,
p292:e15,mint,,,,
p292:e16,,,,,
p292:e17,"way, path",,,,
p292:e18,"cellar, underground storeroom, dungeon (?)",,,,
p292:e19,"burst, explode",,,,
p292:e20,"prepare, make ready",,,,
p292:e21,son,,,,
p292:e22,first,,,,
p292:e23,"whole, all; fulfilled",,,,
p293:e01,old,,,,
p293:e02,pimple,,,,
p293:e03,swell,,,,
p293:e04,rich,,,,
p293:e05,,,,,
p293:e06,tail,,,,
p293:e07,little tail,,,,
p293:e08,wing,,,,
p293:e09,fig tree,,,,
p293:e10,"split, break open",,,,
p293:e11,burst,,,,
p293:e12,"plough iron (iron part of the plough), ploughshare",,,,
p293:e13,"move quickly: be tossed about, fly, ride",,,,
p293:e14,throw,,,,
p293:e15,tear out,,,,
p293:e16,"thin flatbread, especially for festive days",,,,
p293:e17,"spoil (of milk), change",,,,
p293:e18,"wander about, turn, rotate",,,,
p293:e19,"spread, live on",,,,
p293:e20,turn,,,,
p293:e21,"turn around, turn over",,,,
p294:e01,again (pharí ga: nevertheless),,,,
p294:e02,"be turned, turn back",,,,
p294:e03,turn,,,,
p294:e04,"(it is at an) end, (it is) over",,,,
p294:e05,"be left, be abandoned, remain behind",,,,
p294:e06,"leave behind, put down, leave, let go",,,,
p294:e07,behind,,,,
p294:e08,"second, rear",,,,
p294:e09,behind,,,,
p294:e10,"afterwards, later",,,,
p294:e11,(in phatú čhup) rear end,,,,
p294:e12,turned backwards,,,,
p294:e13,"behind, backwards; formerly",,,,
p294:e14,kick,,,,
p294:e15,"go bald, lose one's hair",,,,
p294:e16,bald-headed (or scabby; of a disease causing hair loss and itching),phaṭáko | phaṛáko,adj. m.,"kahlköpfig (oder grindig; zur Bezeichnung einer Krankheit, die sich durch Haarverlust und Jucken äußert)",printed alternate (auch phaṛáko) promoted to a variant row
p294:e17,thigh,,,,
p294:e18,knock over,,,,
p294:e19,"strong, thick",,,,
p294:e20,"burst, break open",,,,
p294:e21,,,,,
p294:e22,time (occasion),,,,
p294:e23,"whirl, whirlpool",,,,
p295:e01,"beautiful, pretty",,,,
p295:e02,chirping of a sparrow,,,,
p295:e03,ant,,,,
p295:e04,chirping of a sparrow,,,,
p295:e05,"circle, move in a circle",,,,
p295:e06,"millet, a kind of millet",,,,
p295:e07,shoulder,,,,
p295:e08,"blister (on the hand), bump",,,,
p295:e09,"shell, peel (of onion, egg, walnut)",,,,
p295:e10,breath,,,,
p295:e11,"puff, blow",,,,
p295:e12,dew,,,,
p295:e13,moustache,,,,
p295:e14,"trachoma; crumb, small piece",,,,
p295:e15,burst,,,,
p295:e16,"flower, blossom",,,,
p295:e17,bloom,,,,
p295:e18,fireplace with two stones,,,,
p295:e19,"turn back and forth, scratch up, poke around in",,,,
p295:e20,"reed, rushes",,,,
p295:e21,wave about,,,,
p295:e22,spindle whorl,,,,
p295:e23,"charred, half-burnt wood",,,,
p295:e24,"apparently, to all appearances",,,,
p295:e25,"break, shatter",,,,
p296:e01,"break, be broken",,,,
p296:e02,"be broken, burst",,,,
p296:e03,shoulder,,,,
p296:e04,scatter,,,,
p296:e05,grave,,,,
p296:e06,pea,,,,
p296:e07,weep,,,,
p296:e08,say,,,,
p296:e09,king,,,,
p296:e10,"guard, protect",,,,
p296:e11,rifle,,,,
p296:e12,"sick, sick person",,,,
p296:e13,illness,,,,
p296:e14,mercy,,,,
p296:e15,"cook, be cooked",,,,
p296:e16,like a king,,,,
p296:e17,"kingship, rule",,,,
p296:e18,"raja-, royal",,,,
p296:e19,"string, small rope",,,,
p296:e20,rope (larger than raj̆óṭi),,,,
p296:e21,wish,,,,
p297:e01,"plate, platter",,,,
p297:e02,palace,,,,
p297:e03,noble (of a horse),,,,
p297:e04,cook,,,,
p297:e05,"dye, color",,,,
p297:e06,(with th-) flap (wings),,,,
p297:e07,make weep,,,,
p297:e08,"custom, tradition",,,,
p297:e09,"eyesight, vision",,,,
p297:e10,king (Dareli for Gilgit Shina ráa),,,,
p297:e11,night,,,,
p297:e12,"hold up, stop",,,,
p297:e13,"be held up, be stopped",,,,
p297:e14,,,,,
p297:e15,"talk, gossip",,,,
p297:e16,"that, she",,,,
p297:e17,weep,,,,
p297:e18,move,,,,
p297:e19,that,,,,
p297:e20,illness,,,,
p297:e21,having become angry (?) (uncertain reading from Lorimer's manuscript),,,,
p297:e22,weeping,,,,
p298:e01,"relatives, society, social standing, social status",,,,
p298:e02,personal name,,,,
p298:e03,color,,,,
p298:e04,anger,,,,
p298:e05,fast,,,,
p298:e06,"food, nourishment",,,,
p298:e07,"soul, spirit",,,,
p298:e08,heal,,,,
p298:e09,"active, nimble man (obsolete)",,,,
p298:e10,witch,,,,
p298:e11,"frail, weak",,,,
p298:e12,high pasture,,,,
p298:e13,rupee,,,,
p298:e14,"sleep, lie",,,,
p298:e15,"proven, certain",,,,
p298:e16,patience,,,,
p298:e17,proof,,,,
p298:e18,true,,,,
p298:e19,"easy, simple",,,,
p298:e20,clever one,,,,
p298:e21,dream,,,,
p298:e22,"alms, offering",,,,
p299:e01,journey,,,,
p299:e02,Safar (month name),,,,
p299:e03,year,,,,
p299:e04,"recognize, judge",,,,
p299:e05,well,,,,
p299:e06,"like, as",,,,
p299:e07,gather,,,,
p299:e08,"make, produce",,,,
p299:e09,"nursing (of a woman, from childbirth until weaning of the child)",,,,
p299:e10,large family,,,,
p299:e11,,,,,
p299:e12,lake; sea,,,,
p299:e13,"clever, strong; clever one",,,,
p299:e14,"hoof, horseshoe",,,,
p299:e15,seven,,,,
p299:e16,time,,,,
p299:e17,companion,,,,
p299:e18,(together) with,,,,
p299:e19,"wise, clever; wise one",,,,
p299:e20,"sister's son, nephew",,,,
p299:e21,"Sayyid, title of a descendant of the Prophet Muhammad",,,,
p299:e22,"landed property, much land",,,,
p299:e23,sew,,,,
p299:e24,army,,,,
p300:e01,,,,,
p300:e02,learn,,,,
p300:e03,sand,,,,
p300:e04,thread,,,,
p300:e05,known,,,,
p300:e06,personal name,,,,
p300:e07,"virtuous, virtuous woman",,,,
p300:e08,"virtue, morality",,,,
p300:e09,river,,,,
p300:e10,"gather, assemble",,,,
p300:e11,secret,,,,
p300:e12,,,,,
p300:e13,friend,,,,
p300:e14,"smoke hole, roof opening",,,,
p300:e15,gold,,,,
p300:e16,queen,,,,
p300:e17,golden,,,,
p300:e18,needle,,,,
p300:e19,a vegetable,,,,
p300:e20,"straight, right; truth",,,,
p300:e21,truth,,,,
p300:e22,personal name,,,,
p300:e23,"understand, know",,,,
p300:e24,"earth, dust",,,,
p301:e01,name of a mythical king of Gilgit,,,,
p301:e02,month name,,,,
p301:e03,name of a witch who threatens small children and pregnant women,,,,
p301:e04,sun; day,,,,
p301:e05,"oboe player, surnai player",,,,
p301:e06,,,,,
p301:e07,sting (of an insect),,,,
p301:e08,"vegetables, vegetarian sauce for rice or bread",,,,
p301:e09,"curse, insult, disgrace",,,,
p301:e10,pupil,,,,
p301:e11,martyr,,,,
p301:e12,"shape, form",,,,
p301:e13,sugar,,,,
p301:e14,arm,,,,
p301:e15,hundred,,,,
p301:e16,fever,,,,
p301:e17,wolf,,,,
p301:e18,,,,,
p301:e19,chain,,,,
p301:e20,whip,,,,
p301:e21,"markhor, wild goat",,,,
p301:e22,(religious) law,,,,
p301:e23,"shame, disgrace",,,,
p302:e01,autumn month,,,,
p302:e02,autumnal,,,,
p302:e03,strength,,,,
p302:e04,mighty,,,,
p302:e05,dry out,,,,
p302:e06,glacier,,,,
p302:e07,garden bed,,,,
p302:e08,white,,,,
p302:e09,"thrive, be healthy",,,,
p302:e10,devil,,,,
p302:e11,"be good, thrive, be prosperous",,,,
p302:e12,almost,šíi ga,adv.,fast,collocation headword with particle ga
p302:e13,"goodness, prosperity",,,,
p302:e14,beat,,,,
p302:e15,let cool down,,,,
p302:e16,cold,,,,
p302:e17,generous,,,,
p302:e18,ache,,,,
p302:e19,"story, tale",,,,
p302:e20,ginger,,,,
p302:e21,like,,,,
p302:e22,"lung disease, tuberculosis",,,,
p302:e23,"part of the house, space on either side of the hearth",,,,
p303:e01,good,,,,
p303:e02,"front part of the house, part of the house near the entrance",,,,
p303:e03,penis,,,,
p303:e04,barren,,,,
p303:e05,"care, attentiveness",,,,
p303:e06,"pay attention to, be on guard against",,,,
p303:e07,"swelling, lump",,,,
p303:e08,dog,,,,
p303:e09,"child, boy",,,,
p303:e10,childhood,,,,
p303:e11,make friends,,,,
p303:e12,female friend,,,,
p303:e13,friend,,,,
p303:e14,omen,,,,
p303:e15,dry place,,,,
p303:e16,dry,,,,
p303:e17,Friday,,,,
p303:e18,"birth pain, labor pains",,,,
p303:e19,wren,,,,
p303:e20,enjoy oneself,,,,
p303:e21,mushroom,,,,
p304:e01,dry up,,,,
p304:e02,apricot vinegar,,,,
p304:e03,corner,,,,
p304:e04,mother-in-law,,,,
p304:e05,"attach, join; embrace",,,,
p304:e06,praise,,,,
p304:e07,attach oneself; afflict (of an illness); take effect (of medicine); get stuck; be concluded (of a bet),,,,
p304:e08,servant,,,,
p304:e09,nape of the neck,,,,
p304:e10,"full, smooth",,,,
p304:e11,six-month,,,,
p304:e12,"cause to be joined, cause to be attached",,,,
p304:e13,pass by,,,,
p304:e14,roll,,,,
p304:e15,henna,,,,
p304:e16,immediately,,,,
p304:e17,blind,,,,
p304:e18,member of the Shin ethnic group,,,,
p304:e19,Shina (language name),,,,
p304:e20,"Shin, belonging to the Shin",,,,
p305:e01,horn,,,,
p305:e02,butt with the horns,,,,
p305:e03,wild rose,,,,
p305:e04,head,,,,
p305:e05,"head (of a slaughtered bull), skull",,,,
p305:e06,a vegetable,,,,
p305:e07,neck,,,,
p305:e08,"rest, repose",,,,
p305:e09,whistle,,,,
p305:e10,,,,,
p305:e11,baking sheet,,,,
p305:e12,physician,,,,
p305:e13,work (a gemstone),,,,
p305:e14,hatchet,,,,
p305:e15,brand mark,,,,
p305:e16,ash of burnt grass,,,,
p305:e17,ceiling,,,,
p305:e18,sole (of the foot),,,,
p305:e19,roof of the mouth,,,,
p305:e20,shrub,,,,
p305:e21,swim,,,,
p305:e22,wet,,,,
p305:e23,desire,,,,
p306:e01,thin,,,,
p306:e02,wooden bread-turner,,,,
p306:e03,bread griddle,,,,
p306:e04,heat,,,,
p306:e05,become warm,,,,
p306:e06,be heated,,,,
p306:e07,personal name,,,,
p306:e08,star,,,,
p306:e09,spider,,,,
p306:e10,"cut into, score",,,,
p306:e11,roof,,,,
p306:e12,pat (baby talk),,,,
p306:e13,"old, worn out",,,,
p306:e14,warm,,,,
p306:e15,,,,,
p306:e16,fresh,,,,
p306:e17,and,,,,
p306:e18,oil,,,,
p306:e19,dry ablution before prayer,,,,
p306:e20,"bast, inner side of tree bark, skin (on milk)",,,,
p306:e21,"value, praise",,,,
p306:e22,"spot, stain",,,,
p306:e23,saddle,,,,
p307:e01,"endure, bear",,,,
p307:e02,"sharp, fast, active, clever",,,,
p307:e03,stalk,,,,
p307:e04,breast,,,,
p307:e05,then (postverbal marker of a conditional protasis),to | toó | -t,adv.,"Postverbal zur Markierung der Protasis im Konditionalsatz: (wenn ...), dann","three printed headword shapes: to, toó, postvocalic -t"
p307:e06,,,,,gloss-less in print: bare Partikel entry with Urdu loan reference
p307:e07,weigh,,,,
p307:e08,a weight,,,,
p307:e09,tree,,,,
p307:e10,own,,,,
p307:e11,own,,,,
p307:e12,"and, also",,,,
p307:e13,half,,,,
p307:e14,shake (the hands),,,,
p308:e01,you,,,,
p308:e02,"twig, small stick",,,,
p308:e03,,,,,
p308:e04,amulet,,,,
p308:e05,"a plant, a kind of dragonhead",,,,
p308:e06,navel,,,,
p308:e07,basket,,,,
p308:e08,gun,,,,
p308:e09,become satiated,,,,
p308:e10,"say, do, make; designate as, consider as",,,,
p308:e11,,,,,
p308:e12,carpenter,,,,
p308:e13,platform,,,,
p309:e01,"small metal tray, plate",,,,
p309:e02,basket,,,,
p309:e03,"flight, flying",,,,
p309:e04,cause to do,,,,
p309:e05,your,,,,
p309:e06,"it was said, it is said",,,,
p309:e07,"be done, be made",,,,
p309:e08,drip,,,,
p309:e09,drop,,,,
p309:e10,,,,,
p309:e11,billy goat,,,,
p309:e12,paw,,,,
p309:e13,leather gaiter(s),,,,
p309:e14,"dirt, filth",,,,
p309:e15,spitting,,,,
p309:e16,,,,,
p309:e17,"spit, saliva",,,,
p309:e18,whip,,,,
p309:e19,beak,,,,
p309:e20,nod off,,,,
p309:e21,"bound to, linked with",,,,
p309:e22,enough,,,,
p309:e23,sheaf,,,,
p310:e01,bread made of maize or millet,,,,
p310:e02,pony,,,,
p310:e03,"bread, food",,,,
p310:e04,"stick, club, threshing flail",,,,
p310:e05,"tin, can, sheet metal",,,,
p310:e06,get diarrhea,,,,
p310:e07,bellow (like a bull),,,,
p310:e08,small gourd calabash,,,,
p310:e09,"gourd, gourd calabash",,,,
p310:e10,bend down low,,,,
p310:e11,"quack, croak",,,,
p310:e12,peck,,,,
p310:e13,amulet,,,,
p310:e14,personal name,,,,
p310:e15,cause to fart,,,,
p310:e16,twitch,,,,
p310:e17,twitch,,,,
p310:e18,sweep,,,,
p310:e19,to the utmost limit,,,,
p310:e20,press out,,,,
p310:e21,"art, skill",,,,
p310:e22,"art, skill",,,,
p311:e01,"sin, transgression",,,,
p311:e02,spring (of water),,,,
p311:e03,become a spring,,,,
p311:e04,fire tongs,,,,
p311:e05,"flee, run away",,,,
p311:e06,drive away,,,,
p311:e07,"get to, reach",,,,
p311:e08,"take, take over (from someone)",,,,
p311:e09,dust,,,,
p311:e10,search (for),,,,
p311:e11,mortar,,,,
p311:e12,be sought,,,,
p311:e13,"slope, sloping land",,,,
p311:e14,"steep, sloping (of a mountain or path)",,,,
p311:e15,"false, futile, inconstant",,,,
p311:e16,age (of life),,,,
p311:e17,"bring up, nourish",,,,
p311:e18,nursling (child given to another woman to raise),,,,
p311:e19,head (of the bed),,,,
p311:e20,"far, invisible, hidden",,,,
p311:e21,lamb,,,,
p311:e22,"wild sheep, urial",,,,
p311:e23,be filled (with water),,,,
p311:e24,relative,,,,
p312:e01,master,,,,
p312:e02,"debt, loan",,,,
p312:e03,debtor,,,,
p312:e04,"a bird, sparrow",,,,
p312:e05,high,,,,
p312:e06,stand up,,,,
p312:e07,camel,,,,
p312:e08,summer,,,,
p312:e09,summer rain,,,,
p312:e10,hungry,,,,
p312:e11,come,,,,
p312:e12,O! (in address),,,,
p312:e13,cry of the fox,,,,
p312:e14,faithful,,,,
p312:e15,time,,,,
p312:e16,groom (one's moustache),,,,
p312:e17,"fetch, bring",,,,
p312:e18,cause to bring,,,,
p312:e19,entrails,,,,
p312:e20,"order, sequence",,,,
p313:e01,"in the direction of, toward",,,,
p313:e02,lament,,,,
p313:e03,weight,,,,
p313:e04,water,,,,
p313:e05,water duck,,,,
p313:e06,ford,,,,
p313:e07,"lay, set, let, throw",,,,
p313:e08,angry,,,,
p313:e09,empty,,,,
p313:e10,service,,,,
p313:e11,God,,,,
p313:e12,or,,,,
p313:e13,canal,,,,
p313:e14,a kind of spirit or demon,,,,
p313:e15,"go, move",,,,
p313:e16,conviction,,,,
p313:e17,first; better (than),,,,
p313:e18,cause to go,,,,
p313:e19,"friend, beloved",,,,
p313:e20,friend,,,,
p314:e01,orphan,,,,
p314:e02,barley,,,,
p314:e03,winter,,,,
p314:e04,regulating stick (in the mill),,,,
p314:e05,water mill,,,,
p314:e06,"mill owner, miller",,,,
p314:e07,moon,,,,
p314:e08,"fitting, suitable",,,,
p314:e09,"make a din, raise a clamor",,,,
p314:e10,beat,,,,
p314:e11,"time, era",,,,
p314:e12,agriculture,,,,
p314:e13,press,,,,
p314:e14,"damage, harm",,,,
p314:e15,goldsmith,,,,
p314:e16,"need, necessity",,,,
p314:e17,"manner, way",,,,
p314:e18,responsible (for),,,,
p314:e19,life,,,,
p314:e20,livelihood,,,,
p314:e21,brother,,,,
p314:e22,"wealth, property",,,,
p314:e23,donkey,,,,
p315:e01,pull,,,,
p315:e02,bite,,,,
p315:e03,large leather sack,,,,
p315:e04,stretch out,,,,
p315:e05,for a long time,,,,
p315:e06,long,,,,
p315:e07,"a bird with a red beak (Lorimer: chough, Bailey: red-billed jackdaw)",,,,
p315:e08,"an edible plant, also used as a medicinal plant",,,,
