Snapshot_Date,Entry_Key,GUID,Letter,Page,Entry_Kind,Headword,Homograph,IPA,Part_Of_Speech,Sense_Count,Sense_Number,Gloss_English,Gloss_Hindi,Definition_Kind,Usage_Note,Semantic_Domains,Example,Example_Translation,Complex_Form_Type,Complex_Form_Parts,Variant_Of_Type,Variant_Of_Target,Variant_Of_Key,Variant_Backref_Type,Variant_Backref_Target,Cross_Reference_Type,Cross_Reference_Target,Status,Reason,Record_SHA256
2026-08-26,woods2019halbi:g2c06a00d-f4ed-4b3d-bec8-df1b44e4c378,g2c06a00d-f4ed-4b3d-bec8-df1b44e4c378,त,4,minorentrycomplex,बोरक तीनक,,borək tinək,cn,1,,three years,,definition,,8.4.1 Period of time,,,comp. of,बोरक + तीनक,,,,,,,,installed,,f562265092fbdb4aa527c66b79494cf38e36c9238a842585faf339b980b15c7b
2026-08-26,woods2019halbi:g2c10abad-6502-4a90-b30c-91a1381e4631,g2c10abad-6502-4a90-b30c-91a1381e4631,ढ,1,minorentrycomplex,ढापलो,,ɖʰaplo,adj,1,,closed,बदँ,definition,,7.3.6 Open,,,,,,,,,,,,installed,,29f453fefc97f20a168555a4d51fe6212d4cf01fc346b4cf06682d6bc73bd9be
2026-08-26,woods2019halbi:g2c178ab3-499f-4947-8e95-0c122f202efa,g2c178ab3-499f-4947-8e95-0c122f202efa,त,6,minorentryvariant,तूमारे,,tumare,,0,,,,,,,,,,,borr. fr. Hin,तूमचो,woods2019halbi:g694c6c70-6a40-43d3-be5a-00e77e1e776a,,,,,installed,,ee344790c26a3a480109b90e4bd01fb0b416d4f7540df878ca76ed26d0eabe78
2026-08-26,woods2019halbi:g2c18a818-892f-4e9c-9768-2a3d8aad96a4,g2c18a818-892f-4e9c-9768-2a3d8aad96a4,ब,16,minorentryvariant,बेचते होऊक,,betʃte houk,,0,,,,,,,,,,,borr. fr. Hin,बीकूक,woods2019halbi:gb17234ff-38f3-4cee-8af9-293b1c9e1dde,,,,,installed,,cc29b2732c7938f454a3c5b4c1b47079ee9ece68e8ec331a52ffa5957152b562
2026-08-26,woods2019halbi:g2c242fb0-f9f7-4aa4-92fc-437828633a22,g2c242fb0-f9f7-4aa4-92fc-437828633a22,ल,6,minorentrycomplex,लागे लाग,,laɡe laɡ,comAdj,1,,lined up; queued up,कतारबद्ध; पंक्तिबद्ध,definition,,7.5 Arrange,परभत मन लागे लाग आसे।,The mountains are lined up.,comp. of,लागे + ए,,,,,,,,installed,,2f8327683cb14550475e65e148ed559a30fc558223bb2ccf68d31564c58c115e
2026-08-26,woods2019halbi:g2c3f89fe-83ae-4e5d-b054-0013e8e1e6fd,g2c3f89fe-83ae-4e5d-b054-0013e8e1e6fd,भ,2,entry,भाजूक,,bʰadʒuk,,2,1,to fry,तलना; फ्राई करना,definition,,5.2.1.1 Cooking methods,"आरू तेल सँगे भाजतोर आए, टोरा तेल सँगे।","And. One is to be frying with oil, with tora oil.",,,,,,,,,,installed,,07978e40cf465bcba03f01aac8c9f76e2d2286c23d3bdc67aa6b72202f284fc6
2026-08-26,woods2019halbi:g2c3f89fe-83ae-4e5d-b054-0013e8e1e6fd,g2c3f89fe-83ae-4e5d-b054-0013e8e1e6fd,भ,2,entry,भाजूक,,bʰadʒuk,,2,2,to roast,भूनना,definition,,5.2.1.1 Cooking methods,तेबे हून रबी कोन कोन हून बोकड़ा मन के भाजून भाजून खादला मने ठाना ने।,"Then that Rabi or whomever having roasted those goats they ate (them) at the place, so I'm told.",,,,,,,,,,installed,,7ba02907d85b326ce51a5268e32f5a6345af28f66213d3ab5be528321735eed5
2026-08-26,woods2019halbi:g2c420606-860e-4503-be53-6432d1377d2f,g2c420606-860e-4503-be53-6432d1377d2f,ढ,3,entry,ढोड़ी,,ɖʰoɽi,n,1,,stream,धारा,definition,,1.3.2 Movement of water,,,,,,,,,,,,installed,,a48a71903e4b4840abcae3404810d9b8bc7a96bac7005a14580628141d77dd71
2026-08-26,woods2019halbi:g2c4bd8f6-11ce-4b1b-bf70-52c598be79b7,g2c4bd8f6-11ce-4b1b-bf70-52c598be79b7,प,14,entry,पोएँकनाएँ,,poẽknaẽ,adv,1,,uncertain meaning,,definition,,,,,,,,,,,,,,installed,,f528fc610e4f406d6a6ff3781b11667789fb412258fa82fce9d944a3cbd6229c
2026-08-26,woods2019halbi:g2c77453d-9fa0-47b2-bb01-472e43e8eb1c,g2c77453d-9fa0-47b2-bb01-472e43e8eb1c,प,7,entry,पानी नरी,,pani nəri,cn,1,,bullet-like water,,definition,story form,,,,,,,,,,,,,installed,,af32f7a8b77114b151ac1669364a03868167d98c2bdc8a153cbe03a51bd13404
2026-08-26,woods2019halbi:g2c780710-1fa7-470b-8103-ac85e20e25ea,g2c780710-1fa7-470b-8103-ac85e20e25ea,र,2,entry,रसना,,rəsna,n,1,,bush name; leafy branch put on houses during  festival,,definition,,"4.2.2.1 Ceremony; 1.5.3 Grass, herb, vine; 4.2.2.2 Festival, show",रसना कोचेसे।,He is sticking the leafy branch (into the wall of the house).,,,,,,,,,,installed,,bcaab227aa403346438d25ee86eb44cb2ca598dd6e0b64e30673401dba085b65
2026-08-26,woods2019halbi:g2c78f7b1-a04e-4892-9b4d-87d8af81a303,g2c78f7b1-a04e-4892-9b4d-87d8af81a303,प,16,minorentrycomplex,सूबान पोकाऊक,,suban pokauk,comVb,1,,to try out names together to see if sound good together,,definition,,,,,ph. v. of,पोकाऊक + सूबाऊक,,,,,,,,installed,,85a4ec77c9155b97ead438f894ce3fa018346fdfbd73a6a406b4463836705f4f
2026-08-26,woods2019halbi:g2c7ab582-5790-4df4-9dff-60432d860886,g2c7ab582-5790-4df4-9dff-60432d860886,प,12,entry,पेंडरी,,pẽɖri,n,1,,calf of leg,पैर का पिंडली हिस्सा,definition,,2.1.3.2 Leg,,,,,,,,,,,,installed,,d247fc8c2a902418c0e92ea66e40a872671e5b72cc85f6b3f66378f84f363361
2026-08-26,woods2019halbi:g2c7cf776-52b6-454b-ad2a-ec1767aae2d4,g2c7cf776-52b6-454b-ad2a-ec1767aae2d4,फ,3,minorentryvariant,फीरूक,,pʰiruk,,0,,,,,,,,,,,borr. fr. Hin,फेर,woods2019halbi:gc86553c2-5a82-418b-895f-30cb64867a8b,,,,,installed,,c571dfbf3e86fee675752585fabae1287a8a069de24cd460e8d76658b74d5edc
2026-08-26,woods2019halbi:g2c7eaae0-03c9-4c94-8d32-923e5f1092f9,g2c7eaae0-03c9-4c94-8d32-923e5f1092f9,ब,17,subentry,बेची,,betʃi,n,1,,fetching,लाना,gloss,,,हूता गोटक खड़ के बेची नी होए।,There isn't even one piece of straw to fetch.,,,,,,,,cf,बेचूक,installed,,839f68fce3ac1b66cc4d4addeb089cb29d9e0348b6127a387d16b4573481cc29
2026-08-26,woods2019halbi:g2c874eaf-2f3d-4815-96d9-2114d4c87dc8,g2c874eaf-2f3d-4815-96d9-2114d4c87dc8,प,5,entry,पाटी,1,paʈi,n,2,1,middle part of  net,केंद्र; मध्य भाग,definition,,6.7.8 Parts of tools; 8.6 Parts of things; 6.4.5 Fishing,आगे पाटी गाततोर आएत।,"Initially, the middle part of the net is to be knotted.",,,,,,,,,,installed,,67fc9eb0b5f9e0618bea2d699fb0f508f12884fbbe5af9087a0673ce91f002ac
2026-08-26,woods2019halbi:g2c874eaf-2f3d-4815-96d9-2114d4c87dc8,g2c874eaf-2f3d-4815-96d9-2114d4c87dc8,प,5,entry,पाटी,1,paʈi,n,2,2,main roof beam,मुख्य कंठा; मुख्य सलाख,definition,,6.5.1.1 House; 6.5.2.2 Roof,,,,,,,,,,,,installed,,5907900c809bc399b6c6a22adc523f9bfea766a33bd39e0e3be75edcb1036f6e
2026-08-26,woods2019halbi:g2c937cf9-cd37-419b-8ace-bc31e01d6262,g2c937cf9-cd37-419b-8ace-bc31e01d6262,म,4,entry,माए लोटेआ,,mae loʈea,idiom,1,,exclamation of anger; one who has sex with his mother,,definition,lit: male person who has sexual intercourse with his mother,2.6.2 Sexual relations,,,,,,,,,,,,installed,,64c0286264d8ab2befcadda4caf18c5a5174e4da36546635c6cebe67f145d3ad
2026-08-26,woods2019halbi:g2c9aa6bb-2e88-4183-b757-c62121963759,g2c9aa6bb-2e88-4183-b757-c62121963759,ल,1,entry,लक लक लक लक,,lək lək lək lək,sound,1,,manner of doing,,definition,,,,,,,,,,,,,,installed,,ccbee2a6e925d7d0717f9b695e43e85d11e9abc9471d69827c16136f66c70fb2
2026-08-26,woods2019halbi:g2ca7a3b5-fb5d-4aac-b3be-b8d5158a566f,g2ca7a3b5-fb5d-4aac-b3be-b8d5158a566f,र,1,entry,रँगूक,,rə̃ɡuk,v,1,,to crawl over lightly; to be tickled by something moving over skin,,definition,,"7.2.3.5 Move past, over, through",चाटी रँगते रोए,The ant was tickling as it crawled over (my skin).,,,,,,,,,,installed,,25dc63114182a103277e7208c31a6c527bf8f50fc90d61eb12e6b651ef750392
2026-08-26,woods2019halbi:g2caa0344-a7a1-4bdc-8009-b92161b28403,g2caa0344-a7a1-4bdc-8009-b92161b28403,ग,3,minorentryvariant,गपी,,ɡəpi,,0,,,,,,,,,,,fr. var. of,गपी चँदर,woods2019halbi:gc21f308b-ce94-4d99-be98-58a235d18b8d,,,,,installed,,67e0490d3b79c227d6ce0eb8e5a1899d196f15049a54ed6a19115d2cd7be746a
2026-08-26,woods2019halbi:g2cade755-d889-49aa-a18e-fadd7816d8c2,g2cade755-d889-49aa-a18e-fadd7816d8c2,भ,5,entry,भूईं,,bʰuĩ,n,4,1,ground,ज़मीन; भूमि,definition,,,घर मोनातोर होलेने लोग मन आगे भूईं ने ईतलो गड़ेआ खोड़ूआत।,"When building a house, people will first dig up the ground to a certain depth.",,,,,,,,cf; cf; cf,जीमी डोलूक; भूईं बाड़ी लोग; भूईं बाड़ी रोलो लोग,installed,,0433c7d18b131d213856b20493f392dc8002fe61c3fdd46d0b8a05b013f255fa
2026-08-26,woods2019halbi:g2cade755-d889-49aa-a18e-fadd7816d8c2,g2cade755-d889-49aa-a18e-fadd7816d8c2,भ,5,entry,भूईं,,bʰuĩ,n,4,2,earth,धरती,definition,,,,,,,,,,,,cf; cf; cf,जीमी डोलूक; भूईं बाड़ी लोग; भूईं बाड़ी रोलो लोग,installed,,df29a2ac18320420cc1f3d1ccdb1f0d28b19b935a05a4d1203ced89197347b69
2026-08-26,woods2019halbi:g2cade755-d889-49aa-a18e-fadd7816d8c2,g2cade755-d889-49aa-a18e-fadd7816d8c2,भ,5,entry,भूईं,,bʰuĩ,n,4,3,floor,ज़मीन; फर्श,definition,,,,,,,,,,,,cf; cf; cf,जीमी डोलूक; भूईं बाड़ी लोग; भूईं बाड़ी रोलो लोग,installed,,b15e936af7ff69e7a83a78d3f2fa414197b842a8a029de825ca967ce5faf6168
2026-08-26,woods2019halbi:g2cade755-d889-49aa-a18e-fadd7816d8c2,g2cade755-d889-49aa-a18e-fadd7816d8c2,भ,5,entry,भूईं,,bʰuĩ,n,4,4,land,भूमि,definition,,,,,,,,,,,,cf; cf; cf,जीमी डोलूक; भूईं बाड़ी लोग; भूईं बाड़ी रोलो लोग,installed,,90dec048f0d935a5383c4861420c3b6d9b8039092da6439bd12ac574818219a5
2026-08-26,woods2019halbi:g2cb43c01-c472-475b-bddb-606e3bb2eea6,g2cb43c01-c472-475b-bddb-606e3bb2eea6,ख,4,minorentrycomplex,खापा खापा,,kʰapa kʰapa,comAdj,1,,cracked lips; cracked pots,फटे हुए होंठ; फूटे हुए बर्तन,definition,,5.2.1.4 Food storage; 2.1.1.4 Mouth; 6.7.7 Container,,,redup. of,खापूक + आ,,,,,,,,installed,,9588e0b88c5efa7a477745965227711305eff9ad99e997a32583582f8f710d3a
2026-08-26,woods2019halbi:g2cbe17d2-ec38-4c61-8384-9e5b105a1abf,g2cbe17d2-ec38-4c61-8384-9e5b105a1abf,घ,3,entry,घूमर,,ɡʰumər,n,1,,waterfall,जलप्‍रपात,definition,,1.3.1.3 River; 1.3.1 Bodies of water,,,,,,,,,,,,installed,,4c9817cd7da6a1a5586059e1bc668afd94bc3952fe445b47f406fcabe1c8ed85
2026-08-26,woods2019halbi:g2cd66d95-0bc6-4125-b3b3-04978b602c11,g2cd66d95-0bc6-4125-b3b3-04978b602c11,ड,5,minorentrycomplex,माए डोकरी,,mae ɖokri,cn,1,,old lady in sky,,definition,,,,,comp. of,माए + डोकरी,,,,,,cf,जाँवरा डोकरी,installed,,0352d523260d5feedab111eb0f023cf3966787c0f5509d42f29fc17bcb2220b6
2026-08-26,woods2019halbi:g2cdcbe92-47b5-4963-b4a0-a90359f059e7,g2cdcbe92-47b5-4963-b4a0-a90359f059e7,स,18,entry,सूपास,,supas,adj,1,,good in taste,अच्छा स्वाद,definition,especially after eating betel nut or anis,8.3.7 Good; 2.3.3 Taste,सूपास लागेसे।,It is leaving a good taste.,,,,,,,,,,installed,,777d84e10b0176b73ba888dbdff906bec1ffa9192766cf490cb140f55a98fb3c
2026-08-26,woods2019halbi:g2cde2220-999d-4df0-b805-da322efff3c1,g2cde2220-999d-4df0-b805-da322efff3c1,ज,6,entry,जानती,,dʒanti,rhyMrkr,1,,rhyming word,,definition,,9 Grammar; 3.5.4.4 Poetry,,,,,,,,,,,,installed,,5705c82c39c137a96611781e27e06cef01d14ab8dab6a4d4352dd866edeb08ff
2026-08-26,woods2019halbi:g2cdedbc7-9aca-4bce-a08c-b64e6f00f2de,g2cdedbc7-9aca-4bce-a08c-b64e6f00f2de,च,10,minorentrycomplex,चीमटा मूटला,,tʃimʈa muʈla,cn,1,,hammer and tongs,,definition,,6.2.8 Agricultural tool; 6.7.6 Holding tool,,,comp. of,चीमटा + मूटला,,,,,,,,installed,,e96e26810395e4417aa1502896fe2b257c30a8386a3388531ef3ebec8521a8fa
2026-08-26,woods2019halbi:g2ce12870-6542-4a97-ae2c-3d9cebe08699,g2ce12870-6542-4a97-ae2c-3d9cebe08699,ट,2,entry,टाईपराएटा,,ʈaipraeʈa,n,1,,typewriter,टाइपराइटर,definition,,3.5.9.6 Communication devices; 3.5.7.1 Write,,,,,,,,,,,,installed,,6e7c81dcb7b67814e19b2b6b5e5f95ad694cc3351fd8ae6de910ae24c04df4bc
2026-08-26,woods2019halbi:g2ce47ca8-a892-45cc-bf42-b907e9730e6c,g2ce47ca8-a892-45cc-bf42-b907e9730e6c,प,21,entry,पोलका,,polka,adj,1,,hollow,खोखला; छूछा,definition,"as trunk of tree, bush, tooth",8.1.8 Full; 8.1.8.1 Empty,"पोलका रूक, पोलका दात।","hollow tree, hollow tooth.",,,,,,,,cf,दीना दूईक,installed,,1482297e91fdfac6729737ce219772ea810bea350ef5bf4cb537d192bcb5a831
2026-08-26,woods2019halbi:g2ce509ff-d8f0-4f78-b547-6c5d69f85fb9,g2ce509ff-d8f0-4f78-b547-6c5d69f85fb9,म,1,minorentryvariant,मँडाऊक,,mə̃ɖauk,,0,,,,,,,,,,,dial. var. of,मोंडाऊक,woods2019halbi:ga2493380-7e6d-4f33-91b2-a0b31ce94725,,,,,installed,,65bd2a10de3f37e246dcab4dc58af7af38bdb83673d002916c590bfe73d239df
2026-08-26,woods2019halbi:g2ce850cc-4e6e-490e-8179-3471f9b1073e,g2ce850cc-4e6e-490e-8179-3471f9b1073e,अ,5,subentry,अलगे,,əlɡe,adv,2,1,elsewhere,ओंर कहीं,gloss,,"8.5.5 Spatial relations; 8.5.3.1 Absent; 8.5.1 Here, there",,,,,,,,,,cf; cf; cf,अदरे; भीने भीने; अलगूक,installed,,9e10b9baeb1a63d6b042426ba88cee2840b850584e5ebaec794f65d5f30c766e
2026-08-26,woods2019halbi:g2ce850cc-4e6e-490e-8179-3471f9b1073e,g2ce850cc-4e6e-490e-8179-3471f9b1073e,अ,5,subentry,अलगे,,əlɡe,adv,2,2,separately,अलग से,gloss,,"7.5.1.1 Separate, scatter; 4.4.2.5 Separate, alone",,,,,,,,,,cf; cf; cf,अदरे; भीने भीने; अलगूक,installed,,89ddee67d8fadf6b86c26a249f05e92ed7f977b95a04d22b7e554ed4f6eabede
2026-08-26,woods2019halbi:g2cedbe60-7f1b-4bf5-bbd7-ccac7f1ede53,g2cedbe60-7f1b-4bf5-bbd7-ccac7f1ede53,स,22,entry,सोन,,son,n,1,,gold,सोना,definition,,1.2.2.5 Jewel,,,,,,,,,,cf,नींदा,installed,,3d5445395de183c770906ee97b2d58ac07fda5e4f03633d317d795e7484e4bd6
2026-08-26,woods2019halbi:g2cee9ec8-0e37-4c4f-8276-e8583698700b,g2cee9ec8-0e37-4c4f-8276-e8583698700b,क,5,minorentrycomplex,कमेआ,,kəmea,n,2,1,male farmer,पुरुष किसान,definition,,6.1.1 Worker; 6.1 Work; 6.2.7 Farm worker,,,der. of,कमाऊक,,,,,,,,installed,,6ceea592d487bb242fbb5f011517d0ee621b2186f07400e7952b0db39ac4adc6
2026-08-26,woods2019halbi:g2cee9ec8-0e37-4c4f-8276-e8583698700b,g2cee9ec8-0e37-4c4f-8276-e8583698700b,क,5,minorentrycomplex,कमेआ,,kəmea,n,2,2,workman,कर्मकार,definition,,6.1.1 Worker,,,der. of,कमाऊक,,,,,,,,installed,,69863bb202931b363daba66a7540caf54132a2263dea74e7fac286b8d36f5eef
2026-08-26,woods2019halbi:g2cef4e12-0e44-4275-943e-05dd5af0f31d,g2cef4e12-0e44-4275-943e-05dd5af0f31d,अ,1,entry,अक,1,ək,n,1,,thought,विचार; सोच,definition,,3 Language and thought,,,,,,,,,,,,installed,,7d89305e895da4704c510c3551ddfec198464034413a0dfb366588f50cb53850
2026-08-26,woods2019halbi:g2cffabc7-3985-4c18-8e26-1cc05886488d,g2cffabc7-3985-4c18-8e26-1cc05886488d,ज,7,minorentrycomplex,जीओत दान देऊक,,dʒiot dan deuk,comVb,1,,to bless,वरदान देना,definition,,4.9.4.3 Bless,,,ph. v. of,जीऊक + दान देऊक,,,,,,,,installed,,fbe334bb25c9242fa84fcc0146a165a4ebab922df3f21db82b30d66bb9886b7b
2026-08-26,woods2019halbi:g2d0ae3c3-55f8-495f-8231-e29832ca22d4,g2d0ae3c3-55f8-495f-8231-e29832ca22d4,क,11,entry,काचूक छाँडूक,,katʃuk tʃʰãɖuk,comVb,1,,to be pregnant,,definition,,2.6.3.1 Pregnancy,"पासे ए मन के बीआ करून देतो के, हून आगे चो रानी मन काचूक छाड़ला मने।","Later, at the time of perfoming the marriage, the previous queens became pregnant.",,,,,,fr. var.,काचूक छाड़ूक,,,installed,,74f61160a8c29aba3d476a1843d2b960ad1919357aa226ca90865119adcec4e8
2026-08-26,woods2019halbi:g2d0e1135-0a10-4c4b-9723-9c3db160b299,g2d0e1135-0a10-4c4b-9723-9c3db160b299,क,6,minorentrycomplex,जात करूक,,dʒat kəruk,comVb,1,,to restore broken caste; to repair broken caste,शुद्‌ध करना,definition,,4.8.4.9 Reconcile; 7.9.4 Repair; 4.5.6 Status; 4.1.4.1 Social class,नाईक : ए मोनूक लोग मन के जात करूआए।,Naik : This man will restore people's broken caste.,ph. v. of,जात + करूक,,,,,,,,installed,,003e759b366575dba6ff29bbef572b31941deebf6e3aaab5caae5637dea4d5f4
2026-08-26,woods2019halbi:g2d14dbb9-34ff-43d1-8903-3eed40c8e2f2,g2d14dbb9-34ff-43d1-8903-3eed40c8e2f2,भ,1,entry,भतरा,,bʰətra,n,1,,"Bhatra caste, usually farmers",,definition,,4.1.4.1 Social class,,,,,,,,,,cf,नानी भतरा,installed,,45e5a5b672da3941c140092219a0ed18f7ed356328fe1868cb232dafdfe22267
2026-08-26,woods2019halbi:g2d1fbbc2-34e9-4fe0-aac2-42cc244ed6f7,g2d1fbbc2-34e9-4fe0-aac2-42cc244ed6f7,प,4,entry,पाँगूक,,pãɡuk,v,1,,to curse; to put a curse on someone,जादूकरना;टोनाकरना;शापदेना,definition,,4.9.4.4 Curse,लोग मन के पाँगूआत पोंगनाहा।,Witches (masc) will put a curse on people.,,,,,,,,,,installed,,d0a9265d15561152bd01ceae68d2b41f34722bf60f9d297fde3fa8abdb0d2e2c
2026-08-26,woods2019halbi:g2d22b363-8a6c-476e-8df6-337951b1541f,g2d22b363-8a6c-476e-8df6-337951b1541f,स,14,entry,सीका,,sika,n,1,,rope type,,definition,used on shoulder yoke and made from  rope,"6.7.5 Fastening tool; 7.5.4.1 Rope, string",,,,,,,,,,,,installed,,a8a7fece9d48eadf2f1eff00bba2a78d87053c17bb7b886820278d091c4b4f42
2026-08-26,woods2019halbi:g2d248eb7-6755-4aad-8990-a8c5f6f4a12f,g2d248eb7-6755-4aad-8990-a8c5f6f4a12f,ख,2,minorentrycomplex,खड़ बाट,,kʰəɽ baʈ,cn,1,,anus,गुदा,definition,,2.1 Body,खड बाट ले एऊआए।,(Hemorrhoids) will appear from the anus.,comp. of,बाट + खड़,,,,,,,,installed,,3e43567ac8a2307eb6b1198a1dd25e4124738f592f2c144c5b7acfb9ba565e09
2026-08-26,woods2019halbi:g2d2d4ce4-549c-4e23-82d2-eb0a11174407,g2d2d4ce4-549c-4e23-82d2-eb0a11174407,फ,1,minorentrycomplex,फट फटी,,pʰəʈ pʰəʈi,cn,1,,motorscooter,,definition,,7.2.4.1.1 Vehicle; 6.7.9 Machine,,,redup. of,फट,,,,fr. var.,फोट फोटी,cf,ईस्‍कूटर,installed,,f9cb727df5dca8e63a4b9c36f96f6e3c5592909f2a4f080db4e8c811cc053746
2026-08-26,woods2019halbi:g2d2e9e98-6338-40da-93d5-72c97c5e117b,g2d2e9e98-6338-40da-93d5-72c97c5e117b,ऊ,1,entry,ऊआएँ,,uaẽ,v,1,,"1st person, singular, future2 tense",,definition,,,,,,,,,,,,,,installed,,42fb85aa438364a435f60f460864d19c8196f84bda02b7c14b7f47383311b878
2026-08-26,woods2019halbi:g2d30d4b4-2278-407c-b566-86470d858db4,g2d30d4b4-2278-407c-b566-86470d858db4,ए,1,entry,ए,1,e,,9,1,he,वह,definition,,,,,,,,,,,,cf,ई,installed,,4e2b8ad7464eb11e2ca546a48e8d3192ae6be2d806b76be0bf265302f88f9f42
2026-08-26,woods2019halbi:g2d30d4b4-2278-407c-b566-86470d858db4,g2d30d4b4-2278-407c-b566-86470d858db4,ए,1,entry,ए,1,e,,9,2,she,वह,definition,,,,,,,,,,,,cf,ई,installed,,e5d9ed89195a112545edcd1929fc50883cf5a43e4012d3eea27f619282827d49
2026-08-26,woods2019halbi:g2d30d4b4-2278-407c-b566-86470d858db4,g2d30d4b4-2278-407c-b566-86470d858db4,ए,1,entry,ए,1,e,,9,3,it,यह,definition,,,,,,,,,,,,cf,ई,installed,,5a3c1024d162cdf768f2b91540d0801691223525e8ce63c098323a388c2fe596
2026-08-26,woods2019halbi:g2d30d4b4-2278-407c-b566-86470d858db4,g2d30d4b4-2278-407c-b566-86470d858db4,ए,1,entry,ए,1,e,,9,4,this,यह,definition,,,,,,,,,,,,cf,ई,installed,,c30edcd7443c30ce52c985026ab2ce3c3e8fb7eccd672426dab373d398f5cce1
2026-08-26,woods2019halbi:g2d30d4b4-2278-407c-b566-86470d858db4,g2d30d4b4-2278-407c-b566-86470d858db4,ए,1,entry,ए,1,e,,9,5,this person,इस व्यक्ति,definition,,,,,,,,,,,,cf,ई,installed,,5d3f0d3ac44d34ecf527f7094f3d42792bb9928568077f5f1a7a6dac2e21a981
2026-08-26,woods2019halbi:g2d30d4b4-2278-407c-b566-86470d858db4,g2d30d4b4-2278-407c-b566-86470d858db4,ए,1,entry,ए,1,e,,9,6,this one,यह वाला,definition,,,,,,,,,,,,cf,ई,installed,,d76fe41aee63fa4bd9f801d55f8cb803596e221901223e403ca040b712229771
2026-08-26,woods2019halbi:g2d30d4b4-2278-407c-b566-86470d858db4,g2d30d4b4-2278-407c-b566-86470d858db4,ए,1,entry,ए,1,e,,9,7,emphatic marker,,definition,,,,,,,,,,,,cf,ई,installed,,6ae622f4b27a3842bcf1dbee487037c38f1767395cf4de90728431c1b96ddd4b
2026-08-26,woods2019halbi:g2d30d4b4-2278-407c-b566-86470d858db4,g2d30d4b4-2278-407c-b566-86470d858db4,ए,1,entry,ए,1,e,,9,8,exclamation for attention,,definition,,,,,,,,,,,,cf,ई,installed,,6c4fce68ba04b84c21da9ba5e63c37b47711e4b395ef96b538b4378db2cbe741
2026-08-26,woods2019halbi:g2d30d4b4-2278-407c-b566-86470d858db4,g2d30d4b4-2278-407c-b566-86470d858db4,ए,1,entry,ए,1,e,,9,9,excl(uncertain),,definition,,,,,,,,,,,,cf,ई,installed,,565a8cd4580d7aad76ea3048fa49cd1cec365b2003e36c8143d1f4ba174f3526
2026-08-26,woods2019halbi:g2d365989-bea7-4204-9950-985cfdf58b69,g2d365989-bea7-4204-9950-985cfdf58b69,द,8,minorentrycomplex,राज बाड़ देओ बाड़,,radʒ baɽ deo baɽ,comVb,1,,to grow quickly to adulthood,तेजी से बढ़ना,definition,occurs in a few days or a very short time; usually story form though sometimes used in everyday speech when surprised at how much someone has grown if haven't seen for a while,,राज बाड़ देओ बाड़ देबी बाड़ बाड़ेसोत मने।,She is growing extremely quickly.,id. of,राज + बाड़ूक + देओ,,,,,,,,installed,,f83b205381175c40d9f14155986479ee90b684f6d3de4339eea94c3915e4c6be
2026-08-26,woods2019halbi:g2d383c12-f594-44fc-9775-2c410d49b6df,g2d383c12-f594-44fc-9775-2c410d49b6df,र,4,entry,राजा,,radʒa,cn,2,1,king,राजा,definition,,4.6.4 Rule,,,,,dial. var. of,बोनूआ राजा,woods2019halbi:g59d26d81-065f-44ea-8820-842696321d6c,dial. var.; dial. var.,जम; बनूआ राजा,cf,रज मूरेआ,installed,,74206230401d45c75097c281ba06ad17b95f59c403694da8c00807b82fe36fa8
2026-08-26,woods2019halbi:g2d383c12-f594-44fc-9775-2c410d49b6df,g2d383c12-f594-44fc-9775-2c410d49b6df,र,4,entry,राजा,,radʒa,cn,2,2,O King!,राजा,definition,,,,,,,dial. var. of,बोनूआ राजा,woods2019halbi:g59d26d81-065f-44ea-8820-842696321d6c,dial. var.; dial. var.,जम; बनूआ राजा,cf,रज मूरेआ,installed,,eea3836f53ab77f1a804f1886dbe10e209523a544e0d273b8e50d8a8bb0ab320
2026-08-26,woods2019halbi:g2d485d37-e6b0-4732-be3a-73daf0456fdd,g2d485d37-e6b0-4732-be3a-73daf0456fdd,आ,6,minorentrycomplex,आरा खूटा,,ara kʰuʈa,cn,1,,spokes of oxcart wheel,,definition,,7.2.4.1.1 Vehicle,,,comp. of,आरा + खूटा,,,,,,cf,सीली,installed,,5c7a36e3649e84337f722866fc85afae1b3184acf0e80fd35aaee4a96dcbcd20
2026-08-26,woods2019halbi:g2d594f13-cefd-48c1-879f-46cd7e2cf91c,g2d594f13-cefd-48c1-879f-46cd7e2cf91c,ग,3,entry,गमला,,ɡəmla,n,1,,earthernware flowerpot,गमला; मिट्टी का गमला,definition,,6.7.7 Container,,,,,,,,,,,,installed,,3cbbc21ec99e14acc3cbdbde8f7e33db55a5c7f333f697b6b1b2adbe7bb86faf
2026-08-26,woods2019halbi:g2d5dd302-924f-47c8-93bb-48a09f2a1e5a,g2d5dd302-924f-47c8-93bb-48a09f2a1e5a,द,8,entry,देओ दादी,,deo dadi,cn,6,1,priest,,definition,,4.9.7 Religious organization,,,,,,,,,,,,installed,,3b950e968478236ea0c6686bfe5b451cffc5405e4367c3ca84a92dab388e3439
2026-08-26,woods2019halbi:g2d5dd302-924f-47c8-93bb-48a09f2a1e5a,g2d5dd302-924f-47c8-93bb-48a09f2a1e5a,द,8,entry,देओ दादी,,deo dadi,cn,6,2,shaman,,definition,,4.9.4.1 Sorcery,,,,,,,,,,,,installed,,8dd3663da0c7a5933ba830ae5d1003e7188e579ebab64961a0b4fb948ef79133
