Sequence|Unit_ID|Region|Section|Printed_Page|Raw_Form|Raw_Phonetic|Raw_Before|Raw_Gloss|Raw_After|Raw_Context
288|s2.6:q6|prose|2.6 Interrogatives|13|kā ~ kēta|| “who”, kay “what”, kačā “when”, kāt ~ katt “how”, ksē “why”, |where|, kēʋa “where to”, kəzzēta “where from”, kāki ~ kakki “which, wh|terrogatives recorded in Aleppo Domari are inherited: kō “who”, kay “what”, kačā “when”, kāt ~ katt “how”, ksē “why”, kā ~ kēta “where”, kēʋa “where to”, kəzzēta “where fr
289|s2.6:q7|prose|2.6 Interrogatives|13|kēʋa|| kačā “when”, kāt ~ katt “how”, ksē “why”, kā ~ kēta “where”, |where to|, kəzzēta “where from”, kāki ~ kakki “which, what”. All these inte|orded in Aleppo Domari are inherited: kō “who”, kay “what”, kačā “when”, kāt ~ katt “how”, ksē “why”, kā ~ kēta “where”, kēʋa “where to”, kəzzēta “where from”, kāki ~ kakki
290|s2.6:q8|prose|2.6 Interrogatives|13|kəzzēta||t ~ katt “how”, ksē “why”, kā ~ kēta “where”, kēʋa “where to”, |where from|, kāki ~ kakki “which, what”. All these interrogatives are pro-forms|are inherited: kō “who”, kay “what”, kačā “when”, kāt ~ katt “how”, ksē “why”, kā ~ kēta “where”, kēʋa “where to”, kəzzēta “where from”, kāki ~ kakki “which, what”. All thes
291|s2.6:q9|prose|2.6 Interrogatives|13|kāki ~ kakki||why”, kā ~ kēta “where”, kēʋa “where to”, kəzzēta “where from”, |which, what|. All these interrogatives are pro-forms. There does not seem to be an|kay “what”, kačā “when”, kāt ~ katt “how”, ksē “why”, kā ~ kēta “where”, kēʋa “where to”, kəzzēta “where from”, kāki ~ kakki “which, what”. All these interrogatives are pro-forms
292|s2.6:q10|prose|2.6 Interrogatives|13|kēta|| There does not seem to be any difference in meaning between kā and |where|. However, they do exhibit syntactic dissimilarities. When the morphem|~ kakki “which, what”. All these interrogatives are pro-forms. There does not seem to be any difference in meaning between kā and kēta “where”. However, they do exhibit syntactic dis
293|s2.6:q11|prose|2.6 Interrogatives|13|kā črī ?||c dissimilarities. When the morpheme kā is used, no copula emerges: |where is the knife?| (where knife), kā qaddāḥ-ōr “where is your lighter?” (where lighter|kā and kēta “where”. However, they do exhibit syntactic dissimilarities. When the morpheme kā is used, no copula emerges: kā črī ? “where is the knife?” (where knife), kā qaddāḥ-ōr “where is
294|s2.6:q12|prose|2.6 Interrogatives|13|kā qaddāḥ-ōr||d, no copula emerges: kā črī ? “where is the knife?” (where knife), |where is your lighter?| (where lighter-2SG); the use of the copula or a verb is compulsory wi|yntactic dissimilarities. When the morpheme kā is used, no copula emerges: kā črī ? “where is the knife?” (where knife), kā qaddāḥ-ōr “where is your lighter?” (where lighter-2SG); the use of the cop
295|s2.6:q13|prose|2.6 Interrogatives|13|kēta: kētā=ye kəry-ōs||here lighter-2SG); the use of the copula or a verb is compulsory with |where is your house?| (where=COP house-3SG). The morpheme kāki ~ kakki can also function |e), kā qaddāḥ-ōr “where is your lighter?” (where lighter-2SG); the use of the copula or a verb is compulsory with kēta: kētā=ye kəry-ōs “where is your house?” (where=COP house-3SG). The morpheme kā
296|s2.6:q14|prose|2.6 Interrogatives|13|kakki qāyš-əs ḥass kare||heme kāki ~ kakki can also function as an interrogative determiner: |what food do you like?| (what food-ACC like.IMPFV.2SG). Interestingly, the object in this las|your house?” (where=COP house-3SG). The morpheme kāki ~ kakki can also function as an interrogative determiner: kakki qāyš-əs ḥass kare “what food do you like?” (what food-ACC like.IMPFV.2SG). Interes
297|s2.6:q15|prose|2.6 Interrogatives|13|ktī||ered when the object is definite. Aleppo Domari distinguishes between |how many| and karda “how much”. The former is an interrogative determiner (10|n this last example is marked for accusative case, usually triggered when the object is definite. Aleppo Domari distinguishes between ktī “how many” and karda “how much”. The former is a
298|s2.6:q16|prose|2.6 Interrogatives|13|karda||is definite. Aleppo Domari distinguishes between ktī “how many” and |how much|. The former is an interrogative determiner (10a) while the latter is |marked for accusative case, usually triggered when the object is definite. Aleppo Domari distinguishes between ktī “how many” and karda “how much”. The former is an interrogative determi
299|s2.6:q17|prose|2.6 Interrogatives|13|kay tōs-ər||terrogation does not generally occur in situ but is sentence initial: |what did he give you?| (what give.PFV.3SG-2SG)|) while the latter is a pro-form (10b). Syntactically, interrogation does not generally occur in situ but is sentence initial: kay tōs-ər “what did he give you?” (what give.PFV.3SG-2SG)
300|ex10a:w1|example|2.6 Interrogatives|14|ktī|||how.many||example (10a) word 1
301|ex10a:w2|example|2.6 Interrogatives|14|trombīl(ã)|||car||example (10a) word 2
302|ex10a:w3|example|2.6 Interrogatives|14|ašti|||there.is||example (10a) word 3
303|ex10a:w4|example|2.6 Interrogatives|14|pāsī|||AD.3SG||example (10a) word 4
304|ex10a:translation|translation|2.6 Interrogatives|14||||How many cars does he have?||free translation of example (10a)
305|ex10b:w1|example|2.6 Interrogatives|14|kardã|||how.much||example (10b) word 1
306|ex10b:w2|example|2.6 Interrogatives|14|ʋāšōr|||COM.2SG||example (10b) word 2
307|ex10b:w3|example|2.6 Interrogatives|14|məṣrī|||money||example (10b) word 3
308|ex10b:translation|translation|2.6 Interrogatives|14||||How much money do you have?||free translation of example (10b)
309|s2.7:q1|prose|2.7 Numerals|14|yēka ~ yōka||The following numerals were recorded: |one| (short form yē ), dədī “two” ( dī when modifying a noun: dī ʋa|The following numerals were recorded: yēka ~ yōka “one” (short form yē ), dədī “two” ( dī
310|s2.7:q2|prose|2.7 Numerals|14|dədī||owing numerals were recorded: yēka ~ yōka “one” (short form yē ), |two| ( dī when modifying a noun: dī ʋars “two years”), trən “three”,|The following numerals were recorded: yēka ~ yōka “one” (short form yē ), dədī “two” ( dī when modifying a noun: dī ʋars
311|s2.7:q3|prose|2.7 Numerals|14|dī ʋars|| “one” (short form yē ), dədī “two” ( dī when modifying a noun: |two years|), trən “three”, štār “four”, panǧ “five”, šēš “six”, ḥawt ~ |The following numerals were recorded: yēka ~ yōka “one” (short form yē ), dədī “two” ( dī when modifying a noun: dī ʋars “two years”), trən “three”, štār “four”, panǧ
312|s2.7:q4|prose|2.7 Numerals|14|trən||), dədī “two” ( dī when modifying a noun: dī ʋars “two years”), |three|, štār “four”, panǧ “five”, šēš “six”, ḥawt ~ ḥaft “seven”, ḥ|g numerals were recorded: yēka ~ yōka “one” (short form yē ), dədī “two” ( dī when modifying a noun: dī ʋars “two years”), trən “three”, štār “four”, panǧ “five”, šēš “s
313|s2.7:q5|prose|2.7 Numerals|14|štār||( dī when modifying a noun: dī ʋars “two years”), trən “three”, |four|, panǧ “five”, šēš “six”, ḥawt ~ ḥaft “seven”, ḥašt “eight”, |recorded: yēka ~ yōka “one” (short form yē ), dədī “two” ( dī when modifying a noun: dī ʋars “two years”), trən “three”, štār “four”, panǧ “five”, šēš “six”, ḥawt ~ ḥa
314|s2.7:q6|prose|2.7 Numerals|14|panǧ||ifying a noun: dī ʋars “two years”), trən “three”, štār “four”, |five|, šēš “six”, ḥawt ~ ḥaft “seven”, ḥašt “eight”, na “nine”, da|~ yōka “one” (short form yē ), dədī “two” ( dī when modifying a noun: dī ʋars “two years”), trən “three”, štār “four”, panǧ “five”, šēš “six”, ḥawt ~ ḥaft “seven”, ḥ
315|s2.7:q7|prose|2.7 Numerals|14|šēš||dī ʋars “two years”), trən “three”, štār “four”, panǧ “five”, |six|, ḥawt ~ ḥaft “seven”, ḥašt “eight”, na “nine”, dazz “ten”, d|(short form yē ), dədī “two” ( dī when modifying a noun: dī ʋars “two years”), trən “three”, štār “four”, panǧ “five”, šēš “six”, ḥawt ~ ḥaft “seven”, ḥašt “eight”
316|s2.7:q8|prose|2.7 Numerals|14|ḥawt ~ ḥaft||o years”), trən “three”, štār “four”, panǧ “five”, šēš “six”, |seven|, ḥašt “eight”, na “nine”, dazz “ten”, dazz yēk “eleven”, daz|dədī “two” ( dī when modifying a noun: dī ʋars “two years”), trən “three”, štār “four”, panǧ “five”, šēš “six”, ḥawt ~ ḥaft “seven”, ḥašt “eight”, na “nine”, dazz “t
317|s2.7:q9|prose|2.7 Numerals|14|ḥašt||e”, štār “four”, panǧ “five”, šēš “six”, ḥawt ~ ḥaft “seven”, |eight|, na “nine”, dazz “ten”, dazz yēk “eleven”, dazz dī “twelve”, |dī when modifying a noun: dī ʋars “two years”), trən “three”, štār “four”, panǧ “five”, šēš “six”, ḥawt ~ ḥaft “seven”, ḥašt “eight”, na “nine”, dazz “ten”, dazz yēk
318|s2.7:q10|prose|2.7 Numerals|14|na||”, panǧ “five”, šēš “six”, ḥawt ~ ḥaft “seven”, ḥašt “eight”, |nine|, dazz “ten”, dazz yēk “eleven”, dazz dī “twelve”, dazz trən “|ying a noun: dī ʋars “two years”), trən “three”, štār “four”, panǧ “five”, šēš “six”, ḥawt ~ ḥaft “seven”, ḥašt “eight”, na “nine”, dazz “ten”, dazz yēk “eleven”, da
319|s2.7:q11|prose|2.7 Numerals|14|dazz||ve”, šēš “six”, ḥawt ~ ḥaft “seven”, ḥašt “eight”, na “nine”, |ten|, dazz yēk “eleven”, dazz dī “twelve”, dazz trən “thirteen”, da|ī ʋars “two years”), trən “three”, štār “four”, panǧ “five”, šēš “six”, ḥawt ~ ḥaft “seven”, ḥašt “eight”, na “nine”, dazz “ten”, dazz yēk “eleven”, dazz dī “twelve
320|s2.7:q12|prose|2.7 Numerals|14|dazz yēk||x”, ḥawt ~ ḥaft “seven”, ḥašt “eight”, na “nine”, dazz “ten”, |eleven|, dazz dī “twelve”, dazz trən “thirteen”, dašštā “fourteen” (< |”), trən “three”, štār “four”, panǧ “five”, šēš “six”, ḥawt ~ ḥaft “seven”, ḥašt “eight”, na “nine”, dazz “ten”, dazz yēk “eleven”, dazz dī “twelve”, dazz trən “thirt
321|s2.7:q13|prose|2.7 Numerals|14|dazz dī||ven”, ḥašt “eight”, na “nine”, dazz “ten”, dazz yēk “eleven”, |twelve|, dazz trən “thirteen”, dašštā “fourteen” (< dazz štār ), dazz |štār “four”, panǧ “five”, šēš “six”, ḥawt ~ ḥaft “seven”, ḥašt “eight”, na “nine”, dazz “ten”, dazz yēk “eleven”, dazz dī “twelve”, dazz trən “thirteen”, dašštā “four
322|s2.7:q14|prose|2.7 Numerals|14|dazz trən||, na “nine”, dazz “ten”, dazz yēk “eleven”, dazz dī “twelve”, |thirteen|, dašštā “fourteen” (< dazz štār ), dazz panǧ “fifteen”, dazz ḥ|“five”, šēš “six”, ḥawt ~ ḥaft “seven”, ḥašt “eight”, na “nine”, dazz “ten”, dazz yēk “eleven”, dazz dī “twelve”, dazz trən “thirteen”, dašštā “fourteen” (< dazz štār )
323|s2.7:q15|prose|2.7 Numerals|14|dašštā||en”, dazz yēk “eleven”, dazz dī “twelve”, dazz trən “thirteen”, |fourteen| (< dazz štār ), dazz panǧ “fifteen”, dazz ḥawt “seventeen”, da|ḥawt ~ ḥaft “seven”, ḥašt “eight”, na “nine”, dazz “ten”, dazz yēk “eleven”, dazz dī “twelve”, dazz trən “thirteen”, dašštā “fourteen” (< dazz štār ), dazz panǧ “fifteen”
324|s2.7:q16|prose|2.7 Numerals|14|dazz panǧ||welve”, dazz trən “thirteen”, dašštā “fourteen” (< dazz štār ), |fifteen|, dazz ḥawt “seventeen”, dazz ḥašt “eighteen”, dazz na “nineteen|a “nine”, dazz “ten”, dazz yēk “eleven”, dazz dī “twelve”, dazz trən “thirteen”, dašštā “fourteen” (< dazz štār ), dazz panǧ “fifteen”, dazz ḥawt “seventeen”, dazz ḥašt “
325|s2.7:q17|prose|2.7 Numerals|14|dazz ḥawt||irteen”, dašštā “fourteen” (< dazz štār ), dazz panǧ “fifteen”, |seventeen|, dazz ḥašt “eighteen”, dazz na “nineteen”, ʋīst “twenty”, ʋīst|dazz yēk “eleven”, dazz dī “twelve”, dazz trən “thirteen”, dašštā “fourteen” (< dazz štār ), dazz panǧ “fifteen”, dazz ḥawt “seventeen”, dazz ḥašt “eighteen”, dazz na “nin
326|s2.7:q18|prose|2.7 Numerals|14|dazz ḥašt||en” (< dazz štār ), dazz panǧ “fifteen”, dazz ḥawt “seventeen”, |eighteen|, dazz na “nineteen”, ʋīst “twenty”, ʋīst yēka “twenty-one”, ʋī|azz dī “twelve”, dazz trən “thirteen”, dašštā “fourteen” (< dazz štār ), dazz panǧ “fifteen”, dazz ḥawt “seventeen”, dazz ḥašt “eighteen”, dazz na “nineteen”, ʋīst “twenty”
327|s2.7:q19|prose|2.7 Numerals|14|dazz na||azz panǧ “fifteen”, dazz ḥawt “seventeen”, dazz ḥašt “eighteen”, |nineteen|, ʋīst “twenty”, ʋīst yēka “twenty-one”, ʋīst dədī “twenty-two”,|z trən “thirteen”, dašštā “fourteen” (< dazz štār ), dazz panǧ “fifteen”, dazz ḥawt “seventeen”, dazz ḥašt “eighteen”, dazz na “nineteen”, ʋīst “twenty”, ʋīst yēka “twenty-o
328|s2.7:q20|prose|2.7 Numerals|14|ʋīst||dazz ḥawt “seventeen”, dazz ḥašt “eighteen”, dazz na “nineteen”, |twenty|, ʋīst yēka “twenty-one”, ʋīst dədī “twenty-two”, ʋīs trən “twen|dašštā “fourteen” (< dazz štār ), dazz panǧ “fifteen”, dazz ḥawt “seventeen”, dazz ḥašt “eighteen”, dazz na “nineteen”, ʋīst “twenty”, ʋīst yēka “twenty-one”, ʋīst dədī
329|s2.7:q21|prose|2.7 Numerals|14|ʋīst yēka||teen”, dazz ḥašt “eighteen”, dazz na “nineteen”, ʋīst “twenty”, |twenty-one|, ʋīst dədī “twenty-two”, ʋīs trən “twenty-three”, ʋī štār “twen|< dazz štār ), dazz panǧ “fifteen”, dazz ḥawt “seventeen”, dazz ḥašt “eighteen”, dazz na “nineteen”, ʋīst “twenty”, ʋīst yēka “twenty-one”, ʋīst dədī “twenty-two”, ʋīs trən “
330|s2.7:q22|prose|2.7 Numerals|14|ʋīst dədī||en”, dazz na “nineteen”, ʋīst “twenty”, ʋīst yēka “twenty-one”, |twenty-two|, ʋīs trən “twenty-three”, ʋī štār “twenty-four”, sī “thirty”, |ǧ “fifteen”, dazz ḥawt “seventeen”, dazz ḥašt “eighteen”, dazz na “nineteen”, ʋīst “twenty”, ʋīst yēka “twenty-one”, ʋīst dədī “twenty-two”, ʋīs trən “twenty-three”, ʋī štār “
331|s2.7:q23|prose|2.7 Numerals|14|ʋīs trən|| ʋīst “twenty”, ʋīst yēka “twenty-one”, ʋīst dədī “twenty-two”, |twenty-three|, ʋī štār “twenty-four”, sī “thirty”, čəl “fourty”, pēnǧã “fif|“seventeen”, dazz ḥašt “eighteen”, dazz na “nineteen”, ʋīst “twenty”, ʋīst yēka “twenty-one”, ʋīst dədī “twenty-two”, ʋīs trən “twenty-three”, ʋī štār “twenty-four”, sī “thirty”
332|s2.7:q24|prose|2.7 Numerals|14|ʋī štār||a “twenty-one”, ʋīst dədī “twenty-two”, ʋīs trən “twenty-three”, |twenty-four|, sī “thirty”, čəl “fourty”, pēnǧã “fifty”, trən ʋīst “sixty”,|“eighteen”, dazz na “nineteen”, ʋīst “twenty”, ʋīst yēka “twenty-one”, ʋīst dədī “twenty-two”, ʋīs trən “twenty-three”, ʋī štār “twenty-four”, sī “thirty”, čəl “fourty”, pēnǧã
333|s2.7:q25|prose|2.7 Numerals|14|sī||dī “twenty-two”, ʋīs trən “twenty-three”, ʋī štār “twenty-four”, |thirty|, čəl “fourty”, pēnǧã “fifty”, trən ʋīst “sixty”, trən ʋīst daz|“nineteen”, ʋīst “twenty”, ʋīst yēka “twenty-one”, ʋīst dədī “twenty-two”, ʋīs trən “twenty-three”, ʋī štār “twenty-four”, sī “thirty”, čəl “fourty”, pēnǧã “fifty”, trən
334|s2.7:q26|prose|2.7 Numerals|14|čəl||”, ʋīs trən “twenty-three”, ʋī štār “twenty-four”, sī “thirty”, |fourty|, pēnǧã “fifty”, trən ʋīst “sixty”, trən ʋīst dazz “seventy”, t|īst “twenty”, ʋīst yēka “twenty-one”, ʋīst dədī “twenty-two”, ʋīs trən “twenty-three”, ʋī štār “twenty-four”, sī “thirty”, čəl “fourty”, pēnǧã “fifty”, trən ʋīst “sixty”
335|s2.7:q27|prose|2.7 Numerals|14|pēnǧã||wenty-three”, ʋī štār “twenty-four”, sī “thirty”, čəl “fourty”, |fifty|, trən ʋīst “sixty”, trən ʋīst dazz “seventy”, trən ʋīst ʋīst ~ š|st yēka “twenty-one”, ʋīst dədī “twenty-two”, ʋīs trən “twenty-three”, ʋī štār “twenty-four”, sī “thirty”, čəl “fourty”, pēnǧã “fifty”, trən ʋīst “sixty”, trən ʋīst dazz
336|s2.7:q28|prose|2.7 Numerals|14|trən ʋīst|| štār “twenty-four”, sī “thirty”, čəl “fourty”, pēnǧã “fifty”, |sixty|, trən ʋīst dazz “seventy”, trən ʋīst ʋīst ~ štār ʋīst “eighty”, |ʋīst dədī “twenty-two”, ʋīs trən “twenty-three”, ʋī štār “twenty-four”, sī “thirty”, čəl “fourty”, pēnǧã “fifty”, trən ʋīst “sixty”, trən ʋīst dazz “seventy”, trən ʋīst
337|s2.7:q29|prose|2.7 Numerals|14|trən ʋīst dazz|| sī “thirty”, čəl “fourty”, pēnǧã “fifty”, trən ʋīst “sixty”, |seventy|, trən ʋīst ʋīst ~ štār ʋīst “eighty”, ṣadd illa dazz “ninety”, ṣ|ʋīs trən “twenty-three”, ʋī štār “twenty-four”, sī “thirty”, čəl “fourty”, pēnǧã “fifty”, trən ʋīst “sixty”, trən ʋīst dazz “seventy”, trən ʋīst ʋīst ~ štār ʋīst “eighty”
338|s2.7:q30|prose|2.7 Numerals|14|trən ʋīst ʋīst ~ štār ʋīst||y”, pēnǧã “fifty”, trən ʋīst “sixty”, trən ʋīst dazz “seventy”, |eighty|, ṣadd illa dazz “ninety”, ṣadd “hundred”, hazār “thousand”. Ale|twenty-four”, sī “thirty”, čəl “fourty”, pēnǧã “fifty”, trən ʋīst “sixty”, trən ʋīst dazz “seventy”, trən ʋīst ʋīst ~ štār ʋīst “eighty”, ṣadd illa dazz “ninety”, ṣadd “hun
339|s2.7:q31|prose|2.7 Numerals|14|ṣadd illa dazz||”, trən ʋīst dazz “seventy”, trən ʋīst ʋīst ~ štār ʋīst “eighty”, |ninety|, ṣadd “hundred”, hazār “thousand”. Aleppo Domari draws on Kurdish|čəl “fourty”, pēnǧã “fifty”, trən ʋīst “sixty”, trən ʋīst dazz “seventy”, trən ʋīst ʋīst ~ štār ʋīst “eighty”, ṣadd illa dazz “ninety”, ṣadd “hundred”, hazār “thousand”
340|s2.7:q32|prose|2.7 Numerals|14|ṣadd||y”, trən ʋīst ʋīst ~ štār ʋīst “eighty”, ṣadd illa dazz “ninety”, |hundred|, hazār “thousand”. Aleppo Domari draws on Kurdish for “six”, “seven|pēnǧã “fifty”, trən ʋīst “sixty”, trən ʋīst dazz “seventy”, trən ʋīst ʋīst ~ štār ʋīst “eighty”, ṣadd illa dazz “ninety”, ṣadd “hundred”, hazār “thousand”. Aleppo Domari draw
341|s2.7:q33|prose|2.7 Numerals|14|hazār||t ~ štār ʋīst “eighty”, ṣadd illa dazz “ninety”, ṣadd “hundred”, |thousand|. Aleppo Domari draws on Kurdish for “six”, “seven” and “eight” (possi|trən ʋīst “sixty”, trən ʋīst dazz “seventy”, trən ʋīst ʋīst ~ štār ʋīst “eighty”, ṣadd illa dazz “ninety”, ṣadd “hundred”, hazār “thousand”. Aleppo Domari draws on Kurdish for “si
342|s2.7:q34|prose|2.7 Numerals|14||||six|, “seven” and “eight” (possibly “nine” as well). Tens until fifty are |trən ʋīst ʋīst ~ štār ʋīst “eighty”, ṣadd illa dazz “ninety”, ṣadd “hundred”, hazār “thousand”. Aleppo Domari draws on Kurdish for “six”, “seven” and “eight” (possibly “nine” a
343|s2.7:q35|prose|2.7 Numerals|14||||seven| and “eight” (possibly “nine” as well). Tens until fifty are also borr|ʋīst ʋīst ~ štār ʋīst “eighty”, ṣadd illa dazz “ninety”, ṣadd “hundred”, hazār “thousand”. Aleppo Domari draws on Kurdish for “six”, “seven” and “eight” (possibly “nine” as well)
344|s2.7:q36|prose|2.7 Numerals|14||||eight| (possibly “nine” as well). Tens until fifty are also borrowed from Ku|štār ʋīst “eighty”, ṣadd illa dazz “ninety”, ṣadd “hundred”, hazār “thousand”. Aleppo Domari draws on Kurdish for “six”, “seven” and “eight” (possibly “nine” as well). Tens until f
345|s2.7:q37|prose|2.7 Numerals|14||||nine| as well). Tens until fifty are also borrowed from Kurdish, as well “h|”, ṣadd illa dazz “ninety”, ṣadd “hundred”, hazār “thousand”. Aleppo Domari draws on Kurdish for “six”, “seven” and “eight” (possibly “nine” as well). Tens until fifty are also bor
346|s2.7:q38|prose|2.7 Numerals|14||||hundred| and “thousand”. Above “fifty”, “twenty” is repeated, to which “ten” m|Domari draws on Kurdish for “six”, “seven” and “eight” (possibly “nine” as well). Tens until fifty are also borrowed from Kurdish, as well “hundred” and “thousand”. Above “fifty”, “twenty”
347|s2.7:q39|prose|2.7 Numerals|14||||thousand|. Above “fifty”, “twenty” is repeated, to which “ten” may be added. An|on Kurdish for “six”, “seven” and “eight” (possibly “nine” as well). Tens until fifty are also borrowed from Kurdish, as well “hundred” and “thousand”. Above “fifty”, “twenty” is repeated, t
348|s2.7:q40|prose|2.7 Numerals|14||||fifty|, “twenty” is repeated, to which “ten” may be added. An exception is |x”, “seven” and “eight” (possibly “nine” as well). Tens until fifty are also borrowed from Kurdish, as well “hundred” and “thousand”. Above “fifty”, “twenty” is repeated, to which “ten” m
349|s2.7:q41|prose|2.7 Numerals|14||||twenty| is repeated, to which “ten” may be added. An exception is ṣadd illa |n” and “eight” (possibly “nine” as well). Tens until fifty are also borrowed from Kurdish, as well “hundred” and “thousand”. Above “fifty”, “twenty” is repeated, to which “ten” may be adde
350|s2.7:q42|prose|2.7 Numerals|14||||ten| may be added. An exception is ṣadd illa dazz involving Kurdish ṣad|as well). Tens until fifty are also borrowed from Kurdish, as well “hundred” and “thousand”. Above “fifty”, “twenty” is repeated, to which “ten” may be added. An exception is ṣadd ill
351|s2.7:q43|prose|2.7 Numerals|14|ṣadd||ten” may be added. An exception is ṣadd illa dazz involving Kurdish |hundred|, Arabic illa “except” and Indic dazz “ten”. The form * štār ʋīst|and “thousand”. Above “fifty”, “twenty” is repeated, to which “ten” may be added. An exception is ṣadd illa dazz involving Kurdish ṣadd “hundred”, Arabic illa “except” and Indic dazz
352|s2.7:q44|prose|2.7 Numerals|14|illa||eption is ṣadd illa dazz involving Kurdish ṣadd “hundred”, Arabic |except| and Indic dazz “ten”. The form * štār ʋīst dazz to express “ninet|fty”, “twenty” is repeated, to which “ten” may be added. An exception is ṣadd illa dazz involving Kurdish ṣadd “hundred”, Arabic illa “except” and Indic dazz “ten”. The form * štā
353|s2.7:q45|prose|2.7 Numerals|14|dazz|| involving Kurdish ṣadd “hundred”, Arabic illa “except” and Indic |ten|. The form * štār ʋīst dazz to express “ninety” was not attested but|to which “ten” may be added. An exception is ṣadd illa dazz involving Kurdish ṣadd “hundred”, Arabic illa “except” and Indic dazz “ten”. The form * štār ʋīst dazz to express
354|s2.7:q46|prose|2.7 Numerals|14||||ninety| was not attested but cannot be ruled out. An interesting feature is t|ṣadd illa dazz involving Kurdish ṣadd “hundred”, Arabic illa “except” and Indic dazz “ten”. The form * štār ʋīst dazz to express “ninety” was not attested but cannot be ruled ou
355|s2.7:q47|prose|2.7 Numerals|14||||two| when the numeral is uttered in isolation: dədī . This may also have|”. The form * štār ʋīst dazz to express “ninety” was not attested but cannot be ruled out. An interesting feature is the reduplication in “two” when the numeral is uttered in isolatio
356|s2.7:q48|prose|2.7 Numerals|14|du kes||(also dido ) is used in isolation and du when it modifies a noun: |two persons|. The numerals may be augmented with the plural marker -ē- followed |This may also have been modelled on Kurdish where dudu (also dido ) is used in isolation and du when it modifies a noun: du kes “two persons”. The numerals may be augmented with the
357|s2.7:q49|prose|2.7 Numerals|14|tərn-ē-mā||be augmented with the plural marker -ē- followed by bound pronouns: |the three of us|, štār-ē-mā “the four of us”.|modifies a noun: du kes “two persons”. The numerals may be augmented with the plural marker -ē- followed by bound pronouns: tərn-ē-mā “the three of us”, štār-ē-mā “the four of us”
358|s2.7:q50|prose|2.7 Numerals|14|štār-ē-mā||rker -ē- followed by bound pronouns: tərn-ē-mā “the three of us”, |the four of us|.|persons”. The numerals may be augmented with the plural marker -ē- followed by bound pronouns: tərn-ē-mā “the three of us”, štār-ē-mā “the four of us”
359|s2.8:q1|prose|2.8 Adverbs|14||||yesterday|, aǧ ( aǧã ~ aǧōtī ~ aǧōtīnī ) “today”, ṣəbã “tomorrow”, īsəm ~|Adverbs of time: xəǧ ( xəǧã ~ xəǧōtī ~ xəǧōtīnī ) “yesterday”, aǧ ( aǧã ~ aǧōtī ~ aǧōtīnī ) “toda
360|s2.8:q2|prose|2.8 Adverbs|14||||today|, ṣəbã “tomorrow”, īsəm ~ hanīsəm “now”, zammēš “long ago”.|Adverbs of time: xəǧ ( xəǧã ~ xəǧōtī ~ xəǧōtīnī ) “yesterday”, aǧ ( aǧã ~ aǧōtī ~ aǧōtīnī ) “today”, ṣəbã “tomorrow”, īsəm ~ hanīsəm “n
361|s2.8:q3|prose|2.8 Adverbs|14|ṣəbã|| ~ xəǧōtīnī ) “yesterday”, aǧ ( aǧã ~ aǧōtī ~ aǧōtīnī ) “today”, |tomorrow|, īsəm ~ hanīsəm “now”, zammēš “long ago”.|Adverbs of time: xəǧ ( xəǧã ~ xəǧōtī ~ xəǧōtīnī ) “yesterday”, aǧ ( aǧã ~ aǧōtī ~ aǧōtīnī ) “today”, ṣəbã “tomorrow”, īsəm ~ hanīsəm “now”, zammēš “long
362|s2.8:q4|prose|2.8 Adverbs|14|īsəm ~ hanīsəm||terday”, aǧ ( aǧã ~ aǧōtī ~ aǧōtīnī ) “today”, ṣəbã “tomorrow”, |now|, zammēš “long ago”.|bs of time: xəǧ ( xəǧã ~ xəǧōtī ~ xəǧōtīnī ) “yesterday”, aǧ ( aǧã ~ aǧōtī ~ aǧōtīnī ) “today”, ṣəbã “tomorrow”, īsəm ~ hanīsəm “now”, zammēš “long ago”
363|s2.8:q5|prose|2.8 Adverbs|14|zammēš||ǧōtī ~ aǧōtīnī ) “today”, ṣəbã “tomorrow”, īsəm ~ hanīsəm “now”, |long ago|.|( xəǧã ~ xəǧōtī ~ xəǧōtīnī ) “yesterday”, aǧ ( aǧã ~ aǧōtī ~ aǧōtīnī ) “today”, ṣəbã “tomorrow”, īsəm ~ hanīsəm “now”, zammēš “long ago”
364|s2.8:q6|prose|2.8 Adverbs|14|ēta||Adverbs of place: |here|, ōta “there”.|Adverbs of place: ēta “here”, ōta “there”
365|s2.8:q7|prose|2.8 Adverbs|14|ōta||Adverbs of place: ēta “here”, |there|.|Adverbs of place: ēta “here”, ōta “there”
366|s2.8:q8|prose|2.8 Adverbs|14|bū||Other adverbs: |much|, tīkā “a little”, tīkā tīkā “slowly”, xalyā “quickly”, hazz(i)|Other adverbs: bū “much”, tīkā “a little”, tīkā tīkā “slowly
367|s2.8:q9|prose|2.8 Adverbs|14|tīkā||Other adverbs: bū “much”, |a little|, tīkā tīkā “slowly”, xalyā “quickly”, hazz(i) “still”.|Other adverbs: bū “much”, tīkā “a little”, tīkā tīkā “slowly”, xalyā “quickly
368|s2.8:q10|prose|2.8 Adverbs|14|tīkā tīkā||Other adverbs: bū “much”, tīkā “a little”, |slowly|, xalyā “quickly”, hazz(i) “still”.|Other adverbs: bū “much”, tīkā “a little”, tīkā tīkā “slowly”, xalyā “quickly”, hazz(i) “still”
