PDF_Page,Printed_Page,OIA_Source,OIA_Match_Form,CDIAL_ID,Match_Status,Candidates,RHS_Source,Indus_Kohistani_Forms
5,481,króśa,króśa,3611,loose,3611,"kṑ 1 , krī́ũ",kṑ;krī́ũ
5,481,kvathita,kvathita,3637,exact,3637,kʌṛī̀,kʌṛī̀
5,481,*kṣaṇati,kṣaṇati,3643,exact,3643,ċhã́ṛ karʌ́ṽ,ċhã́ṛ karʌ́ṽ
5,481,kṣaṇutḗ,kṣaṇutḗ,3644,exact,3644,c̣hɑ̄̃ṛʌ́ṽ 2,c̣hɑ̄̃ṛʌ́ṽ
5,481,kṣará,kṣará,3662,exact,3662,c̣hɑ̄̀r,c̣hɑ̄̀r
5,481,*kṣāṇa-2,kṣāṇa,3643-6,exact,3643-6,čhāṇī̀ (Š),čhāṇī̀
5,481,*kṣāṇayati,kṣāṇayati,3643-4,exact,3643-4,čhɑ̄̃ṛɑ̃́ṽ,čhɑ̄̃ṛɑ̃́ṽ
5,481,kṣiptá,kṣiptá,3685,exact,3685,c̣hít 2 -c̣hʌth karʌ́ṽ,c̣hít  -c̣hʌth karʌ́ṽ
5,481,kṣīyáte,kṣīyáte,3695,loose,3695,c̣hiʌ́ṽ 1,c̣hiʌ́ṽ
5,481,kṣīrá,kṣīrá,3696,exact,3696,c̣hī́r,c̣hī́r
5,481,kṣīrávat,kṣīrávat,3700-2,exact,3700-2,c̣hū̀r 2,c̣hū̀r
5,481,kṣīrín,kṣīrín,3704,exact,3704,c̣huī̀ri (Š),c̣huī̀ri
5,481,*kṣudati,kṣudati,3710,exact,3710,c̣hū́ 2 karʌ́ṽ,c̣hū́  karʌ́ṽ
5,481,*kṣupyate,kṣupyate,3719,loose,3719,c̣upʌ́ṽ,c̣upʌ́ṽ
5,481,kṣurá,kṣurá,3727,exact,3727,c̣hür (B); c̣hū́r 1 (J),c̣hür;c̣hū́r
5,481,*kṣeḍati,kṣeḍati,3734,loose,3734,c̣hēṛʌ́ṽ,c̣hēṛʌ́ṽ
5,481,*khaṅkh,khaṅkh,3763,exact,3763,"khaṅgʌ́ṽ, khā̀ṅg",khaṅgʌ́ṽ;khā̀ṅg
5,481,*khaṅkhālayati,khaṅkhālayati,3762-2,exact,3762-2,kʌṅgā̀l 2,kʌṅgā̀l
5,481,khaṭṭáyati,khaṭṭáyati,3779,exact,3779,khʌ́ṭh 1,khʌ́ṭh
5,481,*khaḍḍa,khaḍḍa,3790,manual,3790,"khʌ́ḍah, khā̀ṛ",khʌ́ḍah;khā̀ṛ
5,481,khaṇḍá-1,khaṇḍá,3792,exact,3792,khʌṇṭū́,khʌṇṭū́
5,481,*khaṇḍaghara,khaṇḍaghara,3794,exact,3794,kʌṇḍʌ́r,kʌṇḍʌ́r
5,481,khaṇḍu-1,khaṇḍu,3800,exact,3800,khʌ̀ṇḍ˚,khʌ̀ṇḍ˚
5,481,khára-2,khára,3819,exact,3819,khʌ́rah,khʌ́rah
5,481,kharvá,kharvá,3832,exact,3832,khʌpṑ,khʌpṑ
5,481,khála-1,khála,3834,exact,3834,khʌ́l 1,khʌ́l
5,481,khalla-1,khalla,3848,exact,3848,khʌlʌ̀y,khʌlʌ̀y
5,481,*khɑ̄ḍɑ,khɑ̄ḍɑ,3783,exact,3783,khʌṛlū́,khʌṛlū́
6,482,khɑ̄́dɑti,khɑ̄́dɑti,3865,loose,3865;3784-2,khʌ́ṽ,khʌ́ṽ
6,482,khādana,khādana,3867,exact,3867,khānàh,khānàh
6,482,khādayati,khādayati,3865-3,exact,3865-3,khayʌ́ṽ,khayʌ́ṽ
6,482,khiccā,khiccā,3880,exact,3880,khičī̀,khičī̀
6,482,khídyate,khídyate,3884,loose,3884,khizʌ́ṽ,khizʌ́ṽ
6,482,khilá-1,khilá,3885,exact,3885,khíl,khíl
6,482,*khis,khis,3888,exact,3888,khìsʌṽ,khìsʌṽ
6,482,*khuṭṭa-3,khuṭṭa,3895,exact,3895,khúṭh,khúṭh
6,482,*khuṭṭa-4,khuṭṭa,3895,exact,3895,"khʌṭʌ̀ṽ, khuṭàh",khʌṭʌ̀ṽ;khuṭàh
6,482,*khuḍa-2,khuḍa,3906-2,exact,3906-2,khúṛ,khúṛ
6,482,khura,khura,3906,exact,3906,khū́r,khū́r
6,482,*khull,khull,3945-2,exact,3945-2,khōlā̀,khōlā̀
6,482,†*khuśśa,khuśśa,,unmatched,,khōšū̀,khōšū̀
6,482,*khokkha,khokkha,3927,loose,3927,khōkàh,khōkàh
6,482,khola-1,khola,3942,loose,3942,khùī,khùī
6,482,*khosa,khosa,3948,loose,3948,khṑ G,khṑ G
6,482,*gaḍa-3,gaḍa,3969,exact,3969,gʌṛàh. See also gala-1 plus,gʌṛàh. See also gala- plus
6,482,*gaḍa-6,gaḍa,4070-2,exact,4070-2,gʌ̀ṛ-bʌṛ,gʌ̀ṛ-bʌṛ
6,482,gáḍati,gáḍati,3973,exact,3973,gaṛʌ́ṽ,gaṛʌ́ṽ
6,482,*gaḍagaḍa,gaḍagaḍa,3972,exact,3972,gʌ́ṛ2-gʌṛ,gʌ́ṛ-gʌṛ
6,482,*gaḍḍ-2,gaḍḍ,3980,exact,3980,gʌ́ḍ,gʌ́ḍ
6,482,*gaḍḍa-2,gaḍḍa,3982,manual,3982,gòṛ2 karʌ́ṽ,gòṛ karʌ́ṽ
6,482,*gaḍḍa-baḍḍa,gaḍḍa-baḍḍa,3974-2,exact,3974-2,gʌ́ḍ-baḍ,gʌ́ḍ-baḍ
6,482,*gaḍha,gaḍha,3986,exact,3986,gʌṛī̀1 and in ghʌṛíɑ̄l 2,gʌṛī̀;ghʌṛíɑ̄l
6,482,gaṇá,gaṇá,3988,exact,3988,ghã́ṛ,ghã́ṛ
6,482,gaṇḍá-1,gaṇḍá,3997,exact,3997,gʌ̀ṇḍ˚,gʌ̀ṇḍ˚
6,482,gaṇḍa-2,gaṇḍa,3998,exact,3998,gʌnī̃̀,gʌnī̃̀
6,482,gandhá,gandhá,4014,exact,4014,in c̣haṽ gʌn (G),c̣haṽ gʌn
6,482,*gappa,gappa,4022,exact,4022,gʌ̀p˚ 2,gʌ̀p˚
6,482,gabhīrá,gabhīrá,4024,exact,4024,in ghēràh mɑ̄̀ṣ,ghēràh mɑ̄̀ṣ
6,482,*garda-2,garda,4053,exact,4053,gʌdī̀,gʌdī̀
6,482,garbhíṇī,garbhíṇī,4062,exact,4062,gʌbī̃́ (G); ghʌbī̃̀ (J),gʌbī̃́;ghʌbī̃̀
6,482,garvita,garvita,,unmatched,,ẓhī́li,ẓhī́li
6,482,gala-1 plus *gaḍa-3,gala,4069,exact,4069,galgèṛe. (B),galgèṛe.
6,482,*galī,galī,4085,exact,4085,gʌỳli,gʌỳli
6,482,*galaughika,galaughika,4086,exact,4086,galṑ 1,galṑ
6,482,*galhā,galhā,4068-2,exact,4068-2,gal (G),gal
6,482,*gahura,gahura,4108,exact,4108,gṑr,gṑr
6,482,*gāḍḍa,gāḍḍa,3982,manual,4116,"gʌỳḍih, gā̀ḍih",gʌỳḍih;gā̀ḍih
6,482,gārjara,gārjara,4140,exact,4140,gāzʌ́r,gāzʌ́r
6,482,gālayati,gālayati,4144,exact,4144,galʌ́ṽ,galʌ́ṽ
6,482,gāla,gāla,4142,exact,4142,gʌ̀lah,gʌ̀lah
6,482,gāli,gāli,4145,exact,4145,gḕl,gḕl
6,482,*gāvā,gāvā,pii-4147-2,exact,pii-4147-2,gā́,gā́
6,482,*giḍḍa,giḍḍa,3982-2,exact,3982-2,gī́ṛ,gī́ṛ
6,482,gīti,gīti,4168,exact,4168,gī̀l,gī̀l
6,482,guñja-2 plus muktā,guñja,4174,exact,4174,guižmutī̀,guižmutī̀
6,482,guḍá-1,guḍá,4181,exact,4181,in ḍhirgū́,ḍhirgū́
6,482,**guḍá-1stara,guḍá-1stara,,unmatched,,guthrṑ,guthrṑ
6,482,guḍá-2,guḍá,4182,exact,4182,gúṛ (B); gū́ṛ (J),gúṛ;gū́ṛ
6,482,*guḍḍa,guḍḍa,4189,manual,4189,guṛī̀,guṛī̀
6,482,guṇá,guṇá,4190,exact,4190,ghūṇ (G),ghūṇ
6,482,gumpháti,gumpháti,4205-2,exact,4205-2,gumʌ́ṽ,gumʌ́ṽ
6,482,gurjará,gurjará,4210,exact,4210,gùzur,gùzur
6,482,*gulu,gulu,4214,exact,4214,in hʌ́tʌỹ gulčī̀,hʌ́tʌỹ gulčī̀
6,482,**gulu-pahuñca,gulu-pahuñca,,unmatched,,guluìċi,guluìċi
6,482,gulphá,gulphá,4216,exact,4216,gupī̀,gupī̀
6,482,gūḍhá-1,gūḍhá,4223,exact,4223,ḍúṅg 2,ḍúṅg
6,482,gūtha,gūtha,4225,exact,4225,gū́ 2 (G); gū̃̀ 2 (J),gū́;gū̃̀
6,482,*gūttha,gūttha,4225-2,exact,4225-2,gút (B),gút
6,482,*gūttha- plus *raḍ,gūttha,4225-2,exact,4225-2,gutrēṛ (G),gutrēṛ
6,482,*gūniya,gūniya,4226,exact,4226,gũṛìā̃,gũṛìā̃
6,482,gŕḍhya,gŕḍhya,4231,loose,4231,ghī̀z,ghī̀z
6,482,gṛhṇɑ̄́ti,gṛhṇɑ̄́ti,4236-2,loose,4236-2,ghinʌ́ṽ,ghinʌ́ṽ
6,482,genduka,genduka,4248,loose,4248,gḗn,gḗn
6,482,gehá,gehá,4251,loose,4251,gḗ,gḗ
6,482,gó,gó,4255,loose,4255,gṑ,gṑ
6,482,godhā́,godhā́,4286,loose,4286,ghū́ 1,ghū́
6,482,godhū́ma,godhū́ma,4287,loose,4287,gū̃́ 1,gū̃́
6,482,gorasa,gorasa,4312,loose,4312,gōrʌ̀s,gōrʌ̀s
6,482,gorūpá,gorūpá,4313,loose,4313,gū́r 2,gū́r
6,482,gola-1,gola,4321,loose,4321,gōlàh,gōlàh
6,482,*gollɑ,gollɑ,4325,loose,4325,gōl (G),gōl
7,483,gośɑkṛt,gośɑkṛt,4333,loose,4333,gvóšā (B),gvóšā
7,483,**gośraya-kula,gośraya-kula,,unmatched,,gōṣuíli,gōṣuíli
7,483,goṣṭhá,goṣṭhá,4336,common-base,4336;4336-2,gṓṭ (B),gṓṭ
7,483,gaurá,gaurá,4345,exact,4345,gū̀r 1,gū̀r
7,483,grantháyati,grantháyati,4353,exact,4353,ghaṇḍʌ́ṽ,ghaṇḍʌ́ṽ
7,483,granthí,granthí,4354,exact,4354,ghaṛɑ́ṽ 2 (G); gɑ̄̃̀ṛ (J),ghaṛɑ́ṽ;gɑ̄̃̀ṛ
7,483,grā́ma,grā́ma,4368,exact,4368,gɑ̄̃̀,gɑ̄̃̀
7,483,*grāmārdhin,grāmārdhin,4376-2,exact,4376-2,gaṽʌṇḍī́,gaṽʌṇḍī́
7,483,*graiviya,graiviya,4396,exact,4396,gēràh,gēràh
7,483,gháṭate,gháṭate,4407,loose,4407,ghō̃́ (G),ghō̃́
7,483,ghaṭī,ghaṭī,4406-2,exact,4406-2,ghə́e. (B); ghʌṛʌ́y (J),ghə́e.;ghʌṛʌ́y
7,483,*ghaṭītāḍa,ghaṭītāḍa,4413,exact,4413,ghʌṛíāl 1,ghʌṛíāl
7,483,ghaṭṭáyati1,ghaṭṭáyati,4417,exact,4417,ghaṭʌ́ṽ,ghaṭʌ́ṽ
7,483,ghaná-2,ghaná,4424,exact,4424,ghʌ̀ṽ,ghʌ̀ṽ
7,483,*gharaghara,gharaghara,4432,exact,4432,ghʌ́r-ghʌr,ghʌ́r-ghʌr
7,483,ghariṇī,ghariṇī,4442,exact,4442,ghʌrī̃́,ghʌrī̃́
7,483,ghárṣati,ghárṣati,4450,exact,4450,ghaṣʌ́ṽ,ghaṣʌ́ṽ
7,483,ghāṭā-1,ghāṭā,4459,exact,4459,ghùī 2 diyʌ́ṽ,ghùī  diyʌ́ṽ
7,483,ghāta,ghāta,4460,exact,4460,ghɑ̄́l,ghɑ̄́l
7,483,*ghāna-1,ghāna,4466,exact,4466,ghā̃ṛī̃̀,ghā̃ṛī̃̀
7,483,ghāsá,ghāsá,4471,exact,4471,ghɑ̄́,ghɑ̄́
7,483,*ghiṅgira,ghiṅgira,,unmatched,,ghiṅgṛə̀e. (B),ghiṅgṛə̀e.
7,483,ghir,ghir,4474,exact,4474,ghī̀ri,ghī̀ri
7,483,*ghuṅgana,ghuṅgana,4476,exact,4476,ghuṅgṛī̀,ghuṅgṛī̀
7,483,*ghuṅghura,ghuṅghura,4477,exact,4477,ghuṅgrū́ 2,ghuṅgrū́
7,483,ghuṇṭa-1,ghuṇṭa,4483,exact,4483,ghùṇḍ˚,ghùṇḍ˚
7,483,*ghuṇṭa-2,ghuṇṭa,4483,exact,4483,ghúṇḍ (B),ghúṇḍ
7,483,*ghurati1,ghurati,4488,exact,4488,ghurʌ́ṽ 1,ghurʌ́ṽ
7,483,*ghurati2,ghurati,4488,exact,4488,ghurʌ́ṽ 2,ghurʌ́ṽ
7,483,ghṛtá,ghṛtá,4501,loose,4501,ghiū́ (B); ghiū (G); ghī́l (J),ghiū́;ghiū;ghī́l
7,483,ghoṭa,ghoṭa,4516,loose,4516,ghṑ,ghṑ
7,483,ghrāṇá,ghrāṇá,4531,exact,4531,ghā̃̀ 2,ghā̃̀
7,483,ca,ca,4533,exact,4533,záh (G),záh
7,483,cakravāká,cakravāká,4551,exact,4551,ċɑ̄́g˚,ċɑ̄́g˚
7,483,caṅga,caṅga,4564,exact,4564,in ʌċhákh,ʌċhákh
7,483,*caṭa,caṭa,4570,exact,4570,ċʌ́r 1,ċʌ́r
7,483,*caṭṭ,caṭṭ,4573,exact,4573,ċaṭʌ́ṽ,ċaṭʌ́ṽ
7,483,*caṭṭu,caṭṭu,4575,exact,4575,čʌṭū́,čʌṭū́
7,483,caturá-1,caturá,4594,exact,4594,ċɑ̄̀r,ċɑ̄̀r
7,483,catúrah.,catúrah.,4655-3,loose,4655-3,ċʌ̀ur,ċʌ̀ur
7,483,cáturdaśa1,cáturdaśa,4605,exact,4605,ċòdʌš (B); čondeš (G); ċʌ̀ndʌš (J),ċòdʌš;čondeš;ċʌ̀ndʌš
7,483,caturhāyaṇa,caturhāyaṇa,4627,exact,4627,ċuā̃ṭū́,ċuā̃ṭū́
7,483,catuṣka,catuṣka,4629,exact,4629,čōvkëi (B),čōvkëi
7,483,*catuṣkāṣṭha,catuṣkāṣṭha,4631,exact,4631,čōkɑ̄̀ṭh,čōkɑ̄̀ṭh
7,483,*catuṣpāṭa,catuṣpāṭa,4644,exact,4644,čōpɑ̄̀l,čōpɑ̄̀l
7,483,**catuṣphera,catuṣphera,,unmatched,,in čɑ̄̀r-čāpḕr,čɑ̄̀r-čāpḕr
7,483,candrá,candrá,4661,exact,4661,ċɑ̄́n,ċɑ̄́n
7,483,*capp,capp,4674,exact,4674,ċʌ̀ph,ċʌ̀ph
7,483,*cappayati,cappayati,4675,exact,4675,ċapʌ́ṽ,ċapʌ́ṽ
7,483,*cappeṭa,cappeṭa,4673-3,loose,4673-3,ċāpḕṛ,ċāpḕṛ
7,483,*campavelli,campavelli,4680,loose,4680,čambēlī̀,čambēlī̀
7,483,cárati,cárati,4686,exact,4686,ċarʌ́ṽ,ċarʌ́ṽ
7,483,cáraṇa,cáraṇa,4685,exact,4685,ċarʌ́ṽ karʌ́ṽ,ċarʌ́ṽ karʌ́ṽ
7,483,carā,carā,4689,exact,4689,ċʌ́r 2,ċʌ́r
7,483,*carpa,carpa,4696,exact,4696,čʌpū́,čʌpū́
7,483,*carpaṭṭa,carpaṭṭa,4696-3,exact,4696-3,čipʌýṭhi,čipʌýṭhi
7,483,**carpāṅga,carpāṅga,,unmatched,,ċʌpɑ̄́ṅg,ċʌpɑ̄́ṅg
7,483,cárman,cárman,4701,exact,4701,ċɑ̄̀m,ċɑ̄̀m
7,483,*cāṭṭa,cāṭṭa,4738,exact,4738,čāṭī̀,čāṭī̀
7,483,cāráyati,cāráyati,4760,exact,4760,ċārʌ́ṽ,ċārʌ́ṽ
7,483,*cāla-1,cāla,4768,exact,4768,čālū̀,čālū̀
7,483,cā́ṣa-1,cā́ṣa,4773,exact,4773,ċʌ̀ṽ 1,ċʌ̀ṽ
7,483,cikka-3,cikka,4781,exact,4781,ċìk (B),ċìk
7,483,*ciṅga,ciṅga,4785,exact,4785,ċìṅg,ċìṅg
7,483,*ciṅghāṭa,ciṅghāṭa,4787,exact,4787,ʌ̀ỹ 2 čiṅgʌ́ṽ,ʌ̀ỹ  čiṅgʌ́ṽ
7,483,*ciṭh,ciṭh,,unmatched,,čiṭhʌ́ṽ 2,čiṭhʌ́ṽ
7,483,citrɑ́,citrɑ́,4812,disambiguated,4803;4812,c̣ìc̣h,c̣ìc̣h
8,484,cintɑ́yɑti,cintɑ́yɑti,4815,loose,4815,ċinʌ́ṽ,ċinʌ́ṽ
8,484,*cipp,cipp,4674-3,exact,4674-3,ċī́p karō̃́ (Š); čī́ph karʌ́ṽ (J),ċī́p karō̃́;čī́ph karʌ́ṽ
8,484,cirá,cirá,4824,exact,4824,ċī̀r 1,ċī̀r
8,484,cīḍā,cīḍā,4837,exact,4837,ċivʌ̀i (B); ċugī̀; čī̀ṛi (J),ċivʌ̀i;ċugī̀;čī̀ṛi
8,484,cīmara,cīmara,4842a,exact,4842a,ċìm(b)ʌr,ċìm(b)ʌr
8,484,*cīrayati,cīrayati,4844,exact,4844,ċìr-ċʌr karʌ́ṽ and ċērʌ́ṽ,ċìr-ċʌr karʌ́ṽ and ċērʌ́ṽ
8,484,cī́ra,cī́ra,4843,exact,4843,ċī̀r 2 diyʌ́ṽ,ċī̀r  diyʌ́ṽ
8,484,cīrī,cīrī,4845,exact,4845,"čičī́ri, čiṛī̀",čičī́ri;čiṛī̀
8,484,cukkáyati,cukkáyati,4849,exact,4849,in ċùk-ċʌpḕṛ karʌ́ṽ,ċùk-ċʌpḕṛ karʌ́ṽ
8,484,cukrá,cukrá,4850,exact,4850,ċùkh,ċùkh
8,484,*cucci,cucci,4855-2,exact,4855-2,ċíċhi,ċíċhi
8,484,**cuṭṭita,cuṭṭita,,unmatched,,ċiṭʌ́ṽ,ċiṭʌ́ṽ
8,484,cúṇṭati,cúṇṭati,4857-3,exact,4857-3,čū̃́ṛ2 karʌ́ṽ,čū̃́ṛ karʌ́ṽ
8,484,cúṇḍati,cúṇḍati,4859,exact,4859,čūṇḍī̀,čūṇḍī̀
8,484,*cutta,cutta,4860,exact,4860,čut (G),čut
8,484,*cumbhati,cumbhati,4872,exact,4872,ċumʌ́ṽ,ċumʌ́ṽ
8,484,*cul,cul,4874,exact,4874,ċulʌ́ṽ,ċulʌ́ṽ
8,484,cū́ḍa-1,cū́ḍa,4883,exact,4883,"ċʌṛī̀, čū̃́ṛ1",ċʌṛī̀;čū̃́ṛ
8,484,*cūra,cūra,4888,exact,4888,čūrī̀,čūrī̀
8,484,cūrṇa,cūrṇa,4889,exact,4889,"ċùn, čunàh",ċùn;čunàh
8,484,cetáyati,cetáyati,4906,loose,4906,ċḕr 2,ċḕr
8,484,caitrá,caitrá,4915,exact,4915,čītʌ́r 1,čītʌ́r
8,484,*coṇḍa,coṇḍa,4883-2,loose,4883-2,"ċʌ̀ṇḍ˚, čō̃̀ṭh",ċʌ̀ṇḍ˚;čō̃̀ṭh
8,484,*coddati,coddati,4929,loose,4929,ċṑd diyʌ́ṽ,ċṑd diyʌ́ṽ
8,484,corá-1,corá,4931,loose,4931,"ċū́r 1 , ċṓr 3",ċū́r;ċṓr
8,484,*chakkaṭa,chakkaṭa,12236,exact,12236,čhʌkṛàh,čhʌkṛàh
8,484,chagalá,chagalá,4963,exact,4963,ċhāl (G); ċhḕl (J),ċhāl;ċhḕl
8,484,*chajja,chajja,4964,exact,4964,ċhaz (G); čhʌỹ̀ži (J),ċhaz;čhʌỹ̀ži
8,484,*chaṭ- × *chaṇṭ,chaṭ- × *chaṇṭ,,unmatched,,čhãṛkʌ́ṽ,čhãṛkʌ́ṽ
8,484,*chatti,chatti,4971,exact,4971,"in ʌ́kh 1 -čhʌtā̀, čhʌ́th",ʌ́kh  -čhʌtā̀;čhʌ́th
8,484,*chapp,chapp,4994,exact,4994,čhɑ̄̀ph diyʌ́ṽ,čhɑ̄̀ph diyʌ́ṽ
8,484,chárdati,chárdati,4998,exact,4998,ċhaṛū́,ċhaṛū́
8,484,chardí,chardí,4999,exact,4999,ċhɑ̄̀ṛ,ċhɑ̄̀ṛ
8,484,chala-1,chala,5001,exact,5001,čhʌ́l 2,čhʌ́l
8,484,*chala-2,chala,5002,exact,5002,čhʌ́l 1,čhʌ́l
8,484,chādáyati1,chādáyati,5018,exact,5018,ċhʌ́ṽ,ċhʌ́ṽ
8,484,chādi,chādi,5020,exact,5020,ċhī̀ (B),ċhī̀
8,484,*chāpa,chāpa,5026,exact,5026,ċhʌvui (G),ċhʌvui
8,484,chāyɑ̄́,chāyɑ̄́,5027,loose,5027,ċhō̃́l,ċhō̃́l
8,484,chikkā,chikkā,5032,exact,5032,čhígi (G),čhígi
8,484,chitti,chitti,5037,exact,5037,ċhìt-ċhith karʌ́ṽ,ċhìt-ċhith karʌ́ṽ
8,484,chidyate,chidyate,5042,loose,5042,ċhizʌ́ṽ,ċhizʌ́ṽ
8,484,*chilla-1,chilla,5051,exact,5051,ċhil 2 (G),ċhil
8,484,*chilla-2,chilla,5052,exact,5052,ċhil 1 (G),ċhil
8,484,cheda,cheda,5064,loose,5064,čhḗl,čhḗl
8,484,*chokkara,chokkara,5070-3,loose,5070-3,čhōkrā-bɑ̄̀z,čhōkrā-bɑ̄̀z
8,484,*choṭṭa,choṭṭa,5071,loose,5071,ċhoṭh (G) J,ċhoṭh (G) J
8,484,jáṅghā,jáṅghā,5082,exact,5082,zāṅg (G),zāṅg
8,484,jáṭā,jáṭā,5086,exact,5086,záv (G),záv
8,484,*jaṭṭa-1,jaṭṭa,5089,exact,5089,"zʌṭḗl, zā̀ṭh",zʌṭḗl;zā̀ṭh
8,484,játu,játu,5093,exact,5093,zʌ̀y,zʌ̀y
8,484,jantú,jantú,5110,exact,5110,zā̀n 1,zā̀n
8,484,janyayātra,janyayātra,5118,loose,5118,zhā̃́l,zhā̃́l
8,484,*janyavāsa,janyavāsa,5119,exact,5119,zhē̃lṑs,zhē̃lṑs
8,484,*japp,japp,5122,exact,5122,zhʌ́ph,zhʌ́ph
8,484,jamba,jamba,5128,exact,5128,źäb (B),źäb
8,484,jára,jára,5145,exact,5145,zʌ̀r 2,zʌ̀r
8,484,jarā́yu,jarā́yu,5152,exact,5152,zalʌ̀y,zalʌ̀y
8,484,jalaukā,jalaukā,5161-2,exact,5161-2,zälō̃́ (B),zälō̃́
8,484,jāṅgala,jāṅgala,5177,exact,5177,zäṅg˚lë́i (B),zäṅg˚lë́i
8,484,jānā́ti,jānā́ti,5193,exact,5193,in kʌ́ỹ žānī,kʌ́ỹ žānī
8,484,*jāmātraka,jāmātraka,5198,exact,5198,ẓʌṽā̃ẓàh,ẓʌṽā̃ẓàh
8,484,jā́yate,jā́yate,5204,loose,5204,zʌ́ṽ,zʌ́ṽ
8,484,jārá,jārá,5206,exact,5206,zā́r,zā́r
8,484,jā́la,jā́la,5213,exact,5213,žālī̀1,žālī̀
8,484,jihvā́,jihvā́,5228,exact,5228,zī̀b,zī̀b
8,484,*jīrati,jīrati,5235,exact,5235,zariʌ́ṽ,zariʌ́ṽ
8,484,jī́vana,jī́vana,5243,exact,5243,zin (G),zin
8,484,jīvantá,jīvantá,5244,exact,5244,"zʌ́nd, žondún",zʌ́nd;žondún
8,484,jīvalá,jīvalá,5247,exact,5247,žī́li,žī́li
9,485,júṣṭi,júṣṭi,5256,exact,5256,žhuiṭā̀,žhuiṭā̀
9,485,*jūrɑti,jūrɑti,5259,exact,5259,zōrʌ́ṽ,zōrʌ́ṽ
9,485,jŕ.mbhate,jŕ.mbhate,5265,loose,5265,zhā̃̀,zhā̃̀
9,485,jñāpyate,jñāpyate,5283,loose,5283,nā̀ph,nā̀ph
9,485,jyaiṣṭha,jyaiṣṭha,5293,exact,5293,žḕṭh,žḕṭh
9,485,jyótsnā,jyótsnā,5301,loose,5301,žū̃́ 2 (B),žū̃́
9,485,jvará,jvará,5303,exact,5303,"zʌ́r 1 , zhʌ́r 2",zʌ́r;zhʌ́r
9,485,*jhakk-1,jhakk,5316,exact,5316,"zhʌ́kh, zhā́k (-zhūkh)",zhʌ́kh;zhā́k (-zhūkh)
9,485,*jhakk-3,jhakk,5318,exact,5318,zhakurzʌ́ṽ,zhakurzʌ́ṽ
9,485,*jhakk-5,jhakk,5323-3,exact,5323-3,žhā̀qh,žhā̀qh
9,485,*jhaggā,jhaggā,5322,exact,5322,zhāg (B),zhāg
9,485,*jhaṭ,jhaṭ,5327,exact,5327,žhʌṛʌ̀q-žhʌṛʌqh,žhʌṛʌ̀q-žhʌṛʌqh
9,485,*jhaḍī,jhaḍī,5329,exact,5329,žhaṛéy (G),žhaṛéy
9,485,*jhaṇṭa,jhaṇṭa,5334,exact,5334,in bužʌ̀ṇḍ˚,bužʌ̀ṇḍ˚
9,485,*jhapp-2,jhapp,5337,exact,5337,zhápʌr,zhápʌr
9,485,*jhal-2,jhal,5351,exact,5351,zhʌ́l,zhʌ́l
9,485,*jhāṭayati,jhāṭayati,5328-2,exact,5328-2,žhā̀ṛ,žhā̀ṛ
9,485,*jhāma-1,jhāma,5366,exact,5366,zhʌ̀ṽ,zhʌ̀ṽ
9,485,*jhāmaka-1,jhāmaka,5366-2,exact,5366-2,zhʌṽʌ̀ỹ,zhʌṽʌ̀ỹ
9,485,*jhil,jhil,5391,exact,5391,zhíli 1,zhíli
9,485,jhuṇṭa-1,jhuṇṭa,5400,exact,5400,zhúṇḍ˚,zhúṇḍ˚
9,485,*jhuṇṭa-2,jhuṇṭa,5401,exact,5401,zhuṇḍī̀,zhuṇḍī̀
9,485,†*jhoṭṭa-3,jhoṭṭa,5414a,loose,5414a,žhuíṭhi,žhuíṭhi
9,485,*jhola-1,jhola,5415,loose,5415,žhōlä́h (B); žōlʌ́y (J),žhōlä́h;žōlʌ́y
9,485,*ṭakk-1,ṭakk,5420,exact,5420,ṭā́kh,ṭā́kh
9,485,*ṭakk-1 plus kā́ri,ṭakk,5420,exact,5420,ṭʌkʌrī́,ṭʌkʌrī́
9,485,*ṭakk-2,ṭakk,5421,exact,5421,ṭakʌ́ṽ and tʌkdɑ̄̀r,ṭakʌ́ṽ and tʌkdɑ̄̀r
9,485,ṭakkarā,ṭakkarā,5424,exact,5424,ṭakʌ́r,ṭakʌ́r
9,485,ṭaṅka-2,ṭaṅka,5427,exact,5427,ṭhũṅg˚ (B),ṭhũṅg˚
9,485,ṭaṅka-5,ṭaṅka,5429,exact,5429,ṭāṅgū́,ṭāṅgū́
9,485,*ṭaṭṭu,ṭaṭṭu,5440,exact,5440,ṭʌṭū́,ṭʌṭū́
9,485,*ṭapp,ṭapp,5444,exact,5444,ṭʌ̀p-ṭʌph 2,ṭʌ̀p-ṭʌph
9,485,*ṭappa-2,ṭappa,5445,exact,5445,"ṭʌ̀ph, ṭʌpā̀l",ṭʌ̀ph;ṭʌpā̀l
9,485,*ṭappa-3,ṭappa,5446,exact,5446,ṭā̀ph,ṭā̀ph
9,485,*ṭabbara,ṭabbara,5446a,exact,5446a,ṭabʌ́r,ṭabʌ́r
9,485,*ṭal-2,ṭal,5449,exact,5449,ṭalʌ́y,ṭalʌ́y
9,485,*ṭalla-1,ṭalla,5451,exact,5451,ṭā̀l 1,ṭā̀l
9,485,*ṭāṇṭa,ṭāṇṭa,5527-7,exact,5527-7,ṭā̃́ṭ (B),ṭā̃́ṭ
9,485,*ṭikk,ṭikk,5420-2,exact,5420-2,ṭī́kh 2,ṭī́kh
