Status,Entry_Key,PDF_Page,Printed_Head,Form,Variants,Gloss,DEDR_IDs,DEDR_Relations,Checked_Unlinked,Unresolved_DEDR_IDs,Raw_Entry
ingested,wolf-kota:p12:e30,12,guṇḍgal,guṇḍgal,,“a huge round stone”,1695,direct,,,guṇḍgal — (1695) “a huge round stone”
ingested,wolf-kota:p12:e31,12,guṇḍīṛ,guṇḍīṛ,,"a person who keeps on nagging, won’t take no for an answer, a pest (Kurgōj mānt; synonym in Kolmēl, cayṇḍ)",,,yes,,"guṇḍīṛ — [-] a person who keeps on nagging, won’t take no for an answer, a pest (Kurgōj mānt; synonym in Kolmēl, cayṇḍ)"
ingested,wolf-kota:p12:e32,12,gurumāl (Badaga?),gurumāl (Badaga?),,"dull, boring",,,,,"gurumāl (Badaga?) — dull, boring"
ingested,wolf-kota:p12:e33,12,guṛy,guṛy,,temple,1655,direct,,,guṛy — (1655) temple
ingested,wolf-kota:p12:e34,12,gurykaṭ,gurykaṭ,,"catafalque canopy erected above bier in Kota funerals (Duryodana gives this pronunciation, which accords with Emeneau’s)",,,,,"gurykaṭ — catafalque canopy erected above bier in Kota funerals (Duryodana gives this pronunciation, which accords with Emeneau’s)"
ingested,wolf-kota:p13:e1,13,guṛyvāl,guṛyvāl,,protected area around Kota temples,,,,,guṛyvāl — protected area around Kota temples
ingested,wolf-kota:p13:e2,13,guṭl,guṭl,,stake or large peg,,,,,guṭl — stake or large peg
ingested,wolf-kota:p13:e3,13,gūc- (gūc-),gūc-,,"“to lie or fall in a mass, (rain) pours down; to put down in a mass”",1877,direct,,,"gūc- (gūc-) — (1877) “to lie or fall in a mass, (rain) pours down; to put down in a mass”"
ingested,wolf-kota:p13:e4,13,gūcl,gūcl,,“heap of fuel”’ place for putting firewood,1877,direct,,,gūcl — (1877) “heap of fuel”’ place for putting firewood
ingested,wolf-kota:p13:e5,13,gūḍārm,gūḍārm,,kind of gurykaṭ,,,,,gūḍārm — kind of gurykaṭ
ingested,wolf-kota:p13:e6,13,-gūḷ,-gūḷ,,,,,,,-gūḷ — [plural suffix]
ingested,wolf-kota:p13:e7,13,gūḷy,gūḷy,,a bull that roams free from work [“bull belonging to a dead man that is released from work until its death”?],1917,direct,,,gūḷy — (1917) a bull that roams free from work [“bull belonging to a dead man that is released from work until its death”?]
ingested,wolf-kota:p13:e8,13,gūṛ,gūṛ,,"nest; shelf cut into wall; tunnel; station; train compartment (without chairs etc., box car)",1883,direct,,,"gūṛ — (1883) nest; shelf cut into wall; tunnel; station; train compartment (without chairs etc., box car)"
ingested,wolf-kota:p13:e9,13,gūṛgal,gūṛgal,,"place near kurgoj where they go hunting for bison, ritually, for devr II: 45",,,,,"gūṛgal — place near kurgoj where they go hunting for bison, ritually, for devr II: 45"
ingested,wolf-kota:p13:e10,13,ib,ib,,iron,486,direct,,,ib — (486) iron
ingested,wolf-kota:p13:e11,13,ibū,ibū,,lazy,,,yes,,ibū — [-] lazy
ingested,wolf-kota:p13:e12,13,icīnavdk,icīnavdk,,word used at beginning of scolding,,,,,icīnavdk — word used at beginning of scolding
ingested,wolf-kota:p13:e13,13,icv-/ict- (ict-),icv-,ict-,to shoot (arrow),805,direct,,,icv-/ict- (ict-) — (805) to shoot (arrow)
ingested,wolf-kota:p13:e14,13,iḍ- (iṭ-),iḍ-,iṭ-,"“to put, fix” plant (seeds or larger items); shoot with bow and arrow or gun; light (fire) IV: 18",442,direct,,,"iḍ- (iṭ-) — (442) “to put, fix” plant (seeds or larger items); shoot with bow and arrow or gun; light (fire) IV: 18"
ingested,wolf-kota:p13:e15,13,iḍ- (iṭ-),iḍ-,iṭ-,"“to beat” (Kolmēl mānt; see ēṭ- for Kurgōj); clap hands in kummi, place finger on hole of koḷ, pulang (verl iṭo, kaṇ iṭo)",443,direct,,,"iḍ- (iṭ-) — (443) “to beat” (Kolmēl mānt; see ēṭ- for Kurgōj); clap hands in kummi, place finger on hole of koḷ, pulang (verl iṭo, kaṇ iṭo)"
ingested,wolf-kota:p13:e16,13,iḍ,iḍ,,"a beat or strike (1997: 6) also ēt, eyṛ",,,,,"iḍ -- a beat or strike (1997: 6) also ēt, eyṛ"
ingested,wolf-kota:p13:e17,13,ijnīk,ijnīk,,a short distance away,410,related,,,ijnīk — [410] a short distance away
ingested,wolf-kota:p13:e18,13,ijōṛ,ijōṛ,,"a lot, much, excessive (ajōṛ, that much, ejōṛ, how much)",410,related,,,"ijōṛ — [410] a lot, much, excessive (ajōṛ, that much, ejōṛ, how much)"
ingested,wolf-kota:p13:e19,13,ikōlā,ikōlā,,shouldn’t be (i.e. prohibitive conjugated with verb to be; see -kōlā),,,yes,,ikōlā — [-] shouldn’t be (i.e. prohibitive conjugated with verb to be; see -kōlā)
ingested,wolf-kota:p13:e20,13,iḷv- (iḷt-),iḷv-,iḷt-,“to drag on ground (intr.); drag (tr.)”; produce fire by twirling? (I: 43),504,direct,,,iḷv- (iḷt-) — (504) “to drag on ground (intr.); drag (tr.)”; produce fire by twirling? (I: 43)
ingested,wolf-kota:p13:e21,13,ilmārm,ilmārm,,"(2552 but note spelling diff.) “night, the whole night”",,,,,"ilmārm — (2552 but note spelling diff.) “night, the whole night”"
ingested,wolf-kota:p13:e22,13,im,im,,female buffalo [DEDR 816],816,related,,,im female buffalo [DEDR 816]
ingested,wolf-kota:p13:e23,13,imbanekāy,imbanekāy,,name of unidentified vegetable or fruit,,,yes,,imbanekāy — [-] name of unidentified vegetable or fruit
ingested,wolf-kota:p13:e24,13,impayt/imbayt,impayt,imbayt,circular area like tōy for rituals involving buffalo and more specifically a shack for herders IV: 95; EVS: “cattle shed built on grazing grounds at distance from villages (in malāṛ and sirūr)”,,,,,impayt/imbayt — circular area like tōy for rituals involving buffalo and more specifically a shack for herders IV: 95; EVS: “cattle shed built on grazing grounds at distance from villages (in malāṛ and sirūr)”
ingested,wolf-kota:p13:e25,13,"in- (id-), -n- (-d-)",in- (id-),-n-|-d-,"“to say (so and so), be said to be (so and so)” (i.e. quotative marker)",,,,,"in- (id-), -n- (-d-) — “to say (so and so), be said to be (so and so)” (i.e. quotative marker)"
ingested,wolf-kota:p13:e26,13,ind- (indy-),ind-,indy-,(4183 but note alveolar vs. retroflex) to squeeze,,,,,ind- (indy-) — (4183 but note alveolar vs. retroflex) to squeeze
ingested,wolf-kota:p13:e27,13,indōṛ,indōṛ,,from now on,,,,,indōṛ — [ind + ōṛ] from now on
ingested,wolf-kota:p13:e28,13,iṇḍōrāṛ,iṇḍōrāṛ,,next year (D says it is retroflex),,,,,iṇḍōrāṛ — next year (D says it is retroflex)
ingested,wolf-kota:p13:e29,13,inam,inam,,kind,,,,,inam — kind
ingested,wolf-kota:p13:e30,13,iṛ- (iṭ-),iṛ-,iṭ-,"to put on (clothes, costume, etc.)",,,,,"iṛ- (iṭ-) — to put on (clothes, costume, etc.)"
ingested,wolf-kota:p13:e31,13,iṛc- (iṛc-),iṛc-,,"to knock, pound (on) (door, wall, medicine, grain)",432,related,,,"iṛc- (iṛc-) — [432] to knock, pound (on) (door, wall, medicine, grain)"
ingested,wolf-kota:p13:e32,13,iṛy- (iṛc-),iṛy-,iṛc-,"[noun iṛyn] a punch, to punch, strike hard “to crush in a mortar, break, destroy in one movement (e.g. wall), be broken”",432,direct,,,"iṛy- (iṛc-) — (432) [noun iṛyn] a punch, to punch, strike hard “to crush in a mortar, break, destroy in one movement (e.g. wall), be broken”"
ingested,wolf-kota:p13:e33,13,irb,irb,,ant,864,direct,,,irb — (864) ant
ingested,wolf-kota:p13:e34,13,irg verg,irg verg,,firewood of very small diameter,,,,,irg verg — firewood of very small diameter
ingested,wolf-kota:p13:e35,13,irp- (irpy-),irp-,irpy-,"“to blow through (tube, wind instrument)”; cīl pact irpkōṛo, must blow kol by taking in air, i.e. circular breath. to play the pījl (Kota texts III: 103",751,direct,,,"irp- (irpy-) — (751) “to blow through (tube, wind instrument)”; cīl pact irpkōṛo, must blow kol by taking in air, i.e. circular breath. to play the pījl (Kota texts III: 103"
ingested,wolf-kota:p14:e1,14,irl,irl,,night,2552,direct,,,irl — (2552) night
ingested,wolf-kota:p14:e2,14,Irudayavāydy,Irudayavāydy,,name of joint Kota/Badaga god in Melur (lit. “two gods”?),,,,,Irudayavāydy — name of joint Kota/Badaga god in Melur (lit. “two gods”?)
ingested,wolf-kota:p14:e3,14,itarvi / [itērvī],itarvi,itērvī,near here; “in this neighborhood”,410,direct,,,itarvi / [itērvī] — (410) near here; “in this neighborhood”
ingested,wolf-kota:p14:e4,14,itōrk,itōrk,,(they) were there,410,related,,,itōrk — [410] (they) were there
ingested,wolf-kota:p14:e5,14,ī,ī,,here,410,direct,,,ī — (410) here
ingested,wolf-kota:p14:e6,14,īgūṛ- (īgūc-),īgūṛ-,īgūc-,to cease (crying),,,yes,,īgūṛ- (īgūc-) — [-] to cease (crying)
ingested,wolf-kota:p14:e7,14,īli/ilīre,īli,ilīre,"is not, does not exist (subject: you)",,,yes,,"īli/ilīre — [-] is not, does not exist (subject: you)"
ingested,wolf-kota:p14:e8,14,īnd-/in- (īnd-) [īn- (īnd-)],īnd-,in- (īnd-) [īn- (īnd-),to give birth [“(animal) bears young”],555,related,,,īnd-/in- (īnd-) [īn- (īnd-)] — [555] to give birth [“(animal) bears young”]
ingested,wolf-kota:p14:e9,14,īṛl,īṛl,,(n.) hit,,,yes,,īṛl — [-] (n.) hit
ingested,wolf-kota:p14:e10,14,īṛdal āṇḍdal dēr,īṛdal āṇḍdal dēr,,a god in Kalāc village,,,,,īṛdal āṇḍdal dēr — a god in Kalāc village
ingested,wolf-kota:p14:e11,14,-īre,-īre,,plural marker,,,yes,,-īre — [-] plural marker
ingested,wolf-kota:p14:e12,14,īrunā,īrunā,,"boring time, long lazy hours of the day",,,yes,,"īrunā — [-] boring time, long lazy hours of the day"
ingested,wolf-kota:p14:e13,14,īrvāḷ,īrvāḷ,,a large knife I: 98,,,,,īrvāḷ — a large knife I: 98
ingested,wolf-kota:p14:e14,14,īt- (īt-),īt-,,see et- (eyt-),,,,,īt- (īt-) — see et- (eyt-)
ingested,wolf-kota:p14:e15,14,īy- (īc-)/ īc- (īc-),īy- (īc-),īc-,“to drive (cattle)”,469,direct,,,īy- (īc-)/ īc- (īc-) — (469) “to drive (cattle)”
ingested,wolf-kota:p14:e16,14,jakḷy,jakḷy,,a kind of tree (unidentified),,,yes,,jakḷy — [-] a kind of tree (unidentified)
ingested,wolf-kota:p14:e17,14,jaṭi,jaṭi,,"a kind of earring Kota men and women used to, but no longer, wear. Had many designs",,,yes,,"jaṭi — [-] a kind of earring Kota men and women used to, but no longer, wear. Had many designs"
ingested,wolf-kota:p14:e18,14,jaṭ,jaṭ,,obsolete term for band of Kota musicians (possibly only used in reference to performances for Badagas); group (Duryodana and Kurgoj Kanytn used this term to refer to groups of men antiphonally chanting ol ol au.),,,,,jaṭ — obsolete term for band of Kota musicians (possibly only used in reference to performances for Badagas); group (Duryodana and Kurgoj Kanytn used this term to refer to groups of men antiphonally chanting ol ol au.)
ingested,wolf-kota:p14:e19,14,javāyn,javāyn,,16-25 years of age,,,,,javāyn — 16-25 years of age
ingested,wolf-kota:p14:e20,14,jākaṛd,jākaṛd,,"showing care, vigilance, following the rules II: 17 [Tamil: jākkiratai, vigilance)",,,,,"jākaṛd — showing care, vigilance, following the rules II: 17 [Tamil: jākkiratai, vigilance)"
ingested,wolf-kota:p14:e21,14,jālōk gey- (gic-),jālōk gey-,gic-,give a snow job,,,yes,,jālōk gey- (gic-) — [-] give a snow job
ingested,wolf-kota:p14:e22,14,jālrāv,jālrāv,,hand cymbals,,,,,jālrāv — [<Skt. jha] hand cymbals
ingested,wolf-kota:p14:e23,14,jām,jām,,time,,,,,jām — time
ingested,wolf-kota:p14:e24,14,jāty,jāty,,caste,,,,,jāty — caste
ingested,wolf-kota:p14:e25,14,jāyt,jāyt,,a kind of evil spirit (I: 51),,,,,jāyt — a kind of evil spirit (I: 51)
ingested,wolf-kota:p14:e26,14,jiv,jiv,,"life (EVS), soul (I: 93)",,,,,"jiv — [Skt] life (EVS), soul (I: 93)"
ingested,wolf-kota:p14:e27,14,jiv,jiv,,fat,,,yes,,jiv — [-] fat
ingested,wolf-kota:p14:e28,14,jōlyv/(jōyḷv?),jōlyv,(jōyḷv?),"problem, matter, work, affair",,,yes,,"jōlyv/(jōyḷv?) — [-] problem, matter, work, affair"
ingested,wolf-kota:p14:e29,14,jōṛ,jōṛ,,jewelry (pair of earrings?) II: 16,,,,,jōṛ — jewelry (pair of earrings?) II: 16
ingested,wolf-kota:p14:e30,14,jōṛ,jōṛ,,"musical ensemble of double reed instruments and drums (jōṛ eyto, II: 15)",,,yes,,"jōṛ — [-] musical ensemble of double reed instruments and drums (jōṛ eyto, II: 15)"
ingested,wolf-kota:p14:e31,14,jōṛy,jōṛy,,pair,,,,,jōṛy — pair
ingested,wolf-kota:p14:e32,14,kabḷg,kabḷg,,woolen blanket [T kampaḷi or kampaḷam],,,yes,,kabḷg — [-] woolen blanket [T kampaḷi or kampaḷam]
ingested,wolf-kota:p14:e33,14,kabāl,kabāl,,tobacco,,,,,kabāl — tobacco
ingested,wolf-kota:p14:e34,14,kac,kac,,side in a dispute,1089,direct,,,kac — (1089) side in a dispute
ingested,wolf-kota:p14:e35,14,kaca muca,kaca muca,,mixed up I: 154,,,,,kaca muca — mixed up I: 154
ingested,wolf-kota:p14:e36,14,kac gey- (gic-),kac gey-,gic-,to outcaste,1089,related,,,kac gey- (gic-) — [1089] to outcaste
ingested,wolf-kota:p14:e37,14,kacv,kacv,,"loin cloth (DEDR App. 20), I: 105",,,,,"kacv — loin cloth (DEDR App. 20), I: 105"
ingested,wolf-kota:p14:e38,14,kaḍagaṭ-/kaḍagac-,kaḍagaṭ-,kaḍagac-,"placing elder people in the central position in dancing, with younger people standing to the right and left (III:24a)",,,,,"kaḍagaṭ-/kaḍagac- — placing elder people in the central position in dancing, with younger people standing to the right and left (III:24a)"
ingested,wolf-kota:p14:e39,14,kaḍāc,kaḍāc,,younger sister,,,,,kaḍāc — younger sister
ingested,wolf-kota:p14:e40,14,kaḍēl kaḍēl,kaḍēl kaḍēl,,shouted by boys while collecting leaves in connection with rain ritual I: 97,,,,,kaḍēl kaḍēl — shouted by boys while collecting leaves in connection with rain ritual I: 97
ingested,wolf-kota:p15:e1,15,kaḍpat- (kaḍpac-),kaḍpat-,kaḍpac-,to make out (seeing) or figure out [T kaṇṭappiṭi],,,,,kaḍpat- (kaḍpac-) — [kaṇ + pat-] to make out (seeing) or figure out [T kaṇṭappiṭi]
ingested,wolf-kota:p15:e2,15,kaggēr kōjām,kaggēr kōjām,,"early in the morning II: 21, when karyvayk bird sings",,,,,"kaggēr kōjām — early in the morning II: 21, when karyvayk bird sings"
ingested,wolf-kota:p15:e3,15,kaggēr vaḷāytēlle,kaggēr vaḷāytēlle,,"early in morning II: 33, exactly same as kaggēr kōjām",,,,,"kaggēr vaḷāytēlle — early in morning II: 33, exactly same as kaggēr kōjām"
ingested,wolf-kota:p15:e4,15,kagutm,kagutm,,"“darkness, dark place”",1278,direct,,,"kagutm — (1278a) “darkness, dark place”"
ingested,wolf-kota:p15:e5,15,kaj,kaj,,barley,,,,,kaj — barley
ingested,wolf-kota:p15:e6,15,kajkāṛd tēl,kajkāṛd tēl,,name of forest between Kolmēl and Ticgāṛ (lit. “Barley field’s forest”),,,,,kajkāṛd tēl — name of forest between Kolmēl and Ticgāṛ (lit. “Barley field’s forest”)
ingested,wolf-kota:p15:e7,15,kajvaḷ,kajvaḷ,,"brass bracelet worn only by mundkānōḷ, others wear silver",,,,,"kajvaḷ — brass bracelet worn only by mundkānōḷ, others wear silver"
ingested,wolf-kota:p15:e8,15,kak- (kayk-),kak-,kayk-,to come outside,1079,related,,,kak- (kayk-) — [1079] to come outside
ingested,wolf-kota:p15:e9,15,kak- (kayk-),kak-,kayk-,“to cough”,1079,direct,,,kak- (kayk-) — (1079) “to cough”
ingested,wolf-kota:p15:e10,15,kakuy,kakuy,,sanctified inner chamber of mundkānōn’s house,,,,,kakuy — sanctified inner chamber of mundkānōn’s house
ingested,wolf-kota:p15:e11,15,kal- (kat-),kal-,kat-,“to learn”,1297,direct,,,kal- (kat-) — (1297) “to learn”
ingested,wolf-kota:p15:e12,15,kalacam,kalacam,,(Tamil) small pot (I: 82),,,,,kalacam — (Tamil) small pot (I: 82)
ingested,wolf-kota:p15:e13,15,Kalāc,Kalāc,,village name (I: 61),,,,,Kalāc — village name (I: 61)
ingested,wolf-kota:p15:e14,15,kalc- (kalc-),kalc-,,“to teach”,1297,direct,,,kalc- (kalc-) — (1297) “to teach”
ingested,wolf-kota:p15:e15,15,kaḷc- (kaḷc-),kaḷc-,,to pass the time,,,yes,,kaḷc- (kaḷc-) — [-] to pass the time
ingested,wolf-kota:p15:e16,15,kalm,kalm,,“clay pot in the making”,1305,direct,,,kalm — (1305) “clay pot in the making”
ingested,wolf-kota:p15:e17,15,kaḷm,kaḷm,,threshing place; dancing place,1376,direct,,,kaḷm — (1376) threshing place; dancing place
ingested,wolf-kota:p15:e18,15,kaḷm,kaḷm,,"place near temple in Kurgōj, see kūṭ kaḷm (I: 90)",,,,,"kaḷm — place near temple in Kurgōj, see kūṭ kaḷm (I: 90)"
ingested,wolf-kota:p15:e19,15,kaḷm meṭ-,kaḷm meṭ-,,to dance,5057,related,,,kaḷm meṭ- — [5057] to dance
ingested,wolf-kota:p15:e20,15,kaḷm mecd cātrm,kaḷm mecd cātrm,,ritual of praying and then dancing three dances I: 154,,,,,kaḷm mecd cātrm— ritual of praying and then dancing three dances I: 154
ingested,wolf-kota:p15:e21,15,kalm ēcd,kalm ēcd,,(1305 + [916]) pot making (Gunasekaran),916,related,,,kalm ēcd — (1305 + [916]) pot making (Gunasekaran)
ingested,wolf-kota:p15:e22,15,kaḷmke eytd,kaḷmke eytd,,threshing by tying cattle to a post at the threshing place (III: 30b),,,,,kaḷmke eytd – threshing by tying cattle to a post at the threshing place (III: 30b)
ingested,wolf-kota:p15:e23,15,kaln,kaln,,jaggery,,,,,kaln — jaggery
ingested,wolf-kota:p15:e24,15,kaḷṇ,kaḷṇ,,thief,,,,,kaḷṇ — thief
ingested,wolf-kota:p15:e25,15,kaḷv- (kaḷd-),kaḷv-,kaḷd-,to steal,1372,direct,,,kaḷv- (kaḷd-) — (1372) to steal
ingested,wolf-kota:p15:e26,15,kambam,kambam,,"(Tamil) long sitck (mentioned in the badrakali ritual in Menar, I: 81)",,,,,"kambam — (Tamil) long sitck (mentioned in the badrakali ritual in Menar, I: 81)"
ingested,wolf-kota:p15:e27,15,kambāv- (kambād-); kamāv- (kamānd-),kambāv- (kambād-); kamāv-,kamānd-,"to begin to fall asleep, to sleep (Mēnāṛ mānt; Kolmēl mānt)",,,,,"kambāv- (kambād-); kamāv- (kamānd-) — to begin to fall asleep, to sleep (Mēnāṛ mānt; Kolmēl mānt)"
ingested,wolf-kota:p15:e28,15,kambū,kambū,,"eyebrow [kambūv = kaṇ + pūv III: 66a, ūve for short]",4358,direct,,,"kambū — (4358) eyebrow [kambūv = kaṇ + pūv III: 66a, ūve for short]"
ingested,wolf-kota:p15:e29,15,kan,kan,,"(DBIA 85) virgin, young unmarried woman, youthfulness, virginity, state of being earliest in time kan pemog—virgin, young childless woman ka(n) nāg buffalo before it has been bred kan gaṛc—cow at first calving kanvīr—first pregnancy kangēv—cow’s first calf kanmog—woman’s first child",,,,,"kan — (DBIA 85) virgin, young unmarried woman, youthfulness, virginity, state of being earliest in time kan pemog—virgin, young childless woman ka(n) nāg buffalo before it has been bred kan gaṛc—cow at first calving kanvīr—first pregnancy kangēv—cow’s first calf kanmog—woman’s first child"
ingested,wolf-kota:p15:e30,15,kaṇ,kaṇ,,section of koḷ shorter than a dāk (also words as in kaṇ et-) 1996:6b,,,,,kaṇ -- section of koḷ shorter than a dāk (also words as in kaṇ et-) 1996:6b
ingested,wolf-kota:p15:e31,15,kaṇ-/kāṇ- (kaḍ-),kaṇ-,kāṇ-|kaḍ-,to see; to consult god through diviner (tērkārn devr kaṇ-) kaṇ- (kaḍ-) — to consult god through tērkārn about some matter (ān devr kaṇkve),1443,direct,,,kaṇ-/kāṇ- (kaḍ-) — (1443) to see; to consult god through diviner (tērkārn devr kaṇ-) kaṇ- (kaḍ-) — to consult god through tērkārn about some matter (ān devr kaṇkve)
ingested,wolf-kota:p15:e32,15,kaṇāṇm,kaṇāṇm,,“sense of shame”,3639,direct,,,kaṇāṇm — (3639) “sense of shame”
ingested,wolf-kota:p15:e33,15,kanāṛ,kanāṛ,,“distant place where noone lives”,1356,direct,,,kanāṛ — (1356) “distant place where noone lives”
ingested,wolf-kota:p15:e34,15,kaṇāyṇḍ,kaṇāyṇḍ,,"“to be modest, abashed, feel self-effacing”; to feel shy",3639,direct,,,"kaṇāyṇḍ — (3639) “to be modest, abashed, feel self-effacing”; to feel shy"
ingested,wolf-kota:p16:e1,16,kanjar,kanjar,,the bell/mouth of the kol,,,,,kanjar — the bell/mouth of the kol
ingested,wolf-kota:p16:e2,16,kandāyk,kandāyk,,woman who has left her husband for another man,,,yes,,kandāyk — [-] woman who has left her husband for another man
ingested,wolf-kota:p16:e3,16,kandīg,kandīg,,“revenue money” (I: 45),1209,direct,,,kandīg — (1209) “revenue money” (I: 45)
ingested,wolf-kota:p16:e4,16,kaṇḍōn/ōḷ,kaṇḍōn,ōḷ,one not related to one,1172,direct,,,kaṇḍōn/ōḷ — (1172) one not related to one
ingested,wolf-kota:p16:e5,16,kaṇḍy,kaṇḍy,,“small elevation of land” (I: 76),1176,direct,,,kaṇḍy — (1176) “small elevation of land” (I: 76)
ingested,wolf-kota:p16:e6,16,kaṇ et-,kaṇ et-,,to set words to the ho ko (III: 72b),796,related,,,kaṇ et- — [796] to set words to the ho ko (III: 72b)
ingested,wolf-kota:p16:e7,16,kanītāv,kanītāv,,"(DBIA 85+DEDR555 + 334) cow that has given birth for first time, necessary for milking ceremony I: 98",555,related,,,"kanītāv — (DBIA 85+DEDR555 + 334) cow that has given birth for first time, necessary for milking ceremony I: 98"
ingested,wolf-kota:p16:e8,16,kaṇk,kaṇk,,thin sticks that light easily used to transfer fire; also used to make thatched temple in old days (I: 16) DEDR 1165,1165,related,,,kaṇk — thin sticks that light easily used to transfer fire; also used to make thatched temple in old days (I: 16) DEDR 1165
ingested,wolf-kota:p16:e9,16,kaṇkaty,kaṇkaty,,sickle,,,,,kaṇkaty — sickle
ingested,wolf-kota:p16:e10,16,kaṇycd,kaṇycd,,showing (jewelry) to fire to purify it,1443,related,,,kaṇycd — [1443] showing (jewelry) to fire to purify it
ingested,wolf-kota:p16:e11,16,kanp,kanp,,"strong, sturdy (tree)",,,yes,,"kanp — [-] strong, sturdy (tree)"
ingested,wolf-kota:p16:e12,16,kanv- (kand-),kanv-,kand-,to bellow (not just cow for calf as in DEDR),1409,direct,,,kanv- (kand-) — (1409) to bellow (not just cow for calf as in DEDR)
ingested,wolf-kota:p16:e13,16,kapṭ,kapṭ,,"butterfly, moth",1216,direct,,,"kapṭ — (1216) butterfly, moth"
ingested,wolf-kota:p16:e14,16,kar,kar,,black,1278,direct,,,kar — (1278a) black
ingested,wolf-kota:p16:e15,16,kaṛ,kaṛ,,"last, final",1109,direct,,,"kaṛ — (1109) last, final"
ingested,wolf-kota:p16:e16,16,kar,kar,,"freely visiting one anothers’ houses (II: 56, kartīyūr, in pabm)",,,,,"kar — freely visiting one anothers’ houses (II: 56, kartīyūr, in pabm)"
ingested,wolf-kota:p16:e17,16,kaṛ ayk,kaṛ ayk,,small grains of millet which fall down to the edge of the winnowing basket nearest the body,,,yes,,kaṛ ayk — [-] small grains of millet which fall down to the edge of the winnowing basket nearest the body
ingested,wolf-kota:p16:e18,16,karāḷ,karāḷ,,younger brother,,,,,karāḷ — younger brother
ingested,wolf-kota:p16:e19,16,karg- (kayrg-),karg-,kayrg-,"“to dissolve, melt (intr.); be affected in the heart (by fear)”; (or by worries, etc.)",1292,direct,,,"karg- (kayrg-) — (1292) “to dissolve, melt (intr.); be affected in the heart (by fear)”; (or by worries, etc.)"
ingested,wolf-kota:p16:e20,16,kargaṇ nīr,kargaṇ nīr,,Pure water associated with funeral rituals IV: 44,,,,,kargaṇ nīr — Pure water associated with funeral rituals IV: 44
ingested,wolf-kota:p16:e21,16,kaṛgaṇ,kaṛgaṇ,,sidelong glance,,,yes,,kaṛgaṇ — [-] sidelong glance
ingested,wolf-kota:p16:e22,16,kaṛgavāl,kaṛgavāl,,side of kavāl opposite house,,,,,kaṛgavāl — side of kavāl opposite house
ingested,wolf-kota:p16:e23,16,kargoc,kargoc,,(I: 2),,,,,kargoc — [EVS sp. creeper plant] (I: 2)
ingested,wolf-kota:p16:e24,16,kark,kark,,a flammable dried plant used as dērverg I: 16 (is this diff. from kaṇk?),,,,,kark — a flammable dried plant used as dērverg I: 16 (is this diff. from kaṇk?)
ingested,wolf-kota:p16:e25,16,kaṛk,kaṛk,,earring,1138,direct,,,kaṛk — (1138) earring
ingested,wolf-kota:p16:e26,16,kark- (karky-),kark-,karky-,1292 to melt II: 39,,,,,kark- (karky-) — 1292 to melt II: 39
ingested,wolf-kota:p16:e27,16,karling,karling,,"like a snake moving, never in a straight line; in music, with elaboration. They say that a boy with curly hair, karl maṇḍ, is clever, butycāḷy. IV: 110a",,,,,"karling — like a snake moving, never in a straight line; in music, with elaboration. They say that a boy with curly hair, karl maṇḍ, is clever, butycāḷy. IV: 110a"
ingested,wolf-kota:p16:e28,16,karman,karman,,black earth/clay for making pots IV: 42,,,,,karman — black earth/clay for making pots IV: 42
ingested,wolf-kota:p16:e29,16,karmayṇ,karmayṇ,,blac beads IV: 109a,,,,,karmayṇ — blac beads IV: 109a
ingested,wolf-kota:p16:e30,16,karmāntaram,karmāntaram,,"(Tamil = karumāntaram) Final funeral obsequies, non Brahman, 16th day after death, “period of kēṛ after a death (I: 10)”",,,,,"karmāntaram — (Tamil = karumāntaram) Final funeral obsequies, non Brahman, 16th day after death, “period of kēṛ after a death (I: 10)”"
ingested,wolf-kota:p16:e31,16,karp,karp,,demon,1395,direct,,,karp — (1395) demon
ingested,wolf-kota:p16:e32,16,karpōy/karpay,karpōy,karpay,(4112/1385) pen and cowshed attached (or karpāy?),,,,,karpōy/karpay — (4112/1385) pen and cowshed attached (or karpāy?)
ingested,wolf-kota:p16:e33,16,kaṛt- (kayt-),kaṛt-,kayt-,"to wash (tr. hands, face, child); I: 157",1369,direct,,,"kaṛt- (kayt-) — (1369) to wash (tr. hands, face, child); I: 157"
ingested,wolf-kota:p16:e34,16,kartāl,kartāl,,"calfshed (songbook p 46), see 1385; (I:90)",,,,,"kartāl – calfshed (songbook p 46), see 1385; (I:90)"
ingested,wolf-kota:p16:e35,16,kaṛtl/kaṛtul,kaṛtl,kaṛtul,neck,1366,direct,,,kaṛtl/kaṛtul — (1366) neck
ingested,wolf-kota:p16:e36,16,kaṛv- (kaṛd-),kaṛv-,kaṛd-,"“to cross (river), come out of leave (house), (years) pass; (sun, moon) rises”",1109,direct,,,"kaṛv- (kaṛd-) — (1109) “to cross (river), come out of leave (house), (years) pass; (sun, moon) rises”"
ingested,wolf-kota:p16:e37,16,karv- (kard-),karv-,kard-,"“to bellow, caw” (bovine, crow)",1291,direct,,,"karv- (kard-) — (1291) “to bellow, caw” (bovine, crow)"
ingested,wolf-kota:p17:e1,17,karv- (kard-),karv-,kard-,"“to milk” or intr. to swell with liquid (like cow udder, crying eyes, etc.) also, changing color of tongue if one eat veṭle pāk, certain fruits, etc.",1385,direct,,,"karv- (kard-) — (1385) “to milk” or intr. to swell with liquid (like cow udder, crying eyes, etc.) also, changing color of tongue if one eat veṭle pāk, certain fruits, etc."
