Gloss,Site,Form,Tulu,Malayalam,Kodava,Etymon,Note
Spider,MTV,pəruviɭi,baɳːan pale,tʃilən̪d̪i,dzoɖe,,No secure DEDR match for either site form.
Spider,MTE,pəɾuviɭi,baɳːan pale,tʃilən̪d̪i,dzoɖe,,No secure DEDR match for either site form.
Name,MTP,put̪rᵘ,pud̪erᵘ,peɾə,ped̪a,d4410,
Name,MTV,peɾə,pud̪erᵘ,peɾə,ped̪a,d4410,
Name,MTE,pera,pud̪erᵘ,peɾə,ped̪a,d4410,
Man,MTP,aːi,aːɳ,manuʂjan,aːɳaːɭɨ,,"Pannithadam/Ennappara āyi may reflect a demonstrative/person term, but is ambiguous."
Man,MTV,aɳɳoʋ,aːɳ,manuʂjan,aːɳaːɭɨ,d399,"Pannithadam/Ennappara āyi may reflect a demonstrative/person term, but is ambiguous."
Man,MTE,aɨ,aːɳ,manuʂjan,aːɳaːɭɨ,,"Pannithadam/Ennappara āyi may reflect a demonstrative/person term, but is ambiguous."
Woman,MTP,at̪,poɳːᵘ,st̪riː,poɳɳaːɭɨ,,Pannithadam at is too short/ambiguous to assign safely.
Woman,MTV,peɳɳoʋ,poɳːᵘ,st̪riː,poɳɳaːɭɨ,d4395,Pannithadam at is too short/ambiguous to assign safely.
Woman,MTE,peɲːe,poɳːᵘ,st̪riː,poɳɳaːɭɨ,d4395,Pannithadam at is too short/ambiguous to assign safely.
Child,MTP,kuɲːi,baːle,kuɲːᵊ,kuɲi,d1646,
Child,MTV,tʃerumei,baːle,kuɲːᵊ,kuɲi,d1594,
Child,MTE,kuɲɲ,baːle,kuɲːᵊ,kuɲi,d1646,
Father,MTP,ajjeⁱ,amːe,atɕan,appo,d196,
Father,MTV,ajːan,amːe,atɕan,appo,d196,
Father,MTE,ajːen,amːe,atɕan,appo,d196,
Mother,MTP,apːeⁱ,apːa,amːa,aʋʋo,,[removed d156: *appa- is 'father'; father→mother reversal unverified]
Mother,MTV,apːa,apːa,amːa,aʋʋo,,[removed d156: *appa- is 'father'; father→mother reversal unverified]
Mother,MTE,ɑpːe,apːa,amːa,aʋʋo,,[removed d156: *appa- is 'father'; father→mother reversal unverified]
Older brother,MTP,aɳɳei,aɳːe,dʒeʂʈan,aɳɳə,d131,
Older brother,MTV,aɳɳe,aɳːe,dʒeʂʈan,aɳɳə,d131,
Older brother,MTE,aɳɳa,aɳːe,dʒeʂʈan,aɳɳə,d131,
Younger brother,MTP,anij,megːe,anijan,t̪ammaɳə,,aniyan is not securely matched; Vannarkadav megge is clear.
Younger brother,MTV,məgjeⁱ,megːe,anijan,t̪ammaɳə,d5054,aniyan is not securely matched; Vannarkadav megge is clear.
Younger brother,MTE,anijan,megːe,anijan,t̪ammaɳə,,aniyan is not securely matched; Vannarkadav megge is clear.
Older sister,MTP,akːʌm,akːa,tʃetʃːi,akkə,d23,
Older sister,MTV,ɑkːa,akːa,tʃetʃːi,akkə,d23,
Older sister,MTE,ɑkːɐ,akːa,tʃetʃːi,akkə,d23,
Younger sister,MTP,anijʌt̪i,megit̪ːi,anudʒat̪ːi,t̪aŋgə,,aniyatti is not securely matched; Vannarkadav megedi is clear.
Younger sister,MTV,meged̪i,megit̪ːi,anudʒat̪ːi,t̪aŋgə,d5054,aniyatti is not securely matched; Vannarkadav megedi is clear.
Younger sister,MTE,ɑnijɛt̪ːi,megit̪ːi,anudʒat̪ːi,t̪aŋgə,,aniyatti is not securely matched; Vannarkadav megedi is clear.
Son,MTP,magei,mage,makan,moː̃ʋo,d4616,
Son,MTV,magei,mage,makan,moː̃ʋo,d4616,
Son,MTE,mogaɨ,mage,makan,moː̃ʋo,d4616,
Daughter,MTP,magɑɭ,magʌɭ,makaɭ,moːʋa,d4616,
Daughter,MTV,magaɭᶤ,magʌɭ,makaɭ,moːʋa,d4616,
Daughter,MTE,makɐɭ,magʌɭ,makaɭ,moːʋa,d4616,
Husband,MTP,merei,kaɳdʌɳi,ɸart̪ːav,ʋɖija,,merei has no secure DEDR match.
Husband,MTV,merei,kaɳdʌɳi,ɸart̪ːav,ʋɖija,,merei has no secure DEDR match.
Husband,MTE,mərə,kaɳdʌɳi,ɸart̪ːav,ʋɖija,,merei has no secure DEDR match.
Wife,MTP,mert̪i,bʰudʌt̪ːi,ɸaɾja,poɳɳɨ,,mereti has no secure DEDR match.
Wife,MTV,merət̪i,bʰudʌt̪ːi,ɸaɾja,poɳɳɨ,,mereti has no secure DEDR match.
Wife,MTE,merɜd̪ːɨ,bʰudʌt̪ːi,ɸaɾja,poɳɳɨ,,mereti has no secure DEDR match.
Boy,MTP,dʒikːei,aɳᵊ,aɳu,kɨɳɳɨ,,Site forms are semantically unstable (some also mean child/girl); left unlinked.
Boy,MTV,tʃerumei,aɳᵊ,aɳu,kɨɳɳɨ,,Site forms are semantically unstable (some also mean child/girl); left unlinked.
Boy,MTE,dʒɜkːɨ,aɳᵊ,aɳu,kɨɳɳɨ,,Site forms are semantically unstable (some also mean child/girl); left unlinked.
Girl,MTP,dʒikːʌɭ,peɳɳᵊ,peɳːə,muːɖi,,Site forms are semantically unstable; left unlinked.
Girl,MTV,tʃerumi,peɳɳᵊ,peɳːə,muːɖi,,Site forms are semantically unstable; left unlinked.
Girl,MTE,tʃɜrumɩ,peɳɳᵊ,peɳːə,muːɖi,,Site forms are semantically unstable; left unlinked.
Day,MTP,d̪inʌm,d̪inə,divasam,piːlɨ,~6328,dinam/divasam are Indo-Aryan loans.
Day,MTV,devasʌm,d̪inə,divasam,piːlɨ,,dinam/divasam are Indo-Aryan loans.
Day,MTE,dɨnɜm,d̪inə,divasam,piːlɨ,~6328,dinam/divasam are Indo-Aryan loans.
Night,MTP,an̪ɖ̻igᶤ,kat̪ːʌlə,ɾat̪ri,bajitɨ,,aṇḍi is not securely matched to a DEDR night term.
Night,MTV,an̪d̪i,kat̪ːʌlə,ɾat̪ri,bajitɨ,,aṇḍi is not securely matched to a DEDR night term.
Night,MTE,an̪ɖ̻ɨ,kat̪ːʌlə,ɾat̪ri,bajitɨ,,aṇḍi is not securely matched to a DEDR night term.
Morning,MTP,pelʌtʃːe,pagelᶤ,pakal,polaːka,d4305,Vannarkadav pileru has no secure match.
Morning,MTV,pilerᵘ,pagelᶤ,pakal,polaːka,,Vannarkadav pileru has no secure match.
Morning,MTE,pɛlatʃːe,pagelᶤ,pakal,polaːka,d4305,Vannarkadav pileru has no secure match.
Noon,MTP,mad̪jenu,mad̪ːenᵊ,utʃːa,madzːaɳu,,madhyāhna/uccā forms are Indo-Aryan loans.
Noon,MTV,utʃa,mad̪ːenᵊ,utʃːa,madzːaɳu,,madhyāhna/uccā forms are Indo-Aryan loans.
Noon,MTE,mæd̪jan,mad̪ːenᵊ,utʃːa,madzːaɳu,,madhyāhna/uccā forms are Indo-Aryan loans.
Evening,MTP,pɑjjegu,bʰajːᵊ,vaikunːeɾam,bajiʈaːppaka,,Mixed loan/innovative forms; no secure shared Dravidian set.
Evening,MTV,san̪d̪ja,bʰajːᵊ,vaikunːeɾam,bajiʈaːppaka,,Mixed loan/innovative forms; no secure shared Dravidian set.
Evening,MTE,vaikiʈː,bʰajːᵊ,vaikunːeɾam,bajiʈaːppaka,,Mixed loan/innovative forms; no secure shared Dravidian set.
Yesterday,MTP,kode,koɖe,inːale,ninnaːn̪d̪ɨ,d929,
Yesterday,MTV,koɖe,koɖe,inːale,ninnaːn̪d̪ɨ,d929,
Yesterday,MTE,ked:ɜ,koɖe,inːale,ninnaːn̪d̪ɨ,d929,
Today,MTP,ini,ini,inːə,in̪d̪ɨ,d410,
Today,MTV,ini,ini,inːə,in̪d̪ɨ,d410,
Today,MTE,inː,ini,inːə,in̪d̪ɨ,d410,
Tomorrow,MTP,elːe,elːe,naɭe,naːɭe,d845,
Tomorrow,MTV,jelːeᶤ,elːe,naɭe,naːɭe,d845,
Tomorrow,MTE,jelːe,elːe,naɭe,naːɭe,d845,
Week,MTP,t̪iŋgʌɭ,ora,aːɻtʃa,ʋaːɾa,,Pannithadam tiṅgaḷ normally denotes 'month'; semantic history is uncertain.
Week,MTV,aːɕtʃa,ora,aːɻtʃa,ʋaːɾa,d5157,Pannithadam tiṅgaḷ normally denotes 'month'; semantic history is uncertain.
Week,MTE,ɑːɻtʃːa,ora,aːɻtʃa,ʋaːɾa,d5157,Pannithadam tiṅgaḷ normally denotes 'month'; semantic history is uncertain.
Month,MTP,maːsʌm,siŋguːɭ,masam,t̪iŋga,~14749,māsam is an Indo-Aryan/Sanskrit loan.
Month,MTV,masam,siŋguːɭ,masam,t̪iŋga,~14749,māsam is an Indo-Aryan/Sanskrit loan.
Month,MTE,mæːsam,siŋguːɭ,masam,t̪iŋga,~14749,māsam is an Indo-Aryan/Sanskrit loan.
Year,MTP,aːɳɖɨ,varza,varʂam,kaːla,d5153,Vannarkadav kollam is not represented by a secure local DEDR set.
Year,MTV,kolːʌm,varza,varʂam,kaːla,,Vannarkadav kollam is not represented by a secure local DEDR set.
Year,MTE,aːɳdi,varza,varʂam,kaːla,d5153,Vannarkadav kollam is not represented by a secure local DEDR set.
Old (things),MTP,paɕʌjat̪u,parat̪ːᵘ,paɻajat̪,paɭəja,,Forms may mix paẓaya- and unrelated/innovative material; assignment uncertain.
Old (things),MTV,poʈːaɭi,parat̪ːᵘ,paɻajat̪,paɭəja,,Forms may mix paẓaya- and unrelated/innovative material; assignment uncertain.
Old (things),MTE,poʈɐɭɨ,parat̪ːᵘ,paɻajat̪,paɭəja,,Forms may mix paẓaya- and unrelated/innovative material; assignment uncertain.
New,MTP,potʃen̪d̪u,peʃt̪ː,put̪ijat̪,pud̪ija,d4275,
New,MTV,potʃet̪u,peʃt̪ː,put̪ijat̪,pud̪ija,d4275,
New,MTE,potʃːəndu,peʃt̪ː,put̪ijat̪,pud̪ija,d4275,
Good,MTP,eɖɖet̪u,aɖe,nalːat̪,nalla,d848,Ennappara aḍetu has no secure match.
Good,MTV,nalːat̪ᵊ,aɖe,nalːat̪,nalla,d3610,Ennappara aḍetu has no secure match.
Good,MTE,aɖɜtu,aɖe,nalːat̪,nalla,,Ennappara aḍetu has no secure match.
Bad,MTP,eɖɖed̪et̪u,boɖtʃet̪nu,moʃam,kəʈʈa,,Forms differ sharply and may include negative compounds; no single secure analysis.
Bad,MTV,poʈʈaɭi,boɖtʃet̪nu,moʃam,kəʈʈa,,Forms differ sharply and may include negative compounds; no single secure analysis.
Bad,MTE,adedet̪ːu,boɖtʃet̪nu,moʃam,kəʈʈa,,Forms differ sharply and may include negative compounds; no single secure analysis.
Wet,MTP,tʃaɳɖɨ,tʃaɳɖi,n̪anaɲːa,puɳdə,d3045,
Wet,MTV,tʃan̪d̪i,tʃaɳɖi,n̪anaɲːa,puɳdə,d3045,
Wet,MTE,tʃæɳdi,tʃaɳɖi,n̪anaɲːa,puɳdə,d3045,
Dry,MTP,uɭuŋgɑlɨ,ʃuŋghᵉ,uɳaŋija,oɳakɨ,d601,
Dry,MTV,uɭuŋgal,ʃuŋghᵉ,uɳaŋija,oɳakɨ,d601,
Dry,MTE,uɭœŋgali,ʃuŋghᵉ,uɳaŋija,oɳakɨ,d601,
Long,MTP,mɑɭɭɑgᶤ,uɖat̪,niːŋɖat̪,ud̪d̪a,,"Forms appear derived from size adjectives, but the exact etymology is uncertain."
Long,MTV,peɾijʌt̪,uɖat̪,niːŋɖat̪,ud̪d̪a,,"Forms appear derived from size adjectives, but the exact etymology is uncertain."
Long,MTE,mɐɭːag,uɖat̪,niːŋɖat̪,ud̪d̪a,,"Forms appear derived from size adjectives, but the exact etymology is uncertain."
Short,MTP,kumuŋʌt̪,elːᶤ,kuraɲːa,kuɭɭa,,Likely contains a 'small' root plus morphology; exact analysis is uncertain.
Short,MTV,kuɲːugat̪ɨ,elːᶤ,kuraɲːa,kuɭɭa,,Likely contains a 'small' root plus morphology; exact analysis is uncertain.
Short,MTE,kamungat̪,elːᶤ,kuraɲːa,kuɭɭa,,Likely contains a 'small' root plus morphology; exact analysis is uncertain.
Hot things,MTP,pomb,betʃa,tʃuːduɭːa,bisi,,No secure match for pomp/poḷḷuget.
Hot things,MTV,poɭɭuget̪,betʃa,tʃuːduɭːa,bisi,,No secure match for pomp/poḷḷuget.
Hot things,MTE,pɔmᵬ,betʃa,tʃuːduɭːa,bisi,,No secure match for pomp/poḷḷuget.
Cold things,MTP,tʃeɭi,tʃiːt̪ːa,t̪aɳut̪ːa,t̪aniɲʈʃa,d2408,
Cold things,MTV,t̪aŋikːin,tʃiːt̪ːa,t̪aɳut̪ːa,t̪aniɲʈʃa,d3045,
Cold things,MTE,t̪:aŋikɨn,tʃiːt̪ːa,t̪aɳut̪ːa,t̪aniɲʈʃa,d3045,
Right,MTP,bɑlet̪,baɭt̪ːe,valat̪ːə,balat̪ɨ,d5276,
Right,MTV,balʌt̪,baɭt̪ːe,valat̪ːə,balat̪ɨ,d5276,
Right,MTE,bɐlat,baɭt̪ːe,valat̪ːə,balat̪ɨ,d5276,
Left,MTP,edʌt̪,edat̪ː,iɖat̪ə,əɖat̪ɨ,d449,
Left,MTV,edat̪ɨ,edat̪ː,iɖat̪ə,əɖat̪ɨ,d449,
Left,MTE,eɖat̪ːᵘ,edat̪ː,iɖat̪ə,əɖat̪ɨ,d449,
Near,MTP,tʃikːʌl,giʈːa,aɖut̪ː,pakka,,Pannithadam/Ennappara cikkal is unresolved.
Near,MTV,adut̪,giʈːa,aɖut̪ː,pakka,d79,Pannithadam/Ennappara cikkal is unresolved.
Near,MTE,tʃːikːalɨ,giʈːa,aɖut̪ː,pakka,,Pannithadam/Ennappara cikkal is unresolved.
Far,MTP,t̪uːɾe,d̪uːɾʌ,akale,d̪uːɾa,~14615,dūre is likely Indo-Aryan/Sanskrit.
Far,MTV,d̪uɾe,d̪uːɾʌ,akale,d̪uːɾa,~14615,dūre is likely Indo-Aryan/Sanskrit.
Far,MTE,d̪ureɨ,d̪uːɾʌ,akale,d̪uːɾa,~14615,dūre is likely Indo-Aryan/Sanskrit.
Big,MTP,mallɑt̪u,maɭːoʋ,valija,balja,d4729,
Big,MTV,perijə,maɭːoʋ,valija,balja,d4411,
Big,MTE,malːa,maɭːoʋ,valija,balja,d4729,
Small,MTP,kuɲuŋʌt̪,elːu,tʃrija,ʈʃeɾija,d1646,
Small,MTV,kuɲːiget̪ᵊ,elːu,tʃrija,ʈʃeɾija,d1646,
Small,MTE,kuɲːat̪,elːu,tʃrija,ʈʃeɾija,d1646,
Heavy,MTP,kanʌm,uːt̪a,ɸaɾamuɭːa,baːɾa,d1404,
Heavy,MTV,kanapːugit̪,uːt̪a,ɸaɾamuɭːa,baːɾa,d1404,
Heavy,MTE,kænapet̪u,uːt̪a,ɸaɾamuɭːa,baːɾa,d1404,
Light,MTP,kɑnɑmid̪i,kadime,ɸaɾamkuraɲːa,t̪uːʋa,d1404,
Light,MTV,kanaiːri,kadime,ɸaɾamkuraɲːa,t̪uːʋa,d1404,
Light,MTE,kanəipɨt̪ɨ,kadime,ɸaɾamkuraɲːa,t̪uːʋa,d1404,
Above,MTP,mit̪ːɨ,mit̪ːᶤ,mukaɭil,koɖi,d4841,
Above,MTV,melɨ,mit̪ːᶤ,mukaɭil,koɖi,d5086,
Above,MTE,mɨt̪ei,mit̪ːᶤ,mukaɭil,koɖi,d4841,
Below,MTP,tʃidət̪,tʃirət̪ː,t̪aɻe,aɖi,,cīde is unresolved; Vannarkadav kī has a clear DEDR match.
Below,MTV,kiː,tʃirət̪ː,t̪aɻe,aɖi,d1619,cīde is unresolved; Vannarkadav kī has a clear DEDR match.
Below,MTE,tʃːide,tʃirət̪ː,t̪aɻe,aɖi,,cīde is unresolved; Vannarkadav kī has a clear DEDR match.
White,MTP,peɭɭeⁱ,beɭd̪ᶤ,veɭut̪ːa,boɭɨt̪t̪a,d5496,
White,MTV,beɭɭe,beɭd̪ᶤ,veɭut̪ːa,boɭɨt̪t̪a,d5496,
White,MTE,pɜɭɭə,beɭd̪ᶤ,veɭut̪ːa,boɭɨt̪t̪a,d5496,
Black,MTP,kaːɾi,kapːu,karut̪ːa,kaɾpɨ,d1278,
Black,MTV,kaːɾi,kapːu,karut̪ːa,kaɾpɨ,d1278,
Black,MTE,kaːrɨ,kapːu,karut̪ːa,kaɾpɨ,d1278,
Red,MTP,tʃoɾe,kempːu,tʃuvanːa,ʈʃoːn̪d̪a,d2883,
Red,MTV,tʃoɾe,kempːu,tʃuvanːa,ʈʃoːn̪d̪a,d2883,
Red,MTE,tʃorəᶤ,kempːu,tʃuvanːa,ʈʃoːn̪d̪a,d2883,
One,MTP,oɲtʃi,oɲtʃi,onːe,on̪d̪ɨ,d990,
One,MTV,oɲtʃi,oɲtʃi,onːe,on̪d̪ɨ,d990,
One,MTE,oɲtʃːɨ,oɲtʃi,onːe,on̪d̪ɨ,d990,
Two,MTP,d̪ad,raɖːⁱ,ɾaɳɖ,d̪anɖɨ,d474,
Two,MTV,d̪adᵘ,raɖːⁱ,ɾaɳɖ,d̪anɖɨ,d474,
Two,MTE,d̪ɐɖ,raɖːⁱ,ɾaɳɖ,d̪anɖɨ,d474,
Three,MTP,mudʒi,mudʒi,muːnːə,muːn̪d̪ɨ,d5052,
Three,MTV,muːdʒi,mudʒi,muːnːə,muːn̪d̪ɨ,d5052,
Three,MTE,muːdʒɨ,mudʒi,muːnːə,muːn̪d̪ɨ,d5052,
Four,MTP,nal,naɭ,nalə,naːlɨ,d3655,
Four,MTV,naːl,naɭ,nalə,naːlɨ,d3655,
Four,MTE,nɑl,naɭ,nalə,naːlɨ,d3655,
Five,MTP,aɲtʃ,ajin,andʒ,aɲʈʃi,d2826,
Five,MTV,aɲtʃ,ajin,andʒ,aɲʈʃi,d2826,
Five,MTE,æɲtʃː,ajin,andʒ,aɲʈʃi,d2826,
Six,MTP,aːr,adʒi,aːrə,aːɾɨ,d2485,
Six,MTV,aːr,adʒi,aːrə,aːɾɨ,d2485,
Six,MTE,aːrᵘ,adʒi,aːrə,aːɾɨ,d2485,
Seven,MTP,eɕu,eːɭᵘ,eʑu,əːɭɨ,d910,
Seven,MTV,eɕɨ,eːɭᵘ,eʑu,əːɭɨ,d910,
Seven,MTE,eɕɨ,eːɭᵘ,eʑu,əːɭɨ,d910,
Eight,MTP,eʈʈ,enma,eʈu,əʈʈɨ,d784,
Eight,MTV,eʈʈ,enma,eʈu,əʈʈɨ,d784,
Eight,MTE,ɛʈː,enma,eʈu,əʈʈɨ,d784,
Nine,MTP,ompɑt̪u,orambʌ,ombat̪u,ojimbad̪ɨ,d1025,
Nine,MTV,ompat̪u,orambʌ,ombat̪u,ojimbad̪ɨ,d1025,
Nine,MTE,ompɛt̪,orambʌ,ombat̪u,ojimbad̪ɨ,d1025,
Ten,MTP,pɑt̪ːɨ,pat̪ːᵘ,pat̪ːu,Nill,d3918,
Ten,MTV,pat̪ːɨ,pat̪ːᵘ,pat̪ːu,Nill,d3918,
Ten,MTE,pɑt̪ː,pat̪ːᵘ,pat̪ːu,Nill,d3918,
Eleven,MTP,pat̪inonnu,pat̪oɲdʒu,pat̪inonːu,pannon̪d̪ɨ,d3918,
Eleven,MTV,pat̪inonnu,pat̪oɲdʒu,pat̪inonːu,pannon̪d̪ɨ,d3918,
Eleven,MTE,pat̪inonːᵘ,pat̪oɲdʒu,pat̪inonːu,pannon̪d̪ɨ,d3918,
Twelve,MTP,pɑnd̪ɾaɳd,pat̪iɾad,pan̪t̪raŋɖu,pannaɾeɳɖɨ,d474,
Twelve,MTV,pand̪ɾaɳd,pat̪iɾad,pan̪t̪raŋɖu,pannaɾeɳɖɨ,d474,
Twelve,MTE,pɑnd̪ɾaɳd,pat̪iɾad,pan̪t̪raŋɖu,pannaɾeɳɖɨ,d474,
Twenty,MTP,irupat̪u,iruʋa,iɾupat̪,iɾɨʋad̪ɨ,d474,
Twenty,MTV,irupat̪u,iruʋa,iɾupat̪,iɾɨʋad̪ɨ,d474,
Twenty,MTE,ɨrupɑt̪,iruʋa,iɾupat̪,iɾɨʋad̪ɨ,d474,
One hundred,MTP,nuːrᶤ,nud̪ᶤ,nuːrə,nuːɾɨ,d3729,
One hundred,MTV,nuːrᶤ,nud̪ᶤ,nuːrə,nuːɾɨ,d3729,
One hundred,MTE,nuːr,nud̪ᶤ,nuːrə,nuːɾɨ,d3729,
Who,MTP,eru,erᵊ,aɾə,d̪aːɾɨ,d5151,
Who,MTV,erə,erᵊ,aɾə,d̪aːɾɨ,d5151,
Who,MTE,ɛreu,erᵊ,aɾə,d̪aːɾɨ,d5151,
What,MTP,tʃanɑ,d̪ajit̪ːe,en̪d̪ɨ,end̪ɨ,d5151,
What,MTV,tʃan̪d̪ᶤ,d̪ajit̪ːe,en̪d̪ɨ,end̪ɨ,d5151,
What,MTE,tʃena,d̪ajit̪ːe,en̪d̪ɨ,end̪ɨ,d5151,
Where,MTP,eɭɭu,oɭpːa,eviɖe,elli,d5151,
Where,MTV,eɭɭə,oɭpːa,eviɖe,elli,d5151,
Where,MTE,eɭːu,oɭpːa,eviɖe,elli,d5151,
When,MTP,epːo,epːa,epːoɭ,ekka,d5151,
When,MTV,eppo,epːa,epːoɭ,ekka,d5151,
When,MTE,jepːo,epːa,epːoɭ,ekka,d5151,
How many,MTP,et̪ɾɑ eɳɳʌm,et̪ːuɭːa,epːoɭ,eʈʃʈʃakɨ,d5151,
How many,MTV,et̪ra,et̪ːuɭːa,epːoɭ,eʈʃʈʃakɨ,d5151,
How many,MTE,et̪ɾɑ eɳː,et̪ːuɭːa,epːoɭ,eʈʃʈʃakɨ,d5151,
What kind,MTP,in̪d̪ tʃɑn,d̪ajit̪ːe koruva,en̪t̪ut̪aɾam,en̪d̪ə,d5151,
What kind,MTV,tʃan̪d̪ɨ,d̪ajit̪ːe koruva,en̪t̪ut̪aɾam,en̪d̪ə,d5151,
What kind,MTE,tʃɑnin̪d̪,d̪ajit̪ːe koruva,en̪t̪ut̪aɾam,en̪d̪ə,d5151,
This,MTP,in̪d̪,in̪d̪ᶤ,it̪,id̪ɨ,d410,
This,MTV,in̪d̪,in̪d̪ᶤ,it̪,id̪ɨ,d410,
This,MTE,ɛn̪d,in̪d̪ᶤ,it̪,id̪ɨ,d410,
That,MTP,at̪,aʋᵘ,at̪ə,ad̪ɨ,d1,
That,MTV,at̪,aʋᵘ,at̪ə,ad̪ɨ,d1,
That,MTE,ət̪,aʋᵘ,at̪ə,ad̪ɨ,d1,
These,MTP,in̪d̪at̪ɨ,in̪d̪umaːtːa,it̪,iʋə,d410,
These,MTV,on̪d̪enə,in̪d̪umaːtːa,it̪,iʋə,d410,
These,MTE,in̪deʈ,in̪d̪umaːtːa,it̪,iʋə,d410,
Those,MTP,ɑd̪ene,aʋmaːt̪a,at̪,aʋə,d1,
Those,MTV,at̪enə,aʋmaːt̪a,at̪,aʋə,d1,
Those,MTE,ɑt̪ɐnaᶤ,aʋmaːt̪a,at̪,aʋə,d1,
Same (like),MTP,oɲtʃijenneᶤ,oɲdʒelʌkːe,oɾepole,annane,d990,
Same (like),MTV,oɾepolt̪e,oɲdʒelʌkːe,oɾepole,annane,d990,
Same (like),MTE,oɲdʒine,oɲdʒelʌkːe,oɾepole,annane,d990,
Different (other),MTP,pete petːe,bjat̪ːjasʌm,vjet̪jest̪am,ennanoː,d5548,
Different (other),MTV,matːʌm,bjat̪ːjasʌm,vjet̪jest̪am,ennanoː,d5548,
Different (other),MTE,pəta,bjat̪ːjasʌm,vjet̪jest̪am,ennanoː,d5548,
Whole (unbroken),MTP,pɑtːa,otige,muɻuvan,oʈʈɨ,,No secure match for pāta/peṭa.
Whole (unbroken),MTV,pɑtːe,otige,muɻuvan,oʈʈɨ,,No secure match for pāta/peṭa.
Whole (unbroken),MTE,pɛʈɑ,otige,muɻuvan,oʈʈɨ,,No secure match for pāta/peṭa.
Broken (pot),MTP,poɭiɳɖ,pundaɳɖ,poʈːi,odiɲdzad̪ɨ,d4560,
Broken (pot),MTV,poʈʈi,pundaɳɖ,poʈːi,odiɲdzad̪ɨ,d4490,
Broken (pot),MTE,poʈːɨ,pundaɳɖ,poʈːi,odiɲdzad̪ɨ,d4560,
Few,MTP,iɲine,paniːt̪ː,kuratʃ,ʈʃenna,,No secure match.
Few,MTV,iɲːinə,paniːt̪ː,kuratʃ,ʈʃenna,,No secure match.
Few,MTE,iɲenːeɨ,paniːt̪ː,kuratʃ,ʈʃenna,,No secure match.
Many,MTP,d̪əmːa,sumaːr,kure,d̪umba,,The three site forms differ and none has a secure match.
Many,MTV,nalːonʌm,sumaːr,kure,d̪umba,,The three site forms differ and none has a secure match.
Many,MTE,neratɕ,sumaːr,kure,d̪umba,,The three site forms differ and none has a secure match.
All,MTP,pɑtːa,maɳt̪erale,muɻuvan,ella,,No secure analysis for pāta/Muẓon.
All,MTV,pɑtːe,maɳt̪erale,muɻuvan,ella,,No secure analysis for pāta/Muẓon.
All,MTE,Muɻɔn,maɳt̪erale,muɻuvan,ella,,No secure analysis for pāta/Muẓon.
Eat,MTP,t̪ikːɳe,t̪inpeɳa,kaɻikːə,t̪innɨ,d3263,
Eat,MTV,t̪inːᵊ,t̪inpeɳa,kaɻikːə,t̪innɨ,d3263,
Eat,MTE,t̪inːɔ,t̪inpeɳa,kaɻikːə,t̪innɨ,d3263,
It (the dog) bit,MTP,tʃitʃige,tʃitʃiɳu,kaɖitʃu,kaɖi,d1124,
It (the dog) bit,MTV,tʃitʃigenu,tʃitʃiɳu,kaɖitʃu,kaɖi,d1124,
It (the dog) bit,MTE,tʃɨtʃːɨgɜt̪ː,tʃitʃiɳu,kaɖitʃu,kaɖi,d1124,
He is hungry,MTP,vadɑgurugen,beɖapuɳɖᵘ,viʃakːinnu,bajippə,d5222,
He is hungry,MTV,bɑdɑverugənə,beɖapuɳɖᵘ,viʃakːinnu,bajippə,d5222,
He is hungry,MTE,beɖɑguruge,beɖapuɳɖᵘ,viʃakːinnu,bajippə,d5222,
He is thirsty,MTP,niːreruguɳu,aŋgʌt̪ːʌne,dahikːunːu,bajiarke,,A periphrasis built on nīr 'water'; not assigned to a single etymon.
He is thirsty,MTV,niːɾerigenᵊ,aŋgʌt̪ːʌne,dahikːunːu,bajiarke,,A periphrasis built on nīr 'water'; not assigned to a single etymon.
He is thirsty,MTE,nirɜrugɐt̪,aŋgʌt̪ːʌne,dahikːunːu,bajiarke,,A periphrasis built on nīr 'water'; not assigned to a single etymon.
He is drinking,MTP,unukkine,parpeɳu,kuɖikːunnu,kuɖi,d600,
He is drinking,MTV,uɳukkinə,parpeɳu,kuɖikːunnu,kuɖi,d600,
He is drinking,MTE,uɲukːeɲᵘ,parpeɳu,kuɖikːunnu,kuɖi,d600,
He is sleeping,MTP,tʃiɲtʃigeɳu,nid̪ra,urakːam,ʋaɾɨ,,No secure match for ciñci-.
He is sleeping,MTV,tʃiɲdʒiginu,nid̪ra,urakːam,ʋaɾɨ,,No secure match for ciñci-.
He is sleeping,MTE,tʃɨɲdʒɨgɜɳ,nid̪ra,urakːam,ʋaɾɨ,,No secure match for ciñci-.
He lay down,MTP,pədugeɳu,d̪erpujʌ,kiɖakːunːu,bud̪d̪a,d3852,
He lay down,MTV,padeginu,d̪erpujʌ,kiɖakːunːu,bud̪d̪a,d3852,
He lay down,MTE,padukɜɳᶤ,d̪erpujʌ,kiɖakːunːu,bud̪d̪a,d3852,
Sit down,MTP,kuɭɭepp,kulːᶤ,irikː,aɭɨt̪a,d1835,
Sit down,MTV,kullupːə,kulːᶤ,irikː,aɭɨt̪a,d1835,
Sit down,MTE,kuɭːe,kulːᶤ,irikː,aɭɨt̪a,d1835,
Give,MTP,t̪a,korpa,koɖukːɨ,koɖɨ,d3098,
Give,MTV,tːa,korpa,koɖukːɨ,koɖɨ,d3098,
