number,gloss,lrp1,lrp2,lrp3
0311,to crawl on belly (like a snake),ˈɾəɽ.wũ,ˈɾəɽ.wũ,ˈɾəɽ.wũ
0312,to go,ˈza.wũ,ˈza.wũ,ˈza.wũ
0313,to come,ˈa.wũ,ˈa.wũ,ˈa.wũ
0314,to return,wa.ˈpəs ˈa.wũ,ˈpa.su ˈa.wũ,wa.ˈpəs ˈa.wũ
0315,to run,ˈdoɽ.wũ,ˈdoɽ.wũ,ˈdoɽ.wũ
0316,to ascend,ˈma.tʰe ˈza.wũ,ˈma.tʰe ˈza.wũ,ˈma.tʰe ˈza.wũ
0317,to descend,ˈne.so ˈa.wũ,ˈne.so ˈa.wũ,ˈne.se ˈa.wũ
0318,to enter (house),ˈma.ɦi ˈza.wũ,ˈma.ɦe ˈza.wũ,ˈma.ɦi ˈza.wũ
0319,to go out / exit (house),ˈneɦɾ.wũ,ˈneɦɾ.wũ,ˈneɦɾ.wũ
0320,to push,ˈʈʰe.lo ˈal.wo,ˈʈʰe.lo ˈal.wo,ˈdɪk.wũ
0321,to pull,ˈtãɳ.wũ,tãɳ.wũ,ˈtãɳ.wũ
0322,to kick,ˈpa.ʈu ˈɦə̃ɳ.wũ,ˈpa.ʈu ˈɦə̃ɳ.wi,lət ˈɦə̃ɳ.wũ
0323,to throw,ʊ.ˈseɽ.wũ,ʊ.ˈʃəɽ.wũ,ʊ.ˈʧʰəl.wũ
0324,to fall (from a height),ˈpəɽ.wũ,ˈpəɽ.wũ,ˈpəɽ.wũ
0325,to swim,ˈtəɾ.wũ,ˈtəɾ.wũ,ˈtəɾ.wũ
0326,somersault,-,ɦõ.ˈde.li,ɦẽ.ˈdo.ɭi
0327,to sink,-,ˈɡuɖ.wũ,ᶑʊ.ɓũ
0328,to flow (river),ˈpã.ɳi ˈɦed.wũ,ˈɦed.wũ,ˈpã.ɳi ˈɦed.wũ
0329,to give,ˈal.wũ,ˈal.wũ,ˈal.wũ
0330,to tie (something),ˈɓãd.wũ,ˈɓad.wũ,ˈɓãd.wũ
0331,to wipe,ˈlos.wũ,ˈlos.wũ,ˈlos.wũ
0332,to rub/scrub,ˈɾəɡ.ɽo,ˈɡəiɽ.wũ,ɾə.ˈɡəɽ.wũ
0333,to wash (hands),ˈdo.wũ,ˈdo.wũ,ˈdo.wũ
0334,to wash (clothes),ˈdo.wũ,ˈdo.wũ,ˈdo.wũ
0335,to bathe,ˈzil.wũ,ˈzil.wũ,ˈzil.wũ
0336,to hit/beat (with force),ˈɦə̃ɳ.wo,ˈɦə̃ɳ.wũ,ˈɦə̃ɳ.wũ
0337,to split,ɓe ˈkəɾ.wũ,ɓe ˈkəɾ.wa,ɓe ˈkəɾ.wũ
0338,to slice/saw,ˈwaɖ.wũ,ˈwaɖ.wũ,ˈwaɖ.wũ
0339,to cut (hair),ka.ˈtəɾ.wũ,ka.ˈtəɾ.wũ,ka.ˈtəɾ.wũ
0340,to stab,ˈɡʊtʃ.wũ,ɡʊ.ˈtʃa.wũ,ɡʊ.ˈtʃa.wũ
0341,to plant,ˈwa.wũ,ˈwa.wũ,ˈwa.wũ
0342,to dig (with a tool),ˈkʰoɗ.wũ,ˈkʰoɗ.wũ,ˈkʰoɗ.wũ
0343,to bury (a corpse),ˈpuɾ.wũ,ˈpuɾ.wũ,ˈpuɾ.wũ
0344,to work,kam ˈkəɾ.wũ,kam ˈkəɾ.wũ,kam ˈkəɾ.wũ
0345,to play,ˈɾəm.wũ,ˈɾəm.wũ,ˈɾəm.wũ
0346,to dance,ˈɾəm.wũ,ˈɾəm.wũ,ˈɾəm.wũ
0347,to shoot (gun),ˈɡo.li ˈɦə̃ɳ.wi,ˈɡo.li ˈɦə̃ɳ.wi,ˈɡo.ɭi ˈɦə̃ɳ.wũ
0348,to hunt,ʃɪ.ˈkaɾ ˈkəɾ.wũ,ʃɪ.ˈkaɾ ˈkəɾ.wũ,ʃɪ.ˈkaɾ ˈkəɾ.wũ
0349,to kill,ˈmaɾ.wũ,ˈmaɾ.wũ,ˈmaɾ.wũ
0350,to fight (hand-to-hand),ˈwəɖ.wũ,ˈwaɖ.wũ,ˈwəɖ.wũ
0351,to buy,ˈleɦ.wũ,ˈleɦ.wũ,ˈleɦ.wũ
0352,to sell,ˈwes.wũ,ˈwes.wũ,ˈwes.wũ
0353,to exchange,ˈal.ju ˈmel.jũ,ˈal.jũ ˈmel.jũ,ˈa.ʈa ˈma.ʈa ˈkaɾ.wũ
0354,to pay,ˈpəi.ʃa ˈal.wa,ˈpəi.ʃa ˈa.lwa,ˈpəi.ʃa ˈal.wa
0355,to steal,ˈso.ɾi ˈkəɾ.wũ,ˈso.ɾi ˈkəɾ.wi,ˈso.ɾi ˈkəɾ.wi
0356,to hide oneself,ɦə.ˈtaɭ.wũ,ɦə.ˈtaɭ.wũ,ˈɦə.ti ˈza.wũ
0357,one (person),ek,ek,ek
0358,two (persons),ɓe,ɓe,ɓe
0359,three (persons),təĩɳ,təĩɳ,təĩɳ
0360,four (persons),tʃaɾ,tʃaɾ,tʃaɾ
0361,five (persons),pãs,pãs,pãs
0362,six (persons),so,so,so
0363,seven (persons),ɦat,ɦat,ɦat
0364,eight (persons),aʈʰ,aʈʰ,aʈʰ
0365,nine (persons),ˈnə.ɦu,ˈnə.ɦu,ˈnə.ɦu
0366,ten (persons),ɗaɦ,ɗaɦ,ɗaɦ
0367,twenty (persons),wi,wi,wi
0368,hundred (persons),ɦo,ɦo,ɦo
0369,thousand (persons),ɦə.ˈzaɾ,ɦə.ˈzaɾ,ɦə.ˈzaɾ
0370,to be many (people),wə.ˈda.ɾe,wə.ˈda.ɾe,wə.ˈda.ɾe
0371,all,ɓəd.ˈdai,ɓəd.ˈdai,ɓəd.ˈdai
0372,some (people),kãk,kak,kak
0373,to be few (people),ɓe təĩɳ,ɓe təĩɳ,ɓe təĩɳ
0374,half (quantity),ˈɦəɾ.dũ,ˈɦəɾ.dũ,ˈɦəɾ.dũ
0375,to be big,ˈmo.ʈũ,ˈmo.ʈũ,ˈmo.ʈũ
0376,to be small,ˈna.nũ,ˈna.nũ,ˈnã.ʧo
0377,to be long,ˈlã.ɓo,ˈlã.ɓu,ˈlã.ɓo
0378,to be short (length),ˈna.nũ,ˈto.kũ,ˈnã.ʧo
0379,to be tall,ˈõ.so,ˈõ.so,ˈlã.ɓo
0380,to be short (height),ˈna.no,ˈne.sũ,ˈnã.ʧo
0381,to be thick (thing),ˈza.ᶑũ,ˈza.ᶑũ,ˈza.ᶑũ
0382,to be thin (thing),ˈpat.ɭo,ˈpat.ɭũ,ˈpat.ɭũ
0383,to be fat (person),ˈza.ᶑo,ˈza.ᶑũ,ma.ˈta.ɾũ
0384,to be skinny (person),ɦu.ˈkəl,ˈpat.ɭũ,ɦu.ˈkəl
0385,to be wide/broad,ˈmok.ɭũ,ˈmok.ɭũ,ˈmok.ɭũ
0386,to be narrow,ˈɦo.ɽũ,ˈɦo.ɽũ,ˈɦo.ɽũ
0387,to be deep,ˈɦõ.ɖo,ˈõ.ɖũ,ˈɦõ.ɖũ
0388,to be shallow,ˈma.tʰe,ˈna.no,ˈõ.ɖu ˈnə.tʰi
0389,to be round,ɡol,ɡol,ɡol
0390,to be full (container),bʱə.ˈɾəl,bʱə.ˈɾəl,bʱə.ˈɾəl
0391,right side,ˈzəm.ɳũ,ˈzəm.ɳũ,ˈzəm.ɳũ
0392,left side,ˈᶑa.jo,ˈᶑa.wo,ˈᶑa.mu
0393,to be straight (road),ˈpad.ɾo,ˈpad.ɾo,ˈsi.dʱũ
0394,to be far (village many miles away),ˈʃe.ʈũ,ˈʃe.ʈũ,ˈʃe.ʈũ
0395,to be near (village very near),ˈɖʱuk.ɽũ,ˈɖʱuk.ɽũ,ˈɖʱuk.ɽũ
0396,this,a,a,a
0397,that,ˈol.jũ,ˈol.jũ,ˈol.wũ
0398,black,ˈka.ɭũ,ˈka.ɭũ,ˈka.ɭũ
0399,white,ˈdo.ɭũ,ˈdo.ɭũ,ˈdo.ɭũ
0400,red,ˈɾa.tũ,ˈɾa.tũ,ˈɾa.tũ
0401,green,ˈli.lũ,ˈli.lo,ˈli.lũ
0402,yellow,ɦəɾ.ˈdəɾ.wũ,ɦəɾ.ˈdəɾ.wo,ˈpi.ɭũ
0403,to be dirty (clothes),ˈme.lũ,ˈme.lo,ˈme.lũ
0404,to be new (things),ˈnə.wũ,ˈnə.wo,ˈnə.wũ
0405,to be old (things),ˈzo.nũ,pʊ.ˈɾã.ɳo,ˈzo.nũ
0406,to be dark (outside),ɦə̃.ˈda.ɾũ,ɦə.ˈda.ɾũ,ɦa.ˈda.ɾũ
0407,to shine (flashlight),əz.ˈwa.ɭũ,əz.ˈwa.ɭũ,əz.ˈwaɭ.jũ
0408,to be the same,ek ˈɦəɾ.kʰũ,ek ˈze.wũ,ek ˈze.wũ
0409,to be sweet,ˈmɪ.ʈʰũ,ˈɡəɭ.jo,ˈɡaɭ.jũ
0410,to be sour,ˈkʰa.ʈũ,ˈkʰa.ʈũ,ˈkʰa.ʈũ
0411,to be bitter,ˈkʰa.ɾũ,ˈkʰa.ɾũ,ˈkʰa.ɾũ
0412,to be spicy,ˈtʰi.kʰũ,ˈʃi.kʰũ,ˈtʰi.kʰũ
0413,to be rotten,ɡə.ˈɭəl,ɡə.ˈɭəl,ɡə.ˈɭəl
0414,to be swollen,ɦu.ˈzəl,ɦu.ˈzəl,ɦu.ˈzəl
0415,to be dry (rice),ɦu.ˈkəl,ɦu.ˈkəl,ɦu.ˈkəl
0416,to be wet (with water),pəl.ˈɽəl,pə.lə.ˈɽəl,pə.ˈɾəl.wũ
0417,to be sharp,ˈtʰɪ.kʰũ,ˈtʰɪ.kʰũ,ˈtʰɪ.kʰũ
0418,to be blunt,ˈɾə.di,ˈɾə.di,ˈɾə.di
0419,to be heavy,ˈbʱa.ɾũ,ˈbʱa.ɾũ,ˈbʱa.ɾi
0420,to be light,ˈɦəl.ki,ˈɦəl.kũ,ˈɦəl.kũ
0421,to be hard (rock),ˈak.ɾo,ˈak.ɾũ,ˈak.ɾũ
0422,to be soft (cotton),nə.ˈɾəm,nə.ˈɾəm,nə.ˈɾəm
0423,to be smooth (road),sapʰ,ek ˈɦəɾ.kʰi,ek ˈɦəɾ.kʰi
0424,to be rough (road),bʱa.ˈɡəl,ukʰ.ˈɽəl,ʊkʰ.ˈɽəl
0425,to be fast,ʊt ˈwa.ɭo,ut ˈwa.ɭo,ˈtɪ.kʰo
0426,to be slow,ˈɦəɭ.we,ˈɦəɭ.we,ˈɦəɭ.we
0427,to be strong,ɓəɭ ˈwa.ɭo,ˈᶑa.ɖũ,ˈᶑa.ɖi
0428,to be weak,ˈᶑub.ɭo,ˈpat.ɭũ,ˈpat.ɭi
0429,to be tired,tʰa.ˈkəl,tʰa.ˈkəl,tʰa.ˈkəl
0430,"to be ill, sick",ˈma.ɗo,ˈma.ɗo,bi.ˈmaɾ
0431,to be blind,ˈɦãd.ɭo,ˈɦãd.ɭo,ˈɦãd.ɭo
0432,to be deaf,ˈɓo.ɭo,ˈɓo.ɭo,ˈɓo.ɭũ
0433,bald,ˈɾo.ᶑo,ˈɾo.ᶑo,ˈɾo.ᶑo
0434,to be good,ˈɦa.ɾo,ˈɦəkʰ.ɾo,ˈɦakʰ.ɾo
0435,to be bad,ˈɓõ.ᶑo,ˈkɪ.no,ˈkɪ.no
0436,to be correct,ˈɦa.ɾo,ˈɦa.ɾo,ˈɦakʰ.ɾo
0437,to be wrong,ɡə.ˈlət,ɡə.ˈlət,ɡə.ˈlət
0438,when (past),ˈtʃa.ɾẽ,ˈtʃa.ɾẽ,ˈtʃa.ɾẽ
0439,when (future),ˈza.ɾẽ,tʃe.ˈʈã.ɳe,ʧe.ˈtã.ɳe
0440,where,tʃã,tʃã,tʃã
0441,who,kõɳ,kõɳ,kũɳ
0442,what,ʃũ,ʃũ,ʃũ
0443,how many (persons),ˈtʃeʈ.la,ˈtʃeʈ.la,ˈtʃeʈ.la
0444,I (1s),mũ,mũ,mũ
0445,you (2s),tũ,tũ,tũ
0446,he/she (3s),ˈol.jo,ˈol.jo,"ˈo.lo, ˈo.li"
0447,we (1p),ˈə.mi,ˈə.mi,ˈə.mi
0448,you (2p),ˈtə.mi,ˈtə.mi,ˈtə.mi
0449,they (3p),ˈol.ja,ˈol.ja,ˈo.la
0450,to take,ˈle.wũ,ˈle.wũ,ˈle.wũ
0451,to put/place,ˈmel.wũ,ˈmel.wũ,ˈmel.wũ
0452,to be lost or disappear,ˈkʰo.wũ,ˈkʰo.wũ,ˈkʰo.wi ˈza.wũ
0453,to bend,ˈwəɽ.wũ,ˈwaɽ.wũ,ˈwəɽ.wũ
0454,to lift,u.ˈpaɽ.wũ,u.ˈpaɽ.wũ,u.ˈpaɽ.wũ
0455,to do/make (something),ˈʈʰaɦ.wũ,ˈʈʰaɦ.wũ,ˈʈʰaɦ.wũ
0456,don’t do it,na ˈkəɾ.wo,na ˈkə.ɾi,na ˈkəɾ.wo
0457,to be difficult,ˈᶑol.jũ,ˈwaɦ.mũ,ˈwaɦ.mu
0458,to be easy,ˈɦol.jũ,ˈɦol.jũ,ˈɦo.lũ
0459,to be loose,kʊ.ˈla.so,ˈɖʱɪ.ɾũ,ˈɖʱɪ.ɾũ
0460,to be tight,ˈɦo.ɽũ,tã.ɽəl,ˈak.ɾũ
0461,"to set free, let go (animal)",ˈsu.ʈi dʒjũ,ˈme.li ˈə.lo,ˈso.ʈi dʒjũ
0462,to squeeze,ˈles.wũ,le.ˈso.wũ,ˈne.so.wũ
0463,body,ᶑil,ᶑil,ʃə.ˈɾiɾ
0464,eyelash,pã.ˈpəɽ,pã.ˈpəɽ,pa.ˈpəɽ
0465,lip,ɦoʈʰ,ɦoʈʰ,ɦoʈʰ
0466,molar tooth,ᶑaɖ,ˈᶑa.ɖũ,ˈᶑa.ʈʰũ
0467,jaw,ˈza.ɭũ,ˈza.ɭũ,ˈƒa.ɭũ
0468,throat,ˈɡə.ɭo,ɡo.ˈte.ɽo,ˈɡə.ɭo
0469,"voice box, larynx, Adam’s apple",nəɾ.ˈɡo.ʈa,nəɾ.ˈɡo.ʈo,nəɾ.ˈɡo.ʈo
0470,chest,ˈsa.ti,ˈsa.ti,ˈsa.ti
0471,breast,ˈdəi.la,ˈdə.jũ,ˈdə.jũ
0472,waist,ˈkeɽ.jũ,ˈkeɽ.jũ,keɽ
0473,umbilical cord,ˈᶑoɪ.ɽi,ˈna.ɽo,ˈna.ɽo
0474,womb,ˈɓə.tʃe ˈdã.ɳi,peʈ,ˈɓə.tʃe ˈdã.ɳi
0475,buttock,ˈɖe.ka,ˈɖe.ka,ˈɖe.ka
0476,wrist,ˈmʊɽ.jo,-,ˈmʊʈʰ.jũ
0477,fist,ˈmo.ʈʰi,ˈmoʈʰ.jo,ˈmo.ʈʰi
0478,thumb,ə.ˈɡu.ʈʰo,ə.ˈɡu.ʈʰo,ə̃.ˈɡu.ʈʰo
0479,eardrum,kan nu ˈpəɾ.do,kan nu ˈpəɾ.do,kan nu ˈpəɾ.do
0480,hip,ˈᶑe.ka nu ˈɦaɖ.kũ,ˈɖõ.ɡo,ˈɖũ.ɡo
0481,ankle,ˈpə.ɠa nu ˈmuɾ.jo,-,ˈkõ.ɳi
0482,sole (of foot),ˈtʰa.pa,ˈtʰa.pa,ˈtʰa.pa
0483,toe,ã.ˈɡəɭ.jũ,ã.ˈɡəɭ.jũ,ã.ˈɡəɭ.jũ
0484,earlobe,ɓuʈ,ɓuʈ,ɓuʈ
0485,skeleton,ˈpẽƒ.ɾũ,pẽƒ.ɾũ,ˈpɪ̃ƒ.ɾo
0486,skull,ˈkʰop.ɽi,ˈkʰop.ɽi,ˈkʰop.ɽi
0487,pupil,ˈᶑo.ɭo,ˈᶑo.ɭo,ˈᶑo.ɭo
0488,"spine, backbone",ˈkeɽ.ja nu ˈɦaɖ.kũ,ˈɓəi.ɽo,ˈɓəi.ɽo
0489,kidney,ˈɡʊɾ.do,ˈɡʊɾ.dũ,ˈɡʊɾ.dũ
0490,lung,ˈpʰep.ɽũ,ˈpʰep.ɾũ,ˈpʰep.ɽa
0491,bladder,ˈna.ɭo,pe.ˈʃa.ni,pe.ˈʃa.ni
0492,muscle,maɦ,maɦ,maɦ
0493,uvula,ˈkak.ɽo,ˈkak.ɽo,ˈkak.ɽo
0494,vein,ˈnəw.zũ,nəs,nəs
0495,breath,ɦa,ɦa,ɦa
0496,phlegm,kʰə̃ŋ.ˈɡa.ɾo,kʰə̃ŋ.ˈɡa.ɾo,kʰə̃ŋ.ɾẽ.ɡo
0497,"nasal mucus, snot",ˈʃẽ.ᶑa,ˈʃe.ᶑa,ˈʃẽ.ᶑo
0498,earwax,ˈʈʰe.ʈʰi,ˈʈʰe.ʈʰi,ˈʈʰe.ʈʰi
0499,tears (n),ˈa.ɦũ,ˈa.ɦũ,ˈa.ɦũ
0500,"bile, gall",ˈʊl.ʈi,ˈʊl.ʈi,ˈʊl.ʈi
0501,blink,pəʈ.pə.ˈʈa.we,pəʈ.pə.ˈʈa.wũ,pəʈ.pə.ˈʈa.wũ
0502,wink (eye),ãʃ ˈbʱa.ɡe,ãʃ ˈbʱaɡ.wi,ãʃ ˈbʱaɡ.wi
0503,blow nose,ˈʃe.ɖa ˈkaɖ.wũ,ˈʃẽ.ɖa ˈɡaɖ.wa,ˈʃe.ɖa ˈɡaɖ.wa
0504,pant,ɦa ˈsə.ɽi ˈza.wũ,ɦa ˈsə.ɽi ˈza.wo,ɦa ˈsə.ɽi ˈza.wũ
0505,belch (n),ˈɦoɡ.ɾu,ˈɦoɡ.ɾu,ˈɦoɡ.ɾu
0506,hiccough (n),ˈɦeɖ.tʃi,ˈɦeɖ.tʃi,ˈɦɪɖ.ki
0507,groan (with pain),ɾaɦɽ,ɾaɦɽ,ɾaɦɽ
0508,grunt (from effort),ɓəɭ,bəɭ,ɓəɭ
0509,"perspire, sweat (v)",ˈpəɾ.ʃjo ˈneɾ.wũ,ˈpəɾ.ʃjo ˈneɾ.wũ,ˈpəɾ.ʃjo ˈneɾ.wũ
0510,bleed,loi ˈneɾ.wũ,loi ˈneɾ.wũ,loi ˈneɾ.wũ
0511,(be) dizzy,bə.ˈmeɽ ˈa.we,bə.ˈmeɽ ˈa.wũ,bə.ˈmeɽ ˈa.wũ
0512,faint,be.ˈɦoʃ,be.ˈɦoʃ,be.ˈɦoʃ
0513,wake up (intr),ˈʊʈʰ.wũ,ˈuʈʰ.wũ,ˈʊʈʰ.wũ
0514,notice (v),ˈzo.wũ,ˈzo.wũ,ˈzo.wũ
0515,feel (passive),-,meɦ.ˈsus ˈkəɾ.wũ,meɦ.ˈsus
0516,taste (v),ˈsakʰ.wũ,ˈsakʰ.wũ,ˈsakʰ.wũ
0517,chew,ˈsaɦ.wũ,ˈsaɦ.wũ,sə.ˈɡəɽ.wũ
0518,choke,ᶑu.ˈsəi ˈza.wũ,ᶑu.ˈsəi ˈza.wũ,ᶑu.ˈsi ˈza.wũ
0519,lie down,ˈɦõŋ.wũ,ˈɦõŋ.wũ,ˈɦõŋ.wũ
0520,turn round (intr),ˈpʰə.ɾi ˈza.wũ,ˈpʰə.ɾi ˈza.wũ,ˈfə.ɾi ˈza.wũ
0521,step (v),ᶑəɡ ʊ.ˈpaɽ.wũ,ᶑəɡ ʊ.ˈpaɽ.wũ,ᶑəɡ ʊ.ˈpaɽ.wũ
0522,stumble,ˈtʰɪɽ.wũ,ˈtʰɪɽ.wũ,ˈtʰɪɽ.wũ
0523,limp,mə̃ɖ.ˈka.wũ,ˈʈõ.ʈo ˈɦeɖ.wũ,məʈ.ˈka.wũ
0524,run,ˈdoɽ.wũ,ˈdoɽ.wũ,ˈdoɽ.wũ
0525,jump (v),ʈʰek.ˈɽa.wũ,ʈʰek.ˈɽa.wũ,ʈʰek.ˈɽa.wũ
0526,stamp (with foot),ˈpa.ʈu,pəɠ ˈɦə̃ɳ.wu,pəɠ ɦə̃ɳ.wũ
0527,trample,ˈpil.wũ,kə.ˈsəɾ.wũ,ˈpil.wũ
0528,wave (hand as a greeting) (v),ɦatʰ ˈõ.so ˈkəɾ.wo,ɦatʰ ˈõ.so ˈkəɾ.wo,ɦatʰ ˈõ.so ˈkəɾ.wo
0529,"indicate, point (as with the finger)",ˈãɡ.ɭi ti ɪ.ˈʃa.ɾo ˈkəɾ.wo,ˈãŋ.ɭi ti ɪ.ˈʃa.ɾo ˈkəɾ.wo,ˈãɡ.ɭi ti ɪˈʃa.ɾo ˈkəɾ.wo
0530,clap (hands),ˈtaɭ.jũ ˈpa.ɽe,ˈta.ɭi ˈpaɽ.wũ,ˈta.ɭi ˈpaɽ.wũ
0531,slap (v),tʰə.ˈpəɽ ˈɦə̃ɳ.wi,tʰə.ˈpəɽ ˈɦə̃ɳ.wi,tʰə.ˈpəɽ ˈɦə̃ɳ.wi
0532,to touch feet to pay homage,ˈpə.dʒe ˈla.ɡe,ˈpə.dʒe ˈlaɡ.wũ,ˈpə.ɠe ˈlaɡ.wũ
0533,lean against (intr),ap ˈal.wũ,ap ˈal.wũ,ap ˈal.wũ
0534,bow (as in greeting),ˈdʒʊk.wũ,ˈdʒʊk.wũ,ˈdʒʊk.wũ
0535,(be) seated,ˈkʊɾ.si ˈma.tʰe ˈɓeɦ.wũ,ˈkʊɾ.si ˈma.tʰe ˈɓeɦ.wũ,ˈkʊɾ.si ˈma.tʰe ˈɓeɦ.wũ
0536,squat,ˈpə.ɠa ˈma.tʰe ˈɓeɦ.wũ,ˈpə.ɠa ˈma.tʰe ˈɓeɦ.wũ,ˈpə.ɠa ˈma.tʰe ˈɓeɦ.wũ
0537,(be) sleepy,ɦõŋ a.ˈwe.ɾi,ɦõŋ a.ˈwe.ɾi se,ɦoŋ a.ˈwe.se
0538,rest,a.ˈɾam,a.ˈɾam,a.ˈɾam
0539,"(be) awake, alert",tjaɾ,tjaɾ,tjaɾ
0540,wrinkle (on skin),kəɾ.ˈməl,ɡəɾ.ˈsəl.jũ,ɡəɾ.ˈʃəɭ.jũ
0541,pimple,ʃil,ʃil,ʃil
0542,hump (of hunchback) (of animal),ɖub,ɖub,ɖub
0543,barren woman,wã.ˈzə̃.ɳi,wã.ˈzə̃.ɳi,wã.ˈzə̃.ɳi
0544,blind person,ˈãd.ɽo,ˈãd.ɽo,ˈãd.ɽo
0545,deaf (mute) person,ˈɓo.ɽo,ˈɓo.ɽo,ˈɓo.ɽo
0546,cripple (n),ˈʈũ.ʈo,ˈʈõ.ʈo,ˈʈũ.ʈo
0547,dwarf,ˈko.ᶑu,ˈbɪ̃d.ɾo,ˈko.ᶑu
0548,senile person,be.ˈsʊɾt,be.ˈsʊd,be.ˈsʊd
0549,mad person,ˈɡã.ᶑo,ˈɡã.ᶑo,ˈɡã.ᶑo
0550,"(be) healthy, (be) well",ˈɦa.zo,ˈɦa.zo,ˈɦa.zo ˈnəɾ.wo
0551,"(be) sick, (be) ill",ˈmã.ɗo,ˈma.ɗo,ˈma.ɗo
0552,hurt oneself,pãɳ ˈɦə̃ɳ.wũ,ˈpo.ta ne ˈpʰəʈ.wũ,ˈpo.ta ne ˈfəʈ.wũ
0553,"heal (tr), cure (v)",ˈmə.ʈi ˈza.wũ,ˈmə.ʈi ˈza.wũ,ˈmə.ʈi ˈza.wũ
0554,"get well, recover",ʈʰik ˈtʰa.wũ,ʈʰik ˈtʰa.wũ,ʈʰik ˈtʰa.wũ
0555,revive,ˈzi.wi ˈʊ.ʈʰũ,ˈzi.wi ˈʊʈʰ.wũ,ˈzi.wi ˈʊ.ʈʰũ
0556,abscess,ˈpʰo.ɽa,ˈpo.ɽo,ˈfo.ɽa
0557,swelling,ɦu.ˈzəl,ɦu.ˈzəl,ɦu.ˈzəl
0558,sprain,səʈʰ,səʈʰ,səʈʰ
0559,bruise (n),ɾaɦɽ,bʊ.ɡe.ˈɽəl,ɾeɦɽ
0560,burn (n),ˈɓə.ɭe,ˈɓə.ɭe,ˈɓə.ɭi
0561,mole,təl,təl,təl
0562,"wound, sore",ˈɡõb.ɽo,ˈɡõb.ɽu,ˈɡõb.ɽa
0563,scar,ˈɡõb.ɽa nu nɪ.ˈʃan,ˈɡõb.ɽa nu nɪ.ˈʃan,ˈɡõb.ɽa nu nɪ.ˈʃan
0564,intestinal worm,ˈmo.ka,ˈmo.ka,peʈ ma ˈziw.ɽa
0565,"illness, disease",bi.ˈma.ɾi,bi.ˈma.ɾi,bi.ˈma.ɾi
0566,yellow fever,ˈpiɭ.jo,ˈpiɭ.jo,ˈpil.jo
0567,ringworm,da.ˈdəɾ,da.ˈdəɾ,da.ˈdəɾ
0568,leprosy,ɡoɖ,-,koɖ
0569,malaria (fever),mə.ˈleɾ.ja,mə.ˈleɾ.ja,mə.ˈleɾ.ja
0570,fever (not malaria),taw,taw,taw
0571,"stomachache, upset stomach",peʈ nu ᶑʊkʰ,peʈ nu ᶑʊkʰ,peʈ nu ᶑʊkʰ
0572,headache,ˈma.tʰa nu ᶑʊkʰ,ˈma.tʰa nu ᶑʊkʰ,ˈma.tʰa nu ᶑʊkʰ
0573,diarrhea,də.ˈsət,dəst,dəst
0574,scabies (the itch),kʰa.ˈɽɪʃ,ˈkʰa.dʒi,kʰa.ˈɽɪʃ
0575,life,zi.ˈwə̃ɳ,zi.ˈwə̃n,zi.ˈwə̃n
0576,(be) alive,ˈɦa.zo,ˈziw.to,ˈziw.to
0577,menstrual period,ˈlʊɡ.ɽa,ˈlʊɡ.ɽa,ˈlʊɡ.ɽa
0578,(be) pregnant,ʊ.mid.ˈwa.ɾi,ˈba.ɾe ˈpə.ɡe,ˈba.ɾe ˈpə.ɡe
0579,miscarriage,-,ˈka.so məz.ˈwaɽ,kaso məd.ˈwaɽ
0580,"labour (n), birth pains",ˈsok.ɾũ nu ᶑʊkʰ,ˈsok.ɾo nu ᶑʊkʰ,ˈsok.ɾa nu ᶑʊkʰ
0581,"bear (child), give birth",zə.ˈləm ˈal.wũ,zə.ˈləm ˈal.wũ,zə.ˈləm ˈal.jo
0582,(be) born,ˈdaw.ɳo,ˈdaw.ɳo,zə.ˈləm
0583,(be) young,zə.ˈwan,zə.ˈwan,zə.ˈwan
0584,grow up,ˈɡəĩ.ɖo,ˈᶑok.ɾo,ˈᶑok.ɾo
0585,death,mot,mot,mot
0586,(be) dead,mə.ˈɾəl,mə.ˈɾəl,mə.ˈɾəl
0587,believe,bʱə.ˈɾũ.so,bʱə.ˈɾo.so,bʱə.ˈɾũ.so
0588,hope (v),ˈas.ɾo ˈkəɾ.wo,ˈas.ɾo ˈkəɾ.wo,ˈas.ɾo ˈkəɾ.wo
0589,knowledge,-,ɦəm.ˈzə̃ɳ,ɦəm.ˈzə̃ɳ
0590,wisdom,ə.ˈkəl,ə.ˈkel,ə.ˈkəl
0591,(be) wise,ə.ˈkəl nu ˈda.no,ə.ˈkəl dan,ə.ˈkəl nu ˈda.na
0592,(be) intelligent,ɦʊʃ.ˈjaɾ,ɦʊʃ.ˈjaɾ,ɦʊʃ.ˈjaɾ
0593,(be) stupid,be dɪ.ˈmak,be dɪ.ˈmaɡ,be dɪ.ˈma.ɡo
0594,(be) confused,mo.ˈzəl,mo.ˈzəl,mʊ.ˈʤəl
0595,learn,ˈʃi.kʰũ,ˈʃi.kʰũ,ˈʃi.kʰũ
0596,teach,ʃikʰ.ˈɽa.wũ,ʃikʰ.ˈɽa.wũ,ʃikʰ.ˈɽa.wũ
0597,show,wa.ˈwəɽ.wi,wə.ˈtaɽ.wũ,wə.ˈtaɽ.wũ
0598,remembrance,jad,jad,jad
0599,"(be) happy, (be) joyful",kʰʊʃ,kʰʊʃ,ˈɾa.zi
