so,m73,(ə-)ˈlʔuːd-ən,ear,,(ə-)ˈlʔuːd-ən,,"pinnow1959versuch[p. 97, item 1319, set V147]",,Pinnow comparative set V147. Linked to Rau m73 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p97.i1319.sV147,,,,
mu,,hɛndɛ,black,,hɛndɛ,,"pinnow1959versuch[p. 103, item 1337, set V164]",,Pinnow comparative set V164.,pinnow1959versuch:C:c4.p103.i1337.sV164,,,,
sa,,hɛndɛ,black,,hɛndɛ,,"pinnow1959versuch[p. 103, item 1337, set V164]",,Pinnow comparative set V164.,pinnow1959versuch:C:c2.p103.i1337.sV164,,,,
Mahali,,hɛpɛl,man,,hɛpɛl,,"pinnow1959versuch[p. 153, item 1526-2, set V311]",,Pinnow comparative set V311.,pinnow1959versuch:C:c16.p153.i1526-2.sV311,,,,
Mahali,,hɛrɛr,man,,hɛrɛr,,"pinnow1959versuch[p. 153, item 1526-2, set V311]",,Pinnow comparative set V311.,pinnow1959versuch:C:c16.p153.i1526-2.sV311:v2,pinnow1959versuch:C:c16.p153.i1526-2.sV311,,,
sa,,hɛrɛl,"a male, man, husband",,hɛrɛl,,"pinnow1959versuch[p. 153, item 1526-3, set V311]",,Pinnow comparative set V311.,pinnow1959versuch:C:c2.p153.i1526-3.sV311,,,,
mu,,hɛrɛl,"full-grown man, husband",,hɛrɛl,,"pinnow1959versuch[p. 153, item 1526-6, set V311]",,Pinnow comparative set V311.,pinnow1959versuch:C:c4.p153.i1526-6.sV311,,,,
mu,,hɛrɛl,man,,hɛrɛl,,"pinnow1959versuch[p. 153, item 1526-7, set V311]",,Pinnow comparative set V311.,pinnow1959versuch:C:c4.p153.i1526-7.sV311,,,,
sa,,hɛsɛl,"a common forest tree ({Sci.name} Anogeissus latifolia, Wall)",,hɛsɛl,,"pinnow1959versuch[p. 103, item 1336, set V163]",,Pinnow comparative set V163.,pinnow1959versuch:C:c2.p103.i1336.sV163,,,,
mu,,hɛsɛl-daru,"a common forest tree ({Sci.name} Anogeissus latifolia, Wall)",,hɛsɛl-daru,,"pinnow1959versuch[p. 103, item 1336, set V163]",,Pinnow comparative set V163.,pinnow1959versuch:C:c4.p103.i1336.sV163,,,,
mu,,hɛɽɛ,"husk, chaff, to mix with husk",,hɛɽɛ,,"pinnow1959versuch[p. 170, item 1601-2, set V366]",,Pinnow comparative set V366.,pinnow1959versuch:C:c4.p170.i1601-2.sV366,,,,
sa,,hɛɽɛ,"husk, chaff, to mix with husk",,hɛɽɛ,,"pinnow1959versuch[p. 170, item 1601-2, set V366]",,Pinnow comparative set V366.,pinnow1959versuch:C:c2.p170.i1601-2.sV366,,,,
mu,,hɛˀɟ,to pluck leaves,,hɛˀɟ,,"pinnow1959versuch[p. 101, item 1327, set V154]",,Pinnow comparative set V154.,pinnow1959versuch:C:c4.p101.i1327.sV154,,,,
sa,,hɛˀɟ,to pluck leaves,,hɛˀɟ,,"pinnow1959versuch[p. 101, item 1327, set V154]",,Pinnow comparative set V154.,pinnow1959versuch:C:c2.p101.i1327.sV154,,,,
sa,,hɛˀɟ,"to come, arrive",,hɛˀɟ,,"pinnow1959versuch[p. 151, item 1513, set V299]",,Pinnow comparative set V299.,pinnow1959versuch:C:c2.p151.i1513.sV299,,,,
sa,,hiɟuʔ,"to come, arrive",,hiɟuʔ,,"pinnow1959versuch[p. 151, item 1513, set V299]",,Pinnow comparative set V299.,pinnow1959versuch:C:c2.p151.i1513.sV299:v2,pinnow1959versuch:C:c2.p151.i1513.sV299,,,
Mahali,,hɛˀɟ,to come,,hɛˀɟ,,"pinnow1959versuch[p. 151, item 1513, set V299]",,Pinnow comparative set V299.,pinnow1959versuch:C:c16.p151.i1513.sV299,,,,
Mahali,,hɛɟɔʔ,to come,,hɛɟɔʔ,,"pinnow1959versuch[p. 151, item 1513, set V299]",,Pinnow comparative set V299.,pinnow1959versuch:C:c16.p151.i1513.sV299:v2,pinnow1959versuch:C:c16.p151.i1513.sV299,,,
mu,,hɛː,"yes, to assent, to agree, true",,hɛː,,"pinnow1959versuch[p. 204, item 83, set K80]",,Pinnow comparative set K80.,pinnow1959versuch:C:c4.p204.i83.sK080,,,,
mu,,hɛ̃ː,"yes, to assent, to agree, true",,hɛ̃ː,,"pinnow1959versuch[p. 204, item 83, set K80]",,Pinnow comparative set K80.,pinnow1959versuch:C:c4.p204.i83.sK080:v2,pinnow1959versuch:C:c4.p204.i83.sK080,,,
Birhor,,hɛ̃ː,"yes, to assent, to agree, true",,hɛ̃ː,,"pinnow1959versuch[p. 204, item 83, set K80]",,Pinnow comparative set K80.,pinnow1959versuch:C:c7.p204.i83.sK080,,,,
Mahali,,hɛ̃ː,"yes, to assent, to agree, true",,hɛ̃ː,,"pinnow1959versuch[p. 204, item 83, set K80]",,Pinnow comparative set K80.,pinnow1959versuch:C:c16.p204.i83.sK080,,,,
mu,,hɛ̃ː,"yes, to assent, to agree, true",,hɛ̃ː,,"pinnow1959versuch[p. 204, item 83-2, set K80]",,Pinnow comparative set K80.,pinnow1959versuch:C:c4.p204.i83-2.sK080,,,,
sa,,hʌi,"yes, quite so, won't you",,hʌi,,"pinnow1959versuch[p. 204, item 83, set K80]",,Pinnow comparative set K80.,pinnow1959versuch:C:c2.p204.i83.sK080,,,,
ko,,hẽ,"yes, to assent, to agree, true",,hẽ,,"pinnow1959versuch[p. 204, item 83, set K80]",,Pinnow comparative set K80.,pinnow1959versuch:C:c5.p204.i83.sK080,,,,
ho,m91,i,dung,,i,,"pinnow1959versuch[p. 85, item 1243, set V81]",,Pinnow comparative set V81. Linked to Rau m91 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c6.p85.i1243.sV081,,,,
ko,,i- (ij-e),to give,,i- (ij-e),,"pinnow1959versuch[p. 178, item 1636, set V394]",,Pinnow comparative set V394.,pinnow1959versuch:C:c5.p178.i1636.sV394,,,,
gu,,i-ɡen,three,,i-ɡen,,"pinnow1959versuch[p. 164, item 1577, set V348]",,Pinnow comparative set V348.,pinnow1959versuch:C:c8.p164.i1577.sV348,,,,
gu,,jo-ɡɡen,three,,jo-ɡɡen,,"pinnow1959versuch[p. 164, item 1577, set V348]",,Pinnow comparative set V348.,pinnow1959versuch:C:c8.p164.i1577.sV348:v2,pinnow1959versuch:C:c8.p164.i1577.sV348,,,
gu,,jiɡɡin,three,,jiɡɡin,,"pinnow1959versuch[p. 164, item 1577, set V348]",,Pinnow comparative set V348.,pinnow1959versuch:C:c8.p164.i1577.sV348:v3,pinnow1959versuch:C:c8.p164.i1577.sV348,,,
Birhor,,iam,to weep,,iam,,"pinnow1959versuch[p. 74, item 1204, set V42]",,Pinnow comparative set V42.,pinnow1959versuch:C:c7.p74.i1204.sV042,,,,
gu,m90,id-iː,drinking,,id-iː,,"pinnow1959versuch[p. 96, item 1314-1, set V142]",,Pinnow comparative set V142. Linked to Rau m90 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c8.p96.i1314-1.sV142,,,,
mu,,ihil,long stiff feathers in the wings and tail,,ihil,,"pinnow1959versuch[p. 85, item 1249, set V87]",,Pinnow comparative set V87.,pinnow1959versuch:C:c4.p85.i1249.sV087,,,,
Birhor,,ihim,liver,,ihim,,"pinnow1959versuch[p. 85, item 1250, set V88]",,Pinnow comparative set V88.,pinnow1959versuch:C:c7.p85.i1250.sV088,,,,
mu,,ihim,liver,,ihim,,"pinnow1959versuch[p. 85, item 1250, set V88]",,Pinnow comparative set V88.,pinnow1959versuch:C:c4.p85.i1250.sV088,,,,
Birhor,m91,ii,stools,,ii,,"pinnow1959versuch[p. 85, item 1243, set V81]",,Pinnow comparative set V81. Linked to Rau m91 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c7.p85.i1243.sV081,,,,
so,,ij-ɑːi,"to come, to arrive",,ij-ɑːi,,"pinnow1959versuch[p. 151, item 1513, set V299]",,Pinnow comparative set V299.,pinnow1959versuch:C:c3.p151.i1513.sV299,,,,
so,,jɑː,"to come, to arrive",,jɑː,,"pinnow1959versuch[p. 151, item 1513, set V299]",,Pinnow comparative set V299.,pinnow1959versuch:C:c3.p151.i1513.sV299:v2,pinnow1959versuch:C:c3.p151.i1513.sV299,,,
ju,,ijam,blood,,ijam,,"pinnow1959versuch[p. 153, item 1518, set V303]",,Pinnow comparative set V303.,pinnow1959versuch:C:c11.p153.i1518.sV303,,,,
gu,m91,ik-tɑŋ,cowdung,,ik-tɑŋ,,"pinnow1959versuch[p. 85, item 1243-2, set V81]",,Pinnow comparative set V81. Linked to Rau m91 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c8.p85.i1243-2.sV081,,,,
re,m91,ik-tɑŋ,cowdung,,ik-tɑŋ,,"pinnow1959versuch[p. 85, item 1243, set V81]",,Pinnow comparative set V81. Linked to Rau m91 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c10.p85.i1243.sV081,,,,
ho,,ikir,"deep, depth",,ikir,,"pinnow1959versuch[p. 149, item 1503, set V292]",,Pinnow comparative set V292.,pinnow1959versuch:C:c6.p149.i1503.sV292,,,,
mu,,ikir,"deep, depth",,ikir,,"pinnow1959versuch[p. 149, item 1503, set V292]",,Pinnow comparative set V292.,pinnow1959versuch:C:c4.p149.i1503.sV292,,,,
sa,,il,"feather, quill",,il,,"pinnow1959versuch[p. 85, item 1249, set V87]",,Pinnow comparative set V87.,pinnow1959versuch:C:c2.p85.i1249.sV087,,,,
ko,,ilar,eight,,ilar,,"pinnow1959versuch[p. 86, item 1254, set V92]",,Pinnow comparative set V92.,pinnow1959versuch:C:c5.p86.i1254.sV092,,,,
ko,,ilaria,eight,,ilaria,,"pinnow1959versuch[p. 86, item 1254, set V92]",,Pinnow comparative set V92.,pinnow1959versuch:C:c5.p86.i1254.sV092:v2,pinnow1959versuch:C:c5.p86.i1254.sV092,,,
gu,,ili,mango,,ili,,"pinnow1959versuch[p. 97, item 1316, set V144]",,Pinnow comparative set V144.,pinnow1959versuch:C:c8.p97.i1316.sV144,,,,
Birhor,m67,ili,rice-beer,,ili,,"pinnow1959versuch[p. 85, item 1247, set V85]",,Pinnow comparative set V85. Linked to Rau m67 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c7.p85.i1247.sV085,,,,
mu,m67,ili,rice-beer,,ili,,"pinnow1959versuch[p. 85, item 1247, set V85]",,Pinnow comparative set V85. Linked to Rau m67 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p85.i1247.sV085,,,,
re,m67,ili,liquor,,ili,,"pinnow1959versuch[p. 85, item 1247, set V85]",,Pinnow comparative set V85. Linked to Rau m67 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c10.p85.i1247.sV085,,,,
re,m67,illi,liquor,,illi,,"pinnow1959versuch[p. 85, item 1247, set V85]",,Pinnow comparative set V85. Linked to Rau m67 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c10.p85.i1247.sV085:v2,pinnow1959versuch:C:c10.p85.i1247.sV085,,,
gu,m67,iliː,liquor,,iliː,,"pinnow1959versuch[p. 85, item 1247, set V85]",,Pinnow comparative set V85. Linked to Rau m67 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c8.p85.i1247.sV085,,,,
gu,m67,illi,liquor,,illi,,"pinnow1959versuch[p. 85, item 1247, set V85]",,Pinnow comparative set V85. Linked to Rau m67 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c8.p85.i1247.sV085:v2,pinnow1959versuch:C:c8.p85.i1247.sV085,,,
ho,,im,liver,,im,,"pinnow1959versuch[p. 85, item 1250, set V88]",,Pinnow comparative set V88.,pinnow1959versuch:C:c6.p85.i1250.sV088,,,,
sa,,im,liver,,im,,"pinnow1959versuch[p. 85, item 1250, set V88]",,Pinnow comparative set V88.,pinnow1959versuch:C:c2.p85.i1250.sV088,,,,
gu,m100,imi,name,,imi,,"pinnow1959versuch[p. 141, item 1484, set V279]",,Pinnow comparative set V279. Linked to Rau m100 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c8.p141.i1484.sV279,,,,
Birhor,,ini,"he there, this one",,ini,,"pinnow1959versuch[p. 160, item 1561, set V337]",,Pinnow comparative set V337.,pinnow1959versuch:C:c7.p160.i1561.sV337,,,,
sa,,ini,"he there, this one",,ini,,"pinnow1959versuch[p. 160, item 1561-1, set V337]",,Pinnow comparative set V337.,pinnow1959versuch:C:c2.p160.i1561-1.sV337,,,,
mu,,iniʔ,he,,iniʔ,,"pinnow1959versuch[p. 160, item 1561-1, set V337]",,Pinnow comparative set V337.,pinnow1959versuch:C:c4.p160.i1561-1.sV337,,,,
re,,intɑˑb,"banian tree, Ficus indica",,intɑˑb,,"pinnow1959versuch[p. 149, item 1501, set V291]",,Pinnow comparative set V291.,pinnow1959versuch:C:c10.p149.i1501.sV291,,,,
re,,inɡer,boy,,inɡer,,"pinnow1959versuch[p. 153, item 1526, set V311]",,Pinnow comparative set V311.,pinnow1959versuch:C:c10.p153.i1526.sV311,,,,
Birhor,,ipil,star,,ipil,,"pinnow1959versuch[p. 155, item 1533, set V316]",,Pinnow comparative set V316.,pinnow1959versuch:C:c7.p155.i1533.sV316,,,,
ho,,ipil,star,,ipil,,"pinnow1959versuch[p. 155, item 1533, set V316]",,Pinnow comparative set V316.,pinnow1959versuch:C:c6.p155.i1533.sV316,,,,
ko,,ipil,star,,ipil,,"pinnow1959versuch[p. 155, item 1533, set V316]",,Pinnow comparative set V316.,pinnow1959versuch:C:c5.p155.i1533.sV316,,,,
Mahali,,ipil,star,,ipil,,"pinnow1959versuch[p. 155, item 1533, set V316]",,Pinnow comparative set V316.,pinnow1959versuch:C:c16.p155.i1533.sV316,,,,
mu,,ipil,star,,ipil,,"pinnow1959versuch[p. 155, item 1533, set V316]",,Pinnow comparative set V316.,pinnow1959versuch:C:c4.p155.i1533.sV316,,,,
sa,,ipil,star,,ipil,,"pinnow1959versuch[p. 155, item 1533, set V316]",,Pinnow comparative set V316.,pinnow1959versuch:C:c2.p155.i1533.sV316,,,,
kw,,ipil,star,,ipil,,"pinnow1959versuch[p. 155, item 1533, set V316]",,Pinnow comparative set V316.,pinnow1959versuch:C:c12.p155.i1533.sV316,,,,
kw,,epal,star,,epal,,"pinnow1959versuch[p. 155, item 1533, set V316]",,Pinnow comparative set V316.,pinnow1959versuch:C:c12.p155.i1533.sV316:v2,pinnow1959versuch:C:c12.p155.i1533.sV316,,,
Mahali,,iral,eight,,iral,,"pinnow1959versuch[p. 86, item 1254, set V92]",,Pinnow comparative set V92.,pinnow1959versuch:C:c16.p86.i1254.sV092,,,,
mu,,iralia,eight,,iralia,,"pinnow1959versuch[p. 86, item 1254, set V92]",,Pinnow comparative set V92.,pinnow1959versuch:C:c4.p86.i1254.sV092,,,,
mu,,irelia,eight,,irelia,,"pinnow1959versuch[p. 86, item 1254, set V92]",,Pinnow comparative set V92.,pinnow1959versuch:C:c4.p86.i1254.sV092:v2,pinnow1959versuch:C:c4.p86.i1254.sV092,,,
mu,,irilia,eight,,irilia,,"pinnow1959versuch[p. 86, item 1254, set V92]",,Pinnow comparative set V92.,pinnow1959versuch:C:c4.p86.i1254.sV092:v3,pinnow1959versuch:C:c4.p86.i1254.sV092,,,
ho,,irilia,eight,,irilia,,"pinnow1959versuch[p. 86, item 1254, set V92]",,Pinnow comparative set V92.,pinnow1959versuch:C:c6.p86.i1254.sV092,,,,
Birhor,,irəl,eight,,irəl,,"pinnow1959versuch[p. 86, item 1254, set V92]",,Pinnow comparative set V92.,pinnow1959versuch:C:c7.p86.i1254.sV092,,,,
sa,,irəl,eight,,irəl,,"pinnow1959versuch[p. 86, item 1254, set V92]",,Pinnow comparative set V92.,pinnow1959versuch:C:c2.p86.i1254.sV092,,,,
ko,m36,isali,bark of tree,,isali,,"pinnow1959versuch[p. 98, item 1321, set V149]",,Pinnow comparative set V149. Linked to Rau m36 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c5.p98.i1321.sV149,,,,
gu,m26,isi,"sick, pain",,isi,,"pinnow1959versuch[p. 122, item 1432, set V247]",,Pinnow comparative set V247. Linked to Rau m26 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c8.p122.i1432.sV247,,,,
Birhor,m46,isin,"to cook, to boil",,isin,,"pinnow1959versuch[p. 85, item 1248, set V86]",,Pinnow comparative set V86. Linked to Rau m46 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c7.p85.i1248.sV086,,,,
ko,m46,isin,"to cook, to boil",,isin,,"pinnow1959versuch[p. 85, item 1248, set V86]",,Pinnow comparative set V86. Linked to Rau m46 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c5.p85.i1248.sV086,,,,
mu,m46,isin,"to cook, to boil",,isin,,"pinnow1959versuch[p. 85, item 1248, set V86]",,Pinnow comparative set V86. Linked to Rau m46 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p85.i1248.sV086,,,,
sa,m46,isin,"to cook, to boil",,isin,,"pinnow1959versuch[p. 85, item 1248, set V86]",,Pinnow comparative set V86. Linked to Rau m46 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c2.p85.i1248.sV086,,,,
ho,m46,isini,"to cook, to boil",,isini,,"pinnow1959versuch[p. 85, item 1248, set V86]",,Pinnow comparative set V86. Linked to Rau m46 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c6.p85.i1248.sV086,,,,
ho,m46,isin,"to cook, to boil",,isin,,"pinnow1959versuch[p. 85, item 1248, set V86]",,Pinnow comparative set V86. Linked to Rau m46 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c6.p85.i1248.sV086:v2,pinnow1959versuch:C:c6.p85.i1248.sV086,,,
mu,,isiŋ,today,,isiŋ,,"pinnow1959versuch[p. 164, item 1579, set V349]",,Pinnow comparative set V349.,pinnow1959versuch:C:c4.p164.i1579.sV349,,,,
gu,,isɑi,charcoal,,isɑi,,"pinnow1959versuch[p. 149, item 1499, set V289]",,Pinnow comparative set V289.,pinnow1959versuch:C:c8.p149.i1499.sV289,,,,
gu,m36,isɑːl,"skin, leather",,isɑːl,,"pinnow1959versuch[p. 98, item 1321, set V149]",,Pinnow comparative set V149. Linked to Rau m36 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c8.p98.i1321.sV149,,,,
ju,m8,iti,hand,,iti,,"pinnow1959versuch[p. 84, item 1237, set V75]",,Pinnow comparative set V75. Linked to Rau m8 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c11.p84.i1237.sV075,,,,
kh,m91,itthaŋ,cowdung,,itthaŋ,,"pinnow1959versuch[p. 85, item 1243-2, set V81]",,Pinnow comparative set V81. Linked to Rau m91 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c1.p85.i1243-2.sV081,,,,
mu,,iur (jur),"a cool breeze, wind or draft, in summer",,iur (jur),,"pinnow1959versuch[p. 95, item 1310, set V138]",,Pinnow comparative set V138.,pinnow1959versuch:C:c4.p95.i1310.sV138,,,,
ho,,iŋ,I,,iŋ,,"pinnow1959versuch[p. 186, item 1652, set V402]",,Pinnow comparative set V402.,pinnow1959versuch:C:c6.p186.i1652.sV402,,,,
ko,,iŋ,I,,iŋ,,"pinnow1959versuch[p. 186, item 1652, set V402]",,Pinnow comparative set V402.,pinnow1959versuch:C:c5.p186.i1652.sV402,,,,
mu,,iŋ,I,,iŋ,,"pinnow1959versuch[p. 186, item 1652-2, set V402]",,Pinnow comparative set V402.,pinnow1959versuch:C:c4.p186.i1652-2.sV402,,,,
kh,,iŋ,I,,iŋ,,"pinnow1959versuch[p. 186, item 1652, set V402]",,Pinnow comparative set V402.,pinnow1959versuch:C:c1.p186.i1652.sV402,,,,
kh,,iɲ,I,,iɲ,,"pinnow1959versuch[p. 186, item 1652, set V402]",,Pinnow comparative set V402.,pinnow1959versuch:C:c1.p186.i1652.sV402:v2,pinnow1959versuch:C:c1.p186.i1652.sV402,,,
so,,iŋ,me,,iŋ,,"pinnow1959versuch[p. 186, item 1652-2, set V402]",,Pinnow comparative set V402.,pinnow1959versuch:C:c3.p186.i1652-2.sV402,,,,
so,,iˈɲen,me,,iˈɲen,,"pinnow1959versuch[p. 186, item 1652-2, set V402]",,Pinnow comparative set V402.,pinnow1959versuch:C:c3.p186.i1652-2.sV402:v2,pinnow1959versuch:C:c3.p186.i1652-2.sV402,,,
re,,iŋ-ɡiːn,three,,iŋ-ɡiːn,,"pinnow1959versuch[p. 164, item 1577, set V348]",,Pinnow comparative set V348.,pinnow1959versuch:C:c10.p164.i1577.sV348,,,,
so,,iŋˈɑd,to shut,,iŋˈɑd,,"pinnow1959versuch[p. 149, item 1500, set V290]",,Pinnow comparative set V290.,pinnow1959versuch:C:c3.p149.i1500.sV290,,,,
so,,iŋˈɡɑd,to shut,,iŋˈɡɑd,,"pinnow1959versuch[p. 149, item 1500, set V290]",,Pinnow comparative set V290.,pinnow1959versuch:C:c3.p149.i1500.sV290:v2,pinnow1959versuch:C:c3.p149.i1500.sV290,,,
gu,,iɑːm,blood,,iɑːm,,"pinnow1959versuch[p. 153, item 1518, set V303]",,Pinnow comparative set V303.,pinnow1959versuch:C:c8.p153.i1518.sV303,,,,
gu,,jiɲɑm,blood,,jiɲɑm,,"pinnow1959versuch[p. 153, item 1518, set V303]",,Pinnow comparative set V303.,pinnow1959versuch:C:c8.p153.i1518.sV303:v2,pinnow1959versuch:C:c8.p153.i1518.sV303,,,
ko,m91,iɟ,dung,,iɟ,,"pinnow1959versuch[p. 85, item 1243, set V81]",,Pinnow comparative set V81. Linked to Rau m91 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c5.p85.i1243.sV081,,,,
ju,m10,iɟiŋ,foot,,iɟiŋ,,"pinnow1959versuch[p. 169, item 1600, set V365]",,Pinnow comparative set V365. Linked to Rau m10 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c11.p169.i1600.sV365,,,,
Birhor,,iɲ,I,,iɲ,,"pinnow1959versuch[p. 186, item 1652, set V402]",,Pinnow comparative set V402.,pinnow1959versuch:C:c7.p186.i1652.sV402,,,,
Mahali,,iɲ,I,,iɲ,,"pinnow1959versuch[p. 186, item 1652, set V402]",,Pinnow comparative set V402.,pinnow1959versuch:C:c16.p186.i1652.sV402,,,,
mu,,iɲ,I,,iɲ,,"pinnow1959versuch[p. 186, item 1652-3, set V402]",,Pinnow comparative set V402.,pinnow1959versuch:C:c4.p186.i1652-3.sV402,,,,
sa,,iɲ,I,,iɲ,,"pinnow1959versuch[p. 186, item 1652, set V402]",,Pinnow comparative set V402.,pinnow1959versuch:C:c2.p186.i1652.sV402,,,,
so,,iɲ,I,,iɲ,,"pinnow1959versuch[p. 186, item 1652-1, set V402]",,Pinnow comparative set V402.,pinnow1959versuch:C:c3.p186.i1652-1.sV402,,,,
so,,iŋ (C-F),I,,iŋ (C-F),,"pinnow1959versuch[p. 186, item 1652-1, set V402]",,Pinnow comparative set V402.,pinnow1959versuch:C:c3.p186.i1652-1.sV402:v2,pinnow1959versuch:C:c3.p186.i1652-1.sV402,,,
mu,,iɲ,I,,iɲ,,"pinnow1959versuch[p. 186, item 1652, set V402]",,Pinnow comparative set V402.,pinnow1959versuch:C:c4.p186.i1652.sV402,,,,
mu,,iŋ,I,,iŋ,,"pinnow1959versuch[p. 186, item 1652, set V402]",,Pinnow comparative set V402.,pinnow1959versuch:C:c4.p186.i1652.sV402:v2,pinnow1959versuch:C:c4.p186.i1652.sV402,,,
mu,,aiŋ,I,,aiŋ,,"pinnow1959versuch[p. 186, item 1652, set V402]",,Pinnow comparative set V402.,pinnow1959versuch:C:c4.p186.i1652.sV402:v3,pinnow1959versuch:C:c4.p186.i1652.sV402,,,
mu,,iɽiŋ,to forget,,iɽiŋ,,"pinnow1959versuch[p. 156, item 1537-2, set V320]",,Pinnow comparative set V320.,pinnow1959versuch:C:c4.p156.i1537-2.sV320,,,,
mu,,hiɽiŋ,to forget,,hiɽiŋ,,"pinnow1959versuch[p. 156, item 1537-2, set V320]",,Pinnow comparative set V320.,pinnow1959versuch:C:c4.p156.i1537-2.sV320:v2,pinnow1959versuch:C:c4.p156.i1537-2.sV320,,,
so,m9,iʔi,lousy,,iʔi,,"pinnow1959versuch[p. 162, item 1568-1, set V341]",,Pinnow comparative set V341. Linked to Rau m9 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p162.i1568-1.sV341,,,,
so,m9,iʔiː-n,"louse, nit",,iʔiː-n,,"pinnow1959versuch[p. 162, item 1568, set V341]",,Pinnow comparative set V341. Linked to Rau m9 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p162.i1568.sV341,,,,
mu,,iˀdkulaˀd,a rough fireplace made of stones or clods in the courtyard or under a tree,,iˀdkulaˀd,,"pinnow1959versuch[p. 76, item 1214, set V52]",,Pinnow comparative set V52.,pinnow1959versuch:C:c4.p76.i1214.sV052,,,,
mu,,iˀdkulaʔ,a rough fireplace made of stones or clods in the courtyard or under a tree,,iˀdkulaʔ,,"pinnow1959versuch[p. 76, item 1214, set V52]",,Pinnow comparative set V52.,pinnow1959versuch:C:c4.p76.i1214.sV052:v2,pinnow1959versuch:C:c4.p76.i1214.sV052,,,
mu,,iˀdkula,a rough fireplace made of stones or clods in the courtyard or under a tree,,iˀdkula,,"pinnow1959versuch[p. 76, item 1214, set V52]",,Pinnow comparative set V52.,pinnow1959versuch:C:c4.p76.i1214.sV052:v3,pinnow1959versuch:C:c4.p76.i1214.sV052,,,
mu,m91,iˀɟ,"dung, excrement",,iˀɟ,,"pinnow1959versuch[p. 85, item 1243, set V81]",,Pinnow comparative set V81. Linked to Rau m91 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p85.i1243.sV081,,,,
sa,m91,iˀɟ,"excrement, to ease oneself",,iˀɟ,,"pinnow1959versuch[p. 85, item 1243, set V81]",,Pinnow comparative set V81. Linked to Rau m91 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c2.p85.i1243.sV081,,,,
kh,m91,iˀɟ,to ease (oneself),,iˀɟ,,"pinnow1959versuch[p. 85, item 1243, set V81]",,Pinnow comparative set V81. Linked to Rau m91 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c1.p85.i1243.sV081,,,,
kh,,iˈjam,to cry,,iˈjam,,"pinnow1959versuch[p. 74, item 1204, set V42]",,Pinnow comparative set V42.,pinnow1959versuch:C:c1.p74.i1204.sV042,,,,
kh,,iˈriˀb,to forget,,iˈriˀb,,"pinnow1959versuch[p. 156, item 1537, set V320]",,Pinnow comparative set V320.,pinnow1959versuch:C:c1.p156.i1537.sV320,,,,
kh,m46,iˈsin,"to boil, to bake",,iˈsin,,"pinnow1959versuch[p. 85, item 1248, set V86]",,Pinnow comparative set V86. Linked to Rau m46 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c1.p85.i1248.sV086,,,,
kh,m33,iˈɖiˀb,night,,iˈɖiˀb,,"pinnow1959versuch[p. 141, item 1485, set V280]",,Pinnow comparative set V280. Linked to Rau m33 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c1.p141.i1485.sV280,,,,
so,,iˈɡud,"to beckon, to make gestures",,iˈɡud,,"pinnow1959versuch[p. 203, item 71, set K68]",,Pinnow comparative set K68.,pinnow1959versuch:C:c3.p203.i71.sK068,,,,
so,,iˈɡul,"to beckon, to make gestures",,iˈɡul,,"pinnow1959versuch[p. 203, item 71, set K68]",,Pinnow comparative set K68.,pinnow1959versuch:C:c3.p203.i71.sK068:v2,pinnow1959versuch:C:c3.p203.i71.sK068,,,
