PKher,pkh-443-85,*rɛhɛd,root,,*rɛhɛd,,"munda1968proto[p. 85, SEAlang record 443]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p443.i85,,,,
PKher,pkh-455-86,*rɛŋɡɛɟ,to hunger,,*rɛŋɡɛɟ,,"munda1968proto[p. 86, SEAlang record 455]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p455.i86,,,,
PKher,pkh-363-78,*rɛɟ,to rob,,*rɛɟ,,"munda1968proto[p. 78, SEAlang record 363]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p363.i78,,,,
PKher,pkh-441-85,*rɛɲɟɛd,"to drain, press",,*rɛɲɟɛd,,"munda1968proto[p. 85, SEAlang record 441]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p441.i85,,,,
PKher,pkh-441-85,*rɛ̀ɲɟɛ̀d,"to drain, press",,*rɛ̀ɲɟɛ̀d,,"munda1968proto[p. 85, SEAlang record 441]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p441.i85:v2,munda1968proto:R:c3.p441.i85,,,
PKher,pkh-401-81,*rɛɳʈa,thin,,*rɛɳʈa,,"munda1968proto[p. 81, SEAlang record 401]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p401.i81,,,,
PKher,pkh-678-103,*rɛ̀m-kɔ̀d,to shut,,*rɛ̀m-kɔ̀d,,"munda1968proto[p. 103, SEAlang record 678]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p678.i103,,,,
PKher,pkh-754-108,*sab,to grasp,,*sab,,"munda1968proto[p. 108, SEAlang record 754]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p754.i108,,,,
PKher,pkh-1013-127,*sabaʔ,tasteless,,*sabaʔ,,"munda1968proto[p. 127, SEAlang record 1013]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1013.i127,,,,
PKher,pkh-664-102,*sadɔm,horse,,*sadɔm,,"munda1968proto[p. 102, SEAlang record 664]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p664.i102,,,,
PKher,pkh-1024-127,*sahan,firewood,,*sahan,,"munda1968proto[p. 127, SEAlang record 1024]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1024.i127,,,,
PKher,pkh-494-88,*sahɛd,to breathe; breath,,*sahɛd,,"munda1968proto[p. 88, SEAlang record 494]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p494.i88,,,,
PKher,pkh-1022-127,*sakam,leaf,,*sakam,,"munda1968proto[p. 127, SEAlang record 1022]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1022.i127,,,,
PKher,pkh-102-58,*sakid,to freeze,,*sakid,,"munda1968proto[p. 58, SEAlang record 102]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p102.i58,,,,
PKher,pkh-94-58,*sakɽi,leftover,,*sakɽi,,"munda1968proto[p. 58, SEAlang record 94]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p94.i58,,,,
PKher,pkh-979-125,*sala,to choose,,*sala,,"munda1968proto[p. 125, SEAlang record 979]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p979.i125,,,,
PKher,pkh-981-125,*salɡa,kind of tree,,*salɡa,,"munda1968proto[p. 125, SEAlang record 981]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p981.i125,,,,
PKher,pkh-1035-128,*samaŋ,front,,*samaŋ,,"munda1968proto[p. 128, SEAlang record 1035]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1035.i128,,,,adv
PKher,pkh-1015-127,*samaʔ,to pound,,*samaʔ,,"munda1968proto[p. 127, SEAlang record 1015]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1015.i127,,,,
PKher,pkh-980-125,*sana,to wish,,*sana,,"munda1968proto[p. 125, SEAlang record 980]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p980.i125,,,,
PKher,pkh-744-107,*saparɔ̀m,kind of tree,,*saparɔ̀m,,"munda1968proto[p. 107, SEAlang record 744]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p744.i107,,,,
PKher,pkh-none-58x2,*sardi,abundance,,*sardi,,munda1968proto[p. 58-2],,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p.i58-2,,,,
PKher,pkh-1016-127,*sarlaʔ,splinter,,*sarlaʔ,,"munda1968proto[p. 127, SEAlang record 1016]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1016.i127,,,,
PKher,pkh-1044-129,*sartal,to open,,*sartal,,"munda1968proto[p. 129, SEAlang record 1044]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1044.i129,,,,
PKher,pkh-261-70,*saru,kind of root,,*saru,,"munda1968proto[p. 70, SEAlang record 261]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p261.i70,,,,
PKher,pkh-851-114,*sarɛɟ,leftover,,*sarɛɟ,,"munda1968proto[p. 114, SEAlang record 851]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p851.i114,,,,
PKher,pkh-665-102,*sarɟɔm,kind of tree,,*sarɟɔm,,"munda1968proto[p. 102, SEAlang record 665]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p665.i102,,,,
PKher,pkh-1036-128,*sasaŋ,turmeric,,*sasaŋ,,"munda1968proto[p. 128, SEAlang record 1036]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1036.i128,,,,
PKher,pkh-667-102,*satɔm,year after next,,*satɔm,,"munda1968proto[p. 102, SEAlang record 667]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p667.i102,,,,
PKher,pkh-96-58,*sauɽi,kind of grass,,*sauɽi,,"munda1968proto[p. 58, SEAlang record 96]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p96.i58,,,,
PKher,pkh-1049-129,*saŋɡar,to hunt,,*saŋɡar,,"munda1968proto[p. 129, SEAlang record 1049]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1049.i129,,,,
PKher,pkh-116-59,*saŋɡil,to look up,,*saŋɡil,,"munda1968proto[p. 59, SEAlang record 116]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p116.i59,,,,
PKher,pkh-685-103,*saɖɛ̀,"to make noise, beat",,*saɖɛ̀,,"munda1968proto[p. 103, SEAlang record 685]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p685.i103,,,,
PKher,pkh-1014-127,*saɡaʔ,kind of grass,,*saɡaʔ,,"munda1968proto[p. 127, SEAlang record 1014]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1014.i127,,,,
PKher,pkh-499-89,*saɡɛn,"new leaf, shoot",,*saɡɛn,,"munda1968proto[p. 89, SEAlang record 499]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p499.i89,,,,
PKher,pkh-780-110,*saɽ,"to open, burst",,*saɽ,,"munda1968proto[p. 110, SEAlang record 780]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p780.i110,,,,
PKher,pkh-109-59,*saɽima,roof,,*saɽima,,"munda1968proto[p. 59, SEAlang record 109]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p109.i59,,,,
PKher,pkh-666-102,*saɽɡɔm,to step over,,*saɽɡɔm,,"munda1968proto[p. 102, SEAlang record 666]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p666.i102,,,,
PKher,pkh-4-51,*si,to plow,,*si,,"munda1968proto[p. 51, SEAlang record 4]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p4.i51,,,,
PKher,pkh-8-51,*sid,to pluck,,*sid,,"munda1968proto[p. 51, SEAlang record 8]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p8.i51,,,,
PKher,pkh-243-68,*sidub,to put vertically,,*sidub,,"munda1968proto[p. 68, SEAlang record 243]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p243.i68,,,,
PKher,pkh-244-68,*sikub,blunt,,*sikub,,"munda1968proto[p. 68, SEAlang record 244]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p244.i68,,,,
PKher,pkh-77-57,*silpiɲ,door,,*silpiɲ,,"munda1968proto[p. 57, SEAlang record 77]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p77.i57,,,,
PKher,pkh-77-57,*silpiŋ,door,,*silpiŋ,,"munda1968proto[p. 57, SEAlang record 77]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p77.i57:v2,munda1968proto:R:c3.p77.i57,,,
PKher,pkh-1353-148,*sim,chicken,,*sim,,"munda1968proto[p. 148, SEAlang record 1353]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1353.i148,,,,
PKher,pkh-64-56,*sipi,to wash the head,,*sipi,,"munda1968proto[p. 56, SEAlang record 64]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p64.i56,,,,
PKher,pkh-742-107,*sipɔ̀d,to mix,,*sipɔ̀d,,"munda1968proto[p. 107, SEAlang record 742]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p742.i107,,,,
PKher,pkh-36-53,*sirɔ̀m,kind of grass,,*sirɔ̀m,,"munda1968proto[p. 53, SEAlang record 36]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p36.i53,,,,
PKher,pkh-31-53,*sirɡad,rough,,*sirɡad,,"munda1968proto[p. 53, SEAlang record 31]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p31.i53,,,,
PKher,pkh-1066-130,*siŋɡaɽ,evening,,*siŋɡaɽ,,"munda1968proto[p. 130, SEAlang record 1066]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1066.i130,,,,
PKher,pkh-34-53,*siŋɡaɽ,morning,,*siŋɡaɽ,,"munda1968proto[p. 53, SEAlang record 34]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p34.i53,,,,
PKher,pkh-86-57,*siɖɡir,waterfall,,*siɖɡir,,"munda1968proto[p. 57, SEAlang record 86]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p86.i57,,,,
PKher,pkh-15-52,*siɲ,tree,,*siɲ,,"munda1968proto[p. 52, SEAlang record 15]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p15.i52,,,,
PKher,pkh-15-52,*siŋ,tree,,*siŋ,,"munda1968proto[p. 52, SEAlang record 15]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p15.i52:v2,munda1968proto:R:c3.p15.i52,,,
PKher,pkh-40-53,*siɲ-ɟɔ̀,kind of fruit,,*siɲ-ɟɔ̀,,"munda1968proto[p. 53, SEAlang record 40]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p40.i53,,,,
PKher,pkh-73-56,*siɳiɟ,to stink,,*siɳiɟ,,"munda1968proto[p. 56, SEAlang record 73]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p73.i56,,,,
PKher,pkh-182-63,*suba,root,,*suba,,"munda1968proto[p. 63, SEAlang record 182]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p182.i63,,,,
PKher,pkh-138-60,*sud,stream,,*sud,,"munda1968proto[p. 60, SEAlang record 138]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p138.i60,,,,
PKher,pkh-none-68,*suluɟ,snot,,*suluɟ,,munda1968proto[p. 68],,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p.i68,,,,
PKher,pkh-220-66x2,*sunduɟ,to hide,,*sunduɟ,,"munda1968proto[p. 66-2, SEAlang record 220]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p220.i66-2,,,,
PKher,pkh-229-67,*sunum,oil,,*sunum,,"munda1968proto[p. 67, SEAlang record 229]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p229.i67,,,,
PKher,pkh-159-62,*susi,pretext,,*susi,,"munda1968proto[p. 62, SEAlang record 159]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p159.i62,,,,
PKher,pkh-1382-149,*susun,to dance,,*susun,,"munda1968proto[p. 149, SEAlang record 1382]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1382.i149,,,,
PKher,pkh-183-63,*suŋɡa,to sting,,*suŋɡa,,"munda1968proto[p. 63, SEAlang record 183]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p183.i63,,,,
PKher,pkh-309-74,*sìbìl,tasty,,*sìbìl,,"munda1968proto[p. 74, SEAlang record 309]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p309.i74,,,,
PKher,pkh-301-73,*sìlìb,deer,,*sìlìb,,"munda1968proto[p. 73, SEAlang record 301]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p301.i73,,,,
PKher,pkh-305-73,*sìpìɲ,to hold on palms,,*sìpìɲ,,"munda1968proto[p. 73, SEAlang record 305]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p305.i73,,,,
PKher,pkh-305-73,*sìpìŋ,to hold on palms,,*sìpìŋ,,"munda1968proto[p. 73, SEAlang record 305]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p305.i73:v2,munda1968proto:R:c3.p305.i73,,,
PKher,pkh-297-72,*sìtùŋ,heat,,*sìtùŋ,,"munda1968proto[p. 72, SEAlang record 297]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p297.i72,,,,
PKher,pkh-315-74,*sù,to take out thorn (e.g. from foot),,*sù,,"munda1968proto[p. 74, SEAlang record 315]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p315.i74,,,,
PKher,pkh-1441-153,*sùkùl,smoke,,*sùkùl,,"munda1968proto[p. 153, SEAlang record 1441]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1441.i153,,,,
PKher,pkh-335-76,*sùpù,arm,,*sùpù,,"munda1968proto[p. 76, SEAlang record 335]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p335.i76,,,,
PKher,pkh-512-90,*sɔ,smell,,*sɔ,,"munda1968proto[p. 90, SEAlang record 512]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p512.i90,,,,
PKher,pkh-600-96,*sɔhɔb,"to insert, accommodate",,*sɔhɔb,,"munda1968proto[p. 96, SEAlang record 600]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p600.i96,,,,
PKher,pkh-643-99,*sɔhɔr,"to dart forward, stumble",,*sɔhɔr,,"munda1968proto[p. 99, SEAlang record 643]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p643.i99,,,,
PKher,pkh-567-94,*sɔkɽa,low land,,*sɔkɽa,,"munda1968proto[p. 94, SEAlang record 567]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p567.i94,,,,
PKher,pkh-610-96,*sɔmbɔd,to stumble,,*sɔmbɔd,,"munda1968proto[p. 96, SEAlang record 610]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p610.i96,,,,
PreMu,pkh-598-96,*sɔnd(ɔ)rɔ,pus,,*sɔnd(ɔ)rɔ,,"munda1968proto[p. 96, SEAlang record 598]",,Munda's reconstructed pre-Mundari reflex of pkh-598-96.,munda1968proto:R:c2.p598.i96,,,,
PKher,pkh-598-96,*sɔndɔrɔ,pus,,*sɔndɔrɔ,,"munda1968proto[p. 96, SEAlang record 598]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p598.i96,,,,
PKher,pkh-629-98,*sɔr(-l-)ɔʔ,to insert,,*sɔr(-l-)ɔʔ,,"munda1968proto[p. 98, SEAlang record 629]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p629.i98,,,,
PKher,pkh-620-97,*sɔsrɔɟ,locust,,*sɔsrɔɟ,,"munda1968proto[p. 97, SEAlang record 620]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p620.i97,,,,
PKher,pkh-620-97,*sɔsrɔd,locust,,*sɔsrɔd,,"munda1968proto[p. 97, SEAlang record 620]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p620.i97:v2,munda1968proto:R:c3.p620.i97,,,
PKher,pkh-513-90,*sɔsɔ,kind of fruit,,*sɔsɔ,,"munda1968proto[p. 90, SEAlang record 513]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p513.i90,,,,
PKher,pkh-530-91,*sɔŋ,to measure,,*sɔŋ,,"munda1968proto[p. 91, SEAlang record 530]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p530.i91,,,,
PKher,pkh-402-81,*sɔɛa,to rot,,*sɔɛa,,"munda1968proto[p. 81, SEAlang record 402]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p402.i81,,,,
PKher,pkh-582-94,*sɔɡaʔ,to peck,,*sɔɡaʔ,,"munda1968proto[p. 94, SEAlang record 582]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p582.i94,,,,
PKher,pkh-599-96,*sɔɽɔ,to enter,,*sɔɽɔ,,"munda1968proto[p. 96, SEAlang record 599]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p599.i96,,,,
PKher,pkh-717-105,*sɔ̀rkɔ̀d,to sip,,*sɔ̀rkɔ̀d,,"munda1968proto[p. 105, SEAlang record 717]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p717.i105,,,,
PKher,pkh-none-105,*sɔ̀ɽta,to change sides (e.g. while washing cattle),,*sɔ̀ɽta,,munda1968proto[p. 105],,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p.i105,,,,
PKher,pkh-471-87,*sɛ-n(ɛ)-hɔr,rafter,,*sɛ-n(ɛ)-hɔr,,"munda1968proto[p. 87, SEAlang record 471]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p471.i87,,,,
PKher,pkh-456-86x2,*sɛkrɛɟ,kind of tree,,*sɛkrɛɟ,,"munda1968proto[p. 86-2, SEAlang record 456]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p456.i86-2,,,,
PKher,pkh-444-85,*sɛlɛd,to mix,,*sɛlɛd,,"munda1968proto[p. 85, SEAlang record 444]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p444.i85,,,,
PKher,pkh-403-81,*sɛndɛra,to hunt,,*sɛndɛra,,"munda1968proto[p. 81, SEAlang record 403]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p403.i81,,,,
PKher,pkh-445-85,*sɛrɛd,to crash,,*sɛrɛd,,"munda1968proto[p. 85, SEAlang record 445]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p445.i85,,,,
PKher,pkh-404-81,*sɛta,dog,,*sɛta,,"munda1968proto[p. 81, SEAlang record 404]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p404.i81,,,,
PKher,pkh-411-82,*sɛtaʔ,morning,,*sɛtaʔ,,"munda1968proto[p. 82, SEAlang record 411]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p411.i82,,,,
PKher,pkh-1478-155,*sɛŋɡɛl,fire,,*sɛŋɡɛl,,"munda1968proto[p. 155, SEAlang record 1478]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1478.i155,,,,
PKher,pkh-472-87,*sɛʈɛr,to reach,,*sɛʈɛr,,"munda1968proto[p. 87, SEAlang record 472]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p472.i87,,,,
PKher,pkh-457-86,*sɛʈɛɟ,to husk,,*sɛʈɛɟ,,"munda1968proto[p. 86, SEAlang record 457]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p457.i86,,,,
PKher,pkh-677-102,*sɛ̀da(ɛ),ancient,,*sɛ̀da(ɛ),,"munda1968proto[p. 102, SEAlang record 677]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p677.i102,,,,adj
PKher,pkh-674-102,*sɛ̀rma,"sky, heaven",,*sɛ̀rma,,"munda1968proto[p. 102, SEAlang record 674]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p674.i102,,,,
PKher,pkh-755-108,*tab,to pierce,,*tab,,"munda1968proto[p. 108, SEAlang record 755]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p755.i108,,,,
PKher,pkh-500-89,*tabɛn,flattened rice,,*tabɛn,,"munda1968proto[p. 89, SEAlang record 500]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p500.i89,,,,
PKher,pkh-502-89,*tabɛr,to lie on stomach,,*tabɛr,,"munda1968proto[p. 89, SEAlang record 502]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p502.i89,,,,
PKher,pkh-502-89,*tawɛr,to lie on stomach,,*tawɛr,,"munda1968proto[p. 89, SEAlang record 502]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p502.i89:v2,munda1968proto:R:c3.p502.i89,,,
PKher,pkh-506-89,*tahɛr,cucumber,,*tahɛr,,"munda1968proto[p. 89, SEAlang record 506]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p506.i89,,,,
PKher,pkh-668-102,*tajɔm,back,,*tajɔm,,"munda1968proto[p. 102, SEAlang record 668]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p668.i102,,,,adv
PKher,pkh-735-106,*takɔ̀b,to strike,,*takɔ̀b,,"munda1968proto[p. 106, SEAlang record 735]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p735.i106,,,,
PKher,pkh-686-103,*takɔ̀ɛ̀,to spin,,*takɔ̀ɛ̀,,"munda1968proto[p. 103, SEAlang record 686]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p686.i103,,,,
PKher,pkh-982-125,*tala,middle,,*tala,,"munda1968proto[p. 125, SEAlang record 982]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p982.i125,,,,
PKher,pkh-983-125,*talsa,to shatter,,*talsa,,"munda1968proto[p. 125, SEAlang record 983]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p983.i125,,,,
PKher,pkh-770-109,*tam,to beat,,*tam,,"munda1968proto[p. 109, SEAlang record 770]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p770.i109,,,,
PKher,pkh-1017-127,*tapaʔ,to throw,,*tapaʔ,,"munda1968proto[p. 127, SEAlang record 1017]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1017.i127,,,,
PKher,pkh-115-59,*tapiɲ,to tap,,*tapiɲ,,"munda1968proto[p. 59, SEAlang record 115]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p115.i59,,,,
PKher,pkh-115-59,*tapiŋ,to tap,,*tapiŋ,,"munda1968proto[p. 59, SEAlang record 115]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p115.i59:v2,munda1968proto:R:c3.p115.i59,,,
PKher,pkh-278-71,*tapuʔ,to settle,,*tapuʔ,,"munda1968proto[p. 71, SEAlang record 278]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p278.i71,,,,
PKher,pkh-984-125,*tara,half,,*tara,,"munda1968proto[p. 125, SEAlang record 984]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p984.i125,,,,
PKher,pkh-268-70,*tarub,kind of animal,,*tarub,,"munda1968proto[p. 70, SEAlang record 268]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p268.i70,,,,
PKher,pkh-855-115,*taràn,shoulder,,*taràn,,"munda1968proto[p. 115, SEAlang record 855]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p855.i115,,,,
PKher,pkh-656-100,*tarɔb,kind of fruit,,*tarɔb,,"munda1968proto[p. 100, SEAlang record 656]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p656.i100,,,,
PKher,pkh-489-88,*tasɛ̀,"to spread, to dry",,*tasɛ̀,,"munda1968proto[p. 88, SEAlang record 489]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p489.i88,,,,
PKher,pkh-489-88,*tasɛ,"to spread, to dry",,*tasɛ,,"munda1968proto[p. 88, SEAlang record 489]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p489.i88:v2,munda1968proto:R:c3.p489.i88,,,
PKher,pkh-806-112,*tawiɟ,to draw,,*tawiɟ,,"munda1968proto[p. 112, SEAlang record 806]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p806.i112,,,,
PKher,pkh-97-58,*taŋɡi,to wait,,*taŋɡi,,"munda1968proto[p. 58, SEAlang record 97]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p97.i58,,,,
PKher,pkh-none-54x3,*ti,hand,,*ti,,munda1968proto[p. 54-3],,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p.i54-3,,,,
PKher,pkh-75-56,*tikin,noon,,*tikin,,"munda1968proto[p. 56, SEAlang record 75]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p75.i56,,,,
PKher,pkh-48-54,*tirub,to bow,,*tirub,,"munda1968proto[p. 54, SEAlang record 48]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p48.i54,,,,
PKher,pkh-65-56,*tiŋɡi,to light,,*tiŋɡi,,"munda1968proto[p. 56, SEAlang record 65]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p65.i56,,,,
PKher,pkh-11-51,*tiɟ,to lead by the hand,,*tiɟ,,"munda1968proto[p. 51, SEAlang record 11]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p11.i51,,,,
PKher,pkh-169-63,*tubɛ̀d,to feed,,*tubɛ̀d,,"munda1968proto[p. 63, SEAlang record 169]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p169.i63,,,,
PKher,pkh-184-63,*tuka,nest,,*tuka,,"munda1968proto[p. 63, SEAlang record 184]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p184.i63,,,,
PKher,pkh-222-67,*tukuɟ,to mend,,*tukuɟ,,"munda1968proto[p. 67, SEAlang record 222]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p222.i67,,,,
PKher,pkh-1161-136,*tulpa(ʔ),short,,*tulpa(ʔ),,"munda1968proto[p. 136, SEAlang record 1161]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1161.i136,,,,
PKher,pkh-212-66,*tumbud,to put into mouth,,*tumbud,,"munda1968proto[p. 66, SEAlang record 212]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p212.i66,,,,
PKher,pkh-230-67,*tunum,to feel by touching,,*tunum,,"munda1968proto[p. 67, SEAlang record 230]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p230.i67,,,,
