Koch,,sagu,sky,,sagu,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 1, site b Nokshi]",,,silkochbd2011:i001:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,ambok,mango,,ambok,lexical-similarity group 3,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 53, site q Uttor Nokshi]",,,silkochbd2011:i053:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,botʃor,mango,,botʃor,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 53, site r Chandabhoi]",,,silkochbd2011:i053:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,par,flower,,par,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 54, site b Nokshi]",,,silkochbd2011:i054:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,par,flower,,par,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 54, site c Kholchanda]",,,silkochbd2011:i054:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,ful,flower,,ful,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 54, site q Uttor Nokshi]",,,silkochbd2011:i054:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,par,flower,,par,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 54, site r Chandabhoi]",,,silkochbd2011:i054:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,bidʒ,seed,,bidʒ,lexical-similarity group 3,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 55, site c Kholchanda]",,,silkochbd2011:i055:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,biʃun,seed,,biʃun,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 55, site q Uttor Nokshi]",,,silkochbd2011:i055:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,kɛr,seed,,kɛr,lexical-similarity group 4,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 55, site r Chandabhoi]",,,silkochbd2011:i055:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,kosɛr,sugarcane,,kosɛr,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 56, site b Nokshi]",,,silkochbd2011:i056:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,kosɛr,sugarcane,,kosɛr,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 56, site c Kholchanda]",,,silkochbd2011:i056:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,koi̯har,sugarcane,,koi̯har,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 56, site q Uttor Nokshi]",,,silkochbd2011:i056:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,kosɛr,sugarcane,,kosɛr,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 56, site r Chandabhoi]",,,silkochbd2011:i056:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,goja,betelnut,,goja,lexical-similarity group 1 | 2,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 57, site b Nokshi]",,,silkochbd2011:i057:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,goja,betelnut,,goja,lexical-similarity group 1 | 2,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 57, site c Kholchanda]",,,silkochbd2011:i057:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,goi,betelnut,,goi,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 57, site q Uttor Nokshi]",,,silkochbd2011:i057:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,goja,betelnut,,goja,lexical-similarity group 1 | 2,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 57, site r Chandabhoi]",,,silkochbd2011:i057:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,tʃunu,lime for betelnut,,tʃunu,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 58, site b Nokshi]",,,silkochbd2011:i058:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,tʃunu,lime for betelnut,,tʃunu,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 58, site c Kholchanda]",,,silkochbd2011:i058:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,tʃun,lime for betelnut,,tʃun,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 58, site q Uttor Nokshi]",,,silkochbd2011:i058:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,tʃunu,lime for betelnut,,tʃunu,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 58, site r Chandabhoi]",,,silkochbd2011:i058:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,mɛra,liquor,,mɛra,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 59, site b Nokshi]",,,silkochbd2011:i059:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,mɛra,liquor,,mɛra,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 59, site c Kholchanda]",,,silkochbd2011:i059:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,tʃokot,liquor,,tʃokot,lexical-similarity group 4,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 59, site q Uttor Nokshi]",,,silkochbd2011:i059:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,mɛra,liquor,,mɛra,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 59, site r Chandabhoi]",,,silkochbd2011:i059:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,dudʰ,milk,,dudʰ,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 60, site b Nokshi]",,,silkochbd2011:i060:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,dudʰ,milk,,dudʰ,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 60, site c Kholchanda]",,,silkochbd2011:i060:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,dudʰ,milk,,dudʰ,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 60, site q Uttor Nokshi]",,,silkochbd2011:i060:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,dudʰ,milk,,dudʰ,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 60, site r Chandabhoi]",,,silkochbd2011:i060:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,tɛl,oil,,tɛl,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 61, site b Nokshi]",,,silkochbd2011:i061:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,tɛl,oil,,tɛl,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 61, site c Kholchanda]",,,silkochbd2011:i061:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,tɛl,oil,,tɛl,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 61, site q Uttor Nokshi]",,,silkochbd2011:i061:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,tɛl,oil,,tɛl,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 45, wordlist item 61, site r Chandabhoi]",,,silkochbd2011:i061:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,kan,meat,,kan,lexical-similarity group 4,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 62, site q Uttor Nokshi]",,,silkochbd2011:i062:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,sum,salt,,sum,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 63, site b Nokshi]",,,silkochbd2011:i063:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,sum,salt,,sum,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 63, site c Kholchanda]",,,silkochbd2011:i063:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,sum,salt,,sum,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 63, site q Uttor Nokshi]",,,silkochbd2011:i063:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,sum,salt,,sum,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 63, site r Chandabhoi]",,,silkochbd2011:i063:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,pia̯o̯,onion,,pia̯o̯,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 64, site b Nokshi]",,,silkochbd2011:i064:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,pia̯o̯,onion,,pia̯o̯,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 64, site c Kholchanda]",,,silkochbd2011:i064:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,pɛdʒɛk,onion,,pɛdʒɛk,lexical-similarity group 4,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 64, site q Uttor Nokshi]",,,silkochbd2011:i064:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,pia̯o̯,onion,,pia̯o̯,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 64, site r Chandabhoi]",,,silkochbd2011:i064:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,rɔʃun,garlic,,rɔʃun,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 65, site b Nokshi]",,,silkochbd2011:i065:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,rɔʃun,garlic,,rɔʃun,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 65, site c Kholchanda]",,,silkochbd2011:i065:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,rɔʃun,garlic,,rɔʃun,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 65, site q Uttor Nokshi]",,,silkochbd2011:i065:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,rɔʃun,garlic,,rɔʃun,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 65, site r Chandabhoi]",,,silkochbd2011:i065:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,dʒai̯luk,pepper,,dʒai̯luk,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 66, site q Uttor Nokshi]",,,silkochbd2011:i066:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,hati,elephant,,hati,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 67, site b Nokshi]",,,silkochbd2011:i067:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,hati,elephant,,hati,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 67, site c Kholchanda]",,,silkochbd2011:i067:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,hati,elephant,,hati,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 67, site q Uttor Nokshi]",,,silkochbd2011:i067:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,hati,elephant,,hati,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 67, site r Chandabhoi]",,,silkochbd2011:i067:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,maʃa,tiger,,maʃa,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 68, site q Uttor Nokshi]",,,silkochbd2011:i068:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,baluk,bear,,baluk,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 69, site b Nokshi]",,,silkochbd2011:i069:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,baluk,bear,,baluk,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 69, site c Kholchanda]",,,silkochbd2011:i069:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,bʰaluk,bear,,bʰaluk,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 69, site q Uttor Nokshi]",,,silkochbd2011:i069:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,baluk,bear,,baluk,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 69, site r Chandabhoi]",,,silkochbd2011:i069:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,matʃao̯,deer,,matʃao̯,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 70, site b Nokshi]",,,silkochbd2011:i070:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,matʃao̯,deer,,matʃao̯,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 70, site c Kholchanda]",,,silkochbd2011:i070:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,hogra,deer,,hogra,lexical-similarity group 4,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 70, site q Uttor Nokshi]",,,silkochbd2011:i070:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,matʃao̯,deer,,matʃao̯,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 70, site r Chandabhoi]",,,silkochbd2011:i070:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,kao̯ i,monkey,,kao̯ i,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 71, site b Nokshi]",,,silkochbd2011:i071:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,kao̯ i,monkey,,kao̯ i,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 71, site c Kholchanda]",,,silkochbd2011:i071:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,bandor,monkey,,bandor,lexical-similarity group 3,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 71, site q Uttor Nokshi]",,,silkochbd2011:i071:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,kawai̯,monkey,,kawai̯,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 71, site r Chandabhoi]",,,silkochbd2011:i071:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,hedʒabari,rabbit,,hedʒabari,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 72, site b Nokshi]",,,silkochbd2011:i072:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,hedʒabari,rabbit,,hedʒabari,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 72, site c Kholchanda]",,,silkochbd2011:i072:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,hedʒabari,rabbit,,hedʒabari,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 72, site q Uttor Nokshi]",,,silkochbd2011:i072:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,hedʒabari,rabbit,,hedʒabari,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 72, site r Chandabhoi]",,,silkochbd2011:i072:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,dupʰu,snake,,dupʰu,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 73, site b Nokshi]",,,silkochbd2011:i073:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,dupʰu,snake,,dupʰu,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 73, site r Chandabhoi]",,,silkochbd2011:i073:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,kumir,crocodile,,kumir,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 74, site b Nokshi]",,,silkochbd2011:i074:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,kumir,crocodile,,kumir,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 74, site c Kholchanda]",,,silkochbd2011:i074:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,kumir,crocodile,,kumir,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 74, site q Uttor Nokshi]",,,silkochbd2011:i074:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,kumir,crocodile,,kumir,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 74, site r Chandabhoi]",,,silkochbd2011:i074:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,nok dabrɛk,house lizard,,nok dabrɛk,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 75, site b Nokshi]",,,silkochbd2011:i075:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,nok dabrɛk,house lizard,,nok dabrɛk,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 75, site c Kholchanda]",,,silkochbd2011:i075:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,nok diba,house lizard,,nok diba,lexical-similarity group 4,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 75, site q Uttor Nokshi]",,,silkochbd2011:i075:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,nok dabrɛk,house lizard,,nok dabrɛk,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 75, site r Chandabhoi]",,,silkochbd2011:i075:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,kaʃin,turtle,,kaʃin,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 76, site b Nokshi]",,,silkochbd2011:i076:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,kaʃin,turtle,,kaʃin,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 76, site c Kholchanda]",,,silkochbd2011:i076:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,dura,turtle,,dura,lexical-similarity group 5,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 76, site q Uttor Nokshi]",,,silkochbd2011:i076:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,kaʃin,turtle,,kaʃin,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 46, wordlist item 76, site r Chandabhoi]",,,silkochbd2011:i076:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,bæŋ,frog,,bæŋ,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 47, wordlist item 77, site q Uttor Nokshi]",,,silkochbd2011:i077:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,kui,dog,,kui,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 47, wordlist item 78, site b Nokshi]",,,silkochbd2011:i078:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,kui,dog,,kui,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 47, wordlist item 78, site c Kholchanda]",,,silkochbd2011:i078:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,kui,dog,,kui,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 47, wordlist item 78, site q Uttor Nokshi]",,,silkochbd2011:i078:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,kui,dog,,kui,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 47, wordlist item 78, site r Chandabhoi]",,,silkochbd2011:i078:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,bilai̯,cat,,bilai̯,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 47, wordlist item 79, site b Nokshi]",,,silkochbd2011:i079:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,bilai̯,cat,,bilai̯,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 47, wordlist item 79, site c Kholchanda]",,,silkochbd2011:i079:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,mɛa̯o̯,cat,,mɛa̯o̯,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 47, wordlist item 79, site q Uttor Nokshi]",,,silkochbd2011:i079:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,bilai̯,cat,,bilai̯,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 47, wordlist item 79, site r Chandabhoi]",,,silkochbd2011:i079:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,maʔsu,cow,,maʔsu,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 47, wordlist item 80, site b Nokshi]",,,silkochbd2011:i080:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,maʔsu,cow,,maʔsu,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 47, wordlist item 80, site c Kholchanda]",,,silkochbd2011:i080:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,maʔʃu,cow,,maʔʃu,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 47, wordlist item 80, site q Uttor Nokshi]",,,silkochbd2011:i080:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
