Goj,,dʒhɑn,body,,dʒhɑn,source lexical-similarity group 1; source list Udhampur/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 1, list UDH]",,,sileasterngujari2023:p042:i001:UDH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-udhampur:Udhampur
Goj,,lɑlki,rainbow,,lɑlki,source lexical-similarity group 2; source list Dehradun/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 50, list DEH]",,,sileasterngujari2023:p050:i050:DEH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-dehra-dun:Dehra%20Dun
Goj,,piːŋg,rainbow,,piːŋg,source lexical-similarity group 1; source list Kotdwara/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 50, list KOT]",,,sileasterngujari2023:p050:i050:KOT:a1,,,,dialect:Goj:sil-eastern-gujari-1996-kotdwara:Kotdwara
Goj,,dhʌnuʃ,rainbow,,dhʌnuʃ,source lexical-similarity group 3; source list Kotdwara/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 50, list KOT]",,,sileasterngujari2023:p050:i050:KOT:a2,,,,dialect:Goj:sil-eastern-gujari-1996-kotdwara:Kotdwara
Goj,,piŋg,rainbow,,piŋg,source lexical-similarity group 1; source list Haldwani/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 50, list HAL]",,,sileasterngujari2023:p050:i050:HAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-haldwani:Haldwani
Goj,,tʃhʌʈi,wind,,tʃhʌʈi,source lexical-similarity group 1; source list Udhampur/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 51, list UDH]",,,sileasterngujari2023:p050:i051:UDH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-udhampur:Udhampur
Goj,,ʋɑ,wind,,ʋɑ,source lexical-similarity group 3; source list Jammu/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 51, list JAM]",,,sileasterngujari2023:p050:i051:JAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-jammu:Jammu
Goj,,hʌwɑ,wind,,hʌwɑ,source lexical-similarity group 2; source list Chamba/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 51, list CHA]",,,sileasterngujari2023:p050:i051:CHA:a1,,,,dialect:Goj:sil-eastern-gujari-1996-chamba:Chamba
Goj,,phɑɳɖo,wind,,phɑɳɖo,source lexical-similarity group 4; source list Chamba/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 51, list CHA]",,,sileasterngujari2023:p050:i051:CHA:a2,,,,dialect:Goj:sil-eastern-gujari-1996-chamba:Chamba
Goj,,bɑ,wind,,bɑ,source lexical-similarity group 3; source list Rampur/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 51, list RAM]",,,sileasterngujari2023:p050:i051:RAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-rampur:Rampur
Goj,,bɑ,wind,,bɑ,source lexical-similarity group 3; source list Nalagarh/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 51, list NAL]",,,sileasterngujari2023:p050:i051:NAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-nalagarh:Nalagarh
Goj,,hɑʋɑ,wind,,hɑʋɑ,source lexical-similarity group 2; source list Dehradun/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 51, list DEH]",,,sileasterngujari2023:p050:i051:DEH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-dehra-dun:Dehra%20Dun
Goj,,bɑ,wind,,bɑ,source lexical-similarity group 3; source list Kotdwara/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 51, list KOT]",,,sileasterngujari2023:p050:i051:KOT:a1,,,,dialect:Goj:sil-eastern-gujari-1996-kotdwara:Kotdwara
Goj,,bɑ,wind,,bɑ,source lexical-similarity group 3; source list Haldwani/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 51, list HAL]",,,sileasterngujari2023:p050:i051:HAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-haldwani:Haldwani
Goj,,bʌʈo,stone (fist-sized),,bʌʈo,source lexical-similarity group 1; source list Udhampur/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 52, list UDH]",,,sileasterngujari2023:p050:i052:UDH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-udhampur:Udhampur
Goj,,bʌʈɑ,stone (fist-sized),,bʌʈɑ,source lexical-similarity group 1; source list Jammu/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 52, list JAM]",,,sileasterngujari2023:p050:i052:JAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-jammu:Jammu
Goj,,pʌthːəɾ,stone (fist-sized),,pʌthːəɾ,source lexical-similarity group 3; source list Jammu/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 52, list JAM]",,,sileasterngujari2023:p050:i052:JAM:a2,,,,dialect:Goj:sil-eastern-gujari-1996-jammu:Jammu
Goj,,pʌthːəɾ,stone (fist-sized),,pʌthːəɾ,source lexical-similarity group 3; source list Chamba/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 52, list CHA]",,,sileasterngujari2023:p050:i052:CHA:a1,,,,dialect:Goj:sil-eastern-gujari-1996-chamba:Chamba
Goj,,pʌthʌɾ,stone (fist-sized),,pʌthʌɾ,source lexical-similarity group 3; source list Rampur/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 52, list RAM]",,,sileasterngujari2023:p050:i052:RAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-rampur:Rampur
Goj,,kupəɽ,stone (fist-sized),,kupəɽ,source lexical-similarity group 2; source list Nalagarh/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 52, list NAL]",,,sileasterngujari2023:p050:i052:NAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-nalagarh:Nalagarh
Goj,,ʊpəɽ,stone (fist-sized),,ʊpəɽ,source lexical-similarity group 2; source list Dehradun/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 52, list DEH]",,,sileasterngujari2023:p050:i052:DEH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-dehra-dun:Dehra%20Dun
Goj,,kupəɽ,stone (fist-sized),,kupəɽ,source lexical-similarity group 2; source list Kotdwara/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 52, list KOT]",,,sileasterngujari2023:p050:i052:KOT:a1,,,,dialect:Goj:sil-eastern-gujari-1996-kotdwara:Kotdwara
Goj,,kupəɽ,stone (fist-sized),,kupəɽ,source lexical-similarity group 2; source list Haldwani/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 52, list HAL]",,,sileasterngujari2023:p050:i052:HAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-haldwani:Haldwani
Goj,,ɾɑ,path (walking),,ɾɑ,source lexical-similarity group 1; source list Udhampur/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 53, list UDH]",,,sileasterngujari2023:p050:i053:UDH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-udhampur:Udhampur
Goj,,ɾʌstɔ,path (walking),,ɾʌstɔ,source lexical-similarity group 2; source list Jammu/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 53, list JAM]",,,sileasterngujari2023:p050:i053:JAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-jammu:Jammu
Goj,,ɾɑ,path (walking),,ɾɑ,source lexical-similarity group 1; source list Chamba/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 53, list CHA]",,,sileasterngujari2023:p050:i053:CHA:a1,,,,dialect:Goj:sil-eastern-gujari-1996-chamba:Chamba
Goj,,ɾɑ,path (walking),,ɾɑ,source lexical-similarity group 1; source list Rampur/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 53, list RAM]",,,sileasterngujari2023:p050:i053:RAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-rampur:Rampur
Goj,,ɾʌstɔ,path (walking),,ɾʌstɔ,source lexical-similarity group 2; source list Nalagarh/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 53, list NAL]",,,sileasterngujari2023:p050:i053:NAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-nalagarh:Nalagarh
Goj,,ɾʌstɑ,path (walking),,ɾʌstɑ,source lexical-similarity group 2; source list Dehradun/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 53, list DEH]",,,sileasterngujari2023:p050:i053:DEH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-dehra-dun:Dehra%20Dun
Goj,,ɾʌstɑ,path (walking),,ɾʌstɑ,source lexical-similarity group 2; source list Kotdwara/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 53, list KOT]",,,sileasterngujari2023:p050:i053:KOT:a1,,,,dialect:Goj:sil-eastern-gujari-1996-kotdwara:Kotdwara
Goj,,ɾʌstɔ,path (walking),,ɾʌstɔ,source lexical-similarity group 2; source list Haldwani/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 53, list HAL]",,,sileasterngujari2023:p050:i053:HAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-haldwani:Haldwani
Goj,,ɾeti,sand,,ɾeti,source lexical-similarity group 1; source list Udhampur/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 54, list UDH]",,,sileasterngujari2023:p050:i054:UDH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-udhampur:Udhampur
Goj,,ɾet,sand,,ɾet,source lexical-similarity group 1; source list Jammu/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 54, list JAM]",,,sileasterngujari2023:p050:i054:JAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-jammu:Jammu
Goj,,ɾet,sand,,ɾet,source lexical-similarity group 1; source list Chamba/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 54, list CHA]",,,sileasterngujari2023:p050:i054:CHA:a1,,,,dialect:Goj:sil-eastern-gujari-1996-chamba:Chamba
Goj,,ɾet,sand,,ɾet,source lexical-similarity group 1; source list Rampur/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 54, list RAM]",,,sileasterngujari2023:p050:i054:RAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-rampur:Rampur
Goj,,ɾet,sand,,ɾet,source lexical-similarity group 1; source list Nalagarh/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 54, list NAL]",,,sileasterngujari2023:p050:i054:NAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-nalagarh:Nalagarh
Goj,,ɾet,sand,,ɾet,source lexical-similarity group 1; source list Dehradun/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 54, list DEH]",,,sileasterngujari2023:p050:i054:DEH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-dehra-dun:Dehra%20Dun
Goj,,ɾet,sand,,ɾet,source lexical-similarity group 1; source list Kotdwara/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 54, list KOT]",,,sileasterngujari2023:p050:i054:KOT:a1,,,,dialect:Goj:sil-eastern-gujari-1996-kotdwara:Kotdwara
Goj,,ɾet,sand,,ɾet,source lexical-similarity group 1; source list Haldwani/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 50, printed p. 42, item 54, list HAL]",,,sileasterngujari2023:p050:i054:HAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-haldwani:Haldwani
Goj,,ɑg,fire,,ɑg,source lexical-similarity group 1; source list Udhampur/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 55, list UDH]",,,sileasterngujari2023:p051:i055:UDH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-udhampur:Udhampur
Goj,,ʌg,fire,,ʌg,source lexical-similarity group 1; source list Jammu/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 55, list JAM]",,,sileasterngujari2023:p051:i055:JAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-jammu:Jammu
Goj,,ʌg,fire,,ʌg,source lexical-similarity group 1; source list Chamba/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 55, list CHA]",,,sileasterngujari2023:p051:i055:CHA:a1,,,,dialect:Goj:sil-eastern-gujari-1996-chamba:Chamba
Goj,,ʌg,fire,,ʌg,source lexical-similarity group 1; source list Rampur/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 55, list RAM]",,,sileasterngujari2023:p051:i055:RAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-rampur:Rampur
Goj,,ʌg,fire,,ʌg,source lexical-similarity group 1; source list Nalagarh/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 55, list NAL]",,,sileasterngujari2023:p051:i055:NAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-nalagarh:Nalagarh
Goj,,ʌg,fire,,ʌg,source lexical-similarity group 1; source list Dehradun/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 55, list DEH]",,,sileasterngujari2023:p051:i055:DEH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-dehra-dun:Dehra%20Dun
Goj,,ʌg,fire,,ʌg,source lexical-similarity group 1; source list Kotdwara/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 55, list KOT]",,,sileasterngujari2023:p051:i055:KOT:a1,,,,dialect:Goj:sil-eastern-gujari-1996-kotdwara:Kotdwara
Goj,,ʌg,fire,,ʌg,source lexical-similarity group 1; source list Haldwani/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 55, list HAL]",,,sileasterngujari2023:p051:i055:HAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-haldwani:Haldwani
Goj,,tuŋo,smoke,,tuŋo,source lexical-similarity group 1; source list Udhampur/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 56, list UDH]",,,sileasterngujari2023:p051:i056:UDH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-udhampur:Udhampur
Goj,,thũõ,smoke,,thũõ,source lexical-similarity group 1; source list Jammu/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 56, list JAM]",,,sileasterngujari2023:p051:i056:JAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-jammu:Jammu
Goj,,thũõ,smoke,,thũõ,source lexical-similarity group 1; source list Chamba/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 56, list CHA]",,,sileasterngujari2023:p051:i056:CHA:a1,,,,dialect:Goj:sil-eastern-gujari-1996-chamba:Chamba
Goj,,thũõ,smoke,,thũõ,source lexical-similarity group 1; source list Rampur/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 56, list RAM]",,,sileasterngujari2023:p051:i056:RAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-rampur:Rampur
Goj,,thũõ,smoke,,thũõ,source lexical-similarity group 1; source list Nalagarh/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 56, list NAL]",,,sileasterngujari2023:p051:i056:NAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-nalagarh:Nalagarh
Goj,,thũõ,smoke,,thũõ,source lexical-similarity group 1; source list Dehradun/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 56, list DEH]",,,sileasterngujari2023:p051:i056:DEH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-dehra-dun:Dehra%20Dun
Goj,,thũõ,smoke,,thũõ,source lexical-similarity group 1; source list Kotdwara/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 56, list KOT]",,,sileasterngujari2023:p051:i056:KOT:a1,,,,dialect:Goj:sil-eastern-gujari-1996-kotdwara:Kotdwara
Goj,,thũõ,smoke,,thũõ,source lexical-similarity group 1; source list Haldwani/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 56, list HAL]",,,sileasterngujari2023:p051:i056:HAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-haldwani:Haldwani
Goj,,swɑgo,ash,,swɑgo,source lexical-similarity group 1; source list Udhampur/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 57, list UDH]",,,sileasterngujari2023:p051:i057:UDH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-udhampur:Udhampur
Goj,,sowɑ,ash,,sowɑ,source lexical-similarity group 2; source list Jammu/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 57, list JAM]",,,sileasterngujari2023:p051:i057:JAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-jammu:Jammu
Goj,,swɑgo,ash,,swɑgo,source lexical-similarity group 1; source list Chamba/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 57, list CHA]",,,sileasterngujari2023:p051:i057:CHA:a1,,,,dialect:Goj:sil-eastern-gujari-1996-chamba:Chamba
Goj,,sowɑ,ash,,sowɑ,source lexical-similarity group 2; source list Rampur/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 57, list RAM]",,,sileasterngujari2023:p051:i057:RAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-rampur:Rampur
Goj,,sowɑ,ash,,sowɑ,source lexical-similarity group 2; source list Nalagarh/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 57, list NAL]",,,sileasterngujari2023:p051:i057:NAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-nalagarh:Nalagarh
Goj,,soɑ,ash,,soɑ,source lexical-similarity group 2; source list Dehradun/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 57, list DEH]",,,sileasterngujari2023:p051:i057:DEH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-dehra-dun:Dehra%20Dun
Goj,,sowɑ,ash,,sowɑ,source lexical-similarity group 2; source list Kotdwara/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 57, list KOT]",,,sileasterngujari2023:p051:i057:KOT:a1,,,,dialect:Goj:sil-eastern-gujari-1996-kotdwara:Kotdwara
Goj,,sowɑ,ash,,sowɑ,source lexical-similarity group 2; source list Haldwani/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 57, list HAL]",,,sileasterngujari2023:p051:i057:HAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-haldwani:Haldwani
Goj,,tʃikoɽ,mud (wet),,tʃikoɽ,source lexical-similarity group 1; source list Udhampur/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 58, list UDH]",,,sileasterngujari2023:p051:i058:UDH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-udhampur:Udhampur
Goj,,gɑɽo,mud (wet),,gɑɽo,source lexical-similarity group 2; source list Jammu/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 58, list JAM]",,,sileasterngujari2023:p051:i058:JAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-jammu:Jammu
Goj,,tʃikəɽ,mud (wet),,tʃikəɽ,source lexical-similarity group 1; source list Chamba/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 58, list CHA]",,,sileasterngujari2023:p051:i058:CHA:a1,,,,dialect:Goj:sil-eastern-gujari-1996-chamba:Chamba
Goj,,pjõ,mud (wet),,pjõ,source lexical-similarity group 3; source list Chamba/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 58, list CHA]",,,sileasterngujari2023:p051:i058:CHA:a2,,,,dialect:Goj:sil-eastern-gujari-1996-chamba:Chamba
Goj,,tʃikəɽ,mud (wet),,tʃikəɽ,source lexical-similarity group 1; source list Rampur/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 58, list RAM]",,,sileasterngujari2023:p051:i058:RAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-rampur:Rampur
Goj,,gɑɾo,mud (wet),,gɑɾo,source lexical-similarity group 2; source list Nalagarh/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 58, list NAL]",,,sileasterngujari2023:p051:i058:NAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-nalagarh:Nalagarh
Goj,,tʃikʌɽ,mud (wet),,tʃikʌɽ,source lexical-similarity group 1; source list Dehradun/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 58, list DEH]",,,sileasterngujari2023:p051:i058:DEH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-dehra-dun:Dehra%20Dun
Goj,,gɑɽo,mud (wet),,gɑɽo,source lexical-similarity group 2; source list Kotdwara/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 58, list KOT]",,,sileasterngujari2023:p051:i058:KOT:a1,,,,dialect:Goj:sil-eastern-gujari-1996-kotdwara:Kotdwara
Goj,,gɑɾo,mud (wet),,gɑɾo,source lexical-similarity group 2; source list Haldwani/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 58, list HAL]",,,sileasterngujari2023:p051:i058:HAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-haldwani:Haldwani
Goj,,mɪʈi,dust,,mɪʈi,source lexical-similarity group 1; source list Udhampur/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 59, list UDH]",,,sileasterngujari2023:p051:i059:UDH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-udhampur:Udhampur
Goj,,mɪʈːi,dust,,mɪʈːi,source lexical-similarity group 1; source list Jammu/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 59, list JAM]",,,sileasterngujari2023:p051:i059:JAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-jammu:Jammu
Goj,,tuɽ,dust,,tuɽ,source lexical-similarity group 3; source list Jammu/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 59, list JAM]",,,sileasterngujari2023:p051:i059:JAM:a2,,,,dialect:Goj:sil-eastern-gujari-1996-jammu:Jammu
Goj,,mɪʈːi,dust,,mɪʈːi,source lexical-similarity group 1; source list Chamba/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 59, list CHA]",,,sileasterngujari2023:p051:i059:CHA:a1,,,,dialect:Goj:sil-eastern-gujari-1996-chamba:Chamba
Goj,,dudʌɽ,dust,,dudʌɽ,source lexical-similarity group 2; source list Chamba/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 59, list CHA]",,,sileasterngujari2023:p051:i059:CHA:a2,,,,dialect:Goj:sil-eastern-gujari-1996-chamba:Chamba
Goj,,dudʌɽ,dust,,dudʌɽ,source lexical-similarity group 2; source list Rampur/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 59, list RAM]",,,sileasterngujari2023:p051:i059:RAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-rampur:Rampur
Goj,,mɪʈːi,dust,,mɪʈːi,source lexical-similarity group 1; source list Nalagarh/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 59, list NAL]",,,sileasterngujari2023:p051:i059:NAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-nalagarh:Nalagarh
Goj,,dudʌɽ,dust,,dudʌɽ,source lexical-similarity group 2; source list Nalagarh/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 59, list NAL]",,,sileasterngujari2023:p051:i059:NAL:a2,,,,dialect:Goj:sil-eastern-gujari-1996-nalagarh:Nalagarh
Goj,,dhuɾ,dust,,dhuɾ,source lexical-similarity group 3; source list Nalagarh/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 59, list NAL]",,,sileasterngujari2023:p051:i059:NAL:a3,,,,dialect:Goj:sil-eastern-gujari-1996-nalagarh:Nalagarh
Goj,,mɪʈːi,dust,,mɪʈːi,source lexical-similarity group 1; source list Dehradun/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 59, list DEH]",,,sileasterngujari2023:p051:i059:DEH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-dehra-dun:Dehra%20Dun
Goj,,mɪʈːi,dust,,mɪʈːi,source lexical-similarity group 1; source list Kotdwara/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 51, printed p. 43, item 59, list KOT]",,,sileasterngujari2023:p051:i059:KOT:a1,,,,dialect:Goj:sil-eastern-gujari-1996-kotdwara:Kotdwara
