sanu,n932,viːr′i,language; word; affair,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
ktivi,n937,vac̣′e-,crush; castrate,,,[+],strand,,,,,,,verb tr dialect:Katavari%3A%20Ktivi
Kam,n937,vic̣′a-,crush; castrate,,,[+],strand,,,,,,,verb tr dialect:Kamviri
sanu,n937,vič-′ie-,crush; castrate,,,[+],strand,,,,,,,verb tr dialect:Ashkun%3A%20Sanu
nis,n937,oc̣u˜,crush; castrate,,,[+],strand,,,,,,,verb tr dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n940,ur′e-,"grow (out or up) [grass, hair, etc.]",,,[+],strand,,,,,,,verb intr dialect:Katavari%3A%20Ktivi
Kam,n940,vâr′a-,"grow (out or up) [grass, hair, etc.]",,,[+],strand,,,,,,,verb intr dialect:Kamviri
supu,n943,ur′i,village policeman,,,[+],strand,,,,,,,noun dialect:Prasun%3A%20Supu
Kam,n943,ur′a,village policeman,,,[+],strand,,,,,,,noun dialect:Kamviri
sec,n947,purd′u,old,,,,morgenstierne,,,,,,,adj dialect:Prasun%3A%20Sec
sec,n947,purdi,old,,,,morgenstierne,,,,,,,adj f dialect:Prasun%3A%20Sec
ktivi,n947,pard′a,old (animate),,,,strand,,,,,,,adj dialect:Katavari%3A%20Ktivi
Kam,n947,purd′a,old (animate),,,,strand,,,,,,,adj dialect:Kamviri
Kam,n949,′ur bu-,accrue interest,,,[+],strand,,,,,,,verb intr dialect:Kamviri
nis,n949,baḍ,bribe,,,[+],strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
usut,n952,′usću,year,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Usut
sec,n952,vuć′u,year,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
ktivi,n956,vać′uř,calf (to 6 months),,,,strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n956,vâć′ař,calf (to 6 months),,,,strand,,,,,,,noun dialect:Kamviri
sanu,n958,oćal′a,calf (to 6 months),,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n958,oćala,calf (to 12 months),,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
gamb,n958,većel′i,calf,,,,morgenstierne,,,,,,,noun dialect:Tregami%3A%20Gambir
gamb,n958,većel′a,calf,,,,morgenstierne,,,,,,,noun dialect:Tregami%3A%20Gambir
ktivi,n962,v′uv,daughter-in-law; wife of a p′itr,,,,strand,,,,,,,noun f dialect:Katavari%3A%20Ktivi
Kam,n962,v′u,daughter-in-law; wife of a p′ütr,,,,strand,,,,,,,noun f dialect:Kamviri
sanu,n962,v′au,daughter-in-law,,,,strand,,,,,,,noun f dialect:Ashkun%3A%20Sanu
vagal,n962,vov,descendant's wife,,,,strand,,,,,,,noun f dialect:Nuristani%20Kalasha%3A%20Vagal
nis,n962,vov,daughter-in-law; wife of a zaga,,,,strand,,,,,,,noun f dialect:Nuristani%20Kalasha%3A%20Nisheigram
sec,n966,vas,day (24-hour period beginning at sunset),,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
ktivi,n966,v′os,day (24-hour period starting at sundown),,,,strand,,,,,,,noun f dialect:Katavari%3A%20Ktivi
Kam,n966,v′os,day (24-hour period starting at sundown),,,,strand,,,,,,,noun f dialect:Kamviri
sanu,n966,v′âːs,day (24-hour period starting at sundown),,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n966,vâs,day (24-hour period starting at sundown),,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
gamb,n966,v′âs,day,,,[+],morgenstierne,,,,,,,noun dialect:Tregami%3A%20Gambir
sec,n970,voza-,spend the night,,,[+; v. T. 11435.1 v′asati ‘stays; dwells’],morgenstierne,,,,,,,verb dialect:Prasun%3A%20Sec
ktivi,n970,vas′e-,stay overnight,,,[+; v. T. 11435.1 v′asati ‘stays; dwells’],strand,,,,,,,verb intr dialect:Katavari%3A%20Ktivi
Kam,n970,vâs′a-,stay overnight,,,[+; v. T. 11435.1 v′asati ‘stays; dwells’],strand,,,,,,,verb intr dialect:Kamviri
ktivi,n974,vâs′a,female goat (full-grown),,,,strand,,,,,,,noun f dialect:Katavari%3A%20Ktivi
Kam,n974,vâs′a,female goat (full-grown),,,,strand,,,,,,,noun f dialect:Kamviri
sanu,n974,vas′a,female goat (full-grown),,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n974,ose˜,female goat (full-grown),,,,strand,,,,,,,noun f dialect:Nuristani%20Kalasha%3A%20Nisheigram
gamb,n974,vas′â,goat,,,[+],morgenstierne,,,,,,,noun dialect:Tregami%3A%20Gambir
sec,n978,ust′i,spring (season),,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
ktivi,n978,vas′ut,spring,,,,strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n978,vâs′ut,spring,,,,strand,,,,,,,noun dialect:Kamviri
sanu,n978,vos′o˜t,spring,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
sanu,n978,vâsanta,summer,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n978,osu˜t,summer,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
gamb,n978,vos′o˜t,summer,,,,morgenstierne,,,,,,,noun dialect:Tregami%3A%20Gambir
sec,n982,v′orik,wool,,,[+; or < *vr̥a-na-kka- NTS 17:311; v. Hamp 131],morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
sec,n982,v′orik,wool,,,[+; or < *vr̥a-na-kka- NTS 17:311; v. Hamp 131],morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
Kam,n982,vâr′uk,wool,,,[+; or < *vr̥a-na-kka- NTS 17:311; v. Hamp 131],strand,,,,,,,noun dialect:Kamviri
sanu,n982,vor′oːk,wool,,,[+; or < *vr̥a-na-kka- NTS 17:311; v. Hamp 131],strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n982,varak,wool,,,[+; or < *vr̥a-na-kka- NTS 17:311; v. Hamp 131],strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n986,v′or,time; turn,,,[+],strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n986,v′or,time; turn,,,[+],strand,,,,,,,noun dialect:Kamviri
Kam,n986,-vor,,,,,strand,,,,,,,noun dialect:Kamviri
sanu,n986,v′âːr,time; turn,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n986,-bâr,,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
nis,n986,bâr,turn,,,[+],strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n988,v′o,having; one who has [something],,,[+; < nonnasalized form],strand,,,,,,,adj dialect:Katavari%3A%20Ktivi
Kam,n988,v′o,having; one who has [something],,,[+; < nonnasalized form],strand,,,,,,,adj dialect:Kamviri
sanu,n989,"-oâ, -bâ, -â",,,,[+; < nonnasalized form],strand,,,,,,,spatial dialect:Ashkun%3A%20Sanu
nis,n989,-ba,,,,[+; < nonnasalized form],strand,,,,,,,spatial dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n993,ušp′i,small bee,,,,strand,,,,,,,noun f dialect:Katavari%3A%20Ktivi
Kam,n993,ušp′ik,small bee,,,,strand,,,,,,,noun f dialect:Kamviri
nis,n993,višpik,wasp; small bee,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n994,vugaṭ′e-,dig up; tear down [a building],,,,strand,,,,,,,verb dialect:Katavari%3A%20Ktivi
Kam,n994,ukṭ′a-,dig up; tear down [a building],,,,strand,,,,,,,verb tr dialect:Kamviri
sanu,n994,uk′ât-ie-,dig up; tear down [a building],,,,strand,,,,,,,verb tr dialect:Ashkun%3A%20Sanu
ktivi,n996,âvz′eřa,last night,,,"[cf. Khowar wezén, Avestan uz-aya-ra; BSOAS 8:670]",strand,,,,,,,adv dialect:Katavari%3A%20Ktivi
Kam,n996,′âaźaň,last night,,,"[cf. Khowar wezén, Avestan uz-aya-ra; BSOAS 8:670]",strand,,,,,,,adv dialect:Kamviri
nis,n996,âza,last night,,,"[cf. Khowar wezén, Avestan uz-aya-ra; BSOAS 8:670]",strand,,,,,,,spatial temporal dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n997,âvš′a,iron spatula,,,,strand,,,,,,,noun f dialect:Katavari%3A%20Ktivi
Kam,n997,′uše˜,iron spatula,,,,strand,,,,,,,noun f dialect:Kamviri
sanu,n997,vaus′a˜,iron spatula,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n997,üša˜,griddle-scraper,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n998,âvṭ′e-,skin,,,,strand,,,,,,,verb tr dialect:Katavari%3A%20Ktivi
Kam,n998,′uaṭa-,skin,,,,strand,,,,,,,verb tr dialect:Kamviri
sanu,n998,uṭ-′ie-,flay,,,,strand,,,,,,,verb tr dialect:Ashkun%3A%20Sanu
sec,n999,uṣl′uk,waterfall,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
ktivi,n999,uṣ′ol,waterfall,,,,strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n999,uṣ′aloa˜,waterfall,,,,strand,,,,,,,noun dialect:Kamviri
Kam,n1000,ur′on bu-,"be ruined, destroyed",,,,strand,,,,,,,verb intr dialect:Kamviri
sec,n1001,vut,sacrificing priest,,,[- T. 14176.2 hotraka- ‘priest’ because of unretained tr; cf. ut′o ‘great’],morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
sec,n1001,ut′o,sacrificing priest,,,[- T. 14176.2 hotraka- ‘priest’ because of unretained tr; cf. ut′o ‘great’],morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
supu,n1001,′ut,sacrificing priest (pre-Islamic),,,[- T. 14176.2 hotraka- ‘priest’ because of unretained tr; cf. ut′o ‘great’],strand,,,,,,,noun dialect:Prasun%3A%20Supu
ktivi,n1001,ut′o,"sacrificing priest (pre-Islamic), a hereditary role ascribed to a ut′o Dâra of the senior descent line",,,[- T. 14176.2 hotraka- ‘priest’ because of unretained tr; cf. ut′o ‘great’],strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n1001,ut′o,"sacrificing priest (pre-Islamic), a hereditary role ascribed to a Ut′o Dâra of the senior descent line",,,[- T. 14176.2 hotraka- ‘priest’ because of unretained tr; cf. ut′o ‘great’],strand,,,,,,,noun dialect:Kamviri
nis,n1001,uta,sacrificing priest (pre-Islamic),,,[- T. 14176.2 hotraka- ‘priest’ because of unretained tr; cf. Kmv. ut′o ‘great’],strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
usut,n1004,l-,up,,,[v. Buddruss 1977; - T. 251 *adhi-ka- ‘high’],buddruss,,,,,,,dir dialect:Prasun%3A%20Usut
usut,n1008,ž-,upriver,,,,buddruss,,,,,,,dir dialect:Prasun%3A%20Usut
Kam,n1008,č′a,"up (against the direction of gravitational flow; e.g., upstream; away from the door inside a room)",,,[+; v. Morgenstierne 1949: 230],strand,,,,,,,dir dialect:Kamviri
sec,n1011,′ül,belly,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
ktivi,n1012,ukř′am,scaffolded walkway across a rock face,,,,strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n1012,ugř′om,scaffolded walkway across a rock face,,,,strand,,,,,,,noun dialect:Kamviri
nis,n1012,ugâ,scaffolded walkway across a rock face,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
sec,1946,ag′am,roof,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
sec,1641,vü-čor-og-ast-o,they came out,,,,morgenstierne,,,,,,,verb dialect:Prasun%3A%20Sec
sec,1648,učüg′u,bitter,,,,morgenstierne,,,,,,,adj dialect:Prasun%3A%20Sec
sec,1660a,uz′ogur,knee,,,[= T. 1660a],morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
Kam,1845.1,uc̣′ara-,peel off,,,[+; whence c̣? perhaps < *ava-kṣur-a- ‘*cut off’?],strand,,,,,,,verb intr dialect:Kamviri
Kam,1858.2,uc̣′â-,make [something] upright or vertical,,,[+],strand,,,,,,,verb tr dialect:Kamviri
Kam,1983,ud′ařâ-,thunder,,,[+?],strand,,,,,,,verb intr dialect:Kamviri
nis,2023,üdüp,sweat,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
nis,1814.2,upuna,son (impolite),,,[+],strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,1832,âps′e-,swell up,,,[â- instead of ud-],strand,,,,,,,verb intr dialect:Katavari%3A%20Ktivi
Kam,1832,âps′a-,swell up,,,[â- instead of ud-],strand,,,,,,,verb intr dialect:Kamviri
sec,2083,basa,smell,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
ktivi,n1013,vusać′e-,be frightened off; stampede,,,,strand,,,,,,,verb intr dialect:Katavari%3A%20Ktivi
Kam,n1013,uć′a-,be frightened off; stampede,,,,strand,,,,,,,verb intr dialect:Kamviri
nis,n1013,vićavâ-,make (an animal) jerk or shake,,,[?],strand,,,,,,,verb tr dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n1013,usć′eř,wild; untamed (livestock); feral,,,,strand,,,,,,,adj dialect:Katavari%3A%20Ktivi
Kam,n1013,uć′aň,wild; untamed (livestock); feral,,,,strand,,,,,,,adj dialect:Kamviri
usut,2387,üšč′ur,camel,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Usut
sec,2387,ušty′ur,camel,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
sec,n1018,ẓ′uvi,fox,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
ktivi,n1018,řav′eki,fox,,,,strand,,,,,,,noun f dialect:Katavari%3A%20Ktivi
Kam,n1018,vř′ika,fox,,,,strand,,,,,,,noun f dialect:Kamviri
sanu,n1018,ẓoːk′i,fox,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n1022,livaša,fox,,,[doubtful Pok. 655 lē̆b- ‘hang down loosely’],strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
gamb,n1022,lavuš′ek,jackal,,,[+; doubtful Pok. 655 lē̆b- ‘hang down loosely’],morgenstierne,,,,,,,noun dialect:Tregami%3A%20Gambir
Kam,n1023,ül′üs,crowd of arguing men,,,,strand,,,,,,,noun dialect:Kamviri
sanu,n1024,un′âu,"meadow, grassy spot",,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n1024,ünev,meadow,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
nis,2302,panâv,a kind of sock,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
sec,2294,vogv′ik,finger-ring,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
nis,2303,vâ˜t,a hamlet at the lower end of Kalaṣüm,,,,strand,,,,,,,spatial dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n1025,vać′o,red leather boot,,,,strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n1025,vâć′o,red leather boot,,,,strand,,,,,,,noun dialect:Kamviri
sanu,n1025,vâć′â,red leather boot,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n1025,oćä,red leather boot,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
sec,n1026,vaz′ala,goatskin boot,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
nis,n1030,var,"up (against the direction of gravitational flow; e.g., upstream; away from the door inside a room)",,,[+],strand,,,,,,,dir dialect:Nuristani%20Kalasha%3A%20Nisheigram
nis,n1033,vari,"up (against the direction of gravitational flow; e.g., upstream; away from the door inside a room)",,,,strand,,,,,,,spatial dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n1037,′u,straight up,,,,strand,,,,,,,dir dialect:Katavari%3A%20Ktivi
Kam,n1037,′u,straight up,,,,strand,,,,,,,dir dialect:Kamviri
sanu,n1037,o,straight up,,,,strand,,,,,,,dir dialect:Ashkun%3A%20Sanu
nis,n1037,o,straight up,,,,strand,,,,,,,dir dialect:Nuristani%20Kalasha%3A%20Nisheigram
sec,2329,üt′ünyok,cultivated field,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
supu,2329,ütny′ok,cultivated field,,,,strand,,,,,,,noun dialect:Prasun%3A%20Supu
usut,n1040,ir′e,udder,,,[correct PIE etymology?],morgenstierne,,,,,,,noun dialect:Prasun%3A%20Usut
nis,n1040,uṛ,udder,,,[whence ṛ?],strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
usut,n1041,o-,around,,,,buddruss,,,,,,,dir dialect:Prasun%3A%20Usut
ktivi,n1041,vu,near; by; around,,,,strand,,,,,,,spatial dialect:Katavari%3A%20Ktivi
Kam,n1041,u,near; by; around,,,,strand,,,,,,,spatial dialect:Kamviri
sec,n1045,indr,Indra,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
Kam,n1045,′inra,name of a pre-Islamic god,,,,strand,,,,,,,noun dialect:Kamviri
sanu,n1045,′indra,name of a pre-Islamic god,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n1045,indr,"Indra, name of a pre-Islamic god",,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n1046,idr′ić,earthquake,,,,strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n1046,inr′aṣ,earthquake,,,,strand,,,,,,,noun dialect:Kamviri
sec,n1051,vâm′i,sheep,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
nis,n1051,vame,sheep; ewe,,,,strand,,,,,,,noun f dialect:Nuristani%20Kalasha%3A%20Nisheigram
gamb,n1051,vem′i,sheep,,,[+],morgenstierne,,,,,,,noun dialect:Tregami%3A%20Gambir
ktivi,n1053,v′e,female sheep (full grown),,,,strand,,,,,,,noun f dialect:Katavari%3A%20Ktivi
Kam,n1053,v′e,female sheep (full grown),,,[+; -T. 895 *avimaya-],strand,,,,,,,noun f dialect:Kamviri
zumu,n1057,âst,eight,,,,morgenstierne,,,,,,,num dialect:Prasun%3A%20Zumu
sec,n1057,′âsta,eight,,,,morgenstierne,,,,,,,num dialect:Prasun%3A%20Sec
ktivi,n1058,′usṭ,eight,,,,strand,,,,,,,num dialect:Katavari%3A%20Ktivi
Kam,n1058,′usṭ,eight,,,,strand,,,,,,,num dialect:Kamviri
sanu,n1058,′oːsṭ,eight,,,,strand,,,,,,,num dialect:Ashkun%3A%20Sanu
nis,n1058,osṭ,eight,,,,strand,,,,,,,num dialect:Nuristani%20Kalasha%3A%20Nisheigram
gamb,n1058,v′oṣṭ,eight,,,[+],morgenstierne,,,,,,,num dialect:Tregami%3A%20Gambir
zumu,n1061,âsl′iz,eighteen,,,,morgenstierne,,,,,,,num dialect:Prasun%3A%20Zumu
sec,n1061,âstl′iz,eighteen,,,,morgenstierne,,,,,,,num dialect:Prasun%3A%20Sec
ktivi,n1062,sṭ′ić,eighteen,,,,strand,,,,,,,num dialect:Katavari%3A%20Ktivi
Kam,n1062,âsṭ′ić,eighteen,,,,strand,,,,,,,num dialect:Kamviri
sanu,n1063,âsṭ′âːs,eighteen,,,,strand,,,,,,,num dialect:Ashkun%3A%20Sanu
nis,n1063,sṭâš,eighteen,,,,strand,,,,,,,num dialect:Nuristani%20Kalasha%3A%20Nisheigram
gamb,n1063,ṣṭ′âš,eighteen,,,[+],morgenstierne,,,,,,,num dialect:Tregami%3A%20Gambir
usut,n1067,iž′i:,eye,,,,buddruss,,,,,,,noun dialect:Prasun%3A%20Usut
sec,n1067,iž′i˜,eye,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
ktivi,n1067,âč′e,eye,,,,strand,,,,,,,noun f dialect:Katavari%3A%20Ktivi
Kam,n1067,′o˜š ku-,look,,,,strand,,,,,,,verb tr dialect:Kamviri
Kam,n1067,âč′e˜,eye,,,,strand,,,,,,,noun f dialect:Kamviri
sanu,n1067,âć′i˜,eye,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n1067,ače˜,eye,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
nis,n1069,â˜c̣a ču˜,look at,,,[doubtful T. 1063 *â-čakṣa-ti ‘looks at’],strand,,,,,,,verb tr dialect:Nuristani%20Kalasha%3A%20Nisheigram
gamb,n1069,ac̣′i˜,eye,,,[+],morgenstierne,,,,,,,noun dialect:Tregami%3A%20Gambir
usut,n1070,vuṣ′u:,medicine,,,,buddruss,,,,,,,noun dialect:Prasun%3A%20Usut
sec,n1070,v′uṣu,medicine,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
ktivi,n1070,uṣ′a,medicine; spice,,,,strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n1070,uṣ′a,medicine; spice,,,,strand,,,,,,,noun dialect:Kamviri
ktivi,n1074,-as,his; her; [3rd person singular possessive suffix for kinship nouns],,,[directly inherited from old genitive ending?],strand,,,,,,,spatial dialect:Katavari%3A%20Ktivi
Kam,n1074,-as,his; her; [3rd person singular possessive suffix for kinship nouns],,,[directly inherited from old genitive ending?],strand,,,,,,,spatial dialect:Kamviri
ames,n1074,-as,his; her; their; [3rd person possessive suffix for kinship nouns],,,[directly inherited from old genitive ending?],strand,,,,,,,spatial dialect:Nuristani%20Kalasha%3A%20Amesdes
nis,n1074,-s,his; her; their; [3rd person possessive suffix for kinship nouns],,,[directly inherited from old genitive ending?],strand,,,,,,,spatial dialect:Nuristani%20Kalasha%3A%20Nisheigram
usut,n1077,-š,,,,,buddruss,,,,,,,spatial dialect:Prasun%3A%20Usut
ktivi,n1077,-še,,,,[+?],strand,,,,,,,spatial dialect:Katavari%3A%20Ktivi
sec,n1082,ič′i,bone,,,[cf. T. 955 aṣṭi- ‘kernel of fruit’ and T. 982 ′asthi- ‘bone’],morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
ktivi,n1082,âṭ′i,bone; pit (of fruit),,,,strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n1082,âṭ′i,bone; pit (of fruit),,,,strand,,,,,,,noun dialect:Kamviri
sanu,n1082,âṭ′i,bone; pit (of fruit),,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n1082,aṭi,bone,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
usut,n1086,nač,nail (finger- or toe-),,,,buddruss,,,,,,,noun dialect:Prasun%3A%20Usut
sec,n1086,neč,nail (finger- or toe-),,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
ktivi,n1086,nâč′e,nail (finger- or toe-),,,,strand,,,,,,,noun f dialect:Katavari%3A%20Ktivi
Kam,n1086,nâč′e˜,nail (finger- or toe-),,,,strand,,,,,,,noun f dialect:Kamviri
sanu,n1086,nâuć′a˜,nail (finger- or toe-),,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n1086,nuča,nail (finger- or toe-),,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
gamb,n1086,nu:več′a,nail (of finger or toe),,,[+],morgenstierne,,,,,,,noun dialect:Tregami%3A%20Gambir
ktivi,n1090,âŋ′o,fire,,,,strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n1090,âŋ′o,fire,,,,strand,,,,,,,noun dialect:Kamviri
sanu,n1090,âŋ′â,fire,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
gamb,n1090,aŋ′â,fire,,,,morgenstierne,,,,,,,noun dialect:Tregami%3A%20Gambir
sec,n1091,′âneǧe,fire,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
nis,n1094,a˜gärik,charcoal,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
sec,n1097,-âč-,smear,,,,morgenstierne,,,,,,,verb dialect:Prasun%3A%20Sec
ktivi,n1102,âm′âř,pomegranate,,,,strand,,,,,,,noun f dialect:Katavari%3A%20Ktivi
Kam,n1102,âm′âř,pomegranate,,,,strand,,,,,,,noun f dialect:Kamviri
sanu,n1102,âm′âr,pomegranate,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n1102,amâr,pomegranate,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
sec,n1104,âm′ar,pomegranate,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
usut,n1108,-o,,,,,buddruss,,,,,,,part interr verb intr dialect:Prasun%3A%20Usut
usut,n1108,-â,,,,,strand,,,,,,,part interr dialect:Prasun%3A%20Usut
ktivi,n1108,o,,,,,strand,,,,,,,part interr dialect:Katavari%3A%20Ktivi
Kam,n1108,o,,,,,strand,,,,,,,part interr dialect:Kamviri
usut,n1111,üm′u:,ear,,,"[cf. Avestan uṣ ‘ear’, Slav. umŭ ‘intelligence’]",buddruss,,,,,,,noun dialect:Prasun%3A%20Usut
sec,n1111,y′ümu,ear,,,"[cf. Avestan uṣ ‘ear’, Slav. umŭ ‘intelligence’]",morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
nis,n1115,âš,mouth,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
gamb,n1115,′âš,mouth,,,[+],morgenstierne,,,,,,,noun dialect:Tregami%3A%20Gambir
sec,n1116,iš,mouth,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
ktivi,n1116,âš′a,mouth,,,,strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n1116,âš′a,mouth,,,,strand,,,,,,,noun dialect:Kamviri
sanu,n1116,âš′i,mouth,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
ktivi,n1120,′isṭ,lip,,,[retention of aspirate stop?],strand,,,,,,,noun f dialect:Katavari%3A%20Ktivi
Kam,n1120,′isṭ,lip,,,[retention of aspirate stop?],strand,,,,,,,noun f dialect:Kamviri
sanu,n1120,′usṭ,lip,,,[retention of aspirate stop?],strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n1120,üsṭ,lip,,,[retention of aspirate stop?],strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
gamb,n1120,v′uṣṭ,lip,,,[+; retention of aspirate stop?],morgenstierne,,,,,,,noun dialect:Tregami%3A%20Gambir
sec,n1121,čir′e,apricot,,,[cf. Munji čir′e; connection with PIE ker (> k̂er?) ‘cherry; shrub; root’?],morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
ktivi,n1121,ćar′a,apricot,,,[connection with PIE ker (> k̂er?) ‘cherry; shrub; root’?],strand,,,,,,,noun f dialect:Katavari%3A%20Ktivi
Kam,n1121,ćar′i˜,apricot,,,[connection with PIE ker (> k̂er?) ‘cherry; shrub; root’?],strand,,,,,,,noun f dialect:Kamviri
sanu,n1121,ćir′e˜,apricot,,,[connection with PIE ker (> k̂er?) ‘cherry; shrub; root’?],strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
supu,n1122,züny′u,Ćâňu,,,,strand,,,,,,,noun dialect:Prasun%3A%20Supu
