Kalk,9661,dra,brother,,drɑ,cited for the dental assimilation of the bilabial-plus-/r/ cluster,"kalkoti[p. 131, table 1];kalkoti[p. 147, table 16];kalkoti[p. 136, n. 6]",,,kalkoti:t1:1,,,,noun sg m dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,5621,tarkaaṇ,carpenter,,,,"kalkoti[p. 147, table 16]",,,kalkoti:t16:9:sg,,,,noun sg dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,tarkaaṇaan,carpenter,,,,"kalkoti[p. 147, table 16]",,,kalkoti:t16:9:pl,,,,noun pl dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,5727,trap,to run,,,,"kalkoti[p. 149, table 17]",,,kalkoti:t17:l-verb:non-perfective,,,,verb stem Kalkoti-verb-class-L dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,dä,to give,,,,"kalkoti[p. 149, table 17]",,,kalkoti:t17:t-verb:non-perfective,,,,verb stem Kalkoti-verb-class-T dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,päš,to see,,,,"kalkoti[p. 149, table 17]",,,kalkoti:t17:suppletive:non-perfective,,,,verb stem Kalkoti-verb-class-suppletive dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,trapil,to run,,,,"kalkoti[p. 149, table 17]",,,kalkoti:t17:l-verb:perfective,,,,verb stem Kalkoti-verb-class-L pfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,dit,to give,,,,"kalkoti[p. 149, table 17]",,,kalkoti:t17:t-verb:perfective,,,,verb stem Kalkoti-verb-class-T pfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,driṣ,to see,,,,"kalkoti[p. 149, table 17]",,,kalkoti:t17:suppletive:perfective,,,,verb stem Kalkoti-verb-class-suppletive pfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,bišuun,is/are sitting down,,,,"kalkoti[p. 150, table 18]",,,kalkoti:t18:msg,,,,verb ipfv m sg dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,bišaan,is/are sitting down,,,,"kalkoti[p. 150, table 18]",,,kalkoti:t18:mpl,,,,verb ipfv m pl dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,bišiin,is/are sitting down,,,,"kalkoti[p. 150, table 18]",,,kalkoti:t18:fsg,,,,verb ipfv f sg pl dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,14021,äsil,laughed,,,,"kalkoti[p. 151, table 19]",,,kalkoti:t19:1,,,,verb pfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,6592,dooyil,milked,,,,"kalkoti[p. 151, table 19]",,,kalkoti:t19:2,,,,verb pfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,yeel,came,,,,"kalkoti[p. 151, table 19]",,,kalkoti:t19:4:a2,,,,verb pfv f dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,5060,čhoon,put,,,,"kalkoti[p. 151, table 19]",,,kalkoti:t19:7,,,,verb pfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,ɡee,went,,,,"kalkoti[p. 151, table 19]",,,kalkoti:t19:9:a2,,,,verb pfv f dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,5839,tiin,sharp,,tiːn,,"kalkoti[p. 138, table 11]",,,kalkoti:t11:1:ii,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,5860,tind,navel,,tɪn(d),,"kalkoti[p. 138, table 11]",,,kalkoti:t11:1:i,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,6651,där,door,,dɛr,,"kalkoti[p. 138, table 11]",,,kalkoti:t11:1:ä,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,6495,duur,far,,duːr,,"kalkoti[p. 138, table 11]",,,kalkoti:t11:2:uu,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,6835,dur,dust,,dʊr; dur,word-final /r/~/ɽ/ alternation,"kalkoti[p. 138, table 11];kalkoti[p. 135]",,,kalkoti:t11:2:u,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,6914,naŋɡ,fingernail,,nɔŋ(ɡ),,"kalkoti[p. 138, table 11]",,,kalkoti:t11:2:a,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,7039,naaŋɡ,snake,,nɑːŋ(ɡ); nɑːŋɡ,nasal-plosive cluster alternating with a plain nasal,"kalkoti[p. 138, table 11];kalkoti[p. 136]",,,kalkoti:t11:2:aa,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,7785,paand,path,,pɑːnd,high level tone (melody 1); nasal-plosive cluster alternating with a plain nasal,"kalkoti[p. 142, table 12];kalkoti[p. 136]",,,kalkoti:t12:1:2,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,4147,ɡaa,cow,,ɡɑː,high level tone (melody 1),"kalkoti[p. 142, table 12]",,,kalkoti:t12:1:4,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,10539,raat,blood,,rɑːt,high level tone (melody 1); cited in example (6): ‘Gulus was bleeding from his head.’,"kalkoti[p. 142, table 12];kalkoti[p. 147, example 6]",,,kalkoti:t12:1:5,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,13682,tam,tree,,tɔm,high level tone (melody 1),"kalkoti[p. 142, table 12]",,,kalkoti:t12:1:6,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,6152,daan,tooth,,dɑːn,high level tone (melody 1); cited in example (3): ‘This tooth of mine hurts badly.’,"kalkoti[p. 142, table 12];kalkoti[p. 146, example 3]",,,kalkoti:t12:1:7,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,12497,ṣiṣ,head,,ʂiʂ,high level tone (melody 1),"kalkoti[p. 142, table 12]",,,kalkoti:t12:1:8,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,5853,dut,lip,,dut,low level tone (melody 2),"kalkoti[p. 142, table 12]",,,kalkoti:t12:2:1,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,4287,ɡoom,wheat,,ɡoːm,low level tone (melody 2),"kalkoti[p. 142, table 12]",,,kalkoti:t12:2:2,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,3832,khoor,left,,kʰoːr,low level tone (melody 2),"kalkoti[p. 142, table 12]",,,kalkoti:t12:2:3,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,4471,ɡaa,grass,,ɡɑː,low level tone (melody 2),"kalkoti[p. 142, table 12]",,,kalkoti:t12:2:4,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,10702,raat,night,,rɑːt,low level tone (melody 2),"kalkoti[p. 142, table 12]",,,kalkoti:t12:2:5,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,14096,im,snow,,im,low level tone (melody 2),"kalkoti[p. 142, table 12]",,,kalkoti:t12:2:8,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,3916,kheer,field,,kʰeː(ʔ)r,low-rising tone (melody 3),"kalkoti[p. 142, table 12]",,,kalkoti:t12:3:4,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,duur,far away,,duː(ʔ)r,low-rising tone (melody 3),"kalkoti[p. 142, table 12]",,,kalkoti:t12:3:5,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,driɡ,"tall, long",,dri(ʔ)ɡ,high-rising tone (melody 4),"kalkoti[p. 142, table 12]",,,kalkoti:t12:4:1,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,3243,kuṭ,knee,,ku(ʔ)ʈ,high-rising tone (melody 4),"kalkoti[p. 142, table 12]",,,kalkoti:t12:4:7,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,7047,neer,root,,neːr,high-falling tone (melody 5),"kalkoti[p. 142, table 12]",,,kalkoti:t12:5:2,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,e34,čuṇuun,is writing,,,,"kalkoti[p. 152, table 20]",,,kalkoti:t20:1,,,,verb ipfv pres dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,buun,is going,,,,"kalkoti[p. 152, table 20]",,,kalkoti:t20:2,,,,verb ipfv pres dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,čuṇuuns,was writing,,ʨʊɳu:ns,printed as čuṇuun-s,"kalkoti[p. 152, table 20];kalkoti[p. 136]",,,kalkoti:t20:3,,,,verb ipfv pret dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,buuns,was going,,,,"kalkoti[p. 152, table 20]",,,kalkoti:t20:4,,,,verb ipfv pret dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,čuṇil,wrote,,,,"kalkoti[p. 152, table 20]",,,kalkoti:t20:5,,,,verb pfv pret dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,čuṇils,had written,,,printed as čuṇi(l)-s; the parenthesised segment is optional,"kalkoti[p. 152, table 20]",,,kalkoti:t20:7,,,,verb pfv pp dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,ɡoos,had gone,,,,"kalkoti[p. 152, table 20]",,,kalkoti:t20:8,,,,verb pfv pp dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,tu,you,,,cited in example (1): ‘Can you see him?’; cited in example (2): ‘Did he see you yesterday?’,"kalkoti[p. 145, example 1];kalkoti[p. 145, example 2]",,,kalkoti:ex1:1:1,,,,sg dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,räs,him,,,cited in example (1): ‘Can you see him?’,"kalkoti[p. 145, example 1]",,,kalkoti:ex1:1:2,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,päš,see,,,cited in example (1): ‘Can you see him?’,"kalkoti[p. 145, example 1]",,,kalkoti:ex1:1:3,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,buun,be able to,,,"cited in example (1): ‘Can you see him?’; printed as b-uun=ää, with the polar-question clitic =ää","kalkoti[p. 145, example 1]",,,kalkoti:ex1:1:4,,,,ipfv m sg interr dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,11628,biyaal,yesterday,,,cited in example (2): ‘Did he see you yesterday?’,"kalkoti[p. 145, example 2]",,,kalkoti:ex2:1:1,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,tä,he,,,cited in example (2): ‘Did he see you yesterday?’,"kalkoti[p. 145, example 2]",,,kalkoti:ex2:1:2,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,dris,see,,,"cited in example (2): ‘Did he see you yesterday?’; printed as dris=ää, with the polar-question clitic =ää","kalkoti[p. 145, example 2]",,,kalkoti:ex2:1:4,,,,pfv pret interr dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,mi,my,,,cited in example (3): ‘This tooth of mine hurts badly.’,"kalkoti[p. 146, example 3]",,,kalkoti:ex3:1:1,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,un,this,,,cited in example (3): ‘This tooth of mine hurts badly.’; cited in example (7): ‘Zaman remembers this man.’,"kalkoti[p. 146, example 3];kalkoti[p. 147, example 7]",,,kalkoti:ex3:1:2,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,9202,bääḍ,much,,,cited in example (3): ‘This tooth of mine hurts badly.’; cited in example (16): ‘To that we all laughed heartily.’,"kalkoti[p. 146, example 3];kalkoti[p. 150, example 16]",,,kalkoti:ex3:1:4,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,12576,šiluun,give pain,,,cited in example (3): ‘This tooth of mine hurts badly.’,"kalkoti[p. 146, example 3]",,,kalkoti:ex3:1:5,,,,ipfv m sg dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,täs,him,,,cited in example (4): ‘I brought a letter from him.’,"kalkoti[p. 146, example 4]",,,kalkoti:ex4:1:2,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,daa,from,,,cited in example (4): ‘I brought a letter from him.’; cited in example (6): ‘Gulus was bleeding from his head.’,"kalkoti[p. 146, example 4];kalkoti[p. 147, example 6]",,,kalkoti:ex4:1:3,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,xat,letter,,,cited in example (4): ‘I brought a letter from him.’,"kalkoti[p. 146, example 4]",,,kalkoti:ex4:1:4,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,4236,ɡiyaal,bring,,,cited in example (4): ‘I brought a letter from him.’,"kalkoti[p. 146, example 4]",,,kalkoti:ex4:1:5,,,,pfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,thi,you,,,cited in example (5): ‘Did you see that white house?’,"kalkoti[p. 146, example 5]",,,kalkoti:ex5:1:1,,,,sg erg dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,äär,that,,,cited in example (5): ‘Did you see that white house?’,"kalkoti[p. 146, example 5]",,,kalkoti:ex5:1:2,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,8047,pänär,white,,,cited in example (5): ‘Did you see that white house?’,"kalkoti[p. 146, example 5]",,,kalkoti:ex5:1:3,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,driṣ,see,,,"cited in example (5): ‘Did you see that white house?’; printed as driṣ=ää, with the polar-question clitic =ää","kalkoti[p. 146, example 5]",,,kalkoti:ex5:1:5,,,,pfv interr dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,ɡulus,Gulus,,,cited in example (6): ‘Gulus was bleeding from his head.’,"kalkoti[p. 147, example 6]",,,kalkoti:ex6:1:1,,,,proper-noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,3519,koopär,skull,,,cited in example (6): ‘Gulus was bleeding from his head.’; Or from [*kapā́la*](/parameters/2744)?,"kalkoti[p. 147, example 6]",,,kalkoti:ex6:1:2,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,nikhuuns,come out,,,cited in example (6): ‘Gulus was bleeding from his head.’,"kalkoti[p. 147, example 6]",,,kalkoti:ex6:1:5,,,,ipfv m sg pret dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,zumaan,Zaman,,,cited in example (7): ‘Zaman remembers this man.’,"kalkoti[p. 147, example 7]",,,kalkoti:ex7:1:1,,,,proper-noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,tee,to,,,cited in example (7): ‘Zaman remembers this man.’,"kalkoti[p. 147, example 7]",,,kalkoti:ex7:1:2,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,yaad,memory,,,cited in example (7): ‘Zaman remembers this man.’,"kalkoti[p. 147, example 7]",,,kalkoti:ex7:1:5,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,in,be,,,"cited in example (7): ‘Zaman remembers this man.’; cited in example (8): ‘In our village, there is a place called Shelkin.’","kalkoti[p. 147, example 7];kalkoti[p. 147, example 8]",,,kalkoti:ex7:1:6,,,,pres dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,äsi,our,,,"cited in example (8): ‘In our village, there is a place called Shelkin.’; cited in example (10): ‘One of our friends asked a question (lit. did question).’; cited in example (18): ‘Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.’","kalkoti[p. 147, example 8];kalkoti[p. 148, example 10];kalkoti[p. 153, example 18]",,,kalkoti:ex8:1:1,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,9804,mi,in,,,"cited in example (8): ‘In our village, there is a place called Shelkin.’; cited in example (18): ‘Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.’","kalkoti[p. 147, example 8];kalkoti[p. 153, example 18]",,,kalkoti:ex8:1:3,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,šilkin,Shelkin,,,"cited in example (8): ‘In our village, there is a place called Shelkin.’","kalkoti[p. 147, example 8]",,,kalkoti:ex8:1:4,,,,proper-noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,ä,a,,,"cited in example (8): ‘In our village, there is a place called Shelkin.’; cited in example (18): ‘Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.’","kalkoti[p. 147, example 8];kalkoti[p. 153, example 18]",,,kalkoti:ex8:1:5,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,baaɡ,place,,,"cited in example (8): ‘In our village, there is a place called Shelkin.’","kalkoti[p. 147, example 8]",,,kalkoti:ex8:1:6,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,ä,one,,,cited in example (10): ‘One of our friends asked a question (lit. did question).’,"kalkoti[p. 148, example 10]",,,kalkoti:ex10:1:2,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,mälɡirä,companion,,,cited in example (10): ‘One of our friends asked a question (lit. did question).’,"kalkoti[p. 148, example 10]",,,kalkoti:ex10:1:3,,,,erg dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,e35,tapoos,question,,,cited in example (10): ‘One of our friends asked a question (lit. did question).’,"kalkoti[p. 148, example 10]",,,kalkoti:ex10:1:4,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,thääl,do,,,cited in example (10): ‘One of our friends asked a question (lit. did question).’; cited in example (11): ‘The police charged with sticks and brought people under control.’,"kalkoti[p. 148, example 10];kalkoti[p. 148, example 11]",,,kalkoti:ex10:1:5,,,,pfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,pulisum,police,,,cited in example (11): ‘The police charged with sticks and brought people under control.’,"kalkoti[p. 148, example 11]",,,kalkoti:ex11:1:1,,,,pl obl dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,lumaaṭum,stick,,,cited in example (11): ‘The police charged with sticks and brought people under control.’,"kalkoti[p. 148, example 11]",,,kalkoti:ex11:1:2,,,,pl obl dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,6145,dää,beat,,,cited in example (11): ‘The police charged with sticks and brought people under control.’,"kalkoti[p. 148, example 11]",,,kalkoti:ex11:1:3,,,,conjunctive-participle dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,xäläq,people,,,cited in example (11): ‘The police charged with sticks and brought people under control.’,"kalkoti[p. 148, example 11]",,,kalkoti:ex11:1:4,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,känṭärool,control,,,cited in example (11): ‘The police charged with sticks and brought people under control.’,"kalkoti[p. 148, example 11]",,,kalkoti:ex11:1:5,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,ɡuwaa,what,,,cited in example (12): ‘What should I do?’,"kalkoti[p. 149, example 12]",,,kalkoti:ex12:1:2,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,thum,do,,,cited in example (12): ‘What should I do?’,"kalkoti[p. 149, example 12]",,,kalkoti:ex12:1:3,,,,1sg dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,keedeeši,maybe,,,cited in example (13): ‘Maybe he/she will come.’,"kalkoti[p. 149, example 13]",,,kalkoti:ex13:1:1,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,soo,he/she,,,cited in example (13): ‘Maybe he/she will come.’,"kalkoti[p. 149, example 13]",,,kalkoti:ex13:1:2,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,yä,come,,,cited in example (13): ‘Maybe he/she will come.’,"kalkoti[p. 149, example 13]",,,kalkoti:ex13:1:3,,,,3sg dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,čikaar,crying,,,cited in example (14): ‘She is crying.’,"kalkoti[p. 149, example 14]",,,kalkoti:ex14:1:2,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,diin,give,,,cited in example (14): ‘She is crying.’,"kalkoti[p. 149, example 14]",,,kalkoti:ex14:1:3,,,,ipfv f dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,e36,tipä,now,,,cited in example (15): ‘He is coming now.’,"kalkoti[p. 149, example 15]",,,kalkoti:ex15:1:2,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,yuun,come,,,cited in example (15): ‘He is coming now.’,"kalkoti[p. 149, example 15]",,,kalkoti:ex15:1:3,,,,ipfv m sg dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,räs,"he, she, it",,,cited in example (16): ‘To that we all laughed heartily.’,"kalkoti[p. 150, example 16]",,,kalkoti:ex16:1:1,,,,3sg obl pron dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,räl,on,,,cited in example (16): ‘To that we all laughed heartily.’,"kalkoti[p. 150, example 16]",,,kalkoti:ex16:1:2,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,13726,suwaa,all,,,cited in example (16): ‘To that we all laughed heartily.’,"kalkoti[p. 150, example 16]",,,kalkoti:ex16:1:4,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,mälɡir,companions,,,cited in example (16): ‘To that we all laughed heartily.’,"kalkoti[p. 150, example 16]",,,kalkoti:ex16:1:5,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,äsil,laugh,,,cited in example (16): ‘To that we all laughed heartily.’,"kalkoti[p. 150, example 16]",,,kalkoti:ex16:1:7,,,,pfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,kitaab,book,,,cited in example (17): ‘Did you take the book?’,"kalkoti[p. 150, example 17]",,,kalkoti:ex17:1:2,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,4236,ɡiin,take,,,"cited in example (17): ‘Did you take the book?’; printed as ɡiin=ää, with the polar-question clitic =ää","kalkoti[p. 150, example 17]",,,kalkoti:ex17:1:3,,,,pfv interr dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,deer,time,,,"cited in example (18): ‘Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.’","kalkoti[p. 153, example 18]",,,kalkoti:ex18:1:2,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,käteeyi,some,,,"cited in example (18): ‘Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.’","kalkoti[p. 153, example 18]",,,kalkoti:ex18:1:4,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,mälɡir,friends,,,"cited in example (18): ‘Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.’","kalkoti[p. 153, example 18]",,,kalkoti:ex18:1:5,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,thäliǰ,Thal to,,,"cited in example (18): ‘Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.’","kalkoti[p. 153, example 18]",,,kalkoti:ex18:1:6,,,,proper-noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,baans,go,,,"cited in example (18): ‘Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.’","kalkoti[p. 153, example 18]",,,kalkoti:ex18:1:7,,,,ipfv m pl pret dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,4116,ɡaaṛi,vehicle,,,"cited in example (18): ‘Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.’; Probably loaned from plains.","kalkoti[p. 153, example 18]",,,kalkoti:ex18:2:2,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,bäs,sit down,,,"cited in example (18): ‘Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.’","kalkoti[p. 153, example 18]",,,kalkoti:ex18:2:4,,,,pfv pret dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,10174,mukhä,front,,,"cited in example (18): ‘Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.’","kalkoti[p. 153, example 18]",,,kalkoti:ex18:2:6,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,puu,boy,,,"cited in example (18): ‘Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.’","kalkoti[p. 153, example 18]",,,kalkoti:ex18:2:8,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,yaal,come,,,"cited in example (18): ‘Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.’","kalkoti[p. 153, example 18]",,,kalkoti:ex18:2:9,,,,pfv m sg dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,čee,tea,,ʨeː,cited as a minimal pair with čhee ‘ash’ for the palatal aspiration contrast,kalkoti[p. 135],,,kalkoti:prose:tea,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,čhee,ash,,ʨʰeː,cited as a minimal pair with čee ‘tea’ for the palatal aspiration contrast,kalkoti[p. 135],,,kalkoti:prose:ash,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,4998,čhäḍil,to vomit,,ʨʰəɖil,intervocalic [ɖ]~[ɽ] alternation,kalkoti[p. 135],,,kalkoti:prose:vomit,,,,verb dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,4998,čhäṛil,to vomit,,ʨʰəɽil,intervocalic [ɖ]~[ɽ] alternation,kalkoti[p. 135],,,kalkoti:prose:vomit:a2,kalkoti:prose:vomit,,,verb dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,1962,uɡur,heavy,,ʊɡʊr,intervocalic [ɡ]~[ɣ] alternation,kalkoti[p. 135],,,kalkoti:prose:heavy,,,,adj dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,uɣur,heavy,,ʊɣʊr,intervocalic [ɡ]~[ɣ] alternation,kalkoti[p. 135],,,kalkoti:prose:heavy:a2,kalkoti:prose:heavy,,,adj dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,8574,čupuṭ,full,,ʨʊpʊʈ,voicing alternation in the medial plosive,kalkoti[p. 135],,,kalkoti:prose:full,,,,adj dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
