Item	PDF_Page	Printed_Page	Column	Gloss	HRT	HJN	HFT	HNG	HTR	HLH	Review	Uncertainty
150	37	30	3	red	1 lal	1 lal	1 lal	1 lal	1 lal	1 lal	manual-scan	
151	38	31	1	one	1 ek	1 ek	1 ek	1 ek	1 uk	1 ek	manual-scan	
152	38	31	2	two	1 d̪o	1 d̪o	1 d̪o	1 d̪o	1 d̪o	1 d̪o	manual-scan	
153	38	31	3	three	1 t̪in	1 t̪in	1 t̪in	1 t̪in	1 t̪in	1 t̪in	manual-scan	
154	38	31	1	four	1 tʃar	1 tʃar	1 tʃar·	1 tʃar	1 tʃar	1 tʃar	manual-scan	source length dot retained
155	38	31	2	five	1 pãtʃ	1 pãtʃ	1 pãtʃ	1 pãtʃ	1 pãtʃ	1 pãtʃ	manual-scan	
156	38	31	3	six	1 tʃe	1 tʃʰe	1 tʃe	1 tʃʰe	1 tʃʰe	1 tʃʰe	manual-scan	
157	38	31	1	seven	1 sat̪	1 sat̪	1 sat̪	1 sat̪	1 sat̪	1 sat̪	manual-scan	
158	38	31	2	eight	1 aṭʰ	1 aṭʰ	1 aṭʰ	1 aṭʰ	1 aṭʰ	1 aṭʰ	manual-scan	
159	38	31	3	nine	1 nãũ	1 no	1 noũ	1 nʌũ	1 nãũ	1 nʌũ	manual-scan	
160	38	31	1	ten	1 d̪ʌs	1 d̪ʌs	1 d̪ʌs	1 d̪ʌs	1 d̪ʌs	1 d̪ʌs	manual-scan	
161	38	31	2	eleven	1 gjarʌh	1 gjarʌh	1 gjarʌh	1 gjarã	1 gjarʌh	1 gjarʌh	manual-scan	
162	38	31	3	twelve	1 barʌh	1 barʌh	1 barʌh	1 barã	1 barʌh	1 barʌh	manual-scan	
163	38	31	1	twenty	1 bis	1 bis	1 bis	1 bis	1 bis	1 bis	manual-scan	
164	38	31	2	one hundred	1 saũ	1 ek saũ	1 so	1 sʌũ	1 saũ	1 sʌũ	manual-scan	
165	38	31	3	who?	1 kuṇ	1 kuṇ	1 kuṇ	1 kʌũṇə	1 koṇə	1 koṇə	manual-scan	
166	39	32	1	what?	1 ke	1 ke	1 ke	2 kja	3 kʌha /1 ko	1 ke	manual-scan	
167	39	32	2	where?	1 kit̪ /2 kʌḍe	1 kit̪ /2 kʌḍa /3 kʌḍuḷ·	1/2 kʌtʰʌ	2 kʌha	2 kʌha	1 kit̪ /2 kʌtʰe	manual-scan	HJN third form is faint; source length dot retained
168	39	32	3	when?	1 kʌḍ	1 kʌḍ /2 kʌi	1 kʌḍ	1 kʌḍ /1 kʌb	1 kʌḍ	1 kʌḍ	manual-scan	
169	39	32	1	how many?	1 kit̪na	1 kit̪na /2 ke	1 kit̪·a /2 kaj	1 kit̪na	1 kit̪na	1 kit̪na	manual-scan	HFT first response lacks a visible n; retained as printed; source length dot retained
170	39	32	2	what kind?	1 kisa /2 kis t̪ʌrija	1 kisa	1 kisʌk /3 kok·ʌr	1 kʌ·sa	2 kis t̪ʌreh /4 kis dʒogʌt	1 kisa	manual-scan	source length dots retained
171	39	32	3	this	1 jo	1 ju	1 jo /2 a	1 jo	3/4 je	2 ja	manual-scan	
172	39	32	1	that	1 vo	1 o	1 vo /2 ba	1 vo	1 vo	4 va	manual-scan	
173	39	32	2	these	1 je	1 jẽ	1 je	1 je	[blank]	1 je	manual-scan	HTR blank confirmed
174	39	32	3	those	1 ve	1 vẽ	1 be /2 jo	[blank]	[blank]	1 ve	manual-scan	HNG and HTR blanks confirmed
175	39	32	1	same	1 bʌrab·ʌr /2 ek si	1 bʌrab·ʌr /2 ek ose	2 ek sa	1 bʌrʌb·ʌr /2 ek si kʌt̪t̪ʰa	1 bʌrabʌr	2 ek sa /3 vʌhi	manual-scan	HNG wrapped continuation retained; source length dots retained
176	39	32	2	different	1 njare njare	1 njara njara	1 njara njara	1 njara njara	1 njare njare	1 njara njara	manual-scan	
177	39	32	3	whole	1 sabʌt̪ /2 purʌm pʌt̪	3 sara /4 pura	3 sara /4 pura	3 sara /4 pura	3 saro /4 pura	1 sabʌt̪ /2 purʌm pʌt̪	manual-scan	HNG has a clipped fifth response beginning /5 that remains unresolved
178	39	32	1	broken	1 t̪uṭja oḍ	1 t̪uṭa /2 pʰuṭa	1 t̪uṭeḍo (past) /2 pʰuṭeḍo	1 t̪uṭʰa	1 t̪uṭi	1 t̪uṭioḍ	manual-scan	source parenthetical retained
179	39	32	2	few	1 tʰoḍa sa	1 tʰoḍa	1 tʰoḍa	1 tʰoḍa	1 tʰoḍa	1 tʰoḍa	manual-scan	
180	39	32	3	many	1 gʌṇa /2 bʌt̪era	1 gʌṇa /2 bʌt̪era·	1 gʌṇa /1 gʌṇaji	1 gʌṇa /3 dʒada	1 gʌṇa /3 dʒada	1 gʌṇa /4 bohuṭ	manual-scan	source length dot retained
181	40	33	1	all	1 saro	1 sara /2 ʌmu sare	1 sara /3 sʌgʌḷʌ	1 saro kʌṭle	1 sare /4 sab kʌna	1 sara	manual-scan	unlabelled wrapped continuations under HNG and HTR are retained with the immediately preceding response
182	40	33	2	Eat! / he ate	1 kʰalo	1 kʰale / kʰaljo	1 kʰale	1 kʰalo	1 kʰao	1 kʰa / kʰa lja	manual-scan	
183	40	33	3	he bit	1 boḍka bʌrna	1 boḍka bʌrna (imp.)	1 boḍ·ko	1 boḍka bʌrija	1 bʌṭka bʌrna /2 kat̪	1 boḍka bʌrija	manual-scan	HNG has a clipped second response beginning /2; source parenthetical and length dot retained
184	40	33	1	(He) was hungry	1 buka t̪a	1 bok·a t̪a / buka (thirst)	1 bo bukʰo ho	1 vo bokkʰa tʰa pjasa tʰa	1 bukʰa t̪a (thirst)	1 vo bʰuka tʰa t̪a	manual-scan	unlabelled wrapped fragments under HNG and HLH are retained; source parentheticals and length dot retained
185	40	33	2	Drink! / (He) drank	1 pile	1 pile / piljo (F. Com.)	1 pilo	1 pile	1 pile / piljo	1 pi / pilja	manual-scan	source parenthetical retained
186	40	33	3	(He) was thirsty	1 t̪isaja t̪a	1 t̪isaja t̪a / t̪is	1 bo t̪is·o ho	1 t̪is (thirst)	1 pisaja t̪a / koski	1 t̪isaja tʰa /2 pisaja	manual-scan	HNG has a clipped second response beginning /2; source parenthetical and length dot retained
187	40	33	1	Sleep! / (He) slept	1 sodʒa	1 sodʒa / sodʒao (F. Com.)	1 so dʒja	1 so dʒa	1 so dʒa	1 so dʒa	manual-scan	source parenthetical retained
188	40	33	2	Lie down! / (He) lay down	1 pʌḍ rʌh	2 let dʒa	2 lʌl dʒa	1 pʌḍ dʒa	2 let dʒa	2 let dʒa	manual-scan	HFT middle consonant is faint
189	40	33	3	Sit! / (He) sat	1 beṭʰ dʒa	1 beṭʰ dʒa	1 beṭʰ dʒa	1 bʌiṭʰ dʒa	1 bʌiṭʰ dʒa	1 beṭ dʒa	manual-scan	
190	40	33	1	Give! / (He) gave	1 d̪e d̪e	1 d̪ed̪·e	1 d̪ed̪e	1 d̪ed̪e	1 d̪e d̪e	1 d̪e	manual-scan	source length dot retained
191	40	33	2	(It) burned	1 dʒʌl· gja	1 dʒʌlgaja /2 pʰukgja	1 bʌl· gjo	1 dʒʌlə gʌja	1 dʒʌlo gʌji	1 bʌlə gʌji	manual-scan	source length dots retained
192	40	33	3	Die! / (He) died	1 mʌrgja (Past)	1 mʌr gja (Past)	1 mʌrgjo	1 mʌr gʌja (Past)	1 mʌr gʌje	1 mʌr gja (Past)	manual-scan	source parentheticals retained
193	40	33	1	Kill! / (He) killed	1 mʌrḍo	1 mʌrḍo	1 mʌrdʒo	1 mʌr dʒo	1 mʌr d̪e	1 mʌr d̪e / dʒi se mʌr d̪e	manual-scan	
194	40	33	2	Fly! / (It) flew	1 oḍ gi (Past)	1 oḍ gja (Past)	1 oḍ·gjo	1 oḍ dʒa / oḍ gʌji	1 oḍu dʒa	1 oḍ gi (Past)	manual-scan	source parentheticals and length dot retained
195	40	33	3	Walk! / (He) walked	1 paja tʃʌlja dʒa	1 tʃal	1 pʌgʌ tʃal (Imp)	1 pʌjdʌl tʃʌl	1 pʌman tʃʌlo	1 pʌgʌ tʃal	manual-scan	source parenthetical retained
196	41	34	1	Run! / (He) ran	1 bʌdʒja	1 bʌdʒ le	1 bʌdʒgjo dʒa	1 bʌdʒ·o /2 dʌũḍo	1 bʌdʒ jo /3 bag tʃʌlo	1 bʰʌdʒja /3 bʰago	manual-scan	source length dot retained
197	41	34	2	Go! / (He) went	1 tʃal	2 dʒa	1 tʃʌloodʒa / tʃal	2 dʒa	1 tʃal /2 dʒa	2 dʒa	manual-scan	
198	41	34	3	Come! / (He) came	1 a dʒa	1 a dʒa	1 a dʒja	1 ao	1 a dʒa	1 a dʒa	manual-scan	
199	41	34	1	Speak! / (He) spoke	1 bol / bʌk (in anger)	1 bol / bolja	1 bol	1 bol	1 bol	1 bol	manual-scan	source parenthetical retained
200	41	34	2	Hear! / (He) heard	1 soṇ·	1 soṇ	1 suṇo	1 soṇo	1 soṇ le	1 soṇo	manual-scan	source length dot retained
201	41	34	3	See! / (He) saw	1 dekʰ	1 dekʰ	1 dekʰle	1 dekʰ	1 dekʰ	1 dekʰ	manual-scan	
202	41	34	1	I	1 mãj	1 mẽ	1 mã /1 me	1 mãj	1 mãj	1 mãj	manual-scan	
203	41	34	2	you (informal)	1 t̪u	1 t̪u	1 t̪u	1 t̪ʌũ	1 tu	1 tu	manual-scan	
204	41	34	3	you (formal)	[blank]	[blank]	1 t̪e	1 t̪ẽ	[blank]	[blank]	manual-scan	HRT, HJN, HTR, and HLH blanks confirmed
205	41	34	1	he	1 vo	1 o	1 bo / vo	1 vo	1 vo	[same as item 206]	manual-scan	HLH cross-reference retained for deterministic resolution
206	41	34	2	she	1 va	1 va	1 ba / va	[same as item 205]	[same as item 205]	1 va	manual-scan	HNG and HTR cross-references retained for deterministic resolution
207	41	34	3	we (inclusive)	1 hʌm sʌgʌḷe / sare	2 apã sare	2 me sara	1,2 hʌm sare	1,2 hʌm sare	1,2 hʌm sara	manual-scan	
208	41	34	1	we (exclusive)	1 hʌm	1 ʌm ʌm	2 me· /3 me d̪ono /4 t̪ino ek	1 hʌm d̪ono·o /4 t̪in·o	1 hʌm d̪ono ek	1 hʌm	manual-scan	source length dots retained
209	41	34	2	you (plural)	1 t̪ʌm	1 t̪ʌm	[same as item 203]	1 t̪ʌm /2 ap	1 t̪ʌm	1 t̪ʌm	manual-scan	HFT cross-reference retained for deterministic resolution
210	41	34	3	they	1 ve·	1 vẽ (M) /2 vo (F)	1 be /1 ve	3 mʌ	1 ve	1 ve	manual-scan	source parentheticals and length dot retained
