DBIA_ID,Number,Letter,Page,Donor,CDIAL_ID,Compared_Entry_ID,Decision,Comparison_Status,Confidence,Forms,Candidates
dbia257,257,,49,phalaka-,9054,9054,unique normalized headword,matched-cdial,high,7,pakki | phalaka- | phala
dbia258,258,,49,Sphatika-,13818,13818,unique normalized headword,matched-cdial,high,4,phaļika- | phaliha- | phaliha- | Sphatika-
dbia259,259,,49,prākāra-,8914,8914,homonym disambiguated by gloss,matched-cdial,high,3,prākāra- | pakāra- | pāgāra-
dbia260,260,,49,pāka-,8022,8022,unique normalized headword,matched-cdial,high,2,pāg | pāka-
dbia261,261,,49,prābhịta-,,dbia261-ia,no safe CDIAL match,source-local-ia,high,2,prābhịta- | pāhuộa-
dbia262,262,,49,pāśa,8132,8132,homonym disambiguated by gloss,matched-cdial,high,4,pāśa
dbia263,263,,49,pädakațaka-,,dbia263-ia,no safe CDIAL match,source-local-ia,high,5,pädakațaka- | *pāaadaga- | pāagaďaga-
dbia264,264,,49,pāțhā-,8038,8038,homonym disambiguated by gloss,matched-cdial,medium,3,pāțhā- | pādhā-
dbia265,265,,49,pratipad-,8570,8570,unique normalized headword,matched-cdial,high,4,pratipad- | padivaā- | pașiwā
dbia266,266,,50,pāpa-,8092,8092,unique normalized headword,matched-cdial,high,6,pāpa-
dbia267,267,,50,pāli-,8131,8131,unique normalized headword,matched-cdial,high,3,pāli- | pal
dbia268,268,,50,pādukā-,8076,8076,unique normalized headword,matched-cdial,high,3,pādukā- | pāuā-
dbia269a,269,a,50,pişța-,8218,8218,homonym disambiguated by gloss,matched-cdial,high,5,pişța- | Pkt | pittha- | pișța-
dbia270,270,,50,pittala-,8184,8184,homonym disambiguated by gloss,matched-cdial,high,8,pittala- | pittala- | pītal | pita
dbia271,271,,50,birdē,,dbia271-ia,no safe CDIAL match,source-local-ia,high,3,birdē
dbia272,272,,50,vřkka-,12064,12064,unique normalized headword,matched-cdial,high,4,vřkka- | Vakka
dbia273,273,,50,prstha-,8371,8371,homonym disambiguated by gloss,matched-cdial,high,2,prstha- | puţtha- | puţthā
dbia274,274,,50,pūj-,,dbia274-ia,no safe CDIAL match,source-local-ia,high,7,pūj-
dbia275,275,,51,pūr-,8329,8329,unique normalized headword,matched-cdial,high,6,pūr- | půray-
dbia276,276,,51,peth,,dbia276-ia,no safe CDIAL match,source-local-ia,high,6,peth
dbia277,277,,51,poț,,dbia277-ia,no safe CDIAL match,source-local-ia,high,4,poț
dbia278,278,,51,bahuguņē,,dbia278-ia,no safe CDIAL match,source-local-ia,high,5,bahuguņē
dbia279,279,,51,bhoga-,9625,9625,unique normalized headword,matched-cdial,high,3,bhoga-
dbia280,280,,52,pollahollow,,dbia280-ia,no safe CDIAL match,source-local-ia,high,2,pollahollow | pol
dbia281,281,,52,bhojana-,9630,9630,unique normalized headword,matched-cdial,high,4,bhojana- | bhoaņa-
dbia282,282,,52,manda-,9736,9736,homonym disambiguated by gloss,matched-cdial,high,2,manda-
dbia283,283,,52,mandaka,,dbia283-ia,no safe CDIAL match,source-local-ia,high,4,mandaka | mamda
dbia284,284,,52,matithought,,dbia284-ia,no safe CDIAL match,source-local-ia,high,6,matithought
dbia285,285,,52,madhu-,9784,9784,unique normalized headword,matched-cdial,high,5,madhu-
dbia286,286,,52,mardala,9892,9892,unique normalized headword,matched-cdial,high,5,mardala | maddala-
dbia287,287,,53,manthan-,,dbia287-ia,no safe CDIAL match,source-local-ia,high,5,manthan-
dbia288,288,,53,maïla-,,dbia288-ia,no safe CDIAL match,source-local-ia,high,4,maïla- | mailā
dbia289,289,,53,maryādā-,9895,9895,homonym disambiguated by gloss,matched-cdial,high,8,maryādā-
dbia290,290,,53,manuşya-,9828,9828,unique normalized headword,matched-cdial,high,6,manuşya-
dbia291,291,,53,man-,,dbia291-ia,no safe CDIAL match,source-local-ia,high,5,man- | mann-
dbia292,292,,53,māmsa-,9982,9982,unique normalized headword,matched-cdial,high,2,māmsa-
dbia293,293,,53,māgha-,9993,9993,homonym disambiguated by gloss,matched-cdial,high,5,māgha-
dbia294,294,,54,māņava,10048,10048,unique normalized headword,matched-cdial,high,5,māņava
dbia295,295,,54,mātņkā-,,dbia295-ia,no safe CDIAL match,source-local-ia,high,6,mātņkā-
dbia296,296,,54,māri-,,dbia296-ia,no safe CDIAL match,source-local-ia,high,5,māri-
dbia297,297,,54,māna-,,dbia297-ia,no safe CDIAL match,source-local-ia,high,4,māna-
dbia298,298,,54,marica-,9875,9875,unique normalized headword,matched-cdial,high,2,miri | marica- | maria- | miri
dbia299,299,,54,munda-,10191,10191,unique normalized headword,matched-cdial,high,7,munda-
dbia300,300,,55,musta,10226,10226,homonym disambiguated by gloss,matched-cdial,high,5,musta | mutthă-
dbia301,301,,55,mūşa-,10262,10262,homonym disambiguated by gloss,matched-cdial,high,5,mūşa-
dbia302,302,,55,mſga-,,dbia302-ia,no safe CDIAL match,source-local-ia,high,3,mſga- | Pkt | miga-
dbia303,303,,55,mēr,,dbia303-ia,no safe CDIAL match,source-local-ia,high,6,mēr
dbia304,304,,55,mộșā,10358,10358,unique normalized headword,matched-cdial,high,7,Pkt | mosauntruth | mộșā | moșa-
dbia305,305,,56,mudrā-,10203,10203,unique normalized headword,matched-cdial,high,6,mudrā-
dbia306,306,,56,lava,10974,10974,homonym disambiguated by gloss,matched-cdial,high,4,rawā | lava
dbia307,307,,56,raņa-,10595,10595,homonym disambiguated by gloss,matched-cdial,high,4,raņa-
dbia308,308,,56,rab,,dbia308-ia,no safe CDIAL match,source-local-ia,high,2,rab
dbia309,309,,56,laddi-,,dbia309-ia,no safe CDIAL match,source-local-ia,high,4,laddi-
dbia310,310,,56,langhay-,,dbia310-ia,no safe CDIAL match,source-local-ia,high,4,langhay- | langhe- | lãghna
dbia311,311,,57,lāw,,dbia311-ia,no safe CDIAL match,source-local-ia,high,4,lāw
dbia312,312,,57,vyākhyāna-,12188,12188,unique normalized headword,matched-cdial,high,4,vyākhyāna- | vakkhāna-
dbia313,313,,57,vãg,,dbia313-ia,no safe CDIAL match,source-local-ia,high,2,vãg
dbia314,314,,57,vandhyā-,11275,11275,unique normalized headword,matched-cdial,high,7,vandhyā- | vañjhaid | Vījhā | bẫjh
dbia315,315,,57,vaļā-,11403,11403,homonym disambiguated by gloss,matched-cdial,high,5,vaļā- | vada
dbia316a,316,a,58,vịtta,11727a,11727a,homonym disambiguated by gloss,matched-cdial,high,13,vịtta | vațța
dbia317,317,,58,vartman-,11366,11366,unique normalized headword,matched-cdial,high,6,vartman- | vattă | batti
dbia318,318,,58,pațța-,7700,7700,homonym disambiguated by gloss,matched-cdial,high,7,pațța- | vastra | vattha-
dbia319,319,,59,vadąheti,,dbia319-ia,no safe CDIAL match,source-local-ia,high,4,vadąheti | vệdh- | vāļhņē
dbia320,320,,59,varņa-,11338,11338,homonym disambiguated by gloss,matched-cdial,high,6,varņa- | vanna-
dbia321,321,,59,vārttā-,11564,11564,unique normalized headword,matched-cdial,high,3,vārttā-
dbia322,322,,59,bhalla,9409,9409,homonym disambiguated by gloss,matched-cdial,high,4,bala | bhalla | bhalla- | bhālā
dbia323a,323,a,59,vamsa-,11175,11175,unique normalized headword,matched-cdial,high,6,vāsā | vamsa- | vamsa- | bãsi
dbia324,324,,59,wājib,,dbia324-ia,no safe CDIAL match,source-local-ia,high,5,wājib
dbia325,325,,60,bhāța,9444,9444,unique normalized headword,matched-cdial,high,7,bhāța | bhādaa- | bhārā
dbia326,326,,60,vāța-,11480,11480,homonym disambiguated by gloss,matched-cdial,high,5,vāța- | vāda-
dbia327,327,,60,bāņa-,9203,9203,unique normalized headword,matched-cdial,high,6,bāņa- | ban
dbia328,328,,60,bat,,dbia328-ia,no safe CDIAL match,source-local-ia,high,6,bat
dbia329,329,,60,vāra-,11547,11547,homonym disambiguated by gloss,matched-cdial,high,5,vāra-
dbia330,330,,60,vrid-,,dbia330-ia,no safe CDIAL match,source-local-ia,high,3,vrid- | vĩờia-
dbia331,331,,60,bingā,,dbia331-ia,no safe CDIAL match,source-local-ia,high,5,bingā
dbia332,332,,60,,,,no safe CDIAL match,unresolved-no-ia-headword,,6,
dbia333,333,,60,billā,,dbia333-ia,no safe CDIAL match,source-local-ia,high,6,billā
dbia334,334,,61,bhēļā,9617,9617,unique normalized headword,matched-cdial,high,6,bhēļā | esculentus | esculentus | Abelmoschus
dbia335,335,,61,vetra,12101,12101,unique normalized headword,matched-cdial,high,5,vetra | vetta | bet
dbia336,336,,61,velā-,12115,12115,homonym disambiguated by gloss,matched-cdial,high,10,velā-
dbia337,337,,62,bhāma,9455,9455,homonym disambiguated by gloss,matched-cdial,high,5,bhāma | bhāa- | bhāva
